id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,startDate,endDate,status,active,knownName,secondNationality,secondNationalityId,shirtNumber
3chh3soynyxwjgkf4iyd2rh90,Nassef,Chourak,Nassef,Chourak,Male,N. Chourak,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2004-07-21,Woerden,Netherlands,6hzi5pltnz67q4la8yli9qfv6,185.0,75.0,left,2023-07-01Z,NaN,active,yes,NaN,Morocco,2xdcc39z1k79pnjbtn9x31wdh,NaN
3ctkqknm19hnv3oliuzgizuac,Avery,Appiah,Avery,Appiah,Male,A. Appiah,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2006-04-02,Zoetermeer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,174.0,NaN,right,2023-10-26Z,NaN,active,yes,NaN,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN
3e8tsv4mzm75peokuw38d8jmy,Charlie Terence,Setford,Charlie,Setford,Male,C. Setford,England,1fk5l4hkqk12i7zske6mcqju6,Goalkeeper,player,2004-05-11,Haarlem,Netherlands,6hzi5pltnz67q4la8yli9qfv6,187.0,76.0,right,2021-04-01Z,NaN,active,yes,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN
3rve12v22lh39aaqgjlwlmhas,Don-Angelo Christoffel,Annum-Assamoah Konadu,Don-Angelo,Konadu,Male,D. Konadu,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2006-05-03,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,173.0,60.0,right,2024-07-01Z,NaN,active,yes,NaN,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN
3srqm69qud5sfy14rgveaeuxg,Lucas,Jetten,Lucas,Jetten,Male,L. Jetten,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2007-06-07,Natalspruit,South Africa,1kiwby3xmt97m3ejw76qs4i6k,166.0,55.0,left,2024-07-01Z,NaN,active,yes,NaN,South Africa,1kiwby3xmt97m3ejw76qs4i6k,NaN
408hw76vq99srdosd5dxgeh62,Michel,Kreek,Michel,Kreek,Male,M. Kreek,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,assistant coach,1971-01-16,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,2021-07-01Z,NaN,active,yes,NaN,NaN,NaN,NaN
4don9y0i0l76nt9qrqt6ne9ec,Leroy,Fränkel,Frankel,Leroy,Male,L. Fränkel,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2008-07-26,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,right,2025-07-01Z,NaN,active,yes,NaN,NaN,NaN,NaN
4fu2agdclsyxx1boxxibauzo4,Gerald,Alders,Gerald,Alders,Male,G. Alders,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2005-05-07,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,179.0,NaN,right,2025-07-01Z,NaN,active,yes,NaN,Namibia,5gnafp0jaansh8iqoslamuwdc,NaN
4utx4h5jz14whtjawxn7ox0r8,Nick,Verschuren,Nick,Verschuren,Male,N. Verschuren,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2005-01-13,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,182.0,67.0,right,2023-10-01Z,2025-08-11Z,active,no,NaN,NaN,NaN,NaN
4xgkt8w934s3b4g573re84opg,Mark Thomas Willem,Verkuijl,Mark,Verkuijl,Male,M. Verkuijl,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2006-02-10,Ede,Netherlands,6hzi5pltnz67q4la8yli9qfv6,180.0,NaN,right,2024-08-23Z,NaN,active,yes,NaN,NaN,NaN,NaN
56nbghr9snc79dt8h99wleej8,Sean,Steur,Sean,Steur,Male,S. Steur,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2008-01-11,Purmerend,Netherlands,6hzi5pltnz67q4la8yli9qfv6,183.0,NaN,both,2024-05-09Z,NaN,active,yes,NaN,NaN,NaN,NaN
788q4wkdn9jn6j4jdlta66d5g,Tijn,Peters,Tijn,Peters,Male,T. Peters,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2006-03-03,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,right,2025-07-01Z,NaN,active,yes,NaN,NaN,NaN,NaN
7dbxbajs67qezr9rk2vjtnrx0,Aymean,El Hani,Aymean,El Hani,Male,A. El Hani,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2007-05-09,NaN,Morocco,2xdcc39z1k79pnjbtn9x31wdh,182.0,NaN,right,2024-08-18Z,NaN,active,yes,NaN,Morocco,2xdcc39z1k79pnjbtn9x31wdh,NaN
7sh8uy82d3jkn5azco45s6m8k,Marvyn,Muzungu,Marvyn,Muzungu,Male,M. Muzungu,France,7gww28djs405rfga69smki84o,Defender,player,2007-11-28,NaN,France,7gww28djs405rfga69smki84o,NaN,NaN,left,2025-08-05Z,NaN,active,yes,NaN,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,NaN
80ci9vub479wdpimkabf02rys,Ryan,van de Pavert,Ryan,van de Pavert,Male,R. van de Pavert,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2006-01-24,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,170.0,NaN,right,2024-11-21Z,NaN,active,yes,NaN,NaN,NaN,NaN
93htnzl434o9vayt4suhs66fo,Kayden,Santana Wolff,Kayden,Wolff,Male,K. Wolff,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2006-06-19,Almere,Netherlands,6hzi5pltnz67q4la8yli9qfv6,186.0,NaN,right,2023-07-01Z,NaN,active,yes,NaN,Suriname,31vay1njxmbs7vtbfp1wo2dx1,NaN
94y5a0g4qvxgv00qy5l51u13o,Jinairo,Johnson,Jinairo,Johnson,Male,J. Johnson,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,Midfielder,player,2007-04-08,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,180.0,NaN,right,2024-08-23Z,NaN,active,yes,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN
98uas866f1r5b1osurebqnj10,Luca,Messori,Luca,Messori,Male,L. Messori,Italy,25f2cmb2r8mk5rj92tzer6kvv,Midfielder,player,2007-10-25,Modena,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,right,2024-05-09Z,NaN,active,yes,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN
arh2m8ua5zv9iiw9p8b1qbdas,Lasse,Møldrup Abildgaard,Lasse,Abildgaard,Male,L. Abildgaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2007-02-27,Voel,Denmark,5adf60vwiw2f2mibyq1k4ex7i,170.0,NaN,both,2025-04-03Z,NaN,active,yes,NaN,NaN,NaN,NaN
brfa9yhy2llgt9l75unddogk,Jorthy,Mokio,Jorthy,Mokio,Male,J. Mokio,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,2008-02-29,Gent,Belgium,4wbzjcclyefma1ourvjsu4q2j,182.0,NaN,left,2024-07-01Z,NaN,active,yes,NaN,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,NaN
c907ct1hjmwughkdus73c5fkk,David,Kalokoh,David,Kalokoh,Male,D. Kalokoh,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2005-04-21,Kono,Sierra Leone,7kilikg56sxc0dsd6168dr57b,186.0,76.0,right,2023-01-12Z,NaN,active,yes,NaN,Sierra Leone,7kilikg56sxc0dsd6168dr57b,NaN
cstlool8c2aoty5vhx77t4q38,Jan Jakub,Faberski,Jan,Faberski,Male,J. Faberski,Poland,27baqb7359ywdvsxxklx1kn11,Attacker,player,2006-04-22,Płock,Poland,27baqb7359ywdvsxxklx1kn11,170.0,NaN,left,2024-06-24Z,2025-08-29Z,active,no,NaN,NaN,NaN,NaN
cu1mrhhanp9ee4hbnwg7v1444,Joeri Jesse,Heerkens,Joeri,Heerkens,Male,J. Heerkens,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2006-05-08,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,2025-08-07Z,NaN,active,yes,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN
dyurvoycbhux9rm1mpaaegf10,Abdellah,Ouazane,Abdellah,Ouazane,Male,A. Ouazane,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Midfielder,player,2009-01-15,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,right,2025-08-04Z,NaN,active,yes,Abdellah Ouazane,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN
e3hefycb3rd22bu83gp1ieec4,Damián,van der Vaart,Damián,van der Vaart,Male,D. van der Vaart,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2006-05-28,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,183.0,NaN,right,2025-07-01Z,NaN,active,yes,NaN,NaN,NaN,NaN
e3mwjkfs86jtko5qiqecqy7tg,Ethan,Butera,Ethan,Butera,Male,E. Butera,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,2006-04-16,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,182.0,74.0,left,2023-09-01Z,NaN,active,yes,NaN,NaN,NaN,NaN
em7ie3i4w6bt476naq80umcd0,Skye,Vink,Skye,Vink,Male,S. Vink,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2006-07-01,NaN,Suriname,31vay1njxmbs7vtbfp1wo2dx1,187.0,70.0,right,2023-08-24Z,NaN,active,yes,NaN,Suriname,31vay1njxmbs7vtbfp1wo2dx1,NaN
f39palhb11oqo5ichnhudhnh0,Emre,Ünüvar,Emre,Ünüvar,Male,E. Ünüvar,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2008-03-18,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,right,2024-05-09Z,NaN,active,yes,NaN,Türkiye,6kd6webenogylfgwt2aa9l6vx,NaN
22alh32lu88yabxd4pl0opg5w,Kasper,Boogaard,Kasper,Boogaard,Male,K. Boogaard,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2006-01-29,Den Burg,Netherlands,6hzi5pltnz67q4la8yli9qfv6,183.0,NaN,both,2024-02-04Z,NaN,active,yes,NaN,NaN,NaN,NaN
2p6h6ivyzp1fzsayw7r2xn2dx,Hobie,Verhulst,Hobie,Verhulst,Male,H. Verhulst,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,1993-04-02,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,192.0,92.0,left,2020-09-10Z,NaN,active,yes,NaN,NaN,NaN,NaN
2tbjzax52ppbwn9morvojawic,Koen,Schilder,Koen,Schilder,Male,K. Schilder,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2005-09-27,Hoogwoud,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,80.0,right,2024-08-01Z,NaN,active,yes,NaN,NaN,NaN,NaN
2wgv0uye88734itwltg3oajo4,Job,Kalisvaart,Job,Kalisvaart,Male,J. Kalisvaart,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2004-06-10,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,181.0,82.0,right,2022-09-04Z,2025-08-12Z,active,no,NaN,NaN,NaN,NaN
35zljca9f38wwue7geei62xw4,Jeremiah,Esajas,Jeremiah,Esajas,Male,J. Esajas,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2005-05-19,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,174.0,68.0,left,2023-02-02Z,NaN,active,yes,NaN,Suriname,31vay1njxmbs7vtbfp1wo2dx1,NaN
38xf7m76hjrgvqcwqzavzrfh0,Kevin,Toppenberg,Kevin,Toppenberg,Male,K. Toppenberg,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2003-08-02,Willemstad,Curaçao,5im58ram567ao2fbnz39sm8vk,180.0,NaN,right,2024-07-08Z,NaN,active,yes,NaN,Curaçao,5im58ram567ao2fbnz39sm8vk,NaN
3kjxnvfmwd4hij1gnjc3xdhck,Enoch,Mayele Kiemba Mastoras,Enoch,Mastoras,Male,E. Mastoras,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2006-05-24,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,176.0,65.0,right,2023-02-02Z,NaN,active,yes,NaN,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,NaN
3l07u0yvlfe0xno8lnz88rn6c,Joeri,Oud,Joeri,Oud,Male,J. Oud,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2005-01-27,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,186.0,NaN,right,2024-08-15Z,NaN,active,yes,NaN,NaN,NaN,NaN
44srt2vaezf1o6kkkfjljraqc,Yoël,van den Ban,Yoël,van den Ban,Male,Y. van den Ban,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2006-01-10,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,183.0,73.0,right,2023-08-01Z,NaN,active,yes,NaN,NaN,NaN,NaN
4nchc9z4464uhu3vveo0p73f8,Sem,Dekkers,Sem,Dekkers,Male,S. Dekkers,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2004-05-28,Heiloo,Netherlands,6hzi5pltnz67q4la8yli9qfv6,178.0,74.0,right,2025-07-01Z,NaN,active,yes,NaN,NaN,NaN,NaN
4s3epyro47gyuso0rvblvolat,Ron Peter,Vlaar,Ron,Vlaar,Male,R. Vlaar,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,assistant coach,1985-02-16,Hensbroek,Netherlands,6hzi5pltnz67q4la8yli9qfv6,189.0,80.0,right,2025-07-01Z,NaN,active,yes,NaN,NaN,NaN,NaN
5ylwgfqvaobru2lxqvlhpxul0,Elijah,Dijkstra,Elijah,Dijkstra,Male,E. Dijkstra,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2006-08-05,Assendelft,Netherlands,6hzi5pltnz67q4la8yli9qfv6,172.0,NaN,right,2024-04-25Z,NaN,active,yes,NaN,NaN,NaN,NaN
6q27amr75iktcddwejxx3b578,Bohdan,Budko,Bohdan,Budko,Male,B. Budko,Ukraine,315w6fk6umfzf4qvba3t55u61,Midfielder,player,2006-01-07,NaN,Ukraine,315w6fk6umfzf4qvba3t55u61,NaN,NaN,NaN,2024-02-04Z,NaN,active,yes,NaN,NaN,NaN,NaN
6zzcoo9k4ebqtlux49rbb5fro,Maxim,Dekker,Maxim,Dekker,Male,M. Dekker,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2004-04-21,Rijsenhout,Netherlands,6hzi5pltnz67q4la8yli9qfv6,190.0,80.0,left,2021-04-01Z,NaN,active,yes,NaN,NaN,NaN,NaN
70e1m2aw9bqwdepmnt1gt6zh0,Kiani,Inge,Kiani,Inge,Male,K. Inge,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2007-06-16,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,right,2025-03-30Z,NaN,active,yes,NaN,NaN,NaN,NaN
7ahda8ax716htadq6byfa9tzo,Yassin,Hamdi,Yassin,Hamdi,Male,Y. Hamdi,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2005-03-19,Nijmegen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,185.0,NaN,right,2024-08-23Z,NaN,active,yes,NaN,Morocco,2xdcc39z1k79pnjbtn9x31wdh,NaN
7am931rjcv69rqmdcgxvp2zo4,Wassim,Bouziane,Wassim,Bouziane,Male,W. Bouziane,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2006-12-22,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,181.0,72.0,right,2025-01-12Z,NaN,active,yes,NaN,Morocco,2xdcc39z1k79pnjbtn9x31wdh,NaN
7grv254bm9482mr347qp2zaj8,Jesper,Zwart,Jesper,Zwart,Male,J. Zwart,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2006-11-08,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,2025-08-24Z,NaN,active,yes,NaN,NaN,NaN,NaN
7s2zxbtepa7dgr8yl0s48afpw,Finn,Stam,Finn,Stam,Male,F. Stam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2003-04-13,Zaandam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,82.0,right,2025-07-01Z,2025-08-15Z,active,no,NaN,NaN,NaN,NaN
7ug3a0z74dj7qlq4jbtn1kutw,Daniël Virginio,Deen,Daniël,Deen,Male,D. Deen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2003-02-13,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,72.0,right,2020-09-13Z,NaN,active,yes,NaN,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN
7wrulbqqdeecd5vegsbb1905w,Rome-Jayden,Owusu-Oduro,Rome-Jayden,Owusu-Oduro,Male,R. Owusu-Oduro,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2004-07-02,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,189.0,82.0,right,2021-12-09Z,NaN,active,yes,NaN,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN
7yyqv2db9tzlinc8991xb0kd0,Kiyani,Zeggen Lieuw Kie Song,Kiyani,Zeggen,Male,K. Zeggen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2006-10-15,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,189.0,NaN,left,2023-09-01Z,NaN,active,yes,NaN,Suriname,31vay1njxmbs7vtbfp1wo2dx1,NaN
80n7zh9x8affn584cygnq7get,Ramon Stanley Remy,Leeuwin,Ramon,Leeuwin,Male,R. Leeuwin,Suriname,31vay1njxmbs7vtbfp1wo2dx1,NaN,assistant coach,1987-09-01,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,187.0,76.0,right,2025-07-01Z,NaN,active,yes,NaN,NaN,NaN,NaN
811sxc0224hde7smvjnu2l82c,Mathijs,Menu,Mathijs,Menu,Male,M. Menu,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2005-05-01,Heerhugowaard,Netherlands,6hzi5pltnz67q4la8yli9qfv6,175.0,NaN,right,2024-10-17Z,NaN,active,yes,NaN,NaN,NaN,NaN
8svm6vujyrfdx0tn1imi2v21g,Rayan,Atikallah,Rayan,Atikallah,Male,R. Atikallah,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2006-07-07,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,185.0,65.0,right,2024-07-08Z,NaN,active,yes,NaN,Morocco,2xdcc39z1k79pnjbtn9x31wdh,NaN
90zhj6yyva7sxwn4k6c8oa9ec,Jasper,Hartog,Jasper,Hartog,Male,J. Hartog,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2006-03-23,Alkmaar,Netherlands,6hzi5pltnz67q4la8yli9qfv6,178.0,NaN,right,2023-04-20Z,NaN,active,yes,NaN,NaN,NaN,NaN
9bgq1tfyfzc3wg9pfr8q510k4,Dave,Kwakman,Dave,Kwakman,Male,D. Kwakman,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2004-08-07,Volendam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,184.0,79.0,right,2025-08-10Z,NaN,active,yes,NaN,NaN,NaN,NaN
ah0m8krxjvx80c3txwjrzvaj8,Jur,Schipper,Jur,Schipper,Male,J. Schipper,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2006-07-11,Beverwijk,Netherlands,6hzi5pltnz67q4la8yli9qfv6,196.0,78.0,right,2023-03-12Z,NaN,active,yes,NaN,NaN,NaN,NaN
bslqe2ay4ouo0i3ofs5zeil90,Deacon,van der Klaauw,Deacon,van der Klaauw,Male,D. van der Klaauw,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2006-04-11,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,right,2024-02-04Z,NaN,active,yes,NaN,NaN,NaN,NaN
c01bkm7snjyn2hdvzqqmjaolw,Rodrigo,Ribeiro de Macedo,Rodrigo Ribeiro,de Macedo,Male,Rodrigo Macedo,Portugal,1nbm5i9a0403zzvltn17lxinc,Attacker,player,2003-07-09,Braga,Portugal,1nbm5i9a0403zzvltn17lxinc,181.0,69.0,right,2025-07-11Z,NaN,active,yes,Rodrigo Macedo,NaN,NaN,NaN
cuvt8j25577ruyenn33htf1g4,Julian Miles,Oerip,Julian,Oerip,Male,J. Oerip,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2006-10-26,Alkmaar,Netherlands,6hzi5pltnz67q4la8yli9qfv6,179.0,NaN,right,2023-04-20Z,NaN,active,yes,NaN,NaN,NaN,NaN
cwu5itv65s8p6zsalk3np4ic,Nick,Twisk,Nick,Twisk,Male,N. Twisk,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2003-03-13,Egmond aan den Hoef,Netherlands,6hzi5pltnz67q4la8yli9qfv6,181.0,73.0,right,2021-04-01Z,NaN,active,yes,NaN,NaN,NaN,NaN
d88acv182zde37ck1nxggrllg,Anthony Kevin,Smits,Anthony,Smits,Male,A. Smits,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2005-05-21,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,182.0,NaN,right,2023-03-12Z,NaN,active,yes,NaN,Suriname,31vay1njxmbs7vtbfp1wo2dx1,NaN
dk7zyk16nsnh0czeky7vi0x78,Sem,van Duijn,Sem,van Duijn,Male,S. van Duijn,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2004-03-18,Leiden,Netherlands,6hzi5pltnz67q4la8yli9qfv6,181.0,NaN,right,2024-06-24Z,NaN,active,yes,NaN,NaN,NaN,NaN
e8ppjprlbi0yiofmb7mj72wwk,Rio,Robbemond,Rio,Robbemond,Male,R. Robbemond,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2005-01-05,Heerhugowaard,Netherlands,6hzi5pltnz67q4la8yli9qfv6,179.0,NaN,right,2024-02-04Z,NaN,active,yes,NaN,NaN,NaN,NaN
nw48ayorxrpxwcxbdhxy44k4,Billy Johannes Edward,van Duijl,Billy,van Duijl,Male,B. van Duijl,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2005-10-04,Volendam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,190.0,72.0,left,2024-06-21Z,NaN,active,yes,NaN,NaN,NaN,NaN
t54e453kwppkj4qnpwczey2,Leeroy,Echteld,Leeroy,Echteld,Male,L. Echteld,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,coach,1968-06-30,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,2024-01-23Z,NaN,active,yes,NaN,NaN,NaN,NaN
