id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,status,active,knownName,placeOfBirth,endDate,secondNationality,secondNationalityId
5pxm3apy9atp2w2j3r65ju2uh,Edgaras,Utkus,Edgaras,Utkus,Male,E. Utkus,Lithuania,366yd1wf1hzvvjb5u6r59rl1w,Defender,player,2000-06-22,Lithuania,366yd1wf1hzvvjb5u6r59rl1w,190.0,77.0,right,3.0,2021-07-20Z,active,yes,NaN,Vilnius,NaN,NaN,NaN
5w8e01c5slboqdrlqnyljlnft,Maxime René,Delanghe,Maxime,Delanghe,Male,M. Delanghe,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,2001-05-23,Belgium,4wbzjcclyefma1ourvjsu4q2j,189.0,83.0,right,21.0,2023-06-15Z,active,yes,NaN,Hall,NaN,NaN,NaN
6ytudq9mcboyfb9xx8ijalg4,Oluwaseun Victor,Adewumi,Oluwaseun,Adewumi,Male,O. Adewumi,Austria,hcs1bd49qliqqity6o268jyt,Midfielder,player,2005-02-23,Austria,hcs1bd49qliqqity6o268jyt,187.0,73.0,right,17.0,2025-08-15Z,active,yes,NaN,NaN,2026-06-30Z,NaN,NaN
71euf80lf18fu40b9lika9ysq,Nils,De Wilde,Nils,De Wilde,Male,N. De Wilde,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,2003-01-27,Belgium,4wbzjcclyefma1ourvjsu4q2j,182.0,67.0,right,27.0,2023-06-15Z,active,yes,NaN,NaN,NaN,NaN,NaN
7mg9ycwc9ay4fdedl0dpp5nca,Flávio,Basilua Jacinto Nazinho,Flávio,Basilua Jacinto Nazinho,Male,Flávio Nazinho,Portugal,1nbm5i9a0403zzvltn17lxinc,Defender,player,2003-07-20,Portugal,1nbm5i9a0403zzvltn17lxinc,178.0,72.0,left,20.0,2024-06-26Z,active,yes,Flávio Nazinho,Almada,NaN,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm
7weuixp1j81ga9pjhouf2h2hh,Hannes,Van der Bruggen,Hannes,Van der Bruggen,Male,H. Van der Bruggen,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,1993-04-01,Belgium,4wbzjcclyefma1ourvjsu4q2j,181.0,72.0,right,28.0,2021-01-19Z,active,yes,NaN,Burst,NaN,NaN,NaN
7yeo0dbvmsp23r0wxot0m8rth,Onur,Cinel,Onur,Cinel,Male,O. Cinel,Germany,36min0qztu8eydwvpv8t1is0m,NaN,coach,1985-06-17,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,NaN,2025-06-19Z,active,yes,NaN,NaN,NaN,NaN,NaN
8l7tgpuwr3zne4v92a1lgt2j8,Valy,Konaté,Valy,Konaté,Male,V. Konaté,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,player,2006-11-14,Côte d'Ivoire,tin6kf561ywonqan0mettr98,NaN,NaN,NaN,12.0,2025-06-25Z,active,yes,NaN,NaN,2026-06-30Z,NaN,NaN
9f5ne3ea3mfrwh36l51ssw6qc,Steve,Ngoura,Steve,Ngoura,Male,S. Ngoura,France,7gww28djs405rfga69smki84o,Attacker,player,2005-02-22,France,7gww28djs405rfga69smki84o,185.0,75.0,right,9.0,2025-01-07Z,active,yes,NaN,Ivry-sur-Seine,NaN,Cameroon,4eb9feio6u267dd1jcwaf38mt
aax4cgpd9gm3zf6bgcv164t1w,Béni Christophe,Mpanzu,Béni,Mpanzu,Male,B. Mpanzu,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,2004-05-15,Belgium,4wbzjcclyefma1ourvjsu4q2j,185.0,NaN,left,14.0,2025-02-28Z,active,yes,NaN,Brussel,NaN,NaN,NaN
cslexkls1qmrj8nu746b4rv2s,Alan Steve,Minda García,Alan,Minda,Male,A. Minda,Ecuador,6pyj2bytt2osbjk69owzfehcg,Attacker,player,2003-05-14,Ecuador,6pyj2bytt2osbjk69owzfehcg,171.0,68.0,right,11.0,2023-07-12Z,active,yes,NaN,Esmeraldas,NaN,NaN,NaN
d4ppxjyzxjk3fm4agxpsani8k,Lawrence,Agyekum,Lawrence,Agyekum,Male,L. Agyekum,Ghana,2q2sw72utw5gu9t5y4knckwba,Midfielder,player,2003-11-23,Ghana,2q2sw72utw5gu9t5y4knckwba,174.0,67.0,right,6.0,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
d74kbwi43w94hu3lsop84amtw,Heriberto de Jesús,Jurado Flores,Heriberto,Jurado,Male,H. Jurado,Mexico,5trdr3jf42i20zj1hnkvcytr6,Attacker,player,2005-01-03,Mexico,5trdr3jf42i20zj1hnkvcytr6,172.0,63.0,NaN,23.0,2025-02-03Z,active,yes,NaN,NaN,NaN,NaN,NaN
deotyk7wtolzi5r4w9gpk8bv8,Malian Elhadji,Koné,Elhadji,Koné,Male,E. Koné,Mali,d0v29nncgikdswlxpdq553zz,Attacker,player,2006-01-03,Mali,d0v29nncgikdswlxpdq553zz,NaN,NaN,NaN,31.0,2025-08-02Z,active,yes,NaN,NaN,NaN,NaN,NaN
ditnpqgspoih5ich7c5vn44fe,Gary Jean Paul Fernand,Magnée,Gary,Magnée,Male,G. Magnée,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,1999-10-12,Belgium,4wbzjcclyefma1ourvjsu4q2j,175.0,67.0,right,15.0,2024-08-17Z,active,yes,NaN,NaN,NaN,NaN,NaN
e1zu2mm6zkvwh4ids4gg3ndas,Dalangunypole,Gomis,Dalangunypole,Gomis,Male,D. Gomis,France,7gww28djs405rfga69smki84o,Defender,player,2004-06-28,France,7gww28djs405rfga69smki84o,191.0,NaN,left,4.0,2024-08-27Z,active,yes,NaN,NaN,NaN,Senegal,6hhqyhr5cwq2pfprlazyposyk
e8tla0ve5zuyb3jmxnd3q44k4,Krys-Anthony Madou,Kouassi,Krys,Kouassi,Male,K. Kouassi,France,7gww28djs405rfga69smki84o,Attacker,player,2007-03-08,France,7gww28djs405rfga69smki84o,NaN,NaN,NaN,41.0,2025-07-10Z,active,yes,NaN,Créteil,NaN,NaN,NaN
edti6w99ejmzljpsemda60ic,Bas,Langenbick,Bas,Langenbick,Male,B. Langenbick,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,2003-06-16,Belgium,4wbzjcclyefma1ourvjsu4q2j,189.0,72.0,right,84.0,2022-03-07Z,active,yes,NaN,NaN,NaN,NaN,NaN
eg9qnjpbewow79ggttc0z2h3o,Erick,Nunes Barbosa dos Santos,Erick,Nunes Barbosa dos Santos,Male,Erick Nunes,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Defender,player,2004-02-29,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,176.0,84.0,right,8.0,2025-07-01Z,active,yes,Erick Nunes,NaN,NaN,NaN,NaN
f0k55y82lf6zzovbrm2x6edjo,Abdoul Kader,Ouattara,Abdoul Kader,Ouattara,Male,A. Ouattara,Burkina Faso,2ggql4uo9h0p3c67wkm68ibol,Attacker,player,2005-05-26,Burkina Faso,2ggql4uo9h0p3c67wkm68ibol,171.0,69.0,right,99.0,2024-01-19Z,active,yes,NaN,NaN,NaN,NaN,NaN
10lpk2wft7zsd1fa38ulbakno,Aleksandar,Stanković,Aleksandar,Stankovic,Male,A. Stanković,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,2005-08-03,Italy,25f2cmb2r8mk5rj92tzer6kvv,187.0,82.0,right,25.0,2025-07-24Z,active,yes,NaN,Milano,NaN,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq
14yb6ab45h6z3lla1i3046f4k,Joel Leandro,Ordóñez Guerrero,Joel,Ordóñez,Male,J. Ordoñez,Ecuador,6pyj2bytt2osbjk69owzfehcg,Defender,player,2004-04-21,Ecuador,6pyj2bytt2osbjk69owzfehcg,188.0,76.0,right,4.0,2022-08-19Z,active,yes,NaN,Guayaquil,NaN,NaN,NaN
15odj8wui8136996wi2d5t7md,Håkan Gustaf,Nilsson,Gustaf,Nilsson,Male,G. Nilsson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,1997-05-23,Sweden,1z6l2c33w2kyz9rdefs1d68nb,196.0,78.0,right,19.0,2024-07-12Z,active,yes,NaN,Falkenberg,NaN,NaN,NaN
16o074zua15qkk7x0me7gi1w4,Bjorn Thomas,Meijer,Bjorn,Meijer,Male,B. Meijer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2003-03-18,Netherlands,6hzi5pltnz67q4la8yli9qfv6,191.0,89.0,left,14.0,2022-06-15Z,active,yes,NaN,Groningen,NaN,NaN,NaN
1q935a1d9qmoyo7v6tstqx7je,Kyriani,Sabbe,Kyriani,Sabbe,Male,K. Sabbe,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,2005-01-26,Belgium,4wbzjcclyefma1ourvjsu4q2j,176.0,68.0,right,64.0,2022-10-03Z,active,yes,NaN,Gent,NaN,NaN,NaN
3q6jhwert6ah0ll2wq69k93ah,Josef John,Bursik,Josef,Bursik,Male,J. Bursik,England,1fk5l4hkqk12i7zske6mcqju6,Goalkeeper,player,2000-07-12,England,1fk5l4hkqk12i7zske6mcqju6,187.0,70.0,left,NaN,2025-07-01Z,active,no,NaN,London,2025-09-01Z,Czechia,5md5tpwr2nmqao528prx43jr7
4g38r0oalsanuw8p6fa1iraxg,Samuel,Gomez Van Hoogen,Samuel,Gomez van Hoogen,Male,S. Gomez Van Hoogen,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,2006-01-24,Belgium,4wbzjcclyefma1ourvjsu4q2j,184.0,74.0,left,82.0,2025-07-19Z,active,yes,NaN,NaN,NaN,Spain,49ih1pwv3ahshdf8uzrimi54c
4zwdj7oaw9in8uo7dzzybqvpw,Vince Chijioke,Osuji,Vince,Osuji,Male,V. Osuji,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Defender,player,2006-04-06,Nigeria,63pvdwrsiq5b07mzi8igqei9p,188.0,83.0,right,24.0,2025-01-23Z,active,yes,NaN,Lagos,NaN,NaN,NaN
6u73l7tuxx0958ij9kvdizjrp,Nordin,Jackers,Nordin,Jackers,Male,N. Jackers,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,1997-09-05,Belgium,4wbzjcclyefma1ourvjsu4q2j,187.0,82.0,right,29.0,2024-06-15Z,active,yes,NaN,Veldwezelt,NaN,NaN,NaN
6uthi96vr24700st7s7m1so6i,Romeo,Vermant,Romeo,Vermant,Male,R. Vermant,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,2004-01-24,Belgium,4wbzjcclyefma1ourvjsu4q2j,181.0,74.0,right,17.0,2024-07-01Z,active,yes,NaN,Gelsenkirchen,NaN,NaN,NaN
79m802yjrfr0ji81c8ty1x2xg,Jorne,Spileers,Jorne,Spileers,Male,J. Spileers,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,2005-01-21,Belgium,4wbzjcclyefma1ourvjsu4q2j,188.0,78.0,right,58.0,2022-09-30Z,active,yes,NaN,NaN,NaN,NaN,NaN
7b9gqjq7z692znpoklj7c057u,Ludovit,Reis,Ludovit,Reis,Male,L. Reis,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2000-06-01,Netherlands,6hzi5pltnz67q4la8yli9qfv6,178.0,78.0,right,6.0,2025-06-25Z,active,yes,NaN,Haarlem,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y
84l7r4ud9ipuf9vc3ib5b4l0q,Hugo Thierry,Siquet,Hugo,Siquet,Male,H. Siquet,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,2002-07-09,Belgium,4wbzjcclyefma1ourvjsu4q2j,180.0,70.0,right,41.0,2024-07-23Z,active,yes,NaN,Marche-en-Famenne,NaN,NaN,NaN
8t0kfwqbbd15jqftt8lt5x27e,Nicolò,Tresoldi,Nicolò,Tresoldi,Male,N. Tresoldi,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,2004-08-20,Italy,25f2cmb2r8mk5rj92tzer6kvv,183.0,77.0,right,7.0,2025-06-17Z,active,yes,NaN,Cagliari,NaN,Italy,25f2cmb2r8mk5rj92tzer6kvv
8zzjxnppg44txae0mcs6r1ega,Carlos Roberto,Forbs Borges,Carlos Roberto,Forbs Borges,Male,Carlos Forbs,Portugal,1nbm5i9a0403zzvltn17lxinc,Attacker,player,2004-03-19,Portugal,1nbm5i9a0403zzvltn17lxinc,169.0,62.0,left,9.0,2025-07-17Z,active,yes,Carlos Forbs,NaN,NaN,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm
94sln58zt76ydfvs4pl7xkqy2,Ardon,Jashari,Ardon,Jashari,Male,A. Jashari,Switzerland,3bh70jgvc5mn58x0byjkuda17,Midfielder,player,2002-07-30,Switzerland,3bh70jgvc5mn58x0byjkuda17,181.0,81.0,left,30.0,2024-06-15Z,active,no,NaN,Cham,2025-08-06Z,North Macedonia,1lesyxylc5eza0a4z87t9azcc
955rlgxysijmlz66kn6qe2sfe,Tristan Danique,van den Heuvel,Dani,van den Heuvel,Male,D. van den Heuvel,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2003-05-28,Netherlands,6hzi5pltnz67q4la8yli9qfv6,186.0,73.0,right,16.0,2024-08-07Z,active,yes,NaN,Delft,NaN,NaN,NaN
9rsuz6bumw4jyw25gpingu25m,Cisse,Sandra,Cisse,Sandra,Male,C. Sandra,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,2003-12-16,Belgium,4wbzjcclyefma1ourvjsu4q2j,184.0,74.0,left,11.0,2025-07-01Z,active,yes,NaN,Bellegem,NaN,NaN,NaN
9xvik8av83pfnqwwt85unf504,Joaquin,Seys,Joaquin,Seys,Male,J. Seys,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,2005-03-28,Belgium,4wbzjcclyefma1ourvjsu4q2j,168.0,52.0,left,65.0,2023-06-03Z,active,yes,NaN,Oostende,NaN,NaN,NaN
9z6gig2dmhz738cfm9l23nxuc,Kaye,Furo Tamuno Iyowuna,Kaye,Furo,Male,K. Furo,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,2007-02-06,Belgium,4wbzjcclyefma1ourvjsu4q2j,190.0,NaN,right,87.0,2024-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
ac5ihcnef0we4sklhnmxgn3mc,Axl,De Corte,Axl,De Corte,Male,A. De Corte,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,2006-03-24,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,left,71.0,2022-12-20Z,active,yes,NaN,NaN,NaN,NaN,NaN
acffs01m2p3b4uemzjrp51d9m,Christos,Tzolis,Christos,Tzolis,Male,C. Tzolis,Greece,6lpgd60z890no2v46zdecrcss,Attacker,player,2002-01-30,Greece,6lpgd60z890no2v46zdecrcss,179.0,70.0,right,8.0,2024-07-04Z,active,yes,NaN,Thessaloniki,NaN,NaN,NaN
buglwgk2hthoyqt1ocghya92i,Zaid Abner,Romero,Zaid,Romero,Male,Z. Romero,Argentina,2vovxa97k7v7ofa85dah2xktb,Defender,player,1999-12-15,Argentina,2vovxa97k7v7ofa85dah2xktb,193.0,85.0,left,2.0,2024-06-30Z,active,yes,NaN,Mendoza,NaN,Syria,3tsnzfkszhsktmhsmwar1tvp8
bybggxgpzlr7xz2f1i3b7c0kp,Hugo Vegard,Vetlesen,Hugo,Vetlesen,Male,H. Vetlesen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2000-02-29,Belgium,4wbzjcclyefma1ourvjsu4q2j,174.0,72.0,right,10.0,2023-07-03Z,active,yes,NaN,NaN,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j
byfrgpc6tgz8lto1gor03y5sl,Simon Luc Hildebert,Mignolet,Simon,Mignolet,Male,S. Mignolet,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,1988-03-06,Belgium,4wbzjcclyefma1ourvjsu4q2j,193.0,88.0,right,22.0,2019-08-04Z,active,yes,NaN,Sint-Truiden,NaN,NaN,NaN
byji9z9s1zb07t92wiyg4hk9h,Nicky,Hayen,Nicky,Hayen,Male,N. Hayen,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,coach,1980-08-16,Belgium,4wbzjcclyefma1ourvjsu4q2j,188.0,78.0,right,NaN,2024-03-18Z,active,yes,NaN,Sint-Truiden,NaN,NaN,NaN
dfy8wmt4li6v2a3ulhftrxr10,Shandre Miguel,Campbell,Shandre,Campbell,Male,S. Campbell,South Africa,1kiwby3xmt97m3ejw76qs4i6k,Attacker,player,2005-07-15,South Africa,1kiwby3xmt97m3ejw76qs4i6k,NaN,NaN,left,84.0,2024-07-10Z,active,yes,NaN,NaN,NaN,NaN,NaN
dghbr8lp60ea96iy3vk40tslw,Mamadou,Diakhon,Mamadou,Diakhon,Male,M. Diakhon,France,7gww28djs405rfga69smki84o,Attacker,player,2005-09-22,France,7gww28djs405rfga69smki84o,180.0,75.0,left,67.0,2025-08-18Z,active,yes,NaN,NaN,NaN,Senegal,6hhqyhr5cwq2pfprlazyposyk
evcq2pbyad7zn3okc33upat0q,Lynnt,Audoor,Lynnt,Audoor,Male,L. Audoor,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,2003-10-13,Belgium,4wbzjcclyefma1ourvjsu4q2j,182.0,69.0,right,62.0,2024-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
jyh107tl6vv8bd1pgautj46h,Michał Krzysztof,Skóraś,Michal,Skóras,Male,M. Skóraś,Poland,27baqb7359ywdvsxxklx1kn11,Attacker,player,2000-02-15,Poland,27baqb7359ywdvsxxklx1kn11,172.0,64.0,right,21.0,2023-07-03Z,active,yes,NaN,Jastrzębie-Zdrój,NaN,NaN,NaN
l6y4o9t2b0jxaxo85oztok45,Brandon,Mechele,Brandon,Mechele,Male,B. Mechele,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,1993-01-28,Belgium,4wbzjcclyefma1ourvjsu4q2j,190.0,81.0,right,44.0,2017-07-01Z,active,yes,NaN,Bredene,NaN,NaN,NaN
mkq18lpl3d44wxq974mci5wq,Raphael,Onyedika Nwadike,Raphael,Onyedika,Male,R. Onyedika,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Midfielder,player,2001-04-19,Nigeria,63pvdwrsiq5b07mzi8igqei9p,184.0,78.0,right,15.0,2022-08-28Z,active,yes,NaN,Imo,NaN,NaN,NaN
x3g0yyxs0j4o8fxphxtf0st1,Hans,Vanaken,Hans,Vanaken,Male,H. Vanaken,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,1992-08-24,Belgium,4wbzjcclyefma1ourvjsu4q2j,195.0,77.0,right,20.0,2015-07-01Z,active,yes,NaN,Neerpelt,NaN,NaN,NaN
11ys1gz739c2d1erzx21t91ih,Kéres Angelau,Masangu,Kéres,Masangu,Male,K. Masangu,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,2000-03-07,Belgium,4wbzjcclyefma1ourvjsu4q2j,185.0,76.0,right,6.0,2023-07-01Z,active,yes,NaN,Antwerp,NaN,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9
1s8wt6xy4yzica0mwuf2ddvkk,Krzysztof,Kotoń,Krzysztof,Koton,Male,K. Kotoń,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,2003-05-17,Poland,27baqb7359ywdvsxxklx1kn11,177.0,66.0,NaN,15.0,2025-07-15Z,active,yes,NaN,Warszawa,NaN,NaN,NaN
2961iy0sg9zmy0r6fzbr2dmg9,Dávid,Hrnčár,Dávid,Hrncár,Male,D. Hrnčár,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1997-12-10,Slovakia,7dybe8679n9bgyrcxi383pq3y,186.0,79.0,right,20.0,2024-06-05Z,active,yes,NaN,Žilina,NaN,NaN,NaN
2hr7skflmxmpiiauz04h185ey,Bruny,Nsimba,Bruny,Nsimba,Male,B. Nsimba,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,2000-04-05,Angola,3k53bkrjx5zsxchc6e3mcd834,181.0,63.0,right,77.0,2023-07-01Z,active,yes,NaN,Bukunzao,NaN,Angola,3k53bkrjx5zsxchc6e3mcd834
2lm0c7eiwntew7sdkdpwi02y1,Aurélien,Scheidler,Aurélien,Scheidler,Male,A. Scheidler,France,7gww28djs405rfga69smki84o,Attacker,player,1998-06-04,France,7gww28djs405rfga69smki84o,192.0,90.0,right,11.0,2025-06-17Z,active,no,NaN,Saint-Martin-lès-Boulogne,2025-08-19Z,NaN,NaN
2s4yh2esd5wmihzr8jupkt1hx,Bryan,Goncalves,Bryan,Goncalves,Male,B. Goncalves,France,7gww28djs405rfga69smki84o,Defender,player,1996-07-19,France,7gww28djs405rfga69smki84o,190.0,72.0,left,7.0,2024-06-15Z,active,yes,NaN,NaN,NaN,Portugal,1nbm5i9a0403zzvltn17lxinc
2twq7ia40ky5fdcs2tbtljqj8,Nail,Moutha-Sebtaoui,Nail,Moutha-Sebtaoui,Male,N. Moutha-Sebtaoui,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Defender,player,2005-11-17,Morocco,2xdcc39z1k79pnjbtn9x31wdh,177.0,NaN,left,67.0,2025-06-27Z,active,yes,NaN,NaN,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j
30iec2e8y60m5wcze38shw5qs,Desmond,Ofori Acquah,Desmond,Acquah,Male,D. Acquah,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,2002-07-23,Belgium,4wbzjcclyefma1ourvjsu4q2j,173.0,NaN,right,23.0,2024-06-15Z,active,yes,NaN,NaN,NaN,Ghana,2q2sw72utw5gu9t5y4knckwba
36u3tovqdi3885wk3139wczfu,Luc,Marijnissen,Luc,Marijnissen,Male,L. Marijnissen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2003-01-09,Netherlands,6hzi5pltnz67q4la8yli9qfv6,182.0,79.0,NaN,5.0,2025-06-17Z,active,yes,NaN,Roosendaal,NaN,NaN,NaN
3are60mt98ibeazgcyjvuy7tg,Mohamed,Berte,Mohamed,Berte,Male,M. Berte,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,2002-03-25,Belgium,4wbzjcclyefma1ourvjsu4q2j,174.0,77.0,right,90.0,2024-06-15Z,active,yes,NaN,Brussel,NaN,Côte d'Ivoire,tin6kf561ywonqan0mettr98
4m2ku4thm7b7gugl67g73u4q2,Louis,Fortin,Louis,Fortin,Male,L. Fortin,Belgium,4wbzjcclyefma1ourvjsu4q2j,Goalkeeper,player,2002-01-12,Belgium,4wbzjcclyefma1ourvjsu4q2j,188.0,88.0,NaN,NaN,2025-08-05Z,active,yes,NaN,NaN,NaN,NaN,NaN
4ujt46jspzihas195g6kyjy8k,Luc,Rollet De Fougerolles,Luc,De Fougerolles,Male,L. De Fougerolles,Canada,1iaoypzp6syf32cz9l15pzp7e,Defender,player,2005-10-12,England,1fk5l4hkqk12i7zske6mcqju6,183.0,75.0,right,44.0,2025-07-30Z,active,yes,NaN,London,2026-06-30Z,England,1fk5l4hkqk12i7zske6mcqju6
5j8jlykegiplbh3tr6zed88a1,Nathan Christian,Rôdes,Nathan,Rôdes,Male,N. Rôdes,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,1997-12-11,Belgium,4wbzjcclyefma1ourvjsu4q2j,191.0,75.0,right,18.0,2022-06-24Z,active,yes,NaN,Etterbeek,NaN,NaN,NaN
