id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,foot,shirtNumber,startDate,endDate,status,active,weight,secondNationality,secondNationalityId,knownName
5lssweodhkyifhj333v6f6r6c,Tobias,Bach,Tobias,Bach,Male,T. Bach,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2003-06-04,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,193.0,left,23.0,2024-01-05Z,2025-09-01Z,active,no,86.0,NaN,NaN,NaN
5qvy65ckiigykkowpyco05zv9,Mikkel,Duelund Poulsen,Mikkel,Duelund,Male,M. Duelund,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1997-06-29,Århus,Denmark,5adf60vwiw2f2mibyq1k4ex7i,178.0,both,20.0,2023-01-30Z,2024-06-30Z,active,no,74.0,NaN,NaN,NaN
5zvghimmgu52ei5xz3qav4wt0,Frej,Elkjær Andersen,Frej,Elkjær,Male,F. Elkjær,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2007-05-05,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,2024-04-21Z,2025-07-13Z,active,no,NaN,NaN,NaN,NaN
61sojkdsmaz9hbwaskt4rws15,Mikael Neville,Anderson,Mikael,Anderson,Male,M. Anderson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,1998-07-01,Reykjavik,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,180.0,right,8.0,2021-09-01Z,2025-07-08Z,active,no,69.0,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN
654obqy73ov2t5800r2woo6w9,Michael,Osei Akoto,Michael,Akoto,Male,M. Akoto,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1997-10-03,Accra,Ghana,2q2sw72utw5gu9t5y4knckwba,188.0,right,27.0,2023-06-15Z,2025-06-30Z,active,no,72.0,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN
6m4anciafmzc24s44xszymbc9,Peter Nicolai,Kruse Bjur,Peter,Bjur,Male,P. Bjur,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2000-02-02,Rødovre,Denmark,5adf60vwiw2f2mibyq1k4ex7i,180.0,left,21.0,2023-01-27Z,2024-08-16Z,active,no,77.0,NaN,NaN,NaN
6my7s0ezr6jldotm1w6nk7b9x,Frederik,Beyer Tingager,Frederik,Tingager,Male,F. Tingager,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1993-02-22,Holbæk,Denmark,5adf60vwiw2f2mibyq1k4ex7i,198.0,right,5.0,2019-01-04Z,NaN,active,yes,94.0,NaN,NaN,NaN
6rbsjfwx4pon2d1vu3k7ojxuc,Thomas,Thiesson Kristensen,Thomas,Kristensen,Male,T. Kristensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2002-01-17,Aarhus,Denmark,5adf60vwiw2f2mibyq1k4ex7i,198.0,right,23.0,2020-09-26Z,2023-09-01Z,active,no,85.0,NaN,NaN,NaN
76av5tb8cxhmr0yh3pbmk8npw,Frederik,Emmery Søgaard,Frederik,Emmery,Male,F. Emmery,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2006-12-25,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,178.0,left,47.0,2024-05-15Z,NaN,active,yes,57.0,NaN,NaN,NaN
7m68sk6x5j4izvmi83h2e6kbu,Magnus,Nordengen Knudsen,Magnus,Knudsen,Male,M. Knudsen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2001-06-15,Oslo,Norway,7f16iy4w8u8ogyn6pfooqwv5z,186.0,right,15.0,2023-07-01Z,2024-06-30Z,active,no,75.0,NaN,NaN,NaN
869lv47g5aohwwzeyzx9xmt7u,Zachary Allan,Duncan,Zach,Duncan,Male,Z. Duncan,Australia,u5ieemi69z72c3bgczyy68lo,Midfielder,player,2000-05-31,Sydney,Australia,u5ieemi69z72c3bgczyy68lo,175.0,right,24.0,2023-07-01Z,2023-12-31Z,active,no,77.0,NaN,NaN,NaN
8cy421yjz7bc0cw1zl2vaa6ms,Diesel,Herrington,Diesel,Herrington,Male,D. Herrington,Australia,u5ieemi69z72c3bgczyy68lo,Defender,player,2004-08-04,NaN,Australia,u5ieemi69z72c3bgczyy68lo,188.0,right,46.0,2022-10-15Z,2024-07-14Z,active,no,81.0,NaN,NaN,NaN
8og8nxbkcb63van4llvpkbe8l,Nicolai,Søberg Poulsen,Nicolai,Poulsen,Male,N. Poulsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1993-08-15,Randers,Denmark,5adf60vwiw2f2mibyq1k4ex7i,176.0,both,6.0,2019-06-15Z,NaN,active,yes,70.0,NaN,NaN,NaN
8xrco8qhcvplvc3wmcschoi22,Tobias,Mølgaard Henriksen,Tobias,Mølgaard,Male,T. Mølgaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1996-07-22,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,182.0,right,14.0,2022-06-15Z,NaN,active,yes,75.0,NaN,NaN,NaN
9delpquqv81o7ftrgefb0wpp0,Luka,Callø Carstensen,Luka,Callø,Male,L. Callø,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2006-05-10,Skødstrup,Denmark,5adf60vwiw2f2mibyq1k4ex7i,181.0,right,33.0,2024-04-13Z,2025-02-03Z,active,no,71.0,NaN,NaN,NaN
9lecsi8eqpy3jj9zvvhahkvmc,Mathias Dahl,Sauer,Mathias,Sauer,Male,M. Sauer,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2004-04-02,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,181.0,left,30.0,2021-04-23Z,2024-04-03Z,active,no,73.0,NaN,NaN,NaN
9n2nm6smh0txgv2482qbwhixg,Julius,Eskelund Beck,Julius,Beck,Male,J. Beck,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2005-04-27,Haderslev,Denmark,5adf60vwiw2f2mibyq1k4ex7i,178.0,right,16.0,2023-09-01Z,2024-06-30Z,active,no,61.0,NaN,NaN,NaN
aiy1cjnu69o7xy605cmaysy6s,Oliver Carl,Olsson,Oliver,Olsson,Male,O. Olsson,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2003-05-25,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,189.0,right,NaN,2022-07-16Z,2023-09-01Z,active,no,80.0,NaN,NaN,NaN
asfu3i70ss0wqmdenqpx37p7u,Kevin Enkido,Yakob,Kevin Enkido,Yakob,Male,Kevin Yakob,Iraq,1uzblzx1s42jn6zk6hivjzby8,Midfielder,player,2000-10-10,Gothenburg,Sweden,1z6l2c33w2kyz9rdefs1d68nb,185.0,right,17.0,2022-08-26Z,NaN,active,yes,75.0,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Kevin Yakob
aswmi1pnkzkvkexp8ngief6j9,Felix Olof Allan Nelson,Beijmo,Felix,Beijmo,Male,F. Beijmo,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,1998-01-31,Stockholm,Sweden,1z6l2c33w2kyz9rdefs1d68nb,185.0,right,2.0,2023-07-01Z,NaN,active,yes,77.0,NaN,NaN,NaN
bocqh11yx20xyy11g8ej6z7x1,Alexander,Munksgaard Nielsen,Alexander,Munksgaard,Male,A. Munksgaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1997-12-13,Vind,Denmark,5adf60vwiw2f2mibyq1k4ex7i,181.0,right,NaN,2023-08-01Z,2023-08-04Z,active,no,75.0,NaN,NaN,NaN
bxea3tj0tpi7zmf6k5jtut889,Sigurd,Hauso Haugen,Sigurd,Haugen,Male,S. Haugen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,1997-07-17,Haugesund,Norway,7f16iy4w8u8ogyn6pfooqwv5z,187.0,right,10.0,2022-07-07Z,2023-08-23Z,active,no,77.0,NaN,NaN,NaN
c6wip4rfbv5a932cilwjssup6,Jonathan,Jørgensen Hutters,Jonathan,Hutters,Male,J. Hutters,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2004-02-21,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,186.0,right,32.0,2023-07-01Z,NaN,active,yes,78.0,NaN,NaN,NaN
ca1b5707pdpx0ucug40ggnahh,Frederik,Brandhof,Frederik,Brandhof,Male,F. Brandhof,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1996-07-05,Skive,Denmark,5adf60vwiw2f2mibyq1k4ex7i,182.0,right,29.0,2021-07-01Z,2025-06-16Z,active,no,72.0,NaN,NaN,NaN
cgkvw4q8ddcjl0po181upzwx6,Eric Andre,Kahl,Eric,Kahl,Male,E. Kahl,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,2001-09-27,Stockholm,Sweden,1z6l2c33w2kyz9rdefs1d68nb,178.0,left,19.0,2021-07-24Z,NaN,active,yes,69.0,Thailand,71wqq15l0mvpl4lneayzzh44g,NaN
eenms6qw5avbs70mjrmbvldxx,Uwe,Rösler,Uwe,Rösler,Male,U. Rösler,Germany,36min0qztu8eydwvpv8t1is0m,NaN,coach,1968-11-15,Altenburg,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,2022-06-14Z,2025-05-31Z,active,no,NaN,NaN,NaN,NaN
esasiq4j83g377zb8zi0bgpnt,Janni-Luca,Serra,Janni,Serra,Male,J. Serra,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,1998-03-13,Hannover,Germany,36min0qztu8eydwvpv8t1is0m,193.0,left,13.0,2023-07-01Z,2024-07-26Z,active,no,87.0,NaN,NaN,NaN
f218jdmezq860bqxbp6x5krft,Bailey,Peacock-Farrell,Bailey,Peacock-Farrell,Male,B. Peacock-Farrell,Northern Ireland,5euslv7jutsauoqt3o2lj9bvi,Goalkeeper,player,1996-10-29,Darlington,England,1fk5l4hkqk12i7zske6mcqju6,193.0,left,45.0,2023-07-24Z,2024-06-30Z,active,no,73.0,England,1fk5l4hkqk12i7zske6mcqju6,NaN
17e766t2zpr5pmshhww0iu4us,Oscar,Schwartau,Oscar,Schwartau,Male,O. Schwartau,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2006-05-17,Sengeløse,Denmark,5adf60vwiw2f2mibyq1k4ex7i,186.0,right,41.0,2022-06-16Z,2024-08-24Z,active,no,80.0,NaN,NaN,NaN
1gr0k94d0nh7msa32f6728aok,Clement,Mutahi Bischoff,Clement,Bischoff,Male,C. Bischoff,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2005-12-16,Copenhagen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,180.0,right,37.0,2023-09-23Z,2025-09-02Z,active,no,75.0,Kenya,7bj2q2zb0n47lb9g55dnvfr2s,NaN
22760086vtvx2xulry32q21hw,Emmanuel Kwaku,Yeboah,Emmanuel,Yeboah,Male,E. Yeboah,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,2003-02-25,Sunyani,Ghana,2q2sw72utw5gu9t5y4knckwba,188.0,right,99.0,2023-08-19Z,2024-09-02Z,active,no,60.0,NaN,NaN,NaN
2tthm6h5o033dz440e476rhbe,Marko,Divković,Marko,Divkovic,Male,M. Divković,Croatia,37hlakrwxyuzovaeoo4sezusp,Defender,player,1999-06-11,Vinkovci,Croatia,37hlakrwxyuzovaeoo4sezusp,181.0,left,24.0,2022-07-01Z,NaN,active,yes,72.0,NaN,NaN,NaN
2xp7fbcl6a4nua9jpm7b4k1sk,Noah,Teye Nartey,Noah,Nartey,Male,N. Nartey,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2005-10-05,Bagsværd,Denmark,5adf60vwiw2f2mibyq1k4ex7i,180.0,right,35.0,2023-09-26Z,NaN,active,yes,70.0,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN
3h8jot3v5xxuwzukt6n15jwlx,Joe Zen Robert,Bell,Joe,Bell,Male,J. Bell,New Zealand,wcq2y28a27syx5do1k2i2nj8,Midfielder,player,1999-04-27,Bristol,England,1fk5l4hkqk12i7zske6mcqju6,182.0,right,6.0,2022-02-01Z,2023-08-29Z,active,no,77.0,England,1fk5l4hkqk12i7zske6mcqju6,NaN
3hi7nroqhsvj8elv8nd9a8ted,Thomas,Korsgaard Mikkelsen,Thomas,Mikkelsen,Male,T. Mikkelsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,1983-08-27,Odense,Denmark,5adf60vwiw2f2mibyq1k4ex7i,190.0,right,16.0,2021-07-01Z,NaN,active,yes,92.0,NaN,NaN,NaN
3xbn4aym0k2nt9zbeblcd8dsl,Martin,Retov,Martin,Retov,Male,M. Retov,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,assistant coach,1980-05-05,Rødovre,Denmark,5adf60vwiw2f2mibyq1k4ex7i,178.0,NaN,NaN,2019-07-01Z,2024-06-30Z,active,no,82.0,NaN,NaN,NaN
447ufj1r24b3dqvnwfi8wgj4l,Kevin Niclas,Mensah,Kevin,Mensah,Male,K. Mensah,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1991-05-15,Viborg,Denmark,5adf60vwiw2f2mibyq1k4ex7i,171.0,both,14.0,2017-01-23Z,2024-12-31Z,active,no,74.0,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN
4ilnnpfgjfz35lni9ppzd93v9,Patrick,Pentz,Patrick,Pentz,Male,P. Pentz,Austria,hcs1bd49qliqqity6o268jyt,Goalkeeper,player,1997-01-02,Salzburg,Austria,hcs1bd49qliqqity6o268jyt,183.0,left,1.0,2023-08-18Z,2024-06-15Z,active,no,80.0,NaN,NaN,NaN
506kxojakimt5s0v2c4q6b33e,Frederik,Alves Thidemann,Frederik,Alves,Male,F. Alves,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1999-11-08,Hvidovre,Denmark,5adf60vwiw2f2mibyq1k4ex7i,195.0,right,32.0,2022-01-31Z,NaN,active,yes,84.0,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN
52vwj2s29n7wngablotd7pboq,Jonathan,Risbjerg Ægidius,Jonathan,Ægidius,Male,J. Ægidius,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2002-04-22,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,190.0,right,40.0,2022-09-01Z,2024-07-29Z,active,no,71.0,NaN,NaN,NaN
53nd6a4o02ebb0w2s12prijje,Yuito,Suzuki,Yuito,Suzuki,Male,Y. Suzuki,Japan,lxyibh89lpdc0bfian1nx0xq,Midfielder,player,2001-10-25,Miura,Japan,lxyibh89lpdc0bfian1nx0xq,175.0,right,28.0,2023-08-12Z,2025-07-01Z,active,no,70.0,NaN,NaN,NaN
53tbs0tyag4c741oqro5t7b2t,Ohikhuaeme Anthony,Omoijuanfo,Ohi,Omoijuanfo,Male,O. Omoijuanfo,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,1994-01-10,Oslo,Norway,7f16iy4w8u8ogyn6pfooqwv5z,188.0,right,9.0,2022-08-30Z,2025-01-11Z,active,no,75.0,NaN,NaN,NaN
56sjqxlsf5iitgww0hogez8ph,Jordi,Vanlerberghe,Jordi,Vanlerberghe,Male,J. Vanlerberghe,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,1996-06-27,Duffel,Belgium,4wbzjcclyefma1ourvjsu4q2j,189.0,right,30.0,2024-01-29Z,NaN,active,yes,75.0,NaN,NaN,NaN
5l4q2q8nszqp6k8exo9eyqnrp,Simon Fredrik,Hedlund,Simon,Hedlund,Male,S. Hedlund,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,1993-03-11,Trollhättan,Sweden,1z6l2c33w2kyz9rdefs1d68nb,173.0,right,27.0,2019-01-11Z,2023-08-20Z,active,no,70.0,NaN,NaN,NaN
60aejqxzvo5z8jgcu245r2l1w,Yousef,Salech,Yousef,Salech,Male,Y. Salech,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2002-01-17,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,195.0,right,17.0,2023-07-01Z,2024-02-22Z,active,no,88.0,Palestine,1iq272xbm8xx01hiu7thq4tgt,NaN
64ux2tbb35i36qf6oij2263qi,Justin Isiah,Che,Justin,Che,Male,J. Che,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2003-11-18,Richardson,USA,7hr2f89v44y65dyu9k92vprwn,185.0,right,46.0,2023-07-14Z,2023-08-17Z,active,no,79.0,Germany,36min0qztu8eydwvpv8t1is0m,NaN
6anvl82jyio52wo87cbxdp4np,Sean Desmond,Klaiber,Sean,Klaiber,Male,S. Klaiber,Suriname,31vay1njxmbs7vtbfp1wo2dx1,Defender,player,1994-07-31,Nieuwegein,Netherlands,6hzi5pltnz67q4la8yli9qfv6,184.0,right,31.0,2023-09-01Z,NaN,active,yes,77.0,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN
7ctsofo6904i5ysgpfh2sdv1m,Christian,Jaeger Cappis,Christian,Cappis,Male,C. Cappis,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1999-08-13,Katy,USA,7hr2f89v44y65dyu9k92vprwn,185.0,both,23.0,2024-01-01Z,2024-08-13Z,active,no,72.0,NaN,NaN,NaN
7z1pv1wezn5rydamnknklv2ay,Mathias,Damm Kvistgaarden,Mathias,Kvistgaarden,Male,M. Kvistgaarden,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2002-04-15,Birkerød,Denmark,5adf60vwiw2f2mibyq1k4ex7i,174.0,right,36.0,2020-07-04Z,2025-07-08Z,active,no,68.0,NaN,NaN,NaN
8domjmewnw5h6b19vef8w0afp,Mathias Peter,Greve Petersen,Mathias,Greve,Male,M. Greve,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1995-02-11,Langeskov,Denmark,5adf60vwiw2f2mibyq1k4ex7i,186.0,right,8.0,2021-08-04Z,2024-08-31Z,active,no,75.0,NaN,NaN,NaN
8t7wsjordpkfau9b6brxesr8,Frederik,Birk Christensen,Frederik,Birk,Male,F. Birk,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,assistant coach,1989-07-10,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,2021-09-07Z,2024-12-11Z,active,no,NaN,NaN,NaN,NaN
94didhw8o1blxonn4amoahcr9,Josip,Radošević,Josip,Radosevic,Male,J. Radošević,Croatia,37hlakrwxyuzovaeoo4sezusp,Midfielder,player,1994-04-03,Split,Croatia,37hlakrwxyuzovaeoo4sezusp,180.0,right,22.0,2018-07-28Z,2025-01-30Z,active,no,80.0,NaN,NaN,NaN
9auqrrixu34cgkpe8trlkaoh6,Filip,Bundgaard Kristensen,Filip,Bundgaard,Male,F. Bundgaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2004-07-03,Randers,Denmark,5adf60vwiw2f2mibyq1k4ex7i,176.0,left,11.0,2024-02-01Z,NaN,active,yes,62.0,NaN,NaN,NaN
ai2srubk366phz9h7lw615uxh,Jesper,Ingemann Sørensen,Jesper,Sørensen,Male,J. Sørensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,coach,1973-06-10,Aarhus,Denmark,5adf60vwiw2f2mibyq1k4ex7i,177.0,NaN,NaN,2023-01-02Z,2024-12-11Z,active,no,72.0,NaN,NaN,NaN
amgtzrnw9lmo9o506a0mhzip6,Rasmus Erik,Wikström,Rasmus,Wikström,Male,R. Wikström,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,2001-03-18,Göteborg,Sweden,1z6l2c33w2kyz9rdefs1d68nb,189.0,right,21.0,2023-07-01Z,2023-08-21Z,active,no,73.0,NaN,NaN,NaN
b0ip5jlx3ye09wnynnndyccmh,Blas Miguel,Riveros Galeano,Blas,Riveros,Male,B. Riveros,Paraguay,4snnlul02xmgkkb024q2bqyn9,Defender,player,1998-02-03,Itauguá,Paraguay,4snnlul02xmgkkb024q2bqyn9,178.0,left,15.0,2020-10-05Z,2023-09-01Z,active,no,79.0,NaN,NaN,NaN
b2ibeioms7t9vb3au7tpqys4p,Håkon,Evjen,Håkon,Evjen,Male,H. Evjen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2000-02-14,NaN,Norway,7f16iy4w8u8ogyn6pfooqwv5z,173.0,left,11.0,2023-01-17Z,2024-01-31Z,active,no,70.0,NaN,NaN,NaN
bmkq3hz1z7lsji7wgr3j8978p,Rasmus,Steensbæk Lauritsen,Rasmus,Lauritsen,Male,R. Lauritsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1996-02-27,Brande,Denmark,5adf60vwiw2f2mibyq1k4ex7i,187.0,right,5.0,2023-01-30Z,NaN,active,yes,75.0,NaN,NaN,NaN
bnar4f48vnx4oaz2lzch48es5,Jacob,Vandsø Ryfeldt Rasmussen,Jacob,Rasmussen,Male,J. Rasmussen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1997-05-28,Odense,Denmark,5adf60vwiw2f2mibyq1k4ex7i,193.0,left,4.0,2023-07-14Z,2025-06-09Z,active,no,81.0,NaN,NaN,NaN
cft1n7qn5juaedelpvqwo2f3d,Kevin N'goyi,Tshiembe,Kevin,Tshiembe,Male,K. Tshiembe,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1997-03-31,København,Denmark,5adf60vwiw2f2mibyq1k4ex7i,186.0,both,18.0,2021-08-04Z,2025-02-12Z,active,no,80.0,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,NaN
chteizjcvxpvze9p77gcttcoa,Nicolai,Frimodt Vallys,Nicolai,Vallys,Male,N. Vallys,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1996-09-04,Copenhagen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,189.0,right,7.0,2022-09-01Z,NaN,active,yes,82.0,NaN,NaN,NaN
cqgmx6eiriomccxfhykh31r10,Bertram,Bangsted Kvist,Bertram,Kvist,Male,B. Kvist,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2005-03-19,Dragør,Denmark,5adf60vwiw2f2mibyq1k4ex7i,172.0,right,19.0,2022-07-01Z,2024-08-20Z,active,no,65.0,NaN,NaN,NaN
cqwjwlsum5q92s2k80w3temi2,Henrik,Heggheim,Henrik,Heggheim,Male,H. Heggheim,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,2001-04-22,Stavanger,Norway,7f16iy4w8u8ogyn6pfooqwv5z,189.0,right,3.0,2023-07-01Z,2024-08-30Z,active,no,77.0,NaN,NaN,NaN
