id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,shirtNumber,status,active,foot,knownName,secondNationality,secondNationalityId
53m1gixs8t47p942fsxlv6uvp,Ivan,Galád,NaN,NaN,Male,I. Galád,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,coach,1963-04-10,Krupina,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,active,yes,NaN,NaN,NaN,NaN
5w3jmzuq05jmljucwdsdkb1uc,Samuel,Bagín,Samuel,Bagín,Male,S. Bagín,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2004-02-08,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,189.0,NaN,2.0,active,yes,NaN,NaN,NaN,NaN
617unia8rrl6umoe9ti7o3yms,Sani,Suleiman,Sani,Suleiman,Male,S. Suleiman,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,NaN,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,77.0,active,yes,NaN,NaN,NaN,NaN
8tqxi0nvgzh1gkb0r4w062t5g,Matej,Obšivan,Matej,Obsivan,Male,M. Obšivan,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2005-06-06,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,active,no,NaN,NaN,NaN,NaN
8y1dv126alw2wisl9hlx6ioes,Ľuboš,Praženka,Lubos,Prazenka,Male,Ľ. Praženka,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,2005-06-20,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,16.0,active,no,NaN,NaN,NaN,NaN
95jf68g1ogtz7q1cnlam4bn6c,Matúš,Slavíček,Matús,Slavícek,Male,M. Slavíček,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,2003-07-11,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,30.0,active,yes,NaN,NaN,NaN,NaN
9nr7jmaqe7rroput1dx013v1l,Samuel,Šefčík,Samuel,Sefcík,Male,S. Šefčík,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1996-11-04,Bratislava,Slovakia,7dybe8679n9bgyrcxi383pq3y,182.0,73.0,23.0,active,yes,NaN,NaN,NaN,NaN
9tj5jpa27wxlb7j79244jvsgl,Ilija,Stolica,Ilija,Stolica,Male,I. Stolica,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,coach,1978-07-07,Beograd,Serbia,5w4ve503bjdsshwx9ho6jxzx0,187.0,84.0,NaN,active,no,NaN,NaN,NaN,NaN
a8arrpa5myjkzun3m4xfxy784,Lukáš,Mikulaj,Lukáš,Mikulaj,Male,L. Mikulaj,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,2005-04-11,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,21.0,active,yes,NaN,NaN,NaN,NaN
ao72d1mt8ddpksplwi6t2fjf8,Jude Cide,Sunday,Jude,Sunday,Male,J. Sunday,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2004-10-04,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,7.0,active,yes,NaN,NaN,NaN,NaN
b3b4ebv8jfukcu74rfyref5zo,Tadeáš,Hájovský,Tadeás,Hájovsky,Male,T. Hájovský,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2005-09-30,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,6.0,active,yes,NaN,NaN,NaN,NaN
caxomndm1cv4hh8hwe4n333ai,Luka,Damjanović,Luka,Damjanovic,Male,L. Damjanović,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Goalkeeper,player,2003-09-10,Banja Luka,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN,NaN,NaN,active,yes,NaN,NaN,NaN,NaN
cz0ivswd8ej4texqzly61p6hg,Rash Rahim,Ibrahim,Rahim,Ibrahim,Male,R. Ibrahim,Ghana,2q2sw72utw5gu9t5y4knckwba,Midfielder,player,2001-06-10,NaN,Ghana,2q2sw72utw5gu9t5y4knckwba,186.0,NaN,20.0,active,yes,right,NaN,NaN,NaN
d3456pq0j1inb26jyfxu5ak15,Matúš,Kmeť,Matús,Kmet,Male,M. Kmeť,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2000-06-27,Ružomberok,Slovakia,7dybe8679n9bgyrcxi383pq3y,173.0,69.0,11.0,active,no,right,NaN,NaN,NaN
dwip9wvmdfgmnaei32f1y05m2,Samir,Ben Sallam,Samir,Ben Sallam,Male,S. Ben Sallam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2001-06-03,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,178.0,NaN,42.0,active,yes,right,NaN,Morocco,2xdcc39z1k79pnjbtn9x31wdh
e1n8z01dq1qvm7krrjwk3y61g,Artur,Gajdoš,Artur,Gajdos,Male,A. Gajdoš,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2004-01-20,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,8.0,active,no,NaN,NaN,NaN,NaN
ef3rhuo7yei01o8o2pdpyenkl,Taras,Bondarenko,Taras,Bondarenko,Male,T. Bondarenko,Ukraine,315w6fk6umfzf4qvba3t55u61,Midfielder,player,1992-09-23,NaN,Ukraine,315w6fk6umfzf4qvba3t55u61,183.0,67.0,14.0,active,yes,NaN,NaN,NaN,NaN
eiw84wsldydp7izgl43b8st1w,Alex,Húdok,Alex,Húdok,Male,A. Húdok,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,2006-05-06,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,24.0,active,yes,NaN,NaN,NaN,NaN
m19qp49tn84pb39f8kouze95,Luka,Zorić,Luka,Zoric,Male,L. Zorić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,1998-03-02,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,3.0,active,yes,NaN,NaN,NaN,NaN
uzxusvr3cozrr5u278qtlyc4,Adrian,Fiala,Adrian,Fiala,Male,A. Fiala,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2005-05-02,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,18.0,active,yes,NaN,NaN,NaN,NaN
z4fjg53quqxjh0sjx9u7hg4,Hugo,Pávek,Hugo,Pávek,Male,H. Pávek,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2005-06-02,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,90.0,active,yes,NaN,NaN,NaN,NaN
12395z7ydxxjuz4sj034ane21,Christián,Herc,Christián,Herc,Male,C. Herc,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1998-09-30,Levice,Slovakia,7dybe8679n9bgyrcxi383pq3y,185.0,72.0,24.0,active,yes,right,NaN,NaN,NaN
17v4rpvw3iff0o0q3xuqnesd0,Leandro Filipe,de Almeida Dornelles,Leandro Filipe,de Almeida Dornelles,Male,Filipe,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Goalkeeper,player,2003-01-26,NaN,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,195.0,100.0,1.0,active,yes,NaN,Filipe,NaN,NaN
18rnr89ksw4jhunbs92i73ch5,Benjamín,Száraz,Benjamin,Szaraz,Male,B. Száraz,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,1998-03-09,Veľký Kýr,Slovakia,7dybe8679n9bgyrcxi383pq3y,189.0,84.0,39.0,active,yes,right,NaN,NaN,NaN
1gq668oo73fi2nyyrjol7axud,Taras,Kacharaba,Taras,Kacharaba,Male,T. Kacharaba,Ukraine,315w6fk6umfzf4qvba3t55u61,Defender,player,1995-01-07,Zhydachiv,Ukraine,315w6fk6umfzf4qvba3t55u61,189.0,79.0,33.0,active,yes,right,NaN,NaN,NaN
1n1bn1fc3378qhp35w7443c9h,Norbert Sándor,Balogh,Norbert,Balogh,Male,N. Balogh,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Attacker,player,1996-02-21,Hajdúböszörmény,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,197.0,80.0,19.0,active,yes,right,NaN,NaN,NaN
1nsjai8x5bgirx5rufesjptjp,Milan,Dimun,Milan,Dimun,Male,M. Dimun,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1996-09-19,Košice,Slovakia,7dybe8679n9bgyrcxi383pq3y,186.0,76.0,8.0,active,yes,NaN,NaN,NaN,NaN
1txv3b9y7h3du9d5bbblg0vai,Romaric,Yapi,Romaric,Yapi,Male,R. Yapi,France,7gww28djs405rfga69smki84o,Defender,player,2000-07-13,Évry,France,7gww28djs405rfga69smki84o,178.0,70.0,91.0,active,yes,right,NaN,Côte d'Ivoire,tin6kf561ywonqan0mettr98
2mtiow3m5vincvwvdzrgixdsk,Attila,Németh,Attila,Németh,Male,A. Németh,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,2004-03-01,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,active,yes,NaN,NaN,NaN,NaN
2rq9bdoqppx3thlsm79j2i0ru,Márk,Csinger,Márk,Csinger,Male,M. Csinger,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Defender,player,2003-05-31,NaN,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,NaN,NaN,21.0,active,yes,right,NaN,NaN,NaN
50tfyk5k7qkm1kwv9rrneriwa,Ján,Bernát,Ján,Bernát,Male,J. Bernát,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2001-01-10,Prešov,Slovakia,7dybe8679n9bgyrcxi383pq3y,180.0,70.0,7.0,active,yes,NaN,NaN,NaN,NaN
5keqk0houbdodlxfqfyldzhuc,Máté,Tuboly,Máté,Tuboly,Male,M. Tuboly,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Midfielder,player,2004-09-15,NaN,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,NaN,NaN,68.0,active,yes,NaN,NaN,NaN,NaN
6vy1ci3n2w1hkep8jrxytujca,Ivan,Dolček,Ivan,Dolcek,Male,I. Dolček,Croatia,37hlakrwxyuzovaeoo4sezusp,Attacker,player,2000-04-24,Koprivnica,Croatia,37hlakrwxyuzovaeoo4sezusp,181.0,76.0,9.0,active,no,left,NaN,NaN,NaN
6ynddvrfay02kkirltpn68s4q,Fortune,Akpan Bassey,Fortune,Bassey,Male,F. Bassey,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,1998-10-06,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,185.0,NaN,14.0,active,yes,right,NaN,NaN,NaN
71k9g56fz19856bnyyy3hg7bo,Máté,Szolgai,Máté,Szolgai,Male,M. Szolgai,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2003-07-27,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,182.0,NaN,NaN,active,no,NaN,NaN,NaN,NaN
7eb63uicl4nz306gu2pmpry1g,Pablo Antonio,Ortíz Cabezas,Pablo,Ortíz,Male,P. Ortíz,Colombia,6kby8rq1p01fg5ds38ckkrcs5,Defender,player,2000-06-08,Tumaco,Colombia,6kby8rq1p01fg5ds38ckkrcs5,190.0,70.0,26.0,active,yes,left,NaN,NaN,NaN
8d66eij88wfg6nal7s9xe5vjd,Ladislav,Almási,Ladislav,Almási,Male,L. Almási,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,1999-03-06,Bratislava,Slovakia,7dybe8679n9bgyrcxi383pq3y,195.0,84.0,99.0,active,yes,right,NaN,NaN,NaN
9lzmlwu6prc91701lp0nqlkh5,Samuel,Petráš,Samuel,Petrás,Male,S. Petráš,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,1999-04-10,Žilina,Slovakia,7dybe8679n9bgyrcxi383pq3y,190.0,87.0,1.0,active,no,NaN,NaN,NaN,NaN
9tfmx1skw0vk1di55lbxhkyjt,Mateus,Brunetti Valor,Mateus,Brunetti Valor,Male,Mateus Brunetti,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Defender,player,1999-11-18,São Paulo,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,16.0,active,yes,left,Mateus Brunetti,Italy,25f2cmb2r8mk5rj92tzer6kvv
a3x1zd1zarf5tuualhfdy47h1,Yhoan Many,Andzouana,Yhoan,Andzouana,Male,Y. Andzouana,Congo,1s2y6o0lwj69dj5ib5pid8f6r,Defender,player,1996-12-13,Brazzaville,Congo,1s2y6o0lwj69dj5ib5pid8f6r,177.0,69.0,17.0,active,yes,right,NaN,France,7gww28djs405rfga69smki84o
aogmf3xbk0yra7pw9hxl3ct90,Filip,Raška,Filip,Raska,Male,F. Raška,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2005-08-09,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,47.0,active,yes,NaN,NaN,Czechia,5md5tpwr2nmqao528prx43jr7
b1o797a6gxohsv92t5ebw4lm2,Alejandro,Méndez García,Alejandro,Méndez García,Male,Alex Méndez,Spain,49ih1pwv3ahshdf8uzrimi54c,Defender,player,2001-07-28,NaN,Spain,49ih1pwv3ahshdf8uzrimi54c,180.0,68.0,18.0,active,yes,NaN,Alex Méndez,NaN,NaN
cz8rap253qxnx9l0g1sj6dt04,Mahmudu,Bajo,Mahmudu,Bajo,Male,M. Bajo,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,Midfielder,player,2004-08-15,NaN,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,178.0,NaN,6.0,active,yes,NaN,NaN,NaN,NaN
d4k91nsdr9bwivcca7naey8lw,Levente,Bősze,Levente,Bosze,Male,L. Bősze,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Midfielder,player,2009-02-18,NaN,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,NaN,NaN,13.0,active,yes,NaN,NaN,NaN,NaN
d88612l7fy9dvqe1kulqevlsk,Vasilios,Kaltsas,Vasilios,Kaltsas,Male,V. Kaltsas,Greece,6lpgd60z890no2v46zdecrcss,Goalkeeper,player,2007-03-25,NaN,Greece,6lpgd60z890no2v46zdecrcss,195.0,NaN,30.0,active,yes,right,NaN,NaN,NaN
dhc0ecmk5ddpdadm7ziv61y39,Francisco Javier,Muñoz Llompart,Francisco Javier,Muñoz Llompart,Male,Xisco Muñoz,Spain,49ih1pwv3ahshdf8uzrimi54c,NaN,coach,1980-09-05,Manacor,Spain,49ih1pwv3ahshdf8uzrimi54c,175.0,69.0,NaN,active,yes,NaN,Xisco Muñoz,NaN,NaN
dn0cmj9g9hqefe4of9qripuj9,Filip,Kaša,Filip,Kasa,Male,F. Kaša,Czechia,5md5tpwr2nmqao528prx43jr7,Defender,player,1994-01-01,Ostrava,Czechia,5md5tpwr2nmqao528prx43jr7,189.0,77.0,25.0,active,no,right,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y
dphjm5otyeb004tqonfbbct90,Damir,Redzic,Damir,Redzic,Male,D. Redzic,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Attacker,player,2003-03-23,NaN,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,NaN,NaN,23.0,active,yes,NaN,NaN,NaN,NaN
dsm566un9e2aoiz7t4z4pl7je,Milán,Vitális,Milán,Vitális,Male,M. Vitális,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Midfielder,player,2002-01-28,NaN,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,NaN,NaN,27.0,active,yes,NaN,NaN,NaN,NaN
du28e4s5bntunw94yzsdh4acq,Matej,Trusa,Matej,Trusa,Male,M. Trusa,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,2000-11-29,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,184.0,74.0,46.0,active,yes,NaN,NaN,NaN,NaN
eaucji42h0ay0g8h4nh4f9s7o,Konrad Jan,Gruszkowski,Konrad,Gruszkowski,Male,K. Gruszkowski,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,2001-01-27,Rabka-Zdrój,Poland,27baqb7359ywdvsxxklx1kn11,183.0,74.0,77.0,active,yes,right,NaN,NaN,NaN
efjgg9qr6hdz7ufboa07q5y7e,Ammar Manaf,Ramadan,Ammar Manaf,Ramadan,Male,Ammar Ramadan,Syria,3tsnzfkszhsktmhsmwar1tvp8,Attacker,player,2001-01-05,Edlib,Syria,3tsnzfkszhsktmhsmwar1tvp8,174.0,72.0,10.0,active,yes,left,Ammar Ramadan,NaN,NaN
eje5qbwydavpurasv1lyw5xih,Aleksandar,Popović,Aleksandar,Popovic,Male,A. Popović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Goalkeeper,player,1999-09-27,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,41.0,active,yes,NaN,NaN,NaN,NaN
euerbe0yev1srzyswuvseq49g,Oliver,Jürgens,Oliver,Jürgens,Male,O. Jürgens,Estonia,64smib5liu1qh78iaylufxj99,Attacker,player,2003-05-10,Tallinn,Estonia,64smib5liu1qh78iaylufxj99,180.0,NaN,14.0,active,no,NaN,NaN,NaN,NaN
nxz62x5gfz3d8hxqoon6lv1m,Ákos,Szendrei,Ákos,Szendrei,Male,Á. Szendrei,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Attacker,player,2003-01-23,NaN,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,NaN,NaN,22.0,active,yes,NaN,NaN,NaN,NaN
17fh37y13hwtz5osjkf16ltxx,Michal,Faško,Michal,Fasko,Male,M. Faško,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1994-08-24,Brezno,Slovakia,7dybe8679n9bgyrcxi383pq3y,183.0,76.0,23.0,active,yes,left,NaN,NaN,NaN
2bxftztbfbzrxj3cf0xizfkkp,Szilárd,Bokros,Szilárd,Bokros,Male,S. Bokros,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Defender,player,2000-03-28,NaN,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,NaN,NaN,6.0,active,yes,NaN,NaN,NaN,NaN
2p5b5vjxz74uoxihdoyamv6ui,Marek,Teplán,Marek,Teplán,Male,M. Teplán,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,2002-07-07,Martin,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,30.0,active,yes,NaN,NaN,NaN,NaN
3mvuxo3km7pzvgh82y1zo0z6c,Ľubomír,Žinčák,NaN,NaN,Male,Ľ. Žinčák,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,NaN,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,12.0,active,yes,NaN,NaN,NaN,NaN
3p9zmquh318g7ovqgmpuryllh,Dominik,Kružliak,Dominik,Kruzliak,Male,D. Kružliak,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1996-07-10,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,183.0,79.0,24.0,active,yes,NaN,NaN,NaN,NaN
3ph2vmo060rq3l7h3korj30lx,Žan,Medved,Zan,Medved,Male,Ž. Medved,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,Attacker,player,1999-06-14,Slovenj Gradec,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,185.0,NaN,55.0,active,yes,NaN,NaN,NaN,NaN
4250ti5pfnj8qh5iz4ukzjnjd,Péter,Varga,Péter,Varga,Male,P. Varga,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1998-01-27,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,183.0,68.0,66.0,active,yes,NaN,NaN,NaN,NaN
4w32xhwkyd5mtf8jkbja744x5,Lukáš,Fabiš,Lukás,Fabis,Male,L. Fabiš,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1998-05-05,Nitra,Slovakia,7dybe8679n9bgyrcxi383pq3y,185.0,82.0,19.0,active,yes,NaN,NaN,NaN,NaN
4wtqt7xl5c6mltvdxjc5oo0k5,Roman,Skuhravý,NaN,NaN,Male,R. Skuhravý,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,coach,1975-01-06,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,active,yes,NaN,NaN,NaN,NaN
50i05npy0v93nfhir5xh0ooic,Giannis,Niarchos,Giannis,Niarchos,Male,G. Niarchos,Greece,6lpgd60z890no2v46zdecrcss,Attacker,player,2002-06-26,NaN,Greece,6lpgd60z890no2v46zdecrcss,NaN,NaN,7.0,active,yes,NaN,NaN,NaN,NaN
5bpx24iyhlarqkmg09pm27lgq,Luís Miguel,Castelo dos Santos,Luís Miguel,Castelo dos Santos,Male,Luís dos Santos,Portugal,1nbm5i9a0403zzvltn17lxinc,Midfielder,player,2000-01-20,NaN,Portugal,1nbm5i9a0403zzvltn17lxinc,175.0,71.0,11.0,active,yes,NaN,Luís dos Santos,NaN,NaN
5uol2o9loy0ihrff17kz2ux2h,Marek,Zsigmund,Marek,Zsigmund,Male,M. Zsigmund,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1997-04-20,Ružomberok,Slovakia,7dybe8679n9bgyrcxi383pq3y,174.0,76.0,25.0,active,yes,NaN,NaN,NaN,NaN
5vjwd4k2n8vpnb84g2wi15nu1,Ján,Krivák,Ján,Krivák,Male,J. Krivák,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1993-11-10,Vranov nad Topľou,Slovakia,7dybe8679n9bgyrcxi383pq3y,186.0,78.0,20.0,active,yes,NaN,NaN,NaN,NaN
6um29l0f5fkk73if6g76mc1k9,Dávid,Šípoš,Dávid,Sípos,Male,D. Šípoš,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,1998-08-14,Topoľčany,Slovakia,7dybe8679n9bgyrcxi383pq3y,189.0,73.0,1.0,active,yes,NaN,NaN,NaN,NaN
75rogdn577r9sni9eo2pxrx90,Šimon,Sabolčík,Simon,Sabolcík,Male,Š. Sabolčík,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2005-08-16,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,29.0,active,yes,NaN,NaN,NaN,NaN
7676jh2vz7qsvhu5aulumyzh0,Rastislav,Korba,Rastislav,Korba,Male,R. Korba,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2006-04-03,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,18.0,active,yes,NaN,NaN,NaN,NaN
95aokv8dk9sj9uq57k7t7po15,Daniel,Magda,Daniel,Magda,Male,D. Magda,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1997-11-25,Prešov,Slovakia,7dybe8679n9bgyrcxi383pq3y,184.0,80.0,21.0,active,yes,right,NaN,NaN,NaN
