id,firstName,lastName,shortFirstName,shortLastName,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,foot,shirtNumber,status,active,secondNationality,secondNationalityId,weight,knownName
ddfwtazsntda1pah2l454py3t,Jay,Gorter,Jay,Gorter,J. Gorter,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2000-05-30,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,190.0,right,12.0,active,yes,NaN,NaN,79.0,NaN
dlgqk5qe96gaxeq8vu4dozyms,Gabriel,Osei Misehouy,Gabriel,Misehouy,G. Misehouy,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2005-07-18,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,173.0,right,50.0,active,yes,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN
dxmulnxbs11kpi1goq5hl9cve,Anass,Salah-Eddine,Anass,Salah-Eddine,A. Salah-Eddine,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2002-01-18,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,180.0,left,17.0,active,no,Morocco,2xdcc39z1k79pnjbtn9x31wdh,66.0,NaN
e9u7cmvaem5p7x9px3yq9f179,Borna,Sosa,Borna,Sosa,B. Sosa,Croatia,37hlakrwxyuzovaeoo4sezusp,Defender,player,1998-01-21,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,187.0,left,25.0,active,yes,Germany,36min0qztu8eydwvpv8t1is0m,79.0,NaN
elakgkn99i1aig691q1hl8ay2,Sivert,Heggheim Mannsverk,Sivert,Mannsverk,S. Mannsverk,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2002-05-08,Øvre Årdal,Norway,7f16iy4w8u8ogyn6pfooqwv5z,185.0,right,16.0,active,yes,NaN,NaN,77.0,NaN
f2ibn3ej2doay3b4u8ezeix62,Diant,Ramaj,Diant,Ramaj,D. Ramaj,Germany,36min0qztu8eydwvpv8t1is0m,Goalkeeper,player,2001-09-19,Stuttgart,Germany,36min0qztu8eydwvpv8t1is0m,189.0,both,40.0,active,yes,Kosovo,86u6edbqifdjsn49mbp2anw7p,81.0,NaN
f593mnttzie8gicqlig2zvzvu,Amourricho Jahvairo Déshauntino,van Axel Dongen,Amourricho,van Axel Dongen,A. van Axel Dongen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2004-09-29,Almere,Netherlands,6hzi5pltnz67q4la8yli9qfv6,175.0,right,27.0,active,yes,Suriname,31vay1njxmbs7vtbfp1wo2dx1,70.0,NaN
i2nzkd9jxs9mxaati81gcmi1,Jakov,Medić,Jakov,Medic,J. Medić,Croatia,37hlakrwxyuzovaeoo4sezusp,Defender,player,1998-09-07,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,193.0,right,18.0,active,yes,NaN,NaN,91.0,NaN
p7vw4thx5wzo49h6hfabcq5m,Mohammed,Kudus,Mohammed,Kudus,M. Kudus,Ghana,2q2sw72utw5gu9t5y4knckwba,Midfielder,player,2000-08-02,Accra,Ghana,2q2sw72utw5gu9t5y4knckwba,177.0,left,20.0,active,no,NaN,NaN,70.0,NaN
19wuvqpmewphgvsfzi4yjl756,Iman,Griffith,Iman,Griffith,I. Griffith,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2001-12-02,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,170.0,right,39.0,active,no,NaN,NaN,65.0,NaN
1hmy5uxiyr8g915tngl9l8twq,Myron,van Brederode,Myron,van Brederode,M. van Brederode,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2003-07-06,Hoofddorp,Netherlands,6hzi5pltnz67q4la8yli9qfv6,174.0,right,19.0,active,yes,NaN,NaN,60.0,NaN
1t7nph4960rjzu7rgi47sf8ix,Jens,Odgaard,Jens,Odgaard,J. Odgaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,1999-03-31,Hillerød,Denmark,5adf60vwiw2f2mibyq1k4ex7i,188.0,left,7.0,active,no,NaN,NaN,83.0,NaN
2p6h6ivyzp1fzsayw7r2xn2dx,Hobie,Verhulst,Hobie,Verhulst,H. Verhulst,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,1993-04-02,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,192.0,left,12.0,active,yes,NaN,NaN,92.0,NaN
31bs2qi2aa9in77z0iftbkk8a,David,Møller Wolfe,David,Møller Wolfe,D. Møller Wolfe,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,2002-04-23,Bergen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,185.0,left,18.0,active,yes,NaN,NaN,78.0,NaN
33yauarx84sam5u05vgyqxfxl,Karl Jesper,Karlsson,Jesper,Karlsson,J. Karlsson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,1998-07-25,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,171.0,right,11.0,active,no,NaN,NaN,70.0,NaN
37d95b3fxv76fm0b6n4tomm8k,Jan,Sierksma,Jan,Sierksma,J. Sierksma,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,assistant coach,1984-06-24,Dokkum,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,active,yes,NaN,NaN,NaN,NaN
3kjxnvfmwd4hij1gnjc3xdhck,Enoch,Mayele Kiemba Mastoras,Enoch,Mastoras,E. Mastoras,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2006-05-24,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,173.0,right,62.0,active,yes,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,65.0,NaN
3u0yfnfs6jqx0xv2epsynesd0,Tristan,Kuijsten,Tristan,Kuijsten,T. Kuijsten,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2005-01-16,Almere,Netherlands,6hzi5pltnz67q4la8yli9qfv6,191.0,right,53.0,active,yes,NaN,NaN,83.0,NaN
3uq3lrjyj4mnvq6162b0jyhnt,Mees Jacobus Wilhelmus,de Wit,Mees,de Wit,M. de Wit,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,1998-04-17,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,181.0,left,34.0,active,yes,NaN,NaN,80.0,Mees de Wit
3wlfck1h1p0ead0ead6csc5ey,Kenneth,Goudmijn,Kenneth,Goudmijn,K. Goudmijn,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,assistant coach,1970-12-04,NaN,Suriname,31vay1njxmbs7vtbfp1wo2dx1,NaN,NaN,NaN,active,yes,NaN,NaN,NaN,NaN
4cegvsj3s6t0o1l5xap6jypuy,Mayckel,Lahdo,Mayckel,Lahdo,M. Lahdo,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,2002-12-30,Stockholm,Sweden,1z6l2c33w2kyz9rdefs1d68nb,171.0,right,23.0,active,yes,NaN,NaN,76.0,NaN
51f3vubki4or5vaft5tromn3e,Yusuf,Barası,Yusuf,Barasi,Y. Barası,Türkiye,6kd6webenogylfgwt2aa9l6vx,Attacker,player,2003-03-31,Alkmaar,Netherlands,6hzi5pltnz67q4la8yli9qfv6,182.0,right,17.0,active,no,NaN,NaN,72.0,NaN
619vlbweueymdkq1vu3jm2mwa,Ibrahim,Sadiq,Ibrahim,Sadiq,I. Sadiq,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,2000-05-07,Accra,Ghana,2q2sw72utw5gu9t5y4knckwba,167.0,right,11.0,active,yes,NaN,NaN,68.0,NaN
685wka5xc8na423mirotcu238,Jayden,Osei Addai,Jayden,Addai,J. Addai,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2005-08-26,NaN,Ghana,2q2sw72utw5gu9t5y4knckwba,175.0,left,17.0,active,yes,Ghana,2q2sw72utw5gu9t5y4knckwba,74.0,NaN
6zzcoo9k4ebqtlux49rbb5fro,Maxim,Dekker,Maxim,Dekker,M. Dekker,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2004-04-21,Rijsenhout,Netherlands,6hzi5pltnz67q4la8yli9qfv6,190.0,left,22.0,active,yes,NaN,NaN,80.0,NaN
74c15mfi1h4zrry5fo2q94ul1,Riechedly,Bazoer,Riechedly,Bazoer,R. Bazoer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,1996-10-12,Utrecht,Netherlands,6hzi5pltnz67q4la8yli9qfv6,184.0,right,25.0,active,yes,Curaçao,5im58ram567ao2fbnz39sm8vk,74.0,NaN
792zq4joba1qgt0lusvrjantg,Lequincio,Zeefuik,Lequincio,Zeefuik,L. Zeefuik,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2004-11-26,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,197.0,right,28.0,active,yes,Suriname,31vay1njxmbs7vtbfp1wo2dx1,80.0,NaN
7jgtmmk4b2bgn0syidj6ve7kl,Jordy,Clasie,Jordy,Clasie,J. Clasie,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,1991-06-27,Haarlem,Netherlands,6hzi5pltnz67q4la8yli9qfv6,169.0,right,8.0,active,yes,NaN,NaN,68.0,NaN
7jpreaads35pnnfqbn7hmrmy,Sven,Mijnans,Sven,Mijnans,S. Mijnans,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2000-03-09,Spijkenisse,Netherlands,6hzi5pltnz67q4la8yli9qfv6,190.0,left,16.0,active,yes,NaN,NaN,70.0,NaN
7s2zxbtepa7dgr8yl0s48afpw,Finn,Stam,Finn,Stam,F. Stam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2003-04-13,Zaandam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,right,36.0,active,yes,NaN,NaN,82.0,NaN
7sd87ylfbtgwgpb70hf68cel1,Vangelis,Pavlidis,Vangelis,Pavlidis,V. Pavlidis,Greece,6lpgd60z890no2v46zdecrcss,Attacker,player,1998-11-21,Thessaloniki,Greece,6lpgd60z890no2v46zdecrcss,186.0,both,9.0,active,yes,NaN,NaN,82.0,NaN
7udphhcokm6vralyz5gkovxsl,Mathew David,Ryan,Mathew,Ryan,M. Ryan,Australia,u5ieemi69z72c3bgczyy68lo,Goalkeeper,player,1992-04-08,Plumpton,Australia,u5ieemi69z72c3bgczyy68lo,184.0,right,1.0,active,yes,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,83.0,NaN
7ug3a0z74dj7qlq4jbtn1kutw,Daniël Virginio,Deen,Daniël,Deen,D. Deen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2003-02-13,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,right,31.0,active,yes,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,72.0,NaN
7wrulbqqdeecd5vegsbb1905w,Rome-Jayden,Owusu-Oduro,Rome-Jayden,Owusu-Oduro,R. Owusu-Oduro,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2004-07-02,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,189.0,right,20.0,active,yes,Ghana,2q2sw72utw5gu9t5y4knckwba,82.0,NaN
7yyqv2db9tzlinc8991xb0kd0,Kiyani,Zeggen Lieuw Kie Song,Kiyani,Zeggen,K. Zeggen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2006-10-15,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,left,99.0,active,yes,NaN,NaN,NaN,NaN
89mr3li2k2f01r75sz0sn1zsa,Gonçalo,do Lago Pontes Esteves,Gonçalo,do Lago Pontes Esteves,Gonçalo Esteves,Portugal,1nbm5i9a0403zzvltn17lxinc,Defender,player,2004-02-27,Arcos de Valdevez,Portugal,1nbm5i9a0403zzvltn17lxinc,171.0,right,27.0,active,yes,NaN,NaN,73.0,Gonçalo Esteves
