id,firstName,lastName,shortFirstName,shortLastName,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,shirtNumber,status,active,foot,secondNationality,secondNationalityId,knownName
30pn568okqowno5oyiy5ldka1,Armin,Đerlek,Armin,Djerlek,A. Đerlek,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,2000-07-15,Novi Pazar,Serbia,5w4ve503bjdsshwx9ho6jxzx0,173.0,NaN,22.0,active,yes,right,NaN,NaN,NaN
3h9lw0y2c1ccj9xcy1u8ht9g4,Daniel,Prekop,NaN,NaN,D. Prekop,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2005-05-20,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,82.0,active,yes,NaN,NaN,NaN,NaN
3zfwycbtlksz95tsqcog03yp6,Kelvin,Spencer Pires,Kelvin,Spencer Pires,Kelvin Pires,Cabo Verde,7235kgq23bu1v4qwk491u58h0,Defender,player,2000-06-05,Mindelo,Cabo Verde,7235kgq23bu1v4qwk491u58h0,193.0,87.0,19.0,active,no,NaN,NaN,NaN,Kelvin Pires
430cujc2dwptr8ue1z3qarxuc,Bright,Donkor,NaN,NaN,B. Donkor,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,2005-01-10,NaN,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,NaN,active,yes,NaN,NaN,NaN,NaN
4tbq0np7t53osg0fwv6zsd84q,Lazar,Stojsavljević,Lazar,Stojsavljevic,L. Stojsavljević,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,1998-05-05,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0,191.0,NaN,15.0,active,yes,left,NaN,NaN,NaN
5b6hl1ebs531i3w828pjueadw,Roman,Šebeň,Roman,Seben,R. Šebeň,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2003-03-09,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,3.0,active,yes,NaN,NaN,NaN,NaN
5k1fv5mcnkx53vrs415hkqhud,Josimar José,Évora Dias,Josimar José,Évora Dias,Vózinha,Cabo Verde,7235kgq23bu1v4qwk491u58h0,Goalkeeper,player,1986-06-03,Mindelo,Cabo Verde,7235kgq23bu1v4qwk491u58h0,189.0,75.0,86.0,active,yes,right,NaN,NaN,Vózinha
5w3jmzuq05jmljucwdsdkb1uc,Samuel,Bagín,Samuel,Bagín,S. Bagín,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2004-02-08,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,189.0,NaN,2.0,active,yes,NaN,NaN,NaN,NaN
60b5lye5vvb6yfr3wrie1o6p5,Michal,Kukučka,NaN,NaN,M. Kukučka,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,2002-04-12,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,99.0,active,yes,NaN,NaN,NaN,NaN
6w6n644baxsqk6zs4h5sed6nd,Samuel,Kozlovský,Samuel,Kozlovsky,S. Kozlovský,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1999-11-19,Bratislava,Slovakia,7dybe8679n9bgyrcxi383pq3y,182.0,76.0,4.0,active,yes,NaN,NaN,NaN,NaN
6xxn37bze0ws3ntmsv5sa3npx,Dabney,dos Santos Souza,Dabney,dos Santos,D. dos Santos,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,1996-07-21,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,176.0,68.0,10.0,active,no,right,NaN,NaN,NaN
7df6qaqpcx2den2tkq1qfi5be,Alden,Šuvalija,Alden,Suvalija,A. Šuvalija,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Midfielder,player,2002-03-03,NaN,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN,NaN,37.0,active,yes,NaN,NaN,NaN,NaN
7dwskqkezkwk0cyzebcgsbjai,Njegoš,Kupusović,Njegos,Kupusovic,N. Kupusović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Attacker,player,2001-02-22,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0,179.0,75.0,29.0,active,yes,NaN,NaN,NaN,NaN
7xsfwboa87damxs9co25sf7ys,Eynel Domingos,Rocha Soares,Eynel Domingos,Rocha Soares,Eynel Soares,Cabo Verde,7235kgq23bu1v4qwk491u58h0,Attacker,player,1998-10-25,NaN,Cabo Verde,7235kgq23bu1v4qwk491u58h0,173.0,NaN,7.0,active,no,right,NaN,NaN,Eynel Soares
85gvgl3l7qbx81dqeube4z561,Hillary,Chukwah Gong,Hilary,Gong,H. Gong,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,1998-10-10,Zawan,Nigeria,63pvdwrsiq5b07mzi8igqei9p,169.0,72.0,10.0,active,yes,right,NaN,NaN,NaN
95jf68g1ogtz7q1cnlam4bn6c,Matúš,Slavíček,NaN,NaN,M. Slavíček,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,2003-07-11,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,30.0,active,yes,NaN,NaN,NaN,NaN
9tj5jpa27wxlb7j79244jvsgl,Ilija,Stolica,Ilija,Stolica,I. Stolica,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,coach,1978-07-07,Beograd,Serbia,5w4ve503bjdsshwx9ho6jxzx0,187.0,84.0,NaN,active,yes,NaN,NaN,NaN,NaN
a8arrpa5myjkzun3m4xfxy784,Lukáš,Mikulaj,NaN,NaN,L. Mikulaj,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,2005-04-11,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,84.0,active,yes,NaN,NaN,NaN,NaN
ah1ndwtn5jyvtw3net53i2rkk,Sunday,Haruna,NaN,NaN,S. Haruna,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Defender,player,2005-06-01,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,NaN,active,no,NaN,NaN,NaN,NaN
ao72d1mt8ddpksplwi6t2fjf8,Jude Cide,Sunday,Jude,Sunday,J. Sunday,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2004-10-04,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,18.0,active,yes,NaN,NaN,NaN,NaN
b3b4ebv8jfukcu74rfyref5zo,Tadeáš,Hájovský,Tadeás,Hájovsky,T. Hájovský,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2005-09-30,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,6.0,active,yes,NaN,NaN,NaN,NaN
cz0ivswd8ej4texqzly61p6hg,Rash Rahim,Ibrahim,NaN,NaN,R. Ibrahim,Ghana,2q2sw72utw5gu9t5y4knckwba,Midfielder,player,2001-06-10,NaN,Ghana,2q2sw72utw5gu9t5y4knckwba,186.0,NaN,20.0,active,yes,right,NaN,NaN,NaN
d3456pq0j1inb26jyfxu5ak15,Matúš,Kmeť,Matús,Kmet,M. Kmeť,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2000-06-27,Ružomberok,Slovakia,7dybe8679n9bgyrcxi383pq3y,173.0,60.0,28.0,active,yes,NaN,NaN,NaN,NaN
d9y3zs8qysymkc7kbprgtej9w,Dominik,Hollý,Dominik,Holly,D. Hollý,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2003-11-11,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,23.0,active,no,NaN,NaN,NaN,NaN
dwip9wvmdfgmnaei32f1y05m2,Samir,Ben Sallam,Samir,Ben Sallam,S. Ben Sallam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2001-06-03,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,178.0,NaN,42.0,active,yes,right,NaN,NaN,NaN
e1n8z01dq1qvm7krrjwk3y61g,Artur,Gajdoš,Artur,Gajdos,A. Gajdoš,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2004-01-20,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,8.0,active,yes,NaN,NaN,NaN,NaN
ef3rhuo7yei01o8o2pdpyenkl,Taras,Bondarenko,Taras,Bondarenko,T. Bondarenko,Ukraine,315w6fk6umfzf4qvba3t55u61,Midfielder,player,1992-09-23,NaN,Ukraine,315w6fk6umfzf4qvba3t55u61,183.0,67.0,14.0,active,yes,NaN,NaN,NaN,NaN
eiw84wsldydp7izgl43b8st1w,Alex,Húdok,NaN,NaN,A. Húdok,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,2006-05-06,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,24.0,active,yes,NaN,NaN,NaN,NaN
11r7kkbcv2bn8lar3unczuz8p,Nikola,Krstović,Nikola,Krstovic,N. Krstović,Montenegro,1411jebgwo2ja1erogsq81lg9,Attacker,player,2000-04-05,Golubovci,Montenegro,1411jebgwo2ja1erogsq81lg9,185.0,NaN,45.0,active,no,both,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN
12395z7ydxxjuz4sj034ane21,Christián,Herc,Christián,Herc,C. Herc,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1998-09-30,Levice,Slovakia,7dybe8679n9bgyrcxi383pq3y,185.0,72.0,24.0,active,yes,right,NaN,NaN,NaN
17v4rpvw3iff0o0q3xuqnesd0,Leandro Filipe,de Almeida Dornelles,Leandro Filipe,de Almeida Dornelles,Filipe,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Goalkeeper,player,2003-01-26,NaN,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,195.0,100.0,1.0,active,yes,NaN,NaN,NaN,Leandro Filipe
1atq3p7zxyrldwfy8zt2g6jxm,Krisztián,Keresztes,NaN,NaN,K. Keresztes,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Defender,player,2000-01-04,NaN,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,NaN,NaN,4.0,active,yes,NaN,NaN,NaN,NaN
1gq668oo73fi2nyyrjol7axud,Taras,Kacharaba,Taras,Kacharaba,T. Kacharaba,Ukraine,315w6fk6umfzf4qvba3t55u61,Defender,player,1995-01-07,Zhydachiv,Ukraine,315w6fk6umfzf4qvba3t55u61,187.0,74.0,33.0,active,yes,right,NaN,NaN,NaN
1hytijse7fi6hex4mhmq7ecb9,Ihor,Kharatin,Ihor,Kharatin,I. Kharatin,Ukraine,315w6fk6umfzf4qvba3t55u61,Midfielder,player,1995-02-02,Mukachevo,Ukraine,315w6fk6umfzf4qvba3t55u61,188.0,76.0,20.0,active,yes,right,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,NaN
1in8da6v8hp825rrkcq8g3bp,Rubén,Rochina Naixes,Rubén,Rochina,Rochina,Spain,49ih1pwv3ahshdf8uzrimi54c,Midfielder,player,1991-03-23,Valencia,Spain,49ih1pwv3ahshdf8uzrimi54c,182.0,76.0,NaN,active,no,left,NaN,NaN,NaN
1nsjai8x5bgirx5rufesjptjp,Milan,Dimun,Milan,Dimun,M. Dimun,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1996-09-19,Košice,Slovakia,7dybe8679n9bgyrcxi383pq3y,186.0,76.0,8.0,active,yes,NaN,NaN,NaN,NaN
1rhpw6rnxb7rrgn97dlxvan10,Botond,Angyal,NaN,NaN,B. Angyal,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2005-08-12,Dunajská Streda,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,32.0,active,yes,NaN,NaN,NaN,NaN
1txv3b9y7h3du9d5bbblg0vai,Romaric,Yapi,Romaric,Yapi,R. Yapi,France,7gww28djs405rfga69smki84o,Defender,player,2000-07-13,Évry,France,7gww28djs405rfga69smki84o,178.0,70.0,91.0,active,yes,right,NaN,NaN,NaN
2rq9bdoqppx3thlsm79j2i0ru,Márk,Csinger,Márk,Csinger,M. Csinger,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Defender,player,2003-05-31,NaN,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,NaN,NaN,21.0,active,yes,right,NaN,NaN,NaN
2w26npeupk3omj37triq7exyi,Erik Zoltán,Gyurákovics,Erik,Gyurákovics,E. Gyurákovics,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Goalkeeper,player,1999-07-21,Bratislava,Slovakia,7dybe8679n9bgyrcxi383pq3y,190.0,NaN,1.0,active,no,right,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN
418ffd041eawqf8x18t69rhzp,Adrián,Guľa,Adrian,Gula,A. Guľa,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,coach,1975-06-29,Nováky,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,active,no,NaN,NaN,NaN,NaN
4holfazbimbtysqxmhzxtdpbe,Bartol,Barišić,Bartol,Barisic,B. Barišić,Croatia,37hlakrwxyuzovaeoo4sezusp,Attacker,player,2003-01-01,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN,11.0,active,yes,NaN,NaN,NaN,NaN
4rh8c8mioo2medglnbz07wx04,Matúš,Kucman,NaN,NaN,M. Kucman,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2005-01-29,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,34.0,active,yes,NaN,NaN,NaN,NaN
4xk6crcbt40xenux91yy011at,Miroslav,Káčer,Miroslav,Kácer,M. Káčer,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1996-02-02,Žilina,Slovakia,7dybe8679n9bgyrcxi383pq3y,170.0,77.0,66.0,active,yes,right,NaN,NaN,NaN
50i05npy0v93nfhir5xh0ooic,Giannis,Niarchos,Giannis,Niarchos,G. Niarchos,Greece,6lpgd60z890no2v46zdecrcss,Attacker,player,2002-06-26,NaN,Greece,6lpgd60z890no2v46zdecrcss,NaN,NaN,9.0,active,no,NaN,NaN,NaN,NaN
5b839eahyhf1vrzti55pzpplh,Pape Cheikh,Diop Gueye,Pape Cheikh,Diop Gueye,Pape Cheikh,Senegal,6hhqyhr5cwq2pfprlazyposyk,Midfielder,player,1997-08-08,Dakar,Senegal,6hhqyhr5cwq2pfprlazyposyk,180.0,68.0,5.0,active,yes,right,NaN,NaN,Pape Cheikh
5xh9dk4vted5t3yzvnc1o3a7e,Brian Safo,Oddei,Brian,Oddei,B. Oddei,Italy,25f2cmb2r8mk5rj92tzer6kvv,Attacker,player,2002-09-18,NaN,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,22.0,active,yes,NaN,NaN,NaN,NaN
6vy1ci3n2w1hkep8jrxytujca,Ivan,Dolček,Ivan,Dolcek,I. Dolček,Croatia,37hlakrwxyuzovaeoo4sezusp,Attacker,player,2000-04-24,Koprivnica,Croatia,37hlakrwxyuzovaeoo4sezusp,181.0,76.0,9.0,active,yes,left,NaN,NaN,NaN
71k9g56fz19856bnyyy3hg7bo,Máté,Szolgai,Máté,Szolgai,M. Szolgai,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2003-07-27,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,182.0,NaN,14.0,active,no,NaN,NaN,NaN,NaN
7amuf5plpwip1k6kygscerlqt,Spyros,Risvanis,Spyros,Risvanis,S. Risvanis,Greece,6lpgd60z890no2v46zdecrcss,Defender,player,1994-01-03,Kalamata,Greece,6lpgd60z890no2v46zdecrcss,196.0,85.0,44.0,active,no,right,NaN,NaN,NaN
7pzok5hmp574y7ql2pq6jcsgk,Hlib,Tolok,Hlib,Tolok,H. Tolok,Ukraine,315w6fk6umfzf4qvba3t55u61,Attacker,player,2006-01-28,NaN,Ukraine,315w6fk6umfzf4qvba3t55u61,NaN,NaN,NaN,active,yes,NaN,NaN,NaN,NaN
8g4paxl5e68y9xvpvy1omp016,Dominik,Veselovský,Dominik,Veselovsky,D. Veselovský,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2002-07-19,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,20.0,active,no,NaN,NaN,NaN,NaN
9lzmlwu6prc91701lp0nqlkh5,Samuel,Petráš,Samuel,Petrás,S. Petráš,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,1999-04-10,Žilina,Slovakia,7dybe8679n9bgyrcxi383pq3y,190.0,87.0,99.0,active,yes,NaN,NaN,NaN,NaN
9tfmx1skw0vk1di55lbxhkyjt,Mateus,Brunetti Valor,Mateus,Brunetti Valor,Mateus Brunetti,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Defender,player,1999-11-18,São Paulo,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,16.0,active,yes,left,Italy,25f2cmb2r8mk5rj92tzer6kvv,Mateus Brunetti
a3x1zd1zarf5tuualhfdy47h1,Yhoan Many,Andzouana,Yhoan,Andzouana,Y. Andzouana,Congo,1s2y6o0lwj69dj5ib5pid8f6r,Defender,player,1996-12-13,Brazzaville,Congo,1s2y6o0lwj69dj5ib5pid8f6r,177.0,69.0,17.0,active,yes,right,France,7gww28djs405rfga69smki84o,NaN
ahco728y24hz46rb73yqd2wic,Fernand,Gouré Bi Irié,Fernand,Gouré,F. Gouré,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Attacker,player,2002-04-12,NaN,Côte d'Ivoire,tin6kf561ywonqan0mettr98,189.0,77.0,19.0,active,yes,NaN,NaN,NaN,NaN
b1o797a6gxohsv92t5ebw4lm2,Alejandro,Méndez García,Alejandro,Méndez García,Alex Méndez,Spain,49ih1pwv3ahshdf8uzrimi54c,Defender,player,2001-07-28,NaN,Spain,49ih1pwv3ahshdf8uzrimi54c,180.0,68.0,18.0,active,yes,NaN,NaN,NaN,Alex Méndez
bxjim11tyb4rdm9f0uwmaxfxl,Željko,Gavrić,Zeljko,Gavric,Ž. Gavrić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Attacker,player,2000-12-05,Bijeljina,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,181.0,NaN,80.0,active,yes,right,NaN,NaN,NaN
c03jj8y0vomssp0nb3rvrg5ck,Matija,Krivokapić,Matija,Krivokapic,M. Krivokapić,Montenegro,1411jebgwo2ja1erogsq81lg9,Attacker,player,2003-03-19,NaN,Montenegro,1411jebgwo2ja1erogsq81lg9,NaN,NaN,29.0,active,yes,NaN,NaN,NaN,NaN
cgla06cfj0yncdxt7kl5dtbvu,Andrés Josué,Romero Tocuyo,Andrés,Romero,A. Romero,Venezuela,1er0616j12s9yghuzvsx76d5v,Midfielder,player,2003-03-07,Maturín,Venezuela,1er0616j12s9yghuzvsx76d5v,178.0,72.0,6.0,active,no,right,NaN,NaN,NaN
cl10lhqdhhijaldqqbppiqv4k,Norbert,Urblík,Norbert,Urblík,N. Urblík,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2004-04-18,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,43.0,active,no,NaN,NaN,NaN,NaN
cxwydx9x09khy9g8k0bhppy50,Zoran,Záhradník,Zoran,Záhradník,Z. Záhradník,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,2005-08-19,Michalovce,Slovakia,7dybe8679n9bgyrcxi383pq3y,183.0,72.0,42.0,active,yes,both,NaN,NaN,NaN
cxx98knqlroknls0ur4fcav9x,Zsolt,Kalmár,Zsolt,Kalmár,Z. Kalmár,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Midfielder,player,1995-06-09,Győr,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,185.0,78.0,13.0,active,no,right,NaN,NaN,NaN
d88612l7fy9dvqe1kulqevlsk,Vasilios,Kaltsas,NaN,NaN,V. Kaltsas,Greece,6lpgd60z890no2v46zdecrcss,Goalkeeper,player,2007-03-25,NaN,Greece,6lpgd60z890no2v46zdecrcss,195.0,NaN,30.0,active,yes,right,NaN,NaN,NaN
dhc0ecmk5ddpdadm7ziv61y39,Francisco Javier,Muñoz Llompart,Francisco Javier,Muñoz Llompart,Xisco Muñoz,Spain,49ih1pwv3ahshdf8uzrimi54c,NaN,coach,1980-09-05,Manacor,Spain,49ih1pwv3ahshdf8uzrimi54c,175.0,69.0,NaN,active,yes,NaN,NaN,NaN,Xisco Muñoz
dlhk63jxjq2lylne8g928b9hx,Aleš,Čermák,Ales,Cermák,A. Čermák,Czechia,5md5tpwr2nmqao528prx43jr7,Midfielder,player,1994-10-01,Praha,Czechia,5md5tpwr2nmqao528prx43jr7,181.0,72.0,7.0,active,yes,right,NaN,NaN,NaN
dn0cmj9g9hqefe4of9qripuj9,Filip,Kaša,Filip,Kasa,F. Kaša,Czechia,5md5tpwr2nmqao528prx43jr7,Defender,player,1994-01-01,Ostrava,Czechia,5md5tpwr2nmqao528prx43jr7,189.0,77.0,25.0,active,yes,right,NaN,NaN,NaN
dphjm5otyeb004tqonfbbct90,Damir,Redzic,Damir,Redzic,D. Redzic,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Attacker,player,2003-03-23,NaN,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,NaN,NaN,23.0,active,yes,NaN,NaN,NaN,NaN
dsm566un9e2aoiz7t4z4pl7je,Milán,Vitális,Milán,Vitális,M. Vitális,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Midfielder,player,2002-01-28,NaN,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,NaN,NaN,27.0,active,yes,NaN,NaN,NaN,NaN
du28e4s5bntunw94yzsdh4acq,Matej,Trusa,Matej,Trusa,M. Trusa,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,2000-11-29,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,184.0,74.0,46.0,active,yes,NaN,NaN,NaN,NaN
eaucji42h0ay0g8h4nh4f9s7o,Konrad Jan,Gruszkowski,Konrad,Gruszkowski,K. Gruszkowski,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,2001-01-27,Rabka-Zdrój,Poland,27baqb7359ywdvsxxklx1kn11,183.0,74.0,77.0,active,yes,right,NaN,NaN,NaN
efjgg9qr6hdz7ufboa07q5y7e,Ammar Manaf,Ramadan,Ammar Manaf,Ramadan,Ammar Ramadan,Syria,3tsnzfkszhsktmhsmwar1tvp8,Attacker,player,2001-01-05,Edlib,Syria,3tsnzfkszhsktmhsmwar1tvp8,174.0,72.0,10.0,active,yes,left,NaN,NaN,Ammar Ramadan
eje5qbwydavpurasv1lyw5xih,Aleksandar,Popović,Aleksandar,Popovic,A. Popović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Goalkeeper,player,1999-09-27,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,41.0,active,yes,NaN,NaN,NaN,NaN
ejn0jmj376teq42orjvxzkuzt,Carlos Alexandre,Reis Pinto,Carlos Alexandre,Reis Pinto,Alex Pinto,Portugal,1nbm5i9a0403zzvltn17lxinc,Defender,player,1998-07-08,Guimarães,Portugal,1nbm5i9a0403zzvltn17lxinc,187.0,77.0,78.0,active,no,right,NaN,NaN,Alex Pinto
em9313if89snvyhfuyxt5iy38,Dániel,Veszelinov,Dániel,Veszelinov,D. Veszelinov,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Goalkeeper,player,2001-07-05,NaN,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,185.0,81.0,22.0,active,no,NaN,NaN,NaN,NaN
euerbe0yev1srzyswuvseq49g,Oliver,Jürgens,Oliver,Jürgens,O. Jürgens,Estonia,64smib5liu1qh78iaylufxj99,Attacker,player,2003-05-10,Tallinn,Estonia,64smib5liu1qh78iaylufxj99,180.0,NaN,14.0,active,yes,NaN,NaN,NaN,NaN
