id,firstName,lastName,shortFirstName,shortLastName,gender,knownName,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,status,active
4ea0sjczqa5ah1w720zlakkfe,Thiago Ezequiel,Almada,Thiago,Almada,Male,NaN,T. Almada,Argentina,2vovxa97k7v7ofa85dah2xktb,Italy,25f2cmb2r8mk5rj92tzer6kvv,Midfielder,player,2001-04-26,Ciudadela,Argentina,2vovxa97k7v7ofa85dah2xktb,171.0,63.0,right,10.0,active,no
4tci69chjeg0ukx8fs4h7r6j9,Jamal,Thiaré,Jamal,Thiaré,Male,NaN,J. Thiaré,Senegal,6hhqyhr5cwq2pfprlazyposyk,NaN,NaN,Attacker,player,1993-03-31,Kaolack,Senegal,6hhqyhr5cwq2pfprlazyposyk,183.0,70.0,right,29.0,active,yes
5t1wvh34lm993otbc3469uzxm,Jackson Lee,Conway,Jackson,Conway,Male,NaN,J. Conway,USA,7hr2f89v44y65dyu9k92vprwn,England,1fk5l4hkqk12i7zske6mcqju6,Attacker,player,2001-12-03,Leeds,England,1fk5l4hkqk12i7zske6mcqju6,188.0,91.0,NaN,36.0,active,no
652d6i0jem2jymjfzd8w0ndn9,Luis Alfonso,Abram Ugarelli,Luis,Abram,Male,NaN,L. Abram,Peru,2uib9hdovpcye4re2l3omr4dl,Italy,25f2cmb2r8mk5rj92tzer6kvv,Defender,player,1996-02-27,Lima,Peru,2uib9hdovpcye4re2l3omr4dl,181.0,76.0,left,4.0,active,yes
660a1dq2kk90vuzw0ru6mbmy,Miguel,Berry,Miguel,Berry,Male,NaN,Miguel Berry,Spain,49ih1pwv3ahshdf8uzrimi54c,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,1997-09-16,Barcelona,Spain,49ih1pwv3ahshdf8uzrimi54c,191.0,82.0,right,19.0,active,no
66fdz442trpbwdi3s7i8ktxw5,Tristan,Muyumba Nkita,Tristan,Muyumba,Male,NaN,T. Muyumba,France,7gww28djs405rfga69smki84o,Congo,1s2y6o0lwj69dj5ib5pid8f6r,Midfielder,player,1997-03-07,Paris,France,7gww28djs405rfga69smki84o,165.0,54.0,right,8.0,active,yes
6rzzilhwedeems5je313t0uay,Erik Nicolás,López Samaniego,Erik,López,Male,NaN,E. López,Paraguay,4snnlul02xmgkkb024q2bqyn9,NaN,NaN,Attacker,player,2001-11-27,NaN,Paraguay,4snnlul02xmgkkb024q2bqyn9,176.0,68.0,NaN,32.0,active,no
7dz2c9rqxasc733fedsrp3l2i,Juan José,Sánchez Purata,Juan,Purata,Male,NaN,J. Purata,Mexico,5trdr3jf42i20zj1hnkvcytr6,NaN,NaN,Defender,player,1998-01-09,San Luis Potosí,Mexico,5trdr3jf42i20zj1hnkvcytr6,188.0,78.0,NaN,22.0,active,no
84aebyqt0y9r2jjml4u1z0ij9,Georgios,Giakoumakis,Giorgos,Giakoumakis,Male,NaN,G. Giakoumakis,Greece,6lpgd60z890no2v46zdecrcss,NaN,NaN,Attacker,player,1994-12-09,Heraklion,Greece,6lpgd60z890no2v46zdecrcss,185.0,84.0,right,7.0,active,no
89knzhfu5cbjg3iqxcvz00aqy,Machop Malual,Peter Chol,Machop,Chol,Male,NaN,M. Chol,South Sudan,11zpzpjhf8wr0dcsrhz3suxc7,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1998-11-14,NaN,South Sudan,11zpzpjhf8wr0dcsrhz3suxc7,188.0,79.0,right,30.0,active,no
8pzkxfe5txe71u08n67d8k1uy,Efraín Andrés,Morales Badillo,Efraín,Morales,Male,NaN,E. Morales,Bolivia,3dgy24s32p56l29s66imputcy,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2004-03-04,Decatur,USA,7hr2f89v44y65dyu9k92vprwn,191.0,83.0,right,NaN,active,yes
8x7ureyddmuodp6nl4rxfudw5,Clément,Diop Degoud,Clément,Diop,Male,NaN,C. Diop,Senegal,6hhqyhr5cwq2pfprlazyposyk,NaN,NaN,Goalkeeper,player,1993-10-13,Paris,France,7gww28djs405rfga69smki84o,185.0,76.0,NaN,25.0,active,no
9tjcmlv9ysfk398c6siwd04ph,Quentin Oyamo,Westberg,Quentin,Westberg,Male,NaN,Q. Westberg,USA,7hr2f89v44y65dyu9k92vprwn,France,7gww28djs405rfga69smki84o,Goalkeeper,player,1986-04-25,Suresnes,France,7gww28djs405rfga69smki84o,185.0,76.0,NaN,31.0,active,yes
9zuk40rppwiyzn980bw7z1v1m,Ajani,Fortune,Ajani,Fortune,Male,NaN,A. Fortune,Trinidad and Tobago,635ed0499golbw7h62vt7g53j,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2002-12-30,Raleigh,USA,7hr2f89v44y65dyu9k92vprwn,175.0,75.0,right,35.0,active,yes
a63su8pudaernrvj1fi9006qc,Luke James,Brennan,Luke,Brennan,Male,NaN,L. Brennan,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Midfielder,player,2005-02-24,Atlanta,USA,7hr2f89v44y65dyu9k92vprwn,180.0,68.0,NaN,52.0,active,yes
abbr148gjj0whyyijov67knv9,Osvaldo,Alonso Moreno,Osvaldo,Alonso,Male,NaN,O. Alonso,Cuba,ws166hrbk0nwte3ypn8mm36g,NaN,NaN,Midfielder,player,1985-11-11,San Cristóbal,Cuba,ws166hrbk0nwte3ypn8mm36g,180.0,71.0,right,6.0,retired,no
ah3swx80hoddr239t1r6qg2ga,Tyler David,Wolff,Tyler,Wolff,Male,NaN,T. Wolff,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Attacker,player,2003-02-13,Snellville,USA,7hr2f89v44y65dyu9k92vprwn,175.0,70.0,NaN,28.0,active,yes
astn4ytzoaav30ifi17s4dn8,Alan,Carleton,Alan,Carleton,Male,NaN,A. Carleton,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Midfielder,player,2005-03-20,NaN,USA,7hr2f89v44y65dyu9k92vprwn,173.0,54.0,NaN,41.0,active,no
b1uhlg1p532nzobexc1gyo5p1,Diego Javier,de la Torre Muciño,Diego,de la Torre,Male,NaN,D. de la Torre,Mexico,5trdr3jf42i20zj1hnkvcytr6,NaN,NaN,NaN,assistant coach,1984-02-05,San Luis Potosí,Mexico,5trdr3jf42i20zj1hnkvcytr6,180.0,76.0,NaN,NaN,active,no
bjpjsx12xdi3bwsv35746arqh,Miles Gordon,Robinson,Miles,Robinson,Male,NaN,M. Robinson,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,1997-03-14,Arlington,USA,7hr2f89v44y65dyu9k92vprwn,187.0,84.0,right,12.0,active,no
c267r9oskj83zo9v4vdbvccet,Saba,Lobjanidze,Saba,Lobjanidze,Male,NaN,S. Lobjanidze,Georgia,55mqz7j6585f2jhgfhn62lomr,NaN,NaN,Midfielder,player,1994-12-18,Tbilisi,Georgia,55mqz7j6585f2jhgfhn62lomr,176.0,72.0,left,9.0,active,yes
cbjd834y2hdx5jr3bda1zz6ga,Erik Danny,Centeno,Erik,Centeno,Male,NaN,E. Centeno,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Midfielder,player,2002-06-29,NaN,USA,7hr2f89v44y65dyu9k92vprwn,173.0,67.0,NaN,NaN,active,no
cla0i94uyddjw7jzqoyfsplre,Aiden,McFadden,Aiden,McFadden,Male,NaN,A. McFadden,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,1998-09-28,NaN,USA,7hr2f89v44y65dyu9k92vprwn,175.0,75.0,NaN,37.0,active,no
cq9z19r30krrf7zule7nh7hex,Matheus,Rossetto,Matheus,Rossetto,Male,Matheus Rossetto,Matheus Rossetto,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Italy,25f2cmb2r8mk5rj92tzer6kvv,Midfielder,player,1996-06-03,Santo Amaro da Imperatriz,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,180.0,75.0,right,20.0,active,no
cqa20tk6yzfxh21e85rc0bm51,Andrew David,Gutman,Andrew,Gutman,Male,NaN,A. Gutman,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,1996-10-02,Hinsdale,USA,7hr2f89v44y65dyu9k92vprwn,178.0,72.0,NaN,15.0,active,no
cqpu0jhw59o95rjvy1k4xdvc9,Justin Jordan,Garces,Justin,Garces,Male,NaN,J. Garces,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Goalkeeper,player,2000-08-23,NaN,USA,7hr2f89v44y65dyu9k92vprwn,188.0,73.0,NaN,NaN,active,no
d3gmzmf34c6o8vzngnf7ishlg,Noah Franklin,Cobb,Noah,Cobb,Male,NaN,N. Cobb,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,2005-07-20,Chattanooga,USA,7hr2f89v44y65dyu9k92vprwn,185.0,75.0,NaN,24.0,active,yes
dcxy9p8c4qrf5vaeawf75714a,Amar,Sejdić,Amar,Sejdic,Male,NaN,A. Sejdić,USA,7hr2f89v44y65dyu9k92vprwn,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Midfielder,player,1996-11-29,Berlin,Germany,36min0qztu8eydwvpv8t1is0m,178.0,72.0,NaN,13.0,active,no
e4xcds6mws71mpp0lskbft9wq,Vicente Phillip,Reyes Núñez,Vicente,Reyes,Male,NaN,V. Reyes,Chile,32tb8d7824xg4i0ybxzssczu0,Spain,49ih1pwv3ahshdf8uzrimi54c,Goalkeeper,player,2003-11-19,Charleston,USA,7hr2f89v44y65dyu9k92vprwn,194.0,84.0,right,40.0,active,no
e8an897mmidiq51r2wz1c3jdh,Alexandre,Nascimento da Costa e Silva,Alexandre,Nascimento da Costa e Silva,Male,Xande Silva,Xande Silva,Portugal,1nbm5i9a0403zzvltn17lxinc,Angola,3k53bkrjx5zsxchc6e3mcd834,Midfielder,player,1997-03-16,Lisboa,Portugal,1nbm5i9a0403zzvltn17lxinc,177.0,68.0,right,16.0,active,no
erjg1qs9modbqfkfiz6picyqx,Ronald José,Hernández Pimentel,Ronald,Hernández,Male,NaN,R. Hernández,Venezuela,1er0616j12s9yghuzvsx76d5v,NaN,NaN,Defender,player,1997-09-21,Barinas,Venezuela,1er0616j12s9yghuzvsx76d5v,171.0,70.0,right,2.0,active,yes
esejxbb5upv0nofhq1qfnex62,Franco Gabriel,Ibarra,Franco,Ibarra,Male,NaN,F. Ibarra,Argentina,2vovxa97k7v7ofa85dah2xktb,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2001-04-28,Tigre,Argentina,2vovxa97k7v7ofa85dah2xktb,175.0,69.0,NaN,14.0,active,no
21c8xr15tb1u1kc2q6fqsmaga,Owen Michael,Wolff,Owen,Wolff,Male,NaN,O. Wolff,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Midfielder,player,2004-12-30,NaN,USA,7hr2f89v44y65dyu9k92vprwn,175.0,66.0,NaN,33.0,active,yes
3cbmr8hg3kszw5wl04p3ol27e,Calvin Jay,Fodrey,CJ,Fodrey,Male,NaN,C. Fodrey,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Midfielder,player,2004-02-10,NaN,USA,7hr2f89v44y65dyu9k92vprwn,188.0,72.0,NaN,19.0,active,yes
3kdo987cyshholc6o499t5skp,Leo Onni Artturi,Väisänen,Leo,Väisänen,Male,NaN,L. Väisänen,Finland,2u07e54v5dprsugdvddpq5ync,NaN,NaN,Defender,player,1997-07-23,Helsinki,Finland,2u07e54v5dprsugdvddpq5ync,186.0,76.0,right,15.0,active,yes
3ks6pxe94hk9l4q46do2c628l,Adam Stefan,Lundkvist,Adam,Lundkvist,Male,NaN,A. Lundkvist,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Defender,player,1994-03-20,Nyköping,Sweden,1z6l2c33w2kyz9rdefs1d68nb,175.0,65.0,left,21.0,active,no
3sm6srzig957fdn96ta68nmne,David,Rodríguez Uribe,David,Rodríguez,Male,NaN,D. Rodríguez,USA,7hr2f89v44y65dyu9k92vprwn,Mexico,5trdr3jf42i20zj1hnkvcytr6,Midfielder,player,2002-05-05,San Luis Potosí,Mexico,5trdr3jf42i20zj1hnkvcytr6,178.0,63.0,left,32.0,active,no
42wy8249nwozwzl13jqewtn56,Alfonso,Ocampo-Chávez,Alfonso,Ocampo-Chávez,Male,NaN,A. Ocampo-Chávez,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Attacker,player,2002-03-25,Merced,USA,7hr2f89v44y65dyu9k92vprwn,178.0,66.0,NaN,28.0,active,no
457wpw6s1esrs616paqzo355,Carlos,Asensio,Charlie,Asensio,Male,NaN,C. Asensio,USA,7hr2f89v44y65dyu9k92vprwn,Panama,5nhk7v9jq6dqmfbn4hiihhofv,Defender,player,2000-01-18,NaN,USA,7hr2f89v44y65dyu9k92vprwn,175.0,70.0,NaN,26.0,active,no
4d6cfs28p6vb6q1ijkw3dks7p,Julio César,Cascante Solórzano,Julio,Cascante,Male,NaN,J. Cascante,Costa Rica,48emauy3fucokp86skcs5alh8,NaN,NaN,Defender,player,1993-10-03,Puerto Limón,Costa Rica,48emauy3fucokp86skcs5alh8,186.0,75.0,right,18.0,active,yes
5h73r4bv42whxsvnlq89b89re,Kipp Christian,Keller,Kipp,Keller,Male,NaN,K. Keller,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,2000-07-14,St. Louis,USA,7hr2f89v44y65dyu9k92vprwn,188.0,82.0,NaN,4.0,active,no
5j2hy92q8f17nppznxrp8kxxx,Alexander Michael,Ring,Alexander,Ring,Male,NaN,A. Ring,Finland,2u07e54v5dprsugdvddpq5ync,NaN,NaN,Midfielder,player,1991-04-09,Helsinki,Finland,2u07e54v5dprsugdvddpq5ync,178.0,73.0,right,8.0,active,yes
5kxl3fn1tkzy8n831aql93a0a,Brandan Andrew,Craig,Brandan,Craig,Male,NaN,B. Craig,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,2004-04-07,Philadelphia,USA,7hr2f89v44y65dyu9k92vprwn,185.0,72.0,right,27.0,active,no
5soi2nnd007o6t8fulzr1yggl,Joshua David,Wolff,Josh,Wolff,Male,NaN,J. Wolff,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,coach,1977-02-25,Stone Mountain,USA,7hr2f89v44y65dyu9k92vprwn,175.0,72.0,NaN,NaN,active,no
5ym1q9duaf8gaumjc83ze4vyt,Bradley Scott,Stuver,Brad,Stuver,Male,NaN,B. Stuver,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Goalkeeper,player,1991-04-16,Cleveland,USA,7hr2f89v44y65dyu9k92vprwn,191.0,82.0,NaN,1.0,active,yes
61y263ybiykc566mrl9w2bowl,Gyasi A.,Zardes,Gyasi,Zardes,Male,NaN,G. Zardes,USA,7hr2f89v44y65dyu9k92vprwn,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,1991-09-02,Hawthorne,USA,7hr2f89v44y65dyu9k92vprwn,188.0,80.0,both,9.0,active,yes
6pqyqf9v6g60ci7jjggalqsq1,Joseph,Hafferty,Joe,Hafferty,Male,NaN,J. Hafferty,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,1998-03-21,Tukwila,USA,7hr2f89v44y65dyu9k92vprwn,175.0,77.0,right,36.0,active,no
8ly83pm2mbtz4u7jwsv0o96qy,Cheick,Touré,Cheick,Touré,Male,NaN,C. Touré,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Guinea,4i9sg55wigitrfx7290f59ceo,Defender,player,2001-02-07,Dordrecht,Netherlands,6hzi5pltnz67q4la8yli9qfv6,167.0,72.0,right,NaN,active,no
8mjjt1miy57nwm5iy8usck4q1,Nicholas,Lima,Nick,Lima,Male,NaN,N. Lima,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,1994-11-17,Castro Valley,USA,7hr2f89v44y65dyu9k92vprwn,176.0,80.0,NaN,24.0,active,no
8vlcd0j8wb31z0hxiawpze9yh,Matthew Kelly,Bersano,Matt,Bersano,Male,NaN,M. Bersano,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Goalkeeper,player,1992-09-10,Chandler,USA,7hr2f89v44y65dyu9k92vprwn,185.0,83.0,NaN,20.0,active,yes
8znveya9u1qadcqomkwfydwph,Davy,Arnaud,Davy,Arnaud,Male,NaN,D. Arnaud,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,assistant coach,1980-06-22,Nederland,USA,7hr2f89v44y65dyu9k92vprwn,180.0,72.0,right,NaN,active,yes
a3k4grlhkn63p3xfb2rzslkdm,Damian Jas,Las,Damian,Las,Male,NaN,D. Las,USA,7hr2f89v44y65dyu9k92vprwn,Poland,27baqb7359ywdvsxxklx1kn11,Goalkeeper,player,2002-04-11,Des Plaines,USA,7hr2f89v44y65dyu9k92vprwn,188.0,84.0,right,12.0,active,no
a6zfgjf17p31522rdkrofzob9,Maximiliano Nicolás,Urruti Mussa,Maximiliano,Urruti,Male,NaN,M. Urruti,Argentina,2vovxa97k7v7ofa85dah2xktb,France,7gww28djs405rfga69smki84o,Attacker,player,1991-02-22,Rosario,Argentina,2vovxa97k7v7ofa85dah2xktb,184.0,75.0,right,37.0,active,no
azzlg3wwltk1o9fhnjs374b85,José Guillermo,Rodríguez,Memo,Rodríguez,Male,NaN,M. Rodríguez,USA,7hr2f89v44y65dyu9k92vprwn,Mexico,5trdr3jf42i20zj1hnkvcytr6,Midfielder,player,1995-12-27,Wharton,USA,7hr2f89v44y65dyu9k92vprwn,173.0,66.0,left,30.0,active,no
bovgpaqiyr161smsebisx3o5,Sebastián,Driussi,Sebastián,Driussi,Male,NaN,S. Driussi,Argentina,2vovxa97k7v7ofa85dah2xktb,Italy,25f2cmb2r8mk5rj92tzer6kvv,Midfielder,player,1996-02-09,San Justo,Argentina,2vovxa97k7v7ofa85dah2xktb,179.0,80.0,both,10.0,active,yes
ca82vaxv1vz6x0dye3gafzjkl,Diego Santiago,Fagúndez Pepe,Diego,Fagúndez,Male,NaN,D. Fagúndez,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1995-02-14,Montevideo,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,173.0,64.0,right,14.0,active,no
cmz985xi3gvv1mdwb10r5ijmd,Matthew James,Hedges,Matt,Hedges,Male,NaN,M. Hedges,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,1990-04-01,Rochester,USA,7hr2f89v44y65dyu9k92vprwn,194.0,94.0,NaN,2.0,active,yes
crlprp30citeo87zkm7juxlg5,Hector Osvaldo,Jimenez,Hector,Jimenez,Male,NaN,H. Jimenez,USA,7hr2f89v44y65dyu9k92vprwn,Mexico,5trdr3jf42i20zj1hnkvcytr6,Defender,player,1988-11-03,Huntington Park,USA,7hr2f89v44y65dyu9k92vprwn,176.0,64.0,right,16.0,active,yes
cz3k865qdwn8apn8e6xa2lu6s,Daniel Alejandro,Pereira Gil,Daniel,Pereira,Male,NaN,D. Pereira,Venezuela,1er0616j12s9yghuzvsx76d5v,NaN,NaN,Midfielder,player,2000-07-14,Caracas,Venezuela,1er0616j12s9yghuzvsx76d5v,175.0,68.0,right,6.0,active,yes
dorrtlv2amc2s2nskdz09qehh,Emiliano Ariel,Rigoni,Emiliano,Rigoni,Male,NaN,E. Rigoni,Argentina,2vovxa97k7v7ofa85dah2xktb,NaN,NaN,Midfielder,player,1993-02-04,Colonia Caroya,Argentina,2vovxa97k7v7ofa85dah2xktb,180.0,74.0,both,7.0,active,no
dp79admqqqmme9e6l9bhu41gq,Rodney Iván,Redes Cáceres,Rodney,Redes,Male,NaN,R. Redes,Paraguay,4snnlul02xmgkkb024q2bqyn9,NaN,NaN,Defender,player,2000-02-22,La Colmena,Paraguay,4snnlul02xmgkkb024q2bqyn9,173.0,72.0,NaN,11.0,active,no
dut4jl28mnzev74hm4pc9s2j9,William Christopher,Bruin,Will,Bruin,Male,NaN,W. Bruin,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Attacker,player,1989-10-24,St. Louis,USA,7hr2f89v44y65dyu9k92vprwn,188.0,88.0,NaN,29.0,retired,no
e6gr1t1rp2x7waywgzlrj8yqx,Valentin,Noël,Valentin,Noël,Male,NaN,V. Noël,France,7gww28djs405rfga69smki84o,NaN,NaN,Midfielder,player,1999-04-27,Niort,France,7gww28djs405rfga69smki84o,175.0,72.0,NaN,NaN,active,no
e6iefbralp7fndpuoaatzfpat,Ethan Christopher,Finlay,Ethan,Finlay,Male,NaN,E. Finlay,USA,7hr2f89v44y65dyu9k92vprwn,Canada,1iaoypzp6syf32cz9l15pzp7e,Midfielder,player,1990-08-06,Duluth,USA,7hr2f89v44y65dyu9k92vprwn,174.0,73.0,right,13.0,active,yes
ecp53k8d0t7yczah3aebn0yne,Jonathan Alexander,Gallagher,Jon,Gallagher,Male,NaN,J. Gallagher,Republic of Ireland,63nepb66un7juhglo2g6rezcl,NaN,NaN,Defender,player,1996-02-23,Dundalk,Republic of Ireland,63nepb66un7juhglo2g6rezcl,175.0,72.0,NaN,17.0,active,yes
elvrjpt1jlko4henaqvfid7o4,Micah Aiden,Burton,Micah,Burton,Male,NaN,M. Burton,USA,7hr2f89v44y65dyu9k92vprwn,Cambodia,38jje66sadw9avkq6pi3jhffr,Midfielder,player,2006-03-26,NaN,USA,7hr2f89v44y65dyu9k92vprwn,172.0,NaN,NaN,NaN,active,yes
em17ipdeomhewev55al4viaj9,Amro Tarek,Abdel Aziz,Amro Tarek,Abdel Aziz,Male,Amro Tarek,Amro Tarek,Egypt,42vt7mha0thcwd0ihw3p29x5i,NaN,NaN,Defender,player,1992-05-17,Los Angeles,USA,7hr2f89v44y65dyu9k92vprwn,192.0,88.0,left,3.0,active,no
ev5e7r7m60jqpvaxigduuwa1,Žan,Kolmanič,Zan,Kolmanic,Male,NaN,Ž. Kolmanič,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,NaN,NaN,Defender,player,2000-03-03,Celje,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,178.0,69.0,left,23.0,active,yes
ez5udt4o2wp0hzo9ly39ni7d,Jhojan Manuel,Valencia Jiménez,Jhojan,Valencia,Male,NaN,J. Valencia,Colombia,6kby8rq1p01fg5ds38ckkrcs5,NaN,NaN,Midfielder,player,1996-07-27,Cali,Colombia,6kby8rq1p01fg5ds38ckkrcs5,172.0,67.0,right,5.0,active,yes
ezb815xw3yx3r3ey51zovop91,Aleksandar,Radovanović,Aleksandar,Radovanovic,Male,NaN,A. Radovanović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,Defender,player,1993-11-11,Šabac,Serbia,5w4ve503bjdsshwx9ho6jxzx0,189.0,83.0,left,66.0,active,no
khvgxqohya7mawca1qx5q590,Sofiane,Djeffal,Sofiane,Djeffal,Male,NaN,S. Djeffal,France,7gww28djs405rfga69smki84o,Algeria,1ayprcriqhb8iv10ch70clppu,Midfielder,player,1999-04-19,NaN,France,7gww28djs405rfga69smki84o,180.0,79.0,NaN,22.0,active,no
ov91zkisppven9tp72gfbjf8,Bobosi,Byaruhanga,Bobosi,Byaruhanga,Male,NaN,B. Byaruhanga,Uganda,1j6yonplolalz6goyopv7xd1k,NaN,NaN,Midfielder,player,2001-12-03,NaN,Uganda,1j6yonplolalz6goyopv7xd1k,NaN,NaN,NaN,NaN,active,no
15ara0jd9j49swuwoi7z8pzo5,Kristijan,Kahlina,Kristijan,Kahlina,Male,NaN,K. Kahlina,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN,Goalkeeper,player,1992-07-24,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN,NaN,1.0,active,yes
