id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,shirtNumber,startDate,endDate,status,active,height,weight,foot,secondNationality,secondNationalityId,placeOfBirth,knownName,dateOfDeath
bmkz3l0kjoub1siyax3tot711,Kristoffer,Ramos Barmen,Kristoffer,Barmen,Male,K. Barmen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1993-08-19,Norway,7f16iy4w8u8ogyn6pfooqwv5z,10.0,2023-01-18Z,2023-08-31Z,active,no,190.0,76.0,right,NaN,NaN,Bergen,NaN,NaN
bocqh11yx20xyy11g8ej6z7x1,Alexander,Munksgaard Nielsen,Alexander,Munksgaard,Male,A. Munksgaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1997-12-13,Denmark,5adf60vwiw2f2mibyq1k4ex7i,31.0,2023-02-16Z,2023-07-31Z,active,no,181.0,75.0,right,NaN,NaN,Vind,NaN,NaN
bs079ktm1lqvcnygy37hghqtw,Mamadou,Diaw,Mamadou,Diaw,Male,M. Diaw,Senegal,6hhqyhr5cwq2pfprlazyposyk,Attacker,player,2001-01-02,Senegal,6hhqyhr5cwq2pfprlazyposyk,NaN,2023-07-31Z,2023-08-12Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
c1lig0akkmzqedwc8cwygqh2h,Andrea,Loberto,Andrea,Loberto,Male,A. Loberto,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,assistant coach,1974-11-07,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,2018-01-12Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ca3ho19xxt2287hyr4hgcb47o,Marius Lenni,Bøe,Marius,Bøe,Male,M. Bøe,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,coach,1981-08-17,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,2023-05-05Z,2023-07-01Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ccopiyu1000x10abjmm81l9uc,Henrik,Molvær Melland,Henrik,Melland,Male,H. Melland,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2005-03-29,Norway,7f16iy4w8u8ogyn6pfooqwv5z,37.0,2021-06-11Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
coetek9wyqalonvqy7nl70qqy,Markus,Seehusen Karlsbakk,Markus,Karlsbakk,Male,M. Karlsbakk,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2000-05-07,Norway,7f16iy4w8u8ogyn6pfooqwv5z,22.0,2023-01-01Z,2024-07-17Z,active,no,180.0,NaN,right,NaN,NaN,Ålesund,NaN,NaN
ctgqy7m6dipda6e0imxfipe96,Erik,Ansok Frøysa,Erik,Frøysa,Male,E. Frøysa,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2001-05-31,Norway,7f16iy4w8u8ogyn6pfooqwv5z,23.0,2023-08-04Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
czqpwyl1jk9v2osn2cfxzn5gq,Tor Erik,Valderhaug Larsen,Tor Erik,Larsen,Male,T. Larsen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Goalkeeper,player,1998-09-28,Norway,7f16iy4w8u8ogyn6pfooqwv5z,26.0,2023-01-01Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
d2698ncsatg6jtvb0l9ijhj4k,Nikolai,Søyset Hopland,Nikolai,Hopland,Male,N. Hopland,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,2004-07-24,Norway,7f16iy4w8u8ogyn6pfooqwv5z,4.0,2022-05-24Z,2024-09-02Z,active,no,186.0,80.0,right,NaN,NaN,NaN,NaN,NaN
d88feog3dgv09oxbzn15xqesq,Tobias,Klysner Breuner,Tobias,Klysner,Male,T. Klysner,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2001-07-03,Denmark,5adf60vwiw2f2mibyq1k4ex7i,7.0,2023-08-31Z,2023-12-31Z,active,no,183.0,74.0,right,NaN,NaN,Randers,NaN,NaN
e4xndi1e5obu2eciafmokqfh1,Trace Akino,Murray,Trace,Murray,Male,T. Murray,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1993-01-31,Norway,7f16iy4w8u8ogyn6pfooqwv5z,2.0,2023-02-10Z,2024-03-21Z,active,no,174.0,80.0,right,NaN,NaN,NaN,NaN,NaN
e52fv2r5uu7uosf7u6od9ov6x,Jeppe,Arctander Moe,Jeppe,Arctander Moe,Male,J. Moe,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1995-08-03,Norway,7f16iy4w8u8ogyn6pfooqwv5z,3.0,2022-03-09Z,2024-01-15Z,active,no,NaN,NaN,NaN,NaN,NaN,Oslo,NaN,NaN
e6yc5qtgd5jjkeryt484mw0kp,John,Shuguto Kitolano,John,Kitolano,Male,J. Kitolano,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1999-10-18,Norway,7f16iy4w8u8ogyn6pfooqwv5z,16.0,2022-08-02Z,NaN,active,yes,NaN,NaN,left,NaN,NaN,NaN,NaN,NaN
f08nor32dii3l4q9mtz03179,Lars Arne,Nilsen,Lars Arne,Nilsen,Male,L. Nilsen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,coach,1964-04-06,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,2020-08-28Z,2023-05-05Z,active,no,NaN,NaN,NaN,NaN,NaN,Bergen,NaN,NaN
11iaca5nfeqabdba4646vje1h,Brede Mathias,Moe,Brede,Moe,Male,B. Moe,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1991-12-15,Norway,7f16iy4w8u8ogyn6pfooqwv5z,18.0,2015-01-01Z,NaN,active,yes,184.0,80.0,right,NaN,NaN,Flatanger,NaN,NaN
13k94iyejsdn4e51jx32rb23u,Jeppe,Kjær Jensen,Jeppe,Kjær,Male,J. Kjær,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2004-03-01,Denmark,5adf60vwiw2f2mibyq1k4ex7i,23.0,2023-01-17Z,2023-08-25Z,active,no,174.0,67.0,left,NaN,NaN,Horsens,NaN,NaN
17jltcnnaha4707duh52hirit,Marius,Lode,Marius,Lode,Male,M. Lode,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1993-03-11,Norway,7f16iy4w8u8ogyn6pfooqwv5z,2.0,2022-09-01Z,2024-03-27Z,active,no,185.0,77.0,right,NaN,NaN,Kvernaland,NaN,NaN
370kkwnidcltqyooh51z6uzqi,Tobias,Fjeld Gulliksen,Tobias,Gulliksen,Male,T. Gulliksen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,2003-07-09,Norway,7f16iy4w8u8ogyn6pfooqwv5z,25.0,2023-08-01Z,2024-02-24Z,active,no,177.0,NaN,right,NaN,NaN,Drammen,NaN,NaN
3br6phwrh2lvj6cjesxuryllh,Morten,Kalvenes,Morten,Kalvenes,Male,M. Kalvenes,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,assistant coach,NaN,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,2019-01-01Z,2023-11-12Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3gvu6qvxl0ro74q6l1o4p2fx0,Magnus,Brøndbo,Magnus,Brøndbo,Male,M. Brøndbo,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Goalkeeper,player,2005-03-02,Norway,7f16iy4w8u8ogyn6pfooqwv5z,44.0,2021-07-01Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
44gqeji9twbkdtrcr2ias4efo,Mats,Pedersen,Mats,Pedersen,Male,M. Pedersen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2005-04-27,Norway,7f16iy4w8u8ogyn6pfooqwv5z,33.0,2023-02-20Z,2023-08-04Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4bntcltsmr5ymc4f8eme1v1ii,Faris,Pemi Moumbagna,Faris,Moumbagna,Male,F. Moumbagna,Cameroon,4eb9feio6u267dd1jcwaf38mt,Attacker,player,2000-07-01,Cameroon,4eb9feio6u267dd1jcwaf38mt,29.0,2023-01-12Z,2024-01-20Z,active,no,185.0,77.0,left,NaN,NaN,Yaoundé,NaN,NaN
55ashhvkh23ypnct70f9dgvkl,Ulrik,Saltnes,Ulrik,Saltnes,Male,U. Saltnes,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1992-11-10,Norway,7f16iy4w8u8ogyn6pfooqwv5z,14.0,2011-09-01Z,NaN,active,yes,187.0,78.0,right,NaN,NaN,Brønnøysund,NaN,NaN
5hst73ivtxknjb3rrdivwygnp,Sondre,Brunstad Fet,Sondre,Fet,Male,S. Fet,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1997-01-17,Norway,7f16iy4w8u8ogyn6pfooqwv5z,19.0,2021-01-15Z,NaN,active,yes,178.0,74.0,right,NaN,NaN,Ålesund,NaN,NaN
69nyfnllbbm2ryx0qomsk005x,Amahl William,D'Vaz Pellegrino,Amahl,Pellegrino,Male,A. Pellegrino,Tanzania,3rramsla3ovuhxks28wq1kirb,Attacker,player,1990-06-18,Norway,7f16iy4w8u8ogyn6pfooqwv5z,7.0,2021-08-17Z,2024-02-09Z,active,no,190.0,68.0,right,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Drammen,NaN,NaN
73zqbtqmj2afz2e4c2gu77xuc,Lucas,Kubr,Lucas,Kubr,Male,L. Kubr,Czechia,5md5tpwr2nmqao528prx43jr7,Defender,player,2004-02-25,Belgium,4wbzjcclyefma1ourvjsu4q2j,21.0,2022-07-29Z,2023-08-31Z,active,no,180.0,75.0,left,Belgium,4wbzjcclyefma1ourvjsu4q2j,Tongeren,NaN,NaN
7gqecbxztxxovmo1b6zqqcgve,Odin,Lurås Bjørtuft,Odin,Bjørtuft,Male,O. Bjørtuft,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1998-12-19,Norway,7f16iy4w8u8ogyn6pfooqwv5z,4.0,2023-01-09Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7ilgt1anlxivn987hk2l94ys4,Isak Aron,Sjong,Isak,Sjong,Male,I. Sjong,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Goalkeeper,player,2007-01-08,Norway,7f16iy4w8u8ogyn6pfooqwv5z,45.0,2023-02-15Z,2025-06-30Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
865wj533fx1l6pf8jd40uya6s,Stian,Kristiansen,Stian,Kristiansen,Male,S. Kristiansen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1999-01-06,Norway,7f16iy4w8u8ogyn6pfooqwv5z,47.0,2023-08-17Z,2024-02-01Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8697a01d7rwx57pnmqm67kkyc,Petter Nosakhare,Dahl,Petter Nosa,Dahl,Male,P. Dahl,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,2003-10-22,Norway,7f16iy4w8u8ogyn6pfooqwv5z,22.0,2023-07-15Z,2024-02-02Z,active,no,180.0,76.0,right,NaN,NaN,Oslo,NaN,NaN
993vvog7a4flhvtpyzjrqlg4,Oscar Forsmo,Kapskarmo,Oscar,Kapskarmo,Male,O. Kapskarmo,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,2000-01-05,Norway,7f16iy4w8u8ogyn6pfooqwv5z,28.0,2023-08-30Z,2024-08-30Z,active,no,190.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9bxz6zxsjf9g2ntr6aiq6b0et,Kjetil,Knutsen,Kjetil,Knutsen,Male,K. Knutsen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,coach,1968-10-02,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,2017-11-17Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN,Bergen,NaN,NaN
9kv7at589nwkud8a1hmgkspn9,Omar,Elabdellaoui,Omar,Elabdellaoui,Male,O. Elabdellaoui,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1991-12-05,Norway,7f16iy4w8u8ogyn6pfooqwv5z,3.0,2023-01-01Z,2024-12-31Z,active,no,179.0,73.0,right,NaN,NaN,Oslo,NaN,NaN
9plm1ekfi8ydpbfxhft0a8hjp,Runar,Espejord,Runar,Espejord,Male,R. Espejord,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,1996-02-26,Norway,7f16iy4w8u8ogyn6pfooqwv5z,11.0,2022-01-12Z,2024-12-19Z,active,no,189.0,86.0,right,NaN,NaN,Tromsø,NaN,NaN
a3p681d64e0k9qse621eqi9xx,Brice,Wembangomo,Brice,Wembangomo,Male,B. Wembangomo,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1996-12-18,Norway,7f16iy4w8u8ogyn6pfooqwv5z,5.0,2022-01-08Z,2025-03-19Z,active,no,NaN,NaN,NaN,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,NaN,NaN,NaN
a9aeoz0w3jm527ra9tiug72ll,Gaute Høberg,Vetti,Gaute,Vetti,Male,G. Vetti,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1998-09-02,Norway,7f16iy4w8u8ogyn6pfooqwv5z,17.0,2022-01-08Z,2023-08-14Z,active,no,180.0,70.0,right,NaN,NaN,Bergen,NaN,NaN
at4flt8tr925ds3dgw5zrgtm1,Julian,Rekdahl Faye Lund,Julian,Faye Lund,Male,J. Faye Lund,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Goalkeeper,player,1999-05-20,Norway,7f16iy4w8u8ogyn6pfooqwv5z,1.0,2022-08-01Z,NaN,active,yes,186.0,80.0,right,NaN,NaN,Oslo,NaN,NaN
azgn1hgiep0jbrbdirnkut2zu,Isak Helstad,Amundsen,Isak,Amundsen,Male,I. Amundsen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1999-10-14,Norway,7f16iy4w8u8ogyn6pfooqwv5z,6.0,2022-01-01Z,2024-02-26Z,active,no,185.0,74.0,NaN,NaN,NaN,NaN,NaN,NaN
b402113ae9zjswote8zxlzmc5,Morten,Ågnes Konradsen,Morten,Konradsen,Male,M. Konradsen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1996-05-03,Norway,7f16iy4w8u8ogyn6pfooqwv5z,16.0,2018-08-15Z,2024-01-31Z,active,no,176.0,72.0,right,NaN,NaN,Bodø,NaN,NaN
b4efh7m2z28zc5gx250vvdzze,Lasse,Selvåg Nordås,Lasse,Nordås,Male,L. Nordås,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,2002-02-10,Norway,7f16iy4w8u8ogyn6pfooqwv5z,9.0,2023-01-01Z,2023-07-31Z,active,no,NaN,NaN,NaN,NaN,NaN,Lillestrøm,NaN,NaN
bah2ub0xtery97b56gus7hcve,Ask,Tjærandsen-Skau,Ask,Tjærandsen-Skau,Male,A. Tjærandsen-Skau,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2001-01-14,Norway,7f16iy4w8u8ogyn6pfooqwv5z,37.0,2023-01-01Z,2023-12-31Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
bbyystkqag4mcfpr6utsazm51,Sondre,Sørli,Sondre,Sørli,Male,S. Sørli,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,1995-10-30,Norway,7f16iy4w8u8ogyn6pfooqwv5z,27.0,2021-03-16Z,2025-08-08Z,active,no,178.0,67.0,left,NaN,NaN,Kristiansund,NaN,NaN
biuovem90utcyzda58nixtaay,Albert,Grønbæk Erlykke,Albert,Grønbæk,Male,A. Grønbæk,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2001-05-23,Denmark,5adf60vwiw2f2mibyq1k4ex7i,8.0,2022-08-13Z,2024-07-15Z,active,no,176.0,65.0,both,NaN,NaN,Risskov,NaN,NaN
bjgxlgzxbm2fj3c2xq6mtsru1,Nikita,Haikin,Nikita,Haikin,Male,N. Haikin,Russia,7kfg68kh6n16fs4ap3xjiudr,Goalkeeper,player,1995-07-11,Israel,4bnqn6mt5vyslpxfuqdrcmpgp,12.0,2023-03-21Z,NaN,active,yes,185.0,68.0,NaN,Israel,4bnqn6mt5vyslpxfuqdrcmpgp,Netanya,NaN,NaN
