id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,status,active,endDate,knownName
8twji6k3ii51ie8r2hryha86h,Sebastian,Vasiliadis,Sebastian,Vasiliadis,Male,S. Vasiliadis,Greece,6lpgd60z890no2v46zdecrcss,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,1997-10-04,NaN,Germany,36min0qztu8eydwvpv8t1is0m,177.0,73.0,right,19.0,2024-07-01Z,active,yes,NaN,NaN
901kbo6txt2dn9wo07goomyy2,Lasse,Wilhelm,Lasse,Wilhelm,Male,L. Wilhelm,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Defender,player,2003-03-20,NaN,Germany,36min0qztu8eydwvpv8t1is0m,186.0,NaN,NaN,18.0,2024-07-01Z,active,yes,NaN,NaN
a80dfuk8ezb5peozv5bzsgr11,Alois,Schwartz,Alois,Schwartz,Male,A. Schwartz,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,coach,1967-03-28,Nürtingen,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,NaN,2025-04-22Z,active,yes,NaN,NaN
akfbttkeqfd8pzhe93ra674kp,Sven,Sonnenberg,Sven,Sonnenberg,Male,S. Sonnenberg,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Defender,player,1999-01-19,Berlin,Germany,36min0qztu8eydwvpv8t1is0m,194.0,83.0,right,4.0,2024-07-02Z,active,yes,NaN,NaN
bo0rborpna3wvglqn6gcv8q1h,Maurice Michael,Multhaup,Maurice,Multhaup,Male,M. Multhaup,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Attacker,player,1996-12-15,Bottrop,Germany,36min0qztu8eydwvpv8t1is0m,173.0,72.0,right,11.0,2024-07-01Z,active,yes,NaN,NaN
c8520lgmypwzrn4u9lml4y4t1,Patrick,Schmidt,Patrick,Schmidt,Male,P. Schmidt,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Attacker,player,1993-09-10,Homburg,Germany,36min0qztu8eydwvpv8t1is0m,186.0,90.0,right,39.0,2023-07-01Z,active,yes,NaN,NaN
co2rigzmcr7fxjk12gwlw8vdh,Till Sebastian,Schumacher,Till,Schumacher,Male,T. Schumacher,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Defender,player,1997-12-10,Essen,Germany,36min0qztu8eydwvpv8t1is0m,177.0,70.0,left,33.0,2024-07-01Z,active,yes,NaN,NaN
de4q95sa749inf9frm3jceqc5,Dominic,Baumann,Dominic,Baumann,Male,D. Baumann,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Attacker,player,1995-04-24,Wermsdorf,Germany,36min0qztu8eydwvpv8t1is0m,178.0,82.0,right,30.0,2025-07-16Z,active,yes,NaN,NaN
dg4xtfca5bvigpvhahsijl756,Jonas,Nickisch,Jonas,Nickisch,Male,J. Nickisch,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Goalkeeper,player,2004-05-21,Dresden,Germany,36min0qztu8eydwvpv8t1is0m,190.0,77.0,both,21.0,2025-07-01Z,active,yes,NaN,NaN
eg2qq1apyu3ib9s563ok7tnca,Elijah Akwasi,Krahn,Elijah,Krahn,Male,E. Krahn,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Midfielder,player,2003-08-24,NaN,Germany,36min0qztu8eydwvpv8t1is0m,184.0,78.0,right,5.0,2024-07-01Z,active,yes,NaN,NaN
ek84i0abtdqhftsz56j44usq1,Kai Daniel,Brünker,Kai,Brünker,Male,K. Brünker,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Attacker,player,1994-06-10,Villingen-Schwenningen,Germany,36min0qztu8eydwvpv8t1is0m,189.0,82.0,right,9.0,2023-07-01Z,active,yes,NaN,NaN
offwgi56ygbol9ncraxe0t05,Calogero,Rizzuto,Calogero,Rizzuto,Male,C. Rizzuto,Germany,36min0qztu8eydwvpv8t1is0m,Italy,25f2cmb2r8mk5rj92tzer6kvv,Defender,player,1992-01-05,Saarbrücken,Germany,36min0qztu8eydwvpv8t1is0m,170.0,72.0,right,7.0,2022-07-01Z,active,yes,NaN,NaN
18biu1i5pc2r4j8bcyw85ayju,Michael,Dellinger,Michael,Dellinger,Male,M. Dellinger,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Attacker,player,1993-05-13,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,right,10.0,2024-07-01Z,active,yes,NaN,NaN
1ybnqsuga7dr94ym5wemez47o,Fabio,Luque-Notaro,Fabio,Luque-Notaro,Male,F. Luque-Notaro,Liechtenstein,1v02eezboe03xoeshga0qd6ad,Spain,49ih1pwv3ahshdf8uzrimi54c,Attacker,player,2005-08-31,NaN,Liechtenstein,1v02eezboe03xoeshga0qd6ad,NaN,NaN,NaN,28.0,2025-07-01Z,active,yes,NaN,NaN
3s2y3ypz7npj0ep5xknl1h7o4,Altin,Ibisi,Altin,Ibisi,Male,A. Ibisi,Germany,36min0qztu8eydwvpv8t1is0m,North Macedonia,1lesyxylc5eza0a4z87t9azcc,Midfielder,player,2006-07-21,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,39.0,2025-07-01Z,active,yes,NaN,NaN
4c4u57alxfw2zavbdym5nmiju,Tim,Latteier,Tim,Latteier,Male,T. Latteier,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Midfielder,player,2000-05-20,Kitzingen,Germany,36min0qztu8eydwvpv8t1is0m,176.0,70.0,right,24.0,2025-07-01Z,active,yes,NaN,NaN
4hx4ux5euht02e5i8m4ntsc0l,Joshua,Endres,Joshua,Endres,Male,J. Endres,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Midfielder,player,1997-03-22,NaN,Germany,36min0qztu8eydwvpv8t1is0m,179.0,NaN,right,33.0,2024-07-01Z,active,yes,NaN,NaN
51qjcxlrahdiutqipn5sce2y2,Sebastian,Müller,Sebastian,Müller,Male,S. Müller,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Midfielder,player,2001-01-23,Schwalmstadt,Germany,36min0qztu8eydwvpv8t1is0m,180.0,69.0,right,37.0,2024-07-01Z,active,yes,NaN,NaN
5dsuw2nebn4ablsj8eji3dp0,Michael,Gehret,Michael,Gehret,Male,M. Gehret,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,assistant coach,1980-11-09,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,NaN,2024-07-01Z,active,yes,NaN,NaN
61j8fjh2pcowo9fbtg6vo4k16,Nico,Grimbs,Nico,Grimbs,Male,N. Grimbs,Germany,36min0qztu8eydwvpv8t1is0m,Austria,hcs1bd49qliqqity6o268jyt,Midfielder,player,2004-02-19,Passau,Germany,36min0qztu8eydwvpv8t1is0m,184.0,73.0,right,5.0,2025-07-01Z,active,yes,NaN,NaN
6c03f4vcociuicxolzpexbzoq,Luca,Trslic,Luca,Trslic,Male,L. Trslic,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Defender,player,2001-05-08,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,18.0,2023-07-01Z,active,yes,NaN,NaN
7drabzs108cvh84x1nzozzx05,Thomas,Meißner,Thomas,Meissner,Male,T. Meißner,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Defender,player,1991-03-26,Schweinfurt,Germany,36min0qztu8eydwvpv8t1is0m,191.0,82.0,right,8.0,2024-10-17Z,active,yes,NaN,NaN
7kr24zrnxoh6mupjb06wmp36y,Devin,Angleberger,Devin,Angleberger,Male,D. Angleberger,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Midfielder,player,2003-03-05,NaN,Germany,36min0qztu8eydwvpv8t1is0m,179.0,67.0,right,3.0,2024-07-01Z,active,yes,NaN,NaN
7nxngsy7hle2n4fz8xz9dtxpl,Toni,Stahl,Toni,Stahl,Male,T. Stahl,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Goalkeeper,player,1999-09-17,NaN,Germany,36min0qztu8eydwvpv8t1is0m,194.0,91.0,right,1.0,2025-07-01Z,active,yes,NaN,NaN
8gmv8erjc3vhjeveypy6hma6s,Maximilian,Weisbäcker,Maximilian,Weisbäcker,Male,M. Weisbäcker,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Goalkeeper,player,2001-04-18,Fulda,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,40.0,2025-07-01Z,active,yes,NaN,NaN
8lnn1xz3wdafb8yg0b69yx6fp,Pius,Krätschmer,Pius,Krätschmer,Male,P. Krätschmer,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Defender,player,1997-06-16,Ulm,Germany,36min0qztu8eydwvpv8t1is0m,187.0,82.0,left,23.0,2025-07-01Z,active,yes,NaN,NaN
8s8dqooc8j4o54syz0zxbbp0q,Ekin,Çelebi,Ekin,Çelebi,Male,E. Çelebi,Germany,36min0qztu8eydwvpv8t1is0m,Türkiye,6kd6webenogylfgwt2aa9l6vx,Defender,player,2000-06-06,NaN,Germany,36min0qztu8eydwvpv8t1is0m,184.0,74.0,left,NaN,2025-09-01Z,active,yes,2026-06-30Z,NaN
9d1n7rn1o81o0ykg9sihm2p78,Valentin,Schmitt,Valentin,Schmitt,Male,V. Schmitt,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Midfielder,player,2006-07-24,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,11.0,2024-07-01Z,active,no,2025-08-09Z,NaN
9q1t9issll2ehue6y7pdlnhpm,Nils Benedikt,Piwernetz,Nils,Piwernetz,Male,N. Piwernetz,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Defender,player,2000-04-03,Nürnberg,Germany,36min0qztu8eydwvpv8t1is0m,176.0,68.0,left,19.0,2023-07-01Z,active,yes,NaN,NaN
9yrqldr847n88u6tb55wnbgtl,Leonard,Langhans,Leonard,Langhans,Male,L. Langhans,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Defender,player,1998-10-23,Würzburg,Germany,36min0qztu8eydwvpv8t1is0m,168.0,58.0,right,7.0,2024-07-01Z,active,yes,NaN,NaN
a5h38b3m0nedr9rwg2rv27umt,Kristian,Böhnlein,Kristian,Böhnlein,Male,K. Böhnlein,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Midfielder,player,1990-05-10,Kronach,Germany,36min0qztu8eydwvpv8t1is0m,183.0,78.0,left,13.0,2020-07-15Z,active,yes,NaN,NaN
a8ds7fvoaw6vbf0pcsxam4vf8,Luka,Kalandia,Luka,Kalandia,Male,L. Kalandia,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Midfielder,player,2006-08-30,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,38.0,2025-07-01Z,active,yes,NaN,NaN
abo9dr2k7lw3t770tc9olhwph,Kevin,Fery,Kevin,Fery,Male,K. Fery,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Midfielder,player,1994-03-31,NaN,Germany,36min0qztu8eydwvpv8t1is0m,178.0,NaN,both,15.0,2011-07-01Z,active,yes,NaN,NaN
abu8ty1fb2pscviow7wkbwfoq,Erik,Shuranov,Erik,Shuranov,Male,E. Shuranov,Germany,36min0qztu8eydwvpv8t1is0m,Ukraine,315w6fk6umfzf4qvba3t55u61,Attacker,player,2002-02-22,Bamberg,Germany,36min0qztu8eydwvpv8t1is0m,184.0,84.0,NaN,9.0,2025-07-01Z,active,yes,NaN,NaN
acropt0xb87u8hcb6guef9al1,Martin,Thomann,Martin,Thomann,Male,M. Thomann,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Midfielder,player,1994-05-31,NaN,Germany,36min0qztu8eydwvpv8t1is0m,182.0,NaN,both,14.0,2024-07-01Z,active,yes,NaN,NaN
adbw9beoe7arch4vv8tgp709g,Destiny Uche,Obiogumu,Uche,Obiogumu,Male,U. Obiogumu,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,2004-04-27,Benin City,Nigeria,63pvdwrsiq5b07mzi8igqei9p,187.0,75.0,NaN,27.0,2025-07-01Z,active,yes,2026-06-30Z,NaN
adsjf6rcdn086dp50b50fd785,Johannes,Geis,Johannes,Geis,Male,J. Geis,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Midfielder,player,1993-08-17,Schweinfurt,Germany,36min0qztu8eydwvpv8t1is0m,181.0,81.0,right,30.0,2025-07-01Z,active,yes,NaN,NaN
aksjicf4keobpav3tuujngell,Manuel Paul,Wintzheimer,Manuel,Wintzheimer,Male,M. Wintzheimer,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Attacker,player,1999-01-10,Arnstein,Germany,36min0qztu8eydwvpv8t1is0m,180.0,77.0,both,25.0,2025-07-14Z,active,yes,NaN,NaN
ao6kakosogag2rn25pjuhlo2c,Lauris,Bausenwein,Lauris,Bausenwein,Male,L. Bausenwein,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Defender,player,2006-03-06,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,21.0,2023-07-01Z,active,yes,NaN,NaN
bsgokfwahuheqvn8sipq1y0yy,Kevin,Frisorger,Kevin,Frisorger,Male,K. Frisorger,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Defender,player,2000-02-19,NaN,Germany,36min0qztu8eydwvpv8t1is0m,189.0,NaN,right,4.0,2024-01-12Z,active,yes,NaN,NaN
btj1zzfoibnv07vj3cqwcbdp0,Emil,Zorn,Emil,Zorn,Male,E. Zorn,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Goalkeeper,player,2006-03-19,NaN,Germany,36min0qztu8eydwvpv8t1is0m,190.0,84.0,NaN,36.0,2023-07-01Z,active,yes,NaN,NaN
czedjjyd6e8qk4gls3np5pvro,Victor,Kleinhenz,Victor,Kleinhenz,Male,V. Kleinhenz,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,coach,1991-06-10,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,NaN,2024-07-01Z,active,yes,NaN,NaN
dbo8v1ism59ggv5vcp5g9d2c4,Jakob,Tranziska,Jakob,Tranziska,Male,J. Tranziska,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Attacker,player,2001-06-25,Coburg,Germany,36min0qztu8eydwvpv8t1is0m,190.0,NaN,right,17.0,2025-01-01Z,active,yes,NaN,NaN
dpai9umszgzqx0959lwf7st90,Nick,Doktorczyk,Nick,Doktorczyk,Male,N. Doktorczyk,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Defender,player,2005-10-27,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,2.0,2023-07-01Z,active,yes,NaN,NaN
el5zxy0oyjaz9mvmvhptwnyi2,Lucas Christopher,Zeller,Lucas,Zeller,Male,L. Zeller,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Defender,player,2000-03-14,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,6.0,2025-01-21Z,active,yes,NaN,NaN
1c29pbwauuapst5nb2tels7l6,Elias,Bethke,Elias,Bethke,Male,E. Bethke,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Goalkeeper,player,2003-03-21,Nauen,Germany,36min0qztu8eydwvpv8t1is0m,191.0,84.0,right,12.0,2020-07-01Z,active,yes,NaN,NaN
1gg4p0zdem59907d21k0hnglx,Alexander,Sebald,Alexander,Sebald,Male,A. Sebald,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Goalkeeper,player,1996-07-27,Pegnitz,Germany,36min0qztu8eydwvpv8t1is0m,189.0,80.0,right,1.0,2022-07-01Z,active,yes,NaN,NaN
1nxnza9t1jfqru2cuh1wre0pg,Nyamekye,Awortwie-Grant,Nyamekye,Awortwie-Grant,Male,N. Awortwie-Grant,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Defender,player,2000-08-07,Tübingen,Germany,36min0qztu8eydwvpv8t1is0m,190.0,NaN,right,23.0,2025-07-01Z,active,yes,NaN,NaN
1s5pzvw1u9ssdfmgre567exnt,Erik,Engelhardt,Erik,Engelhardt,Male,E. Engelhardt,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Attacker,player,1998-04-18,Kulmbach,Germany,36min0qztu8eydwvpv8t1is0m,179.0,78.0,left,18.0,2025-01-02Z,active,yes,NaN,NaN
2a01zwzcdlj4lpuuqhbrwsob8,Tobias,Röder,Tobias,Röder,Male,T. Röder,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,assistant coach,1997-09-19,Forst,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,NaN,2022-11-12Z,active,yes,NaN,NaN
2omhd6uq6i5osgygz0ikia9uy,Janis,Juckel,Janis,Juckel,Male,J. Juckel,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Midfielder,player,2004-07-29,Bernau bei Berlin,Germany,36min0qztu8eydwvpv8t1is0m,180.0,76.0,right,36.0,2022-03-01Z,active,yes,NaN,NaN
41nzghh1gkfy484gt8tvbk3bp,Jonas,Hofmann,Jonas,Hofmann,Male,J. Hofmann,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Midfielder,player,1997-02-07,Bamberg,Germany,36min0qztu8eydwvpv8t1is0m,173.0,74.0,right,6.0,2020-10-05Z,active,yes,NaN,NaN
42sjindqvk1d8vukuifebhdd5,Moritz,Hannemann,Moritz,Hannemann,Male,M. Hannemann,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Attacker,player,1998-04-09,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,11.0,2025-07-01Z,active,yes,NaN,NaN
46zm5eu8y0av61e19var1kh5,Tim,Campulka,Tim,Campulka,Male,T. Campulka,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Defender,player,1999-04-28,Bad Schlema,Germany,36min0qztu8eydwvpv8t1is0m,186.0,76.0,right,4.0,2023-07-01Z,active,yes,NaN,NaN
4ajp37qriye173bbam9rtjmne,Henry,Rorig,Henry,Rorig,Male,H. Rorig,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Defender,player,2000-03-03,Langenhagen,Germany,36min0qztu8eydwvpv8t1is0m,182.0,87.0,right,3.0,2024-07-01Z,active,yes,NaN,NaN
4d2p86dk4bugxla1yqltvx9pm,Dennis,Duah,Dennis,Duah,Male,D. Duah,Germany,36min0qztu8eydwvpv8t1is0m,Ghana,2q2sw72utw5gu9t5y4knckwba,Defender,player,2003-08-26,NaN,Germany,36min0qztu8eydwvpv8t1is0m,190.0,NaN,right,15.0,2025-07-31Z,active,yes,2026-06-30Z,NaN
57fmc5cx71td15f6y12b8d3bo,Lukas,Michelbrink,Lukas,Michelbrink,Male,L. Michelbrink,Lithuania,366yd1wf1hzvvjb5u6r59rl1w,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2005-04-15,NaN,Germany,36min0qztu8eydwvpv8t1is0m,181.0,74.0,right,8.0,2025-07-01Z,active,yes,2026-06-30Z,NaN
5m4pugg6bn9b3noaiad9zkcbu,Ted-Jonathan,Tattermusch,Ted-Jonathan,Tattermusch,Male,T. Tattermusch,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Attacker,player,2001-05-08,Meppen,Germany,36min0qztu8eydwvpv8t1is0m,194.0,89.0,right,25.0,2025-07-01Z,active,yes,NaN,NaN
5zlfbrphymfs7ixs6z26i2lsl,Tolcay,Ciğerci,Tolcay,Cigerci,Male,T. Ciğerci,Türkiye,6kd6webenogylfgwt2aa9l6vx,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,1995-01-24,Nordenham,Germany,36min0qztu8eydwvpv8t1is0m,181.0,79.0,left,10.0,2024-07-01Z,active,yes,NaN,NaN
6zummisi58pnduug0ynrsusyc,Jannis,Boziaris,Jannis,Boziaris,Male,J. Boziaris,Germany,36min0qztu8eydwvpv8t1is0m,Greece,6lpgd60z890no2v46zdecrcss,Midfielder,player,2003-04-10,NaN,Germany,36min0qztu8eydwvpv8t1is0m,178.0,NaN,NaN,19.0,2025-07-01Z,active,yes,NaN,NaN
86ct24zfcan9uij0yyj87k60a,Erik,Tallig,Erik,Tallig,Male,E. Tallig,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Midfielder,player,2000-01-10,Chemnitz,Germany,36min0qztu8eydwvpv8t1is0m,178.0,73.0,left,13.0,2025-01-24Z,active,yes,NaN,NaN
