id,firstName,lastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,shirtNumber,startDate,status,active,shortFirstName,shortLastName,height,foot,placeOfBirth,weight,secondNationality,secondNationalityId,endDate,knownName
eso2tbbpnxu9qvx6zy07m5jx0,Julius,Madsen,Male,J. Madsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2003-08-01,Denmark,5adf60vwiw2f2mibyq1k4ex7i,14.0,2024-01-03Z,active,yes,NaN,NaN,NaN,NaN,Næstved,NaN,NaN,NaN,NaN,NaN
ohjn9tgx28c0qssvrdvzr5zo,Fallou,Sene,Male,F. Sene,Senegal,6hhqyhr5cwq2pfprlazyposyk,Attacker,player,2004-08-21,Senegal,6hhqyhr5cwq2pfprlazyposyk,25.0,2025-07-22Z,active,yes,Fallou,Sene,187.0,right,Khombole,NaN,NaN,NaN,NaN,NaN
r7imm9mbdhqsepdyrk065mac,John,Batigi,Male,J. Batigi,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,2006-06-24,Ghana,2q2sw72utw5gu9t5y4knckwba,22.0,2025-06-16Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1ff871cvh5n7hojsrrgu085jo,Markus,Andersen,Male,M. Andersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3q1ltoa05i7da9me67ny62uqc,Anders,Nicolaisen,Male,A. Nicolaisen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2000-06-13,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2024-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3wjhsye9iltb9r802cx38vytw,Ronni,Madsen,Male,R. Madsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,coach,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2025-07-05Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
58d5ijoirvujhakieiubk2hp0,Jakob,Petersen,Male,J. Petersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2024-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5afaim52a5xakp5uyai4zkh04,Mads-Emil Bro,Hemmer-Hansen,Male,M. Hemmer-Hansen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2024-08-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5atu9f22qamrronus236bei38,Alexander,Plagborg,Male,A. Plagborg,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1995-03-20,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2022-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
606sx8y1pjmzj2b6nazwozt3o,Mikkel Fuglsang,Rasmussen,Male,M. Rasmussen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2000-05-17,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2022-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6ib8v0aftmrkhr96gbvti8t0,Jonas,Buch Dahl,Male,J. Dahl,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2024-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6xgt8kiak4f9mqbmabrzievpw,Nicolaj,Knudsen,Male,N. Knudsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1996-07-11,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2022-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
71mxntm0udtzy1llgmr5gk45w,Christian,Abildgaard,Male,C. Abildgaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2024-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7nkwmxyafq3vt43qqx52op1xw,Christian,Pinholt Olesen,Male,C. Pinholt,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2000-05-21,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8k2yka7q0sf0pr4658mwqyhas,Jonas,Warncke,Male,J. Warncke,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8pv98b2j2r2vje1g8te6y3ehg,Anders,Brüggert,Male,A. Brüggert,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
a21j7gsfewr9c0kwxmf0kt5p0,Daniel,Bay-Smidt,Male,D. Bay-Smidt,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2024-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
a4qc5axx8nkll0m4kv508gems,Mads Lyder,Mortensen,Male,M. Mortensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2022-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
akn8xca8qurq0q8mjtex0ajo4,Ali Badara,Ndiaye,Male,A. Ndiaye,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2025-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
bmme1hs6czf7mkqcmydrur3tg,Bo,Balder Berg,Male,B. Berg,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2000-05-25,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2022-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
c0rl5mnwuby6iav2ye268tvro,Luca,Frese,Male,L. Frese,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
c9jaasp2x4lbaztd3xz19s55g,Thomas,Brejnholt Sønnichsen,Male,T. Sønnichsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2001-12-06,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2023-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cdcoskf4pt3sh1691178ecv10,Andreas,Lauridsen,Male,A. Lauridsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2000-02-03,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2022-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
choct13mud5c9ek0eco63hc2y,Emil,Agerbæk,Male,E. Agerbæk,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2002-01-18,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2025-01-01Z,active,yes,Emil,Agerbaek,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
clkpmn8o0j4guc78wcvbq68es,Kasper,Bank Sørensen,Male,K. Bank,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cuvdracxs4z6z8ojy8ncxdwd0,Jonas Dam,Hagemann-Madsen,Male,J. Hagemann-Madsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2022-07-01Z,active,yes,NaN,NaN,178.0,right,NaN,NaN,NaN,NaN,NaN,NaN
cwayhyl4b8i9ulbfvfaj692c4,Phillip,Mundt,Male,P. Mundt,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
eacjutj2uy6manp2pk3xu98no,Marc,Ahrendsen,Male,M. Ahrendsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,1993-12-31,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2022-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ekgm6qfj8p1bnxs9qopr8ch78,Mads,Egelind,Male,M. Egelind,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1996-12-06,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2020-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
etcyhgvfove6aebkfc0orsoic,Christian Peter,Jørgensen,Male,C. Jørgensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2003-06-25,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2022-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
f4293h59uzefngnwezkhoaxw4,Gustav,Leth Juulsen,Male,G. Juulsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2024-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
i1otkwpv8o1gf66ct46r0mqc,Daniel,Kristoffersen,Male,D. Kristoffersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2024-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15ffu5ut0qvjcx3m5k5sz7wt1,Steffen,Højer,Male,S. Højer,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,coach,1973-05-22,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2025-07-29Z,active,yes,Steffen,Højer,NaN,NaN,Viborg,NaN,NaN,NaN,NaN,NaN
20g27z0cklenjg7k0ox73wyc5,Aaron,Seydel,Male,A. Seydel,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,1996-02-07,Germany,36min0qztu8eydwvpv8t1is0m,19.0,2025-01-15Z,active,yes,Aaron,Seydel,199.0,left,Langen,90.0,NaN,NaN,NaN,NaN
2o5atg0lz3jy7k86tyqda8h04,Eugene,Ampofoh Amankwah,Male,E. Amankwah,Ghana,2q2sw72utw5gu9t5y4knckwba,Defender,player,2004-11-30,Ghana,2q2sw72utw5gu9t5y4knckwba,35.0,2025-07-01Z,active,yes,Eugene,Amankwah,176.0,left,NaN,NaN,NaN,NaN,NaN,NaN
2s4umgp3yqnb2hubfoaxhwr2s,Christian,Tcacenco,Male,C. Tcacenco,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2007-05-16,Denmark,5adf60vwiw2f2mibyq1k4ex7i,32.0,2025-03-10Z,active,yes,Christian,Tcacenco,NaN,right,NaN,NaN,NaN,NaN,NaN,NaN
3tka46re2gsi9uw7pbxx5m0pg,Bertil Magne,Grønkjær Pedersen,Male,B. Pedersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2007-07-24,Denmark,5adf60vwiw2f2mibyq1k4ex7i,40.0,2023-12-01Z,active,yes,Bertil,Pedersen,195.0,right,Aalborg,NaN,NaN,NaN,NaN,NaN
459om58d2un5g9heiqlejibkk,Michael,Meyhoff Andersen,Male,M. Meyhoff,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,assistant coach,1990-03-20,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,2025-02-22Z,active,yes,Michael,Meyhoff,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48sqqhgtmfmpqb3602iirspd6,Kornelius,Normann Hansen,Male,K. Hansen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,2001-05-06,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,2025-08-22Z,active,yes,Kornelius,Hansen,175.0,right,Larvik,70.0,NaN,NaN,NaN,NaN
4sgxth7onhb5mu29bgyupby3u,Jubril,Chukwu-Emeka Adedeji,Male,J. Adedeji,England,1fk5l4hkqk12i7zske6mcqju6,Attacker,player,2000-05-25,England,1fk5l4hkqk12i7zske6mcqju6,NaN,2026-01-01Z,active,no,Jubril,Adedeji,182.0,right,NaN,72.0,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN
5521epytthhw9afm2r3jn3384,Valdemar,Møller Damgaard,Male,V. Møller,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2007-05-20,Denmark,5adf60vwiw2f2mibyq1k4ex7i,28.0,2024-03-29Z,active,yes,Valdemar,Damgaard,174.0,right,NaN,62.0,NaN,NaN,NaN,NaN
5fy3phxcsh85o47mo8qrw6n10,Jack,Cassidy,Male,J. Cassidy,England,1fk5l4hkqk12i7zske6mcqju6,NaN,assistant coach,1990-02-04,England,1fk5l4hkqk12i7zske6mcqju6,NaN,2025-02-23Z,active,yes,Jack,Cassidy,NaN,NaN,London,NaN,Republic of Ireland,63nepb66un7juhglo2g6rezcl,NaN,NaN
5lz41celw55rz3zh8pohclw5w,Oliver,Ross,Male,O. Ross,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2004-10-10,Denmark,5adf60vwiw2f2mibyq1k4ex7i,10.0,2021-08-30Z,active,yes,Oliver,Ross,186.0,right,Aalborg,74.0,NaN,NaN,NaN,NaN
5uo9saax5iqsctxq7w3si8w0k,Cornelius Axel,Olsson,Male,C. Olsson,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2006-02-27,Denmark,5adf60vwiw2f2mibyq1k4ex7i,15.0,2025-07-03Z,active,yes,Cornelius,Olsson,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5vrsflxiv2dgfa8199a2qxsve,Kelvin Pius,John,Male,K. John,Tanzania,3rramsla3ovuhxks28wq1kirb,Attacker,player,2003-06-10,Tanzania,3rramsla3ovuhxks28wq1kirb,27.0,2024-06-15Z,active,yes,Kelvin,John,179.0,right,Morogoro,73.0,NaN,NaN,NaN,NaN
