id,firstName,lastName,shortFirstName,shortLastName,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,status,active,knownName
52qemp1py9mm9unjvxaphv209,Jesper Norman,Daland,Jesper,Daland,J. Daland,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,Defender,player,2000-01-06,Kristiansand,Norway,7f16iy4w8u8ogyn6pfooqwv5z,175.0,71.0,right,4.0,active,yes,NaN
5iuagsqdiiaadb5yuf7r4vzmc,Christiaan,Ravych,Christiaan,Ravych,C. Ravych,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2002-07-30,Kortrijk,Belgium,4wbzjcclyefma1ourvjsu4q2j,187.0,71.0,right,66.0,active,yes,NaN
5pxm3apy9atp2w2j3r65ju2uh,Edgaras,Utkus,Edgaras,Utkus,E. Utkus,Lithuania,366yd1wf1hzvvjb5u6r59rl1w,NaN,NaN,Defender,player,2000-06-22,Vilnius,Lithuania,366yd1wf1hzvvjb5u6r59rl1w,190.0,77.0,right,3.0,active,yes,NaN
5w8e01c5slboqdrlqnyljlnft,Maxime René,Delanghe,Maxime,Delanghe,M. Delanghe,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Goalkeeper,player,2001-05-23,Hall,Belgium,4wbzjcclyefma1ourvjsu4q2j,189.0,83.0,right,21.0,active,yes,NaN
5wn1xudozb4s78x0m8ch7vn8q,Olivier,Deman,Olivier,Deman,O. Deman,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2000-04-06,Antwerpen,Belgium,4wbzjcclyefma1ourvjsu4q2j,181.0,74.0,left,23.0,active,no,NaN
6e6e1tzh7l5fu713khmxusahg,Romaric Emile,Legrand Etonde,Romaric,Etonde,R. Etonde,France,7gww28djs405rfga69smki84o,NaN,NaN,Attacker,player,2005-04-30,Montreuil-sous-Bois,France,7gww28djs405rfga69smki84o,NaN,NaN,right,32.0,active,no,NaN
71euf80lf18fu40b9lika9ysq,Nils,De Wilde,Nils,De Wilde,N. De Wilde,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,2003-01-27,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,182.0,NaN,right,27.0,active,yes,NaN
7ht5gaqg5p9s7pl75iuvtfvh0,Xander Robert,Martlé,Xander,Martlé,X. Martlé,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,2003-08-27,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,172.0,60.0,right,40.0,active,no,NaN
7mg9ycwc9ay4fdedl0dpp5nca,Flávio,Basilua Jacinto Nazinho,Flávio,Basilua Jacinto Nazinho,Flávio Nazinho,Portugal,1nbm5i9a0403zzvltn17lxinc,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,Defender,player,2003-07-20,Almada,Portugal,1nbm5i9a0403zzvltn17lxinc,178.0,72.0,left,20.0,active,yes,Flávio Nazinho
7mjc5a2k7wz4flem6upj5u1w4,Félix,Lemaréchal,Félix,Lemaréchal,F. Lemaréchal,France,7gww28djs405rfga69smki84o,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Midfielder,player,2003-08-07,Tours,France,7gww28djs405rfga69smki84o,180.0,73.0,right,6.0,active,yes,NaN
7weuixp1j81ga9pjhouf2h2hh,Hannes,Van der Bruggen,Hannes,Van der Bruggen,H. Van der Bruggen,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,1993-04-01,Burst,Belgium,4wbzjcclyefma1ourvjsu4q2j,181.0,72.0,right,28.0,active,yes,NaN
84l7r4ud9ipuf9vc3ib5b4l0q,Hugo Thierry,Siquet,Hugo,Siquet,H. Siquet,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2002-07-09,Marche-en-Famenne,Belgium,4wbzjcclyefma1ourvjsu4q2j,180.0,70.0,right,41.0,active,yes,NaN
8d0ffyx2qnnp0limf5aou92ei,Ayase,Ueda,Ayase,Ueda,A. Ueda,Japan,lxyibh89lpdc0bfian1nx0xq,NaN,NaN,Attacker,player,1998-08-28,Mito,Japan,lxyibh89lpdc0bfian1nx0xq,182.0,76.0,right,36.0,active,no,NaN
9hnyebqut9tmn4q0m0y9n3kd1,Sébastien Nicodemo,Bruzzese,Sébastien,Bruzzese,S. Bruzzese,Belgium,4wbzjcclyefma1ourvjsu4q2j,Italy,25f2cmb2r8mk5rj92tzer6kvv,Goalkeeper,player,1989-03-01,Liège,Belgium,4wbzjcclyefma1ourvjsu4q2j,185.0,85.0,right,89.0,active,yes,NaN
a0ecz4nlxrr62dcwixtmjiwyy,Thibo,Somers,Thibo,Somers,T. Somers,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,1999-03-16,Brugge,Belgium,4wbzjcclyefma1ourvjsu4q2j,173.0,79.0,right,34.0,active,yes,NaN
a5ls0i1ztco0zee3la61zv4rt,Senna Malik,Miangué,Senna,Miangué,S. Miangué,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,1997-02-05,Antwerpen,Belgium,4wbzjcclyefma1ourvjsu4q2j,192.0,83.0,left,18.0,active,yes,NaN
ae4c4jk7e2f3ixtme0zwnex3o,Noah,De Ridder,Noah,De Ridder,N. De Ridder,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,2003-10-08,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,180.0,70.0,NaN,NaN,active,yes,NaN
b13ly8cuyvgraih4y0wxuami2,Emilio Giuseppe,Kehrer,Emilio,Kehrer,E. Kehrer,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Attacker,player,2002-03-20,NaN,Germany,36min0qztu8eydwvpv8t1is0m,177.0,67.0,right,7.0,active,no,NaN
ba4573x87qra4546ut5gtow7o,Malamine,Efekele,Malamine,Efekele,M. Efekele,France,7gww28djs405rfga69smki84o,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,Attacker,player,2004-07-19,NaN,France,7gww28djs405rfga69smki84o,176.0,NaN,right,7.0,active,yes,NaN
bmbn4q2uorkgosgaig6migpux,Boris,Popović,Boris,Popovic,B. Popović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,France,7gww28djs405rfga69smki84o,Defender,player,2000-02-26,Tours,France,7gww28djs405rfga69smki84o,189.0,75.0,right,5.0,active,yes,NaN
cslexkls1qmrj8nu746b4rv2s,Alan Steve,Minda García,Alan,Minda,A. Minda,Ecuador,6pyj2bytt2osbjk69owzfehcg,NaN,NaN,Attacker,player,2003-05-14,Esmeraldas,Ecuador,6pyj2bytt2osbjk69owzfehcg,171.0,67.0,right,11.0,active,yes,NaN
d2dqd11a9koizwjaq93n4npt6,Kazeem Aderemi,Olaigbe,Kazeem,Olaigbe,K. Olaigbe,Belgium,4wbzjcclyefma1ourvjsu4q2j,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2003-01-02,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,right,19.0,active,yes,NaN
dn1hjjy5srrp1416f52gmwqvo,Rayan,El Bahri,Rayan,El Bahri,R. El Bahri,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,2004-02-13,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,68.0,active,yes,NaN
edti6w99ejmzljpsemda60ic,Bas,Langenbick,Bas,Langenbick,B. Langenbick,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Goalkeeper,player,2003-02-13,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,84.0,active,yes,NaN
eg9qnjpbewow79ggttc0z2h3o,Erick,Nunes Barbosa dos Santos,Erick,Nunes Barbosa dos Santos,Erick Nunes,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,Defender,player,2004-02-29,NaN,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,176.0,84.0,right,8.0,active,yes,Erick
enyx6hc9mfglu3w2robv9hd9m,Robbe,Decostere,Robbe,Decostere,R. Decostere,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,1998-05-08,Kortemark,Belgium,4wbzjcclyefma1ourvjsu4q2j,178.0,72.0,right,8.0,active,no,NaN
ez9zc94k1nj4qxjf2hrvj5dgq,Gnantin Yann-Alexandre,Gboho,Yann,Gboho,Y. Gboho,France,7gww28djs405rfga69smki84o,NaN,NaN,Attacker,player,2001-01-14,Man,Côte d'Ivoire,tin6kf561ywonqan0mettr98,178.0,63.0,right,10.0,active,no,NaN
f0k55y82lf6zzovbrm2x6edjo,Abdoul Kader,Ouattara,Abdoul,Ouattara,Abdoul Ouattara,Burkina Faso,2ggql4uo9h0p3c67wkm68ibol,NaN,NaN,Attacker,player,2005-05-26,NaN,Burkina Faso,2ggql4uo9h0p3c67wkm68ibol,NaN,NaN,NaN,99.0,active,yes,NaN
13d7ao0j091449ia61cuut87p,Mats,Rits,Mats,Rits,M. Rits,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,1993-07-18,Antwerpen,Belgium,4wbzjcclyefma1ourvjsu4q2j,178.0,73.0,right,26.0,active,no,NaN
14yb6ab45h6z3lla1i3046f4k,Joel Leandro,Ordóñez Guerrero,Joel,Ordóñez,J. Ordoñez,Ecuador,6pyj2bytt2osbjk69owzfehcg,NaN,NaN,Defender,player,2004-04-21,Guayaquil,Ecuador,6pyj2bytt2osbjk69owzfehcg,188.0,80.0,right,4.0,active,yes,NaN
16o074zua15qkk7x0me7gi1w4,Bjorn Thomas,Meijer,Bjorn,Meijer,B. Meijer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Defender,player,2003-03-18,Groningen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,182.0,NaN,left,14.0,active,yes,NaN
1q935a1d9qmoyo7v6tstqx7je,Kyriani,Sabbe,Kyriani,Sabbe,K. Sabbe,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2005-01-26,Gent,Belgium,4wbzjcclyefma1ourvjsu4q2j,176.0,68.0,right,64.0,active,yes,NaN
32eyq4xvy8s1ng11jnavvh32t,Roman,Yaremchuk,Roman,Yaremchuk,R. Yaremchuk,Ukraine,315w6fk6umfzf4qvba3t55u61,NaN,NaN,Attacker,player,1995-11-27,Lviv,Ukraine,315w6fk6umfzf4qvba3t55u61,191.0,79.0,both,70.0,active,no,NaN
3q6jhwert6ah0ll2wq69k93ah,Josef John,Bursik,Josef,Bursik,J. Bursik,England,1fk5l4hkqk12i7zske6mcqju6,Czechia,5md5tpwr2nmqao528prx43jr7,Goalkeeper,player,2000-07-12,London,England,1fk5l4hkqk12i7zske6mcqju6,187.0,70.0,left,21.0,active,yes,NaN
3qbl0ps3ms998s0apmpkre3md,Éder Fabián,Álvarez Balanta,Éder,Balanta,É. Balanta,Colombia,6kby8rq1p01fg5ds38ckkrcs5,NaN,NaN,Midfielder,player,1993-02-28,Bogotá,Colombia,6kby8rq1p01fg5ds38ckkrcs5,181.0,84.0,left,39.0,active,yes,NaN
3z59k2bgdca51tffdkfcc0k8a,Rik,De Mil,Rik,De Mil,R. De Mil,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,assistant coach,1981-09-15,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,NaN,active,no,NaN
4f8xb5sbyksacxmifi375h7qi,Kamal,Deen Sowah,Kamal,Sowah,K. Sowah,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,Midfielder,player,2000-01-09,Sabon Zango,Ghana,2q2sw72utw5gu9t5y4knckwba,179.0,66.0,left,19.0,active,no,NaN
5606cqx2mlkrp81oe6uh6ghec,Chemsdine,Talbi,Chemsdine,Talbi,C. Talbi,Belgium,4wbzjcclyefma1ourvjsu4q2j,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Attacker,player,2005-05-09,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,175.0,65.0,right,68.0,active,yes,NaN
5asv6uc3a4xxsr9u30kdfc0ve,Andreas,Skov Olsen,Andreas,Skov Olsen,A. Skov Olsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,Attacker,player,1999-12-29,Hillerød,Denmark,5adf60vwiw2f2mibyq1k4ex7i,187.0,75.0,left,7.0,active,yes,NaN
5w9g9gfeucuccwxd09o62f84p,Christ-Emmanuel Faitout,Maouassa,Faitout,Maouassa,F. Maouassa,France,7gww28djs405rfga69smki84o,Congo,1s2y6o0lwj69dj5ib5pid8f6r,Defender,player,1998-07-06,Villepinte,France,7gww28djs405rfga69smki84o,170.0,76.0,left,NaN,active,no,NaN
6u73l7tuxx0958ij9kvdizjrp,Nordin,Jackers,Nordin,Jackers,N. Jackers,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Goalkeeper,player,1997-09-05,Veldwezelt,Belgium,4wbzjcclyefma1ourvjsu4q2j,187.0,82.0,right,29.0,active,yes,NaN
6uthi96vr24700st7s7m1so6i,Romeo,Vermant,Romeo,Vermant,R. Vermant,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,2004-01-24,Gelsenkirchen,Belgium,4wbzjcclyefma1ourvjsu4q2j,181.0,74.0,right,76.0,active,no,NaN
79m802yjrfr0ji81c8ty1x2xg,Jorne,Spileers,Jorne,Spileers,J. Spileers,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2005-01-21,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,188.0,78.0,right,58.0,active,yes,NaN
85jjfo6hgk2e7gb1na0eqz1uc,Bi Abdoul Kader,Yameogo,Bi,Yameogo,B. Yameogo,Côte d'Ivoire,tin6kf561ywonqan0mettr98,NaN,NaN,Defender,player,2004-12-17,NaN,Côte d'Ivoire,tin6kf561ywonqan0mettr98,184.0,77.0,right,66.0,active,yes,NaN
8mkkchf0ysdf78r0lncd73klw,Antonio,Eromonsele Nordby Nusa,Antonio,Nusa,A. Nusa,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2005-04-17,Ski,Norway,7f16iy4w8u8ogyn6pfooqwv5z,180.0,73.0,right,32.0,active,yes,NaN
8prr8v952x2m1iopymvj6g00k,Víctor,Barberá Romero,Victor,Barberà,Víctor Barberá,Spain,49ih1pwv3ahshdf8uzrimi54c,NaN,NaN,Attacker,player,2004-08-20,Barcelona,Spain,49ih1pwv3ahshdf8uzrimi54c,177.0,67.0,right,11.0,active,yes,NaN
96yp38h6rm09nluuvlyy18and,Nick,Shinton,Nick,Shinton,N. Shinton,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Goalkeeper,player,2001-05-10,Aalst,Belgium,4wbzjcclyefma1ourvjsu4q2j,196.0,81.0,left,33.0,active,yes,NaN
99jqn2osue4tyo1l7yb93s639,Anga Dedryck,Boyata,Dedryck,Boyata,D. Boyata,Belgium,4wbzjcclyefma1ourvjsu4q2j,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,Defender,player,1990-11-28,Brussel,Belgium,4wbzjcclyefma1ourvjsu4q2j,188.0,84.0,right,28.0,active,yes,NaN
9jrya38msibxt1c7rx1et4acq,Igor Thiago,Nascimento Rodrigues,Igor Thiago,Nascimento Rodrigues,Thiago,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Bulgaria,5a1vsxg8tbnsk65iefq1q8tlt,Attacker,player,2001-06-26,NaN,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,191.0,85.0,right,99.0,active,yes,Thiago
9mlj7fxon5zy1qmktvvcwjrl6,Ferran,Jutglà Blanch,Ferran,Jutglà,Ferran Jutglà,Spain,49ih1pwv3ahshdf8uzrimi54c,NaN,NaN,Attacker,player,1999-02-01,Sant Julià de Vilatorta,Spain,49ih1pwv3ahshdf8uzrimi54c,176.0,75.0,right,9.0,active,yes,NaN
9rsuz6bumw4jyw25gpingu25m,Cisse,Sandra,Cisse,Sandra,C. Sandra,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,2003-12-16,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,184.0,74.0,left,98.0,active,no,NaN
9xvik8av83pfnqwwt85unf504,Joaquin,Seys,Joaquin,Seys,J. Seys,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2005-03-28,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,65.0,active,yes,NaN
a15padqxt0z1t8c68epynkhjp,Ronny,Deila,Ronny,Deila,R. Deila,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,coach,1975-09-21,Porsgrunn,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,NaN,active,no,NaN
ac5ihcnef0we4sklhnmxgn3mc,Axl,De Corte,Axl,de Corte,A. De Corte,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Goalkeeper,player,2006-03-24,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,left,91.0,active,yes,NaN
acx78ftnm61hm01wpmme77hbe,Tajon Trevor,Buchanan,Tajon,Buchanan,T. Buchanan,Canada,1iaoypzp6syf32cz9l15pzp7e,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,Midfielder,player,1999-02-08,Brampton,Canada,1iaoypzp6syf32cz9l15pzp7e,183.0,68.0,right,17.0,active,no,NaN
bgzvhtk50gvmq6noheadmc34l,Denis,Frimpong Odoi,Denis,Odoi,D. Odoi,Ghana,2q2sw72utw5gu9t5y4knckwba,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,1988-05-27,Leuven,Belgium,4wbzjcclyefma1ourvjsu4q2j,178.0,72.0,right,6.0,active,yes,NaN
bjhjz96omjukrg6tj3mny39t6,Maxim,De Cuyper,Maxim,De Cuyper,M. De Cuyper,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2000-12-22,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,183.0,72.0,left,55.0,active,yes,NaN
bybggxgpzlr7xz2f1i3b7c0kp,Hugo Vegard,Vetlesen,Hugo,Vetlesen,H. Vetlesen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,player,2000-02-29,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,174.0,72.0,right,10.0,active,yes,NaN
byfrgpc6tgz8lto1gor03y5sl,Simon Luc Hildebert,Mignolet,Simon,Mignolet,S. Mignolet,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Goalkeeper,player,1988-03-06,Sint-Truiden,Belgium,4wbzjcclyefma1ourvjsu4q2j,193.0,88.0,right,22.0,active,yes,NaN
byji9z9s1zb07t92wiyg4hk9h,Nicky,Hayen,Nicky,Hayen,N. Hayen,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,coach,1980-08-16,Sint-Truiden,Belgium,4wbzjcclyefma1ourvjsu4q2j,188.0,78.0,right,NaN,active,yes,NaN
d6r3vkalhudms84f6fs415wid,Philip Aksel,Frigast Zinckernagel,Philip,Zinckernagel,P. Zinckernagel,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,Midfielder,player,1994-12-16,København,Denmark,5adf60vwiw2f2mibyq1k4ex7i,175.0,70.0,right,77.0,active,yes,NaN
ecnh65kkhku5mdkr3il4fl6tx,Casper,Mørup Nielsen,Casper,Nielsen,C. Nielsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,Midfielder,player,1994-04-29,Esbjerg,Denmark,5adf60vwiw2f2mibyq1k4ex7i,182.0,71.0,right,27.0,active,yes,NaN
eijjhbf26cxm9v3z2or0v952h,Shion,Homma,Shion,Homma,S. Homma,Japan,lxyibh89lpdc0bfian1nx0xq,NaN,NaN,Midfielder,player,2000-08-09,Murakami,Japan,lxyibh89lpdc0bfian1nx0xq,164.0,59.0,right,62.0,active,yes,NaN
jyh107tl6vv8bd1pgautj46h,Michał Krzysztof,Skóraś,Michal,Skóras,M. Skóraś,Poland,27baqb7359ywdvsxxklx1kn11,NaN,NaN,Attacker,player,2000-02-15,Jastrzębie-Zdrój,Poland,27baqb7359ywdvsxxklx1kn11,172.0,64.0,right,8.0,active,yes,NaN
l6y4o9t2b0jxaxo85oztok45,Brandon,Mechele,Brandon,Mechele,B. Mechele,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,1993-01-28,Bredene,Belgium,4wbzjcclyefma1ourvjsu4q2j,190.0,81.0,right,44.0,active,yes,NaN
mkq18lpl3d44wxq974mci5wq,Raphael,Onyedika Nwadike,Raphael,Onyedika,R. Onyedika,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,Midfielder,player,2001-04-19,Imo,Nigeria,63pvdwrsiq5b07mzi8igqei9p,184.0,78.0,right,15.0,active,yes,NaN
q2uubesdtpjeq5eui1ro86c4,Argus,Vanden Driessche,Argus,Driessche,A. Vanden Driessche,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Goalkeeper,player,2007-04-22,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,95.0,active,no,NaN
x3g0yyxs0j4o8fxphxtf0st1,Hans,Vanaken,Hans,Vanaken,H. Vanaken,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,1992-08-24,Neerpelt,Belgium,4wbzjcclyefma1ourvjsu4q2j,195.0,77.0,right,20.0,active,yes,NaN
18pgjfpl9s8qy32mblzygsyc5,Sven,Kums,Sven,Kums,S. Kums,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,1988-02-26,Asse,Belgium,4wbzjcclyefma1ourvjsu4q2j,176.0,63.0,right,24.0,active,yes,NaN
1d2fpmtdglpqwyhnc657n77it,Andrew,Hjulsager,Andrew,Hjulsager,A. Hjulsager,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,Midfielder,player,1995-01-15,Amager,Denmark,5adf60vwiw2f2mibyq1k4ex7i,175.0,73.0,right,17.0,active,yes,NaN
1khy4w78z012p8z20gcp0nrvt,Hugo Jean-Marc,Cuypers,Hugo,Cuypers,H. Cuypers,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,1997-02-07,Liège,Belgium,4wbzjcclyefma1ourvjsu4q2j,185.0,75.0,right,11.0,active,no,NaN
2branork7cntloew47tif7das,Matias,Fernandez-Pardo,Matias,Fernandez-Pardo,M. Fernandez-Pardo,Belgium,4wbzjcclyefma1ourvjsu4q2j,Spain,49ih1pwv3ahshdf8uzrimi54c,Attacker,player,2005-02-03,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,183.0,70.0,right,28.0,active,yes,NaN
2igz499o21aihmkugktp3nyms,Malick Martin,Fofana,Malick,Fofana,M. Fofana,Belgium,4wbzjcclyefma1ourvjsu4q2j,Guinea,4i9sg55wigitrfx7290f59ceo,Attacker,player,2005-03-31,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,169.0,61.0,left,19.0,active,no,NaN
305qdt0a1kyu5n5aiplnbyhw4,Abdul Rachid,Ayindé,Abdul,Ayinde,A. Ayindé,Burkina Faso,2ggql4uo9h0p3c67wkm68ibol,NaN,NaN,Defender,player,2005-07-17,NaN,Burkina Faso,2ggql4uo9h0p3c67wkm68ibol,NaN,NaN,NaN,39.0,active,yes,NaN
32sds4yk7ch30mng0gyzhdk9h,Stefan,Mitrović,Stefan,Mitrovic,S. Mitrović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,Defender,player,1990-05-22,Beograd,Serbia,5w4ve503bjdsshwx9ho6jxzx0,189.0,84.0,left,20.0,active,yes,NaN
