id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,weight,shirtNumber,startDate,status,active,endDate,placeOfBirth,foot,secondNationality,secondNationalityId,knownName
4z8yicyffnto09vgpxp2bt1pl,Sondre,Norheim,Sondre,Norheim,Male,S. Norheim,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1997-04-12,Norway,7f16iy4w8u8ogyn6pfooqwv5z,190.0,83.0,3.0,2021-08-02Z,active,no,2025-08-09Z,NaN,NaN,NaN,NaN,NaN
5mviza79l64azh2znn1spogyd,Robert,Undheim,Robert,Undheim,Male,R. Undheim,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,1992-05-16,Norway,7f16iy4w8u8ogyn6pfooqwv5z,184.0,73.0,10.0,2014-01-01Z,active,no,2025-09-02Z,Stavanger,NaN,NaN,NaN,NaN
6mhvcq2ta51wc0qiwlnjaxas,Jesper,Gregersen,Jesper,Gregersen,Male,J. Gregersen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2004-08-21,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,2025-08-12Z,active,yes,2025-12-31Z,NaN,NaN,NaN,NaN,NaN
6yyum3rgz21z8aln67irm508a,Sanel,Bojadzic,Sanel,Bojadzic,Male,S. Bojadzic,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,1998-10-29,Germany,36min0qztu8eydwvpv8t1is0m,181.0,NaN,9.0,2024-09-15Z,active,yes,NaN,Duisburg,both,Germany,36min0qztu8eydwvpv8t1is0m,NaN
7adevxj1o3gpqpmrv3f72v3oq,Duarte Miguel,Ramos Moreira,Duarte Miguel,Ramos Moreira,Male,Duarte Moreira,Portugal,1nbm5i9a0403zzvltn17lxinc,Attacker,player,2001-09-29,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN,NaN,18.0,2023-08-04Z,active,yes,NaN,NaN,NaN,NaN,NaN,Duarte Moreira
7yjqvzpcyyil0g7jne4hv7svd,Axel,Kryger,Axel,Kryger,Male,A. Kryger,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1997-10-21,Norway,7f16iy4w8u8ogyn6pfooqwv5z,184.0,84.0,26.0,2022-08-10Z,active,no,2025-09-02Z,Sandnes,right,NaN,NaN,NaN
8fqnvz74z901a2h0kgk1zezje,Luis,Görlich,Luis,Görlich,Male,L. Görlich,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2000-04-01,Germany,36min0qztu8eydwvpv8t1is0m,181.0,76.0,2.0,2024-02-20Z,active,no,2025-06-23Z,Heidelberg,right,NaN,NaN,NaN
8nsdvpmkl64l0pimku0cox61h,Igor,Spiridonov,Igor,Spiridonov,Male,I. Spiridonov,Lithuania,366yd1wf1hzvvjb5u6r59rl1w,Goalkeeper,player,1988-08-27,Lithuania,366yd1wf1hzvvjb5u6r59rl1w,188.0,90.0,99.0,2018-04-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
95wuw8954h8drdxpx3f2wvuvo,Lasse,Qvigstad,Lasse,Qvigstad,Male,L. Qvigstad,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,2003-08-10,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,17.0,2024-08-07Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
a6tl97co89j46h3vvy2edpafo,Martin,Åmot Lye,Martin,Åmot Lye,Male,M. Åmot Lye,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,2008-04-30,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,29.0,2025-02-25Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
ac8p9n85zo4fpqz0neqsxbcgl,Remi-André,Svindland,Remi-André,Svindland,Male,R. Svindland,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1997-10-29,Norway,7f16iy4w8u8ogyn6pfooqwv5z,178.0,73.0,6.0,2025-01-30Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
amta3x7ufummnk2pp0m6d0p91,Ole Kevin,Knappen,Kevin,Knappen,Male,K. Knappen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,coach,1977-04-07,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,2022-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
auv81snxkpk2ybxzi8giy5azt,Nicklas,Strunck Jakobsen,Nicklas,Strunck,Male,N. Strunck,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1999-08-17,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,19.0,2025-01-31Z,active,yes,NaN,Ølstykke,right,NaN,NaN,NaN
bp5s0a2jk5viq92gdoskhn7dg,David,Aksnes,David,Aksnes,Male,D. Aksnes,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2007-09-28,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,21.0,2023-01-08Z,active,no,2025-07-07Z,NaN,NaN,NaN,NaN,NaN
bs4q35yv3qe37wu1u18ajx8us,Kristian,Skurve Håland,Kristian,Håland,Male,K. Skurve Håland,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,2007-04-15,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,23.0,2024-01-31Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
bwh09f38vm5unavkfqnccvx05,Christian,Tamba Landu-Landu,Christian,Landu-Landu,Male,C. Landu-Landu,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1992-01-25,Norway,7f16iy4w8u8ogyn6pfooqwv5z,182.0,82.0,4.0,2023-01-17Z,active,yes,NaN,Stavanger,right,NaN,NaN,NaN
c2pyie18ewq33hdvoaljwkbca,Jens,Berland Husebø,Jens,Husebø,Male,J. Husebø,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1999-03-07,Norway,7f16iy4w8u8ogyn6pfooqwv5z,188.0,82.0,24.0,2022-08-01Z,active,no,2025-09-02Z,NaN,NaN,NaN,NaN,NaN
c4xb4477ro5kjk7el9nczd6ok,Jaran,Eike Østrem,Jaran,Østrem,Male,J. Østrem,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,2007-09-27,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,28.0,2025-04-11Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
dk56pv43y8zo39ft9xtwyapnu,Jan,de Boer,Jan,de Boer,Male,J. de Boer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2000-05-20,Netherlands,6hzi5pltnz67q4la8yli9qfv6,199.0,86.0,12.0,2025-02-05Z,active,yes,NaN,Sneek,right,NaN,NaN,NaN
egd6w206242dh7aowfzmwyane,Alfred Richard,Scriven,Alfred,Scriven,Male,A. Scriven,Kenya,7bj2q2zb0n47lb9g55dnvfr2s,Attacker,player,1998-01-26,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,11.0,2024-04-03Z,active,yes,NaN,NaN,NaN,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN
emce3apjphsh1r4jm5pjzyz11,Björn Anton,Cajtoft,Björn Anton,Cajtoft,Male,A. Cajtoft,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Goalkeeper,player,1994-02-13,Sweden,1z6l2c33w2kyz9rdefs1d68nb,191.0,83.0,1.0,2023-01-19Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
11iaca5nfeqabdba4646vje1h,Brede Mathias,Moe,Brede,Moe,Male,B. Moe,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1991-12-15,Norway,7f16iy4w8u8ogyn6pfooqwv5z,184.0,80.0,18.0,2015-01-01Z,active,yes,NaN,Flatanger,right,NaN,NaN,NaN
13k94iyejsdn4e51jx32rb23u,Jeppe,Kjær Jensen,Jeppe,Kjær,Male,J. Kjær,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2004-03-01,Denmark,5adf60vwiw2f2mibyq1k4ex7i,174.0,67.0,95.0,2025-01-01Z,active,no,2025-07-21Z,Horsens,left,NaN,NaN,NaN
16rhwnvicrl1e9xqw867zuxn9,Haitam Glimt,Aleesami,Haitam,Aleesami,Male,H. Aleesami,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1991-07-31,Norway,7f16iy4w8u8ogyn6pfooqwv5z,181.0,73.0,5.0,2025-03-15Z,active,yes,NaN,Oslo,left,NaN,NaN,NaN
1arzd8hqj73byhduozscqz5uy,Mathias,Jørgensen,Mathias,Jørgensen,Male,M. Jørgensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2000-09-20,Denmark,5adf60vwiw2f2mibyq1k4ex7i,185.0,79.0,30.0,2025-07-24Z,active,yes,NaN,Hundested,right,NaN,NaN,NaN
2cpnu3q1tu1afz84wog5rophw,Syver,Skundberg Skeide,Syver,Skeide,Male,S. Skeide,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2004-08-28,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,16.0,2024-01-01Z,active,no,2025-08-08Z,NaN,NaN,NaN,NaN,NaN
2r893xoeuqhgoe2w2auhqb696,Kasper,Waarts Thenza Høgh,Kasper,Høgh,Male,K. Høgh,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2000-12-06,Denmark,5adf60vwiw2f2mibyq1k4ex7i,186.0,61.0,9.0,2024-01-01Z,active,yes,NaN,Randers,right,NaN,NaN,NaN
38qnvrvf3y1xs22tovwy21jv9,Jostein,Maurstad Gundersen,Jostein,Gundersen,Male,J. Gundersen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1996-04-02,Norway,7f16iy4w8u8ogyn6pfooqwv5z,186.0,82.0,6.0,2024-01-31Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
3cybbj27qrqr2fqzjv8vg10id,Gaute Ugelstad,Helstrup,Gaute,Helstrup,Male,G. Helstrup,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,assistant coach,1976-05-15,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,2024-01-02Z,active,yes,NaN,Tromsø,NaN,NaN,NaN,NaN
3gvu6qvxl0ro74q6l1o4p2fx0,Magnus,Brøndbo,Magnus,Brøndbo,Male,M. Brøndbo,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Goalkeeper,player,2005-03-02,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,44.0,2021-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
3zg0pvrja75d3l44dq0lh4kb9,Andreas,Klausen Helmersen,Andreas,Helmersen,Male,A. Helmersen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,1998-03-15,Norway,7f16iy4w8u8ogyn6pfooqwv5z,190.0,82.0,21.0,2024-07-17Z,active,yes,NaN,Trondheim,left,NaN,NaN,NaN
4cozmac33simjtulv22lqej2s,Cassander Krane,Dreyer,Cassander,Dreyer,Male,C. Dreyer,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,2006-08-06,Norway,7f16iy4w8u8ogyn6pfooqwv5z,195.0,NaN,NaN,2024-04-08Z,active,no,2025-06-30Z,Bodø,NaN,NaN,NaN,NaN
55ashhvkh23ypnct70f9dgvkl,Ulrik,Saltnes,Ulrik,Saltnes,Male,U. Saltnes,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1992-11-10,Norway,7f16iy4w8u8ogyn6pfooqwv5z,187.0,78.0,14.0,2011-09-01Z,active,yes,NaN,Brønnøysund,right,NaN,NaN,NaN
5hst73ivtxknjb3rrdivwygnp,Sondre,Brunstad Fet,Sondre,Fet,Male,S. Fet,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1997-01-17,Norway,7f16iy4w8u8ogyn6pfooqwv5z,178.0,74.0,19.0,2021-01-15Z,active,yes,NaN,Ålesund,right,NaN,NaN,NaN
6kkuprn99nawo0phywp7whp90,Eryk,Lukaszka,Eryk,Lukaszka,Male,E. Lukaszka,Poland,27baqb7359ywdvsxxklx1kn11,Attacker,player,2008-04-24,Poland,27baqb7359ywdvsxxklx1kn11,NaN,NaN,NaN,2024-04-08Z,active,no,2025-06-30Z,Kraków,left,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN
7dnxkce4kn8qchaavv6e4tm21,Jens Petter,Hauge,Jens Petter,Hauge,Male,J. Hauge,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1999-10-12,Norway,7f16iy4w8u8ogyn6pfooqwv5z,183.0,75.0,10.0,2025-01-22Z,active,yes,NaN,Bodø,right,NaN,NaN,NaN
7gqecbxztxxovmo1b6zqqcgve,Odin,Lurås Bjørtuft,Odin,Bjørtuft,Male,O. Bjørtuft,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1998-12-19,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,4.0,2023-01-09Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
7ilgt1anlxivn987hk2l94ys4,Isak Aron,Sjong,Isak,Sjong,Male,I. Sjong,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Goalkeeper,player,2007-01-08,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,45.0,2023-02-15Z,active,no,2025-06-30Z,NaN,NaN,NaN,NaN,NaN
8pyq4t68w42u3fgd2w7tjykbu,Sondre,Auklend,Sondre,Auklend,Male,S. Auklend,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2003-06-10,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,8.0,2024-08-11Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
8x7ai25p0gttexn88rq2q2has,Jesber,Berg-Hanssen,Jesber,Berg-Hanssen,Male,J. Berg-Hanssen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2006-09-23,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,2025-03-25Z,active,no,2025-03-31Z,Bodø,NaN,NaN,NaN,NaN
9bxz6zxsjf9g2ntr6aiq6b0et,Kjetil,Knutsen,Kjetil,Knutsen,Male,K. Knutsen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,coach,1968-10-02,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,2017-11-17Z,active,yes,NaN,Bergen,NaN,NaN,NaN,NaN
ar7ybu7dordgt2yfx5inux62,Isak,Dybvik Määttä,Isak,Määttä,Male,I. Määttä,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,2001-09-19,Norway,7f16iy4w8u8ogyn6pfooqwv5z,188.0,72.0,25.0,2024-07-17Z,active,yes,NaN,Ålesund,left,NaN,NaN,NaN
at4flt8tr925ds3dgw5zrgtm1,Julian,Rekdahl Faye Lund,Julian,Faye Lund,Male,J. Faye Lund,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Goalkeeper,player,1999-05-20,Norway,7f16iy4w8u8ogyn6pfooqwv5z,186.0,80.0,1.0,2022-08-01Z,active,yes,NaN,Oslo,right,NaN,NaN,NaN
b1pmotkn0wda1ku6inc7an6dw,Samuel,Burakovsky,Samuel,Burakovsky,Male,S. Burakovsky,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,2002-12-29,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,17.0,2025-07-01Z,active,no,2025-08-30Z,NaN,NaN,NaN,NaN,NaN
b2ibeioms7t9vb3au7tpqys4p,Håkon,Evjen,Håkon,Evjen,Male,H. Evjen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2000-02-14,Norway,7f16iy4w8u8ogyn6pfooqwv5z,173.0,70.0,26.0,2024-01-31Z,active,yes,NaN,NaN,left,NaN,NaN,NaN
bbyystkqag4mcfpr6utsazm51,Sondre,Sørli,Sondre,Sørli,Male,S. Sørli,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,1995-10-30,Norway,7f16iy4w8u8ogyn6pfooqwv5z,178.0,67.0,27.0,2021-03-16Z,active,no,2025-08-08Z,Kristiansund,left,NaN,NaN,NaN
bjgxlgzxbm2fj3c2xq6mtsru1,Nikita,Haikin,Nikita,Haikin,Male,N. Haikin,Russia,7kfg68kh6n16fs4ap3xjiudr,Goalkeeper,player,1995-07-11,Israel,4bnqn6mt5vyslpxfuqdrcmpgp,185.0,68.0,12.0,2023-03-21Z,active,yes,NaN,Netanya,NaN,Israel,4bnqn6mt5vyslpxfuqdrcmpgp,NaN
bqh87676f46jsdfftw2gt1mok,Villads,Schmidt Nielsen,Villads,Nielsen,Male,V. Nielsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2005-01-29,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,2.0,2024-03-30Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
cegoeac3l2owi83zdvu30tj6y,Ole Didrik,Blomberg,Ole Didrik,Blomberg,Male,O. Blomberg,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2000-06-12,Norway,7f16iy4w8u8ogyn6pfooqwv5z,177.0,71.0,11.0,2025-01-30Z,active,yes,NaN,NaN,right,NaN,NaN,NaN
d3v64yi6em0axbsaoae0nqlg4,Mathias,Blix Olsen,Mathias,Olsen,Male,M. Olsen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,2007-07-20,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,2024-04-08Z,active,no,2025-06-30Z,NaN,NaN,NaN,NaN,NaN
d5jihfuxjuw51jgt6k4zhmrmy,Magnus Bech,Riisnæs,Magnus,Riisnæs,Male,M. Riisnæs,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2004-11-04,Norway,7f16iy4w8u8ogyn6pfooqwv5z,182.0,73.0,23.0,2025-07-14Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
d95uicftg11gdyf5yk2ntt1jo,Daniel Joshua,Bassi Jakobsen,Daniel,Bassi,Male,D. Bassi,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,2004-10-31,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,24.0,2023-08-01Z,active,yes,NaN,NaN,NaN,England,1fk5l4hkqk12i7zske6mcqju6,NaN
dgki9si023s93nymhod74jlzo,Fredrik,Sjøvold,Fredrik,Sjøvold,Male,F. Sjøvold,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,2003-08-17,Norway,7f16iy4w8u8ogyn6pfooqwv5z,168.0,NaN,20.0,2024-08-31Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
dnw3y6r7bk0aqbta2s7ttivhl,Fredrik André,Bjørkan,Fredrik,Bjørkan,Male,F. Bjørkan,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1998-08-21,Norway,7f16iy4w8u8ogyn6pfooqwv5z,180.0,74.0,15.0,2023-01-08Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
do2fwr0qn3kg0qb40e3i36q51,Patrick,Berg,Patrick,Berg,Male,P. Berg,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1997-11-24,Norway,7f16iy4w8u8ogyn6pfooqwv5z,178.0,NaN,7.0,2022-08-29Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
e6p5i2ujvk0t9mo0h2gvrlka1,Ola,Brynhildsen,Ola,Brynhildsen,Male,O. Brynhildsen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,1999-04-27,Norway,7f16iy4w8u8ogyn6pfooqwv5z,175.0,70.0,NaN,2025-09-02Z,active,yes,2025-12-31Z,NaN,right,NaN,NaN,NaN
erfwcbyvtsp4984b5tt0yg2xh,Jo,Nymo Matland,Jo Nymo,Matland,Male,J. Matland,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1987-04-21,Norway,7f16iy4w8u8ogyn6pfooqwv5z,182.0,75.0,NaN,2025-04-23Z,active,no,2025-06-30Z,Tromsø,left,NaN,NaN,NaN
eyy6xht49wmhpnzsd17xn0ob8,Tidemann,Aartun Nicolaysen,Tidemann,Nicolaysen,Male,T. Nicolaysen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Goalkeeper,player,2007-02-09,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,2025-01-26Z,active,no,2025-03-31Z,NaN,NaN,NaN,NaN,NaN
gg7dwzxwljl1rjw4v81pmp78,Mikkel,Bro Hansen,Mikkel,Hansen,Male,M. Hansen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2009-01-25,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,77.0,2025-01-30Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
lioz4hr2umpne2bwar18qa96,Anders,Ferslev Klynge,Anders,Klynge,Male,A. Klynge,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2000-10-14,Denmark,5adf60vwiw2f2mibyq1k4ex7i,175.0,70.0,22.0,2025-07-11Z,active,yes,NaN,Odense,right,NaN,NaN,NaN
tna1e4n8ca1jmlidezev9atw,Magnus,Antonsen,Magnus,Antonsen,Male,M. Antonsen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,2006-06-12,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,62.0,2024-09-21Z,active,no,2025-05-03Z,NaN,NaN,NaN,NaN,NaN
14ypgy7ikxp4yubgkr3yhh90p,Oscar,Krusnell,Oscar,Krusnell,Male,O. Krusnell,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,1999-02-17,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,3.0,2023-02-27Z,active,no,2025-07-30Z,NaN,left,NaN,NaN,NaN
1s3v8iujq9j1qbhccuun62jft,Julius,Eskesen,Julius,Eskesen,Male,J. Eskesen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1999-03-16,Denmark,5adf60vwiw2f2mibyq1k4ex7i,175.0,68.0,21.0,2022-03-31Z,active,no,2025-08-12Z,Odense,both,NaN,NaN,NaN
2idnu40p82nqrtjbgrfv0zfo4,Sancheev,Manoharan,Sancheev,Manoharan,Male,S. Manoharan,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,coach,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,2024-05-10Z,active,no,2025-05-26Z,NaN,NaN,India,pu2isxryiewd7pvejah6oqex,NaN
3hb7wwsfbna4xsgibrfrxcep6,Jasper,Silva Torkildsen,Jasper,Torkildsen,Male,J. Torkildsen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Goalkeeper,player,2003-12-21,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,38.0,2025-02-11Z,active,no,2025-08-29Z,NaN,NaN,NaN,NaN,NaN
3i54vbczfupg24ex857b7hr10,Almar Gjerd,Grindhaug,Almar,Grindhaug,Male,A. Grindhaug,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2006-02-04,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,40.0,2023-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
