id,firstName,lastName,shortFirstName,shortLastName,knownName,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,status,active,gender
3vlv0gwh5fgwri12fkn4k2stm,Edwin Stiven,Mosquera Palacios,Edwin,Mosquera,NaN,E. Mosquera,Colombia,6kby8rq1p01fg5ds38ckkrcs5,NaN,NaN,Midfielder,player,2001-06-27,Quibdó,Colombia,6kby8rq1p01fg5ds38ckkrcs5,172.0,68.0,NaN,20.0,active,yes,NaN
42g5cvcoghx80xiru3f1beyfp,Carl,Robinson,Carl,Robinson,NaN,C. Robinson,Wales,26ilvvgth36hmq6lgq8cy5cb5,NaN,NaN,NaN,assistant coach,1976-10-13,Llandrindod,Wales,26ilvvgth36hmq6lgq8cy5cb5,178.0,75.0,NaN,NaN,active,yes,NaN
4ea0sjczqa5ah1w720zlakkfe,Thiago Ezequiel,Almada,Thiago,Almada,NaN,T. Almada,Argentina,2vovxa97k7v7ofa85dah2xktb,Italy,25f2cmb2r8mk5rj92tzer6kvv,Midfielder,player,2001-04-26,Ciudadela,Argentina,2vovxa97k7v7ofa85dah2xktb,171.0,63.0,right,10.0,active,no,NaN
4tci69chjeg0ukx8fs4h7r6j9,Jamal,Thiaré,Jamal,Thiaré,NaN,J. Thiaré,Senegal,6hhqyhr5cwq2pfprlazyposyk,NaN,NaN,Attacker,player,1993-03-31,Kaolack,Senegal,6hhqyhr5cwq2pfprlazyposyk,183.0,70.0,right,29.0,active,yes,NaN
4tz64bm0vbosads0bbsw7n5xx,Stian,Rode Gregersen,Stian,Gregersen,NaN,S. Gregersen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,Defender,player,1995-05-17,Kristiansund,Norway,7f16iy4w8u8ogyn6pfooqwv5z,192.0,83.0,right,5.0,active,yes,NaN
5c7gqtyra887hjyg502tvzn1m,Matthew,Edwards,Matt,Edwards,NaN,M. Edwards,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,2003-02-17,Apex,USA,7hr2f89v44y65dyu9k92vprwn,178.0,79.0,NaN,47.0,active,yes,NaN
5wdqva17qr5j2kqbmfi9o91x,Aleksey,Miranchuk,Aleksey,Miranchuk,NaN,Aleksey Miranchuk,Russia,7kfg68kh6n16fs4ap3xjiudr,NaN,NaN,Attacker,player,1995-10-17,Slavyansk-na-Kubani,Russia,7kfg68kh6n16fs4ap3xjiudr,182.0,74.0,left,NaN,active,yes,NaN
652d6i0jem2jymjfzd8w0ndn9,Luis Alfonso,Abram Ugarelli,Luis,Abram,NaN,L. Abram,Peru,2uib9hdovpcye4re2l3omr4dl,Italy,25f2cmb2r8mk5rj92tzer6kvv,Defender,player,1996-02-27,Lima,Peru,2uib9hdovpcye4re2l3omr4dl,181.0,76.0,left,4.0,active,yes,NaN
66fdz442trpbwdi3s7i8ktxw5,Tristan,Muyumba Nkita,Tristan,Muyumba,NaN,T. Muyumba,France,7gww28djs405rfga69smki84o,Congo,1s2y6o0lwj69dj5ib5pid8f6r,Midfielder,player,1997-03-07,Paris,France,7gww28djs405rfga69smki84o,165.0,54.0,right,8.0,active,yes,NaN
7su9vrjsmo84ae2prlgpc41k9,Daniel Armando,Ríos Calderón,Daniel,Ríos,NaN,D. Ríos,Mexico,5trdr3jf42i20zj1hnkvcytr6,NaN,NaN,Attacker,player,1995-02-22,Ciudad de México,Mexico,5trdr3jf42i20zj1hnkvcytr6,185.0,84.0,left,19.0,active,yes,NaN
7y5v3oex0pnupaahm8arguluc,Matías,Gallardo,Matías,Gallardo,NaN,M. Gallardo,Argentina,2vovxa97k7v7ofa85dah2xktb,NaN,NaN,Midfielder,player,2003-11-23,Buenos Aires,Argentina,2vovxa97k7v7ofa85dah2xktb,176.0,71.0,left,55.0,active,no,NaN
84aebyqt0y9r2jjml4u1z0ij9,Georgios,Giakoumakis,Giorgos,Giakoumakis,NaN,G. Giakoumakis,Greece,6lpgd60z890no2v46zdecrcss,NaN,NaN,Attacker,player,1994-12-09,Heraklion,Greece,6lpgd60z890no2v46zdecrcss,185.0,84.0,right,7.0,active,no,NaN
8pzkxfe5txe71u08n67d8k1uy,Efraín Andrés,Morales Badillo,Efraín,Morales,NaN,E. Morales,Bolivia,3dgy24s32p56l29s66imputcy,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2004-03-04,Decatur,USA,7hr2f89v44y65dyu9k92vprwn,191.0,83.0,right,21.0,active,yes,NaN
94xmd8kr3t9wghaf95xnyphey,Pedro Miguel,Santos Amador,Pedro Miguel,Santos Amador,Pedro Amador,Pedro Amador,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN,NaN,Defender,player,1998-12-18,Santa Iria de Azóia,Portugal,1nbm5i9a0403zzvltn17lxinc,181.0,73.0,left,18.0,active,yes,NaN
9tjcmlv9ysfk398c6siwd04ph,Quentin Oyamo,Westberg,Quentin,Westberg,NaN,Q. Westberg,USA,7hr2f89v44y65dyu9k92vprwn,France,7gww28djs405rfga69smki84o,Goalkeeper,player,1986-04-25,Suresnes,France,7gww28djs405rfga69smki84o,185.0,76.0,NaN,31.0,active,yes,NaN
9zuk40rppwiyzn980bw7z1v1m,Ajani,Fortune,Ajani,Fortune,NaN,A. Fortune,Trinidad and Tobago,635ed0499golbw7h62vt7g53j,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2002-12-30,Raleigh,USA,7hr2f89v44y65dyu9k92vprwn,175.0,75.0,right,35.0,active,yes,NaN
a63su8pudaernrvj1fi9006qc,Luke James,Brennan,Luke,Brennan,NaN,L. Brennan,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Midfielder,player,2005-02-24,Atlanta,USA,7hr2f89v44y65dyu9k92vprwn,180.0,68.0,NaN,25.0,active,yes,NaN
ah3swx80hoddr239t1r6qg2ga,Tyler David,Wolff,Tyler,Wolff,NaN,T. Wolff,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Attacker,player,2003-02-13,Snellville,USA,7hr2f89v44y65dyu9k92vprwn,175.0,70.0,NaN,28.0,active,yes,NaN
astn4ytzoaav30ifi17s4dn8,Alan,Carleton,Alan,Carleton,NaN,A. Carleton,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Midfielder,player,2005-03-20,NaN,USA,7hr2f89v44y65dyu9k92vprwn,173.0,54.0,NaN,NaN,active,no,NaN
ax2y5fvc4dzwn4qkxrfutapsk,Ashton J'Kingston,Gordon,Ashton,Gordon,NaN,A. Gordon,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,2007-04-14,NaN,USA,7hr2f89v44y65dyu9k92vprwn,170.0,NaN,left,NaN,active,no,NaN
b1uhlg1p532nzobexc1gyo5p1,Diego Javier,de la Torre Muciño,Diego,de la Torre,NaN,D. de la Torre,Mexico,5trdr3jf42i20zj1hnkvcytr6,NaN,NaN,NaN,assistant coach,1984-02-05,San Luis Potosí,Mexico,5trdr3jf42i20zj1hnkvcytr6,180.0,76.0,NaN,NaN,active,no,NaN
c267r9oskj83zo9v4vdbvccet,Saba,Lobjanidze,Saba,Lobjanidze,NaN,S. Lobjanidze,Georgia,55mqz7j6585f2jhgfhn62lomr,NaN,NaN,Midfielder,player,1994-12-18,Tbilisi,Georgia,55mqz7j6585f2jhgfhn62lomr,176.0,72.0,left,9.0,active,yes,NaN
cbjd834y2hdx5jr3bda1zz6ga,Erik Danny,Centeno,Erik,Centeno,NaN,E. Centeno,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Midfielder,player,2002-06-29,NaN,USA,7hr2f89v44y65dyu9k92vprwn,173.0,67.0,NaN,NaN,active,no,NaN
cla0i94uyddjw7jzqoyfsplre,Aiden,McFadden,Aiden,McFadden,NaN,A. McFadden,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,1998-09-28,NaN,USA,7hr2f89v44y65dyu9k92vprwn,175.0,75.0,NaN,14.0,active,no,NaN
cu84s15ig7u7g9iwwcff82yuh,Joshua,Cohen,Josh,Cohen,NaN,J. Cohen,USA,7hr2f89v44y65dyu9k92vprwn,Israel,4bnqn6mt5vyslpxfuqdrcmpgp,Goalkeeper,player,1992-08-18,Mountain View,USA,7hr2f89v44y65dyu9k92vprwn,185.0,79.0,left,22.0,active,yes,NaN
d3gmzmf34c6o8vzngnf7ishlg,Noah Franklin,Cobb,Noah,Cobb,NaN,N. Cobb,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,2005-07-20,Chattanooga,USA,7hr2f89v44y65dyu9k92vprwn,185.0,75.0,NaN,24.0,active,yes,NaN
e8an897mmidiq51r2wz1c3jdh,Alexandre,Nascimento da Costa e Silva,Alexandre,Nascimento da Costa e Silva,Xande Silva,Xande Silva,Portugal,1nbm5i9a0403zzvltn17lxinc,Angola,3k53bkrjx5zsxchc6e3mcd834,Midfielder,player,1997-03-16,Lisboa,Portugal,1nbm5i9a0403zzvltn17lxinc,177.0,68.0,right,16.0,active,yes,NaN
erjg1qs9modbqfkfiz6picyqx,Ronald José,Hernández Pimentel,Ronald,Hernández,NaN,R. Hernández,Venezuela,1er0616j12s9yghuzvsx76d5v,NaN,NaN,Defender,player,1997-09-21,Barinas,Venezuela,1er0616j12s9yghuzvsx76d5v,171.0,70.0,right,2.0,active,yes,NaN
f1e7n1pmjklbr35g7uuqdr78q,Jayden,Hibbert,Jayden,Hibbert,NaN,J. Hibbert,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,2004-08-05,NaN,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,NaN,active,no,NaN
21c8xr15tb1u1kc2q6fqsmaga,Owen Michael,Wolff,Owen,Wolff,NaN,O. Wolff,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Midfielder,player,2004-12-30,NaN,USA,7hr2f89v44y65dyu9k92vprwn,175.0,66.0,NaN,33.0,active,yes,NaN
2yxzh220ndd4s4wqditruo0h6,Alonso,Ramírez Jiménez,Alonso,Ramírez,NaN,A. Ramírez,Mexico,5trdr3jf42i20zj1hnkvcytr6,NaN,NaN,Midfielder,player,2001-08-20,Chiautempan,Mexico,5trdr3jf42i20zj1hnkvcytr6,173.0,71.0,NaN,37.0,active,yes,NaN
3cbmr8hg3kszw5wl04p3ol27e,Calvin Jay,Fodrey,CJ,Fodrey,NaN,C. Fodrey,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Midfielder,player,2004-02-10,NaN,USA,7hr2f89v44y65dyu9k92vprwn,188.0,72.0,NaN,19.0,active,yes,NaN
3kdo987cyshholc6o499t5skp,Leo Onni Artturi,Väisänen,Leo,Väisänen,NaN,L. Väisänen,Finland,2u07e54v5dprsugdvddpq5ync,NaN,NaN,Defender,player,1997-07-23,Helsinki,Finland,2u07e54v5dprsugdvddpq5ync,186.0,76.0,right,15.0,active,yes,NaN
3z2lh52s6xpulwxm636h31e51,Diego Iván,Rubio Köstner,Diego,Rubio,NaN,D. Rubio,Chile,32tb8d7824xg4i0ybxzssczu0,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,1993-05-15,Santiago de Chile,Chile,32tb8d7824xg4i0ybxzssczu0,180.0,77.0,right,14.0,active,yes,NaN
4d6cfs28p6vb6q1ijkw3dks7p,Julio César,Cascante Solórzano,Julio,Cascante,NaN,J. Cascante,Costa Rica,48emauy3fucokp86skcs5alh8,NaN,NaN,Defender,player,1993-10-03,Puerto Limón,Costa Rica,48emauy3fucokp86skcs5alh8,186.0,75.0,right,18.0,active,yes,NaN
4rrcs72owauveldlz4o1fwgyx,Brendan Daniel,Hines-Ike,Brendan,Hines-Ike,NaN,B. Hines-Ike,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,1994-11-30,Denver,USA,7hr2f89v44y65dyu9k92vprwn,185.0,77.0,right,4.0,active,yes,NaN
5j2hy92q8f17nppznxrp8kxxx,Alexander Michael,Ring,Alexander,Ring,NaN,A. Ring,Finland,2u07e54v5dprsugdvddpq5ync,NaN,NaN,Midfielder,player,1991-04-09,Helsinki,Finland,2u07e54v5dprsugdvddpq5ync,178.0,73.0,right,8.0,active,yes,NaN
5soi2nnd007o6t8fulzr1yggl,Joshua David,Wolff,Josh,Wolff,NaN,J. Wolff,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,coach,1977-02-25,Stone Mountain,USA,7hr2f89v44y65dyu9k92vprwn,175.0,72.0,NaN,NaN,active,yes,NaN
5ym1q9duaf8gaumjc83ze4vyt,Bradley Scott,Stuver,Brad,Stuver,NaN,B. Stuver,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Goalkeeper,player,1991-04-16,Cleveland,USA,7hr2f89v44y65dyu9k92vprwn,191.0,82.0,NaN,1.0,active,yes,NaN
61y263ybiykc566mrl9w2bowl,Gyasi A.,Zardes,Gyasi,Zardes,NaN,G. Zardes,USA,7hr2f89v44y65dyu9k92vprwn,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,1991-09-02,Hawthorne,USA,7hr2f89v44y65dyu9k92vprwn,188.0,80.0,both,9.0,active,yes,NaN
641bsr9un81t6sds51fhvijh0,Bryant,Farkarlun,Jimmy,Farkarlun,NaN,J. Farkarlun,Liberia,78fh41lat89a3xaqjqcdzb4ul,NaN,NaN,Attacker,player,2001-07-14,Monrovia,Liberia,78fh41lat89a3xaqjqcdzb4ul,NaN,NaN,NaN,26.0,active,yes,NaN
6o2j11534agynjtkftpe1bgq2,Guilherme,da Trindade Dubas,Guilherme,da Trindade Dubas,Guilherme Biro,Guilherme Biro,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,Defender,player,2000-05-01,Curitiba,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,188.0,NaN,left,29.0,active,yes,NaN
8h9sizm6iwpsyvg6w81fvbsyy,Osman,Bukari,Osman,Bukari,NaN,O. Bukari,Ghana,2q2sw72utw5gu9t5y4knckwba,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,1998-12-13,Accra,Ghana,2q2sw72utw5gu9t5y4knckwba,170.0,66.0,both,7.0,active,yes,NaN
8vlcd0j8wb31z0hxiawpze9yh,Matthew Kelly,Bersano,Matt,Bersano,NaN,M. Bersano,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Goalkeeper,player,1992-09-10,Chandler,USA,7hr2f89v44y65dyu9k92vprwn,185.0,83.0,NaN,20.0,active,yes,NaN
8znveya9u1qadcqomkwfydwph,Davy,Arnaud,Davy,Arnaud,NaN,D. Arnaud,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,assistant coach,1980-06-22,Nederland,USA,7hr2f89v44y65dyu9k92vprwn,180.0,72.0,right,NaN,active,yes,NaN
bovgpaqiyr161smsebisx3o5,Sebastián,Driussi,Sebastián,Driussi,NaN,S. Driussi,Argentina,2vovxa97k7v7ofa85dah2xktb,Italy,25f2cmb2r8mk5rj92tzer6kvv,Midfielder,player,1996-02-09,San Justo,Argentina,2vovxa97k7v7ofa85dah2xktb,179.0,80.0,both,10.0,active,yes,NaN
cmz985xi3gvv1mdwb10r5ijmd,Matthew James,Hedges,Matt,Hedges,NaN,M. Hedges,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,1990-04-01,Rochester,USA,7hr2f89v44y65dyu9k92vprwn,194.0,94.0,NaN,2.0,active,yes,NaN
crlprp30citeo87zkm7juxlg5,Hector Osvaldo,Jimenez,Hector,Jimenez,NaN,H. Jimenez,USA,7hr2f89v44y65dyu9k92vprwn,Mexico,5trdr3jf42i20zj1hnkvcytr6,Defender,player,1988-11-03,Huntington Park,USA,7hr2f89v44y65dyu9k92vprwn,176.0,64.0,right,16.0,active,yes,NaN
cxzg0rkbjkyvpw0xiki7noktm,Moussa Kalilou,Djitté,Moussa,Djitté,NaN,M. Djitté,Senegal,6hhqyhr5cwq2pfprlazyposyk,NaN,NaN,Attacker,player,1999-10-04,Diattouma,Senegal,6hhqyhr5cwq2pfprlazyposyk,180.0,74.0,right,NaN,active,no,NaN
cz3k865qdwn8apn8e6xa2lu6s,Daniel Alejandro,Pereira Gil,Daniel,Pereira,NaN,D. Pereira,Venezuela,1er0616j12s9yghuzvsx76d5v,NaN,NaN,Midfielder,player,2000-07-14,Caracas,Venezuela,1er0616j12s9yghuzvsx76d5v,175.0,68.0,right,6.0,active,yes,NaN
dorrtlv2amc2s2nskdz09qehh,Emiliano Ariel,Rigoni,Emiliano,Rigoni,NaN,E. Rigoni,Argentina,2vovxa97k7v7ofa85dah2xktb,NaN,NaN,Midfielder,player,1993-02-04,Colonia Caroya,Argentina,2vovxa97k7v7ofa85dah2xktb,180.0,74.0,both,7.0,active,no,NaN
dpvvvm0cip5j7j4i8nq4bb089,Jáder Rafael,Obrian Arias,Jáder,Obrian,NaN,J. Obrian,Colombia,6kby8rq1p01fg5ds38ckkrcs5,NaN,NaN,Attacker,player,1995-05-18,María La Baja,Colombia,6kby8rq1p01fg5ds38ckkrcs5,165.0,62.0,right,11.0,active,yes,NaN
e6gr1t1rp2x7waywgzlrj8yqx,Valentin,Noël,Valentin,Noël,NaN,V. Noël,France,7gww28djs405rfga69smki84o,NaN,NaN,Midfielder,player,1999-04-27,Niort,France,7gww28djs405rfga69smki84o,175.0,72.0,NaN,21.0,active,no,NaN
e6iefbralp7fndpuoaatzfpat,Ethan Christopher,Finlay,Ethan,Finlay,NaN,E. Finlay,USA,7hr2f89v44y65dyu9k92vprwn,Canada,1iaoypzp6syf32cz9l15pzp7e,Midfielder,player,1990-08-06,Duluth,USA,7hr2f89v44y65dyu9k92vprwn,174.0,73.0,right,13.0,active,yes,NaN
e9g52c7vl608rt5wuf9o46l79,Mikkel,Desler Puggaard,Mikkel,Desler,NaN,M. Desler,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,Defender,player,1995-02-19,Assens,Denmark,5adf60vwiw2f2mibyq1k4ex7i,184.0,73.0,right,3.0,active,yes,NaN
ec3xdenc4ncg4sc8ni4kkyln8,Antonio,Gomez,Antonio,Gomez,NaN,A. Gomez,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,2001-12-15,NaN,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,39.0,active,yes,NaN
ecp53k8d0t7yczah3aebn0yne,Jonathan Alexander,Gallagher,Jon,Gallagher,NaN,J. Gallagher,Republic of Ireland,63nepb66un7juhglo2g6rezcl,NaN,NaN,Defender,player,1996-02-23,Dundalk,Republic of Ireland,63nepb66un7juhglo2g6rezcl,175.0,72.0,NaN,17.0,active,yes,NaN
ei4ddhpc4jooivjfq9uw3092h,Stefan Daniel,Cleveland,Stefan,Cleveland,NaN,S. Cleveland,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Goalkeeper,player,1994-05-25,Dayton,USA,7hr2f89v44y65dyu9k92vprwn,188.0,84.0,NaN,30.0,active,yes,NaN
elvrjpt1jlko4henaqvfid7o4,Micah Aiden,Burton,Micah,Burton,NaN,M. Burton,USA,7hr2f89v44y65dyu9k92vprwn,Cambodia,38jje66sadw9avkq6pi3jhffr,Midfielder,player,2006-03-26,NaN,USA,7hr2f89v44y65dyu9k92vprwn,172.0,NaN,NaN,32.0,active,yes,NaN
ev5e7r7m60jqpvaxigduuwa1,Žan,Kolmanič,Zan,Kolmanic,NaN,Ž. Kolmanič,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,NaN,NaN,Defender,player,2000-03-03,Celje,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,178.0,69.0,left,23.0,active,yes,NaN
ez5udt4o2wp0hzo9ly39ni7d,Jhojan Manuel,Valencia Jiménez,Jhojan,Valencia,NaN,J. Valencia,Colombia,6kby8rq1p01fg5ds38ckkrcs5,NaN,NaN,Midfielder,player,1996-07-27,Cali,Colombia,6kby8rq1p01fg5ds38ckkrcs5,172.0,67.0,right,5.0,active,yes,NaN
so8sqvlxz1onakqu1unbl8et,Oleksandr,Svatok,Oleksandr,Svatok,NaN,O. Svatok,Ukraine,315w6fk6umfzf4qvba3t55u61,NaN,NaN,Defender,player,1994-09-27,Kamianske,Ukraine,315w6fk6umfzf4qvba3t55u61,186.0,78.0,right,21.0,active,yes,NaN
15ara0jd9j49swuwoi7z8pzo5,Kristijan,Kahlina,Kristijan,Kahlina,NaN,K. Kahlina,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN,Goalkeeper,player,1992-07-24,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN,NaN,1.0,active,yes,NaN
1dk0bdadfdnycriqp8u21ulpm,Benjamin,Bender,Ben,Bender,NaN,B. Bender,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Midfielder,player,2001-03-07,NaN,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,15.0,active,yes,NaN
22zkj62c3nnd2zerfbntlevze,Andrew,Privett,Andrew,Privett,NaN,A. Privett,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Midfielder,player,2000-08-02,NaN,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,34.0,active,yes,NaN
2mmmt24h514bl1j112kf99dd5,Djibril,Diani,Djibril,Diani,NaN,D. Diani,France,7gww28djs405rfga69smki84o,Mali,d0v29nncgikdswlxpdq553zz,Midfielder,player,1998-02-11,Créteil,France,7gww28djs405rfga69smki84o,195.0,75.0,left,28.0,active,yes,NaN
2q032302ebdlpcuytftf5vpp1,Nathan William,Byrne,Nathan,Byrne,NaN,N. Byrne,England,1fk5l4hkqk12i7zske6mcqju6,NaN,NaN,Defender,player,1992-06-05,St Albans,England,1fk5l4hkqk12i7zske6mcqju6,180.0,84.0,right,14.0,active,yes,NaN
2v9pdg70kewaarbz4jzsh00a2,Chituru Ethan,Odunze,Chituru,Odunze,NaN,C. Odunze,USA,7hr2f89v44y65dyu9k92vprwn,Canada,1iaoypzp6syf32cz9l15pzp7e,Goalkeeper,player,2002-10-14,NaN,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,26.0,active,yes,NaN
4f2bppk56sa7dqgw652x0fzdh,Scott Harry Nathaniel,Arfield,Scott,Arfield,NaN,S. Arfield,Canada,1iaoypzp6syf32cz9l15pzp7e,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,Midfielder,player,1988-11-01,Livingston,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,178.0,70.0,left,37.0,active,no,NaN
4idetzvjwz78efzrndpox5jv9,Ocimar,de Almeida Júnior,Ocimar,de Almeida Júnior,Júnior Urso,Júnior Urso,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,Midfielder,player,1989-03-10,Taboão da Serra,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,183.0,72.0,right,30.0,active,yes,NaN
4ywn289r9mrs444sgkgduyivo,Tyger,Smalls,Tyger,Smalls,NaN,T. Smalls,England,1fk5l4hkqk12i7zske6mcqju6,NaN,NaN,Attacker,player,2002-09-18,NaN,England,1fk5l4hkqk12i7zske6mcqju6,NaN,NaN,NaN,25.0,active,yes,NaN
52rcg38mijjjusfwqxa2l7hex,Jaylin Chad,Lindsey,Jaylin,Lindsey,NaN,J. Lindsey,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,2000-03-27,Charlotte,USA,7hr2f89v44y65dyu9k92vprwn,178.0,77.0,right,24.0,active,yes,NaN
