id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,foot,shirtNumber,startDate,status,active,endDate,secondNationality,secondNationalityId,weight,knownName
642iajthdnr0zophv7ys35q1g,Elvis Arnold,van der Laan,Elvis,van der Laan,Male,E. van der Laan,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,2008-02-29,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,26.0,2025-02-21Z,active,no,2025-07-22Z,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN
67w8t2dyivgz6muc431ofsb2s,Andreas,Redkin,Andreas,Redkin,Male,A. Redkin,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,2007-01-19,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,24.0,2025-01-29Z,active,yes,NaN,NaN,NaN,NaN,NaN
6oaqk4pdojnlefa3zubsysmvp,Jere Juhani,Uronen,Jere,Uronen,Male,J. Uronen,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,1994-07-13,Turku,Finland,2u07e54v5dprsugdvddpq5ync,177.0,left,22.0,2025-01-29Z,active,no,2025-07-26Z,NaN,NaN,69.0,NaN
6pepyzak4dixdnxbegfg8etqs,Fredrik Philip Ferdinand,Nissen,Fredrik,Nissen,Male,F. Nissen,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,2005-03-28,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,189.0,NaN,14.0,2025-08-11Z,active,yes,NaN,NaN,NaN,NaN,NaN
6qsfpacj72gsgvk1nmtv0kidw,Yannick Emilio,Geiger,Yannick,Geiger,Male,Y. Geiger,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,2007-06-23,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,46.0,2025-06-28Z,active,yes,NaN,NaN,NaN,NaN,NaN
6utvjndbc0etrvdrul1oajdp0,Alexander,Fesshaie Beraki,Alexander,Fesshaie,Male,A. Fesshaie,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,2004-02-29,Solna,Sweden,1z6l2c33w2kyz9rdefs1d68nb,179.0,left,47.0,2022-10-18Z,active,yes,NaN,Eritrea,76fkjar42okgr6loos2xb6ka1,67.0,NaN
75ytiwe9qrzu2pin9giz1gahg,Axel Vilhelm Olavi,Sandler,Axel,Sandler,Male,A. Sandler,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2007-01-05,NaN,Finland,2u07e54v5dprsugdvddpq5ync,NaN,NaN,NaN,2025-07-01Z,active,no,2025-07-01Z,NaN,NaN,NaN,NaN
7gbgk4q4bxc1h7kcd0u96o9nt,Julius Kalle,Joelsson,Kalle,Joelsson,Male,K. Joelsson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Goalkeeper,player,1998-03-21,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,183.0,NaN,30.0,2025-01-29Z,active,yes,NaN,NaN,NaN,74.0,NaN
7jdeesmfaskq8lruce2hnum1g,Charlie Steven Brian,Pavey,Charlie,Pavey,Male,C. Pavey,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,2008-06-07,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,12.0,2025-01-29Z,active,yes,NaN,NaN,NaN,NaN,NaN
8ez1awevbmegf1z0kgjtp048a,Áron,Csongvai,Áron,Csongvai,Male,Á. Csongvai,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Midfielder,player,2000-10-31,NaN,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,NaN,NaN,33.0,2025-02-13Z,active,yes,NaN,NaN,NaN,NaN,NaN
99i96gbkvesmh3wspv8rl1ln9,Anton János,Jönsson Salétros,Anton,Salétros,Male,A. Salétros,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,1996-04-12,Stockholm,Sweden,1z6l2c33w2kyz9rdefs1d68nb,183.0,left,7.0,2023-07-08Z,active,yes,NaN,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,71.0,NaN
9d2lz6x7uf5jfrc72bvrxfo45,Mikkjal,Kjartansson Thomassen,Mikkjal,Thomassen,Male,M. Thomassen,Faroe Islands,1glg6jsz6v1fkk8y9pq4fqjc4,NaN,coach,1976-01-12,NaN,Faroe Islands,1glg6jsz6v1fkk8y9pq4fqjc4,NaN,NaN,NaN,2024-07-21Z,active,yes,NaN,NaN,NaN,NaN,NaN
9muh1tdherrq1qdoj2g4r9mfp,Martin,Skjelbreid Ellingsen,Martin,Ellingsen,Male,M. Ellingsen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1995-05-04,Elverum,Norway,7f16iy4w8u8ogyn6pfooqwv5z,180.0,left,6.0,2024-02-01Z,active,yes,NaN,NaN,NaN,75.0,NaN
9rc52qb9ok79fbfbesv2amuj8,Zadok,Yohanna,Zadok,Yohanna,Male,Z. Yohanna,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Midfielder,player,2007-06-29,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,36.0,2025-07-08Z,active,yes,NaN,NaN,NaN,NaN,NaN
9yb0exf35kl3avhdnlhv23glx,Benjamin,Tiedemann Hansen,Benjamin,Hansen,Male,B. Hansen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1994-02-07,Bogense,Denmark,5adf60vwiw2f2mibyq1k4ex7i,189.0,right,16.0,2024-02-01Z,active,no,2025-09-01Z,NaN,NaN,73.0,NaN
a0vo94v0vvnojrnvvscd7zp3p,Bo Kristoffer,Nordfeldt,Kristoffer,Nordfeldt,Male,K. Nordfeldt,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Goalkeeper,player,1989-06-23,Stockholm,Sweden,1z6l2c33w2kyz9rdefs1d68nb,190.0,right,15.0,2021-08-09Z,active,yes,NaN,NaN,NaN,85.0,NaN
alxccjq2y6il5yjw108a0axnt,Johan,Hove,Johan,Hove,Male,J. Hove,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2000-09-07,Sogndal,Norway,7f16iy4w8u8ogyn6pfooqwv5z,177.0,right,8.0,2025-02-13Z,active,yes,NaN,NaN,NaN,72.0,NaN
e8s9kg55x4npvg6tkuwe5wj6c,John Paul,Dembe,John Paul,Dembe,Male,J. Dembe,Uganda,1j6yonplolalz6goyopv7xd1k,Attacker,player,2005-07-03,NaN,Uganda,1j6yonplolalz6goyopv7xd1k,NaN,NaN,19.0,2024-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
azvjk1schroxi2dq22hwnqr1m,Andronikos,Kakoullis,Andronikos,Kakoullis,Male,A. Kakoullis,Cyprus,3om8cj5nhmq1rzzkykubm5icj,Attacker,player,2001-05-03,Lefkosia,Cyprus,3om8cj5nhmq1rzzkykubm5icj,180.0,right,9.0,2025-03-11Z,active,no,2025-07-22Z,NaN,NaN,NaN,NaN
b0rem4wo1p6sumrp6mb77f11w,Kazper Rikard,Karlsson,Kazper,Karlsson,Male,K. Karlsson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,2005-03-21,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,183.0,NaN,5.0,2025-01-29Z,active,no,2025-08-29Z,NaN,NaN,NaN,NaN
b11ffe62rpm020r3u6t1lhvx1,Mads,Døhr Thychosen,Mads,Thychosen,Male,M. Thychosen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1997-06-27,Vejle,Denmark,5adf60vwiw2f2mibyq1k4ex7i,178.0,right,17.0,2023-07-07Z,active,yes,NaN,NaN,NaN,65.0,NaN
b5efwfrqbzdfknrjq3agklvdg,Taha,Ayari,Taha,Ayari,Male,T. Ayari,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,2005-05-10,Solna,Sweden,1z6l2c33w2kyz9rdefs1d68nb,177.0,right,45.0,2022-08-17Z,active,yes,NaN,Tunisia,2um1icx6ftp1auliaxyw0ou6y,70.0,NaN
bdb1xrhi8k9munhdb0s2jnl78,Erik Linus Mikael,Järeteg,Linus,Järeteg,Male,L. Järeteg,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,2007-01-20,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,186.0,right,28.0,2025-07-01Z,active,yes,NaN,NaN,NaN,71.0,NaN
c1f7vp2u7fndbs1q67yhze1hw,Axel,Kouame,Axel,Kouame,Male,A. Kouame,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Midfielder,player,2003-10-14,NaN,Côte d'Ivoire,tin6kf561ywonqan0mettr98,NaN,NaN,NaN,2025-08-29Z,active,yes,NaN,NaN,NaN,NaN,NaN
cf22o1lk5y853tq6smti0mdjo,Adrián Nicolás,Helm,Adrián,Helm,Male,A. Helm,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,2005-09-27,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,22.0,2025-08-15Z,active,yes,NaN,Colombia,6kby8rq1p01fg5ds38ckkrcs5,NaN,NaN
cnv6xdzm10qnklag4gbim6sph,Kyriakos,Stamatopoulos,Kyriakos,Stamatopoulos,Male,K. Stamatopoulos,Canada,1iaoypzp6syf32cz9l15pzp7e,Goalkeeper,player,1979-08-28,Kalamata,Greece,6lpgd60z890no2v46zdecrcss,188.0,right,13.0,2025-03-30Z,active,yes,NaN,Greece,6lpgd60z890no2v46zdecrcss,82.0,NaN
cwkz9uxtres4bockr3spd4hxx,Sotirios,Papagiannopoulos,Sotirios,Papagiannopoulos,Male,S. Papagiannopoulos,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,1990-09-05,Stockholm,Sweden,1z6l2c33w2kyz9rdefs1d68nb,190.0,right,4.0,2020-08-17Z,active,yes,NaN,Greece,6lpgd60z890no2v46zdecrcss,82.0,NaN
cxpjw9ku72qt0lefhfctekx04,William Andreas,Hofvander,William,Hofvander,Male,W. Hofvander,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,2001-12-31,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,25.0,2025-01-29Z,active,no,2025-07-17Z,NaN,NaN,NaN,NaN
e84dr2r960xnwxwj7tnp1250,Aaron Gabriel,Stoch Rydell,Aaron,Stoch Rydell,Male,A. Stoch Rydell,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,2006-10-14,Stockholm,Sweden,1z6l2c33w2kyz9rdefs1d68nb,172.0,right,NaN,2025-07-01Z,active,no,2025-08-29Z,South Africa,1kiwby3xmt97m3ejw76qs4i6k,NaN,NaN
eahcgnvlq1tkswvjuovyzxxw5,Filip,Benković,Filip,Benkovic,Male,F. Benković,Croatia,37hlakrwxyuzovaeoo4sezusp,Defender,player,1997-07-13,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,194.0,right,32.0,2025-01-29Z,active,yes,NaN,NaN,NaN,80.0,NaN
eqfhoh81e8uj2as95ev3yfnx1,Thomas Mattias,Poppler Isherwood,Thomas,Isherwood,Male,T. Isherwood,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,1998-01-28,Stockholm,Sweden,1z6l2c33w2kyz9rdefs1d68nb,195.0,left,3.0,2024-08-26Z,active,yes,NaN,England,1fk5l4hkqk12i7zske6mcqju6,87.0,NaN
eyqeg6wzhjibkt4zs5dfgzc9h,Dino,Beširović,Dino,Besirovic,Male,D. Beširović,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Midfielder,player,1994-01-31,Viseu,Portugal,1nbm5i9a0403zzvltn17lxinc,179.0,left,19.0,2023-07-07Z,active,yes,NaN,Portugal,1nbm5i9a0403zzvltn17lxinc,75.0,NaN
odp8a70vcgs0bn2ue7jpme50,Wilmer Erik Gustav,Olofsson,Wilmer,Olofsson,Male,W. Olofsson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,2005-09-16,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,190.0,left,NaN,2025-07-22Z,active,no,2025-07-31Z,NaN,NaN,85.0,NaN
prvbf3gxwflgzxuvgvb7ls5x,Bersant,Celina,Bersant,Celina,Male,B. Celina,Kosovo,86u6edbqifdjsn49mbp2anw7p,Midfielder,player,1996-09-09,Prizren,Kosovo,86u6edbqifdjsn49mbp2anw7p,181.0,right,10.0,2024-02-01Z,active,yes,NaN,Norway,7f16iy4w8u8ogyn6pfooqwv5z,60.0,NaN
17jltcnnaha4707duh52hirit,Marius,Lode,Marius,Lode,Male,M. Lode,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,1993-03-11,Kvernaland,Norway,7f16iy4w8u8ogyn6pfooqwv5z,185.0,right,4.0,2024-03-27Z,active,yes,NaN,NaN,NaN,77.0,NaN
1fdjkmolrjfrx0blf1el0jxuc,Christ Ivan Alex,Wawa,Christ,Wawa,Male,C. Wawa,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Attacker,player,2007-06-09,NaN,Côte d'Ivoire,tin6kf561ywonqan0mettr98,NaN,NaN,NaN,2025-08-12Z,active,yes,NaN,NaN,NaN,NaN,NaN
1ycbtwdygt6ofjtzovrmpq0ic,Omar,Krajina,Omar,Krajina,Male,O. Krajina,Montenegro,1411jebgwo2ja1erogsq81lg9,Attacker,player,2007-02-27,NaN,Montenegro,1411jebgwo2ja1erogsq81lg9,NaN,NaN,47.0,2025-06-28Z,active,no,2025-08-21Z,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN
286h6pd1df08n33n8mo1qulg4,Adrian Lars Fredrik,Svanbäck,Adrian,Svanbäck,Male,A. Svanbäck,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2004-06-08,NaN,Finland,2u07e54v5dprsugdvddpq5ync,NaN,NaN,20.0,2025-07-08Z,active,yes,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN
2juylz4mn88s9x1pf0kye1bf8,Dion,Gashi,Dion,Gashi,Male,D. Gashi,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,2008-04-15,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,NaN,2025-06-28Z,active,yes,NaN,NaN,NaN,NaN,NaN
2yuz5p31ev801hmk3b3j0ez9w,Sabri Dahary,Kondo,Sabri,Kondo,Male,S. Kondo,Tanzania,3rramsla3ovuhxks28wq1kirb,Attacker,player,2006-07-11,NaN,Tanzania,3rramsla3ovuhxks28wq1kirb,NaN,NaN,25.0,2025-08-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
3durmgxmp7tzxsr234mlhot1,Simon,Gustafson,Simon,Gustafson,Male,S. Gustafson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,1995-01-11,Mölndal,Sweden,1z6l2c33w2kyz9rdefs1d68nb,185.0,left,14.0,2022-07-16Z,active,yes,NaN,NaN,NaN,80.0,NaN
3k9t74k0qctv5qvmkbcxwtoet,Per Johan Gustav,Hammar,Johan,Hammar,Male,J. Hammar,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,1994-02-22,Malmö,Sweden,1z6l2c33w2kyz9rdefs1d68nb,197.0,right,3.0,2018-01-08Z,active,yes,NaN,NaN,NaN,84.0,NaN
3kdo987cyshholc6o499t5skp,Leo Onni Artturi,Väisänen,Leo,Väisänen,Male,L. Väisänen,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,1997-07-23,Helsinki,Finland,2u07e54v5dprsugdvddpq5ync,186.0,right,6.0,2025-03-24Z,active,yes,NaN,NaN,NaN,76.0,NaN
3ks6pxe94hk9l4q46do2c628l,Adam Stefan,Lundkvist,Adam,Lundkvist,Male,A. Lundkvist,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,1994-03-20,Nyköping,Sweden,1z6l2c33w2kyz9rdefs1d68nb,175.0,left,21.0,2024-02-01Z,active,yes,NaN,NaN,NaN,65.0,NaN
3m1hinnpok7z1mcesei1ttvkk,Chris Johan,Jansson,Chris,Jansson,Male,C. Jansson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,2008-02-06,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,NaN,2025-03-07Z,active,yes,NaN,NaN,NaN,NaN,Chris Jansson
42p4op3tm9umpwxyxde5xjefp,Etrit,Berisha,Etrit,Berisha,Male,E. Berisha,Albania,17zsm8shejejls2on1ffil3op,Goalkeeper,player,1989-03-10,Prishtinë,Kosovo,86u6edbqifdjsn49mbp2anw7p,194.0,left,99.0,2025-04-11Z,active,yes,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,92.0,NaN
441d0z7d91cwczz4rmoqpbiay,Danilo Andrés,Al Saed Alvarado,Danilo Andrés,Al Saed Alvarado,Male,Danilo Al Saed,Iraq,1uzblzx1s42jn6zk6hivjzby8,Attacker,player,1999-02-24,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,180.0,right,18.0,2025-07-16Z,active,yes,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,66.0,Danilo Al Saed
4iguik2n53ywq82altuqoouwa,Jörgen Julius,Lindberg,Julius,Lindberg,Male,J. Lindberg,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,1999-01-04,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,182.0,right,11.0,2024-02-01Z,active,yes,NaN,NaN,NaN,71.0,NaN
504qkt70jvof5yzffmwwo5c5x,Jacob,Barrett Laursen,Jacob,Laursen,Male,J. Laursen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1994-11-17,Arden,Denmark,5adf60vwiw2f2mibyq1k4ex7i,179.0,left,7.0,2023-08-21Z,active,yes,NaN,NaN,NaN,76.0,NaN
50xax4sqxz9mbfney5xxi47pw,Harry Joachim,Hilvenius,Harry,Hilvenius,Male,H. Hilvenius,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,2007-10-06,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,185.0,NaN,44.0,2024-10-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
5sobeblelb6fl7aafw833iwwk,Nikola,Zečević,Nikola,Zecevic,Male,N. Zečević,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,2004-06-16,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0,192.0,right,22.0,2024-02-06Z,active,no,2025-08-27Z,NaN,NaN,78.0,NaN
5ut8weoywngm3wkcg50yojc9h,Filip Viktor,Helander,Filip,Helander,Male,F. Helander,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,1993-04-22,Malmö,Sweden,1z6l2c33w2kyz9rdefs1d68nb,192.0,left,NaN,2025-08-29Z,active,yes,2025-12-31Z,NaN,NaN,81.0,NaN
6j3hswqzhcwsnv6jwazr4po2c,Olle Julius,Samuelsson,Olle,Samuelsson,Male,O. Samuelsson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,2004-05-16,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,23.0,2025-07-08Z,active,yes,NaN,NaN,NaN,NaN,NaN
6nniogydhwg50fb1tkdd6gnpw,Kurt Malte,Ljungkull,Malte,Ljungkull,Male,M. Ljungkull,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,2007-06-04,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,NaN,2025-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
780mdhlnrheqczv6o7p5l8hzo,Pontus Bror Harry,Dahbo,Pontus,Dahbo,Male,P. Dahbo,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,2005-10-11,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,185.0,left,16.0,2023-01-08Z,active,yes,NaN,NaN,NaN,78.0,NaN
7sez5w47trh4xnngir0epzl04,Sigge,Skorpan Jansson,Sigge,Jansson,Male,S. Jansson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,2005-11-10,Göteborg,Sweden,1z6l2c33w2kyz9rdefs1d68nb,184.0,right,13.0,2023-11-04Z,active,yes,NaN,NaN,NaN,70.0,Sigge Jansson
7y21hr80hgqasmkh3g2mgq38,Johannes Mikael,Engvall,Johannes,Engvall,Male,J. Engvall,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,2005-08-18,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,46.0,2025-06-29Z,active,no,2025-07-30Z,NaN,NaN,NaN,NaN
81w1fqi66z0ibawynhraybaxg,Sanders,Ngabo,Sanders,Ngabo,Male,S. Ngabo,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2004-07-04,Sundby,Denmark,5adf60vwiw2f2mibyq1k4ex7i,174.0,right,NaN,2025-07-08Z,active,yes,NaN,Burundi,5d7e5052i0sb4wwloukhpafuu,NaN,NaN
8h3bvutmlonik1denpuue6hw4,Noah August,Ek,Noah,Ek,Male,N. Ek,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,2006-03-21,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,left,NaN,2024-10-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
8h4jv2n2b8w3hmn4oec3tvevo,Abdoulaye,Faye,Abdoulaye,Faye,Male,A. Faye,Senegal,6hhqyhr5cwq2pfprlazyposyk,Defender,player,2004-09-22,NaN,Senegal,6hhqyhr5cwq2pfprlazyposyk,NaN,NaN,25.0,2025-01-01Z,active,no,2025-07-01Z,NaN,NaN,NaN,NaN
8j55jduxd0jfxrxh88kdqgcq2,Silas Sinan,Erhen Thorup Andersen,Silas,Andersen,Male,S. Andersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2004-06-13,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,190.0,right,8.0,2025-01-30Z,active,yes,NaN,NaN,NaN,76.0,NaN
8k4fw4zak03as07nwf1kiktuc,Severin,Nioule,Severin,Nioule,Male,S. Nioule,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Attacker,player,2005-03-03,NaN,Côte d'Ivoire,tin6kf561ywonqan0mettr98,175.0,right,29.0,2023-07-31Z,active,yes,NaN,NaN,NaN,70.0,NaN
8kkbwlif9496fekfraadrws9g,Filip Olov,Öhman,Filip,Öhman,Male,F. Öhman,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,2008-01-26,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,28.0,2024-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
9l9q0mke2dk7pwbzlfqixmcmi,Zeidane,Inoussa,Zeidane,Inoussa,Male,Z. Inoussa,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,2002-05-13,Hasselby,Sweden,1z6l2c33w2kyz9rdefs1d68nb,177.0,right,27.0,2024-02-20Z,active,no,2025-06-30Z,Benin,3o5wco7tkqgfmys9exmt5fo2h,67.0,NaN
