id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,status,active,secondNationality,secondNationalityId,endDate,knownName,dateOfDeath
7uibrotf77z4g8l8wu6lh3r3d,Patrick,Sontheimer,Patrick,Sontheimer,Male,P. Sontheimer,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,1998-07-03,Marktoberdorf,Germany,36min0qztu8eydwvpv8t1is0m,168.0,65.0,right,6.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
7yug83u2c0i6tpk329tejw6ol,Robin Tim,Becker,Robin,Becker,Male,R. Becker,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1997-01-18,Solingen,Germany,36min0qztu8eydwvpv8t1is0m,183.0,78.0,right,15.0,2024-01-30Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
7z332kzmnfy3iuqzpvvdadgwl,Lukas,Boeder,Lukas,Boeder,Male,L. Boeder,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1997-04-18,Essen,Germany,36min0qztu8eydwvpv8t1is0m,185.0,80.0,right,29.0,2021-09-21Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
8jpzdqj6h2nbw85khl6mixiad,Marcel,Gaus,Marcel,Gaus,Male,M. Gaus,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1989-08-02,Düsseldorf,Germany,36min0qztu8eydwvpv8t1is0m,183.0,80.0,left,19.0,2022-07-01Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
8zs4ev8k1v0bs7dzqscxbyy95,Dominik,Becker,Dominik,Becker,Male,D. Becker,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2000-01-09,Koblenz,Germany,36min0qztu8eydwvpv8t1is0m,188.0,75.0,right,17.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
a56x5ogzhagdkpgbvy87jhi39,Bjarne,Thoelke,Bjarne,Thoelke,Male,B. Thoelke,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1992-04-11,Gifhorn,Germany,36min0qztu8eydwvpv8t1is0m,191.0,84.0,right,16.0,2022-01-28Z,active,yes,NaN,NaN,NaN,NaN,NaN
bgy7h0pjr3g7gdwmridwqgb2s,Andy,Breuer,Andy,Breuer,Male,A. Breuer,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2005-08-14,NaN,Germany,36min0qztu8eydwvpv8t1is0m,172.0,64.0,both,18.0,2022-07-21Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
c8520lgmypwzrn4u9lml4y4t1,Patrick,Schmidt,Patrick,Schmidt,Male,P. Schmidt,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,1993-09-10,Homburg,Germany,36min0qztu8eydwvpv8t1is0m,186.0,90.0,right,39.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
cutnngst5alqpcl0js82ssmqc,Frederik,Recktenwald,Frederik,Recktenwald,Male,F. Recktenwald,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2003-05-07,Saarbrücken,Germany,36min0qztu8eydwvpv8t1is0m,177.0,65.0,both,34.0,2022-02-06Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
d3w97zpncyixcicpetbyaw5at,Julius Valentin,Biada,Julius,Biada,Male,J. Biada,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,1992-11-03,Köln,Germany,36min0qztu8eydwvpv8t1is0m,179.0,76.0,right,11.0,2022-07-01Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
d5rlqa59vz5fv36i8zqvbavh1,Rüdiger,Ziehl,Rüdiger,Ziehl,Male,R. Ziehl,Germany,36min0qztu8eydwvpv8t1is0m,NaN,coach,1977-10-26,Zweibrücken,Germany,36min0qztu8eydwvpv8t1is0m,184.0,NaN,NaN,NaN,2022-10-11Z,active,yes,NaN,NaN,NaN,NaN,NaN
dbfeo08t4a8wg088oyzaw1wfe,Tim,Stanislaw Schreiber,Tim,Schreiber,Male,T. Schreiber,Germany,36min0qztu8eydwvpv8t1is0m,Goalkeeper,player,2002-04-24,Freital,Germany,36min0qztu8eydwvpv8t1is0m,191.0,87.0,right,1.0,2023-07-01Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
ek84i0abtdqhftsz56j44usq1,Kai Daniel,Brünker,Kai,Brünker,Male,K. Brünker,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,1994-06-10,Villingen-Schwenningen,Germany,36min0qztu8eydwvpv8t1is0m,189.0,82.0,right,9.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
offwgi56ygbol9ncraxe0t05,Calogero,Rizzuto,Calogero,Rizzuto,Male,C. Rizzuto,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1992-01-05,Saarbrücken,Germany,36min0qztu8eydwvpv8t1is0m,170.0,72.0,right,7.0,2022-07-01Z,active,yes,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,NaN
14vfr40raxkqzepmj1ljirfu,Silas,Ostrzinski,Silas,Ostrzinski,Male,S. Ostrzinski,Germany,36min0qztu8eydwvpv8t1is0m,Goalkeeper,player,2003-11-19,Hagen,Poland,27baqb7359ywdvsxxklx1kn11,198.0,86.0,right,31.0,2021-12-16Z,active,yes,Poland,27baqb7359ywdvsxxklx1kn11,NaN,NaN,NaN
1ltc40nsr2fkx99i5hf7i3mga,Soumaïla,Coulibaly,Soumaïla,Coulibaly,Male,S. Coulibaly,France,7gww28djs405rfga69smki84o,Defender,player,2003-10-14,Montfermeil,France,7gww28djs405rfga69smki84o,191.0,73.0,left,44.0,2021-10-29Z,active,no,Mali,d0v29nncgikdswlxpdq553zz,2023-08-10Z,NaN,NaN
2h0wbb6m7g5p805n11uw26l4a,Samuel,Bamba,Samuel,Bamba,Male,S. Bamba,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,2004-02-13,Ahlen,Germany,36min0qztu8eydwvpv8t1is0m,179.0,70.0,both,7.0,2023-03-23Z,active,no,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,2024-06-30Z,NaN,NaN
39m25p1bwy84bkk9dp6t86jmd,Patrick,Göbel,Patrick,Göbel,Male,P. Göbel,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1993-07-08,Heilbad Heiligenstadt,Germany,36min0qztu8eydwvpv8t1is0m,173.0,68.0,right,17.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
3fhqq4991etzowo979yey5ega,Falko,Michel,Falko,Michel,Male,F. Michel,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2001-01-14,NaN,Germany,36min0qztu8eydwvpv8t1is0m,186.0,80.0,right,10.0,2022-07-01Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
3gaupzzyre7xbgmzb7mmharfu,Tiago,Estêvão,Tiago,Estêvão,Male,T. Estêvão,Germany,36min0qztu8eydwvpv8t1is0m,Goalkeeper,player,2002-05-13,Heinsberg,Germany,36min0qztu8eydwvpv8t1is0m,193.0,80.0,right,33.0,2023-07-01Z,active,yes,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN,NaN,NaN
47euqju4w50lh2ubrushp5hqs,Guillermo,Bueno López,Guille,Bueno,Male,Guille Bueno,Spain,49ih1pwv3ahshdf8uzrimi54c,Defender,player,2002-09-18,Vigo,Spain,49ih1pwv3ahshdf8uzrimi54c,178.0,72.0,left,3.0,2021-08-31Z,active,no,NaN,NaN,2024-08-22Z,NaN,NaN
49rsj06xiof74fp7b2jkp63xm,Jermain Hilário,Nischalke,Jermain Hilário,Nischalke,Male,Jermain Nischalke,Angola,3k53bkrjx5zsxchc6e3mcd834,Attacker,player,2003-03-26,Berlin,Germany,36min0qztu8eydwvpv8t1is0m,192.0,79.0,right,29.0,2023-08-03Z,active,no,Germany,36min0qztu8eydwvpv8t1is0m,2024-06-30Z,Jermain Nischalke,NaN
4dkerrlcqxybg52pose3qxas,Paris Josua,Brunner,Paris,Brunner,Male,P. Brunner,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,2006-02-15,Dortmund,Germany,36min0qztu8eydwvpv8t1is0m,186.0,80.0,right,25.0,2024-03-16Z,active,no,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,2024-06-30Z,NaN,NaN
4u4lkw0zq671i7p9agoa57x7t,Marcel Laurenz,Lotka,Marcel,Lotka,Male,M. Lotka,Poland,27baqb7359ywdvsxxklx1kn11,Goalkeeper,player,2001-05-25,Duisburg,Germany,36min0qztu8eydwvpv8t1is0m,190.0,87.0,right,35.0,2022-08-09Z,active,yes,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN
55pc853d0ih6jszhlcgx311qs,Hendry Aron,Blank,Hendry,Blank,Male,H. Blank,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2004-08-21,NaN,Germany,36min0qztu8eydwvpv8t1is0m,190.0,77.0,left,21.0,2023-07-01Z,active,no,Ghana,2q2sw72utw5gu9t5y4knckwba,2024-02-01Z,NaN,NaN
5ljiq45j679a27o3xi3pyugpg,Rafael,Lubach,Rafael,Lubach,Male,R. Lubach,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2005-01-11,NaN,Germany,36min0qztu8eydwvpv8t1is0m,175.0,66.0,right,41.0,2023-12-19Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
5m4pugg6bn9b3noaiad9zkcbu,Ted-Jonathan,Tattermusch,Ted,Tattermusch,Male,T. Tattermusch,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,2001-05-08,Meppen,Germany,36min0qztu8eydwvpv8t1is0m,194.0,89.0,right,19.0,2021-07-01Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
5tsp2m5z3xie07ax0wq1qqsix,Mateu Jaume,Morey Bauzà,Mateu,Morey,Male,Mateu Morey,Spain,49ih1pwv3ahshdf8uzrimi54c,Defender,player,2000-03-02,Palma de Mallorca,Spain,49ih1pwv3ahshdf8uzrimi54c,173.0,67.0,right,2.0,2019-09-29Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
6bqx6mm3vesoc45r9mt5ygeay,Abdoulaye,Kamara,Abdoulaye,Kamara,Male,A. Kamara,Guinea,4i9sg55wigitrfx7290f59ceo,Midfielder,player,2004-11-06,Conakry,Guinea,4i9sg55wigitrfx7290f59ceo,182.0,77.0,right,32.0,2021-07-01Z,active,no,France,7gww28djs405rfga69smki84o,2024-08-20Z,NaN,NaN
6j5q4frg1jtsh4gwud7aid5as,Jonah,Husseck,Jonah,Husseck,Male,J. Husseck,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2004-01-26,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,28.0,2024-05-17Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
72m3gq1m8jqc8l51voat25rvu,Rodney,Elongo-Yombo,Rodney,Elongo-Yombo,Male,R. Elongo-Yombo,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,2001-07-27,NaN,Germany,36min0qztu8eydwvpv8t1is0m,183.0,76.0,both,27.0,2022-07-24Z,active,yes,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,NaN,NaN,NaN
7llha5t07wule8lukrckf6s16,Lion,Semić,Lion,Semic,Male,L. Semić,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2003-09-13,Fritzlar,Germany,36min0qztu8eydwvpv8t1is0m,169.0,68.0,both,37.0,2022-07-01Z,active,no,Croatia,37hlakrwxyuzovaeoo4sezusp,2024-06-30Z,NaN,NaN
8iyjpvoaxz8zy0pp8ueaidgx5,Mario,Šuver,Mario,Suver,Male,M. Šuver,Croatia,37hlakrwxyuzovaeoo4sezusp,Defender,player,1999-09-23,Stuttgart,Germany,36min0qztu8eydwvpv8t1is0m,186.0,87.0,both,5.0,2022-07-01Z,active,no,Germany,36min0qztu8eydwvpv8t1is0m,2024-06-30Z,NaN,NaN
8rb94znmfcc3ih1mifmmryiok,Marian,Kirsch,Marian,Kirsch,Male,M. Kirsch,Germany,36min0qztu8eydwvpv8t1is0m,Goalkeeper,player,2004-02-12,NaN,Germany,36min0qztu8eydwvpv8t1is0m,196.0,82.0,right,1.0,2023-07-01Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
8vi3l756ez0e96k7muvg4ekbu,Bjarne,Pudel,Bjarne,Pudel,Male,B. Pudel,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2001-05-09,Versmold,Germany,36min0qztu8eydwvpv8t1is0m,188.0,83.0,left,13.0,2022-07-01Z,active,no,NaN,NaN,2024-07-11Z,NaN,NaN
8zl9wv46y5bchktqcwth3z3ai,Antonios,Papadopoulos,Antonios,Papadopoulos,Male,A. Papadopoulos,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1999-09-10,Stuttgart,Germany,36min0qztu8eydwvpv8t1is0m,187.0,85.0,right,18.0,2021-07-01Z,active,no,Greece,6lpgd60z890no2v46zdecrcss,2024-06-30Z,NaN,NaN
9fn24kmral0uddw40xijmbi3u,Paul-Philipp,Besong,Paul-Philipp,Besong,Male,P. Besong,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,2000-10-06,Fröndenberg,Germany,36min0qztu8eydwvpv8t1is0m,184.0,93.0,NaN,22.0,2023-07-01Z,active,yes,Cameroon,4eb9feio6u267dd1jcwaf38mt,NaN,NaN,NaN
a1d1n75kgf9oicmtmacp8a7vu,Felix Omoruyi,Irorere,Felix,Irorere,Male,F. Irorere,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2002-06-21,NaN,France,7gww28djs405rfga69smki84o,195.0,76.0,right,4.0,2023-07-01Z,active,yes,France,7gww28djs405rfga69smki84o,NaN,NaN,NaN
a1eb9qftpii46ao5c84vbzvqi,Justin,Butler,Justin,Butler,Male,J. Butler,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,2001-03-23,Augsburg,Germany,36min0qztu8eydwvpv8t1is0m,188.0,89.0,right,11.0,2023-07-01Z,active,no,Germany,36min0qztu8eydwvpv8t1is0m,2025-01-03Z,NaN,NaN
a63ez4ov40p2xkdsi0otez2s,Julian Dean,Rijkhoff,Julian,Rijkhoff,Male,J. Rijkhoff,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2005-01-25,Purmerend,Netherlands,6hzi5pltnz67q4la8yli9qfv6,183.0,NaN,right,40.0,2023-08-04Z,active,no,NaN,NaN,2024-02-01Z,NaN,NaN
a7ylmmxx69m649jy7d9q6aqxh,Jan,Zimmermann,Jan,Zimmermann,Male,J. Zimmermann,Germany,36min0qztu8eydwvpv8t1is0m,NaN,coach,1979-10-05,NaN,Germany,36min0qztu8eydwvpv8t1is0m,180.0,77.0,left,NaN,2023-02-08Z,active,yes,NaN,NaN,NaN,NaN,NaN
ahmbdewsefjuwrq8fv1giptzo,Prince Adu-Addae Junior,Aning,Prince,Aning,Male,P. Aning,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2004-04-23,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,176.0,71.0,left,39.0,2022-07-01Z,active,yes,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,NaN
bb6glt8n0ar47cmhmj6gnfiz9,Thomas André A.,Meunier,Thomas,Meunier,Male,T. Meunier,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,1991-09-12,Sainte-Ode,Belgium,4wbzjcclyefma1ourvjsu4q2j,190.0,78.0,right,46.0,2023-03-11Z,active,no,NaN,NaN,2024-02-07Z,NaN,NaN
bt14dhf0l9mchdmbh7ygtzeqy,Julian,Hettwer,Julian,Hettwer,Male,J. Hettwer,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,2003-06-15,Bochum,Germany,36min0qztu8eydwvpv8t1is0m,182.0,73.0,right,20.0,2023-07-14Z,active,yes,NaN,NaN,NaN,NaN,NaN
bwvb9900dk7pggsvshsup2kno,Danylo,Krevsun,Danylo,Krevsun,Male,D. Krevsun,Ukraine,315w6fk6umfzf4qvba3t55u61,Midfielder,player,2005-04-21,NaN,Ukraine,315w6fk6umfzf4qvba3t55u61,173.0,68.0,NaN,43.0,2024-04-05Z,active,yes,NaN,NaN,NaN,NaN,NaN
c4urlv223641wducbk00gdcve,Franz,Roggow,Franz,Roggow,Male,F. Roggow,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2002-07-14,NaN,Germany,36min0qztu8eydwvpv8t1is0m,186.0,75.0,right,8.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
cus80u3swdcjcrox90dnply39,Franz,Pfanne,Franz,Pfanne,Male,F. Pfanne,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1994-12-10,Bautzen,Germany,36min0qztu8eydwvpv8t1is0m,187.0,82.0,right,23.0,2020-07-15Z,active,no,NaN,NaN,2024-07-01Z,NaN,NaN
czpaltuhh1gskg7zh7k7qyqui,Ayman,Azhil,Ayman,Azhil,Male,A. Azhil,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Midfielder,player,2001-04-10,Düsseldorf,Germany,36min0qztu8eydwvpv8t1is0m,170.0,64.0,right,6.0,2023-07-01Z,active,yes,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN
d9vkvthcb6knjivbru804smhh,Michael,Eberwein,Michael,Eberwein,Male,M. Eberwein,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,1996-03-11,Dellnhausen,Germany,36min0qztu8eydwvpv8t1is0m,192.0,78.0,both,14.0,2022-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
dchp4ud6043gahy06jrm7q6i2,Pharrell Nnamdi,Collins,Nnamdi,Collins,Male,N. Collins,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2004-01-10,Düsseldorf,Germany,36min0qztu8eydwvpv8t1is0m,188.0,81.0,right,41.0,2021-05-22Z,active,no,Nigeria,63pvdwrsiq5b07mzi8igqei9p,2023-08-09Z,NaN,NaN
dl3y1ccak1gozdgt1v8mii4q2,Moses Iwenbuke,Otuali Omohe,Moses,Otuali,Male,M. Otuali,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,2002-08-27,Lagos,Nigeria,63pvdwrsiq5b07mzi8igqei9p,186.0,NaN,NaN,9.0,2023-01-26Z,active,no,Nigeria,63pvdwrsiq5b07mzi8igqei9p,2024-09-02Z,NaN,NaN
drilzqlcwryze12o4c9zpma96,Antonis,Aidonis,Antonis,Aidonis,Male,A. Aidonis,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2001-05-22,Neustadt an der Weinstraße,Germany,36min0qztu8eydwvpv8t1is0m,185.0,85.0,right,15.0,2024-01-12Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
eb56kx9jda60lnyefr2tp0k16,Dennis,Lütke-Frie,Dennis,Lütke-Frie,Male,D. Lütke-Frie,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2003-04-04,Beelen,Germany,36min0qztu8eydwvpv8t1is0m,181.0,80.0,left,16.0,2022-01-01Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
tica22gygalwa6k99lmsk3fu,Leon,Klußmann,Leon,Klußmann,Male,L. Klußmann,Germany,36min0qztu8eydwvpv8t1is0m,Goalkeeper,player,2002-08-18,NaN,Germany,36min0qztu8eydwvpv8t1is0m,187.0,84.0,right,48.0,2024-02-13Z,active,no,NaN,NaN,2025-01-15Z,NaN,NaN
vgvhxmqjvf4g34bd2ebja44q,Olé,Pohlmann,Olé,Pohlmann,Male,O. Pohlmann,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2001-04-05,Minden,Germany,36min0qztu8eydwvpv8t1is0m,183.0,80.0,right,30.0,2021-07-21Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
1o08lw3flzspk7ihlxa1bo8o9,Leon,Schneider,Leon,Schneider,Male,L. Schneider,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2000-06-19,Eisenhüttenstadt,Germany,36min0qztu8eydwvpv8t1is0m,185.0,77.0,right,23.0,2023-07-06Z,active,yes,NaN,NaN,NaN,NaN,NaN
1t3cudtov5kkjjvibtn659yxg,Max,Lippert,Max,Lippert,Male,M. Lippert,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2006-04-11,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,left,33.0,2024-05-03Z,active,yes,NaN,NaN,NaN,NaN,NaN
1v0iprs23m2wlvma5h129x1ck,Artem,Zaloha,Artem,Zaloha,Male,A. Zaloha,Ukraine,315w6fk6umfzf4qvba3t55u61,Goalkeeper,player,2007-06-27,NaN,Ukraine,315w6fk6umfzf4qvba3t55u61,NaN,NaN,NaN,41.0,2023-10-13Z,active,yes,NaN,NaN,NaN,NaN,NaN
2aunx5lx2iwnvlkfj6nhy97v8,Fabiano Pavlos,Krasnic,Fabiano,Krasnic,Male,F. Krasnic,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2005-12-23,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,35.0,2023-12-16Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
38e1vhlbuwztsud75adfexs0k,Marius,Wörl,Marius,Wörl,Male,M. Wörl,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2004-04-05,NaN,Germany,36min0qztu8eydwvpv8t1is0m,178.0,69.0,right,38.0,2023-08-28Z,active,yes,NaN,NaN,2025-06-30Z,NaN,NaN
3egfkj4hk2prxisp2zu9nvxm,Gerrit,Gohlke,Gerrit,Gohlke,Male,G. Gohlke,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1999-03-12,Darmstadt,Germany,36min0qztu8eydwvpv8t1is0m,192.0,81.0,both,27.0,2023-07-01Z,active,no,NaN,NaN,2024-09-17Z,NaN,NaN
