id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,status,active,knownName
5yxmjnv5xa4evkrmh8nleebpx,Michael,Krmenčík,Michael,Krmencik,Male,M. Krmenčík,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Attacker,player,1993-03-15,Kraslice,Czechia,5md5tpwr2nmqao528prx43jr7,191.0,84.0,right,21.0,active,yes,NaN
6ft0p23uh329gr0xc2cdni1ud,Gigli,Nsungani Ndefe,Gigli,Nsungani Ndefe,Male,Gigli Ndefe,Angola,3k53bkrjx5zsxchc6e3mcd834,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,1994-03-02,Wieërt,Netherlands,6hzi5pltnz67q4la8yli9qfv6,175.0,67.0,both,2.0,active,yes,Gigli Ndefe
6xwszsbqqzndwh2e8uatl17o4,Aleš,Kočí,NaN,NaN,Male,A. Kočí,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2002-03-05,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,8.0,active,yes,NaN
74frf4bgorg0qti5xzni7927e,Jakub,Křišťan,Jakub,Kristan,Male,J. Křišťan,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2002-07-05,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,19.0,active,yes,NaN
7nw2ismkbgv3u53ua2glahbhm,Merchas,Ghazi Salih Doski,Merchas,Ghazi Salih Doski,Male,Merchas Doski,Iraq,1uzblzx1s42jn6zk6hivjzby8,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1999-12-07,Hannover,Germany,36min0qztu8eydwvpv8t1is0m,172.0,96.0,left,14.0,active,yes,Merchas Doski
846noswumd4tahm2f7p9g6iac,Pavel,Juroška,Pavel,Juroska,Male,P. Juroška,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2001-07-07,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,177.0,NaN,NaN,24.0,active,yes,NaN
8te9p6ttm6mpx77b4tq79gidw,Daniel,Holásek,Daniel,Holásek,Male,D. Holásek,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,2004-04-22,Brno,Czechia,5md5tpwr2nmqao528prx43jr7,185.0,NaN,right,21.0,active,no,NaN
8y0hc6kso5ti02kbw2udb1mac,Abuchi,Onuoha,NaN,NaN,Male,A. Onuoha,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,Defender,player,2004-01-03,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,NaN,NaN,active,yes,NaN
94nt9fr8s7rcyslxlvpecxcoa,Filip,Souček,Filip,Soucek,Male,F. Souček,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,2000-09-18,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,26.0,active,yes,Filip Soucek
9w2bownico3dfp96yvyiitqdx,Jan,Baránek,NaN,NaN,Male,J. Baránek,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,assistant coach,1970-07-01,Uherské Hradiště,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,NaN,active,yes,NaN
afgt20de4repiln10obqt05ih,Roman,West,NaN,NaN,Male,R. West,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,coach,1981-09-16,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,NaN,active,yes,NaN
ajjw65yizvdjj82h6oe15jpih,Michal,Kohút,Michal,Kohút,Male,M. Kohút,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2000-06-04,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,182.0,78.0,left,13.0,active,yes,NaN
aprzekzw2al3nf4dglv6eicb9,Marek,Havlík,Marek,Havlik,Male,M. Havlík,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1995-07-08,Lubná,Czechia,5md5tpwr2nmqao528prx43jr7,178.0,71.0,left,20.0,active,yes,NaN
b0m2tr3d2xvi05pys67izxu96,Josef,Mucha,Josef,Mucha,Male,J. Mucha,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,assistant coach,1967-10-07,Prostejov,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,NaN,active,yes,NaN
bpce4a18ff1ssxykqnq6s6nvu,Jan,Palínek,NaN,NaN,Male,J. Palínek,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,assistant coach,NaN,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,NaN,active,yes,NaN
bvwwdzqz77e99m0ugla4vtud,Tomáš,Fryšták,Tomás,Frysták,Male,T. Fryšták,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Goalkeeper,player,1987-08-18,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,193.0,83.0,NaN,30.0,active,yes,NaN
by7hjiqxbh17o7xdwjjzhi1g5,Marko,Kvasina,Marko,Kvasina,Male,M. Kvasina,Austria,hcs1bd49qliqqity6o268jyt,NaN,NaN,Attacker,player,1996-12-20,Wien,Austria,hcs1bd49qliqqity6o268jyt,195.0,79.0,right,27.0,active,yes,NaN
cq4d8qi8vt9idz0qsam4opmhg,Alexandr,Urban,NaN,NaN,Male,A. Urban,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Goalkeeper,player,2004-04-20,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,193.0,NaN,NaN,33.0,active,yes,NaN
cqk9istk6ldbfe5bnoqzhih91,Vlastimil,Daníček,Vlastimil,Danícek,Male,V. Daníček,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1991-07-15,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,187.0,79.0,right,28.0,active,yes,NaN
d0hojhjhvwo4f6yyzalvtl1p1,Dyjan Carlos,de Azevedo,Dyjan Carlos,de Azevedo,Male,Dyjan,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,Midfielder,player,1991-06-23,Dois Córregos,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,169.0,67.0,both,7.0,active,yes,Dyjan
d2ua4dqxer9zjh1ulsulmbz6x,Patrik,Blahút,NaN,NaN,Male,P. Blahút,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,Midfielder,player,1997-10-07,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,15.0,active,yes,NaN
dm9kjpp1890x425ybu1i2u9cl,Stanislav,Hofmann,Stanislav,Hofmann,Male,S. Hofmann,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1990-06-17,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,190.0,83.0,NaN,6.0,active,yes,NaN
edyeb110tuk6q5z81s3tvxlh,Petr,Reinberk,Petr,Reinberk,Male,P. Reinberk,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1989-05-23,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,178.0,75.0,right,23.0,active,yes,NaN
fcghqq1nmg50uuzxkskomiuh,Filip,Vaško,Filip,Vasko,Male,F. Vaško,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,Defender,player,1999-08-11,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,191.0,78.0,NaN,5.0,active,yes,NaN
10esz9pvzonegry7p78n3ce09,Jan,Kuchta,Jan,Kuchta,Male,J. Kuchta,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Attacker,player,1997-01-08,Liberec,Czechia,5md5tpwr2nmqao528prx43jr7,184.0,80.0,right,9.0,active,no,NaN
1czk5wkuu6ahu3ytu2or8276d,Qazim,Laçi,Qazim,Laçi,Male,Q. Laçi,Albania,17zsm8shejejls2on1ffil3op,Greece,6lpgd60z890no2v46zdecrcss,Midfielder,player,1996-01-19,Peshkopi,Albania,17zsm8shejejls2on1ffil3op,175.0,67.0,right,20.0,active,yes,NaN
1z99j6x60xzougmh2dg5s3z6d,Lukáš,Haraslín,Lukás,Haraslín,Male,L. Haraslín,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,Midfielder,player,1996-05-26,Bratislava,Slovakia,7dybe8679n9bgyrcxi383pq3y,182.0,74.0,right,22.0,active,yes,NaN
2enfunw56fyi0fdnjr9qv7696,Jakub,Uhrinčať,Jakub,Uhrincat,Male,J. Uhrinčať,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,Defender,player,2001-02-07,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,NaN,active,yes,NaN
2mep8fe07gw5ptdiccuxv7e38,Vojtěch,Hranoš,Vojtech,Hranos,Male,V. Hranoš,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Attacker,player,2006-05-08,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,NaN,active,yes,NaN
4c3sdzfq5ldgmtqqwcz6qu1p0,Daniel,Rus,Daniel,Rus,Male,D. Rus,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Attacker,player,2006-02-02,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,38.0,active,yes,NaN
4dgua5urcqxx0lgqm5qfn2a22,Kryštof,Daněk,Krystof,Danek,Male,K. Daněk,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2003-01-05,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,185.0,62.0,left,13.0,active,yes,NaN
4kyzzckx6o34dt4ioy3cdr02c,Radek,Šiler,Radek,Siler,Male,R. Šiler,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Attacker,player,2004-09-10,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,34.0,active,yes,NaN
4m5xmjs8kblkhu9n3ytkub3kl,Lukáš,Sadílek,Lukás,Sadílek,Male,L. Sadílek,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1996-05-23,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,179.0,64.0,NaN,18.0,active,yes,NaN
4ono552zkrrlllys2pkc6cjpx,Zdeněk,Svoboda,Zdenek,Svoboda,Male,Z. Svoboda,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,assistant coach,1972-05-20,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,NaN,active,yes,NaN
4pu28itweq7urzmmew3rwa8d1,Asger,Strømgaard Sørensen,Asger,Sørensen,Male,A. Sørensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,Defender,player,1996-06-05,Silkeborg,Denmark,5adf60vwiw2f2mibyq1k4ex7i,191.0,88.0,right,25.0,active,yes,NaN
6ajl37s0de73x36nhufcoejje,Matěj,Ryneš,Matej,Rynes,Male,M. Ryneš,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,2001-05-30,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,186.0,82.0,NaN,32.0,active,yes,NaN
6n8o31tmn6muge66w9q7w4mc4,Roman,Mokrovics,Roman,Mokrovics,Male,R. Mokrovics,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2006-06-04,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,31.0,active,yes,NaN
6zrmxstgcv5es4i93ihdcv3ai,Mathias,Ross Jensen,Mathias,Ross,Male,M. Ross,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,Defender,player,2001-01-15,Aalborg,Denmark,5adf60vwiw2f2mibyq1k4ex7i,190.0,80.0,right,5.0,active,yes,NaN
7igj3m2rjckuy6whrny8qtt2i,Imanol,García de Albéniz Crecente,Imanol,García de Albéniz,Male,Imanol García de Albéniz,Spain,49ih1pwv3ahshdf8uzrimi54c,NaN,NaN,Defender,player,2000-06-08,Gallarta,Spain,49ih1pwv3ahshdf8uzrimi54c,177.0,63.0,left,3.0,active,yes,NaN
7m3wseg5lilrkzatyvc2yemay,Martin,Vitík,Martin,Vitík,Male,M. Vitík,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,2003-01-21,Beroun,Czechia,5md5tpwr2nmqao528prx43jr7,193.0,84.0,right,41.0,active,yes,NaN
7twrnp7os9wbiqsnwcbz9ju8l,Jaroslav,Zelený,Jaroslav,Zeleny,Male,J. Zelený,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1992-08-20,Hradec Králové,Czechia,5md5tpwr2nmqao528prx43jr7,189.0,73.0,NaN,30.0,active,yes,NaN
8byp1lyd4twbvremuoip7zfv8,Albion,Rrahmani,Albion,Rrahmani,Male,A. Rrahmani,Kosovo,86u6edbqifdjsn49mbp2anw7p,NaN,NaN,Attacker,player,2000-08-31,NaN,Kosovo,86u6edbqifdjsn49mbp2anw7p,187.0,NaN,both,10.0,active,yes,NaN
8pqbe4ifb4zsbm6g3d1zy6fah,Tomáš,Wiesner,Tomás,Wiesner,Male,T. Wiesner,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1997-07-17,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,176.0,65.0,NaN,28.0,active,yes,NaN
90r694q07lllfbayp7avfmsid,Filip,Panák,Filip,Panák,Male,F. Panák,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1995-11-02,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,187.0,80.0,right,27.0,active,yes,NaN
9xogbdpzrmwk3ufl9jilw4nx0,Filip,Nalezinek,Filip,Nalezinek,Male,F. Nalezinek,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Goalkeeper,player,2003-07-04,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,NaN,active,yes,NaN
9z5py8a1jpdx5zl7a47sd34es,Martin,Suchomel,Martin,Suchomel,Male,M. Suchomel,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,2002-09-11,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,2.0,active,yes,NaN
b3xdln1shzyzwkhzdmbb2fqax,Veljko,Birmančević,Veljko,Birmancevic,Male,V. Birmančević,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,Midfielder,player,1998-03-05,Šabac,Serbia,5w4ve503bjdsshwx9ho6jxzx0,179.0,67.0,right,14.0,active,yes,NaN
b5bikrql6fgdkgzfz3cyaipqt,Jakub,Pešek,Jakub,Pesek,Male,J. Pešek,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1993-06-24,Hlinsko,Czechia,5md5tpwr2nmqao528prx43jr7,173.0,66.0,right,21.0,active,yes,NaN
bvs6vi299u1760ooet0611n85,David,Pavelka,David,Pavelka,Male,D. Pavelka,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1991-05-18,Praha,Czechia,5md5tpwr2nmqao528prx43jr7,185.0,74.0,right,8.0,active,yes,NaN
c2dyis8v8w6p8e40n0hmkdtgq,Ermal,Krasniqi,Ermal,Krasniqi,Male,E. Krasniqi,Kosovo,86u6edbqifdjsn49mbp2anw7p,NaN,NaN,Midfielder,player,1998-09-07,NaN,Kosovo,86u6edbqifdjsn49mbp2anw7p,NaN,NaN,NaN,29.0,active,yes,NaN
c8m4ox6n1v89qbbjq73s5ezmx,Ángelo Smit,Preciado Quiñónez,Ángelo,Preciado,Male,Á. Preciado,Ecuador,6pyj2bytt2osbjk69owzfehcg,NaN,NaN,Midfielder,player,1998-02-18,Shushufindi,Ecuador,6pyj2bytt2osbjk69owzfehcg,173.0,73.0,right,17.0,active,yes,NaN
cqdivq82gd6b1h04gps6z108a,Indrit,Tuci,Indrit,Tuci,Male,I. Tuci,Albania,17zsm8shejejls2on1ffil3op,NaN,NaN,Attacker,player,2000-09-14,Lezhë,Albania,17zsm8shejejls2on1ffil3op,NaN,NaN,NaN,11.0,active,yes,NaN
dj91g7x3c6d31jkgegr8i9btg,Dalibor,Večerka,Dalibor,Vecerka,Male,D. Večerka,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,2003-03-12,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,33.0,active,yes,NaN
e1xkhildr839bnzcuojrjd4b8,Lars,Friis,Lars,Friis,Male,L. Friis,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,coach,1976-05-07,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,NaN,active,yes,NaN
e2613xyuzx0fj63ma23y6hhih,Jan,Mejdr,Jan,Mejdr,Male,J. Mejdr,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1995-05-11,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,185.0,78.0,NaN,19.0,active,no,NaN
eahrhjbqt72t5gwlzsl9uqm6t,Kasper Kaan,Özden Kairinen,Kaan,Kairinen,Male,K. Kairinen,Finland,2u07e54v5dprsugdvddpq5ync,Türkiye,6kd6webenogylfgwt2aa9l6vx,Midfielder,player,1998-12-22,NaN,Finland,2u07e54v5dprsugdvddpq5ync,186.0,70.0,NaN,6.0,active,yes,NaN
eh2y23m9bd84b7o7h3b9fbljp,Vojtěch,Vorel,Vojtech,Vorel,Male,V. Vorel,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Goalkeeper,player,1996-06-18,Praha,Czechia,5md5tpwr2nmqao528prx43jr7,192.0,81.0,right,24.0,active,yes,NaN
ek8xp4gxtishk0uptajld1rhm,Victor Oluyemi,Olatunji,Victor,Olatunji,Male,V. Olatunji,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,Attacker,player,1999-09-05,Sokoto,Nigeria,63pvdwrsiq5b07mzi8igqei9p,189.0,85.0,right,7.0,active,yes,NaN
eyq4y2syfou2qo5a795rmjhpm,Markus,Solbakken,Markus,Solbakken,Male,M. Solbakken,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,Midfielder,player,2000-07-25,NaN,Norway,7f16iy4w8u8ogyn6pfooqwv5z,182.0,70.0,right,4.0,active,yes,NaN
f083847g81mziziz7yugnkmj8,Ondřej,Kukučka,Ondrej,Kukucka,Male,O. Kukučka,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,2004-03-23,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,right,35.0,active,yes,NaN
f3h1bxnw3fq8m10ck132bic4p,Peter,Vindahl Jensen,Peter,Vindahl,Male,P. Vindahl,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,Goalkeeper,player,1998-02-16,Helsingør,Denmark,5adf60vwiw2f2mibyq1k4ex7i,195.0,89.0,right,1.0,active,yes,NaN
zijwxpmk1r3exjrse7sjoxgq,Jakub,Surovčík,Jakub,Surovcík,Male,J. Surovčík,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,Goalkeeper,player,2002-06-28,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,44.0,active,yes,NaN
1js0a77ybtrkvejr5wj55zmc5,Abdulla Yusuf,Abdulrahim Mohamed Helal,Abdulla Yusuf,Abdulrahim Mohamed Helal,Male,Abdulla Yusuf Helal,Bahrain,4j3eg4ch3tdp2uh7kblm8yvvj,NaN,NaN,Attacker,player,1993-06-12,Manama,Bahrain,4j3eg4ch3tdp2uh7kblm8yvvj,194.0,91.0,right,9.0,active,yes,Abdulla Yusuf Helal
1kb5noquewdka7zi5v6mvup9m,Vojtěch,Novák,Vojtech,Novák,Male,V. Novák,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2002-01-20,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,155.0,43.0,left,11.0,active,yes,NaN
2rldoenow9fyw44hbvoujixg5,Matěj,Hybš,Matej,Hybs,Male,M. Hybš,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1993-01-03,Praha,Czechia,5md5tpwr2nmqao528prx43jr7,181.0,67.0,left,7.0,active,yes,NaN
31cb0xwwh952xgp2d2tbbnc9h,Jaroslav,Veselý,Jaroslav,Vesely,Male,J. Veselý,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,coach,1977-08-08,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,NaN,active,yes,NaN
3rdx0lehyw5wnfh3anefcjnkk,Adam,Kadlec,Adam,Kadlec,Male,A. Kadlec,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,2003-07-06,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,14.0,active,yes,Adam Kadlec
4fh5dd2xqhgce3gzx3cgakv6d,Ondřej,Petrák,Ondrej,Petrák,Male,O. Petrák,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1992-03-11,Praha,Czechia,5md5tpwr2nmqao528prx43jr7,186.0,79.0,right,31.0,active,yes,NaN
4hwlycgbyl3s2jtqzc9dxuyuh,Václav,Drchal,Václav,Drchal,Male,V. Drchal,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Attacker,player,1999-07-25,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,20.0,active,yes,NaN
4uqugfb16uig94zfi4kv656ju,Dominik,Pleštil,Dominik,Plestil,Male,D. Pleštil,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1999-08-09,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,186.0,70.0,right,24.0,active,yes,NaN
4x2pruxr0xnbly53li362s8np,Erich,Brabec,Erich,Brabec,Male,E. Brabec,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,assistant coach,1977-02-24,Cesky Krumlov,Czechia,5md5tpwr2nmqao528prx43jr7,190.0,84.0,right,NaN,active,yes,NaN
4x37o66rhhiekoikaogr96ne1,Lukáš,Soukup,Lukás,Soukup,Male,L. Soukup,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Goalkeeper,player,1995-01-06,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,193.0,88.0,NaN,21.0,active,yes,NaN
5gztqklqsxdb958o7uioojdud,Martin,Dostál,Martin,Dostál,Male,M. Dostál,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Defender,player,1989-09-23,Praha,Czechia,5md5tpwr2nmqao528prx43jr7,177.0,73.0,right,16.0,active,yes,NaN
5ox853udgbhtmp40d1cgbx1ih,Vojtěch,Smrž,Vojtech,Smrz,Male,V. Smrž,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1997-01-20,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,183.0,75.0,NaN,42.0,active,yes,NaN
5u9sxfcws8lcjp02ws6wflw45,Michal,Reichl,Michal,Reichl,Male,M. Reichl,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Goalkeeper,player,1992-09-14,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,189.0,83.0,NaN,12.0,active,yes,NaN
5ylvu8z3m6rgk3dxshx1c0duc,Vladimír,Zeman,NaN,NaN,Male,V. Zeman,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,2000-09-13,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,13.0,active,yes,NaN
61vqg8nghobdb5fhr6kbmnyll,Jan,Matoušek,Jan,Matousek,Male,J. Matoušek,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,Midfielder,player,1998-05-09,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,176.0,NaN,right,10.0,active,yes,NaN
