id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,shirtNumber,startDate,status,active,secondNationality,secondNationalityId,endDate,foot,knownName
2ya7ywsdafuiphvu211qcpn9w,Jesse Jidima,Akila,Jesse,Akila,Male,J. Akila,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2001-12-27,Jos,Nigeria,63pvdwrsiq5b07mzi8igqei9p,189.0,NaN,93.0,2023-07-27Z,active,no,NaN,NaN,2024-06-30Z,right,NaN
30pn568okqowno5oyiy5ldka1,Armin,Đerlek,Armin,Djerlek,Male,A. Đerlek,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,2000-07-15,Novi Pazar,Serbia,5w4ve503bjdsshwx9ho6jxzx0,173.0,NaN,22.0,2024-02-08Z,active,no,NaN,NaN,2025-01-07Z,right,NaN
3h9lw0y2c1ccj9xcy1u8ht9g4,Daniel,Prekop,Daniel,Prekop,Male,D. Prekop,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2005-05-20,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,82.0,2024-04-18Z,active,no,NaN,NaN,2024-09-04Z,NaN,NaN
3zfwycbtlksz95tsqcog03yp6,Kelvin,Spencer Pires,Kelvin,Spencer Pires,Male,Kelvin Pires,Cabo Verde,7235kgq23bu1v4qwk491u58h0,Defender,player,2000-06-05,Mindelo,Cabo Verde,7235kgq23bu1v4qwk491u58h0,193.0,87.0,19.0,2020-07-01Z,active,no,NaN,NaN,2024-02-08Z,NaN,Kelvin Pires
430cujc2dwptr8ue1z3qarxuc,Bright,Donkor,Bright,Donkor,Male,B. Donkor,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,2005-01-10,NaN,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,NaN,2024-02-10Z,active,no,NaN,NaN,2025-01-23Z,NaN,NaN
4tbq0np7t53osg0fwv6zsd84q,Lazar,Stojsavljević,Lazar,Stojsavljevic,Male,L. Stojsavljević,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,1998-05-05,London,England,1fk5l4hkqk12i7zske6mcqju6,191.0,NaN,15.0,2021-11-18Z,active,no,England,1fk5l4hkqk12i7zske6mcqju6,2025-02-20Z,left,NaN
5b6hl1ebs531i3w828pjueadw,Roman,Šebeň,Roman,Seben,Male,R. Šebeň,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2003-03-09,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,3.0,2024-04-12Z,active,no,NaN,NaN,2024-07-02Z,NaN,NaN
5k1fv5mcnkx53vrs415hkqhud,Josimar José,Évora Dias,Josimar José,Évora Dias,Male,Vozinha,Cabo Verde,7235kgq23bu1v4qwk491u58h0,Goalkeeper,player,1986-06-03,Mindelo,Cabo Verde,7235kgq23bu1v4qwk491u58h0,189.0,75.0,86.0,2022-07-29Z,active,no,NaN,NaN,2024-06-30Z,right,Vozinha
5w3jmzuq05jmljucwdsdkb1uc,Samuel,Bagín,Samuel,Bagín,Male,S. Bagín,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2004-02-08,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,189.0,NaN,2.0,2021-05-07Z,active,yes,NaN,NaN,NaN,NaN,NaN
60b5lye5vvb6yfr3wrie1o6p5,Michal,Kukučka,Michal,Kukucka,Male,M. Kukučka,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,2002-04-12,Nové Mesto nad Váhom,Slovakia,7dybe8679n9bgyrcxi383pq3y,191.0,83.0,99.0,2019-10-01Z,active,no,NaN,NaN,2024-06-15Z,left,NaN
6w6n644baxsqk6zs4h5sed6nd,Samuel,Kozlovský,Samuel,Kozlovsky,Male,S. Kozlovský,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1999-11-19,Bratislava,Slovakia,7dybe8679n9bgyrcxi383pq3y,182.0,76.0,4.0,2021-07-22Z,active,no,NaN,NaN,2024-07-03Z,left,NaN
6xxn37bze0ws3ntmsv5sa3npx,Dabney,dos Santos Souza,Dabney,dos Santos,Male,D. dos Santos,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,1996-07-21,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,176.0,68.0,10.0,2023-02-17Z,active,no,NaN,NaN,2024-01-01Z,right,NaN
7df6qaqpcx2den2tkq1qfi5be,Alden,Šuvalija,Alden,Suvalija,Male,A. Šuvalija,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Midfielder,player,2002-03-03,NaN,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN,NaN,37.0,2023-09-18Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
7dwskqkezkwk0cyzebcgsbjai,Njegoš,Kupusović,Njegos,Kupusovic,Male,N. Kupusović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Attacker,player,2001-02-22,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0,179.0,75.0,29.0,2022-07-01Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
7xsfwboa87damxs9co25sf7ys,Eynel Domingos,Rocha Soares,Eynel Domingos,Rocha Soares,Male,Eynel Soares,Cabo Verde,7235kgq23bu1v4qwk491u58h0,Midfielder,player,1998-10-25,NaN,Cabo Verde,7235kgq23bu1v4qwk491u58h0,175.0,72.0,7.0,2022-02-18Z,active,no,NaN,NaN,2024-03-12Z,right,Eynel Soares
85gvgl3l7qbx81dqeube4z561,Hilary,Chukwah Gong,Hilary,Gong,Male,H. Gong,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Midfielder,player,1998-10-10,Zawan,Nigeria,63pvdwrsiq5b07mzi8igqei9p,169.0,72.0,10.0,2023-07-27Z,active,no,NaN,NaN,2024-07-11Z,right,NaN
95jf68g1ogtz7q1cnlam4bn6c,Matúš,Slavíček,Matús,Slavícek,Male,M. Slavíček,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,2003-07-11,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,30.0,2021-01-01Z,active,no,NaN,NaN,2025-08-20Z,NaN,NaN
9tj5jpa27wxlb7j79244jvsgl,Ilija,Stolica,Ilija,Stolica,Male,I. Stolica,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,coach,1978-07-07,Beograd,Serbia,5w4ve503bjdsshwx9ho6jxzx0,187.0,84.0,NaN,2023-06-15Z,active,no,NaN,NaN,2024-09-30Z,NaN,NaN
a8arrpa5myjkzun3m4xfxy784,Lukáš,Mikulaj,Lukás,Mikulaj,Male,L. Mikulaj,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,2005-04-11,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,84.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
ah1ndwtn5jyvtw3net53i2rkk,Sunday,Haruna,Sunday,Haruna,Male,S. Haruna,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Defender,player,2005-06-01,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,NaN,2023-09-05Z,active,no,NaN,NaN,2023-12-31Z,NaN,NaN
ao72d1mt8ddpksplwi6t2fjf8,Jude Cide,Sunday,Jude,Sunday,Male,J. Sunday,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2004-10-04,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,18.0,2023-07-21Z,active,no,NaN,NaN,2025-08-21Z,NaN,NaN
b3b4ebv8jfukcu74rfyref5zo,Tadeáš,Hájovský,Tadeás,Hájovsky,Male,T. Hájovský,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2005-09-30,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,6.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
cz0ivswd8ej4texqzly61p6hg,Rash Rahim,Ibrahim,Rahim,Ibrahim,Male,R. Ibrahim,Ghana,2q2sw72utw5gu9t5y4knckwba,Midfielder,player,2001-06-10,NaN,Ghana,2q2sw72utw5gu9t5y4knckwba,186.0,NaN,20.0,2021-03-19Z,active,no,NaN,NaN,2025-02-14Z,right,NaN
d3456pq0j1inb26jyfxu5ak15,Matúš,Kmeť,Matús,Kmet,Male,M. Kmeť,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2000-06-27,Ružomberok,Slovakia,7dybe8679n9bgyrcxi383pq3y,173.0,69.0,28.0,2021-08-21Z,active,no,NaN,NaN,2024-08-05Z,right,NaN
d9y3zs8qysymkc7kbprgtej9w,Dominik,Hollý,Dominik,Holly,Male,D. Hollý,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2003-11-11,Bánovce nad Bebravou,Slovakia,7dybe8679n9bgyrcxi383pq3y,181.0,74.0,23.0,2021-10-22Z,active,no,NaN,NaN,2024-02-22Z,right,NaN
dwip9wvmdfgmnaei32f1y05m2,Samir,Ben Sallam,Samir,Ben Sallam,Male,S. Ben Sallam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2001-06-03,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,178.0,NaN,42.0,2024-02-03Z,active,no,Morocco,2xdcc39z1k79pnjbtn9x31wdh,2025-06-30Z,right,NaN
e1n8z01dq1qvm7krrjwk3y61g,Artur,Gajdoš,Artur,Gajdos,Male,A. Gajdoš,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2004-01-20,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,8.0,2021-09-17Z,active,no,NaN,NaN,2024-09-03Z,NaN,NaN
ef3rhuo7yei01o8o2pdpyenkl,Taras,Bondarenko,Taras,Bondarenko,Male,T. Bondarenko,Ukraine,315w6fk6umfzf4qvba3t55u61,Defender,player,1992-09-23,NaN,Ukraine,315w6fk6umfzf4qvba3t55u61,183.0,67.0,14.0,2023-07-05Z,active,no,NaN,NaN,2025-06-30Z,NaN,NaN
eiw84wsldydp7izgl43b8st1w,Alex,Húdok,Alex,Húdok,Male,A. Húdok,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,2006-05-06,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,24.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
11r7kkbcv2bn8lar3unczuz8p,Nikola,Krstović,Nikola,Krstovic,Male,N. Krstović,Montenegro,1411jebgwo2ja1erogsq81lg9,Attacker,player,2000-04-05,Golubovci,Montenegro,1411jebgwo2ja1erogsq81lg9,185.0,83.0,45.0,2021-09-11Z,active,no,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2023-08-18Z,both,NaN
12395z7ydxxjuz4sj034ane21,Christián,Herc,Christián,Herc,Male,C. Herc,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1998-09-30,Levice,Slovakia,7dybe8679n9bgyrcxi383pq3y,185.0,72.0,24.0,2023-07-25Z,active,yes,NaN,NaN,NaN,right,NaN
17v4rpvw3iff0o0q3xuqnesd0,Leandro Filipe,de Almeida Dornelles,Leandro Filipe,de Almeida Dornelles,Male,Filipe,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Goalkeeper,player,2003-01-26,NaN,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,195.0,100.0,1.0,2024-02-23Z,active,yes,NaN,NaN,NaN,NaN,Filipe
1atq3p7zxyrldwfy8zt2g6jxm,Krisztián,Keresztes,Krisztián,Keresztes,Male,K. Keresztes,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Defender,player,2000-01-04,NaN,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,NaN,NaN,4.0,2024-02-16Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
1gq668oo73fi2nyyrjol7axud,Taras,Kacharaba,Taras,Kacharaba,Male,T. Kacharaba,Ukraine,315w6fk6umfzf4qvba3t55u61,Defender,player,1995-01-07,Zhydachiv,Ukraine,315w6fk6umfzf4qvba3t55u61,189.0,79.0,33.0,2024-02-07Z,active,yes,NaN,NaN,NaN,right,NaN
1hytijse7fi6hex4mhmq7ecb9,Ihor,Kharatin,Ihor,Kharatin,Male,I. Kharatin,Ukraine,315w6fk6umfzf4qvba3t55u61,Midfielder,player,1995-02-02,Mukachevo,Ukraine,315w6fk6umfzf4qvba3t55u61,188.0,76.0,20.0,2024-02-14Z,active,no,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,2024-06-30Z,right,NaN
1in8da6v8hp825rrkcq8g3bp,Rubén,Rochina Naixes,Rubén,Rochina,Male,Rochina,Spain,49ih1pwv3ahshdf8uzrimi54c,Midfielder,player,1991-03-23,Valencia,Spain,49ih1pwv3ahshdf8uzrimi54c,182.0,76.0,NaN,2024-02-05Z,active,no,NaN,NaN,2024-02-08Z,left,NaN
1nsjai8x5bgirx5rufesjptjp,Milan,Dimun,Milan,Dimun,Male,M. Dimun,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1996-09-19,Košice,Slovakia,7dybe8679n9bgyrcxi383pq3y,186.0,76.0,8.0,2021-08-13Z,active,no,NaN,NaN,2025-06-30Z,NaN,NaN
1rhpw6rnxb7rrgn97dlxvan10,Botond,Angyal,Botond,Angyal,Male,B. Angyal,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2005-08-12,Dunajská Streda,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,32.0,2024-02-09Z,active,no,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,2024-06-30Z,NaN,NaN
1txv3b9y7h3du9d5bbblg0vai,Romaric,Yapi,Romaric,Yapi,Male,R. Yapi,France,7gww28djs405rfga69smki84o,Defender,player,2000-07-13,Évry,France,7gww28djs405rfga69smki84o,178.0,70.0,91.0,2024-02-06Z,active,no,Côte d'Ivoire,tin6kf561ywonqan0mettr98,2025-06-30Z,right,NaN
2rq9bdoqppx3thlsm79j2i0ru,Márk,Csinger,Márk,Csinger,Male,M. Csinger,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Defender,player,2003-05-31,NaN,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,NaN,NaN,21.0,2023-07-01Z,active,no,NaN,NaN,2025-08-01Z,right,NaN
2w26npeupk3omj37triq7exyi,Erik Zoltán,Gyurákovics,Erik,Gyurákovics,Male,E. Gyurákovics,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Goalkeeper,player,1999-07-21,Bratislava,Slovakia,7dybe8679n9bgyrcxi383pq3y,190.0,NaN,1.0,2023-07-01Z,active,no,NaN,NaN,2023-12-31Z,right,NaN
418ffd041eawqf8x18t69rhzp,Adrián,Gul'a,Adrián,Gula,Male,A. Gul'a,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,coach,1975-06-29,Nováky,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,2022-06-15Z,active,no,NaN,NaN,2023-11-17Z,NaN,NaN
4holfazbimbtysqxmhzxtdpbe,Bartol,Barišić,Bartol,Barisic,Male,B. Barišić,Croatia,37hlakrwxyuzovaeoo4sezusp,Attacker,player,2003-01-01,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN,11.0,2023-09-06Z,active,no,NaN,NaN,2025-07-17Z,NaN,NaN
4rh8c8mioo2medglnbz07wx04,Matúš,Kucman,Matus,Kucman,Male,Matúš Kucman,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2005-01-29,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,34.0,2024-02-09Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
4xk6crcbt40xenux91yy011at,Miroslav,Káčer,Miroslav,Kácer,Male,M. Káčer,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1996-02-02,Žilina,Slovakia,7dybe8679n9bgyrcxi383pq3y,170.0,77.0,66.0,2023-07-01Z,active,no,NaN,NaN,2024-07-22Z,right,NaN
50i05npy0v93nfhir5xh0ooic,Giannis,Niarchos,Giannis,Niarchos,Male,G. Niarchos,Greece,6lpgd60z890no2v46zdecrcss,Attacker,player,2002-06-26,NaN,Greece,6lpgd60z890no2v46zdecrcss,NaN,NaN,9.0,2023-01-25Z,active,no,NaN,NaN,2024-01-16Z,NaN,NaN
5b839eahyhf1vrzti55pzpplh,Pape Cheikh,Diop Gueye,Pape Cheikh,Diop Gueye,Male,Pape Cheikh,Senegal,6hhqyhr5cwq2pfprlazyposyk,Midfielder,player,1997-08-08,Dakar,Senegal,6hhqyhr5cwq2pfprlazyposyk,180.0,68.0,5.0,2024-03-06Z,active,no,NaN,NaN,2024-05-31Z,right,Pape Cheikh
5xh9dk4vted5t3yzvnc1o3a7e,Brian Safo,Oddei,Brian,Oddei,Male,B. Oddei,Italy,25f2cmb2r8mk5rj92tzer6kvv,Attacker,player,2002-09-18,NaN,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,22.0,2024-01-31Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
6vy1ci3n2w1hkep8jrxytujca,Ivan,Dolček,Ivan,Dolcek,Male,I. Dolček,Croatia,37hlakrwxyuzovaeoo4sezusp,Attacker,player,2000-04-24,Koprivnica,Croatia,37hlakrwxyuzovaeoo4sezusp,181.0,76.0,9.0,2024-01-21Z,active,no,NaN,NaN,2024-08-22Z,left,NaN
71k9g56fz19856bnyyy3hg7bo,Máté,Szolgai,Máté,Szolgai,Male,M. Szolgai,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2003-07-27,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,182.0,NaN,14.0,2022-07-01Z,active,no,NaN,NaN,2024-01-17Z,NaN,NaN
7amuf5plpwip1k6kygscerlqt,Spyros,Risvanis,Spyros,Risvanis,Male,S. Risvanis,Greece,6lpgd60z890no2v46zdecrcss,Defender,player,1994-01-03,Kalamata,Greece,6lpgd60z890no2v46zdecrcss,196.0,85.0,44.0,2022-07-15Z,active,no,NaN,NaN,2024-01-05Z,right,NaN
7pzok5hmp574y7ql2pq6jcsgk,Hlib,Tolok,Hlib,Tolok,Male,H. Tolok,Ukraine,315w6fk6umfzf4qvba3t55u61,Attacker,player,2006-01-28,Zaporizhzhia,Ukraine,315w6fk6umfzf4qvba3t55u61,176.0,NaN,NaN,2024-02-21Z,active,no,NaN,NaN,2024-06-30Z,right,NaN
8g4paxl5e68y9xvpvy1omp016,Dominik,Veselovský,Dominik,Veselovsky,Male,D. Veselovský,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2002-07-19,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,20.0,2019-07-01Z,active,no,Czechia,5md5tpwr2nmqao528prx43jr7,2023-12-31Z,NaN,NaN
9lzmlwu6prc91701lp0nqlkh5,Samuel,Petráš,Samuel,Petrás,Male,S. Petráš,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,1999-04-10,Žilina,Slovakia,7dybe8679n9bgyrcxi383pq3y,190.0,87.0,99.0,2022-07-05Z,active,no,NaN,NaN,2024-08-08Z,NaN,NaN
9tfmx1skw0vk1di55lbxhkyjt,Mateus,Brunetti Valor,Mateus,Brunetti Valor,Male,Mateus Brunetti,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Defender,player,1999-11-18,São Paulo,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,16.0,2021-01-28Z,active,no,Italy,25f2cmb2r8mk5rj92tzer6kvv,2025-05-31Z,left,Mateus Brunetti
a3x1zd1zarf5tuualhfdy47h1,Yhoan Many,Andzouana,Yhoan,Andzouana,Male,Y. Andzouana,Congo,1s2y6o0lwj69dj5ib5pid8f6r,Defender,player,1996-12-13,Brazzaville,Congo,1s2y6o0lwj69dj5ib5pid8f6r,177.0,69.0,17.0,2021-07-01Z,active,no,France,7gww28djs405rfga69smki84o,2025-07-07Z,right,NaN
ahco728y24hz46rb73yqd2wic,Bi Irie Fernand,Goure,Fernand,Goure,Male,F. Goure,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Attacker,player,2002-04-12,Yamoussoukro,Côte d'Ivoire,tin6kf561ywonqan0mettr98,187.0,85.0,19.0,2023-09-06Z,active,no,NaN,NaN,2024-06-30Z,right,NaN
b1o797a6gxohsv92t5ebw4lm2,Alejandro,Méndez García,Alejandro,Méndez García,Male,Alex Méndez,Spain,49ih1pwv3ahshdf8uzrimi54c,Defender,player,2001-07-28,NaN,Spain,49ih1pwv3ahshdf8uzrimi54c,180.0,68.0,18.0,2023-01-25Z,active,yes,NaN,NaN,NaN,NaN,Alex Méndez
bxjim11tyb4rdm9f0uwmaxfxl,Željko,Gavrić,Zeljko,Gavric,Male,Ž. Gavrić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Attacker,player,2000-12-05,Bijeljina,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,181.0,NaN,80.0,2023-06-16Z,active,no,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,2024-06-19Z,right,NaN
c03jj8y0vomssp0nb3rvrg5ck,Matija,Krivokapić,Matija,Krivokapic,Male,M. Krivokapić,Montenegro,1411jebgwo2ja1erogsq81lg9,Attacker,player,2003-03-19,NaN,Montenegro,1411jebgwo2ja1erogsq81lg9,NaN,NaN,29.0,2023-12-01Z,active,no,NaN,NaN,2024-06-30Z,NaN,NaN
cgla06cfj0yncdxt7kl5dtbvu,Andrés Josué,Romero Tocuyo,Andrés,Romero,Male,A. Romero,Venezuela,1er0616j12s9yghuzvsx76d5v,Midfielder,player,2003-03-07,Maturín,Venezuela,1er0616j12s9yghuzvsx76d5v,178.0,72.0,6.0,2023-09-05Z,active,no,NaN,NaN,2024-03-07Z,right,NaN
cl10lhqdhhijaldqqbppiqv4k,Norbert,Urblík,Norbert,Urblík,Male,N. Urblík,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2004-04-18,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,43.0,2023-07-01Z,active,no,NaN,NaN,2024-01-16Z,NaN,NaN
cxwydx9x09khy9g8k0bhppy50,Zoran,Záhradník,Zoran,Záhradník,Male,Z. Záhradník,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,2005-08-19,Michalovce,Slovakia,7dybe8679n9bgyrcxi383pq3y,183.0,72.0,42.0,2023-07-01Z,active,no,NaN,NaN,2024-06-30Z,both,NaN
cxx98knqlroknls0ur4fcav9x,Zsolt,Kalmár,Zsolt,Kalmár,Male,Z. Kalmár,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Midfielder,player,1995-06-09,Győr,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,185.0,78.0,13.0,2018-07-06Z,active,no,NaN,NaN,2023-08-11Z,right,NaN
d88612l7fy9dvqe1kulqevlsk,Vasilios,Kaltsas,Vasilios,Kaltsas,Male,V. Kaltsas,Greece,6lpgd60z890no2v46zdecrcss,Goalkeeper,player,2007-03-25,NaN,Greece,6lpgd60z890no2v46zdecrcss,195.0,NaN,30.0,2024-02-09Z,active,yes,NaN,NaN,NaN,right,NaN
dhc0ecmk5ddpdadm7ziv61y39,Francisco Javier,Muñoz Llompart,Xisco,Muñoz,Male,Xisco Muñoz,Spain,49ih1pwv3ahshdf8uzrimi54c,NaN,coach,1980-09-05,Manacor,Spain,49ih1pwv3ahshdf8uzrimi54c,175.0,69.0,NaN,2023-11-19Z,active,no,NaN,NaN,2024-11-27Z,NaN,NaN
