id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,shirtNumber,status,active,secondNationality,secondNationalityId,placeOfBirth,weight,foot,knownName
61ib1kknf11ab4v4f1magyu39,Daniel John,Barrow,Danny,Barrow,Male,D. Barrow,Wales,26ilvvgth36hmq6lgq8cy5cb5,Attacker,player,1995-11-16,England,1fk5l4hkqk12i7zske6mcqju6,170.0,18.0,active,no,England,1fk5l4hkqk12i7zske6mcqju6,Braunton,66.0,NaN,NaN
64t5fuxve6fbffwqeny1fyvbo,Eelis,Taskila,Eelis,Taskila,Male,E. Taskila,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2004-10-02,Finland,2u07e54v5dprsugdvddpq5ync,NaN,25.0,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
6iaatd2dm4kz1fosqzkkwyrqh,Claudio Lucas,Morais Ferreira dos Santos,Claudio Lucas,Morais Ferreira dos Santos,Male,Luquinhas,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Attacker,player,1997-04-22,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,175.0,10.0,active,no,NaN,NaN,NaN,62.0,NaN,Luquinhas
72tb0ziqelxa34r6brog1ndp0,Ricardo Filipe,Lima Duarte,Ricardo Filipe,Lima Duarte,Male,Ricardo Duarte,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN,coach,1980-02-12,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN,NaN,active,no,NaN,NaN,NaN,NaN,NaN,Ricardo Duarte
7glr1eur910fj5b5fg743job9,Rasmus Joonatan,Karjalainen,Rasmus,Karjalainen,Male,R. Karjalainen,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,1996-04-04,Finland,2u07e54v5dprsugdvddpq5ync,185.0,7.0,active,no,NaN,NaN,Oulu,79.0,right,NaN
818ngmk0u0iqzv4j93yj97aad,Riku,Selander,Riku,Selander,Male,R. Selander,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,1994-11-22,Finland,2u07e54v5dprsugdvddpq5ync,NaN,6.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
965y7z513tlxlsc19helfdffu,Tony,Miettinen,Tony,Miettinen,Male,T. Miettinen,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2002-09-23,Finland,2u07e54v5dprsugdvddpq5ync,NaN,4.0,active,no,Kenya,7bj2q2zb0n47lb9g55dnvfr2s,NaN,NaN,NaN,NaN
97hjnf61dy1t9lb9l9rpt0tg4,Daniel,Heikkinen,Daniel,Heikkinen,Male,D. Heikkinen,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2002-12-16,Finland,2u07e54v5dprsugdvddpq5ync,NaN,22.0,active,no,Wales,26ilvvgth36hmq6lgq8cy5cb5,NaN,NaN,NaN,NaN
9iqrojw1zas7uwcubiwbzmns9,Yassin,Daoussi,Yassin,Daoussi,Male,Y. Daoussi,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2000-06-02,Finland,2u07e54v5dprsugdvddpq5ync,173.0,23.0,active,yes,Morocco,2xdcc39z1k79pnjbtn9x31wdh,NaN,74.0,NaN,NaN
9o8va0z1xn7s8zrj2dvxf2pk9,Maximus Mikael,Tainio,Maximus,Tainio,Male,M. Tainio,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2001-05-24,France,7gww28djs405rfga69smki84o,NaN,29.0,active,no,NaN,NaN,Auxerre,NaN,NaN,NaN
9pl6dyzxuwd7w05a25o3m4l5g,Juuso,Polvi,Juuso,Polvi,Male,J. Polvi,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2005-04-26,Finland,2u07e54v5dprsugdvddpq5ync,172.0,NaN,active,no,NaN,NaN,NaN,66.0,right,NaN
9rle4eqj5q7d4y7hgu570vgfd,Niklas,Jokelainen,Niklas,Jokelainen,Male,N. Jokelainen,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2000-03-30,Finland,2u07e54v5dprsugdvddpq5ync,181.0,14.0,active,yes,NaN,NaN,NaN,73.0,NaN,NaN
9ylwdjiz74zqeqdymu5q1qehh,Rauno,Ojanen,Rauno,Ojanen,Male,R. Ojanen,Finland,2u07e54v5dprsugdvddpq5ync,NaN,coach,1965-03-19,Finland,2u07e54v5dprsugdvddpq5ync,NaN,NaN,active,no,NaN,NaN,NaN,NaN,NaN,NaN
acep4dvt34dsgzyqm795xzzrp,Juhani,Pennanen,Juhani,Pennanen,Male,J. Pennanen,Finland,2u07e54v5dprsugdvddpq5ync,Goalkeeper,player,1993-02-19,Finland,2u07e54v5dprsugdvddpq5ync,180.0,1.0,active,no,NaN,NaN,NaN,75.0,NaN,NaN
bdd32jmme979mcc0sim42uq96,Yanga,Baliso,Yanga,Baliso,Male,Y. Baliso,South Africa,1kiwby3xmt97m3ejw76qs4i6k,Midfielder,player,1997-03-27,South Africa,1kiwby3xmt97m3ejw76qs4i6k,NaN,16.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
bkvxt1eyave1tfr317ves7gbu,Joona,Lohela,Joona,Lohela,Male,J. Lohela,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2004-05-11,Finland,2u07e54v5dprsugdvddpq5ync,NaN,NaN,active,no,NaN,NaN,NaN,NaN,NaN,NaN
bzbj4tjuoureivnpdph97qtey,Alexander,Forsström,Alexander,Forsström,Male,A. Forsström,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2000-09-23,Finland,2u07e54v5dprsugdvddpq5ync,NaN,63.0,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
c3fc1hxuhutchilwclikdzoyc,Eetu,Saarela,Eetu,Saarela,Male,E. Saarela,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2006-04-24,Finland,2u07e54v5dprsugdvddpq5ync,185.0,NaN,active,yes,NaN,NaN,NaN,70.0,NaN,NaN
c9a0owmk742hzaoxqlmxrruju,Noah,Pallas,Noah,Pallas,Male,N. Pallas,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2001-02-09,Finland,2u07e54v5dprsugdvddpq5ync,NaN,30.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
cc8ibg2zd4dy9fhyb3hd810id,Cristian Camilo,Valencia Cífuentes,Cristian,Valencia,Male,C. Valencia,Colombia,6kby8rq1p01fg5ds38ckkrcs5,Defender,player,1991-12-04,Colombia,6kby8rq1p01fg5ds38ckkrcs5,186.0,15.0,active,no,NaN,NaN,Villavicencio,85.0,right,NaN
cwwa256pgrifpcrbxjq27ui38,Elias,Collin,Elias,Collin,Male,E. Collin,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2003-09-12,Finland,2u07e54v5dprsugdvddpq5ync,NaN,2.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
d7fbq3piag375ujo9q9njqq6s,Danila,Bulgakov,Danila,Bulgakov,Male,D. Bulgakov,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2005-01-20,Russia,7kfg68kh6n16fs4ap3xjiudr,179.0,43.0,active,no,Russia,7kfg68kh6n16fs4ap3xjiudr,NaN,65.0,NaN,NaN
emm3t5nn22co95xzp49nie9lg,Rene,Kähkönen,Rene,Kähkönen,Male,R. Kähkönen,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2006-01-13,Finland,2u07e54v5dprsugdvddpq5ync,182.0,67.0,active,yes,NaN,NaN,NaN,67.0,right,NaN
ep864y82xcvlf6m5itywzq8ve,Calum Brian Joseph,Ward,Calum,Ward,Male,C. Ward,England,1fk5l4hkqk12i7zske6mcqju6,Goalkeeper,player,2000-10-17,England,1fk5l4hkqk12i7zske6mcqju6,NaN,35.0,active,yes,Republic of Ireland,63nepb66un7juhglo2g6rezcl,Essex,NaN,NaN,NaN
l5c2lv6o8sxir62unjclujca,Nestori,Kekonen,Nestori,Kekonen,Male,N. Kekonen,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2003-02-02,Finland,2u07e54v5dprsugdvddpq5ync,NaN,NaN,active,no,NaN,NaN,NaN,NaN,NaN,NaN
18r82tlqmziv1einyrx0hptxx,Atte,Sihvonen,Atte,Sihvonen,Male,A. Sihvonen,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,1996-02-18,Finland,2u07e54v5dprsugdvddpq5ync,NaN,6.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
1p8qp744v6uor8li9wfcwi0dm,Aatu Aabraham,Hakala,Aatu,Hakala,Male,A. Hakala,Finland,2u07e54v5dprsugdvddpq5ync,Goalkeeper,player,2000-07-28,Finland,2u07e54v5dprsugdvddpq5ync,182.0,12.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
1wj9u8ukqwj38nxzljd0df7u2,Haik,Moussakhanian,Haik,Moussakhanian,Male,H. Moussakhanian,France,7gww28djs405rfga69smki84o,Midfielder,player,1998-03-20,Belarus,2vn7xzv9g752y1h5ufjzr27i8,189.0,2.0,active,no,NaN,NaN,Minsk,75.0,right,NaN
2n0cx1xkaek2u2g9fx7txnpat,Logan Tipene,Rogerson,Logan,Rogerson,Male,L. Rogerson,New Zealand,wcq2y28a27syx5do1k2i2nj8,Attacker,player,1998-05-28,New Zealand,wcq2y28a27syx5do1k2i2nj8,182.0,11.0,active,no,NaN,NaN,Hamilton,70.0,right,NaN
2nu8v4cu15ma1awi48h2og3bp,Eero-Matti,Auvinen,Eero-Matti,Auvinen,Male,E. Auvinen,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,1996-03-05,Finland,2u07e54v5dprsugdvddpq5ync,NaN,4.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
2tc3862mtexnb52r6s468x7v8,Tuukka Matti Eemeli,Törmä,Tuukka,Törmä,Male,T. Törmä,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2005-11-20,Finland,2u07e54v5dprsugdvddpq5ync,NaN,NaN,active,no,NaN,NaN,NaN,NaN,NaN,NaN
2txqe570i21c5b88pnu99vx1w,Fallou,Ndiaye,Fallou,Ndiaye,Male,F. Ndiaye,Senegal,6hhqyhr5cwq2pfprlazyposyk,Defender,player,2001-11-10,Senegal,6hhqyhr5cwq2pfprlazyposyk,192.0,5.0,active,no,NaN,NaN,Leona Thiaroye,NaN,right,NaN
3900qcbovjanpy0hgputj5o89,Ossi-Pekka Juhani,Virta,Ossi,Virta,Male,O. Virta,Finland,2u07e54v5dprsugdvddpq5ync,NaN,assistant coach,1988-07-09,Finland,2u07e54v5dprsugdvddpq5ync,NaN,NaN,active,no,NaN,NaN,NaN,NaN,NaN,NaN
3lelborva9v0voewss7cne0ru,Tiemoko,Fofana,Tiemoko,Fofana,Male,T. Fofana,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Attacker,player,1999-10-22,Côte d'Ivoire,tin6kf561ywonqan0mettr98,180.0,13.0,active,no,NaN,NaN,Abidjan,NaN,right,NaN
3m0agj7hyb8d5u1qx77s6xjbo,Felix Alvar Olavi,Lehtinen,Felix,Lehtinen,Male,F. Lehtinen,Finland,2u07e54v5dprsugdvddpq5ync,Goalkeeper,player,2003-07-19,Finland,2u07e54v5dprsugdvddpq5ync,NaN,32.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
3w17p9bq9tagjph173q9jaicq,Janne-Pekka,Samuli Laine,Janne-Pekka,Laine,Male,J. Laine,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2001-01-25,Finland,2u07e54v5dprsugdvddpq5ync,184.0,17.0,active,no,NaN,NaN,Tampere,NaN,right,NaN
4t594st0kpzsc4icb9g1feoes,Konsta Olavi,Mervelä,Konsta,Mervelä,Male,K. Mervelä,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2004-03-24,Finland,2u07e54v5dprsugdvddpq5ync,NaN,NaN,active,no,NaN,NaN,NaN,NaN,NaN,NaN
5ghh71ix7lnta7fz3mp0w0zpx,Anton Simo Sakari,Lepola,Anton,Lepola,Male,A. Lepola,Finland,2u07e54v5dprsugdvddpq5ync,Goalkeeper,player,1996-07-24,Finland,2u07e54v5dprsugdvddpq5ync,NaN,1.0,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
5qmjj65z1m3yadfj6xnplt6uh,Tino,Purme,Tino,Purme,Male,T. Purme,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,1998-03-14,Finland,2u07e54v5dprsugdvddpq5ync,NaN,15.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
5rkrxw1bo6gc76fek39yvcs89,Jesús Alberto,Alvarado Morín,Alberto,Alvarado Morin,Male,J. Alvarado,Mexico,5trdr3jf42i20zj1hnkvcytr6,Attacker,player,1988-10-04,Mexico,5trdr3jf42i20zj1hnkvcytr6,189.0,13.0,active,no,NaN,NaN,Municipio De Múzquiz,82.0,right,NaN
7b1m6i07rpuyptsf0og392smi,Vigori Jean-Jaurès,Gbe,Vigori,Gbe,Male,V. Gbe,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,player,2002-02-10,Côte d'Ivoire,tin6kf561ywonqan0mettr98,170.0,2.0,active,no,NaN,NaN,Man,NaN,right,NaN
7opidzh1102tdak5yppjzrs44,Thomas Toivo,Saarinen,Thomas,Saarinen,Male,T. Saarinen,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2004-01-20,Finland,2u07e54v5dprsugdvddpq5ync,NaN,24.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
7pnmkd2s7cca2p00x7ny98st1,Niklas,Friberg,Niklas,Friberg,Male,N. Friberg,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,1996-03-14,Finland,2u07e54v5dprsugdvddpq5ync,182.0,3.0,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
889febaq7j9tfesznosrzhkru,Kristian Aleksi,Yli-Hietanen,Kristian,Yli-Hietanen,Male,K. Yli-Hietanen,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,1996-05-31,Canada,1iaoypzp6syf32cz9l15pzp7e,NaN,23.0,active,no,Canada,1iaoypzp6syf32cz9l15pzp7e,North Vancouver,NaN,NaN,NaN
8lsn15x84slm43dsfr5s9edhx,Haymenn,Bah-Traoré,Haymenn,Bah-Traoré,Male,H. Bah-Traoré,Togo,3jiuckrqd0zejkm452st5dyq7,Defender,player,1997-06-12,Germany,36min0qztu8eydwvpv8t1is0m,175.0,21.0,active,yes,Germany,36min0qztu8eydwvpv8t1is0m,Essen,77.0,right,NaN
9b55fbg95r1ot2bs1fpz41uui,Mohammed El Mehdi,Boukassi,Mehdi,Boukassi,Male,M. Boukassi,Algeria,1ayprcriqhb8iv10ch70clppu,Midfielder,player,1996-06-15,Algeria,1ayprcriqhb8iv10ch70clppu,183.0,19.0,active,no,NaN,NaN,Sidi Bel Abbès,NaN,NaN,NaN
9euzn9qp3ondehnyqojcvog0k,Ryan,Mahuta,Ryan,Mahuta,Male,R. Mahuta,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2002-07-07,Finland,2u07e54v5dprsugdvddpq5ync,182.0,18.0,active,yes,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,NaN,NaN,left,NaN
aep88zwjh79qwbspe3k97yqc5,Juan Eduardo,Lescano,Juan,Lescano,Male,J. Lescano,Argentina,2vovxa97k7v7ofa85dah2xktb,Attacker,player,1992-10-29,Argentina,2vovxa97k7v7ofa85dah2xktb,187.0,9.0,active,no,NaN,NaN,Buenos Aires,79.0,right,NaN
aigmy78z3jfpwi8yp8bnvjmqd,Tuure,Siira,Tuure,Siira,Male,T. Siira,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,1994-10-25,Finland,2u07e54v5dprsugdvddpq5ync,NaN,8.0,active,yes,NaN,NaN,Oulu,NaN,NaN,NaN
c5xcmwzyq3g1tvtyj8i5ud65m,Anthony Dwight,Herbert,Anthony,Herbert,Male,A. Herbert,Trinidad and Tobago,635ed0499golbw7h62vt7g53j,Defender,player,1998-04-18,USA,7hr2f89v44y65dyu9k92vprwn,195.0,25.0,active,no,USA,7hr2f89v44y65dyu9k92vprwn,New York,84.0,left,NaN
c9xncrbr9ov04ghaupwvl21p0,Eemeli,Mäkelä,Eemeli,Mäkelä,Male,E. Mäkelä,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,1999-06-22,Finland,2u07e54v5dprsugdvddpq5ync,NaN,NaN,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
ciursygt8i2deeszjdebb28yx,Elias,Mastokangas,Elias,Mastokangas,Male,E. Mastokangas,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2001-02-01,Finland,2u07e54v5dprsugdvddpq5ync,NaN,28.0,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
cyuhgxz2kypbjciyxf09hlv6c,Alexander,Wessberg,Alexander,Wessberg,Male,A. Wessberg,Finland,2u07e54v5dprsugdvddpq5ync,Unknown,player,NaN,Finland,2u07e54v5dprsugdvddpq5ync,NaN,NaN,active,no,NaN,NaN,NaN,NaN,NaN,NaN
damazw23a3uhaohsrzhxop2hh,Ngando Henri,Malundama,Henri,Malundama,Male,H. Malundama,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,1995-06-08,Finland,2u07e54v5dprsugdvddpq5ync,177.0,20.0,active,no,Cameroon,4eb9feio6u267dd1jcwaf38mt,NaN,NaN,left,NaN
dbrfot0rx4d2an42rmfjpybys,Oiva Olavi,Laaksonen,Oiva,Laaksonen,Male,O. Laaksonen,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2003-09-19,Finland,2u07e54v5dprsugdvddpq5ync,NaN,16.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
dugvrmny1duc2tc7s08jje57t,Oliver Edward,Brymer Whyte,Oliver,Whyte,Male,O. Whyte,New Zealand,wcq2y28a27syx5do1k2i2nj8,Attacker,player,2000-01-20,New Zealand,wcq2y28a27syx5do1k2i2nj8,179.0,7.0,active,yes,NaN,NaN,Wellington,NaN,NaN,NaN
ec7y1s97xpoab87z786zt0r56,Maissa,El Hadji Fall,Maissa,Fall,Male,M. Fall,Senegal,6hhqyhr5cwq2pfprlazyposyk,Midfielder,player,1995-03-06,Senegal,6hhqyhr5cwq2pfprlazyposyk,193.0,23.0,active,yes,Italy,25f2cmb2r8mk5rj92tzer6kvv,Dakar,NaN,right,NaN
egqwyh73vu9oh2k7qvpetoel1,Teemu Mikael,Tainio,Teemu,Tainio,Male,T. Tainio,Finland,2u07e54v5dprsugdvddpq5ync,NaN,coach,1979-11-27,Finland,2u07e54v5dprsugdvddpq5ync,180.0,NaN,active,no,NaN,NaN,Tornio,71.0,NaN,NaN
zr8567yklpn8dfokwzktsk8a,Stávros,Zarokóstas,Stávros,Zarokóstas,Male,S. Zarokóstas,Greece,6lpgd60z890no2v46zdecrcss,Attacker,player,1997-11-05,Greece,6lpgd60z890no2v46zdecrcss,170.0,10.0,active,no,NaN,NaN,Leonidion,72.0,NaN,NaN
1fleq677w5l7ohk01zqldrhii,Otso,Koskinen,Otso,Koskinen,Male,O. Koskinen,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2003-01-01,Finland,2u07e54v5dprsugdvddpq5ync,NaN,88.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
1y6alngudc6uqmo2mazpsblnu,Mathias,Ahlblad,Mathias,Ahlblad,Male,M. Ahlblad,Finland,2u07e54v5dprsugdvddpq5ync,Goalkeeper,player,2003-02-18,Finland,2u07e54v5dprsugdvddpq5ync,184.0,25.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
36rogvj0yhivqtaj3bz0xijmd,Clésio,Palmirim David Baúque,Clésio,Palmirim David Baúque,Male,Clésio,Mozambique,4l6me0leyvb0ysnsoepyvmh4g,Midfielder,player,1994-10-11,Mozambique,4l6me0leyvb0ysnsoepyvmh4g,183.0,7.0,active,no,NaN,NaN,Maputo,71.0,right,Clésio
3ajcjogpfwl26hddeqetp75sk,Eero,Vuorjoki,Eero,Vuorjoki,Male,E. Vuorjoki,Finland,2u07e54v5dprsugdvddpq5ync,Goalkeeper,player,2006-07-09,Finland,2u07e54v5dprsugdvddpq5ync,NaN,71.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
3iqaijgk67uriwdwz2sd8795g,Antti,Tella,Antti,Tella,Male,A. Tella,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2005-03-17,Finland,2u07e54v5dprsugdvddpq5ync,NaN,74.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
3nzeez816npco3bcpj821vxlh,Lucas,Paz Kaufmann,Lucas,Paz Kaufmann,Male,Lucas Kaufmann,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Midfielder,player,1991-03-26,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,10.0,active,no,NaN,NaN,NaN,NaN,NaN,Lucas Kaufmann
3u3jkp8y68broq5djgdrb559l,Florian,Baak,Florian,Baak,Male,F. Baak,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1999-03-18,Germany,36min0qztu8eydwvpv8t1is0m,191.0,4.0,active,no,NaN,NaN,Berlin,90.0,right,NaN
40x4zexbflc51jw695tnzqt3p,Johannes,Wurtz,Johannes,Wurtz,Male,J. Wurtz,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,1992-06-19,Germany,36min0qztu8eydwvpv8t1is0m,182.0,9.0,active,no,NaN,NaN,Neunkirchen,70.0,right,NaN
4csbs2tbqslkvhjd778gshi7e,Pauli,Katajamäki,Pauli,Katajamäki,Male,P. Katajamäki,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2002-01-04,Finland,2u07e54v5dprsugdvddpq5ync,NaN,22.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
4lv7kvbtfspy378pqcye9w1uy,Jonathan,Muzinga,Jonathan,Muzinga,Male,J. Muzinga,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2002-11-10,Finland,2u07e54v5dprsugdvddpq5ync,NaN,16.0,active,no,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,NaN,NaN,NaN,NaN
5ol17485ecah0trdmkw3byqne,Ville Aleksi Jukanpoika,Koski,Ville,Koski,Male,V. Koski,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2002-01-27,Finland,2u07e54v5dprsugdvddpq5ync,NaN,21.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
5wff5rqgnj74jkj8ahetka8oa,Juan Diego,Alegría Arango,Juan,Alegría,Male,J. Alegría,Colombia,6kby8rq1p01fg5ds38ckkrcs5,Attacker,player,2002-06-06,Colombia,6kby8rq1p01fg5ds38ckkrcs5,NaN,9.0,active,no,NaN,NaN,Ibagué,NaN,NaN,NaN
5zvck04u1453betv8d94w3d1x,Aldayr,Hernández Basanta,Aldayr,Hernández,Male,A. Hernández,Colombia,6kby8rq1p01fg5ds38ckkrcs5,Defender,player,1995-08-04,Colombia,6kby8rq1p01fg5ds38ckkrcs5,182.0,23.0,active,no,NaN,NaN,Magangué,78.0,left,NaN
