id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,weight,shirtNumber,startDate,endDate,status,active,placeOfBirth,secondNationality,secondNationalityId,knownName,foot
3jo6hjgpy9logg7v1sie2k9as,Caden,Hickox,Caden,Hickox,Male,C. Hickox,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,2006-03-28,USA,7hr2f89v44y65dyu9k92vprwn,173.0,63.0,77.0,2023-08-24Z,2024-07-30Z,active,no,NaN,NaN,NaN,NaN,NaN
3ljxfq84ubqzlooixppmpfdd6,Juan David,Tejada Londono,Juan,Tejada,Male,J. Tejada,Panama,5nhk7v9jq6dqmfbn4hiihhofv,Attacker,player,1997-01-14,Panama,5nhk7v9jq6dqmfbn4hiihhofv,170.0,70.0,27.0,2023-06-14Z,NaN,active,yes,Ciudad de Panamá,NaN,NaN,NaN,NaN
48e5e0relsnml4qd2wtgejj84,Luke,Schultz,Luke,Schultz,Male,L. Schultz,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2005-05-22,USA,7hr2f89v44y65dyu9k92vprwn,178.0,NaN,NaN,2023-04-06Z,2023-12-31Z,active,no,NaN,NaN,NaN,NaN,NaN
492xymfeeamtb7ovbzs5q9lud,Dennis,Erdmann,Dennis,Erdmann,Male,D. Erdmann,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1990-11-22,Germany,36min0qztu8eydwvpv8t1is0m,188.0,86.0,22.0,2022-03-01Z,2023-12-31Z,active,no,Kerpen,NaN,NaN,NaN,both
4ac61l7qt4s63hv34g8zsihgp,Alec,Smir,Alec,Smir,Male,A. Smir,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,1999-04-13,USA,7hr2f89v44y65dyu9k92vprwn,188.0,83.0,30.0,2023-01-13Z,2023-05-18Z,active,no,San Antonio,NaN,NaN,NaN,NaN
4ettsbmpobpo495sn0zd1x6vo,Dillon,Clarke,Dillon,Clarke,Male,D. Clarke,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2006-04-20,USA,7hr2f89v44y65dyu9k92vprwn,180.0,66.0,46.0,2023-03-22Z,2024-08-08Z,active,no,NaN,NaN,NaN,NaN,NaN
52cctjkyxh59o4s6dompmahgp,Joseph Ryan,Kuzminsky,Joe,Kuzminsky,Male,J. Kuzminsky,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,1994-01-26,USA,7hr2f89v44y65dyu9k92vprwn,193.0,88.0,33.0,2022-12-10Z,2023-12-31Z,active,no,Denver,NaN,NaN,NaN,NaN
54yx5xkqrktd2hp0sxjx6hm8l,James Mzamo,Musa,James,Musa,Male,J. Musa,New Zealand,wcq2y28a27syx5do1k2i2nj8,Defender,player,1992-04-01,England,1fk5l4hkqk12i7zske6mcqju6,183.0,82.0,41.0,2022-12-01Z,2024-07-04Z,active,no,Plymouth,England,1fk5l4hkqk12i7zske6mcqju6,NaN,left
6kj0a361emvyvjw1camrf9t6,Alan,McCann,Alan,McCann,Male,A. McCann,Republic of Ireland,63nepb66un7juhglo2g6rezcl,NaN,assistant coach,1989-08-28,Republic of Ireland,63nepb66un7juhglo2g6rezcl,NaN,NaN,NaN,2023-01-18Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
6rnuvzwbmj7qv80xlwkjvqnkl,Jay Tyler,Chapman,Jay,Chapman,Male,J. Chapman,Canada,1iaoypzp6syf32cz9l15pzp7e,Midfielder,player,1994-01-01,Canada,1iaoypzp6syf32cz9l15pzp7e,175.0,72.0,8.0,2023-01-31Z,2023-11-30Z,active,no,Brampton,England,1fk5l4hkqk12i7zske6mcqju6,NaN,NaN
7i29w1zl3m6xdnurdll08jsvd,Matthew,Mahoney,Matt,Mahoney,Male,M. Mahoney,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1995-04-17,USA,7hr2f89v44y65dyu9k92vprwn,180.0,77.0,5.0,2021-04-29Z,NaN,active,yes,Buffalo,NaN,NaN,NaN,NaN
7wesnkwthjcluc9b83s8ab1g4,Oskar Erik,Ågren,Oskar,Ågren,Male,O. Ågren,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,1998-09-10,Sweden,1z6l2c33w2kyz9rdefs1d68nb,188.0,82.0,23.0,2023-07-21Z,2023-09-14Z,active,no,NaN,NaN,NaN,NaN,NaN
7x150gl6osjwn2t4y7ra5kxqt,Malik Anthony,Johnson,Malik,Johnson,Male,M. Johnson,Canada,1iaoypzp6syf32cz9l15pzp7e,Midfielder,player,1998-04-13,Canada,1iaoypzp6syf32cz9l15pzp7e,175.0,72.0,7.0,2022-03-01Z,2023-03-13Z,active,no,Toronto,NaN,NaN,NaN,NaN
80z4ohi5co0ttnwardz2h2311,James,Chambers,James,Chambers,Male,J. Chambers,Republic of Ireland,63nepb66un7juhglo2g6rezcl,NaN,assistant coach,1987-02-14,Republic of Ireland,63nepb66un7juhglo2g6rezcl,183.0,91.0,NaN,2021-03-04Z,2024-01-05Z,active,no,Dublin,NaN,NaN,NaN,right
87n7hmq7f1q1avazbmwmcg222,Andrew,Skundrich,Drew,Skundrich,Male,A. Skundrich,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1995-09-17,USA,7hr2f89v44y65dyu9k92vprwn,180.0,74.0,12.0,2023-01-01Z,2023-12-31Z,active,no,Lancaster,NaN,NaN,NaN,NaN
8td51fzpdl6c1yrz6r0igle22,Delentz Fertil,Pierre,Delentz,Pierre,Male,D. Pierre,Haiti,5mp58o38d0mr5qt8g4o6l7efg,Defender,player,2000-09-16,USA,7hr2f89v44y65dyu9k92vprwn,185.0,79.0,4.0,2023-09-06Z,2023-12-31Z,active,no,NaN,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN
