id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,foot,shirtNumber,startDate,status,active,weight,endDate,knownName
9b7nlwxvvnztcgyne1ov0v4t0,Rafael Petriu,Ionuţ,Rafael,Ionut,Male,P. Ionuţ,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Attacker,player,2008-11-02,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,19.0,2025-07-01Z,active,yes,NaN,NaN,NaN
9i3n26iuiqozydje4bj21gr2s,Mario Cristian,Tudose,Mario,Tudose,Male,M. Tudose,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Defender,player,2005-01-21,Pitești,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,6.0,2023-07-11Z,active,yes,NaN,NaN,NaN
9zbvjf1498e7jm6x30dcb22mt,Cătălin George,Straton,Catalin,Straton,Male,C. Straton,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Goalkeeper,player,1989-10-09,București,Romania,17oj2qrzqlkhdjvazum10sx2i,190.0,right,1.0,2022-06-14Z,active,yes,84.0,NaN,NaN
a4zpmyhx261gzl0xop3kn8ogl,David Beniamin,Lazar,David,Lazar,Male,D. Lazar,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Goalkeeper,player,1991-08-08,Oradea,Romania,17oj2qrzqlkhdjvazum10sx2i,183.0,NaN,91.0,2025-07-01Z,active,yes,75.0,NaN,NaN
a8ck6te9oqjh1qy9b1air5vmy,Jakov,Blagaić,Jakov,Blagaic,Male,J. Blagaić,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN,Midfielder,player,2000-02-08,Split,Croatia,37hlakrwxyuzovaeoo4sezusp,174.0,right,24.0,2025-07-20Z,active,yes,68.0,NaN,NaN
ac6lszktni7fx15k2ouyskdn8,Luca Marian,Crăciun,Luca,Craciun,Male,L. Crăciun,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Goalkeeper,player,2008-08-25,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,33.0,2024-12-01Z,active,yes,NaN,NaN,NaN
aqb7kis5h28gauyn6m08k6l79,Marius Attila,Suller,Marius,Suller,Male,M. Suller,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,assistant coach,1978-09-15,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-09-24Z,active,yes,NaN,NaN,NaN
awto95jltea19radsbt7zyvv9,Kevin,Brobbey,Kevin,Brobbey,Male,K. Brobbey,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,1993-07-26,Eindhoven,Netherlands,6hzi5pltnz67q4la8yli9qfv6,185.0,right,42.0,2025-09-29Z,active,yes,80.0,NaN,NaN
bedzqolo29pvfs42rz354quqc,Caio,Ferreira Martins,Caio,Ferreira Martins,Male,Caio Ferreira,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,Attacker,player,2000-12-15,NaN,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,30.0,2025-07-01Z,active,yes,NaN,NaN,Caio Ferreira
bftt6nwr06md3u42bhim202dw,Alexandru Ștefan,Dinoci,Alexandru,Dinoci,Male,A. Dinoci,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2005-05-06,Pitești,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2025-07-01Z,active,yes,NaN,NaN,NaN
bknrovlwp8lnndznaurqox756,Dorinel Gabriel,Oancea,Dorinel,Oancea,Male,D. Oancea,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Defender,player,1997-04-02,Câmpulung Muscel,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,26.0,2025-07-01Z,active,yes,NaN,NaN,NaN
bs250q11kxz94tuvralugnbah,Robert Marian,Moldoveanu,Robert,Moldoveanu,Male,R. Moldoveanu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Attacker,player,1999-03-08,Bucureşti,Romania,17oj2qrzqlkhdjvazum10sx2i,179.0,right,99.0,2024-07-01Z,active,yes,73.0,NaN,NaN
cnblvdds21mqt0k5irjb5gixh,Vadim,Raţă,Vadim,Rata,Male,V. Raţă,Moldova,389mdnq78a55g2gr040a3mmtj,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,1993-05-05,Chişinău,Moldova,389mdnq78a55g2gr040a3mmtj,173.0,NaN,22.0,2025-06-17Z,active,yes,64.0,NaN,NaN
daj0kalpkvobo1jj6dem9htuy,Leard,Sadriu,Leard,Sadriu,Male,L. Sadriu,Kosovo,86u6edbqifdjsn49mbp2anw7p,NaN,NaN,Defender,player,2001-04-22,NaN,Kosovo,86u6edbqifdjsn49mbp2anw7p,NaN,NaN,3.0,2025-07-01Z,active,yes,NaN,NaN,NaN
deelmr3nbnvd4a9l5nvog6j2s,Franck,Tchassem,Franck,Tchassem,Male,F. Tchassem,Cameroon,4eb9feio6u267dd1jcwaf38mt,NaN,NaN,Midfielder,player,1999-05-07,Mbanga,Cameroon,4eb9feio6u267dd1jcwaf38mt,NaN,NaN,14.0,2025-07-03Z,active,yes,NaN,NaN,NaN
divtsvwmybwmymskqzy8m882x,Roberto Manuel,Sierra Giménez,Rober,Sierra,Male,Rober Sierra,Spain,49ih1pwv3ahshdf8uzrimi54c,NaN,NaN,Midfielder,player,1996-05-21,Valencia,Spain,49ih1pwv3ahshdf8uzrimi54c,184.0,right,27.0,2025-07-01Z,active,yes,73.0,NaN,NaN
djar9262xoo2h56e0f6cbmj9w,Robert Marian,Popescu,Robert,Popescu,Male,R. Popescu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Attacker,player,2003-03-09,Craiova,Romania,17oj2qrzqlkhdjvazum10sx2i,189.0,right,8.0,2025-09-12Z,active,yes,75.0,NaN,NaN
e0ohkdfb8o7vtiy9ac6l5yjxm,Esteban,Orozco Fernández,Esteban,Orozco,Male,Esteban Orozco,Equatorial Guinea,4z1n5a2w0i7miu70ot64452ak,Spain,49ih1pwv3ahshdf8uzrimi54c,Defender,player,1998-05-07,Zaragoza,Spain,49ih1pwv3ahshdf8uzrimi54c,186.0,right,43.0,2023-11-01Z,active,yes,79.0,NaN,NaN
ee8sr6w70zt0bcvjj3trf4w0k,Alexandru Ionuț,Silveanu,Alexandru,Silveanu,Male,A. Silveanu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Goalkeeper,player,2003-09-22,Pitești,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2025-07-01Z,active,yes,NaN,NaN,NaN
efx2gevkytg1b98fsais3d9lh,Bogdan Ioan,Andone,Bogdan Ioan,Andone,Male,B. Andone,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,coach,1975-01-07,Aiud,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-09-24Z,active,yes,NaN,NaN,NaN
eju3om77zvpukovvbigwox59l,Ignacio,Heras García,Nacho,Heras,Male,Nacho Heras,Spain,49ih1pwv3ahshdf8uzrimi54c,NaN,NaN,Attacker,player,1997-03-23,Leganés,Spain,49ih1pwv3ahshdf8uzrimi54c,177.0,NaN,7.0,2025-07-01Z,active,no,70.0,2025-09-02Z,NaN
j6ozrerd505yi2aosbqmk7sa,Florin Gheorghe,Borţa,Florin,Borta,Male,F. Borţa,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Defender,player,1999-06-21,Râmnicu Vâlcea,Romania,17oj2qrzqlkhdjvazum10sx2i,175.0,right,23.0,2024-01-22Z,active,yes,63.0,NaN,NaN
rg80qwd9kk9u8evchjboobmd,Takayuki,Seto,Takayuki,Seto,Male,T. Seto,Japan,lxyibh89lpdc0bfian1nx0xq,NaN,NaN,Midfielder,player,1986-02-05,Nagoya,Japan,lxyibh89lpdc0bfian1nx0xq,181.0,right,25.0,2024-07-23Z,active,yes,73.0,NaN,NaN
1iawtsm8hqaczx4awpv9byz9w,Danel Jordan,Dongmo,Danel,Dongmo,Male,D. Dongmo,Cameroon,4eb9feio6u267dd1jcwaf38mt,NaN,NaN,Midfielder,player,2001-01-31,Douala,Cameroon,4eb9feio6u267dd1jcwaf38mt,182.0,left,5.0,2025-08-27Z,active,yes,NaN,NaN,NaN
1n33x5m6se8w4s3njb0qibh05,Yohan Cédric Benjamin,Roche,Yohan,Roche,Male,Y. Roche,Benin,3o5wco7tkqgfmys9exmt5fo2h,France,7gww28djs405rfga69smki84o,Defender,player,1997-07-07,Lyon,France,7gww28djs405rfga69smki84o,188.0,right,69.0,2024-09-18Z,active,yes,78.0,NaN,NaN
2b2b58t87gx98kgv6bd6r7g89,Konstantinos,Doumtsios,Konstantinos,Doumtsios,Male,K. Doumtsios,Greece,6lpgd60z890no2v46zdecrcss,NaN,NaN,Attacker,player,1997-09-20,Serres,Greece,6lpgd60z890no2v46zdecrcss,182.0,right,19.0,2025-06-23Z,active,yes,76.0,NaN,NaN
2buba8xdxdoakafomzgp6sf84,Augustin Cristian,Dumitrache,Augustin,Dumitrache,Male,A. Dumitrache,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2006-04-22,Drobeta-Turnu Severin,Romania,17oj2qrzqlkhdjvazum10sx2i,180.0,both,97.0,2023-09-01Z,active,yes,NaN,NaN,NaN
2objkov0mvum6tf11qfyog9n9,Fabrício,Santos de Jesus,Fabrício,Santos de Jesus,Male,Fabrício Baiano,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,Midfielder,player,1992-06-13,Camacan,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,177.0,right,27.0,2024-07-19Z,active,yes,75.0,NaN,Fabrício Baiano
3l6yb4s7oyw2crgtkyb070fdh,Sergiu Cătălin,Hanca,Sergiu,Hanca,Male,S. Hanca,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Defender,player,1992-04-04,Târgu Mureș,Romania,17oj2qrzqlkhdjvazum10sx2i,182.0,right,20.0,2023-07-01Z,active,yes,80.0,NaN,NaN
45a4nzekrld37gb8pzux7d7je,Valentin Constantin,Țicu,Valentin,Ticu,Male,V. Țicu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Defender,player,2000-09-19,Ploieşti,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2016-08-30Z,active,no,NaN,2025-12-29Z,NaN
477ymvme3mxvj8yk4nqvfjj3e,Denis Răzvan,Radu,Denis,Radu,Male,D. Radu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Defender,player,2003-03-25,Caransebeș,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,22.0,2024-07-20Z,active,no,NaN,2026-01-09Z,NaN
495xdhu4x5bvngu75pel55ko9,Tommi Matti,Jyry,Tommi,Jyry,Male,T. Jyry,Finland,2u07e54v5dprsugdvddpq5ync,NaN,NaN,Midfielder,player,1999-08-16,NaN,Finland,2u07e54v5dprsugdvddpq5ync,170.0,right,6.0,2024-02-06Z,active,yes,NaN,NaN,NaN
4hxo8z8y6d0rupc6oh1cs4g0k,Alin Marius,Boțogan,Alin,Botogan,Male,A. Boțogan,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2004-02-21,Ploiești,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,36.0,2024-06-18Z,active,yes,NaN,NaN,NaN
4q28lr7dechtlw4c39wbwwyxh,Stefan,Krell,Stefan,Krell,Male,S. Krell,Austria,hcs1bd49qliqqity6o268jyt,NaN,NaN,Goalkeeper,player,1992-06-12,NaN,Austria,hcs1bd49qliqqity6o268jyt,189.0,right,41.0,2025-07-01Z,active,yes,NaN,NaN,NaN
5b9mja145lbrrwogr9jc4v9at,Eugen,Neagoe,Eugen,Neagoe,Male,E. Neagoe,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,coach,1967-08-22,Cornu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2025-09-23Z,active,yes,NaN,NaN,NaN
5rvxdsfbpys89zapuz3i4roix,Moutir,Chajia,Moutir,Chajia,Male,M. Chajia,Belgium,4wbzjcclyefma1ourvjsu4q2j,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Midfielder,player,1998-06-04,Heusden-Zolder,Belgium,4wbzjcclyefma1ourvjsu4q2j,181.0,right,NaN,2025-09-09Z,active,yes,72.0,NaN,NaN
6grsux8dflhvlvzcgs5fel90,Guilherme,Araújo Soares,Guilherme,Araújo Soares,Male,Guilherme Soares,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN,NaN,Defender,player,2001-02-08,Braga,Portugal,1nbm5i9a0403zzvltn17lxinc,186.0,right,42.0,2025-08-07Z,active,yes,80.0,NaN,Guilherme Soares
6l0le7qa2uh9elkaxu4tgptlg,Victor Marian,Stancovici,Victor,Stancovici,Male,V. Stancovici,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2005-10-26,Ploiești,Romania,17oj2qrzqlkhdjvazum10sx2i,182.0,right,33.0,2024-08-15Z,active,yes,70.0,NaN,NaN
6lnsr00btsn51fooadijl6xnt,Valentin,Gheorghe,Valentin,Gheorghe,Male,V. Gheorghe,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Attacker,player,1997-02-14,Ploieşti,Romania,17oj2qrzqlkhdjvazum10sx2i,175.0,right,11.0,2025-01-30Z,active,yes,64.0,NaN,NaN
6xg4pr8j99fbtxxkx3si618tl,Kilian,Ludewig,Kilian,Ludewig,Male,K. Ludewig,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,Defender,player,2000-03-05,Hamburg,Germany,36min0qztu8eydwvpv8t1is0m,175.0,right,29.0,2025-02-11Z,active,yes,66.0,NaN,NaN
7h0ez187man5m0lqsrecv5ql1,Alexandru,Mateiu,Alexandru,Mateiu,Male,A. Mateiu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,1989-12-10,Braşov,Romania,17oj2qrzqlkhdjvazum10sx2i,175.0,right,8.0,2024-06-18Z,active,yes,74.0,NaN,NaN
83g3r3u4hzq9617uhihe3epqt,Gheorghe Teodor,Grozav,Gheorghe,Grozav,Male,G. Grozav,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,1990-09-29,Alba Iulia,Romania,17oj2qrzqlkhdjvazum10sx2i,183.0,left,7.0,2022-06-15Z,active,yes,74.0,NaN,NaN
8d64dicbo1jeypox3kgb41p90,Robert Ionuț,Sălceanu,Robert,Salceanu,Male,R. Sălceanu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Defender,player,2004-01-13,Călărași,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,18.0,2025-08-20Z,active,yes,NaN,NaN,NaN
993p8tut30nxq03pc1pzuufx0,Juan Andres,Pătrașcu,Juan,Patrascu,Male,J. Pătrașcu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2004-04-15,Ploiești,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-06-18Z,active,no,NaN,2025-08-07Z,NaN
998ividd1duigmogj0fpbci6s,Rareș Cristian,Manolache,Rares,Manolache,Male,R. Manolache,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2010-01-11,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-12-01Z,active,yes,NaN,NaN,NaN
9bm58vms39cz8nholsqflv949,Marco Alexandru,Dulca,Marco,Dulca,Male,M. Dulca,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,1999-05-11,Pohang,Korea Republic,4vzpxtqkiwx0puygnmayr74di,184.0,NaN,88.0,2025-10-09Z,active,yes,NaN,NaN,NaN
a59inho5fd5ud84xlfsdg3rl6,Raul Andrei,Bălbărău,Raul,Balbarau,Male,R. Bălbărău,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Goalkeeper,player,2001-04-07,Galați,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,1.0,2024-02-07Z,active,yes,NaN,NaN,NaN
a5hh6erqdcg488gj974erp5g,Marius,Costache,NaN,NaN,Male,M. Costache,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2005-02-02,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2026-01-03Z,active,yes,NaN,NaN,NaN
aetq24sv5759jzfz4dm23dre,Rafael,Baldrés Hermann,Rafael,Baldrés Hermann,Male,Rafinha,Spain,49ih1pwv3ahshdf8uzrimi54c,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Attacker,player,1997-12-29,Zaragoza,Spain,49ih1pwv3ahshdf8uzrimi54c,NaN,NaN,28.0,2025-08-20Z,active,yes,NaN,NaN,Rafinha
ahopf2edtcgispl8a25sjyxre,Diogo Miguel,Costa Rodrigues,Diogo Miguel,Costa Rodrigues,Male,Diogo Rodrigues,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN,NaN,Defender,player,1999-08-23,Vendas Novas,Portugal,1nbm5i9a0403zzvltn17lxinc,183.0,right,NaN,2026-01-02Z,active,yes,70.0,NaN,Diogo Rodrigues
br1193osv0vn4vd2nkp43ukgk,Bogdan Nicolae,Marian,Bogran,Marian,Male,B. Marian,Romania,17oj2qrzqlkhdjvazum10sx2i,England,1fk5l4hkqk12i7zske6mcqju6,Defender,player,2004-12-04,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,64.0,2024-08-11Z,active,yes,NaN,NaN,NaN
c255t50oxhlpop1rw96xlgaju,Alexandru Iulian,Stănică,Alexandru,Stanica,Male,A. Stănică,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Defender,player,2000-09-06,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,181.0,NaN,3.0,2024-06-18Z,active,no,73.0,2025-08-01Z,NaN
cbrsiqtv0poy7rh73e30cyl0,Iustin Alexandru,Răducan,Iustin,Raducan,Male,I. Răducan,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Attacker,player,2005-07-20,București,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,13.0,2023-07-01Z,active,no,NaN,2025-12-29Z,NaN
cg0u4mcsgyxcwi8k77opqindh,Franjo,Prce,Franjo,Prce,Male,F. Prce,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN,Defender,player,1996-01-07,Čapljina,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,185.0,left,71.0,2025-07-01Z,active,yes,79.0,NaN,NaN
ci9167xn4qjwh7wc6jujbtkwk,Carmel,Barbulescu,Carmel,Barbulescu,Male,C. Barbulescu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,coach,1969-09-12,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2025-09-16Z,active,no,NaN,2025-09-23Z,NaN
cohaghln4axgl1titw3hkv8id,Tidiane,Keita,Tidiane,Keita,Male,T. Keita,France,7gww28djs405rfga69smki84o,Guinea,4i9sg55wigitrfx7290f59ceo,Midfielder,player,1996-09-18,Gonesse,France,7gww28djs405rfga69smki84o,180.0,right,23.0,2024-06-25Z,active,no,NaN,2025-08-02Z,NaN
cprt0jymyxf5pfcla9zuek3ro,Miguel Estefano,Constantinescu,Miguel,Constantinescu,Male,M. Constantinescu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Attacker,player,2005-05-01,NaN,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN,NaN,81.0,2025-07-01Z,active,yes,NaN,NaN,NaN
cwfwx0m9k9so9hj0f43m2ledw,David,Ilie,David,Ilie,Male,D. Ilie,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Attacker,player,2004-08-17,Ploiești,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,17.0,2025-07-01Z,active,yes,NaN,NaN,NaN
d0ir0lbmkzvkvgjvry5l9z2l1,Jérôme Junior,Onguéné,Jérôme,Onguéné,Male,J. Onguéné,Cameroon,4eb9feio6u267dd1jcwaf38mt,France,7gww28djs405rfga69smki84o,Defender,player,1997-12-22,Mbalmayo,Cameroon,4eb9feio6u267dd1jcwaf38mt,186.0,right,25.0,2025-09-09Z,active,yes,78.0,NaN,NaN
d1mameg2a2xpszzdx7oqqn76c,Ioan Cătălin,Tolea,Ioan,Tolea,Male,I. Tolea,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,Midfielder,player,2003-05-11,Târgoviște,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,30.0,2024-06-18Z,active,no,NaN,2026-01-13Z,NaN
