id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,startDate,status,active,secondNationality,secondNationalityId,endDate,knownName,shirtNumber
2zkaf848fjcdhuii8783pkm7e,Youri Pieter,Regeer,Youri,Regeer,Male,Y. Regeer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2003-08-18,Haarlem,Netherlands,6hzi5pltnz67q4la8yli9qfv6,177.0,68.0,right,2025-04-13Z,active,yes,NaN,NaN,NaN,NaN,NaN
31k1qh5h0hpxisei42mto34lw,Mylo,van der Lans,Mylo,van der Lans,Male,M. van der Lans,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2007-04-11,Delft,Netherlands,6hzi5pltnz67q4la8yli9qfv6,181.0,NaN,right,2024-08-23Z,active,yes,NaN,NaN,NaN,NaN,NaN
31v89l4k38v1wpisz7xhkq38,Jaydon Amauri,Banel,Jaydon,Banel,Male,J. Banel,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2004-10-19,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,173.0,70.0,right,2022-01-09Z,active,no,Suriname,31vay1njxmbs7vtbfp1wo2dx1,2025-02-03Z,NaN,NaN
3chh3soynyxwjgkf4iyd2rh90,Nassef,Chourak,Nassef,Chourak,Male,N. Chourak,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2004-07-21,Woerden,Netherlands,6hzi5pltnz67q4la8yli9qfv6,185.0,75.0,left,2023-07-01Z,active,yes,Morocco,2xdcc39z1k79pnjbtn9x31wdh,NaN,NaN,NaN
3ctkqknm19hnv3oliuzgizuac,Avery,Appiah,Avery,Appiah,Male,A. Appiah,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2006-04-02,Zoetermeer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,174.0,NaN,right,2023-10-26Z,active,yes,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,NaN
3e8tsv4mzm75peokuw38d8jmy,Charlie Terence,Setford,Charlie,Setford,Male,C. Setford,England,1fk5l4hkqk12i7zske6mcqju6,Goalkeeper,player,2004-05-11,Haarlem,Netherlands,6hzi5pltnz67q4la8yli9qfv6,187.0,76.0,right,2021-04-01Z,active,yes,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN
3rve12v22lh39aaqgjlwlmhas,Don-Angelo Christoffel,Annum-Assamoah Konadu,Don-Angelo,Konadu,Male,D. Konadu,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2006-05-03,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,173.0,60.0,right,2024-07-01Z,active,yes,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,NaN
3srqm69qud5sfy14rgveaeuxg,Lucas,Jetten,Lucas,Jetten,Male,L. Jetten,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2007-06-07,Natalspruit,South Africa,1kiwby3xmt97m3ejw76qs4i6k,166.0,55.0,left,2024-07-01Z,active,yes,South Africa,1kiwby3xmt97m3ejw76qs4i6k,NaN,NaN,NaN
408hw76vq99srdosd5dxgeh62,Michel,Kreek,Michel,Kreek,Male,M. Kreek,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,assistant coach,1971-01-16,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,2021-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
4fu2agdclsyxx1boxxibauzo4,Gerald,Alders,Gerald,Alders,Male,G. Alders,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2005-05-07,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,179.0,NaN,right,2023-08-24Z,active,no,Namibia,5gnafp0jaansh8iqoslamuwdc,2025-02-04Z,NaN,NaN
4utx4h5jz14whtjawxn7ox0r8,Nick,Verschuren,Nick,Verschuren,Male,N. Verschuren,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2005-01-13,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,182.0,67.0,right,2023-10-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
4xgkt8w934s3b4g573re84opg,Mark Thomas Willem,Verkuijl,Mark,Verkuijl,Male,M. Verkuijl,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2006-02-10,Ede,Netherlands,6hzi5pltnz67q4la8yli9qfv6,180.0,NaN,right,2024-08-23Z,active,yes,NaN,NaN,NaN,NaN,NaN
56nbghr9snc79dt8h99wleej8,Sean,Steur,Sean,Steur,Male,S. Steur,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2008-01-11,Purmerend,Netherlands,6hzi5pltnz67q4la8yli9qfv6,183.0,NaN,both,2024-05-09Z,active,yes,NaN,NaN,NaN,NaN,NaN
5q4odxpe2taljf20w1jlspduy,Yoram Lorenzo Ismaël,Boerhout,Yoram,Boerhout,Male,Y. Boerhout,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2005-04-05,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,171.0,NaN,right,2023-01-12Z,active,yes,NaN,NaN,NaN,NaN,NaN
68cytkmr0pbj0gy6xm5xxwefo,Rico,Speksnijder,Rico,Speksnijder,Male,R. Speksnijder,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2005-02-23,Gouda,Netherlands,6hzi5pltnz67q4la8yli9qfv6,175.0,64.0,left,2023-08-24Z,active,yes,NaN,NaN,NaN,NaN,NaN
7d8a2cp7xza48arxctlpqrvh0,Diyae-Eddine,Jermoumi,Diyae-Eddine,Jermoumi,Male,D. Jermoumi,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Defender,player,2004-07-19,Leiden,Netherlands,6hzi5pltnz67q4la8yli9qfv6,174.0,65.0,right,2022-01-09Z,active,yes,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN
7dbxbajs67qezr9rk2vjtnrx0,Aymean,El Hani,Aymean,El Hani,Male,A. El Hani,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2007-05-09,NaN,Morocco,2xdcc39z1k79pnjbtn9x31wdh,182.0,NaN,right,2024-08-18Z,active,yes,Morocco,2xdcc39z1k79pnjbtn9x31wdh,NaN,NaN,NaN
80ci9vub479wdpimkabf02rys,Ryan,van de Pavert,Ryan,van de Pavert,Male,R. van de Pavert,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2006-01-24,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,170.0,NaN,right,2024-11-21Z,active,yes,NaN,NaN,NaN,NaN,NaN
80i3boeh7f1ghu4ka7r66izje,Christian Theodor,Kjelder Rasmussen,Christian,Rasmussen,Male,C. Rasmussen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2003-01-19,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,184.0,75.0,left,2024-08-18Z,active,yes,NaN,NaN,NaN,NaN,NaN
93htnzl434o9vayt4suhs66fo,Kayden,Santana Wolff,Kayden,Wolff,Male,K. Wolff,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2006-06-19,Almere,Netherlands,6hzi5pltnz67q4la8yli9qfv6,186.0,NaN,right,2023-07-01Z,active,yes,Suriname,31vay1njxmbs7vtbfp1wo2dx1,NaN,NaN,NaN
94y5a0g4qvxgv00qy5l51u13o,Jinairo,Johnson,Jinairo,Johnson,Male,J. Johnson,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,Midfielder,player,2007-04-08,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,180.0,NaN,right,2024-08-23Z,active,yes,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN
98uas866f1r5b1osurebqnj10,Luca,Messori,Luca,Messori,Male,L. Messori,Italy,25f2cmb2r8mk5rj92tzer6kvv,Midfielder,player,2007-10-25,Modena,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,right,2024-05-09Z,active,yes,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN
9nix5y8xcj34ps62r34udtqwa,Kristian Nökkvi,Hlynsson,Kristian,Hlynsson,Male,K. Hlynsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2004-01-23,Odense,Denmark,5adf60vwiw2f2mibyq1k4ex7i,179.0,72.0,right,2020-12-06Z,active,no,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-01-31Z,NaN,NaN
9pox9siobczxr9fv3fvvx3h1w,Silvano Cliff Robbie,Vos,Silvano,Vos,Male,S. Vos,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2005-03-16,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,189.0,72.0,right,2022-02-03Z,active,no,Suriname,31vay1njxmbs7vtbfp1wo2dx1,2024-08-30Z,NaN,NaN
a63ez4ov40p2xkdsi0otez2s,Julian Dean,Rijkhoff,Julian,Rijkhoff,Male,J. Rijkhoff,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2005-01-25,Purmerend,Netherlands,6hzi5pltnz67q4la8yli9qfv6,183.0,NaN,right,2024-02-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
a7vlgirln231n3dqjhb72o0es,Olivier,Aertssen,Olivier,Aertssen,Male,O. Aertssen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2004-08-07,Veldhoven,Netherlands,6hzi5pltnz67q4la8yli9qfv6,183.0,76.0,both,2022-01-01Z,active,no,NaN,NaN,2024-08-26Z,NaN,NaN
a9gc0gd5320jvh6x3ct7vuvis,Julian Christiaan,Brandes,Julian,Brandes,Male,J. Brandes,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2004-05-11,Purmerend,Netherlands,6hzi5pltnz67q4la8yli9qfv6,177.0,73.0,right,2022-03-10Z,active,yes,NaN,NaN,NaN,NaN,NaN
arh2m8ua5zv9iiw9p8b1qbdas,Lasse,Møldrup Abildgaard,Lasse,Abildgaard,Male,L. Abildgaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2007-02-27,Voel,Denmark,5adf60vwiw2f2mibyq1k4ex7i,170.0,NaN,both,2025-04-03Z,active,yes,NaN,NaN,NaN,NaN,NaN
auh1pwqzu003b0iauw4vsmjv8,Lyfe,Oldenstam,Lyfe,Oldenstam,Male,L. Oldenstam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2007-02-02,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,166.0,NaN,right,2024-11-21Z,active,yes,Suriname,31vay1njxmbs7vtbfp1wo2dx1,NaN,NaN,NaN
bo1gluc8sj2x8ioycb41pd7v8,Sanyika Damiando,Puljhun Bergtop,Sanyika,Puljhun,Male,S. Puljhun,Suriname,31vay1njxmbs7vtbfp1wo2dx1,Attacker,player,2007-07-31,NaN,Suriname,31vay1njxmbs7vtbfp1wo2dx1,183.0,NaN,right,2025-04-03Z,active,yes,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN
brfa9yhy2llgt9l75unddogk,Jorthy,Mokio,Jorthy,Mokio,Male,J. Mokio,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,2008-02-29,Gent,Belgium,4wbzjcclyefma1ourvjsu4q2j,182.0,NaN,left,2024-07-01Z,active,yes,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,NaN,NaN,NaN
c907ct1hjmwughkdus73c5fkk,David,Kalokoh,David,Kalokoh,Male,D. Kalokoh,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2005-04-21,Kono,Sierra Leone,7kilikg56sxc0dsd6168dr57b,186.0,76.0,right,2023-01-12Z,active,yes,Sierra Leone,7kilikg56sxc0dsd6168dr57b,NaN,NaN,NaN
cstlool8c2aoty5vhx77t4q38,Jan Jakub,Faberski,Jan,Faberski,Male,J. Faberski,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,2006-04-22,Płock,Poland,27baqb7359ywdvsxxklx1kn11,170.0,NaN,left,2024-06-24Z,active,yes,NaN,NaN,NaN,NaN,NaN
cx6fxszjvjam6zb3c3p0dd1jo,Mika Marcel,Godts,Mika,Godts,Male,M. Godts,Belgium,4wbzjcclyefma1ourvjsu4q2j,Attacker,player,2005-06-07,Leuven,Belgium,4wbzjcclyefma1ourvjsu4q2j,176.0,70.0,right,2023-02-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
d2itdjj8bx0aztqggfgv7amay,Benjamin,Tahirović,Benjamin,Tahirovic,Male,B. Tahirović,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Midfielder,player,2003-03-03,Spånga,Sweden,1z6l2c33w2kyz9rdefs1d68nb,183.0,68.0,right,2024-09-29Z,active,no,Sweden,1z6l2c33w2kyz9rdefs1d68nb,2025-02-03Z,NaN,NaN
e3mwjkfs86jtko5qiqecqy7tg,Ethan,Butera,Ethan,Butera,Male,E. Butera,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,2006-04-16,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,182.0,74.0,left,2023-09-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
elakgkn99i1aig691q1hl8ay2,Sivert,Heggheim Mannsverk,Sivert,Mannsverk,Male,S. Mannsverk,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2002-05-08,Øvre Årdal,Norway,7f16iy4w8u8ogyn6pfooqwv5z,185.0,77.0,right,2024-02-05Z,active,no,NaN,NaN,2025-01-28Z,NaN,NaN
em7ie3i4w6bt476naq80umcd0,Skye,Vink,Skye,Vink,Male,S. Vink,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2006-07-01,NaN,Suriname,31vay1njxmbs7vtbfp1wo2dx1,187.0,70.0,right,2023-08-24Z,active,yes,Suriname,31vay1njxmbs7vtbfp1wo2dx1,NaN,NaN,NaN
f2ibn3ej2doay3b4u8ezeix62,Diant,Ramaj,Diant,Ramaj,Male,D. Ramaj,Germany,36min0qztu8eydwvpv8t1is0m,Goalkeeper,player,2001-09-19,Stuttgart,Germany,36min0qztu8eydwvpv8t1is0m,189.0,81.0,both,2023-09-01Z,active,no,Kosovo,86u6edbqifdjsn49mbp2anw7p,2025-02-03Z,NaN,NaN
f39palhb11oqo5ichnhudhnh0,Emre,Ünüvar,Emre,Ünüvar,Male,E. Ünüvar,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2008-03-18,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,right,2024-05-09Z,active,yes,Türkiye,6kd6webenogylfgwt2aa9l6vx,NaN,NaN,NaN
f593mnttzie8gicqlig2zvzvu,Amourricho Jahvairo Déshauntino,van Axel Dongen,Amourricho,van Axel Dongen,Male,A. van Axel Dongen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2004-09-29,Almere,Netherlands,6hzi5pltnz67q4la8yli9qfv6,175.0,70.0,right,2021-05-06Z,active,yes,Suriname,31vay1njxmbs7vtbfp1wo2dx1,NaN,NaN,NaN
18nrnv7km179iuhrlbfm7sx78,Saviola,Mourinho Simons Saffoe,Saviola,Saffoe,Male,S. Saffoe,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2007-05-11,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,left,2025-04-27Z,active,yes,Suriname,31vay1njxmbs7vtbfp1wo2dx1,NaN,Saviola Simons,NaN
1sknbsiqs5vae7s5o7km6l1w,Jahlil Taye,Lioe-Anjie,Jahlil,Lioe-Anjie,Male,J. Lioe-Anjie,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2006-01-14,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,182.0,NaN,NaN,2025-03-30Z,active,yes,Suriname,31vay1njxmbs7vtbfp1wo2dx1,NaN,NaN,NaN
22alh32lu88yabxd4pl0opg5w,Kasper,Boogaard,Kasper,Boogaard,Male,K. Boogaard,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2006-01-29,Den Burg,Netherlands,6hzi5pltnz67q4la8yli9qfv6,183.0,NaN,both,2024-02-04Z,active,yes,NaN,NaN,NaN,NaN,NaN
2c7ke3iytz2r0szpw8xpa0kk4,Adam,Ait Ali Oulhaj,Adam,Ait Ali Oulhaj,Male,A. Ait Ali Oulhaj,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2005-03-30,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,181.0,74.0,right,2023-03-11Z,active,yes,Morocco,2xdcc39z1k79pnjbtn9x31wdh,NaN,NaN,NaN
2p6h6ivyzp1fzsayw7r2xn2dx,Hobie,Verhulst,Hobie,Verhulst,Male,H. Verhulst,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,1993-04-02,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,192.0,92.0,left,2020-09-10Z,active,yes,NaN,NaN,NaN,NaN,NaN
2tbjzax52ppbwn9morvojawic,Koen,Schilder,Koen,Schilder,Male,K. Schilder,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2005-09-27,Hoogwoud,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,80.0,right,2024-08-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
2wgv0uye88734itwltg3oajo4,Job,Kalisvaart,Job,Kalisvaart,Male,J. Kalisvaart,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2004-06-10,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,181.0,82.0,right,2022-09-04Z,active,yes,NaN,NaN,NaN,NaN,NaN
35zljca9f38wwue7geei62xw4,Jeremiah,Esajas,Jeremiah,Esajas,Male,J. Esajas,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2005-05-19,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,174.0,68.0,left,2023-02-02Z,active,yes,Suriname,31vay1njxmbs7vtbfp1wo2dx1,NaN,NaN,NaN
38xf7m76hjrgvqcwqzavzrfh0,Kevin,Toppenberg,Kevin,Toppenberg,Male,K. Toppenberg,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2003-08-02,Willemstad,Curaçao,5im58ram567ao2fbnz39sm8vk,180.0,NaN,right,2024-07-08Z,active,yes,Curaçao,5im58ram567ao2fbnz39sm8vk,NaN,NaN,NaN
3kjxnvfmwd4hij1gnjc3xdhck,Enoch,Mayele Kiemba Mastoras,Enoch,Mastoras,Male,E. Mastoras,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2006-05-24,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,176.0,65.0,right,2023-02-02Z,active,yes,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,NaN,NaN,NaN
3l07u0yvlfe0xno8lnz88rn6c,Joeri,Oud,Joeri,Oud,Male,J. Oud,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2005-01-27,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,186.0,NaN,right,2024-08-15Z,active,yes,NaN,NaN,NaN,NaN,NaN
3u0yfnfs6jqx0xv2epsynesd0,Tristan,Kuijsten,Tristan,Kuijsten,Male,T. Kuijsten,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2005-01-16,Almere,Netherlands,6hzi5pltnz67q4la8yli9qfv6,191.0,83.0,right,2022-02-03Z,active,yes,NaN,NaN,NaN,NaN,NaN
44srt2vaezf1o6kkkfjljraqc,Yoël,van den Ban,Yoël,van den Ban,Male,Y. van den Ban,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2006-01-10,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,183.0,73.0,right,2023-08-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
4nchc9z4464uhu3vveo0p73f8,Sem,Dekkers,Sem,Dekkers,Male,S. Dekkers,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2004-05-28,Heiloo,Netherlands,6hzi5pltnz67q4la8yli9qfv6,178.0,74.0,right,2022-01-20Z,active,no,NaN,NaN,2025-02-04Z,NaN,NaN
5ylwgfqvaobru2lxqvlhpxul0,Elijah,Dijkstra,Elijah,Dijkstra,Male,E. Dijkstra,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2006-08-05,Assendelft,Netherlands,6hzi5pltnz67q4la8yli9qfv6,172.0,NaN,right,2024-04-25Z,active,yes,NaN,NaN,NaN,NaN,NaN
685wka5xc8na423mirotcu238,Jayden,Osei Addai,Jayden,Addai,Male,J. Addai,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2005-08-26,NaN,Ghana,2q2sw72utw5gu9t5y4knckwba,175.0,74.0,left,2022-03-17Z,active,yes,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,NaN
6km9jg1di3kjwknzs1m43c7x0,Arouna,Kabba,Arouna,Kabba,Male,A. Kabba,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2005-04-07,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,74.0,right,2023-01-08Z,active,yes,NaN,NaN,NaN,NaN,NaN
6zzcoo9k4ebqtlux49rbb5fro,Maxim,Dekker,Maxim,Dekker,Male,M. Dekker,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2004-04-21,Rijsenhout,Netherlands,6hzi5pltnz67q4la8yli9qfv6,190.0,80.0,left,2021-04-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
70e1m2aw9bqwdepmnt1gt6zh0,Kiani,Inge,Kiani,Inge,Male,K. Inge,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2007-06-16,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,right,2025-03-30Z,active,yes,NaN,NaN,NaN,NaN,NaN
792zq4joba1qgt0lusvrjantg,Lequincio,Zeefuik,Lequincio,Zeefuik,Male,L. Zeefuik,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2004-11-26,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,197.0,80.0,right,2024-02-25Z,active,no,Suriname,31vay1njxmbs7vtbfp1wo2dx1,2025-01-14Z,NaN,NaN
7ahda8ax716htadq6byfa9tzo,Yassin,Hamdi,Yassin,Hamdi,Male,Y. Hamdi,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2005-03-19,Nijmegen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,185.0,NaN,right,2024-08-23Z,active,yes,Morocco,2xdcc39z1k79pnjbtn9x31wdh,NaN,NaN,NaN
7am931rjcv69rqmdcgxvp2zo4,Wassim,Bouziane,Wassim,Bouziane,Male,W. Bouziane,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2006-12-22,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,181.0,72.0,right,2025-01-12Z,active,yes,Morocco,2xdcc39z1k79pnjbtn9x31wdh,NaN,NaN,NaN
7rxt1zx488oawkopc63b3ih3o,Hessel,de Wit,Hessel,de Wit,Male,H. de Wit,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2007-01-08,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,right,2025-03-30Z,active,yes,NaN,NaN,NaN,NaN,NaN
