id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,foot,shirtNumber,startDate,endDate,status,active,placeOfBirth,height,weight,knownName
8b9zxa11mctjdx084rmdxrd9l,Manolo,Portanova,Manolo,Portanova,Male,M. Portanova,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,2000-06-02,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,90.0,2024-08-08Z,2025-06-30Z,active,yes,Napoli,183.0,79.0,NaN
8i6gyodpo2eg7d89yo28ry6wa,Alessandro,Sersanti,Alessandro,Sersanti,Male,A. Sersanti,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,2002-02-16,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,5.0,2024-07-12Z,2025-06-30Z,active,yes,Grosseto,185.0,78.0,NaN
8rt7snswv7xc3h9dqbdt388np,Riccardo,Fiamozzi,Riccardo,Fiamozzi,Male,R. Fiamozzi,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1993-05-18,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,15.0,2023-01-17Z,NaN,active,yes,Trento,178.0,76.0,NaN
99gk3o7eh6m02n9ggj3ixprvu,Alessandro,Fontanarosa,Alessandro,Fontanarosa,Male,A. Fontanarosa,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,2003-02-07,Italy,25f2cmb2r8mk5rj92tzer6kvv,left,24.0,2024-08-27Z,2025-02-03Z,active,no,San Gennaro Vesuviano,182.0,66.0,NaN
a6lhzfxz1uac5qnx7di9joq21,Orji,Okwonkwo,Orji,Okwonkwo,Male,O. Okwonkwo,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,Attacker,player,1998-01-19,Nigeria,63pvdwrsiq5b07mzi8igqei9p,right,18.0,2024-02-01Z,2025-01-16Z,active,no,Benin City,182.0,80.0,NaN
a8fweulz1g55hh06jqecvfx79,Elvis,Kabashi,Elvis,Kabashi,Male,E. Kabashi,Albania,17zsm8shejejls2on1ffil3op,Italy,25f2cmb2r8mk5rj92tzer6kvv,Midfielder,player,1994-02-20,Albania,17zsm8shejejls2on1ffil3op,left,77.0,2022-08-29Z,NaN,active,yes,Durrës,177.0,70.0,NaN
a8vu940xqlg7pl2r84m35zl04,Alex,Sposito,Alex,Sposito,Male,A. Sposito,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Goalkeeper,player,2001-06-06,Italy,25f2cmb2r8mk5rj92tzer6kvv,left,99.0,2023-08-25Z,NaN,active,yes,Napoli,193.0,NaN,NaN
a9aj086dn3r1i2s0xq31elyxg,Lorenzo,Rubboli,Lorenzo,Rubboli,Male,L. Rubboli,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Goalkeeper,player,2007-07-29,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,70.0,2025-04-24Z,NaN,active,yes,NaN,NaN,NaN,NaN
ag92u9zv5oriy1utdp0f3dsve,Filip,Brekalo,Filip,Brekalo,Male,F. Brekalo,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN,Defender,player,2003-01-20,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN,2024-07-11Z,NaN,active,yes,Zagreb,NaN,NaN,NaN
anc68fik2chgop9o6ur2279at,Stefano,Pettinari,Stefano,Pettinari,Male,S. Pettinari,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,1992-01-27,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,23.0,2023-08-11Z,NaN,active,yes,Roma,185.0,75.0,NaN
anr1wukl3xezz39fwogjzatw5,Mattia,Destro,Mattia,Destro,Male,M. Destro,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,1991-03-20,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,21.0,2025-03-31Z,NaN,active,yes,Ascoli,181.0,73.0,NaN
arxx7w4m4s1lxhnpim9vvvehg,Yannis,Nahounou,Yannis,Nahounou,Male,Y. Nahounou,France,7gww28djs405rfga69smki84o,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,player,2004-05-16,France,7gww28djs405rfga69smki84o,NaN,87.0,2024-07-20Z,NaN,active,yes,NaN,NaN,NaN,NaN
cgtus22t5hl8nzjr7f4y4hixg,Natan,Girma,Natan,Girma,Male,N. Girma,Switzerland,3bh70jgvc5mn58x0byjkuda17,Eritrea,76fkjar42okgr6loos2xb6ka1,Attacker,player,2001-12-11,Switzerland,3bh70jgvc5mn58x0byjkuda17,right,80.0,2023-07-20Z,NaN,active,yes,Lausanne,190.0,NaN,NaN
cjliznudpjjraqhj47l40wil0,Antonio,Vergara,Antonio,Vergara,Male,A. Vergara,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,2003-01-16,Italy,25f2cmb2r8mk5rj92tzer6kvv,left,30.0,2023-07-24Z,2025-06-30Z,active,yes,Frattaminore,182.0,70.0,NaN
cuxmaqf8jbdxjen0a04mzsul1,Manuel,Marras,Manuel,Marras,Male,M. Marras,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,1993-07-09,Italy,25f2cmb2r8mk5rj92tzer6kvv,left,7.0,2024-08-30Z,NaN,active,yes,Genova,168.0,63.0,NaN
cvls4t5n8mwsom92rsm19qtqs,Diego,Stramaccioni,Diego,Stramaccioni,Male,D. Stramaccioni,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,2001-01-02,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,33.0,2024-07-01Z,2024-08-30Z,active,no,Assisi,NaN,NaN,NaN
eqb9vu09rjjofy9iksko10qac,Lorenzo,Lucchesi,Lorenzo,Lucchesi,Male,L. Lucchesi,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,2003-05-09,Italy,25f2cmb2r8mk5rj92tzer6kvv,left,44.0,2024-08-30Z,2025-06-30Z,active,yes,Firenze,190.0,NaN,NaN
evkgrslmleq311byixv6qbydx,Leo,Štulac,Leo,Stulac,Male,L. Štulac,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,NaN,NaN,Midfielder,player,1994-09-26,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,right,6.0,2024-08-02Z,2026-06-30Z,active,yes,Koper,175.0,70.0,NaN
qhwo9bjxo2itb2d46tg0zkyd,Paolo,Rozzio,Paolo,Rozzio,Male,P. Rozzio,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1992-07-22,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,4.0,2016-08-09Z,NaN,active,yes,Torino,190.0,79.0,NaN
18endjtdloeh4vge1w9yd8yc5,Elio,Capradossi,Elio,Capradossi,Male,E. Capradossi,Uganda,1j6yonplolalz6goyopv7xd1k,Italy,25f2cmb2r8mk5rj92tzer6kvv,Defender,player,1996-03-11,Uganda,1j6yonplolalz6goyopv7xd1k,both,13.0,2024-11-25Z,NaN,active,yes,Kampala,181.0,78.0,NaN
1ctxzr1tekymxjt1oyn1mhj2t,Elhan,Kastrati,Elhan,Kastrati,Male,E. Kastrati,Albania,17zsm8shejejls2on1ffil3op,NaN,NaN,Goalkeeper,player,1997-02-02,Albania,17zsm8shejejls2on1ffil3op,right,36.0,2020-10-13Z,NaN,active,yes,Krumë,189.0,93.0,NaN
1gs0p1n87ejrcher6lazkiac5,Enrico,Baldini,Enrico,Baldini,Male,E. Baldini,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,1996-11-13,Italy,25f2cmb2r8mk5rj92tzer6kvv,both,92.0,2021-01-18Z,2024-08-31Z,active,no,Milano,180.0,75.0,NaN
235d39g1g1bd1js8pj3zgbm5l,Lorenzo,Carissoni,Lorenzo,Carissoni,Male,L. Carissoni,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1997-02-07,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,24.0,2023-07-01Z,NaN,active,yes,NaN,180.0,83.0,NaN
25tr9q243du77aybrtomkzlzo,Nicolò Sergio,Scarpa,Nicolò,Scarpa,Male,N. Scarpa,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,2007-01-26,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,25.0,2025-03-08Z,NaN,active,yes,NaN,NaN,NaN,NaN
2l4lwzk5w7vt30s5s936mneac,Jacopo,Desogus,Jacopo,Desogus,Male,J. Desogus,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,2002-10-01,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,11.0,2024-07-01Z,NaN,active,yes,Cagliari,175.0,70.0,NaN
2zz9038vjum4xh4w2n3xsb8q1,Edoardo,Masciangelo,Edoardo,Masciangelo,Male,E. Masciangelo,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1996-07-08,Italy,25f2cmb2r8mk5rj92tzer6kvv,left,32.0,2024-07-01Z,NaN,active,yes,Roma,177.0,72.0,NaN
3amxpty6zxxnv2x1e5wchqw44,Alessio,Rizza,Alessio,Rizza,Male,A. Rizza,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,2003-03-07,Italy,25f2cmb2r8mk5rj92tzer6kvv,left,28.0,2023-07-25Z,NaN,active,yes,NaN,175.0,76.0,NaN
3h86kjsle752gbuamlkjkszx1,Stefano,Negro,Stefano,Negro,Male,S. Negro,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1995-06-28,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,30.0,2023-10-20Z,NaN,active,yes,Biella,193.0,85.0,NaN
3i6ynmsdwm5r79cc8sdjczggk,Matteo,Angeli,Matteo,Angeli,Male,M. Angeli,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,2002-12-30,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,4.0,2023-07-07Z,NaN,active,yes,Cuneo,185.0,80.0,NaN
3utiisestbwqd9wbf19kcc2z8,Edoardo,Scquizzato,Edoardo,Scquizzato,Male,E. Scquizzato,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Goalkeeper,player,2006-10-22,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,22.0,2024-07-01Z,NaN,active,yes,NaN,180.0,72.0,NaN
5anj0134ulyimtusok3mmul79,Davide,Voltan,Davide,Voltan,Male,D. Voltan,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,1995-04-15,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,20.0,2024-08-30Z,NaN,active,yes,Padova,178.0,72.0,NaN
5glw1vx5inqvm8xh72unutdqt,Alessio,Vita,Alessio,Vita,Male,A. Vita,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,1993-03-16,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,16.0,2019-07-04Z,NaN,active,yes,Roma,174.0,75.0,NaN
5oeoua7zvrkluhsyoozrnm87o,Simone,Tronchin,Simone,Tronchin,Male,S. Tronchin,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,2002-10-17,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,17.0,2024-07-01Z,NaN,active,yes,Montebelluna,185.0,75.0,NaN
5ov6bo4j1e8qodrcd5nynmf2t,Andrea,Magrassi,Andrea,Magrassi,Male,A. Magrassi,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,1993-02-06,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,9.0,2022-08-31Z,2025-01-02Z,active,no,NaN,194.0,81.0,NaN
5zvny0si38ictfz5oa9e8x6uh,Emmanuele,Matino,Emmanuele,Matino,Male,E. Matino,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1998-10-07,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,6.0,2025-01-30Z,2025-06-30Z,active,yes,Napoli,186.0,85.0,NaN
6goi6g8ye17xkz8tq8qhru21h,Nicola,Pavan,Nicola,Pavan,Male,N. Pavan,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1993-06-15,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,26.0,2019-08-08Z,NaN,active,yes,Thiene,186.0,82.0,NaN
6s4kc36lt10jj0lvot3fmdrzd,Luca,Pandolfi,Luca,Pandolfi,Male,L. Pandolfi,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,1998-03-14,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,7.0,2023-08-10Z,NaN,active,yes,Napoli,186.0,78.0,NaN
7xdr84lx42636qqkn6i1osob8,Akim,Djibril,Akim,Djibril,Male,A. Djibril,Italy,25f2cmb2r8mk5rj92tzer6kvv,Togo,3jiuckrqd0zejkm452st5dyq7,Midfielder,player,2006-01-22,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,29.0,2024-02-27Z,NaN,active,yes,NaN,175.0,70.0,NaN
7zogfhorlc0gkykfy2gpm3aax,Andrea,Tessiore,Andrea,Tessiore,Male,A. Tessiore,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,1999-10-01,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,18.0,2023-07-01Z,NaN,active,yes,NaN,177.0,69.0,NaN
8vmao03rrleomyvi7b361rd91,Alessandro,Salvi,Alessandro,Salvi,Male,A. Salvi,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,1988-06-05,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,2.0,2023-01-06Z,NaN,active,yes,Bergamo,183.0,78.0,NaN
8x5zfgfiw9qznzhj3th5w0ct1,Simone,Branca,Simone,Branca,Male,S. Branca,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,1992-03-25,Italy,25f2cmb2r8mk5rj92tzer6kvv,left,23.0,2018-07-06Z,2025-02-03Z,active,no,Busto Arsizio,179.0,70.0,NaN
9h9tflhftmry7gozc2xluugru,Matteo,Cardinali,Matteo,Cardinali,Male,M. Cardinali,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Goalkeeper,player,2001-06-28,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,45.0,2025-01-22Z,NaN,active,yes,Roma,190.0,85.0,NaN
9l3b3wi0lagyhlhse7r72gaac,Simone,Rabbi,Simone,Rabbi,Male,S. Rabbi,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,2001-10-30,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,21.0,2024-07-01Z,NaN,active,yes,Bologna,178.0,72.0,NaN
9p7zxqhuzelgtzft89l3xu4tl,Mario,Ravasio,Mario,Ravasio,Male,M. Ravasio,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,1998-07-19,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,91.0,2024-08-09Z,2025-01-30Z,active,no,Bergamo,185.0,74.0,NaN
a6lhzfxz1uac5qnx7di9joq21,Orji,Okwonkwo,Orji,Okwonkwo,Male,O. Okwonkwo,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,Attacker,player,1998-01-19,Nigeria,63pvdwrsiq5b07mzi8igqei9p,right,31.0,2025-01-16Z,2025-06-30Z,active,yes,Benin City,182.0,80.0,NaN
a6tndo9w6hdmppg5ixk702ok5,Roberto,Musso,Roberto,Musso,Male,R. Musso,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,NaN,assistant coach,1980-06-17,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,2021-01-03Z,NaN,active,yes,Naples,181.0,74.0,NaN
a74nuh0is7n8842ww69wfzxbe,Stefano,Piccinini,Stefano,Piccinini,Male,S. Piccinini,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,2002-12-31,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,35.0,2024-08-30Z,NaN,active,yes,Scandiano,185.0,78.0,NaN
a7qdxpsp9j3hfwxmkwlfptuj9,Edoardo,Gorini,Edoardo,Gorini,Male,E. Gorini,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,NaN,coach,1974-02-28,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,2021-07-19Z,2024-10-11Z,active,no,Venice,186.0,77.0,NaN
bsx9cw1zdzoms0ui67ner12ad,Tommy,Maistrello,Tommy,Maistrello,Male,T. Maistrello,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Attacker,player,1993-06-24,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,45.0,2023-01-09Z,2024-08-30Z,active,no,Correggio,193.0,89.0,NaN
bvjrke8kvmrsuvalhe4fovis5,Alessandro,Dal Canto,Alessandro,Dal Canto,Male,A. Dal Canto,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,NaN,coach,1975-03-10,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,2024-10-14Z,NaN,active,yes,Castelfranco Veneto,NaN,NaN,NaN
cjfenjmxqtca23910pr1pwyz8,Ahmed Kader,Sanogo,Ahmed,Sanogo,Male,A. Sanogo,Italy,25f2cmb2r8mk5rj92tzer6kvv,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Attacker,player,2004-10-09,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,74.0,2023-09-01Z,NaN,active,yes,Milanlo,176.0,75.0,NaN
d8k4mm8dr8p9txrqgyrjs0ui2,Edoardo,Sottini,Edoardo,Sottini,Male,E. Sottini,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,2002-08-18,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,6.0,2023-07-04Z,2024-08-29Z,active,no,NaN,NaN,NaN,NaN
dcaxgr7d3lza52dxs2w0s7yfo,Francesco,Amatucci,Francesco,Amatucci,Male,F. Amatucci,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,2001-06-15,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,8.0,2023-07-05Z,NaN,active,yes,Montevarchi,182.0,73.0,NaN
dgjt9p3z3q9k1y0u0f4wygpas,Andrea,Cecchetto,Andrea,Cecchetto,Male,A. Cecchetto,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Defender,player,2003-02-13,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,64.0,2023-07-01Z,NaN,active,yes,Arzignano,180.0,80.0,NaN
dlyxmc9k1koz4p5532fgit638,Claudio,Cassano,Claudio,Cassano,Male,C. Cassano,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,Midfielder,player,2003-07-22,Italy,25f2cmb2r8mk5rj92tzer6kvv,right,10.0,2023-08-03Z,2025-02-10Z,active,no,Trani,172.0,59.0,NaN
