id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,startDate,status,active,secondNationality,secondNationalityId,position,shirtNumber,height,weight,foot,endDate,knownName
6cfpz2yovbn93fgn1b53lq3o4,Vignon Mathieu Patrick,Ouotro,Patrick,Ouotro,Male,P. Ouotro,Côte d'Ivoire,tin6kf561ywonqan0mettr98,player,2005-09-13,Toulépleu,Côte d'Ivoire,tin6kf561ywonqan0mettr98,2025-07-16Z,active,yes,NaN,NaN,Attacker,29.0,182.0,78.0,right,NaN,NaN
6d7zli26kvqyqmilb9txrevis,Mattheo,Guendez,Mattheo,Guendez,Male,M. Guendez,France,7gww28djs405rfga69smki84o,player,2005-10-16,NaN,France,7gww28djs405rfga69smki84o,2025-07-01Z,active,yes,Algeria,1ayprcriqhb8iv10ch70clppu,Midfielder,34.0,NaN,NaN,left,NaN,NaN
6lrk0f2sec9h1iiyp09i0hyh,Zakaria,Fdaouch,Zakaria,Fdaouch,Male,Z. Fdaouch,France,7gww28djs405rfga69smki84o,player,1997-03-11,Mont-de-Marsan,France,7gww28djs405rfga69smki84o,2025-01-01Z,active,yes,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Attacker,7.0,169.0,60.0,NaN,NaN,NaN
6nhamg6enmjebvyarfg0e1pn8,Rayan,Bamba,Rayan,Bamba,Male,R. Bamba,France,7gww28djs405rfga69smki84o,player,2004-05-14,NaN,France,7gww28djs405rfga69smki84o,2025-08-14Z,active,yes,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,23.0,NaN,NaN,right,2026-06-30Z,NaN
7d5acj2qjg6s4aweylijkvzdh,Carlos Adrián,Sarkisian Balerio,Adrián,Sarkisian,Male,A. Sarkisian,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,assistant coach,1979-02-13,Montevideo,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,2024-11-18Z,active,yes,NaN,NaN,NaN,NaN,176.0,75.0,left,NaN,NaN
7h2hxgnu16h0icu2rudlam2vo,Oumar,Sidibé,Oumar,Sidibé,Male,O. Sidibé,France,7gww28djs405rfga69smki84o,player,2001-01-12,NaN,France,7gww28djs405rfga69smki84o,2024-07-01Z,active,no,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Midfielder,11.0,NaN,NaN,NaN,2026-02-02Z,NaN
7q7takrwpxuyk3wj8e86bbf85,Nicolas,Saint-Ruf,Nicolas,Saint-Ruf,Male,N. Saint-Ruf,Guadeloupe,4u7nk4lz0pms78k7jjbjwvgce,player,1992-10-24,Rouen,France,7gww28djs405rfga69smki84o,2024-07-01Z,active,yes,France,7gww28djs405rfga69smki84o,Defender,14.0,187.0,82.0,right,NaN,NaN
895v1lc2rgw76fnfkidglcnbo,Chafik,El Hansar,Chafik,El Hansar,Male,C. El Hansar,France,7gww28djs405rfga69smki84o,player,2005-04-13,NaN,France,7gww28djs405rfga69smki84o,2025-06-16Z,active,yes,NaN,NaN,Midfielder,45.0,189.0,NaN,right,NaN,NaN
apsune0soaucidikrchht5785,Adrian,Dabasse,Adrian,Dabasse,Male,A. Dabasse,France,7gww28djs405rfga69smki84o,player,1993-07-27,Toulouse,France,7gww28djs405rfga69smki84o,2024-07-01Z,active,yes,NaN,NaN,Attacker,10.0,180.0,71.0,right,NaN,NaN
arxx7w4m4s1lxhnpim9vvvehg,Yannis,Nahounou,Yannis,Nahounou,Male,Y. Nahounou,France,7gww28djs405rfga69smki84o,player,2004-05-16,NaN,France,7gww28djs405rfga69smki84o,2025-08-12Z,active,yes,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,77.0,NaN,NaN,NaN,NaN,NaN
b01hxe0vn7dn5m6g1uz1xj8d0,Yanis,Ferhat Delaveau,Yanis,Delaveau,Male,Y. Delaveau,Algeria,1ayprcriqhb8iv10ch70clppu,player,2006-09-06,NaN,Algeria,1ayprcriqhb8iv10ch70clppu,2025-07-01Z,active,yes,NaN,NaN,Midfielder,37.0,NaN,NaN,NaN,NaN,NaN
b4eb9lvnspbdrrt8ysh01wf84,Hugo,Barbier,Hugo,Barbier,Male,H. Barbier,France,7gww28djs405rfga69smki84o,player,2004-09-22,NaN,France,7gww28djs405rfga69smki84o,2025-12-11Z,active,yes,NaN,NaN,Midfielder,35.0,NaN,NaN,NaN,NaN,NaN
bljdqlfijv0kwe52wt9ayi7vu,Walid,Bouabdeli,Walid,Bouabdeli,Male,W. Bouabdeli,France,7gww28djs405rfga69smki84o,player,2000-08-02,NaN,France,7gww28djs405rfga69smki84o,2023-07-01Z,active,yes,Algeria,1ayprcriqhb8iv10ch70clppu,Attacker,8.0,NaN,NaN,NaN,NaN,NaN
c2o3eg8e2tas3mdwfqjp7qc4,Enzo,Tacafred,Enzo,Tacafred,Male,E. Tacafred,France,7gww28djs405rfga69smki84o,player,2005-04-08,NaN,France,7gww28djs405rfga69smki84o,2024-02-29Z,active,yes,NaN,NaN,Defender,44.0,NaN,NaN,NaN,NaN,NaN
cjfo4m336rugwspgbgxalo6ol,Teddy,Bouriaud,Teddy,Bouriaud,Male,T. Bouriaud,France,7gww28djs405rfga69smki84o,player,1997-01-03,Saint-Herblain,France,7gww28djs405rfga69smki84o,2023-07-01Z,active,yes,NaN,NaN,Midfielder,6.0,175.0,68.0,left,NaN,NaN
dolbei1uj7dyh7itgir4xxt2i,Jimmy,Evans Oghenerukwe,Jimmy,Evans,Male,J. Evans,Nigeria,63pvdwrsiq5b07mzi8igqei9p,player,1999-03-13,Lagos,Nigeria,63pvdwrsiq5b07mzi8igqei9p,2024-08-30Z,active,yes,NaN,NaN,Attacker,22.0,183.0,NaN,right,NaN,NaN
dtq60oy7uyxjs7hob25ldpr10,Justinn Noel Bernard Jean,Bourgault,Justin,Bourgault,Male,J. Bourgault,France,7gww28djs405rfga69smki84o,player,2005-09-14,Saint-Brieuc,France,7gww28djs405rfga69smki84o,2026-01-20Z,active,yes,NaN,NaN,Defender,3.0,185.0,80.0,left,2026-06-30Z,NaN
eba2mkukzeyr7hnt1ok2z4jdg,Victor Ikechukwu Jonathan,Orakpo,Victor,Orakpo,Male,V. Orakpo,Nigeria,63pvdwrsiq5b07mzi8igqei9p,player,2006-01-14,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,2026-02-02Z,active,yes,NaN,NaN,Attacker,24.0,194.0,79.0,right,2026-06-30Z,NaN
enykosheyj22373i1hnikul4a,Martin Yves Robenrns Didier,Expérience,Martin,Expérience,Male,M. Expérience,Haiti,5mp58o38d0mr5qt8g4o6l7efg,player,1999-03-09,Châteaubriant,France,7gww28djs405rfga69smki84o,2024-07-01Z,active,yes,France,7gww28djs405rfga69smki84o,Defender,19.0,178.0,NaN,left,NaN,NaN
18mmjk9mjzk2zxxoh54s0wy51,Philippe Jacques William,Montanier,Philippe,Montanier,Male,P. Montanier,France,7gww28djs405rfga69smki84o,coach,1964-11-15,Vernon,France,7gww28djs405rfga69smki84o,2026-02-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1wnn82j3wu05j6n5rulxxb7qh,Zuriko,Davitashvili,Zuriko,Davitashvili,Male,Z. Davitashvili,Georgia,55mqz7j6585f2jhgfhn62lomr,player,2001-02-15,Tbilisi,Georgia,55mqz7j6585f2jhgfhn62lomr,2024-07-11Z,active,yes,NaN,NaN,Attacker,22.0,175.0,63.0,right,NaN,NaN
1zbovntfflsyqyeyuz6gm0sgk,Paul Abdou,Eymard,Paul,Eymard,Male,P. Eymard,France,7gww28djs405rfga69smki84o,player,2008-01-05,NaN,France,7gww28djs405rfga69smki84o,2025-07-01Z,active,yes,Senegal,6hhqyhr5cwq2pfprlazyposyk,Midfielder,36.0,NaN,NaN,NaN,NaN,NaN
2nd6cunnywpa6s7wy60c4s6xg,Samy,Achour,Samy,Achour,Male,S. Achour,France,7gww28djs405rfga69smki84o,player,2006-09-03,NaN,France,7gww28djs405rfga69smki84o,2024-07-01Z,active,yes,NaN,NaN,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN
2ugisujk1f1jpmeckomte77px,Eirik,Horneland,Eirik,Horneland,Male,E. Horneland,Norway,7f16iy4w8u8ogyn6pfooqwv5z,coach,1975-03-14,NaN,Norway,7f16iy4w8u8ogyn6pfooqwv5z,2024-12-23Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2026-02-01Z,NaN
2x20cwli3oeg3tr4sat6tfzf8,Mylan,Toty,Mylan,Toty,Male,M. Toty,France,7gww28djs405rfga69smki84o,player,2009-04-14,NaN,France,7gww28djs405rfga69smki84o,2025-07-01Z,active,yes,NaN,NaN,Attacker,NaN,NaN,NaN,NaN,NaN,NaN
3ctafpdiixwdyfrx677kp73f8,Aboubaka,Soumahoro,Aboubaka,Soumahoro,Male,A. Soumahoro,France,7gww28djs405rfga69smki84o,player,2005-02-04,Paris,France,7gww28djs405rfga69smki84o,2026-02-02Z,active,yes,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,NaN,184.0,71.0,right,2026-06-30Z,NaN
3li61sik62a6pzw343fttzhuc,Noah,Moulin,Noah,Moulin,Male,N. Moulin,France,7gww28djs405rfga69smki84o,player,2008-05-13,NaN,France,7gww28djs405rfga69smki84o,2025-07-01Z,active,yes,NaN,NaN,Attacker,NaN,NaN,NaN,NaN,NaN,NaN
3s69ta9fy7u20fdcaf1oyh53o,Axel,Dodote,Axel,Dodote,Male,A. Dodote,France,7gww28djs405rfga69smki84o,player,2007-01-18,NaN,France,7gww28djs405rfga69smki84o,2025-11-07Z,active,yes,NaN,NaN,Defender,33.0,NaN,NaN,NaN,NaN,NaN
3vodb1m9l4hcm9pruc063dtnu,Pierre-Emmanuel Modi,Ekwah Elimby,Pierre,Ekwah,Male,P. Ekwah,France,7gww28djs405rfga69smki84o,player,2002-01-15,Massy,France,7gww28djs405rfga69smki84o,2025-08-14Z,active,no,Ghana,2q2sw72utw5gu9t5y4knckwba,Midfielder,NaN,189.0,80.0,left,2026-02-02Z,NaN
3zfvbmppohz2naqcci09pt72s,Benjamin,Bouchouari,Benjamin,Bouchouari,Male,B. Bouchouari,Morocco,2xdcc39z1k79pnjbtn9x31wdh,player,2001-11-13,Borgerhout,Belgium,4wbzjcclyefma1ourvjsu4q2j,2022-08-16Z,active,no,Belgium,4wbzjcclyefma1ourvjsu4q2j,Midfielder,6.0,165.0,65.0,right,2025-09-05Z,NaN
480jrdevgttzrp34tzqyhw355,Mickaël,Nadé,Mickaël,Nadé,Male,M. Nadé,France,7gww28djs405rfga69smki84o,player,1999-03-04,Sarcelles,France,7gww28djs405rfga69smki84o,2021-07-01Z,active,yes,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,3.0,186.0,81.0,left,NaN,NaN
5e1ybge741gzyadvlj3vue784,Jules,Mouton,Jules,Mouton,Male,J. Mouton,France,7gww28djs405rfga69smki84o,player,2005-03-03,NaN,France,7gww28djs405rfga69smki84o,2022-10-21Z,active,yes,NaN,NaN,Defender,38.0,NaN,NaN,NaN,NaN,NaN
5nme1dutl5z14e4741gu88t90,Ebenezer,Annan,Ebenezer,Annan,Male,E. Annan,Ghana,2q2sw72utw5gu9t5y4knckwba,player,2002-08-21,NaN,Ghana,2q2sw72utw5gu9t5y4knckwba,2025-08-07Z,active,yes,NaN,NaN,Defender,19.0,NaN,NaN,NaN,NaN,NaN
5x4cp16m9z8vzgq1kkjvm71ed,Florian,Tardieu,Florian,Tardieu,Male,F. Tardieu,France,7gww28djs405rfga69smki84o,player,1992-04-22,Istres,France,7gww28djs405rfga69smki84o,2023-09-01Z,active,yes,NaN,NaN,Midfielder,10.0,181.0,70.0,right,NaN,NaN
61kvuy2xr1uukw9keqfywohec,Marten-Chris,Paalberg,Marten-Chris,Paalberg,Male,M. Paalberg,Estonia,64smib5liu1qh78iaylufxj99,player,2008-10-08,NaN,Estonia,64smib5liu1qh78iaylufxj99,2026-02-02Z,active,yes,NaN,NaN,Attacker,NaN,NaN,NaN,NaN,NaN,NaN
6l9y6rn336e3i3z1rvns435xx,Gautier,Larsonneur,Gautier,Larsonneur,Male,G. Larsonneur,France,7gww28djs405rfga69smki84o,player,1997-02-23,Saint-Renan,France,7gww28djs405rfga69smki84o,2023-01-06Z,active,yes,NaN,NaN,Goalkeeper,30.0,181.0,70.0,right,NaN,NaN
71tbh31kcu0b3wtklis8bofs9,Mahmoud,Jaber,Mahmoud,Jaber,Male,M. Jaber,Israel,4bnqn6mt5vyslpxfuqdrcmpgp,player,1999-10-05,NaN,Israel,4bnqn6mt5vyslpxfuqdrcmpgp,2025-06-17Z,active,yes,NaN,NaN,Midfielder,5.0,178.0,NaN,right,NaN,NaN
7qw04xk7khrn1az7gfjqqw8gl,Brice,Maubleu,Brice,Maubleu,Male,B. Maubleu,France,7gww28djs405rfga69smki84o,player,1989-12-01,Saint-Martin-d'hères,France,7gww28djs405rfga69smki84o,2024-08-21Z,active,yes,NaN,NaN,Goalkeeper,1.0,192.0,83.0,right,NaN,NaN
80u5sj7xn857bnssgl2sxngus,Ewan,Hornech,Ewan,Hornech,Male,E. Hornech,France,7gww28djs405rfga69smki84o,player,2006-01-06,NaN,France,7gww28djs405rfga69smki84o,2025-07-01Z,active,yes,Algeria,1ayprcriqhb8iv10ch70clppu,Defender,NaN,NaN,NaN,left,NaN,NaN
8b40ap862z6ynvmgah0vjces5,Irvin Charly Jose,Cardona,Irvin,Cardona,Male,I. Cardona,Malta,52j1myzb4go3nqu8crtu7ulc1,player,1997-08-08,Nîmes,France,7gww28djs405rfga69smki84o,2025-07-01Z,active,yes,France,7gww28djs405rfga69smki84o,Attacker,7.0,185.0,76.0,right,NaN,NaN
8o3tk9fohlrgeqpl3xck0feac,Djylian Djombo Jean,N'Guessan,Djylian,N'Guessan,Male,D. N'Guessan,France,7gww28djs405rfga69smki84o,player,2008-08-30,Saint-Nazaire,France,7gww28djs405rfga69smki84o,2025-01-03Z,active,yes,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Attacker,25.0,180.0,75.0,right,NaN,NaN
a0o34jherpgziz52ri0zxms45,Dennis,Appiah,Dennis,Appiah,Male,D. Appiah,France,7gww28djs405rfga69smki84o,player,1992-06-09,Toulouse,France,7gww28djs405rfga69smki84o,2023-01-03Z,active,yes,Ghana,2q2sw72utw5gu9t5y4knckwba,Defender,8.0,179.0,68.0,right,NaN,NaN
anhl5r9yjr556iqidzj4zmuc4,Lassana,Traoré,Lassana,Traoré,Male,L. Traoré,Senegal,6hhqyhr5cwq2pfprlazyposyk,player,2007-05-06,NaN,Senegal,6hhqyhr5cwq2pfprlazyposyk,2025-06-18Z,active,yes,NaN,NaN,Defender,34.0,NaN,NaN,NaN,NaN,NaN
b9zrlcocsuqf6cyzv5i7ztd04,Kévin,Pedro,Kévin,Pedro,Male,K. Pedro,France,7gww28djs405rfga69smki84o,player,2006-02-21,NaN,France,7gww28djs405rfga69smki84o,2024-08-15Z,active,yes,NaN,NaN,Defender,39.0,183.0,72.0,right,NaN,NaN
boeam163ur1t3ifq01px99xwp,Julien,Le Cardinal,Julien,Le Cardinal,Male,J. Le Cardinal,France,7gww28djs405rfga69smki84o,player,1997-08-03,Saint-Brieuc,France,7gww28djs405rfga69smki84o,2026-02-02Z,active,yes,NaN,NaN,Defender,26.0,182.0,73.0,right,NaN,NaN
c9ejohcpydfvwcxso01pgn2wa,Yvann James,Maçon,Yvann,Maçon,Male,Y. Maçon,Guadeloupe,4u7nk4lz0pms78k7jjbjwvgce,player,1998-10-01,Baie-Mahaut,Guadeloupe,4u7nk4lz0pms78k7jjbjwvgce,2024-01-05Z,active,no,France,7gww28djs405rfga69smki84o,Defender,27.0,176.0,74.0,right,2026-01-04Z,NaN
cc0iz1yoiqttslyng8f2ou590,Issam,Cheikh,Issam,Cheikh,Male,I. Cheikh,France,7gww28djs405rfga69smki84o,player,2006-11-14,NaN,France,7gww28djs405rfga69smki84o,2025-07-01Z,active,yes,Algeria,1ayprcriqhb8iv10ch70clppu,Attacker,NaN,NaN,NaN,NaN,NaN,NaN
cf4fchzs8adbbq5a5e0lwrdre,Aïmen,Moueffek,Aïmen,Moueffek,Male,A. Moueffek,Morocco,2xdcc39z1k79pnjbtn9x31wdh,player,2001-04-09,Vienne,France,7gww28djs405rfga69smki84o,2020-01-07Z,active,yes,France,7gww28djs405rfga69smki84o,Midfielder,29.0,179.0,71.0,right,NaN,NaN
cmgrxkl4m3uq82k09a9wherys,Chico,Faria Camará Lamba,Chico,Faria Camará Lamba,Male,Chico Lamba,Portugal,1nbm5i9a0403zzvltn17lxinc,player,2003-03-10,Bissau,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,2025-07-07Z,active,yes,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,Defender,15.0,189.0,86.0,right,NaN,Chico Lamba
cqt6dq2jethameb0td7rlc1zo,Abdoulaye,Raslan Kanté,Abdoulaye,Kanté,Male,A. Kanté,Côte d'Ivoire,tin6kf561ywonqan0mettr98,player,2005-07-09,NaN,Côte d'Ivoire,tin6kf561ywonqan0mettr98,2026-01-30Z,active,yes,NaN,NaN,Midfielder,14.0,180.0,75.0,right,2026-06-30Z,NaN
cu7kz508a3wm8d5fypmrzxnmd,Buduka Dylan,Batubinsika,Dylan,Batubinsika,Male,D. Batubinsika,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,player,1996-02-15,Cergy-Pontoise,France,7gww28djs405rfga69smki84o,2023-07-21Z,active,no,France,7gww28djs405rfga69smki84o,Defender,21.0,188.0,80.0,right,2026-01-26Z,NaN
cvqqwbdd3dttekkcooh7i80h6,João Diogo,Fonseca Ferreira,João Diogo,Fonseca Ferreira,Male,João Ferreira,Portugal,1nbm5i9a0403zzvltn17lxinc,player,2001-03-22,Povoa de Varzim,Portugal,1nbm5i9a0403zzvltn17lxinc,2025-08-06Z,active,yes,NaN,NaN,Defender,13.0,185.0,79.0,right,NaN,João Ferreira
d89e52u9ocshqj57lm8k9r40k,Igor,Miladinović,Igor,Miladinovic,Male,I. Miladinović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,player,2003-06-08,Kruševac,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2024-08-09Z,active,yes,NaN,NaN,Midfielder,28.0,166.0,50.0,right,NaN,NaN
diyr7clbo61gqbnllvigu6psk,Strahinja,Stojković,Strahinja,Stojkovic,Male,S. Stojković,Serbia,5w4ve503bjdsshwx9ho6jxzx0,player,2007-03-08,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2025-08-08Z,active,yes,NaN,NaN,Defender,2.0,188.0,NaN,right,NaN,NaN
dvp31n723rn6ipd3xwgxtu1w4,Ayman,Aiki,Ayman,Aiki,Male,A. Aiki,France,7gww28djs405rfga69smki84o,player,2005-06-25,Champigny-sur-Marne,France,7gww28djs405rfga69smki84o,2025-07-01Z,active,no,Burkina Faso,2ggql4uo9h0p3c67wkm68ibol,Attacker,NaN,178.0,75.0,right,2025-08-14Z,NaN
e7niz9fgxoghzlrq6ws4cxlas,Augustine,Boakye,Augustine,Boakye,Male,A. Boakye,Ghana,2q2sw72utw5gu9t5y4knckwba,player,2000-11-03,Bompata,Ghana,2q2sw72utw5gu9t5y4knckwba,2024-07-13Z,active,yes,NaN,NaN,Attacker,20.0,178.0,70.0,left,NaN,NaN
eiiayh4j4s4msk4ermwu3a2hg,Luan,Gadegbeku,Luan,Gadegbeku,Male,L. Gadegbeku,France,7gww28djs405rfga69smki84o,player,2007-03-13,NaN,France,7gww28djs405rfga69smki84o,2025-08-08Z,active,yes,Togo,3jiuckrqd0zejkm452st5dyq7,Midfielder,35.0,NaN,NaN,left,NaN,NaN
em4emtybky53edbm8z70qlkgl,Maxime,Bernauer,Maxime,Bernauer,Male,M. Bernauer,France,7gww28djs405rfga69smki84o,player,1998-07-01,Hennebont,France,7gww28djs405rfga69smki84o,2025-07-01Z,active,yes,NaN,NaN,Defender,6.0,186.0,77.0,right,NaN,NaN
exdglwc9fuur8j2y56ud1agb8,Joshua James,Leslie Duffus,Joshua,Duffus,Male,J. Duffus,England,1fk5l4hkqk12i7zske6mcqju6,player,2004-12-15,NaN,England,1fk5l4hkqk12i7zske6mcqju6,2025-08-13Z,active,yes,NaN,NaN,Attacker,17.0,NaN,NaN,NaN,NaN,NaN
jvxwzywn4geyzpj2tzxssmsq,Benjamin Craig,Old,Ben,Old,Male,B. Old,New Zealand,wcq2y28a27syx5do1k2i2nj8,player,2002-08-13,Auckland,New Zealand,wcq2y28a27syx5do1k2i2nj8,2024-07-09Z,active,yes,NaN,NaN,Attacker,11.0,173.0,66.0,left,NaN,NaN
rao8xq2rg3beoc418zv1gzro,Lucas Frédéric,Stassin,Lucas,Stassin,Male,L. Stassin,Belgium,4wbzjcclyefma1ourvjsu4q2j,player,2004-11-29,NaN,Belgium,4wbzjcclyefma1ourvjsu4q2j,2024-08-30Z,active,yes,NaN,NaN,Attacker,32.0,171.0,81.0,right,NaN,NaN
ukz6itrpmnnyg4e53eep21p0,Maedine,Makhloufi,Maedine,Makhloufi,Male,M. Makhloufi,France,7gww28djs405rfga69smki84o,player,2005-11-08,NaN,France,7gww28djs405rfga69smki84o,2024-12-21Z,active,no,NaN,NaN,Defender,NaN,NaN,NaN,NaN,2026-01-13Z,NaN
