id,firstName,lastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,weight,shirtNumber,startDate,status,active,shortFirstName,shortLastName,placeOfBirth,foot,endDate,secondNationality,secondNationalityId,knownName
94nt9fr8s7rcyslxlvpecxcoa,Filip,Souček,Male,F. Souček,Czechia,5md5tpwr2nmqao528prx43jr7,Defender,player,2000-09-18,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,7.0,2025-07-09Z,active,yes,Filip,Soucek,NaN,NaN,NaN,NaN,NaN,NaN
9qbwknvomo3d9a4erwpa4a4fd,Łukasz,Wolsztyński,Male,Ł. Wolsztyński,Poland,27baqb7359ywdvsxxklx1kn11,Attacker,player,1994-12-08,Poland,27baqb7359ywdvsxxklx1kn11,183.0,73.0,10.0,2025-07-01Z,active,yes,Lukasz,Wolsztynski,Knurów,right,NaN,NaN,NaN,NaN
9v77cc745ybg3kwy5761cycyc,Marek,Terpák,Male,M. Terpák,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2007-05-04,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
a8xlp3jex51vaei34v7f2gglw,Jakub,Molnár,Male,J. Molnár,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
bcfayigqu8oygm1xvpgl9akt1,Martin,Regáli,Male,M. Regáli,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,1993-10-12,Slovakia,7dybe8679n9bgyrcxi383pq3y,180.0,71.0,9.0,2025-02-11Z,active,yes,Martin,Regáli,Prešov,right,NaN,NaN,NaN,NaN
cmglu8v2ydovsaiw988b5cr9w,Peter,Juritka,Male,P. Juritka,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,2004-07-31,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,77.0,2025-06-19Z,active,yes,NaN,NaN,NaN,NaN,2026-06-30Z,NaN,NaN,NaN
cnthnxlaag1q0h85393o7etxw,Gļebs,Patika,Male,G. Patika,Latvia,6s9bglosczqlp9cxh3ze5hdm5,Attacker,player,2004-11-09,Latvia,6s9bglosczqlp9cxh3ze5hdm5,183.0,NaN,19.0,2025-08-12Z,active,yes,Glebs,Patika,Riga,right,NaN,NaN,NaN,NaN
dju1k1rsggcz54bivw0md7m5l,Vladimír,Cifranič,Male,V. Cifranič,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,coach,1975-10-01,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,2025-09-03Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dyqqb9jtg1oyznuvpz16mg0k5,Patrik,Šimko,Male,P. Šimko,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1991-07-08,Slovakia,7dybe8679n9bgyrcxi383pq3y,185.0,79.0,4.0,2023-07-12Z,active,yes,Patrik,Simko,NaN,NaN,NaN,NaN,NaN,NaN
ef3rhuo7yei01o8o2pdpyenkl,Taras,Bondarenko,Male,T. Bondarenko,Ukraine,315w6fk6umfzf4qvba3t55u61,Defender,player,1992-09-23,Ukraine,315w6fk6umfzf4qvba3t55u61,183.0,67.0,55.0,2025-09-05Z,active,yes,Taras,Bondarenko,NaN,NaN,2025-12-31Z,NaN,NaN,NaN
eohv4yfzmjh0i70ps5p0spw4,Landing,Sagna,Male,L. Sagna,Senegal,6hhqyhr5cwq2pfprlazyposyk,Attacker,player,1999-12-22,Senegal,6hhqyhr5cwq2pfprlazyposyk,NaN,NaN,80.0,2024-07-19Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
et4mglw8d0mwweghd2hmzz9jo,Hélder,Gomes Morim,Male,Hélder Morim,Portugal,1nbm5i9a0403zzvltn17lxinc,Midfielder,player,2001-05-14,Portugal,1nbm5i9a0403zzvltn17lxinc,175.0,65.0,70.0,2025-07-10Z,active,yes,Hélder,Gomes Morim,Póvoa de Varzim,left,NaN,NaN,NaN,Hélder Morim
eu6y488eb9zhaf6cqp9gu16ok,Andy,Masaryk,Male,A. Masaryk,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,2005-04-07,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,97.0,2025-07-21Z,active,yes,Andy,Masaryk,NaN,NaN,2026-06-30Z,NaN,NaN,NaN
f2at3vb7a0duvxqon63v0prrp,Juraj,Kotula,Male,J. Kotula,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1995-09-30,Slovakia,7dybe8679n9bgyrcxi383pq3y,183.0,80.0,28.0,2025-02-19Z,active,yes,Juraj,Kotula,Bratislava,both,NaN,NaN,NaN,NaN
m37bqjsovidurd3q3uxtnfu1,Václav,Míka,Male,V. Míka,Czechia,5md5tpwr2nmqao528prx43jr7,Defender,player,2000-06-01,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,6.0,2025-06-25Z,active,yes,Václav,Míka,NaN,NaN,2026-06-30Z,NaN,NaN,NaN
qw2y6w8ykgg5jvwjioepyy5m,Bleron,Krasniqi,Male,B. Krasniqi,Kosovo,86u6edbqifdjsn49mbp2anw7p,Midfielder,player,2002-05-18,Kosovo,86u6edbqifdjsn49mbp2anw7p,184.0,61.0,23.0,2025-08-27Z,active,yes,Bleron,Krasniqi,Ferizaj,both,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN
wziz3x7i4sqr7seg67419c0k,Artur,Ukhan,Male,A. Ukhan,Ukraine,315w6fk6umfzf4qvba3t55u61,Midfielder,player,2007-08-24,Ukraine,315w6fk6umfzf4qvba3t55u61,NaN,NaN,NaN,2025-07-11Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17zcph3xmk6rhrzepsl2bmk4q,Andrija,Katić,Male,A. Katić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Goalkeeper,player,2002-02-17,Serbia,5w4ve503bjdsshwx9ho6jxzx0,195.0,83.0,1.0,2024-07-04Z,active,yes,Andrija,Katic,Kruševac,NaN,NaN,NaN,NaN,NaN
18443jomfufijc5n6b35ejlcl,Lukáš,Skovajsa,Male,L. Skovajsa,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1994-03-27,Slovakia,7dybe8679n9bgyrcxi383pq3y,181.0,77.0,25.0,2023-07-04Z,active,yes,Lukás,Skovajsa,Trenčín,NaN,NaN,NaN,NaN,NaN
1dluk435oh06er5avj9ilstpm,Chinonso,Emeka,Male,C. Emeka,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2001-08-30,Nigeria,63pvdwrsiq5b07mzi8igqei9p,189.0,NaN,9.0,2022-10-01Z,active,no,Chinonso,Emeka,NaN,NaN,2025-08-08Z,NaN,NaN,NaN
1g6ypyohdmo7r620zv00usb9w,Denis,Adamkovič,Male,D. Adamkovič,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,2006-10-25,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,80.0,2024-11-29Z,active,yes,Denis,Adamkovic,NaN,NaN,NaN,NaN,NaN,NaN
2bs4lbqqztz4amzex14zfqzqi,Franko,Sabljić,Male,F. Sabljić,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Attacker,player,2003-09-17,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,196.0,NaN,70.0,2025-07-07Z,active,yes,Franko,Sabljic,Mostar,left,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN
2hivpagsggwzpck6sw99do9as,Nikolas,Brandis,Male,N. Brandis,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2005-05-06,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,12.0,2025-07-01Z,active,yes,Nikolas,Brandis,NaN,NaN,NaN,NaN,NaN,NaN
2jjvwjuz1ztyy70krjwxrqjv8,Nicholas Theodore,Dmitrović,Male,N. Dmitrović,England,1fk5l4hkqk12i7zske6mcqju6,Attacker,player,2006-01-09,England,1fk5l4hkqk12i7zske6mcqju6,NaN,NaN,67.0,2025-07-25Z,active,yes,NaN,NaN,NaN,NaN,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN
2wkjaxnjj1ai935di1hotw3dg,Dávid,Straka,Male,D. Straka,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2006-09-19,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,2025-06-27Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3fkgi0ogin01f9u9az7sairkk,Marselino,Ferdinan Philipus,Male,M. Ferdinan,Indonesia,1zi2c00k6skx48tn692uem0n6,Midfielder,player,2004-09-09,Indonesia,1zi2c00k6skx48tn692uem0n6,178.0,67.0,NaN,2025-09-06Z,active,yes,Marselino,Ferdinan,Jakarta,right,2026-06-30Z,NaN,NaN,NaN
3zr1bups9z7w6lzi2ysj9nm51,Jakub,Holúbek,Male,J. Holúbek,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1991-01-12,Slovakia,7dybe8679n9bgyrcxi383pq3y,180.0,77.0,14.0,2024-06-15Z,active,yes,Jakub,Holúbek,Trenčín,left,NaN,NaN,NaN,NaN
410p7dcz1zqvkje53kev8jk6h,Richard,Križan,Male,R. Križan,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,1997-09-23,Slovakia,7dybe8679n9bgyrcxi383pq3y,190.0,85.0,33.0,2025-07-31Z,active,yes,Richard,Krizan,NaN,right,NaN,NaN,NaN,NaN
430cujc2dwptr8ue1z3qarxuc,Bright,Donkor,Male,B. Donkor,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,2005-01-10,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,NaN,2025-07-01Z,active,no,Bright,Donkor,NaN,NaN,2025-08-25Z,NaN,NaN,NaN
4pcaytse22bol0z7eaufggh04,Dimitri,Jepihhin,Male,D. Jepihhin,Estonia,64smib5liu1qh78iaylufxj99,Attacker,player,2005-10-28,Estonia,64smib5liu1qh78iaylufxj99,NaN,NaN,22.0,2025-02-21Z,active,yes,Dimitri,Jepihhin,Tallinn,NaN,NaN,NaN,NaN,NaN
51122ab5lix4gg0dyncw7wtuc,Viktor,Simic,Male,V. Simic,Croatia,37hlakrwxyuzovaeoo4sezusp,Defender,player,2005-10-14,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,23.0,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5ru8vcjapkbpqa2tdgzd6dbmc,Adam Mustapha,Yakubu Hassan,Male,A. Yakubu,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Midfielder,player,2005-02-01,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,8.0,2024-09-03Z,active,yes,Adam,Yakubu,NaN,right,NaN,NaN,NaN,NaN
5w3jmzuq05jmljucwdsdkb1uc,Samuel,Bagín,Male,S. Bagín,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2004-02-08,Slovakia,7dybe8679n9bgyrcxi383pq3y,189.0,NaN,2.0,2021-05-07Z,active,yes,Samuel,Bagín,NaN,NaN,NaN,NaN,NaN,NaN
5z0g3l4s56p11t3wgrpjhko9h,Sean Richard,Goss,Male,S. Goss,Northern Ireland,5euslv7jutsauoqt3o2lj9bvi,Midfielder,player,1995-10-01,Germany,36min0qztu8eydwvpv8t1is0m,179.0,74.0,16.0,2025-02-25Z,active,yes,Sean,Goss,Wegberg,left,NaN,England,1fk5l4hkqk12i7zske6mcqju6,NaN
617unia8rrl6umoe9ti7o3yms,Sani,Suleiman,Male,S. Suleiman,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2006-09-01,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,77.0,2024-07-22Z,active,yes,Sani,Suleiman,NaN,NaN,NaN,NaN,NaN,NaN
69h930ebovyl7rut5dz4r2iok,Molik Jesse,Khan,Male,M. Khan,Trinidad and Tobago,635ed0499golbw7h62vt7g53j,Midfielder,player,2004-04-08,Trinidad and Tobago,635ed0499golbw7h62vt7g53j,183.0,76.0,17.0,2025-01-25Z,active,yes,Molik,Khan,San Fernando,right,NaN,NaN,NaN,NaN
6x92etecq26qwuk9cmptvndas,Antonio,Baždarić,Male,A. Baždarić,Croatia,37hlakrwxyuzovaeoo4sezusp,Midfielder,player,2006-01-08,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,NaN,NaN,89.0,2025-07-10Z,active,yes,Antonio,Bazdaric,Ljubljana,NaN,NaN,NaN,NaN,NaN
789btd0gnhmy0qiwpij6pzuhg,Dylann,Kam,Male,D. Kam,Burkina Faso,2ggql4uo9h0p3c67wkm68ibol,Attacker,player,2004-10-21,Burkina Faso,2ggql4uo9h0p3c67wkm68ibol,NaN,NaN,NaN,2025-08-04Z,active,yes,Dylann,Kam,NaN,NaN,NaN,NaN,NaN,NaN
7plnzzirl3q10vucy37p7b6ui,Pepijn,Doesburg,Male,P. Doesburg,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2001-01-17,Netherlands,6hzi5pltnz67q4la8yli9qfv6,189.0,75.0,99.0,2025-01-25Z,active,yes,Pepijn,Doesburg,Rotterdam,right,NaN,NaN,NaN,NaN
7t9bynn5mbmy3b0v9cduifxex,Loïc Anthony,Bessilé,Male,L. Bessilé,Togo,3jiuckrqd0zejkm452st5dyq7,Defender,player,1999-02-19,France,7gww28djs405rfga69smki84o,182.0,80.0,29.0,2025-01-25Z,active,yes,Loïc,Bessilé,Toulouse,left,NaN,France,7gww28djs405rfga69smki84o,NaN
8tqxi0nvgzh1gkb0r4w062t5g,Matej,Obšivan,Male,M. Obšivan,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2005-06-06,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,2026-01-01Z,active,no,Matej,Obsivan,NaN,NaN,NaN,NaN,NaN,NaN
8y1dv126alw2wisl9hlx6ioes,Ľuboš,Praženka,Male,Ľ. Praženka,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,2005-06-20,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,2026-01-01Z,active,no,Lubos,Prazenka,NaN,NaN,NaN,NaN,NaN,NaN
95jf68g1ogtz7q1cnlam4bn6c,Matúš,Slavíček,Male,M. Slavíček,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,2003-07-11,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,2026-01-21Z,active,no,Matús,Slavícek,NaN,NaN,NaN,NaN,NaN,NaN
a8arrpa5myjkzun3m4xfxy784,Lukáš,Mikulaj,Male,L. Mikulaj,Slovakia,7dybe8679n9bgyrcxi383pq3y,Attacker,player,2005-04-11,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,21.0,2023-07-01Z,active,yes,Lukás,Mikulaj,NaN,NaN,NaN,NaN,NaN,NaN
ao72d1mt8ddpksplwi6t2fjf8,Jude Cide,Sunday,Male,J. Sunday,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2004-10-04,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,7.0,2023-07-21Z,active,no,Jude,Sunday,NaN,NaN,2025-08-21Z,NaN,NaN,NaN
b3b4ebv8jfukcu74rfyref5zo,Tadeáš,Hájovský,Male,T. Hájovský,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2005-09-30,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,6.0,2023-07-01Z,active,yes,Tadeás,Hájovsky,NaN,NaN,NaN,NaN,NaN,NaN
caxomndm1cv4hh8hwe4n333ai,Luka,Damjanović,Male,L. Damjanović,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Goalkeeper,player,2003-09-10,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN,NaN,83.0,2025-07-01Z,active,yes,Luka,Damjanovic,Banja Luka,NaN,NaN,NaN,NaN,NaN
csd08bjjmkgvhftswd8107k7o,Rayan-Élie,Ouattara Guibero,Male,R. Guibero,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Attacker,player,2004-05-08,Côte d'Ivoire,tin6kf561ywonqan0mettr98,NaN,NaN,24.0,2025-07-09Z,active,yes,Rayan,Guibero,NaN,NaN,NaN,NaN,NaN,NaN
djdpiv6igyzhn5cyun0yeam6t,Ricardo,Moniz,Male,R. Moniz,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,coach,1964-06-17,Netherlands,6hzi5pltnz67q4la8yli9qfv6,167.0,68.0,NaN,2025-06-18Z,active,yes,Ricardo,Moniz,Rotterdam,NaN,NaN,NaN,NaN,NaN
eb8x7hgrv802sxywlq1wrhlka,Johnson,Nsumoh Kalu,Male,J. Nsumoh,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2001-06-14,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,11.0,2025-01-31Z,active,yes,Johnson,Nsumoh,NaN,NaN,NaN,NaN,NaN,NaN
eiw84wsldydp7izgl43b8st1w,Alex,Húdok,Male,A. Húdok,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,2006-05-06,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,74.0,2023-07-01Z,active,yes,Alex,Húdok,NaN,NaN,NaN,NaN,NaN,NaN
kanz7uzg7be4sy9dgyfpv2ay,Justen,Shelden Kranthove,Male,J. Kranthove,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2004-09-19,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,19.0,2025-03-04Z,active,yes,Justen,Kranthove,NaN,NaN,NaN,Suriname,31vay1njxmbs7vtbfp1wo2dx1,NaN
uzxusvr3cozrr5u278qtlyc4,Adrián,Fiala,Male,A. Fiala,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2005-05-02,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,18.0,2024-06-15Z,active,yes,Adrián,Fiala,NaN,NaN,NaN,NaN,NaN,NaN
z4fjg53quqxjh0sjx9u7hg4,Hugo,Pávek,Male,H. Pávek,Slovakia,7dybe8679n9bgyrcxi383pq3y,Defender,player,2005-06-02,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,90.0,2024-06-15Z,active,yes,Hugo,Pávek,NaN,NaN,NaN,NaN,NaN,NaN
12395z7ydxxjuz4sj034ane21,Christián,Herc,Male,C. Herc,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1998-09-30,Slovakia,7dybe8679n9bgyrcxi383pq3y,185.0,72.0,24.0,2023-07-25Z,active,yes,Christián,Herc,Levice,right,NaN,NaN,NaN,NaN
17v4rpvw3iff0o0q3xuqnesd0,Leandro Filipe,de Almeida Dornelles,Male,Filipe,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Goalkeeper,player,2003-01-26,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,195.0,100.0,1.0,2024-02-23Z,active,yes,Leandro Filipe,de Almeida Dornelles,NaN,NaN,NaN,NaN,NaN,Filipe
1gq668oo73fi2nyyrjol7axud,Taras,Kacharaba,Male,T. Kacharaba,Ukraine,315w6fk6umfzf4qvba3t55u61,Defender,player,1995-01-07,Ukraine,315w6fk6umfzf4qvba3t55u61,189.0,79.0,33.0,2024-02-07Z,active,yes,Taras,Kacharaba,Zhydachiv,right,NaN,NaN,NaN,NaN
26o54gfj8locvr6la1hh0n9xw,Karol,Blaško,Male,K. Blaško,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2007-03-31,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,5.0,2024-11-22Z,active,yes,Karol,Blasko,NaN,NaN,NaN,NaN,NaN,NaN
2mtiow3m5vincvwvdzrgixdsk,Attila,Németh,Male,A. Németh,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,2004-03-01,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,44.0,2024-06-15Z,active,yes,Attila,Németh,NaN,NaN,NaN,NaN,NaN,NaN
2rq9bdoqppx3thlsm79j2i0ru,Márk,Csinger,Male,M. Csinger,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Defender,player,2003-05-31,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,NaN,NaN,21.0,2023-07-01Z,active,no,Márk,Csinger,NaN,right,2025-08-01Z,NaN,NaN,NaN
3u05uuu1hxkeg8tczbyu0hp0p,Jan-Christoph,Bartels,Male,J. Bartels,Germany,36min0qztu8eydwvpv8t1is0m,Goalkeeper,player,1999-01-13,Germany,36min0qztu8eydwvpv8t1is0m,188.0,80.0,NaN,2025-09-04Z,active,yes,Jan-Christoph,Bartels,Wiesbaden,right,NaN,NaN,NaN,NaN
4fvgqwfpl4eezh867r1y53zai,George,Gagua,Male,G. Gagua,Georgia,55mqz7j6585f2jhgfhn62lomr,Attacker,player,2001-10-10,Georgia,55mqz7j6585f2jhgfhn62lomr,193.0,NaN,29.0,2025-07-24Z,active,yes,Giorgi,Gagua,Tbilisi,NaN,NaN,NaN,NaN,NaN
4j9biro6pflykl0eg1yf977dg,Clement,Ansah,Male,C. Ansah,Ghana,2q2sw72utw5gu9t5y4knckwba,Midfielder,player,2005-01-02,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,NaN,2025-08-19Z,active,yes,NaN,NaN,Tema,NaN,NaN,NaN,NaN,NaN
