id,firstName,lastName,shortFirstName,shortLastName,gender,knownName,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,shirtNumber,startDate,status,active,foot,height,weight,placeOfBirth,endDate,secondNationality,secondNationalityId
43m33adgmas68tl6m34gkuzth,Tobias,Bendix Thomsen,Tobias,Thomsen,Male,NaN,T. Thomsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,1992-10-19,Denmark,5adf60vwiw2f2mibyq1k4ex7i,77.0,2025-03-03Z,active,yes,right,183.0,78.0,København,NaN,NaN,NaN
47ir6pmi0cy88tcseyirri2vo,Haraldur,Björgvin Eysteinsson,Haraldur,Björgvin Eysteinsson,Male,NaN,H. Björgvin Eysteinsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,2006-05-22,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,34.0,2025-05-28Z,active,no,NaN,NaN,NaN,NaN,2025-06-08Z,NaN,NaN
4kq5l8rjy4tcnjgjv78ter1zp,Halldór,Árnason,Halldór,Árnason,Male,NaN,H. Árnason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,coach,1984-05-16,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,2023-10-08Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4o1150mpv9nz55cwj9b0vblk9,Kristófer Ingi,Kristinsson,Kristófer,Kristinsson,Male,NaN,K. Kristinsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,1999-04-07,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,23.0,2023-08-05Z,active,yes,right,190.0,71.0,Garðabær,NaN,NaN,NaN
5d6oa0urkujvwy0twpdbfsl3p,Damir,Muminović,Damir,Muminovic,Male,NaN,D. Muminović,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,1990-05-13,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,2025-07-17Z,active,yes,NaN,NaN,NaN,NaN,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0
5lgije93wimqbhwm1l88iq3h0,Breki Freyr,Ágústsson,Breki,Ágústsson,Male,NaN,B. Ágústsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2007-06-11,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,39.0,2025-04-04Z,active,yes,right,180.0,NaN,NaN,NaN,USA,7hr2f89v44y65dyu9k92vprwn
65jpt70r6x6n37tgga4xka9ec,Viktor Elmar,Gautason,Viktor,Gautason,Male,NaN,V. Gautason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,2003-10-09,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,24.0,2025-02-05Z,active,no,NaN,NaN,NaN,NaN,2025-08-12Z,NaN,NaN
7fda5vdd1yqd1t7hfui4r7vh0,Ásgeir Helgi,Orrason,Ásgeir,Orrason,Male,NaN,Á. Orrason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,2005-05-19,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,4.0,2025-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7oolvi3e68uxjg23uxw738r8,Gylfi Berg,Snæhólm,Gylfi,Snæhólm,Male,NaN,G. Snæhólm,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Goalkeeper,player,2008-09-21,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,33.0,2025-02-05Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7tfg8cc5f727d1znzssm2t7f9,Guðmundur,Magnússon,Gudmundur,Magnússon,Male,NaN,G. Magnússon,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,1991-06-10,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,2025-08-13Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
840na1gfywsjygfa2hgb33mz8,Gunnleifur Orri,Gunnleifsson,Gunnleifur,Gunnleifsson,Male,NaN,G. Gunnleifsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2008-05-09,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,31.0,2025-02-05Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87ogzklhfctx78cbjwgh282j9,Höskuldur,Gunnlaugsson,Höskuldur,Gunnlaugsson,Male,NaN,H. Gunnlaugsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,1994-09-26,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,7.0,2020-02-22Z,active,yes,NaN,173.0,NaN,NaN,NaN,NaN,NaN
8sv1tavuq38iq6c0bar1a9clw,Dagur Örn,Fjeldsted,Dagur,Fjeldsted,Male,NaN,D. Fjeldsted,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2005-04-28,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,16.0,2025-01-01Z,active,no,NaN,NaN,NaN,NaN,2025-04-29Z,NaN,NaN
9186v5jw32p3hfi8v7nfvkic5,Viktor Karl,Einarsson,Viktor,Einarsson,Male,Viktor Einarsson,V. Einarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,1997-01-30,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,8.0,2019-02-21Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9d3o7jvtrmybswt14x5tq4hrd,Davíð,Ingvarsson,Davíd,Ingvarsson,Male,NaN,D. Ingvarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,1999-04-25,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,18.0,2024-07-20Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9zzg49vnaufp7j6yj7pcg6sb9,Anton Ari,Einarsson,Anton,Einarsson,Male,Anton Einarsson,A. Einarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Goalkeeper,player,1994-08-25,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,1.0,2020-02-22Z,active,yes,right,NaN,NaN,Reykjavík,NaN,NaN,NaN
adlq2xrrretbsn8v8rz5mt7o4,Alekss,Kotļevs,Alekss,Kotlevs,Male,NaN,A. Kotļevs,Latvia,6s9bglosczqlp9cxh3ze5hdm5,Defender,player,2008-02-04,Latvia,6s9bglosczqlp9cxh3ze5hdm5,26.0,2025-08-16Z,active,yes,NaN,NaN,NaN,NaN,NaN,Iceland,4jjsm5a20nnxgw5cus6b7yxc6
b16xtb8sp7drt0gfxm1gz1c0k,Gabríel Snær,Hallsson,Gabríel,Hallsson,Male,NaN,G. Hallsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2007-01-03,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,29.0,2025-02-28Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
bag719kcv7cq4xwjgmccw57o4,Ágúst Orri,Þorsteinsson,Ágúst,Thorsteinsson,Male,NaN,Á. Þorsteinsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2005-01-14,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,15.0,2025-02-05Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
c9gidoefx390qjw37pec1k4r8,Gabríel Aron,Sævarsson,Gabríel Aron,Sævarsson,Male,Gabríel Aron Sævarsson,Gabríel Aron Sævarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2006-03-07,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,2025-07-17Z,active,no,right,190.0,NaN,NaN,2025-07-26Z,NaN,NaN
d50y183d8rjdyvqf7e1jsn2tw,Kristinn Narfi,Björgvinsson,Kristinn,Björgvinsson,Male,NaN,K. Björgvinsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2008-10-13,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,32.0,2025-05-18Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
d6mfcwc4144lnyodhyd1fd6ok,Tumi Fannar,Gunnarsson,Tumi,Gunnarsson,Male,NaN,T. Gunnarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2005-03-22,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,25.0,2022-08-04Z,active,no,NaN,NaN,NaN,NaN,2025-04-28Z,NaN,NaN
e0jb28mjif4jyoqtmbcqv1ai2,Daniel,Obbekjær,Daniel,Obbekjær,Male,NaN,D. Obbekjær,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2002-07-16,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2.0,2024-03-06Z,active,no,NaN,194.0,NaN,NaN,2025-06-27Z,NaN,NaN
ehpnzj2apmfez56i2vggvhexh,Viktor Örn,Margeirsson,Viktor,Margeirsson,Male,NaN,V. Margeirsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,1994-07-22,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,21.0,2018-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ei0y0w6bvcjwrx1dupdlqazmx,Brynjar Atli,Bragason,Brynjar,Bragason,Male,NaN,B. Bragason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Goalkeeper,player,2000-04-01,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,12.0,2020-09-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
q8vi15wxv1sc9lshuzj1gz1m,Anton Logi,Lúðvíksson,Anton,Lúdvíksson,Male,NaN,A. Lúðvíksson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2003-03-13,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,13.0,2025-02-07Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11zsb2hlv5iytjhwclle651hx,Kjartan Henrý,Finnbogason,Kjartan,Finnbogason,Male,NaN,K. Finnbogason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,assistant coach,1986-07-09,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,2025-08-16Z,active,yes,right,188.0,83.0,Reykjavik,NaN,NaN,NaN
18v62rks61r7osny0b6qxslhx,Mathias,Brinch Rosenørn,Mathias,Rosenørn,Male,NaN,M. Rosenørn,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,1993-05-11,Denmark,5adf60vwiw2f2mibyq1k4ex7i,13.0,2024-02-06Z,active,yes,NaN,184.0,81.0,NaN,NaN,NaN,NaN
1a4bm2clz63hs1wage5rpw844,Arngrímur Bjartur,Guðmundsson,Arngrímur,Gudmundsson,Male,NaN,A. Guðmundsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,2005-03-14,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,38.0,2024-02-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1l4s94tyf8umuwf0ylqhikst1,Daði Freyr,Arnarsson,Dadi,Arnarsson,Male,Dadi Arnarsson,D. Arnarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Goalkeeper,player,1998-09-23,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,24.0,2023-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2jsd8ju9v6l4dv8t1jcq5yjmd,Birkir Valur,Jónsson,Birkir,Jónsson,Male,NaN,B. Jónsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,1998-02-11,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,2.0,2025-02-05Z,active,yes,right,185.0,NaN,Reykjavík,NaN,NaN,NaN
3e3iornyvm03cbixgyfkvb9xw,Ahmad,Faqa,Ahmad,Faqa,Male,Ahmad Faqa,Ahmad Faqa,Syria,3tsnzfkszhsktmhsmwar1tvp8,Defender,player,2003-01-10,Syria,3tsnzfkszhsktmhsmwar1tvp8,4.0,2025-04-03Z,active,yes,right,187.0,83.0,Qamishli,2025-12-31Z,Sweden,1z6l2c33w2kyz9rdefs1d68nb
3nd44u9iutztijlhxtjkmc7bo,Gils,Gíslason,Gils,Gíslason,Male,NaN,G. Gíslason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,2007-08-15,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,32.0,2025-02-01Z,active,no,NaN,NaN,NaN,NaN,2025-07-29Z,NaN,NaN
3xeikzljfymbuxclmr8gsvu38,Allan,Purisevic,Allan,Purisevic,Male,NaN,A. Purisevic,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2006-06-20,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,35.0,2024-08-11Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4tbixjn88hzemnxg8mgeu4jmy,Kjartan Kári,Halldórsson,Kjartan,Halldórsson,Male,NaN,K. Halldórsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,2003-06-02,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,7.0,2023-02-15Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4vpytltbg9ojlh4zp8qtifoq1,Sigurður Bjartur,Hallsson,Sigurdur,Hallsson,Male,NaN,S. Hallsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,1999-09-01,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,9.0,2024-03-06Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52v2ru861dfey5m0uc56ew1lg,Baldur Kári,Helgason,Baldur,Helgason,Male,NaN,B. Helgason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,2005-02-08,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,37.0,2022-08-02Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5kob5ak338whsu5tnu7dysfrp,Heimir,Guðjónsson,Heimir,Gudjónsson,Male,NaN,H. Guðjónsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,coach,1969-04-03,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,2022-11-09Z,active,yes,NaN,187.0,84.0,NaN,NaN,NaN,NaN
6a8edcekj0726758j2p3v4slx,Davíð Þór,Viðarsson,David,Vidarsson,Male,NaN,D. Viðarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,assistant coach,1984-04-24,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,2021-01-01Z,active,yes,left,187.0,85.0,Reykjavík,NaN,NaN,NaN
8lpo3lj2ps6ldv6at8eq54cno,Ísak Atli,Atlason,Ísak,Atlason,Male,NaN,Í. Atlason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,2007-01-24,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,41.0,2025-02-05Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8sv1tavuq38iq6c0bar1a9clw,Dagur Örn,Fjeldsted,Dagur,Fjeldsted,Male,NaN,D. Fjeldsted,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2005-04-28,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,17.0,2025-04-29Z,active,yes,NaN,NaN,NaN,NaN,2025-12-31Z,NaN,NaN
90wkclyap4w8q4qv29btwzh05,Grétar Snær,Gunnarsson,Grétar,Gunnarsson,Male,NaN,G. Gunnarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,1997-01-08,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,6.0,2023-07-30Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
94z7p8s4gbq5sshk4zmiadisq,Jóhann Ægir,Arnarsson,Jóhann,Arnarsson,Male,Jóhann Arnarsson,J. Arnarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,2002-12-09,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,27.0,2020-06-09Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9x6p3yrcb8ujaf6fucihdm21h,Björn Daníel,Sverrisson,Björn,Sverrisson,Male,NaN,B. Sverrisson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,1990-05-29,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,10.0,2019-02-21Z,active,yes,left,183.0,78.0,Hafnarfjörður,NaN,NaN,NaN
agvvkfl9cuxpunw9rrn4ydplh,Böðvar,Böðvarsson,Bödvar,Bödvarsson,Male,NaN,B. Böðvarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,1995-04-09,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,21.0,2024-02-01Z,active,yes,left,186.0,76.0,Hafnarfjörður,NaN,NaN,NaN
amgapd9ojrcvqa5w6zcuc249g,Tómas Orri,Róbertsson,Tómas,Róbertsson,Male,NaN,T. Róbertsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2004-04-21,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,23.0,2025-02-21Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
bw6cnl7ao06q9wwggwimhvtyi,Bragi Karl,Bjarkason,Bragi,Bjarkason,Male,NaN,B. Bjarkason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,2002-04-23,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,11.0,2025-02-05Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
by18thgeybfho3gr1qagibil1,Einar Karl,Ingvarsson,Einar,Ingvarsson,Male,NaN,E. Ingvarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,1993-10-08,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,18.0,2025-02-07Z,active,yes,right,NaN,NaN,NaN,NaN,NaN,NaN
cgtiys9a71wdpto6tfsg9efvt,Arnór Borg,Guðjohnsen,Arnór,Gudjohnsen,Male,NaN,A. Guðjohnsen,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,2000-09-16,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,90.0,2023-07-30Z,active,no,NaN,NaN,NaN,NaN,2025-04-30Z,NaN,NaN
cn9ai81hab71smr44hbh61d2i,Bjarni Guðjón,Brynjólfsson,Bjarni,Brynjólfsson,Male,NaN,B. Brynjólfsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2004-02-28,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,16.0,2024-04-25Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
d1ozyon1o7dj04eaiwvpg3rah,Ísak Óli,Ólafsson,Ísak,Ólafsson,Male,NaN,Í. Ólafsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,2000-06-30,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,22.0,2024-04-03Z,active,yes,right,190.0,76.0,NaN,NaN,NaN,NaN
d7hxe7djxov6k2hcxgcbnu7tg,Dagur,Traustason,Dagur,Traustason,Male,NaN,D. Traustason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,2005-03-24,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,36.0,2025-02-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
e15ul5wi52ujg5n95hd7fxf6c,Úlfur Ágúst,Björnsson,Úlfur,Björnsson,Male,NaN,Ú. Björnsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,2003-06-12,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,2025-04-01Z,active,no,NaN,NaN,NaN,NaN,2025-08-01Z,NaN,NaN
euyonx2q6ckuptcbmitvxqh3o,Aron Daði,Svavarsson,Aron,Svavarsson,Male,NaN,A. Svavarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Unknown,player,NaN,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,2025-07-26Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
qfggmfva5mhl3qu9p6v5h87p,Kristján Flóki,Finnbogason,Kristján,Finnbogason,Male,NaN,K. Finnbogason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,1995-01-12,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,45.0,2024-08-06Z,active,yes,right,190.0,NaN,NaN,NaN,NaN,NaN
ylwibq4h0418x97xlldfpwyc,Óttar,Uni Steinbjörnsson,Ottar,Steinbjornsson,Male,NaN,Ó. Steinbjörnsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,2006-06-26,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,34.0,2024-06-17Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18k6szwceqvxtwlfq3tygy87o,Bjarki,Arnaldarson,Bjarki,Arnaldarson,Male,NaN,B. Arnaldarson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Goalkeeper,player,2003-04-27,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,1.0,2025-04-30Z,active,yes,NaN,NaN,NaN,NaN,2025-12-31Z,NaN,NaN
1t6i92282qs3rharnbx7zllux,Sigurjón,Rúnarsson,Sigurjón,Rúnarsson,Male,NaN,S. Rúnarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,2000-10-02,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,26.0,2025-02-05Z,active,yes,right,NaN,NaN,NaN,NaN,NaN,NaN
1t6ifqjgdducyo4qmq1ocz8mi,Tryggvi Snær,Geirsson,Tryggvi,Geirsson,Male,NaN,T. Geirsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2000-06-11,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,6.0,2020-06-06Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2ih0q9qjqoa9mvcvdyfvt1qms,Óliver Elís,Hlynsson,Óliver,Hlynsson,Male,NaN,O. Hlynsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,2004-10-14,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,21.0,2025-02-05Z,active,no,NaN,NaN,NaN,NaN,2025-07-28Z,NaN,NaN
2whhkehcv32uvehgs0bw0g9w4,Arnar Daníel,Aðalsteinsson,Arnar,Adalsteinsson,Male,Arnar Adalsteinsson,A. Aðalsteinsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,2004-03-14,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,4.0,2025-02-05Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3jthrc6cu4hbdeqthp7vebjoq,Haraldur Einar,Ásgrímsson,Haraldur,Ásgrímsson,Male,NaN,H. Ásgrímsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,2000-06-16,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,8.0,2024-04-24Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN
46fdm6q03j2ewxslx6g807efp,Daði,Lárusson,Dadi,Lárusson,Male,NaN,D. Lárusson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,assistant coach,1973-06-19,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,2020-07-25Z,active,yes,NaN,189.0,88.0,Hafnarfjörður,NaN,NaN,NaN
