id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,status,active,secondNationality,secondNationalityId,endDate,knownName
10esz9pvzonegry7p78n3ce09,Jan,Kuchta,Jan,Kuchta,Male,J. Kuchta,Czechia,5md5tpwr2nmqao528prx43jr7,Attacker,player,1997-01-08,Liberec,Czechia,5md5tpwr2nmqao528prx43jr7,184.0,80.0,right,10.0,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN
1czk5wkuu6ahu3ytu2or8276d,Qazim,Laçi,Qazim,Laçi,Male,Q. Laçi,Albania,17zsm8shejejls2on1ffil3op,Midfielder,player,1996-01-19,Peshkopi,Albania,17zsm8shejejls2on1ffil3op,175.0,67.0,right,20.0,2023-01-01Z,active,no,Greece,6lpgd60z890no2v46zdecrcss,2025-07-20Z,NaN
1v62lh9e2cpqsaww3ggw5togk,Garang,Mawien Kuol,Garang,Kuol,Male,G. Kuol,Australia,u5ieemi69z72c3bgczyy68lo,Attacker,player,2004-09-15,Cairo,Egypt,42vt7mha0thcwd0ihw3p29x5i,175.0,68.0,right,36.0,2025-08-29Z,active,yes,South Sudan,11zpzpjhf8wr0dcsrhz3suxc7,NaN,NaN
1z99j6x60xzougmh2dg5s3z6d,Lukáš,Haraslín,Lukás,Haraslín,Male,L. Haraslín,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1996-05-26,Bratislava,Slovakia,7dybe8679n9bgyrcxi383pq3y,182.0,74.0,right,22.0,2022-07-01Z,active,yes,NaN,NaN,NaN,NaN
2we6yk2a54d89zp0kx0bs6u50,Adam,Ševínský,Adam,Sevinsky,Male,A. Ševínský,Czechia,5md5tpwr2nmqao528prx43jr7,Defender,player,2004-06-19,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,19.0,2025-01-01Z,active,yes,NaN,NaN,NaN,NaN
32649nlo21dlxhgwz88j4rifo,Ivan,Anokye Mensah,Ivan,Mensah,Male,I. Mensah,Ghana,2q2sw72utw5gu9t5y4knckwba,Defender,player,2004-04-22,NaN,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,NaN,50.0,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN
3uwnuj4kbsjiy88i1jrkzwqqy,John Anthony,Mercado Cuero,John,Mercado,Male,J. Mercado,Ecuador,6pyj2bytt2osbjk69owzfehcg,Attacker,player,2002-06-03,Guayaquil,Ecuador,6pyj2bytt2osbjk69owzfehcg,186.0,80.0,left,7.0,2025-08-10Z,active,yes,NaN,NaN,NaN,NaN
46cw2un8mal1pplle0sjsvetx,Brian,Priske Pedersen,Brian,Priske,Male,B. Priske,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,coach,1977-05-14,Horsens,Denmark,5adf60vwiw2f2mibyq1k4ex7i,188.0,79.0,NaN,NaN,2025-06-09Z,active,yes,NaN,NaN,NaN,NaN
4ks0az5rxckm1yurh4orn7qqc,Daniel,Kerl,Daniel,Kerl,Male,Daniel Kerl,Czechia,5md5tpwr2nmqao528prx43jr7,Goalkeeper,player,2001-01-14,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,61.0,2025-07-04Z,active,yes,NaN,NaN,NaN,NaN
4m5xmjs8kblkhu9n3ytkub3kl,Lukáš,Sadílek,Lukás,Sadílek,Male,L. Sadílek,Czechia,5md5tpwr2nmqao528prx43jr7,Midfielder,player,1996-05-23,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,179.0,64.0,NaN,18.0,2022-07-01Z,active,yes,NaN,NaN,NaN,NaN
4pu28itweq7urzmmew3rwa8d1,Asger,Strømgaard Sørensen,Asger,Sørensen,Male,A. Sørensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1996-06-05,Silkeborg,Denmark,5adf60vwiw2f2mibyq1k4ex7i,191.0,88.0,right,25.0,2022-07-20Z,active,yes,NaN,NaN,NaN,NaN
5qyqblztrewibvjz9pyjs0v84,Kevin-Prince,Milla,Kevin-Prince,Milla,Male,K. Milla,Cameroon,4eb9feio6u267dd1jcwaf38mt,Attacker,player,2003-12-25,NaN,Cameroon,4eb9feio6u267dd1jcwaf38mt,183.0,80.0,right,28.0,2025-08-01Z,active,yes,NaN,NaN,NaN,NaN
6ajl37s0de73x36nhufcoejje,Matěj,Ryneš,Matej,Rynes,Male,M. Ryneš,Czechia,5md5tpwr2nmqao528prx43jr7,Defender,player,2001-05-30,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,186.0,82.0,NaN,11.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN
6n8o31tmn6muge66w9q7w4mc4,Roman,Mokrovics,Roman,Mokrovics,Male,R. Mokrovics,Czechia,5md5tpwr2nmqao528prx43jr7,Midfielder,player,2006-06-04,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,31.0,2024-02-01Z,active,yes,NaN,NaN,NaN,NaN
6ynimlaj1xuh6xntpkzyxfend,Magnus,Kofod Andersen,Magnus,Kofod Andersen,Male,M. Kofod Andersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1999-05-10,Hundested,Denmark,5adf60vwiw2f2mibyq1k4ex7i,176.0,64.0,right,8.0,2025-01-26Z,active,yes,NaN,NaN,NaN,NaN
7igj3m2rjckuy6whrny8qtt2i,Imanol,García de Albéniz Crecente,Imanol,García de Albéniz,Male,Imanol García de Albéniz,Spain,49ih1pwv3ahshdf8uzrimi54c,Defender,player,2000-06-08,Gallarta,Spain,49ih1pwv3ahshdf8uzrimi54c,177.0,63.0,left,NaN,2024-07-16Z,active,no,NaN,NaN,2025-07-19Z,NaN
7twrnp7os9wbiqsnwcbz9ju8l,Jaroslav,Zelený,Jaroslav,Zeleny,Male,J. Zelený,Czechia,5md5tpwr2nmqao528prx43jr7,Defender,player,1992-08-20,Hradec Králové,Czechia,5md5tpwr2nmqao528prx43jr7,189.0,73.0,NaN,30.0,2022-07-01Z,active,yes,NaN,NaN,NaN,NaN
86bc57tu71lihnpxgw7ttn7dg,Pedro Antonio,Rodriguez Cuesta,Pedro,Rodriguez,Male,P. Rodriguez,Czechia,5md5tpwr2nmqao528prx43jr7,Goalkeeper,player,2006-03-01,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,60.0,2025-08-20Z,active,yes,Cuba,ws166hrbk0nwte3ypn8mm36g,NaN,NaN
876f0ofgg1osn54zb65lhnc6i,Jakub,Martinec,Jakub,Martinec,Male,J. Martinec,Czechia,5md5tpwr2nmqao528prx43jr7,Defender,player,1998-03-13,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,187.0,76.0,NaN,4.0,2025-09-05Z,active,yes,NaN,NaN,NaN,NaN
8byp1lyd4twbvremuoip7zfv8,Albion,Rrahmani,Albion,Rrahmani,Male,A. Rrahmani,Kosovo,86u6edbqifdjsn49mbp2anw7p,Attacker,player,2000-08-31,NaN,Kosovo,86u6edbqifdjsn49mbp2anw7p,187.0,NaN,both,9.0,2024-08-19Z,active,yes,NaN,NaN,NaN,NaN
8m5qqvo8ubfywp7esr9agf5nu,Adam,Karabec,Adam,Karabec,Male,A. Karabec,Czechia,5md5tpwr2nmqao528prx43jr7,Midfielder,player,2003-07-02,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,186.0,74.0,left,36.0,2025-07-01Z,active,no,NaN,NaN,2025-08-12Z,NaN
90r694q07lllfbayp7avfmsid,Filip,Panák,Filip,Panák,Male,F. Panák,Czechia,5md5tpwr2nmqao528prx43jr7,Defender,player,1995-11-02,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,187.0,80.0,right,27.0,2019-02-22Z,active,yes,NaN,NaN,NaN,NaN
9z5py8a1jpdx5zl7a47sd34es,Martin,Suchomel,Martin,Suchomel,Male,M. Suchomel,Czechia,5md5tpwr2nmqao528prx43jr7,Defender,player,2002-09-11,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,183.0,NaN,NaN,2.0,2024-07-01Z,active,yes,NaN,NaN,NaN,NaN
adxgypxs56c9yn9q8ipn1kbmd,Elias,Cobbaut,Elias,Cobbaut,Male,E. Cobbaut,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,1997-11-24,Mechelen,Belgium,4wbzjcclyefma1ourvjsu4q2j,188.0,78.0,left,33.0,2024-09-02Z,active,yes,NaN,NaN,NaN,NaN
al7bdbzd91zkuh6ilsvw3fsru,Václav,Sejk,Václav,Sejk,Male,V. Sejk,Czechia,5md5tpwr2nmqao528prx43jr7,Attacker,player,2002-05-18,Děčín,Czechia,5md5tpwr2nmqao528prx43jr7,180.0,78.0,right,NaN,2025-07-01Z,active,no,NaN,NaN,2025-07-26Z,NaN
auy58bckt1kkwg0get5g05pl,Matěj,Polidar,Matej,Polidar,Male,M. Polidar,Czechia,5md5tpwr2nmqao528prx43jr7,Defender,player,1999-12-20,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,179.0,76.0,NaN,NaN,2025-07-01Z,active,no,NaN,NaN,2025-07-22Z,NaN
b3xdln1shzyzwkhzdmbb2fqax,Veljko,Birmančević,Veljko,Birmancevic,Male,V. Birmančević,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,1998-03-05,Šabac,Serbia,5w4ve503bjdsshwx9ho6jxzx0,179.0,67.0,right,14.0,2024-06-21Z,active,yes,NaN,NaN,NaN,NaN
bgh658opq2ua3erqg76tg9k6i,Santiago,Eneme Bocari,Santiago,Eneme,Male,Santiago Eneme,Equatorial Guinea,4z1n5a2w0i7miu70ot64452ak,Midfielder,player,2000-09-29,Malabo,Equatorial Guinea,4z1n5a2w0i7miu70ot64452ak,183.0,65.0,right,5.0,2025-06-21Z,active,yes,NaN,NaN,NaN,NaN
8th1h67uitbd8iicy3su0du96,Denis,Vala,Denis,Vala,Male,D. Vala,Czechia,5md5tpwr2nmqao528prx43jr7,Defender,player,2000-10-11,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,18.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN
c2dyis8v8w6p8e40n0hmkdtgq,Ermal,Krasniqi,Ermal,Krasniqi,Male,E. Krasniqi,Kosovo,86u6edbqifdjsn49mbp2anw7p,Attacker,player,1998-09-07,NaN,Kosovo,86u6edbqifdjsn49mbp2anw7p,NaN,NaN,NaN,29.0,2024-06-21Z,active,no,NaN,NaN,2025-08-25Z,NaN
c8m4ox6n1v89qbbjq73s5ezmx,Ángelo Smit,Preciado Quiñónez,Ángelo,Preciado,Male,Á. Preciado,Ecuador,6pyj2bytt2osbjk69owzfehcg,Defender,player,1998-02-18,Shushufindi,Ecuador,6pyj2bytt2osbjk69owzfehcg,173.0,73.0,right,17.0,2023-09-04Z,active,yes,NaN,NaN,NaN,NaN
clpgidi7ivqcmv71mq70sxqwa,Patrik,Vydra,Patrik,Vydra,Male,P. Vydra,Czechia,5md5tpwr2nmqao528prx43jr7,Midfielder,player,2003-06-20,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,190.0,80.0,NaN,26.0,2025-01-26Z,active,yes,NaN,NaN,NaN,NaN
cqdivq82gd6b1h04gps6z108a,Indrit,Tuci,Indrit,Tuci,Male,I. Tuci,Albania,17zsm8shejejls2on1ffil3op,Attacker,player,2000-09-14,Lezhë,Albania,17zsm8shejejls2on1ffil3op,NaN,NaN,NaN,NaN,2024-02-07Z,active,no,NaN,NaN,2025-08-09Z,NaN
cu1mrhhanp9ee4hbnwg7v1444,Joeri Jesse,Heerkens,Joeri,Heerkens,Male,J. Heerkens,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,2006-05-08,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,46.0,2024-11-09Z,active,no,Czechia,5md5tpwr2nmqao528prx43jr7,2025-07-28Z,NaN
cu4dqx3aewffks6eu58ub41zo,Emmanuel,Uchenna Aririerisim,Emmanuel,Uchenna,Male,E. Uchenna,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Defender,player,2003-12-04,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,NaN,16.0,2025-01-26Z,active,yes,NaN,NaN,NaN,NaN
d9y3zs8qysymkc7kbprgtej9w,Dominik,Hollý,Dominik,Holly,Male,D. Hollý,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,2003-11-11,Bánovce nad Bebravou,Slovakia,7dybe8679n9bgyrcxi383pq3y,181.0,74.0,right,21.0,2025-06-21Z,active,yes,NaN,NaN,NaN,NaN
eahrhjbqt72t5gwlzsl9uqm6t,Kasper Kaan,Özden Kairinen,Kaan,Kairinen,Male,K. Kairinen,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,1998-12-22,NaN,Finland,2u07e54v5dprsugdvddpq5ync,186.0,70.0,NaN,6.0,2023-01-01Z,active,yes,Türkiye,6kd6webenogylfgwt2aa9l6vx,NaN,NaN
eh2y23m9bd84b7o7h3b9fbljp,Vojtěch,Vorel,Vojtech,Vorel,Male,V. Vorel,Czechia,5md5tpwr2nmqao528prx43jr7,Goalkeeper,player,1996-06-18,Praha,Czechia,5md5tpwr2nmqao528prx43jr7,192.0,81.0,right,NaN,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN
ek8xp4gxtishk0uptajld1rhm,Victor Oluyemi,Olatunji,Victor,Olatunji,Male,V. Olatunji,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,1999-09-05,Sokoto,Nigeria,63pvdwrsiq5b07mzi8igqei9p,189.0,85.0,right,7.0,2023-07-17Z,active,no,NaN,NaN,2025-08-06Z,NaN
elakgkn99i1aig691q1hl8ay2,Sivert,Heggheim Mannsverk,Sivert,Mannsverk,Male,S. Mannsverk,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2002-05-08,Øvre Årdal,Norway,7f16iy4w8u8ogyn6pfooqwv5z,185.0,77.0,right,20.0,2025-08-20Z,active,yes,NaN,NaN,2026-06-30Z,NaN
eyq4y2syfou2qo5a795rmjhpm,Markus,Solbakken,Markus,Solbakken,Male,M. Solbakken,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2000-07-25,NaN,Norway,7f16iy4w8u8ogyn6pfooqwv5z,182.0,70.0,right,4.0,2025-07-01Z,active,no,NaN,NaN,2025-09-01Z,NaN
f3h1bxnw3fq8m10ck132bic4p,Peter,Vindahl Jensen,Peter,Vindahl,Male,P. Vindahl,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,1998-02-16,Helsingør,Denmark,5adf60vwiw2f2mibyq1k4ex7i,195.0,89.0,right,1.0,2024-06-23Z,active,yes,NaN,NaN,NaN,NaN
shbxc528h0udd6rdf3ax2itx,Pavel,Kadeřábek,Pavel,Kaderábek,Male,P. Kadeřábek,Czechia,5md5tpwr2nmqao528prx43jr7,Defender,player,1992-04-25,Praha,Czechia,5md5tpwr2nmqao528prx43jr7,182.0,81.0,right,3.0,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN
zijwxpmk1r3exjrse7sjoxgq,Jakub,Surovčík,Jakub,Surovcík,Male,J. Surovčík,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,2002-06-28,NaN,Slovakia,7dybe8679n9bgyrcxi383pq3y,NaN,NaN,NaN,44.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN
1js0a77ybtrkvejr5wj55zmc5,Abdulla Yusuf,Abdulrahim Mohamed Helal,Abdulla Yusuf,Abdulrahim Mohamed Helal,Male,Abdulla Yusuf Helal,Bahrain,4j3eg4ch3tdp2uh7kblm8yvvj,Attacker,player,1993-06-12,Manama,Bahrain,4j3eg4ch3tdp2uh7kblm8yvvj,194.0,91.0,right,9.0,2024-07-01Z,active,yes,NaN,NaN,NaN,Abdulla Yusuf Helal
2rldoenow9fyw44hbvoujixg5,Matěj,Hybš,Matej,Hybs,Male,M. Hybš,Czechia,5md5tpwr2nmqao528prx43jr7,Defender,player,1993-01-03,Praha,Czechia,5md5tpwr2nmqao528prx43jr7,181.0,67.0,left,7.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN
31cb0xwwh952xgp2d2tbbnc9h,Jaroslav,Veselý,Jaroslav,Vesely,Male,J. Veselý,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,coach,1977-08-08,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,NaN,2022-04-01Z,active,yes,NaN,NaN,NaN,NaN
3rdx0lehyw5wnfh3anefcjnkk,Adam,Kadlec,Adam,Kadlec,Male,A. Kadlec,Czechia,5md5tpwr2nmqao528prx43jr7,Defender,player,2003-07-06,NaN,Czechia,5md5tpwr2nmqao528prx43jr7,NaN,NaN,NaN,27.0,2021-04-30Z,active,yes,NaN,NaN,NaN,NaN
