id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,status,active,position,shirtNumber,secondNationality,secondNationalityId,height,weight,foot,knownName
3jqxaa2l6gqwxl2mr8w0yiiy2,Nathanaël,Mbuku,Nathanaël,Mbuku,Male,N. Mbuku,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,player,2002-03-16,Villeneuve-Saint-Georges,France,7gww28djs405rfga69smki84o,active,yes,Attacker,21.0,France,7gww28djs405rfga69smki84o,170.0,65.0,left,NaN
3wyqo8jkjt41b45ui1vadl2qc,Jan,Oliveras Codina,Jan,Oliveras,Male,Jan Oliveras,Spain,49ih1pwv3ahshdf8uzrimi54c,player,2004-07-07,Manresa,Spain,49ih1pwv3ahshdf8uzrimi54c,active,yes,Defender,14.0,NaN,NaN,NaN,NaN,NaN,NaN
43f74sam1smyx05y7ydg4xec,Tin,Miljak,Tin,Miljak,Male,T. Miljak,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2006-09-17,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Midfielder,NaN,NaN,NaN,190.0,NaN,left,NaN
4jnxys8qlg4busx87d2ssgnbo,Leon,Jakirović,Leon,Jakirovic,Male,L. Jakirović,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2008-01-16,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Defender,86.0,NaN,NaN,NaN,NaN,NaN,NaN
52tu1l6c1b7v8ofwbhiurvcnp,Stefan,Ristovski,Stefan,Ristovski,Male,S. Ristovski,North Macedonia,1lesyxylc5eza0a4z87t9azcc,player,1992-02-12,Skopje,North Macedonia,1lesyxylc5eza0a4z87t9azcc,active,yes,Defender,22.0,NaN,NaN,181.0,73.0,right,NaN
59xj48aye2j1zgz3wqm6tteqd,Danijel,Jumić,Danijel,Jumic,Male,D. Jumić,Croatia,37hlakrwxyuzovaeoo4sezusp,assistant coach,1986-06-27,Osijek,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,NaN,NaN,NaN,NaN,174.0,NaN,NaN,NaN
5flzo34gylxzbhhrbfopzn66s,Jakov,Gurlica,Jakov,Gurlica,Male,J. Gurlica,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2004-01-10,Zadar,Croatia,37hlakrwxyuzovaeoo4sezusp,active,no,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6u7iuum6kqfwb4pbw5lsoff56,Petar,Sučić,Petar,Sucic,Male,P. Sučić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2003-10-25,Livno,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,active,yes,Midfielder,25.0,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN,NaN,right,Petar Sucic
7onr52be14is8cwcfd2k1i784,Martin,Baturina,Martin,Baturina,Male,M. Baturina,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2003-02-16,Split,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Midfielder,10.0,NaN,NaN,172.0,68.0,right,NaN
8f4dnhlapwc3zd9sz7a6pb651,Marko,Rog,Marko,Rog,Male,M. Rog,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1995-07-19,Varaždin,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Midfielder,30.0,NaN,NaN,180.0,73.0,right,NaN
8glds5eomgq4dzlkn4dc1ysb9,Ivan,Filipović,Ivan,Filipovic,Male,I. Filipović,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1994-11-13,Slavonski brod,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Goalkeeper,23.0,NaN,NaN,197.0,92.0,right,NaN
8ppp2y3f4kuwad3njqdmmq76d,Danijel,Zagorac,Danijel,Zagorac,Male,D. Zagorac,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1987-02-07,Drniš,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Goalkeeper,1.0,NaN,NaN,186.0,80.0,right,NaN
96yikwkvaqoblxfn43f4gswr9,Josip,Mišić,Josip,Misic,Male,J. Mišić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1994-06-28,Vinkovci,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Midfielder,27.0,NaN,NaN,178.0,71.0,right,NaN
9hz4s6zmelmg4ix47xbre3q3t,Ronaël Julien,Pierre-Gabriel,Ronaël,Pierre-Gabriel,Male,R. Pierre-Gabriel,France,7gww28djs405rfga69smki84o,player,1998-06-13,Paris,France,7gww28djs405rfga69smki84o,active,yes,Defender,18.0,Martinique,1eb70pvuqssbbg3yamdba5ie5,177.0,76.0,right,NaN
9ibfqo6hd2vre5nhkh9e2gnh1,Bruno,Petković,Bruno,Petkovic,Male,B. Petković,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1994-09-16,Metković,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Attacker,9.0,NaN,NaN,193.0,88.0,right,NaN
9tsa5z27vsqultqqmtglptzis,Luka,Vrbančić,Luka,Vrbancic,Male,L. Vrbančić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2005-07-04,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,active,no,Midfielder,36.0,NaN,NaN,NaN,NaN,NaN,NaN
ataq08lvaj8i1jg5c5iqz81sk,Luka,Stojković,Luka,Stojkovic,Male,L. Stojković,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2003-10-28,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Midfielder,7.0,NaN,NaN,NaN,NaN,NaN,NaN
bcx883fj4ra94k586139a0e8k,Raúl,Torrente Navarro,Raúl,Torrente,Male,Raúl Torrente,Spain,49ih1pwv3ahshdf8uzrimi54c,player,2001-09-11,San Javier,Spain,49ih1pwv3ahshdf8uzrimi54c,active,yes,Defender,4.0,NaN,NaN,193.0,79.0,left,NaN
c1ebf5rijq4wtt6ge42iant1x,Dino,Perić,Dino,Peric,Male,D. Perić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1994-07-12,Osijek,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Defender,55.0,NaN,NaN,197.0,84.0,left,NaN
c9vkaaxhkmmkce4ah7wkfmqd,Arijan,Ademi,Arijan,Ademi,Male,A. Ademi,North Macedonia,1lesyxylc5eza0a4z87t9azcc,player,1991-05-29,Šibenik,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Midfielder,5.0,Croatia,37hlakrwxyuzovaeoo4sezusp,185.0,79.0,right,NaN
cq0cto13xxloz8cqit2j24c7p,Samy,Mmaee Nwambeben,Samy,Mmaee,Male,S. Mmaee,Morocco,2xdcc39z1k79pnjbtn9x31wdh,player,1996-09-08,Halle,Belgium,4wbzjcclyefma1ourvjsu4q2j,active,yes,Defender,13.0,Belgium,4wbzjcclyefma1ourvjsu4q2j,185.0,82.0,right,NaN
ct5zx477027zxa1uc67mjjdhw,Mauro,Perković,Mauro,Perkovic,Male,M. Perković,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2003-03-22,Pula,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Defender,39.0,NaN,NaN,NaN,NaN,NaN,NaN
dtxu3juo6vmg4cfp99exxyxud,Nenad,Bjelica,Nenad,Bjelica,Male,N. Bjelica,Croatia,37hlakrwxyuzovaeoo4sezusp,coach,1971-08-20,Osijek,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,NaN,NaN,NaN,NaN,181.0,NaN,NaN,NaN
dvn2nx0wh25ms50pl1kkf2qcp,Luka,Menalo,Luka,Menalo,Male,L. Menalo,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,player,1996-07-22,Opuzen,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Attacker,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,181.0,72.0,right,NaN
e9kodigw308jx81ds56f4jv85,Ivan,Nevistić,Ivan,Nevistic,Male,I. Nevistić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1998-07-31,Đakovo,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Goalkeeper,33.0,NaN,NaN,195.0,85.0,right,NaN
ebry9igdjsuzktljtyauqbil1,Kévin,Théophile-Catherine,Kévin,Théophile-Catherine,Male,K. Théophile-Catherine,France,7gww28djs405rfga69smki84o,player,1989-10-28,Saint-Brieuc,France,7gww28djs405rfga69smki84o,active,yes,Defender,28.0,Martinique,1eb70pvuqssbbg3yamdba5ie5,183.0,86.0,right,NaN
em4emtybky53edbm8z70qlkgl,Maxime,Bernauer,Maxime,Bernauer,Male,M. Bernauer,France,7gww28djs405rfga69smki84o,player,1998-07-01,Hennebont,France,7gww28djs405rfga69smki84o,active,yes,Defender,6.0,NaN,NaN,186.0,77.0,right,NaN
en1u9fsa4r3dkh5k1orbwfbx0,Mislav,Ćutuk,Mislav,Cutuk,Male,M. Ćutuk,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2007-01-25,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Attacker,49.0,NaN,NaN,NaN,NaN,NaN,NaN
eo5kfco94g7az5x9dn2mtr78q,Takuya,Ogiwara,Takuya,Ogiwara,Male,T. Ogiwara,Japan,lxyibh89lpdc0bfian1nx0xq,player,1999-11-23,Kawagoe,Japan,lxyibh89lpdc0bfian1nx0xq,active,yes,Defender,3.0,NaN,NaN,175.0,69.0,left,NaN
eqz0ued9p4n9x1aibcgzqbemt,Sadegh,Moharrami Getgasari,Sadegh,Moharrami,Male,S. Moharrami,Iran,e53g9hr2d3kasm34uumbg8r4,player,1996-03-01,Hashtpar,Iran,e53g9hr2d3kasm34uumbg8r4,active,yes,Defender,2.0,NaN,NaN,174.0,73.0,right,NaN
o5l3q1ezpymhoao6ww2b3m6s,Noa,Mikić,Noa,Mikic,Male,N. Mikić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2007-01-27,Varaždin,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Defender,35.0,NaN,NaN,175.0,NaN,right,NaN
ujmhztbvxpaqfzzuy4nyl3v9,Sandro,Perković,Sandro,Perkovic,Male,S. Perković,Croatia,37hlakrwxyuzovaeoo4sezusp,assistant coach,1984-04-15,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19lpewjx7suoipstxo0x2smc4,Đuro-Giulio,Đekić,Djuro-Giulio,Djekic,Male,Đ. Đekić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,player,2005-06-30,Zagreb,Serbia,5w4ve503bjdsshwx9ho6jxzx0,active,yes,Defender,40.0,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN,NaN,NaN
2ade0f9vpbbcbjf09dzimi7tg,Zvonimir,Josić,NaN,NaN,Male,Z. Josić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2006-08-29,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Defender,35.0,NaN,NaN,NaN,NaN,NaN,NaN
2g5bstn2kn7odbwe8it84texh,Marko,Kolar,Marko,Kolar,Male,M. Kolar,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1995-05-31,Zabok,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Attacker,21.0,NaN,NaN,185.0,77.0,right,NaN
32d9uqfhzw9k6np9qswdmsy6s,Toni,Majić,Toni,Majic,Male,T. Majić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2006-05-03,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Attacker,24.0,NaN,NaN,NaN,NaN,right,NaN
3pa5qvt7g73pcnra2k4g9owr9,Matthew Rudolf Maria,Steenvoorden,Matthew,Steenvoorden,Male,M. Steenvoorden,Netherlands,6hzi5pltnz67q4la8yli9qfv6,player,1993-01-09,Leidschendam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,active,yes,Defender,4.0,NaN,NaN,188.0,81.0,right,NaN
51wfpntyi5ijp2fj2hui8o00k,Patrik,Jug,NaN,NaN,Male,P. Jug,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2002-02-04,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,active,no,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5356pzfoebmfrbloag47495w4,Sekou Matar,Sagna,NaN,NaN,Male,S. Sagna,Senegal,6hhqyhr5cwq2pfprlazyposyk,player,2004-01-06,Koubalan,Senegal,6hhqyhr5cwq2pfprlazyposyk,active,yes,Midfielder,88.0,NaN,NaN,171.0,NaN,right,NaN
5flzo34gylxzbhhrbfopzn66s,Jakov,Gurlica,Jakov,Gurlica,Male,J. Gurlica,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2004-01-10,Zadar,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Defender,6.0,NaN,NaN,NaN,NaN,NaN,NaN
5r73kuy4vdv1epvmzrhb6nskq,Mateo,Leš,Mateo,Les,Male,M. Leš,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2000-03-25,Virovitica,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Defender,5.0,NaN,NaN,182.0,75.0,left,NaN
5tmutcvdeqhlbzpnpf8jvdudw,Caio,Da Cruz Oliveira Queiroz,NaN,NaN,Male,Caio Cruz,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,player,2002-03-13,Serra,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,active,no,Attacker,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60t68exghgypvg8ez3aa06wa1,Merveil Valthy Streeker,Ndockyt,Merveil,Ndockyt,Male,M. Ndockyt,Congo,1s2y6o0lwj69dj5ib5pid8f6r,player,1998-07-20,Brazzaville,Congo,1s2y6o0lwj69dj5ib5pid8f6r,active,yes,Midfielder,8.0,NaN,NaN,182.0,63.0,left,NaN
64w1vt9268hrgij44dox135zo,Arona,Fall,Arona,Fall,Male,A. Fall,Senegal,6hhqyhr5cwq2pfprlazyposyk,player,2005-01-05,Boune,Senegal,6hhqyhr5cwq2pfprlazyposyk,active,yes,Attacker,19.0,NaN,NaN,175.0,NaN,right,NaN
6nzv388p0t41i7uqx6p95f66s,Marko,Krnjić,NaN,NaN,Male,M. Krnjić,Croatia,37hlakrwxyuzovaeoo4sezusp,assistant coach,NaN,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7zl4by24ezs8qi00b9erqe1p0,Luka,Vrzić,Luka,Vrzic,Male,L. Vrzić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2007-01-05,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Midfielder,20.0,NaN,NaN,NaN,NaN,NaN,NaN
8dst4h2lg2arn41rpqku6jld5,Meritan,Shabani,Meritan,Shabani,Male,M. Shabani,Germany,36min0qztu8eydwvpv8t1is0m,player,1999-03-15,München,Germany,36min0qztu8eydwvpv8t1is0m,active,yes,Midfielder,37.0,NaN,NaN,185.0,78.0,right,NaN
8nlphjo32zk03s0f96kbx1lnt,Jurica,Pršir,Jurica,Prsir,Male,J. Pršir,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2000-05-29,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Midfielder,10.0,NaN,NaN,NaN,NaN,NaN,NaN
9475n76yyu3sg1rev5t91d979,Ivan,Banić,NaN,NaN,Male,I. Banić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1994-07-18,Sinj,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Goalkeeper,31.0,NaN,NaN,187.0,NaN,NaN,NaN
9e4tjj5u9oxvnbhyqc2bhjjf8,Nathan,Cruce-Corcy,NaN,NaN,Male,N. Cruce-Corcy,France,7gww28djs405rfga69smki84o,player,2004-03-22,Reims,France,7gww28djs405rfga69smki84o,active,no,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9kju0phqku5d9z9kddjkzajv8,Medin,Gashi,NaN,NaN,Male,M. Gashi,Kosovo,86u6edbqifdjsn49mbp2anw7p,player,2006-02-01,NaN,Kosovo,86u6edbqifdjsn49mbp2anw7p,active,yes,Midfielder,99.0,NaN,NaN,NaN,NaN,NaN,NaN
abjhgtth3syehydrxpmnuzlnu,Karlo,Žiger,Karlo,Ziger,Male,K. Žiger,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2001-05-11,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Goalkeeper,1.0,NaN,NaN,NaN,NaN,NaN,NaN
abnlg0s99hdankvo1xpcxstn8,Mario,Matković,NaN,NaN,Male,M. Matković,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2003-04-02,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Defender,34.0,NaN,NaN,195.0,NaN,NaN,NaN
ai6bc01pud41xlpoz4100f7px,Valentino,Majstorović,NaN,NaN,Male,V. Majstorović,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1995-11-11,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Midfielder,77.0,NaN,NaN,NaN,NaN,NaN,NaN
aie09n600h7ozeg6zl6anithx,Tibor,Halilović,Tibor,Halilovic,Male,T. Halilović,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1995-03-18,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Midfielder,32.0,NaN,NaN,176.0,70.0,right,NaN
at9h763tgwqw93jnu37as7pih,Mésaque,Geremias Dju,Mésaque,Geremias Dju,Male,Mesaque Dju,Portugal,1nbm5i9a0403zzvltn17lxinc,player,1999-03-18,Bissau,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,active,yes,Attacker,12.0,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,181.0,75.0,right,Mesaque Dju
b9guj6lkzq24gtg3me7m43aol,Božidar,Radošević,Bozidar,Radosevic,Male,B. Radošević,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1989-04-04,Split,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Goalkeeper,44.0,NaN,NaN,187.0,86.0,right,NaN
bd52544djk7t61roc813rewdm,Damjan,Pavlović,Damjan,Pavlovic,Male,D. Pavlović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,player,2001-07-09,Eupen,Belgium,4wbzjcclyefma1ourvjsu4q2j,active,yes,Midfielder,47.0,Belgium,4wbzjcclyefma1ourvjsu4q2j,179.0,76.0,right,NaN
c934pf5w0mfnj2wxdz0q9q9zo,Vinko,Skrbin,NaN,NaN,Male,V. Skrbin,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2003-04-24,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Midfielder,17.0,NaN,NaN,NaN,NaN,NaN,NaN
cbxju36whh2f6gnbzsy5jaj2s,Luka,Kapulica,Luka,Kapulica,Male,L. Kapulica,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2005-01-18,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Midfielder,23.0,NaN,NaN,NaN,NaN,NaN,NaN
cn0bkahc8qyvnp7l6i75czemt,Dino,Mikanović,Dino,Mikanovic,Male,D. Mikanović,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1994-05-07,Nova Gradiška,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Defender,2.0,NaN,NaN,174.0,70.0,right,NaN
cs59s6zf7aff0k36b2hhkvnu2,Adrion,Pajaziti,Adrion,Pajaziti,Male,A. Pajaziti,Albania,17zsm8shejejls2on1ffil3op,player,2002-11-16,London,England,1fk5l4hkqk12i7zske6mcqju6,active,yes,Midfielder,7.0,Kosovo,86u6edbqifdjsn49mbp2anw7p,180.0,NaN,left,NaN
ctnoadhr24tqxa8ciqyq5y784,Ante,Sušak,Ante,Susak,Male,A. Sušak,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2006-01-20,Metković,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Defender,66.0,NaN,NaN,NaN,NaN,NaN,NaN
cz2zvjbgkbzlot81506v2fka2,Martin,Šlogar,Martin,Slogar,Male,M. Šlogar,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2000-09-21,Zabok,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Midfielder,11.0,NaN,NaN,NaN,NaN,NaN,NaN
d1400j5m4favg8zd5njoe139x,Rajko,Vidović,NaN,NaN,Male,R. Vidović,Croatia,37hlakrwxyuzovaeoo4sezusp,coach,1975-03-04,Zavidovići,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,active,no,NaN,NaN,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,184.0,79.0,left,NaN
dcqgc791jg5m9ona6uipxu76d,Dino,Štiglec,Dino,Stiglec,Male,D. Štiglec,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1990-10-03,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Defender,90.0,NaN,NaN,188.0,82.0,left,NaN
dcwscraf84m3ktjug7itfuwut,Mario,Maloča,Mario,Maloca,Male,M. Maloča,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1989-05-04,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Defender,22.0,NaN,NaN,190.0,82.0,right,NaN
dtr4cnzrkqe46rtqhq4l7a2hg,Vito,Čaić,Vito,Caic,Male,V. Čaić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2005-04-01,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Midfielder,55.0,NaN,NaN,NaN,NaN,NaN,NaN
es8ytjnblakzt8ylo2lvbzdhw,Ante Matej,Jurič,Ante,Juric,Male,A. Jurič,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2002-11-26,Osijek,Croatia,37hlakrwxyuzovaeoo4sezusp,active,no,Attacker,7.0,NaN,NaN,190.0,NaN,right,NaN
ewlscrjtkjzbw4ki7sj0pkley,Krešimir,Krizmanić,Kresimir,Krizmanic,Male,K. Krizmanić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2000-07-03,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Defender,25.0,NaN,NaN,NaN,NaN,NaN,NaN
expwmepvc35rhxd8ldb2v326t,Mario,Carević,NaN,NaN,Male,M. Carević,Croatia,37hlakrwxyuzovaeoo4sezusp,coach,1982-03-29,Makarska,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,NaN,NaN,NaN,NaN,186.0,85.0,right,NaN
mlpu1pokq418r882x84gv6ga,Andrej,Lazarov,NaN,NaN,Male,A. Lazarov,North Macedonia,1lesyxylc5eza0a4z87t9azcc,player,1999-09-08,NaN,North Macedonia,1lesyxylc5eza0a4z87t9azcc,active,no,Midfielder,16.0,NaN,NaN,NaN,NaN,NaN,NaN
124myttw2y8hq8rf1t971mfh1,Anthony,Kalik,Anthony,Kalik,Male,A. Kalik,Australia,u5ieemi69z72c3bgczyy68lo,player,1997-11-05,Sydney,Australia,u5ieemi69z72c3bgczyy68lo,active,yes,Midfielder,7.0,Croatia,37hlakrwxyuzovaeoo4sezusp,176.0,72.0,right,NaN
1c7tr11lak5xwdw7s8b93zw7p,Marko,Livaja,Marko,Livaja,Male,M. Livaja,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1993-08-26,Split,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,Attacker,10.0,NaN,NaN,182.0,80.0,both,NaN
1e77it93nx78uu157mmksd71l,Ismaël Jean Chester,Diallo,Ismaël,Diallo,Male,I. Diallo,Côte d'Ivoire,tin6kf561ywonqan0mettr98,player,1997-01-29,Abidjan,Côte d'Ivoire,tin6kf561ywonqan0mettr98,active,yes,Defender,5.0,NaN,NaN,178.0,74.0,left,NaN
