id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,status,active,secondNationality,secondNationalityId,knownName
7h4plwvpe0e8b42y1q8d9hyj8,David,Mutter,David,Mutter,Male,D. Mutter,Germany,36min0qztu8eydwvpv8t1is0m,Goalkeeper,player,2005-05-05,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,35.0,active,yes,NaN,NaN,NaN
7ii29zk2vy0c7jho6bjcqfc2d,Phillip,Menzel,Phillip,Menzel,Male,P. Menzel,Germany,36min0qztu8eydwvpv8t1is0m,Goalkeeper,player,1998-08-18,Kiel,Germany,36min0qztu8eydwvpv8t1is0m,192.0,84.0,right,13.0,active,yes,NaN,NaN,NaN
7o76n08qem7uo3kf5otznbidx,Boné,Uaferro,Boné,Uaferro,Male,B. Uaferro,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1992-01-04,Berlin,Germany,36min0qztu8eydwvpv8t1is0m,191.0,86.0,both,14.0,active,yes,Mozambique,4l6me0leyvb0ysnsoepyvmh4g,NaN
7uibrotf77z4g8l8wu6lh3r3d,Patrick,Sontheimer,Patrick,Sontheimer,Male,P. Sontheimer,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,1998-07-03,Marktoberdorf,Germany,36min0qztu8eydwvpv8t1is0m,168.0,65.0,right,6.0,active,yes,NaN,NaN,NaN
8twji6k3ii51ie8r2hryha86h,Sebastian,Vasiliadis,Sebastian,Vasiliadis,Male,S. Vasiliadis,Greece,6lpgd60z890no2v46zdecrcss,Midfielder,player,1997-10-04,NaN,Germany,36min0qztu8eydwvpv8t1is0m,177.0,73.0,right,19.0,active,yes,Germany,36min0qztu8eydwvpv8t1is0m,NaN
8zs4ev8k1v0bs7dzqscxbyy95,Dominik,Becker,Dominik,Becker,Male,D. Becker,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2000-01-09,Koblenz,Germany,36min0qztu8eydwvpv8t1is0m,188.0,75.0,right,17.0,active,yes,NaN,NaN,NaN
901kbo6txt2dn9wo07goomyy2,Lasse,Wilhelm,Lasse,Wilhelm,Male,L. Wilhelm,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2003-03-20,NaN,Germany,36min0qztu8eydwvpv8t1is0m,186.0,NaN,NaN,18.0,active,yes,NaN,NaN,NaN
a56x5ogzhagdkpgbvy87jhi39,Bjarne,Thoelke,Bjarne,Thoelke,Male,B. Thoelke,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1992-04-11,Gifhorn,Germany,36min0qztu8eydwvpv8t1is0m,191.0,84.0,right,16.0,active,yes,NaN,NaN,NaN
akfbttkeqfd8pzhe93ra674kp,Sven,Sonnenberg,Sven,Sonnenberg,Male,S. Sonnenberg,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1999-01-19,Berlin,Germany,36min0qztu8eydwvpv8t1is0m,194.0,83.0,right,4.0,active,yes,NaN,NaN,NaN
bo0rborpna3wvglqn6gcv8q1h,Maurice Michael,Multhaup,Maurice,Multhaup,Male,M. Multhaup,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,1996-12-15,Bottrop,Germany,36min0qztu8eydwvpv8t1is0m,173.0,72.0,right,11.0,active,yes,NaN,NaN,NaN
c8520lgmypwzrn4u9lml4y4t1,Patrick,Schmidt,Patrick,Schmidt,Male,P. Schmidt,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,1993-09-10,Homburg,Germany,36min0qztu8eydwvpv8t1is0m,186.0,90.0,right,39.0,active,yes,NaN,NaN,NaN
co2rigzmcr7fxjk12gwlw8vdh,Till Sebastian,Schumacher,Till,Schumacher,Male,T. Schumacher,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1997-12-10,Essen,Germany,36min0qztu8eydwvpv8t1is0m,177.0,70.0,left,33.0,active,yes,NaN,NaN,NaN
co64kf1o4ts76szvfg4ck8sgk,Jacopo,Sardo,Jacopo,Sardo,Male,J. Sardo,Italy,25f2cmb2r8mk5rj92tzer6kvv,Midfielder,player,2005-03-08,NaN,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,NaN,30.0,active,yes,NaN,NaN,NaN
d5rlqa59vz5fv36i8zqvbavh1,Rüdiger,Ziehl,Rüdiger,Ziehl,Male,R. Ziehl,Germany,36min0qztu8eydwvpv8t1is0m,NaN,coach,1977-10-26,Zweibrücken,Germany,36min0qztu8eydwvpv8t1is0m,184.0,NaN,NaN,NaN,active,yes,NaN,NaN,NaN
eg2qq1apyu3ib9s563ok7tnca,Elijah Akwasi,Krahn,Elijah,Krahn,Male,E. Krahn,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2003-08-24,NaN,Germany,36min0qztu8eydwvpv8t1is0m,184.0,78.0,NaN,5.0,active,yes,NaN,NaN,NaN
ek84i0abtdqhftsz56j44usq1,Kai Daniel,Brünker,Kai,Brünker,Male,K. Brünker,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,1994-06-10,Villingen-Schwenningen,Germany,36min0qztu8eydwvpv8t1is0m,189.0,82.0,right,9.0,active,yes,NaN,NaN,NaN
nz6meokttxfl1x1o5435mvo,Chafik,Gourichy,Chafik,Gourichy,Male,C. Gourichy,France,7gww28djs405rfga69smki84o,Midfielder,player,2000-10-05,NaN,France,7gww28djs405rfga69smki84o,NaN,NaN,NaN,21.0,active,yes,NaN,NaN,NaN
offwgi56ygbol9ncraxe0t05,Calogero,Rizzuto,Calogero,Rizzuto,Male,C. Rizzuto,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1992-01-05,Saarbrücken,Germany,36min0qztu8eydwvpv8t1is0m,170.0,72.0,right,7.0,active,yes,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN
14vfr40raxkqzepmj1ljirfu,Silas,Ostrzinski,Silas,Ostrzinski,Male,S. Ostrzinski,Germany,36min0qztu8eydwvpv8t1is0m,Goalkeeper,player,2003-11-19,Hagen,Poland,27baqb7359ywdvsxxklx1kn11,198.0,86.0,NaN,31.0,active,yes,Poland,27baqb7359ywdvsxxklx1kn11,NaN
1cai3e8ipmfxqv76vekp47pqs,Leonardo,García Posadas,Leonardo,Posadas,Male,L. Posadas,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2005-01-01,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,16.0,active,yes,Honduras,56ftnqeq3x3j77uone8qm5ow6,NaN
1monns4rwfjbho6hlyycwmy38,Ben Vincent,Hüning,Ben,Hüning,Male,B. Hüning,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2004-11-11,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,15.0,active,yes,NaN,NaN,NaN
209p5cmnr80zjfc1rqgl945m2,David Ludwig,Lelle,David,Lelle,Male,D. Lelle,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2003-03-09,NaN,Germany,36min0qztu8eydwvpv8t1is0m,189.0,NaN,left,27.0,active,yes,NaN,NaN,NaN
2jdhaxtefr8dyxogyw2wwnwus,Baran,Moğultay,Baran,Mogultay,Male,B. Moğultay,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2004-05-18,Ahlen,Germany,36min0qztu8eydwvpv8t1is0m,181.0,70.0,left,2.0,active,yes,Türkiye,6kd6webenogylfgwt2aa9l6vx,NaN
39m25p1bwy84bkk9dp6t86jmd,Patrick,Göbel,Patrick,Göbel,Male,P. Göbel,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1993-07-08,Heilbad Heiligenstadt,Germany,36min0qztu8eydwvpv8t1is0m,173.0,68.0,right,17.0,active,yes,NaN,NaN,NaN
3gaupzzyre7xbgmzb7mmharfu,Tiago,Estêvão,Tiago,Estêvão,Male,T. Estêvão,Germany,36min0qztu8eydwvpv8t1is0m,Goalkeeper,player,2002-05-13,Heinsberg,Germany,36min0qztu8eydwvpv8t1is0m,193.0,NaN,right,33.0,active,yes,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN
47euqju4w50lh2ubrushp5hqs,Guillermo,Bueno López,Guille,Bueno,Male,Guille Bueno,Spain,49ih1pwv3ahshdf8uzrimi54c,Defender,player,2002-09-18,Vigo,Spain,49ih1pwv3ahshdf8uzrimi54c,178.0,72.0,left,3.0,active,yes,NaN,NaN,NaN
4u4lkw0zq671i7p9agoa57x7t,Marcel Laurenz,Lotka,Marcel,Lotka,Male,M. Lotka,Poland,27baqb7359ywdvsxxklx1kn11,Goalkeeper,player,2001-05-25,Duisburg,Germany,36min0qztu8eydwvpv8t1is0m,190.0,85.0,right,35.0,active,yes,Germany,36min0qztu8eydwvpv8t1is0m,NaN
52s0uy7qmjwd98ppibzohvp7u,Niklas,Jessen,Niklas,Jessen,Male,N. Jessen,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2003-09-04,Hamburg,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,29.0,active,yes,NaN,NaN,NaN
5y55y7drtgyugbxta0jwpmzh0,Jordi,Paulina,Jordi,Paulina,Male,J. Paulina,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2004-09-23,NaN,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,23.0,active,yes,Curaçao,5im58ram567ao2fbnz39sm8vk,NaN
6bqx6mm3vesoc45r9mt5ygeay,Abdoulaye,Kamara,Abdoulaye,Kamara,Male,A. Kamara,Guinea,4i9sg55wigitrfx7290f59ceo,Midfielder,player,2004-11-06,Conakry,Guinea,4i9sg55wigitrfx7290f59ceo,182.0,77.0,right,32.0,active,yes,France,7gww28djs405rfga69smki84o,NaN
72m3gq1m8jqc8l51voat25rvu,Rodney,Elongo-Yombo,Rodney,Elongo-Yombo,Male,R. Elongo-Yombo,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2001-07-27,NaN,Germany,36min0qztu8eydwvpv8t1is0m,183.0,76.0,both,10.0,active,yes,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,NaN
7whbozlpn1r4l2djm2cmuirmy,António Andónis,Fóti,António,Fóti,Male,A. Fóti,Cyprus,3om8cj5nhmq1rzzkykubm5icj,Midfielder,player,2003-11-03,Varna,Bulgaria,5a1vsxg8tbnsk65iefq1q8tlt,180.0,74.0,right,5.0,active,yes,Bulgaria,5a1vsxg8tbnsk65iefq1q8tlt,NaN
7x2dynnjbqzxrflnz6yxt0sq2,Charalampos Babis,Drakas,Babis,Drakas,Male,B. Drakas,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2003-02-04,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,26.0,active,yes,Greece,6lpgd60z890no2v46zdecrcss,NaN
8lqpjau7qoetlw19tmw5j43my,Yannik Luka,Lührs,Yannik,Lührs,Male,Y. Lührs,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2003-09-09,NaN,Germany,36min0qztu8eydwvpv8t1is0m,189.0,82.0,right,34.0,active,yes,NaN,NaN,NaN
9fn24kmral0uddw40xijmbi3u,Paul-Philipp,Besong,Paul,Besong,Male,P. Besong,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,2000-10-06,Fröndenberg,Germany,36min0qztu8eydwvpv8t1is0m,184.0,93.0,NaN,7.0,active,yes,Cameroon,4eb9feio6u267dd1jcwaf38mt,NaN
a1d1n75kgf9oicmtmacp8a7vu,Felix Omoruyi,Irorere,Felix,Irorere,Male,F. Irorere,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2002-06-21,NaN,France,7gww28djs405rfga69smki84o,195.0,NaN,NaN,4.0,active,yes,France,7gww28djs405rfga69smki84o,NaN
a1eb9qftpii46ao5c84vbzvqi,Justin,Butler,Justin,Butler,Male,J. Butler,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,2001-03-23,Augsburg,Germany,36min0qztu8eydwvpv8t1is0m,188.0,89.0,right,11.0,active,yes,Germany,36min0qztu8eydwvpv8t1is0m,NaN
a7ylmmxx69m649jy7d9q6aqxh,Jan,Zimmermann,Jan,Zimmermann,Male,J. Zimmermann,Germany,36min0qztu8eydwvpv8t1is0m,NaN,coach,1979-10-05,NaN,Germany,36min0qztu8eydwvpv8t1is0m,180.0,77.0,left,NaN,active,yes,NaN,NaN,NaN
ahmbdewsefjuwrq8fv1giptzo,Prince Adu-Addae Junior,Aning,Prince,Aning,Male,P. Aning,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2004-04-23,Amsterdam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,176.0,71.0,left,39.0,active,yes,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN
bt14dhf0l9mchdmbh7ygtzeqy,Julian,Hettwer,Julian,Hettwer,Male,J. Hettwer,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,2003-06-15,Bochum,Germany,36min0qztu8eydwvpv8t1is0m,182.0,73.0,right,20.0,active,yes,NaN,NaN,NaN
bwvb9900dk7pggsvshsup2kno,Danylo,Krevsun,Danylo,Krevsun,Male,D. Krevsun,Ukraine,315w6fk6umfzf4qvba3t55u61,Midfielder,player,2005-04-21,NaN,Ukraine,315w6fk6umfzf4qvba3t55u61,NaN,NaN,NaN,43.0,active,yes,NaN,NaN,NaN
c4urlv223641wducbk00gdcve,Franz,Roggow,Franz,Roggow,Male,F. Roggow,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2002-07-14,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,8.0,active,yes,NaN,NaN,NaN
czpaltuhh1gskg7zh7k7qyqui,Ayman,Azhil,Ayman,Azhil,Male,A. Azhil,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Midfielder,player,2001-04-10,Düsseldorf,Germany,36min0qztu8eydwvpv8t1is0m,170.0,64.0,right,6.0,active,yes,Germany,36min0qztu8eydwvpv8t1is0m,NaN
d9vkvthcb6knjivbru804smhh,Michael,Eberwein,Michael,Eberwein,Male,M. Eberwein,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,1996-03-11,Dellnhausen,Germany,36min0qztu8eydwvpv8t1is0m,192.0,78.0,both,14.0,active,yes,NaN,NaN,NaN
dl3y1ccak1gozdgt1v8mii4q2,Moses Iwenbuke,Otuali Omohe,Moses,Otuali,Male,M. Otuali,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,2002-08-27,Lagos,Nigeria,63pvdwrsiq5b07mzi8igqei9p,186.0,NaN,NaN,9.0,active,yes,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN
ec6zx0pyq0bggng1m3k6iq51w,Filippo Calixte,Mané,Filippo,Mané,Male,F. Mané,Italy,25f2cmb2r8mk5rj92tzer6kvv,Defender,player,2005-03-08,Magenta,Italy,25f2cmb2r8mk5rj92tzer6kvv,188.0,NaN,right,22.0,active,yes,Senegal,6hhqyhr5cwq2pfprlazyposyk,NaN
ep0dtqmkr5dj5wlct6s3d8qqy,Felix,Paschke,Felix,Paschke,Male,F. Paschke,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2003-07-16,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,21.0,active,yes,Thailand,71wqq15l0mvpl4lneayzzh44g,NaN
tica22gygalwa6k99lmsk3fu,Leon,Klußmann,Leon,Klußmann,Male,L. Klußmann,Germany,36min0qztu8eydwvpv8t1is0m,Goalkeeper,player,2002-08-18,NaN,Germany,36min0qztu8eydwvpv8t1is0m,187.0,84.0,right,1.0,active,yes,NaN,NaN,NaN
1o08lw3flzspk7ihlxa1bo8o9,Leon,Schneider,Leon,Schneider,Male,L. Schneider,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2000-06-19,Eisenhüttenstadt,Germany,36min0qztu8eydwvpv8t1is0m,185.0,77.0,right,23.0,active,yes,NaN,NaN,NaN
1t3cudtov5kkjjvibtn659yxg,Max,Lippert,Max,Lippert,Male,M. Lippert,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2006-04-11,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,left,33.0,active,yes,NaN,NaN,NaN
1v0iprs23m2wlvma5h129x1ck,Artem,Zaloha,Artem,Zaloha,Male,A. Zaloha,Ukraine,315w6fk6umfzf4qvba3t55u61,Goalkeeper,player,2007-06-27,NaN,Ukraine,315w6fk6umfzf4qvba3t55u61,NaN,NaN,NaN,41.0,active,yes,NaN,NaN,NaN
2fwjxlugu8mmsygnc6tcyhknp,Lukas,Kunze,Lukas,Kunze,Male,L. Kunze,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,1998-06-14,Bielefeld,Germany,36min0qztu8eydwvpv8t1is0m,191.0,78.0,right,13.0,active,yes,NaN,NaN,NaN
38e1vhlbuwztsud75adfexs0k,Marius,Wörl,Marius,Wörl,Male,M. Wörl,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2004-04-05,NaN,Germany,36min0qztu8eydwvpv8t1is0m,178.0,69.0,right,38.0,active,yes,NaN,NaN,NaN
3egfkj4hk2prxisp2zu9nvxm,Gerrit,Gohlke,Gerrit,Gohlke,Male,G. Gohlke,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1999-03-12,Darmstadt,Germany,36min0qztu8eydwvpv8t1is0m,192.0,81.0,both,27.0,active,yes,NaN,NaN,NaN
3yiwkcfbwy0sfnecr9sy9695h,Noah Joel,Sarenren Bazee,Noah,Sarenren Bazee,Male,N. Sarenren Bazee,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Midfielder,player,1996-08-21,Stadthagen,Germany,36min0qztu8eydwvpv8t1is0m,183.0,80.0,right,37.0,active,yes,NaN,NaN,NaN
4fax1hsekw37ffey292kbswyx,Aygün,Yildirim,Aygün,Yildirim,Male,A. Yildirim,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,1995-04-04,Ahlen,Germany,36min0qztu8eydwvpv8t1is0m,180.0,79.0,both,11.0,active,yes,NaN,NaN,NaN
63mjx2t3943wpqiomzdwg0mlm,Maximilian,Großer,Maximilian,Großer,Male,M. Großer,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2001-07-23,NaN,Germany,36min0qztu8eydwvpv8t1is0m,189.0,81.0,NaN,19.0,active,yes,NaN,NaN,NaN
6knrfi6snoddfikhp386hxkvd,Sam Francis,Schreck,Sam,Schreck,Male,S. Schreck,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,1999-01-29,Pinneberg,Germany,36min0qztu8eydwvpv8t1is0m,180.0,63.0,right,8.0,active,yes,NaN,NaN,NaN
6p35ea83hoaef2w68sllmwpud,Danilo Fernando,Evangelista de Souza,Danilo Fernando,Evangelista de Souza,Male,Danilo,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,assistant coach,1983-11-29,NaN,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,NaN,NaN,NaN,NaN,active,yes,NaN,NaN,Danilo
74filzdq2db4rxmd6ot30o3px,Michél,Kniat,Michél,Kniat,Male,M. Kniat,Germany,36min0qztu8eydwvpv8t1is0m,NaN,coach,1985-11-18,Eschweiler,Germany,36min0qztu8eydwvpv8t1is0m,190.0,86.0,right,NaN,active,yes,NaN,NaN,NaN
75f6tul7dpu5rwdus40isgic5,Kai,Hesse,Kai,Hesse,Male,K. Hesse,Germany,36min0qztu8eydwvpv8t1is0m,NaN,assistant coach,1985-06-20,Wickede,Germany,36min0qztu8eydwvpv8t1is0m,187.0,84.0,right,NaN,active,yes,NaN,NaN,NaN
7nyenov8q8vb6keujrsbh1vfu,Mika,Schröers,Mika,Schroers,Male,M. Schröers,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,2002-02-04,NaN,Germany,36min0qztu8eydwvpv8t1is0m,180.0,77.0,NaN,22.0,active,yes,NaN,NaN,NaN
7zc75y60le5kyopm8cpisffmx,Nassim,Boujellab,Nassim,Boujellab,Male,N. Boujellab,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Midfielder,player,1999-06-20,Iserlohn,Germany,36min0qztu8eydwvpv8t1is0m,182.0,77.0,both,10.0,active,yes,NaN,NaN,NaN
80n19uwmh15iz8yh7p8tjyajt,Semi,Belkahia,Semi,Belkahia,Male,S. Belkahia,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1998-12-22,München,Germany,36min0qztu8eydwvpv8t1is0m,193.0,90.0,both,5.0,active,yes,NaN,NaN,NaN
86cey56ppsd1ablfgsj11jzs9,Joel Rasmus,Felix,Joel,Felix,Male,J. Felix,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1998-01-13,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,190.0,73.0,left,3.0,active,yes,St. Lucia,1at7am98hz0qdphqbcxnbpdwt,NaN
8chm6g9de47o6ilvm5ai8zr9x,Merveille,Biankadi,Merveille,Biankadi,Male,M. Biankadi,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,1995-05-09,München,Germany,36min0qztu8eydwvpv8t1is0m,181.0,83.0,both,17.0,active,yes,NaN,NaN,NaN
anjuea8h25j0gi522nt0l774l,Christopher,Lannert,Christopher,Lannert,Male,C. Lannert,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,1998-06-08,München,Germany,36min0qztu8eydwvpv8t1is0m,180.0,71.0,both,24.0,active,yes,NaN,NaN,NaN
av5y7xqlp9hw9cw0hupvsl4kq,Stefano,Russo,Stefano,Russo,Male,S. Russo,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2000-06-29,Ludwigshafen,Germany,36min0qztu8eydwvpv8t1is0m,184.0,78.0,right,21.0,active,yes,NaN,NaN,NaN
b8g3pwq7reb07kged6ib9hh5g,Justin,Lukas,Justin,Lukas,Male,J. Lukas,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,2006-01-06,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,NaN,active,yes,NaN,NaN,NaN
bl2ohxp7kdcabhdfj47ydqxre,Leo Friedrich,Oppermann,Leo,Oppermann,Male,L. Oppermann,Germany,36min0qztu8eydwvpv8t1is0m,Goalkeeper,player,2001-08-28,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN,18.0,active,yes,NaN,NaN,NaN
blvsz17s5wjfnl2lg8xa60goa,Kaito,Mizuta,Kaito,Mizuta,Male,K. Mizuta,Japan,lxyibh89lpdc0bfian1nx0xq,Midfielder,player,2000-04-08,Tokyo,Japan,lxyibh89lpdc0bfian1nx0xq,182.0,71.0,both,25.0,active,yes,NaN,NaN,NaN
bs14utcyx2am6s46cuv52nf56,Jeredy Harry Dries,Hilterman,Jeredy,Hilterman,Male,J. Hilterman,Suriname,31vay1njxmbs7vtbfp1wo2dx1,Attacker,player,1998-06-20,Haarlem,Netherlands,6hzi5pltnz67q4la8yli9qfv6,186.0,NaN,right,9.0,active,yes,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN
bypmvsjnf1kqzy7cna440lfmy,Jonas Thomas,Kersken,Jonas,Kersken,Male,J. Kersken,Germany,36min0qztu8eydwvpv8t1is0m,Goalkeeper,player,2000-09-01,Düsseldorf,Germany,36min0qztu8eydwvpv8t1is0m,190.0,88.0,right,1.0,active,yes,NaN,NaN,NaN
dccdasnz9i4tyes592sx6zz10,Henrik,Koch,Henrik,Koch,Male,H. Koch,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,2006-08-17,NaN,Germany,36min0qztu8eydwvpv8t1is0m,180.0,NaN,right,29.0,active,yes,NaN,NaN,NaN
dqav2fws2zk1i80d6dr2xcj4l,André,Becker,André,Becker,Male,A. Becker,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,1996-07-26,Recife,Germany,36min0qztu8eydwvpv8t1is0m,197.0,80.0,left,39.0,active,yes,NaN,NaN,NaN
e2t7czlfwcml2cy6njmyc7cvd,Maël Vincent Lawrence,Corboz,Maël,Corboz,Male,M. Corboz,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1994-09-06,Mobile,USA,7hr2f89v44y65dyu9k92vprwn,180.0,76.0,right,6.0,active,yes,NaN,NaN,NaN
