id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,shirtNumber,startDate,status,active,height,foot,endDate,secondNationality,secondNationalityId,placeOfBirth,knownName,weight
5lx97p0c2ja9g4vjofjr2o5pl,Joel Andrei,Sakarinpoika Lehtonen,Joel,Lehtonen,Male,J. Lehtonen,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,1999-11-29,Finland,2u07e54v5dprsugdvddpq5ync,3.0,2025-01-01Z,active,yes,181.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
61ib1kknf11ab4v4f1magyu39,Daniel John,Barrow,Danny,Barrow,Male,D. Barrow,Wales,26ilvvgth36hmq6lgq8cy5cb5,Attacker,player,1995-11-16,England,1fk5l4hkqk12i7zske6mcqju6,10.0,2024-04-26Z,active,yes,170.0,NaN,NaN,England,1fk5l4hkqk12i7zske6mcqju6,Braunton,NaN,66.0
7kquxmcjs2g3goholdxlb482x,Samuli,Hölttä,Samuli,Hölttä,Male,S. Hölttä,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,1999-11-18,Finland,2u07e54v5dprsugdvddpq5ync,2.0,2024-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7r2ifipuieqiar5n00o2j5uj9,Léon,Bergsma,Léon,Bergsma,Male,L. Bergsma,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,1997-01-25,Netherlands,6hzi5pltnz67q4la8yli9qfv6,38.0,2024-08-26Z,active,no,187.0,right,2025-07-21Z,NaN,NaN,Amsterdam,NaN,75.0
7wd41kdu78udzrxi9feh2drhm,Marokhy,Ndione,Marokhy,Ndione,Male,M. Ndione,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,1999-11-04,Senegal,6hhqyhr5cwq2pfprlazyposyk,7.0,2025-02-14Z,active,yes,192.0,right,NaN,Senegal,6hhqyhr5cwq2pfprlazyposyk,Dakar,NaN,78.0
80whrqt5ch885cdrzpzlez85w,Adramane,Cassamá,Adramane,Cassamá,Male,Adramane Cassamá,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,Defender,player,2004-01-16,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,18.0,2025-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,Adramane Cassamá,NaN
91fm2241o9p5nxo84p43tedhx,Karl William,Eskelinen,William,Eskelinen,Male,W. Eskelinen,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Goalkeeper,player,1996-09-03,Sweden,1z6l2c33w2kyz9rdefs1d68nb,1.0,2025-01-15Z,active,yes,191.0,NaN,NaN,NaN,NaN,Stockholm,NaN,84.0
9p03mfw1a51fwu8fklock97je,Miika Juho Sakari,Koskela,Miika,Koskela,Male,M. Koskela,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2003-07-12,Finland,2u07e54v5dprsugdvddpq5ync,33.0,2025-03-28Z,active,no,190.0,NaN,2025-07-28Z,NaN,NaN,NaN,NaN,NaN
9rle4eqj5q7d4y7hgu570vgfd,Niklas,Jokelainen,Niklas,Jokelainen,Male,N. Jokelainen,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2000-03-30,Finland,2u07e54v5dprsugdvddpq5ync,14.0,2023-01-01Z,active,yes,181.0,NaN,NaN,NaN,NaN,NaN,NaN,73.0
a1dhi0sqw2yeffewd34n6z7fu,Abu,Dumbuya,Abu,Dumbuya,Male,A. Dumbuya,Sierra Leone,7kilikg56sxc0dsd6168dr57b,Midfielder,player,1999-01-29,Sierra Leone,7kilikg56sxc0dsd6168dr57b,24.0,2025-01-03Z,active,no,NaN,NaN,2025-07-07Z,NaN,NaN,NaN,NaN,NaN
a5xmw5sa3v0azvhv35n8cbthw,Johannes,Pentti,Johannes,Pentti,Male,J. Pentti,Finland,2u07e54v5dprsugdvddpq5ync,Goalkeeper,player,2006-10-02,Finland,2u07e54v5dprsugdvddpq5ync,12.0,2024-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
aj15mckirvibyqrilpg9npp1w,Momodou,Fadera,Momodou,Fadera,Male,M. Fadera,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,Attacker,player,2005-03-31,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,34.0,2025-07-26Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
an77jbrily6wipsqhwliubhsl,Aleksi,Paananen,Aleksi,Paananen,Male,A. Paananen,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,1993-01-25,Finland,2u07e54v5dprsugdvddpq5ync,19.0,2024-01-01Z,active,yes,165.0,NaN,NaN,NaN,NaN,Siilinjärvi,Aleksi Paananen,55.0
anfjghysnr4o03nqnxs98e0ic,Otto,Salmensuu,Otto,Salmensuu,Male,O. Salmensuu,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2004-02-09,Finland,2u07e54v5dprsugdvddpq5ync,80.0,2024-01-01Z,active,yes,173.0,both,NaN,NaN,NaN,Lahti,NaN,NaN
b9u97px7eymxxd2h71odna5n8,Charlemagne,Azongnitode,Charlemagne,Azongnitode,Male,C. Azongnitode,Benin,3o5wco7tkqgfmys9exmt5fo2h,Defender,player,2001-08-08,Benin,3o5wco7tkqgfmys9exmt5fo2h,20.0,2025-07-29Z,active,yes,187.0,right,NaN,NaN,NaN,NaN,NaN,NaN
bse78hbpbf32wr6nboc5zds0k,Musa,Jatta,Musa,Jatta,Male,M. Jatta,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,Defender,player,2004-12-20,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,4.0,2025-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
c3fc1hxuhutchilwclikdzoyc,Eetu,Saarela,Eetu,Saarela,Male,E. Saarela,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2006-04-24,Finland,2u07e54v5dprsugdvddpq5ync,27.0,2023-01-26Z,active,yes,185.0,NaN,NaN,NaN,NaN,NaN,NaN,70.0
c9987xq26uc7bq68l76clyxud,Matias Petteri,Ojala,Matias,Ojala,Male,M. Ojala,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,1995-02-28,Finland,2u07e54v5dprsugdvddpq5ync,8.0,2025-01-01Z,active,yes,173.0,both,NaN,NaN,NaN,NaN,NaN,NaN
cn6gncw8nbyds83xx6cxbzrpw,Santeri,Silander,Santeri,Silander,Male,S. Silander,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2004-04-30,Finland,2u07e54v5dprsugdvddpq5ync,29.0,2024-09-13Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cu75ndbeja7m9o2g789b0h34k,Karl Niklas,Schulz,Karl,Schulz,Male,N. Schulz,Finland,2u07e54v5dprsugdvddpq5ync,Goalkeeper,player,2005-10-10,Finland,2u07e54v5dprsugdvddpq5ync,99.0,2025-01-01Z,active,yes,NaN,NaN,NaN,Germany,36min0qztu8eydwvpv8t1is0m,NaN,NaN,NaN
d91zsmzak2wbq1sl8oe5kfs9h,Mikko,Isokangas,Mikko,Isokangas,Male,M. Isokangas,Finland,2u07e54v5dprsugdvddpq5ync,NaN,coach,1980-05-20,Finland,2u07e54v5dprsugdvddpq5ync,NaN,2024-06-13Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dx143hqxu54awtw4qih0rr0gk,Otso-Pekka,Parkkila,Otso-Pekka,Parkkila,Male,O. Parkkila,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2007-08-09,Finland,2u07e54v5dprsugdvddpq5ync,15.0,2024-01-25Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
e79tv8cwky1rcfjn35b629mmt,Thomas,Kinn,Thomas,Kinn,Male,T. Kinn,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Goalkeeper,player,1999-02-07,Norway,7f16iy4w8u8ogyn6pfooqwv5z,30.0,2025-08-17Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
emm3t5nn22co95xzp49nie9lg,Rene,Kähkönen,Rene,Kähkönen,Male,R. Kähkönen,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2006-01-13,Finland,2u07e54v5dprsugdvddpq5ync,11.0,2023-10-05Z,active,no,182.0,right,2025-07-11Z,NaN,NaN,NaN,NaN,67.0
j4mqmt0lccgzq4nf87ljkoyy,Justin Gerard,Rennicks,Justin,Rennicks,Male,J. Rennicks,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,1999-03-20,USA,7hr2f89v44y65dyu9k92vprwn,9.0,2024-01-01Z,active,yes,180.0,NaN,NaN,NaN,NaN,Boston,NaN,75.0
mnk5k2dwqsm4btenlggwpdk9,Lamine,Ghezali,Lamine,Ghezali,Male,L. Ghezali,France,7gww28djs405rfga69smki84o,Attacker,player,1999-07-06,France,7gww28djs405rfga69smki84o,11.0,2025-08-11Z,active,yes,175.0,right,NaN,NaN,NaN,Lagny-sur-Marne,NaN,60.0
1utcfk5giq7ghp8b2z3u9b27d,Jordan Iain,Houston,Jordan,Houston,Male,J. Houston,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,Defender,player,2000-01-28,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,4.0,2025-01-31Z,active,yes,182.0,right,NaN,NaN,NaN,East Kilbride,NaN,NaN
2e3yktcpxvr1dxy2z1z1dolxw,Michael,Boamah,Michael,Boamah,Male,M. Boamah,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2003-04-16,Ghana,2q2sw72utw5gu9t5y4knckwba,24.0,2025-08-24Z,active,yes,NaN,NaN,2025-12-31Z,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN
2fj3f2zy80nbu8p3ryblmioes,Valentin,Purosalo,Valentin,Purosalo,Male,V. Purosalo,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2005-09-10,Finland,2u07e54v5dprsugdvddpq5ync,30.0,2025-01-21Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2kbiramhoa1b8k51wtfk5raei,Jean-Pierre,Da Sylva,Jean-Pierre,Da Sylva,Male,J. Da Sylva,France,7gww28djs405rfga69smki84o,Midfielder,player,1997-01-03,France,7gww28djs405rfga69smki84o,7.0,2025-01-24Z,active,yes,NaN,NaN,NaN,Senegal,6hhqyhr5cwq2pfprlazyposyk,NaN,NaN,NaN
2shgmz0kct6m0wphe28gq04ix,Simon,Lindholm,Simon,Lindholm,Male,S. Lindholm,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2001-12-01,Finland,2u07e54v5dprsugdvddpq5ync,8.0,2025-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
49br3gmn71y8pd5wqkfkvrbah,Lucas Bradley,Falcão Cini,Lucas Bradley,Falcão Cini,Male,Lucas Falcão,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Midfielder,player,1999-10-21,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,10.0,2025-01-21Z,active,yes,175.0,both,NaN,Italy,25f2cmb2r8mk5rj92tzer6kvv,Cuiabá,Lucas Falcão,69.0
4i0z2g0aebdi5vz8mbs2aazmd,Kari,Martonen,Kari,Martonen,Male,K. Martonen,Finland,2u07e54v5dprsugdvddpq5ync,NaN,coach,1963-03-13,Finland,2u07e54v5dprsugdvddpq5ync,NaN,2025-08-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5auce3x81f1kwok1aq7m4o2y1,Liam John,Hughes,Liam,Hughes,Male,L. Hughes,Northern Ireland,5euslv7jutsauoqt3o2lj9bvi,Goalkeeper,player,2001-08-19,Northern Ireland,5euslv7jutsauoqt3o2lj9bvi,1.0,2024-02-08Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5ghh71ix7lnta7fz3mp0w0zpx,Anton Simo Sakari,Lepola,Anton,Lepola,Male,A. Lepola,Finland,2u07e54v5dprsugdvddpq5ync,Goalkeeper,player,1996-07-24,Finland,2u07e54v5dprsugdvddpq5ync,12.0,2023-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5k1kwehh9ck6nlqugcurw1yi1,Djair Terraii Carl,Parfitt-Williams,Djair,Parfitt-Williams,Male,D. Parfitt-Williams,Bermuda,4x2e37ksohrzsxdkg0mgfe5ag,Attacker,player,1996-10-01,Bermuda,4x2e37ksohrzsxdkg0mgfe5ag,64.0,2025-04-08Z,active,yes,168.0,right,NaN,England,1fk5l4hkqk12i7zske6mcqju6,NaN,NaN,64.0
5nhh1n77us1h2z5wvx7mt2gpg,Abraham,Okyere,Abraham,Okyere,Male,A. Okyere,Ghana,2q2sw72utw5gu9t5y4knckwba,Midfielder,player,2002-07-06,Ghana,2q2sw72utw5gu9t5y4knckwba,19.0,2025-01-21Z,active,yes,180.0,NaN,NaN,NaN,NaN,NaN,NaN,68.0
5qgan4g8ci25xi4v0v5cp0f84,Roni,Hudd,Roni,Hudd,Male,R. Hudd,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,2005-01-20,Finland,2u07e54v5dprsugdvddpq5ync,11.0,2025-07-09Z,active,yes,174.0,NaN,2025-12-31Z,NaN,NaN,Vaasa,NaN,NaN
5welitzirntn0h9qpa6qgiok5,Andrew William,Smith,Andy,Smith,Male,A. Smith,Northern Ireland,5euslv7jutsauoqt3o2lj9bvi,NaN,coach,1980-09-25,Northern Ireland,5euslv7jutsauoqt3o2lj9bvi,NaN,2024-01-01Z,active,no,180.0,both,2025-07-28Z,NaN,NaN,Lisburn,NaN,NaN
65bucpytjsdie0ji2sbyc836c,Akseli,Lehtomäki,Akseli,Lehtomäki,Male,A. Lehtomäki,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2006-07-28,Finland,2u07e54v5dprsugdvddpq5ync,NaN,2025-04-15Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6k8sy2tikge6yet4o6tqtixux,Elías Enrique,Romero Barrios,Elías,Romero,Male,E. Romero,Venezuela,1er0616j12s9yghuzvsx76d5v,Midfielder,player,1996-07-12,Venezuela,1er0616j12s9yghuzvsx76d5v,6.0,2025-02-18Z,active,yes,173.0,NaN,NaN,Spain,49ih1pwv3ahshdf8uzrimi54c,NaN,NaN,71.0
754edbfkwcsv7b0xovfqvtaeh,Sander,Volmer Guerreiro,Sander,Guerreiro,Male,Sander Guerreiro,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN,coach,1988-10-28,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN,2025-07-28Z,active,no,NaN,NaN,2025-07-31Z,NaN,NaN,NaN,NaN,NaN
7b39qc7x5gi1c8qaznmygdnmx,Steve-Waren Tiana Sean,Jucher Traoré,Steve,Traoré,Male,S. Traoré,Benin,3o5wco7tkqgfmys9exmt5fo2h,Midfielder,player,1998-02-18,France,7gww28djs405rfga69smki84o,11.0,2025-01-28Z,active,no,NaN,right,2025-05-19Z,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Paris,NaN,NaN
7pnmkd2s7cca2p00x7ny98st1,Niklas,Friberg,Niklas,Friberg,Male,N. Friberg,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,1996-03-14,Finland,2u07e54v5dprsugdvddpq5ync,3.0,2019-01-17Z,active,yes,182.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
818ngmk0u0iqzv4j93yj97aad,Riku,Selander,Riku,Selander,Male,R. Selander,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,1994-11-22,Finland,2u07e54v5dprsugdvddpq5ync,66.0,2025-02-07Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
aep88zwjh79qwbspe3k97yqc5,Juan Eduardo,Lescano,Juan,Lescano,Male,J. Lescano,Argentina,2vovxa97k7v7ofa85dah2xktb,Attacker,player,1992-10-29,Argentina,2vovxa97k7v7ofa85dah2xktb,23.0,2025-08-19Z,active,yes,187.0,right,NaN,NaN,NaN,Buenos Aires,NaN,79.0
aglxl2qbhq90oxdxcf7j0bthw,Oliver,Heino,Oliver,Heino,Male,O. Heino,Finland,2u07e54v5dprsugdvddpq5ync,Goalkeeper,player,2005-05-30,Finland,2u07e54v5dprsugdvddpq5ync,32.0,2025-07-21Z,active,no,192.0,NaN,2025-08-22Z,NaN,NaN,NaN,NaN,NaN
amdo0gvq5yaascwon92mhyaga,Eetu,Mömmö,Eetu,Mömmö,Male,E. Mömmö,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2002-05-04,Finland,2u07e54v5dprsugdvddpq5ync,18.0,2025-02-19Z,active,yes,183.0,left,2025-12-31Z,NaN,NaN,NaN,NaN,70.0
bj3hdokfgxfrxo4d5231pj5rd,Oskari,Sallinen,Oskari,Sallinen,Male,O. Sallinen,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2001-06-22,Finland,2u07e54v5dprsugdvddpq5ync,13.0,2024-08-09Z,active,yes,NaN,right,NaN,NaN,NaN,NaN,NaN,NaN
btxgorlt1vhb8f0yt5jvvwg5x,Kalle,Multanen,Kalle,Multanen,Male,K. Multanen,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,1989-04-07,Finland,2u07e54v5dprsugdvddpq5ync,17.0,2025-02-04Z,active,yes,185.0,right,NaN,NaN,NaN,NaN,NaN,78.0
bzkzdxtar17580adcj0vhu5uc,Roni,Rautio,Roni,Rautio,Male,R. Rautio,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2006-07-12,Finland,2u07e54v5dprsugdvddpq5ync,20.0,2025-01-21Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
claiogjotn3zh7gq944fwxez8,Kasperi,Silen,Kasperi,Silen,Male,K. Silen,Finland,2u07e54v5dprsugdvddpq5ync,Goalkeeper,player,2009-02-17,Finland,2u07e54v5dprsugdvddpq5ync,22.0,2025-08-12Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
czl632fkj2mhbgu4jie3bug9h,Oluwaseun Ewerogba,Akintunde,James,Akintunde,Male,J. Akintunde,England,1fk5l4hkqk12i7zske6mcqju6,Attacker,player,1996-03-29,England,1fk5l4hkqk12i7zske6mcqju6,9.0,2025-01-17Z,active,yes,175.0,NaN,NaN,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Greenwich,NaN,75.0
d7fbq3piag375ujo9q9njqq6s,Danila,Bulgakov,Danila,Bulgakov,Male,D. Bulgakov,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2005-01-20,Russia,7kfg68kh6n16fs4ap3xjiudr,16.0,2025-01-31Z,active,yes,179.0,NaN,2025-12-31Z,Russia,7kfg68kh6n16fs4ap3xjiudr,NaN,NaN,65.0
db7sgfeo2hgb5e2s0fa4ue044,Akusti,Matias Jalasvaara,Akusti,Matias Jalasvaara,Male,A. Jalasvaara,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2004-08-22,Finland,2u07e54v5dprsugdvddpq5ync,21.0,2025-01-31Z,active,yes,178.0,right,NaN,NaN,NaN,NaN,NaN,NaN
e7cov36din7hwsjxovwr5smlm,Nícolas,Gianini Dantas,Nícolas,Gianini Dantas,Male,Nícolas,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Defender,player,1998-05-15,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,5.0,2024-02-01Z,active,yes,187.0,right,NaN,Italy,25f2cmb2r8mk5rj92tzer6kvv,São Bernardo do Campo,Nícolas,80.0
eexcxuea18xbokvkko1erdffu,Mikael,Almén,Mikael,Almén,Male,M. Almén,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2000-03-08,Finland,2u07e54v5dprsugdvddpq5ync,15.0,2025-02-06Z,active,yes,NaN,NaN,NaN,NaN,NaN,Naantali,NaN,NaN
f2ab1zbzm717i2z80l869obqi,Nikolas,Talo,Nikolas,Talo,Male,N. Talo,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2003-03-24,Finland,2u07e54v5dprsugdvddpq5ync,2.0,2024-01-26Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
udbewp8no8ut63j1nla34ine,Arlind,Sejdiu,Arlind,Sejdiu,Male,A. Sejdiu,Kosovo,86u6edbqifdjsn49mbp2anw7p,Attacker,player,2001-08-11,Finland,2u07e54v5dprsugdvddpq5ync,99.0,2024-01-01Z,active,yes,NaN,NaN,NaN,Finland,2u07e54v5dprsugdvddpq5ync,Oulu,NaN,NaN
2fw3pz0v22kdbiognam8zsvoq,Luka,Kuittinen,Luka,Kuittinen,Male,L. Kuittinen,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,2003-03-29,Finland,2u07e54v5dprsugdvddpq5ync,22.0,2023-10-20Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2l8s5lqrg13rpz9nlhj8ijifo,Kofi,Fosuhene Asare,Kofi,Fosuhene Asare,Male,K. Fosuhene Asare,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,2002-05-31,Sweden,1z6l2c33w2kyz9rdefs1d68nb,14.0,2025-08-27Z,active,yes,171.0,right,NaN,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,NaN
3ajcjogpfwl26hddeqetp75sk,Eero,Vuorjoki,Eero,Vuorjoki,Male,E. Vuorjoki,Finland,2u07e54v5dprsugdvddpq5ync,Goalkeeper,player,2006-07-09,Finland,2u07e54v5dprsugdvddpq5ync,12.0,2024-01-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3tsss8xjrpvthouor07alc93o,Karim,Al-Wehliye,Karim,Al-Wehliye,Male,K. Al-Wehliye,Finland,2u07e54v5dprsugdvddpq5ync,Midfielder,player,2008-08-09,Finland,2u07e54v5dprsugdvddpq5ync,30.0,2025-06-13Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
