id,firstName,lastName,gender,matchName,nationality,nationalityId,position,type,countryOfBirth,countryOfBirthId,status,active,shirtNumber,dateOfBirth,shortFirstName,shortLastName,foot,height,weight,placeOfBirth,secondNationality,secondNationalityId,knownName
3epwf56ozg73hueacwmckk0r9,Sebastian,Pingel,Male,S. Pingel,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,11.0,1993-05-11,Sebastian,Pingel,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3rmn2fyc7lk554svshy798s9g,Emmanuel,Moungam À Ngon,Male,E. Moungam,Cameroon,4eb9feio6u267dd1jcwaf38mt,Defender,player,Cameroon,4eb9feio6u267dd1jcwaf38mt,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3xbn4aym0k2nt9zbeblcd8dsl,Martin,Retov,Male,M. Retov,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,coach,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,1980-05-05,Martin,Retov,NaN,178.0,82.0,Rødovre,NaN,NaN,NaN
4bkqvwlmbwul0s8lbbq6mifp,Søren,Reese,Male,S. Reese,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,1993-07-29,Søren,Reese,left,184.0,71.0,Ingstrup,NaN,NaN,NaN
4i0jiisff5k1efcgf27skpqfo,Frederik,Roslyng Christiansen,Male,F. Roslyng,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,34.0,2005-12-25,Frederik,Roslyng,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4lxxyqy78jkglhv2w6crzcnsa,Ole Martin,Lekven Kolskogen,Male,O. Kolskogen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Defender,player,Norway,7f16iy4w8u8ogyn6pfooqwv5z,active,yes,24.0,2001-01-20,Ole,Kolskogen,right,187.0,73.0,Bergen,NaN,NaN,NaN
4m3slt6iikaxklqd12i719rl5,Moses,Opondo,Male,M. Opondo,Uganda,1j6yonplolalz6goyopv7xd1k,Midfielder,player,Uganda,1j6yonplolalz6goyopv7xd1k,active,no,6.0,1997-10-28,Moses,Opondo,right,174.0,72.0,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN
4m9sp9mxlsjk6fv7v218yqfv9,Marvin,Egho,Male,M. Egho,Austria,hcs1bd49qliqqity6o268jyt,Attacker,player,Austria,hcs1bd49qliqqity6o268jyt,active,yes,45.0,1994-05-09,Marvin,Egho,left,188.0,75.0,Wien,NaN,NaN,NaN
4mxciw9jsj9l437fd7bv78p91,Jakob,Svarrer Ankersen,Male,J. Ankersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,7.0,1990-09-22,Jakob,Ankersen,right,182.0,70.0,Esbjerg,NaN,NaN,NaN
51ymbnikkta369rn3exb1g7bo,Abdul,Salam Moro,Male,A. Moro,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,32.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5lu7bn7uec3zjqpoi1x81gbu1,Sebastian,Lund Hausner,Male,S. Hausner,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,4.0,2000-04-11,Sebastian,Hausner,right,188.0,78.0,Horsens,NaN,NaN,NaN
5oesz1ge01l4ay7llja4a3alm,Rogers,Mugisha,Male,R. Mugisha,Uganda,1j6yonplolalz6goyopv7xd1k,Attacker,player,Uganda,1j6yonplolalz6goyopv7xd1k,active,yes,16.0,2003-06-06,Rogers,Mugisha,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5w0giylttgiapseaw6qky0mxg,Frederik,Juul Christensen,Male,F. Christensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,18.0,2000-01-19,NaN,NaN,NaN,176.0,70.0,NaN,NaN,NaN,NaN
61vr9xr91fr4g6ayzga5vn9w5,Alexander,Ludwig,Male,A. Ludwig,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,33.0,1993-06-30,Alexander,Ludwig,left,184.0,85.0,København,NaN,NaN,NaN
6k7khwtkxpem9z17bl5rrf2p6,Emil,Frederiksen,Male,E. Frederiksen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,22.0,2000-09-05,Emil,Frederiksen,left,175.0,NaN,Viborg,NaN,NaN,NaN
6xisosaqrokplph1s2rhrui38,Sory,Traoré,Male,S. Traoré,Guinea,4i9sg55wigitrfx7290f59ceo,Attacker,player,Guinea,4i9sg55wigitrfx7290f59ceo,active,yes,98.0,2005-03-13,Sory,Traore,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7353ysa16qgg30b9z5qiagys4,Alagie,Saine,Male,A. Saine,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,Defender,player,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,active,yes,28.0,2003-01-20,Alagie,Saine,right,186.0,NaN,NaN,NaN,NaN,NaN
7hso2bszmf4qal560jhrg2904,Yamirou,Ouorou,Male,Y. Ouorou,Benin,3o5wco7tkqgfmys9exmt5fo2h,Unknown,player,Benin,3o5wco7tkqgfmys9exmt5fo2h,active,yes,35.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7odg3dte6eh3uuv1cjnd3oefo,Andreas,Kampp Kiilerich Hermansen,Male,A. Hermansen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,40.0,2004-05-01,Andreas,Hermansen,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7x5op2llscnltkn0pkshbwlxw,Mads,Lyng,Male,M. Lyng,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,assistant coach,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,NaN,Mads,Lyng,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8112qk6z1vwmhhsh103x6vuhg,Samuel,Walseth Juel,Male,S. Juel,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,no,29.0,2005-04-21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
81w1fqi66z0ibawynhraybaxg,Sanders,Ngabo,Male,S. Ngabo,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,10.0,2004-07-04,Sanders,Ngabo,right,174.0,NaN,Sundby,Burundi,5d7e5052i0sb4wwloukhpafuu,NaN
8uhv14rin2znrr0wqgvcc2f2t,Matej,Delač,Male,M. Delač,Croatia,37hlakrwxyuzovaeoo4sezusp,Goalkeeper,player,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,active,yes,1.0,1992-08-20,Matej,Delac,right,190.0,80.0,Gornji Vakuf,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN
9dh7cnu4uzbraeck0t5iqlj4k,Adam Herman Bengt,Herdonsson,Male,A. Herdonsson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,Sweden,1z6l2c33w2kyz9rdefs1d68nb,active,yes,17.0,2004-04-07,Adam,Herdonsson,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9p9cd8xw4fz5mihxm69exb7ys,Omar,Jarju,Male,O. Jarju,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,Attacker,player,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,active,yes,99.0,2005-10-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9tdl50o579ut0oj2eec0dprtg,Angelo Luca,Nehme,Male,A. Nehme,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,no,NaN,2004-01-23,Angelo,Nehmé,both,165.0,NaN,NaN,NaN,NaN,NaN
a48bpdpt0siemxqtr3rubwbu,Muhamet,Hyseni,Male,M. Hyseni,Kosovo,86u6edbqifdjsn49mbp2anw7p,Attacker,player,Kosovo,86u6edbqifdjsn49mbp2anw7p,active,yes,9.0,2001-02-06,Muhamet,Hyseni,NaN,NaN,NaN,NaN,NaN,NaN,NaN
a6ymx4wkrn260rtpb360nsiqd,Mikkel,Kallesøe Andreasen,Male,M. Kallesøe,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,25.0,1997-04-20,Mikkel,Kallesøe,right,193.0,80.0,Lemvig,NaN,NaN,NaN
aomjkj5s52jkzgk3ljsz0osiy,Emanuel,Perez,Male,E. Perez,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,USA,7hr2f89v44y65dyu9k92vprwn,active,no,3.0,1999-02-19,Manny,Perez,NaN,183.0,73.0,Garner,Mexico,5trdr3jf42i20zj1hnkvcytr6,NaN
b9g3gwxlao9u6y4elz1sdukmh,Elijah Henry,Just,Male,E. Just,New Zealand,wcq2y28a27syx5do1k2i2nj8,Midfielder,player,New Zealand,wcq2y28a27syx5do1k2i2nj8,active,no,27.0,2000-05-01,Elijah,Just,right,174.0,68.0,Palmerston North,NaN,NaN,NaN
bdz03qovxerzrv12lgljae1p0,Christ,Tapé,Male,C. Tapé,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,player,Côte d'Ivoire,tin6kf561ywonqan0mettr98,active,yes,12.0,2006-03-02,Christ,Tapé,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cl4xl80n4gew1ox03r3ooshrd,Oliver,Kjærgaard,Male,O. Kjærgaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,15.0,1998-07-11,Oliver,Kjærgaard,NaN,184.0,76.0,NaN,NaN,NaN,NaN
cphvg2nexeks2vwd2ezb4zuok,Odilon Bryan,Me Atowoula Kouassi,Male,O. Kouassi,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Midfielder,player,Côte d'Ivoire,tin6kf561ywonqan0mettr98,active,yes,8.0,2005-10-13,Odilon,Kouassi,NaN,187.0,NaN,NaN,NaN,NaN,NaN
cqsc3mj8klukkgutdrpegybdg,Kwaku,Karikari,Male,K. Karikari,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,Ghana,2q2sw72utw5gu9t5y4knckwba,active,yes,21.0,2002-03-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dfxs5u8rdcxhzp33aks3acdn8,Karlo,Lusavec,Male,K. Lusavec,Croatia,37hlakrwxyuzovaeoo4sezusp,Midfielder,player,Croatia,37hlakrwxyuzovaeoo4sezusp,active,yes,20.0,2003-10-30,NaN,NaN,NaN,NaN,NaN,Varaždin,NaN,NaN,NaN
dsfbfzwy3c06mu50ee89qrbsa,Marinus Frederik,Løvgren Larsen,Male,M. Larsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,19.0,2003-12-30,Marinus,Larsen,right,169.0,63.0,NaN,NaN,NaN,NaN
e2157naqwp1qdsgaxre307cb8,Hjalte,Toftegaard,Male,H. Toftegaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,23.0,2006-06-25,Hjalte,Toftegaard,NaN,NaN,NaN,NaN,NaN,NaN,NaN
eso2tbbpnxu9qvx6zy07m5jx0,Julius,Madsen,Male,J. Madsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,14.0,2003-08-01,NaN,NaN,NaN,NaN,NaN,Næstved,NaN,NaN,NaN
13pjnzuna944lij8px3pnjgno,Mohammed,Al Badri,Male,M. Al Badri,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1quzsupin602z703nbgdbhy50,Ahmad,Hassan,Male,A. Hassan,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,13.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2enaavqr50t92ybnl1f1utlw4,Akramullah,Habibi,Male,A. Habibi,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4ozssgmad0cs5ip3zgnvdiolw,Samer,Osman,Male,S. Osman,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,22.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4xqr7ert8uekb5h5ohjifu0pg,Saleh,Zormati,Male,S. Zormati,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,18.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5a5oz2wi6g4aefv6bwcmbjok4,Frederik,Tersbøl,Male,F. Tersbøl,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5dl59u7j86um1wnme8apj32fo,Taha Omar,Kayed,Male,T. Kayed,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,9.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5pauf6na167orkor4qvg873mc,Sofus Søndberg,Grøn,Male,S. Søndberg Grøn,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,33.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6qxs9sttlslsogpcy6falrpck,Yassir,Hassan,Male,Y. Hassan,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,11.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73us3cw8ikrqysazbagwc4j6c,Younes,Benchaou,Male,Y. Benchaou,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,7.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
73utvhevswk7ojdwhu1pmbqqc,Walid,El Chiri,Male,W. El Chiri,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
74rmjmdv8k3x4ojrbibbcgufo,Ali Taleb,Abu-Stetiyeh,Male,A. Abu-Stetiyeh,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,17.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
79a93wxssyrmksm9m9iatvyms,Ahmad,Kais,Male,A. Kais,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,Denmark,5adf60vwiw2f2mibyq1k4ex7i,active,yes,1.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
