id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,startDate,endDate,status,active,shirtNumber,placeOfBirth,height,weight,foot,secondNationality,secondNationalityId,knownName
40ht1vwlzsf29ipe2rlyd59uc,Matej,Gashtarov,Matej,Gashtarov,Male,M. Gashtarov,North Macedonia,1lesyxylc5eza0a4z87t9azcc,Midfielder,player,2006-11-15,North Macedonia,1lesyxylc5eza0a4z87t9azcc,2025-03-25Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
43ib46nh45n9oajf5rmaz4f6x,In-Beom,Hwang,In-Beom,Hwang,Male,Hwang In-Beom,Korea Republic,4vzpxtqkiwx0puygnmayr74di,Midfielder,player,1996-09-20,Korea Republic,4vzpxtqkiwx0puygnmayr74di,2023-09-04Z,2024-09-02Z,active,no,6.0,Daejeon,177.0,70.0,both,NaN,NaN,Hwang In-Beom
48emxe3ywbi89kgyvd3egzpp1,Peter,Oladeji Olayinka,Peter,Olayinka,Male,P. Olayinka,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,1995-11-16,Nigeria,63pvdwrsiq5b07mzi8igqei9p,2023-07-01Z,NaN,active,yes,14.0,Ibadan,188.0,77.0,both,NaN,NaN,NaN
4i0lhae9ggu7xzxg8on35qy95,Pape Cherif,Ndiaye,Cherif,Ndiaye,Male,C. Ndiaye,Senegal,6hhqyhr5cwq2pfprlazyposyk,Attacker,player,1996-01-23,Senegal,6hhqyhr5cwq2pfprlazyposyk,2023-09-04Z,2025-09-12Z,active,no,9.0,Dakar,190.0,83.0,right,NaN,NaN,NaN
4i79xygq041riir1g8gdw0mad,Omri,Glazer,Omri,Glazer,Male,O. Glazer,Israel,4bnqn6mt5vyslpxfuqdrcmpgp,Goalkeeper,player,1996-03-11,Israel,4bnqn6mt5vyslpxfuqdrcmpgp,2023-07-01Z,NaN,active,yes,18.0,Tel Aviv,190.0,NaN,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN
4imfkav743ep5bqdgzs5kd1t6,Andrej,Đurić,Andrej,Djuric,Male,A. Đurić,Montenegro,1411jebgwo2ja1erogsq81lg9,Defender,player,2003-09-21,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2025-01-01Z,2025-07-09Z,active,no,30.0,Beograd,192.0,NaN,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN
4u1sgaf2cmjx1uiv5h6villh,Miloš,Degenek,Milos,Degenek,Male,M. Degenek,Australia,u5ieemi69z72c3bgczyy68lo,Defender,player,1994-04-28,Croatia,37hlakrwxyuzovaeoo4sezusp,2023-07-27Z,2024-12-31Z,active,no,3.0,Knin,185.0,83.0,right,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN
54r2nep64r0nrlhpjco561je2,Viktor,Radojević,Viktor,Radojevic,Male,V. Radojević,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,2004-07-14,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2024-01-01Z,2024-08-15Z,active,no,29.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5eipm3sn0sk9i5edxu0b4uhw4,Luka,Zarić,Luka,Zaric,Male,L. Zarić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,2008-10-31,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2024-07-01Z,NaN,active,yes,NaN,Užice,181.0,NaN,left,NaN,NaN,NaN
5ke2uwwaoyzdd1f4ryyi2cv3e,Ivan,Guteša,Ivan,Gutesa,Male,I. Guteša,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Goalkeeper,player,2002-04-04,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2024-02-05Z,NaN,active,yes,77.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5nme1dutl5z14e4741gu88t90,Ebenezer,Annan,Ebenezer,Annan,Male,E. Annan,Ghana,2q2sw72utw5gu9t5y4knckwba,Defender,player,2002-08-21,Ghana,2q2sw72utw5gu9t5y4knckwba,2025-01-01Z,2025-08-07Z,active,no,88.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
65je30iyno0ea0yylc355o3jd,Luka,Ilić,Luka,Ilic,Male,L. Ilić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,1999-07-02,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2024-06-27Z,2025-07-18Z,active,no,32.0,Niš,182.0,73.0,left,NaN,NaN,NaN
6lfy9bkrwcqxftdvotjpf2j8p,Felício,Mendes João Milson,Felício,Mendes João Milson,Male,Milson,Angola,3k53bkrjx5zsxchc6e3mcd834,Midfielder,player,1999-10-12,Angola,3k53bkrjx5zsxchc6e3mcd834,2024-07-26Z,NaN,active,yes,27.0,Luanda,170.0,69.0,right,Portugal,1nbm5i9a0403zzvltn17lxinc,Milson
77ibh9kvc2rkuulfsmiwq385w,Keimer Andrés,Sandoval Rodríguez,Keimer,Sandoval,Male,K. Sandoval,Colombia,6kby8rq1p01fg5ds38ckkrcs5,Defender,player,2005-09-03,Colombia,6kby8rq1p01fg5ds38ckkrcs5,2025-01-30Z,2026-06-30Z,active,yes,3.0,Cali,185.0,75.0,right,NaN,NaN,NaN
7hm7m0tkzhgrunycgviqs9bf8,Vuk,Roganović,Vuk,Roganovic,Male,V. Roganović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,2007-01-04,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2025-03-25Z,2025-06-30Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7hzwkvpglkqwz1g6ox2x2fg9g,Uroš,Sremčević,Uros,Sremcevic,Male,U. Sremčević,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Attacker,player,2006-04-24,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2024-02-02Z,2025-06-30Z,active,no,31.0,Kragujevac,186.0,NaN,both,NaN,NaN,NaN
7nv0wf9kmny9w7p36ahdsitat,Timi Max,Elšnik,Timi Max,Elsnik,Male,T. Elšnik,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,Midfielder,player,1998-04-29,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,2024-07-29Z,NaN,active,yes,21.0,Kidričevo,182.0,65.0,left,NaN,NaN,NaN
7ugefwtfbk4l379iehb0z2ay,Jovan,Mituljikić,Jovan,Mituljikic,Male,J. Mituljikić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,2003-01-20,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2025-01-01Z,2025-02-20Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
86b832s2snkdxxfh3ms1zdqzt,Vanja,Drkušić,Vanja,Drkusic,Male,V. Drkušić,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,Defender,player,1999-10-30,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,2024-08-16Z,2025-01-30Z,active,no,33.0,Novo mesto,188.0,80.0,right,NaN,NaN,NaN
8cfopdu7tyfve6iu3sinme1gp,Bruno,Duarte da Silva,Bruno,Duarte da Silva,Male,Bruno Duarte,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Attacker,player,1996-03-24,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,2024-07-17Z,NaN,active,yes,17.0,São Paulo,183.0,78.0,right,Italy,25f2cmb2r8mk5rj92tzer6kvv,Bruno Duarte
8fuik0j594o6zdppn2jaxrzmc,Stefan,Gudelj,Stefan,Gudelj,Male,S. Gudelj,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Defender,player,2006-05-18,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,2025-03-25Z,NaN,active,yes,NaN,Trebinje,192.0,NaN,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN
8hi29o9yzfxstxwk3dmtokc2c,Ognjen,Teofilović,Ognjen,Teofilovic,Male,O. Teofilović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Attacker,player,2006-09-19,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2025-03-25Z,2025-06-30Z,active,no,NaN,Beograd,192.0,NaN,right,NaN,NaN,NaN
8zx7blw00uknirnx7rv98vb4k,Egor,Prutsev,Egor,Prutsev,Male,E. Prutsev,Russia,7kfg68kh6n16fs4ap3xjiudr,Midfielder,player,2002-12-23,Russia,7kfg68kh6n16fs4ap3xjiudr,2024-07-01Z,2025-02-14Z,active,no,73.0,NaN,181.0,67.0,NaN,NaN,NaN,NaN
9fd19beamnr8qmhqdvzr7fcyy,Silas,Katompa Mvumpa,Silas,Katompa Mvumpa,Male,S. Katompa Mvumpa,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,Attacker,player,1998-10-06,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,2024-09-03Z,2025-06-30Z,active,no,15.0,Kinshasa,189.0,82.0,right,NaN,NaN,NaN
9g5qi226dysmtv1jlq6nrfpjo,Jovan,Šljivić,Jovan,Sljivic,Male,J. Šljivić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,2005-10-14,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2023-07-01Z,NaN,active,yes,7.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9wabmo0s1815sxu5fdc7xpx49,Euciodálcio,Gomes,Euciodálcio,Gomes,Male,Dálcio,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,Midfielder,player,1996-05-22,Portugal,1nbm5i9a0403zzvltn17lxinc,2024-06-27Z,2025-01-23Z,active,no,22.0,Almada,186.0,80.0,left,Portugal,1nbm5i9a0403zzvltn17lxinc,Dálcio
aje7rfhp2kmdys3ht82xbx4wk,Veljko,Milosavljević,Veljko,Milosavljevic,Male,V. Milosavljević,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,2007-06-28,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2023-10-17Z,2025-09-01Z,active,no,44.0,Požarevac,192.0,NaN,right,NaN,NaN,NaN
b327g29wiilzcv606v54g8pud,Uroš,Spajić,Uros,Spajic,Male,U. Spajić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,1993-02-13,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2022-12-23Z,2025-02-17Z,active,no,5.0,Beograd,188.0,82.0,right,NaN,NaN,NaN
bjgjaklncs9iobtzeaflqgb8,Vuk,Draškić,Vuk,Draskic,Male,V. Draškić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Goalkeeper,player,2007-05-11,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2024-01-25Z,NaN,active,yes,28.0,Užice,189.0,NaN,right,NaN,NaN,NaN
boquhcwmad8a9gcq3jcv1m68k,Lazar,Jovanović,Lazar,Jovanovic,Male,L. Jovanović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Attacker,player,2006-11-30,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2024-06-27Z,2025-02-04Z,active,no,91.0,Novi Sad,184.0,76.0,right,NaN,NaN,NaN
cdu16bajngbr4zluoby7tqxp0,David,Đurić,David,Djuric,Male,D. Đurić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,2006-03-19,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2025-03-28Z,2025-07-02Z,active,no,33.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cj3fd7djmm3m1lvxoyzq0onh1,Milan,Rodic,Milan,Rodic,Male,M. Rodic,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,1991-04-02,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,2017-07-21Z,2025-06-30Z,active,no,23.0,Drvar,186.0,82.0,left,NaN,NaN,NaN
cu13lfpqojvl94w4w0546pgk4,Ognjen,Mimović,Ognjen,Mimovic,Male,O. Mimović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,2004-08-17,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2024-02-05Z,2025-01-31Z,active,no,70.0,Gornji Milanovac,182.0,NaN,right,NaN,NaN,NaN
d29kspi5hcnnl38om4ikn1xck,Stefan,Leković,Stefan,Lekovic,Male,S. Leković,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,2004-01-09,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2024-07-01Z,2025-01-17Z,active,no,35.0,NaN,192.0,83.0,right,NaN,NaN,NaN
d8qady1y0xlbt7hzltiffydp1,Vladan,Milojević,Vladan,Milojevic,Male,V. Milojević,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,coach,1970-03-09,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2023-12-22Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN,Greece,6lpgd60z890no2v46zdecrcss,NaN
daepbhdv5jmtsx45ov5vgnr2t,Guélor,Kanga Kaku,Guélor,Kanga,Male,G. Kanga,Gabon,6jfjrlsdz5ns00g4gvk9a6xav,Midfielder,player,1990-09-01,Gabon,6jfjrlsdz5ns00g4gvk9a6xav,2020-08-01Z,2025-06-30Z,active,no,8.0,Oyem,167.0,63.0,right,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN
dgga9949wxs0mpe7dvqcz9es4,Savo,Radanović,Savo,Radanovic,Male,S. Radanović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Goalkeeper,player,2009-02-28,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,2025-03-01Z,NaN,active,yes,13.0,NaN,NaN,NaN,NaN,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN
diyr7clbo61gqbnllvigu6psk,Strahinja,Stojković,Strahinja,Stojkovic,Male,S. Stojković,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,2007-03-08,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2025-02-01Z,2025-08-08Z,active,no,47.0,NaN,188.0,NaN,right,NaN,NaN,NaN
eb85cx88u62iezjp4i0jjbg9g,Vasilije,Kostov,Vasilije,Kostov,Male,V. Kostov,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,2008-05-11,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2025-02-25Z,NaN,active,yes,92.0,NaN,176.0,NaN,right,North Macedonia,1lesyxylc5eza0a4z87t9azcc,NaN
ebnjqfs4wweqq5mfpepo25g16,Nikola,Knežević,Nikola,Knezevic,Male,N. Knežević,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,2003-03-10,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2023-07-01Z,2024-09-13Z,active,no,41.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ecowfx5iwg3lw9pn3x7tn1gr8,Yacouba Nasser,Djiga,Nasser,Djiga,Male,N. Djiga,Burkina Faso,2ggql4uo9h0p3c67wkm68ibol,Defender,player,2002-11-15,Burkina Faso,2ggql4uo9h0p3c67wkm68ibol,2024-06-27Z,2025-02-03Z,active,no,24.0,Bobo-Dioulasso,187.0,80.0,right,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN
eifui3hrv21plt57hxo8dhl62,Young-Woo,Seol,Young-Woo,Seol,Male,Seol Young-Woo,Korea Republic,4vzpxtqkiwx0puygnmayr74di,Defender,player,1998-12-05,Korea Republic,4vzpxtqkiwx0puygnmayr74di,2024-06-27Z,NaN,active,yes,66.0,Ulsan,182.0,72.0,right,NaN,NaN,Seol Young-Woo
eika2197gwlmjq70xdvisoe09,José Luis,Rodríguez Francis,José Luis,Rodríguez,Male,J. Rodríguez,Panama,5nhk7v9jq6dqmfbn4hiihhofv,Midfielder,player,1998-06-19,Panama,5nhk7v9jq6dqmfbn4hiihhofv,2024-06-27Z,2024-09-14Z,active,no,19.0,Ciudad de Panamá,180.0,77.0,left,NaN,NaN,NaN
eirmawmzrjao5dgbsmnielrtg,Uroš,Kabić,Uros,Kabic,Male,U. Kabić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Attacker,player,2004-01-01,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2024-07-01Z,2024-08-08Z,active,no,NaN,Novi Sad,183.0,NaN,NaN,NaN,NaN,NaN
eogax9mw7l5c23s3j2mcojjoq,Nemanja,Stojić,Nemanja,Stojic,Male,N. Stojić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,1998-01-15,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2024-07-01Z,2024-08-26Z,active,no,15.0,Beograd,190.0,84.0,right,NaN,NaN,NaN
erx6nfize9rfoygydzg0fyjh0,Mame Moustapha,Fall,Moustapha,Fall,Male,M. Fall,Senegal,6hhqyhr5cwq2pfprlazyposyk,Defender,player,2005-06-03,Senegal,6hhqyhr5cwq2pfprlazyposyk,2025-02-25Z,2025-06-30Z,active,no,25.0,Saint-Louis,182.0,NaN,right,NaN,NaN,NaN
10liv5e5n5chizte6d72flrdh,Yoann,Court,Yoann,Court,Male,Y. Court,France,7gww28djs405rfga69smki84o,Attacker,player,1990-01-14,France,7gww28djs405rfga69smki84o,2024-06-27Z,2025-06-30Z,active,no,6.0,Carpentras,172.0,70.0,left,NaN,NaN,NaN
12eoz2saqznafrltz09twerdg,Boston Benjamin,Billups,NaN,NaN,Male,B. Billups,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2005-08-24,USA,7hr2f89v44y65dyu9k92vprwn,2024-02-09Z,2025-02-03Z,active,no,23.0,NaN,NaN,NaN,NaN,Malta,52j1myzb4go3nqu8crtu7ulc1,NaN
1ufi8zv0ot0jkt4f5hpuj5hw5,Nemanja,Belić,Nemanja,Belic,Male,N. Belić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Goalkeeper,player,1987-04-24,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2024-07-01Z,2024-10-04Z,active,no,33.0,Beograd,188.0,87.0,right,NaN,NaN,NaN
1ykna3eethnofpn71t9gihknp,Marko,Bajic,NaN,NaN,Male,M. Bajic,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,assistant coach,1985-09-28,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2023-04-13Z,NaN,active,yes,NaN,Beograd,183.0,80.0,NaN,NaN,NaN,NaN
25bzlqdld8fdnaqzqifjdv1zp,Aleksandar,Lutovac,Aleksandar,Lutovac,Male,A. Lutovac,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,1997-06-28,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2024-01-31Z,2025-06-30Z,active,no,45.0,Beograd,175.0,NaN,NaN,NaN,NaN,NaN
2vsuib7za0bztqwr5xngykavo,Mustapha,Abiodun,NaN,NaN,Male,M. Abiodun,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2005-03-13,Nigeria,63pvdwrsiq5b07mzi8igqei9p,2024-05-12Z,2025-02-06Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2x4iwpb03qtuu8205886zogt0,Aytuğ Batur,Kömeç,Aytug,Kömeç,Male,A. Kömeç,Türkiye,6kd6webenogylfgwt2aa9l6vx,Defender,player,2004-10-05,Türkiye,6kd6webenogylfgwt2aa9l6vx,2024-07-13Z,2024-09-10Z,active,no,NaN,İstanbul,185.0,77.0,left,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN
30u098sq9lrtri0nfrhqjkc0l,Luka,Luković,Luka,Lukovic,Male,L. Luković,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Attacker,player,1996-10-11,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2023-02-10Z,NaN,active,yes,7.0,Beograd,189.0,82.0,both,NaN,NaN,NaN
3enpcdflgvi2hqkji4j4cq4et,Maxime,Do Couto Teixeira,Maxime,Do Couto,Male,M. Do Couto,France,7gww28djs405rfga69smki84o,Attacker,player,1996-12-13,France,7gww28djs405rfga69smki84o,2024-09-05Z,2024-12-31Z,active,no,70.0,Neuilly-sur-Seine,173.0,62.0,right,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN
3f7w2z2uoeh75untf58noqyok,Nikola,Ćuruvija,Nikola,Curuvija,Male,N. Ćuruvija,Austria,hcs1bd49qliqqity6o268jyt,Goalkeeper,player,2006-06-05,Austria,hcs1bd49qliqqity6o268jyt,2024-10-20Z,2025-01-30Z,active,no,33.0,Wien,190.0,90.0,right,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN
3gcfowjqjjunqefl726qo5tsk,Kadir,Gicić,NaN,NaN,Male,K. Gicić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Goalkeeper,player,2007-07-28,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2024-10-05Z,NaN,active,yes,12.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3uku25ta6a40v6l8u4m65cxnu,Vladimir,Lučić,Vladimir,Lucic,Male,V. Lučić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,2002-06-28,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2024-09-13Z,2025-06-30Z,active,no,37.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3znlzcm3sruz4725241g6dboq,Dimitrios,Džinović,NaN,NaN,Male,D. Džinović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,1997-09-14,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2020-08-01Z,2024-08-05Z,active,no,20.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
428d6lt1f4iih2odsf0913oyc,Stefan,Nikolić,Stefan,Nikolic,Male,S. Nikolić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,2004-07-25,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2023-06-30Z,2024-09-14Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4293mvh11wls7fe7os25kt10q,Veljko,Kijevčanin,NaN,NaN,Male,V. Kijevčanin,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,1999-08-03,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2022-07-09Z,2025-01-18Z,active,no,29.0,Čačak,NaN,NaN,NaN,NaN,NaN,NaN
4dmozza23rf8nkn6pfn0f602d,Ishak,Belfodil,Ishak,Belfodil,Male,I. Belfodil,Algeria,1ayprcriqhb8iv10ch70clppu,Attacker,player,1992-01-12,Algeria,1ayprcriqhb8iv10ch70clppu,2025-02-11Z,2025-06-30Z,active,no,NaN,Mostaganem,192.0,86.0,right,NaN,NaN,NaN
4ensfjuf2sfw4vh0sdo22shnu,Željko,Arsić,NaN,NaN,Male,Ž. Arsić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,1997-07-26,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2024-01-30Z,2024-08-17Z,active,no,17.0,Beograd,NaN,NaN,NaN,NaN,NaN,NaN
4n03jp6pyo3okxlj51a60gxlg,Djordje,Radivojevic,NaN,NaN,Male,D. Radivojevic,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Attacker,player,2008-10-09,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2025-01-01Z,2025-06-30Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4vd0omjpfla8uqiv7ug7z9iqc,Pavle,Ognjenović,NaN,NaN,Male,P. Ognjenović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Midfielder,player,2004-04-11,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2023-07-01Z,2024-08-01Z,active,no,13.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
