id,firstName,lastName,shortFirstName,shortLastName,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,shirtNumber,status,active,placeOfBirth,knownName,secondNationality,secondNationalityId,weight,foot
4f81x2c4lejp3jsk7j5s3rnfu,Marian Fernando,Huja,Marian,Huja,Marian Huja,Portugal,1nbm5i9a0403zzvltn17lxinc,Defender,player,1999-08-05,Portugal,1nbm5i9a0403zzvltn17lxinc,191.0,2.0,active,yes,Agualva-Cacém,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,left
5y2pzl020ybuk7ae5wteidr6d,Mihai Alexandru,Roman II,Mihai,Roman II,M. Roman,Romania,17oj2qrzqlkhdjvazum10sx2i,Attacker,player,1992-05-31,Romania,17oj2qrzqlkhdjvazum10sx2i,190.0,10.0,active,no,Craiova,NaN,NaN,NaN,80.0,right
673xpabzqzw397klozsjz8q1h,Abdel Slem Billel,Omrani,Billel,Omrani,B. Omrani,Algeria,1ayprcriqhb8iv10ch70clppu,Attacker,player,1993-06-02,France,7gww28djs405rfga69smki84o,187.0,9.0,active,no,Forbach,NaN,NaN,NaN,92.0,right
68iwkjko29fr6cfebkvma6978,Andrei David Silviu,Vraciu,Andrei,Vraciu,D. Vraciu,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,2002-06-29,Romania,17oj2qrzqlkhdjvazum10sx2i,185.0,14.0,active,no,Bacău,NaN,NaN,NaN,NaN,both
6hwjk3gd7yn777xc5kr5brxex,Bart Adrianus Johannes,Meijers,Bart,Meijers,B. Meijers,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,1997-01-10,Netherlands,6hzi5pltnz67q4la8yli9qfv6,185.0,3.0,active,yes,Breda,NaN,NaN,NaN,77.0,right
6igyc192azq4bdbyr3kzav5qt,László György,Balint,László György,Balint,L. Balint,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,coach,1979-03-29,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,active,yes,Brașov,NaN,NaN,NaN,NaN,NaN
6jo2r6t4xi2ovarqz40ji0a21,Mihai Alexandru,Eșanu,Mihai,Esanu,M. Eșanu,Romania,17oj2qrzqlkhdjvazum10sx2i,Goalkeeper,player,1998-07-25,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,12.0,active,yes,București,NaN,NaN,NaN,NaN,NaN
6jyv8rjtv8rey5wtble05c445,Okechukwu Christian,Irobiso,Christian,Irobiso,C. Irobiso,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,1993-05-28,Nigeria,63pvdwrsiq5b07mzi8igqei9p,190.0,19.0,active,yes,Lagos,NaN,NaN,NaN,77.0,left
6qko3f8w2ap9ynbuq2g55i5n8,Seniko Romeo,Doua,Seniko,Doua,S. Doua,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,player,2001-11-01,Côte d'Ivoire,tin6kf561ywonqan0mettr98,178.0,37.0,active,yes,NaN,NaN,NaN,NaN,NaN,right
74yhcgmul19at95twfbmw5s7o,Zoran,Mitrov,Zoran,Mitrov,Z. Mitrov,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,2002-01-29,Romania,17oj2qrzqlkhdjvazum10sx2i,179.0,93.0,active,no,Timișoara,NaN,NaN,NaN,NaN,NaN
7qsdl6jajrqdnf7qljklki2fp,Guilherme,Gomes Garutti,Guilherme,Gomes Garutti,Guilherme Garutti,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Defender,player,1994-03-08,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,194.0,34.0,active,yes,Marília,Guilherme Garutti,Italy,25f2cmb2r8mk5rj92tzer6kvv,86.0,right
83g3r3u4hzq9617uhihe3epqt,Gheorghe Teodor,Grozav,Gheorghe,Grozav,G. Grozav,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,1990-09-29,Romania,17oj2qrzqlkhdjvazum10sx2i,183.0,7.0,active,yes,Alba Iulia,NaN,NaN,NaN,74.0,left
8c0fzzw65euw6dbga2ct3zd91,Jefferson,Nogueira Junior,Jefferson,Nogueira Junior,Jefferson,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Midfielder,player,1994-01-22,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,181.0,6.0,active,no,Campinas,Jefferson,NaN,NaN,80.0,right
8dfudq63tw7kvz8xrz8wupi50,Alexandru Marian,Musi,Alexandru,Musi,A. Musi,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,2004-07-17,Romania,17oj2qrzqlkhdjvazum10sx2i,180.0,99.0,active,yes,București,NaN,Spain,49ih1pwv3ahshdf8uzrimi54c,70.0,right
8hn080610oqnixdmbxw2965ii,Giorgi,Abuashvili,Giorgi,Abuashvili,G. Abuashvili,Georgia,55mqz7j6585f2jhgfhn62lomr,Midfielder,player,2003-02-08,Georgia,55mqz7j6585f2jhgfhn62lomr,NaN,23.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
8jvya0g43i77glcwikdcth2ol,Tiemoko Ismaël,Diomandé,Ismaël,Diomandé,I. Diomandé,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Midfielder,player,1992-08-28,Côte d'Ivoire,tin6kf561ywonqan0mettr98,180.0,82.0,active,yes,Abidjan,NaN,NaN,NaN,82.0,right
8m2qb5je6yk0omwgnoprtdrdh,Constantin Valentin,Budescu,Constantin,Budescu,C. Budescu,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,1989-02-19,Romania,17oj2qrzqlkhdjvazum10sx2i,185.0,10.0,active,no,Urziceni,NaN,NaN,NaN,80.0,right
8pk5wvbh8vzkrqke05w4bgx04,Sebastian Andrei,Guiu,Sebastian,Guiu,S. Guiu,Romania,17oj2qrzqlkhdjvazum10sx2i,Attacker,player,2006-05-14,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,57.0,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
993p8tut30nxq03pc1pzuufx0,Juan Andres,Pătrașcu,Juan,Patrascu,J. Pătrașcu,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,2004-04-15,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,36.0,active,no,Ploiești,NaN,NaN,NaN,NaN,NaN
a59inho5fd5ud84xlfsdg3rl6,Raul Andrei,Bălbărău,Raul,Balbarau,R. Bălbărău,Romania,17oj2qrzqlkhdjvazum10sx2i,Goalkeeper,player,2001-04-07,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,1.0,active,yes,Galați,NaN,NaN,NaN,NaN,NaN
bbtdvomvrc5tdc627pohwump6,Mario George,Bratu,Mario,Bratu,M. Bratu,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,2002-06-07,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,98.0,active,yes,Ploiești,NaN,NaN,NaN,NaN,NaN
bs8j8frdsvh15ay9rnwdkjtw4,Mihnea Gabriel,Rădulescu,Mihnea,Radulescu,M. Rădulescu,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,2005-09-17,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,41.0,active,no,Ploiești,NaN,NaN,NaN,NaN,NaN
c6r50q9phzvhdopol51rtdnqi,Albin,Berisha,Albin,Berisha,A. Berisha,Kosovo,86u6edbqifdjsn49mbp2anw7p,Attacker,player,2001-01-14,Kosovo,86u6edbqifdjsn49mbp2anw7p,NaN,9.0,active,yes,Gjinoc,NaN,NaN,NaN,NaN,NaN
c76wbshpe7ikkdhdt0ts4g5xw,Mario Alexandru,Ioniță,Mario,Ionita,M. Ioniță,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,2007-03-17,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,43.0,active,no,NaN,Mario Ionita,NaN,NaN,NaN,NaN
cbrsiqtv0poy7rh73e30cyl0,Iustin Alexandru,Răducan,Iustin,Raducan,I. Răducan,Romania,17oj2qrzqlkhdjvazum10sx2i,Attacker,player,2005-07-20,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,13.0,active,yes,București,NaN,NaN,NaN,NaN,NaN
copf0hfkbxgubtxdb0wcydmok,Ionuț Sebastian,Cojocaru,Ionut,Cojocaru,I. Cojocaru,Romania,17oj2qrzqlkhdjvazum10sx2i,Attacker,player,2003-07-28,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,77.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
cvsqieyrfxb6wleyi24o7v4rt,Jair,Tavares da Silva,Jair,Tavares da Silva,Jair,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Midfielder,player,1994-08-03,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,194.0,8.0,active,yes,NaN,Jair,NaN,NaN,71.0,right
d6bcf95tgmgethdjhhfb6uqqd,Florin Cornel,Stângă,Florin,Stanga,F. Stângă,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,assistant coach,1978-06-22,Romania,17oj2qrzqlkhdjvazum10sx2i,178.0,NaN,active,yes,Brașov,NaN,NaN,NaN,75.0,NaN
d8r0u54f87hdnvypok92flxp1,George Petruț,Gavrilaș,George,Gavrilas,G. Gavrilaș,Romania,17oj2qrzqlkhdjvazum10sx2i,Goalkeeper,player,1990-12-15,Romania,17oj2qrzqlkhdjvazum10sx2i,195.0,1.0,active,no,Sighetu Marmației,NaN,NaN,NaN,71.0,right
d9rzos37h5f31nn0iqry4vb4k,David Ionuț,Paraschiv,David,Paraschiv,D. Paraschiv,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,2006-09-28,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,17.0,active,yes,București,NaN,NaN,NaN,NaN,NaN
dhb6r3msmmayy7v0b1gb40445,Lukáš,Zima,Lukás,Zima,L. Zima,Czechia,5md5tpwr2nmqao528prx43jr7,Goalkeeper,player,1994-01-09,Czechia,5md5tpwr2nmqao528prx43jr7,196.0,38.0,active,yes,Hradec Kralove,NaN,NaN,NaN,82.0,right
dmjmvyve2z2ntzpwksivmgi96,Alexandru Mihai,Ișfan,Alexandru,Isfan,A. Ișfan,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,2000-01-31,Romania,17oj2qrzqlkhdjvazum10sx2i,177.0,31.0,active,yes,Mioveni,NaN,NaN,NaN,NaN,NaN
e4lsrls4ax2x0rche50ymt2zu,Raul Gabriel,Bucur,Raul Gabriel,Bucur,R. Bucur,Romania,17oj2qrzqlkhdjvazum10sx2i,Attacker,player,2002-12-24,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,24.0,active,yes,Ploiești,NaN,NaN,NaN,NaN,NaN
ehsbyasd1mnmdnuftg42bivv9,Zoran,Petrović,Zoran,Petrovic,Z. Petrović,Montenegro,1411jebgwo2ja1erogsq81lg9,Attacker,player,1997-07-14,Montenegro,1411jebgwo2ja1erogsq81lg9,NaN,17.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
el1ayrhihyvl8ugctnf2e4dsl,Lucian Mihai,Dumitriu,Lucian,Dumitriu,L. Dumitriu,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,1992-09-21,Romania,17oj2qrzqlkhdjvazum10sx2i,180.0,44.0,active,yes,Bârlad,NaN,NaN,NaN,NaN,NaN
h2hm2d4ubx8q554vlcfkvw7p,Georgi,Velikov Pashov,Georgi,Pashov,G. Pashov,Bulgaria,5a1vsxg8tbnsk65iefq1q8tlt,Defender,player,1990-03-04,Bulgaria,5a1vsxg8tbnsk65iefq1q8tlt,178.0,26.0,active,no,NaN,NaN,NaN,NaN,NaN,NaN
he5kvvr8ugb73ynefc24uc45,Paul,Papp,Paul,Papp,P. Papp,Romania,17oj2qrzqlkhdjvazum10sx2i,Defender,player,1989-11-11,Romania,17oj2qrzqlkhdjvazum10sx2i,188.0,4.0,active,yes,Dej,NaN,NaN,NaN,80.0,right
rg80qwd9kk9u8evchjboobmd,Takayuki,Seto,Takayuki,Seto,T. Seto,Japan,lxyibh89lpdc0bfian1nx0xq,Midfielder,player,1986-02-05,Japan,lxyibh89lpdc0bfian1nx0xq,181.0,11.0,active,yes,Nagoya,NaN,NaN,NaN,73.0,right
1gwb0d6fvp3gwcnrhrxdabpxw,Denis Ștefan,Ciaun,Denis,Ciaun,D. Ciaun,Romania,17oj2qrzqlkhdjvazum10sx2i,Defender,player,2003-03-21,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,active,no,Iași,NaN,NaN,NaN,NaN,NaN
1hbc9mk24c37duv767fpvuaz8,Cristian Ioan,Grigoriu,Cristian,Grigoriu,C. Ioan,Romania,17oj2qrzqlkhdjvazum10sx2i,Attacker,player,2004-03-07,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,active,no,NaN,NaN,NaN,NaN,NaN,NaN
1wm0cwdynwo3y5m5kp2y1xv4l,Adel,Bettaieb,Adel,Bettaieb,A. Bettaieb,Tunisia,2um1icx6ftp1auliaxyw0ou6y,Attacker,player,1997-01-28,France,7gww28djs405rfga69smki84o,184.0,7.0,active,yes,Villiers-le-Bel,NaN,NaN,NaN,NaN,right
229rw2oza88s5t8y1y49rshec,Bogdan-Mihai,Istratie,Bogdan,Istratie,B. Istratie,Romania,17oj2qrzqlkhdjvazum10sx2i,Attacker,player,2004-01-28,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,98.0,active,no,Drobeta-Turnu Severin,NaN,NaN,NaN,NaN,NaN
2xk8y0gp6jzkhzxh58ln3i7dh,Anthony,da Silva,Anthony,da Silva,Tony,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN,coach,1980-12-20,France,7gww28djs405rfga69smki84o,178.0,NaN,active,yes,Le Creusot,Tony,NaN,NaN,70.0,NaN
33rkjsxp7zfr0e9meoj4bwmhh,Alin,Roman,Alin,Roman,A. Roman,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,1994-01-27,Romania,17oj2qrzqlkhdjvazum10sx2i,173.0,10.0,active,yes,Timişoara,NaN,NaN,NaN,68.0,left
3mnq8cdazrop2q5gzdj14v5lg,Andrei Cosmin,Gheorghiță,Andrei,Gheorghita,A. Gheorghiță,Romania,17oj2qrzqlkhdjvazum10sx2i,Attacker,player,2002-07-16,Romania,17oj2qrzqlkhdjvazum10sx2i,182.0,80.0,active,yes,București,NaN,NaN,NaN,NaN,right
3ms587mo62w1k5mtbfikzp3sa,Denis-Andrei,Ciobanu,Denis-Andrei,Ciobanu,D. Ciobanu,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,2004-05-24,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
3n4l3osvxacgvfwqkewrp0ixh,Kevin Alexander,Kabran,Kevin,Kabran,K. Kabran,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,1993-11-22,Sweden,1z6l2c33w2kyz9rdefs1d68nb,185.0,11.0,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
3oe6f2akc0kkmexyym1v9c3c9,Nicolás,Samayoa Pacheco,Nicolás,Samayoa,N. Samayoa,Guatemala,6bw57gk867vfrep8b5e4ykh24,Defender,player,1995-08-02,Guatemala,6bw57gk867vfrep8b5e4ykh24,188.0,3.0,active,yes,Ciudad de Guatemala,NaN,NaN,NaN,79.0,right
3taseszi5kjwcziflta99evo5,Gabriel Cristian,Vașvari,Gabriel,Vasvari,G. Vașvari,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,1986-11-13,Romania,17oj2qrzqlkhdjvazum10sx2i,186.0,NaN,active,yes,Zalău,NaN,NaN,NaN,80.0,right
4d70ge13biepbln2k00bhw8o9,Shayon Adam,Harrison,Shayon,Harrison,S. Harrison,England,1fk5l4hkqk12i7zske6mcqju6,Attacker,player,1997-07-13,England,1fk5l4hkqk12i7zske6mcqju6,183.0,17.0,active,yes,London,NaN,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,NaN,left
4oi0qyeqa54yr7c40fid2csq2,Alexandru,Gău,Alexandru,Gau,A. Gău,Moldova,389mdnq78a55g2gr040a3mmtj,Defender,player,2004-01-27,Moldova,389mdnq78a55g2gr040a3mmtj,NaN,NaN,active,no,NaN,NaN,NaN,NaN,NaN,NaN
4s2859tmqto0ezyh5cf6sbhpm,Ianoș,Brînză,Ianos,Brînza,I. Brînză,Moldova,389mdnq78a55g2gr040a3mmtj,Goalkeeper,player,1998-09-12,Moldova,389mdnq78a55g2gr040a3mmtj,188.0,1.0,active,no,Chișinău,NaN,NaN,NaN,NaN,right
4yo4mpxj9i0z3d8h65173jyl1,Andrei Virgil,Ciobanu,Andrei,Ciobanu,A. Ciobanu,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,1998-01-18,Romania,17oj2qrzqlkhdjvazum10sx2i,174.0,7.0,active,no,Bârlad,NaN,NaN,NaN,NaN,right
53fg2athyo43309yrq6ztejth,Denis,Ciobanu,Denis,Ciobanu,D. Ciobanu,Moldova,389mdnq78a55g2gr040a3mmtj,Defender,player,1987-08-08,Moldova,389mdnq78a55g2gr040a3mmtj,NaN,NaN,active,no,NaN,NaN,NaN,NaN,NaN,NaN
557xi1d5ruy7rcmz47nwlwph,Todor,Todoroski,Todor,Todoroski,T. Todoroski,North Macedonia,1lesyxylc5eza0a4z87t9azcc,Defender,player,1999-02-26,North Macedonia,1lesyxylc5eza0a4z87t9azcc,NaN,30.0,active,yes,Prilep,NaN,NaN,NaN,NaN,NaN
56tkaleo8tknabbvtor9sylex,Cătălin Florin,Hlistei,Catalin,Hlistei,C. Hlistei,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,1994-08-24,Romania,17oj2qrzqlkhdjvazum10sx2i,178.0,94.0,active,no,Arad,NaN,NaN,NaN,70.0,left
5cw5v1j6k7kkbw9runbp2ick4,Luca Alessandro,Mihai,Luca,Mihai,L. Mihai,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,2003-10-11,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,8.0,active,yes,București,NaN,NaN,NaN,NaN,NaN
5ej6nw7b6n09nxx48qcwzo2c5,Răzvan,Tincu,Razvan,Tincu,R. Tincu,Romania,17oj2qrzqlkhdjvazum10sx2i,Defender,player,1987-07-15,Romania,17oj2qrzqlkhdjvazum10sx2i,184.0,4.0,active,no,Satu Mare,NaN,NaN,NaN,80.0,right
5q2g9wes4q0nwei453jzb7pxw,Diego,Fărcaș,Diego,Farcas,D. Fărcaș,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,2005-11-22,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,28.0,active,yes,Prato,NaN,NaN,NaN,NaN,NaN
68o57qy8tje1wk3oy3xugys4,Darius Vasile,Deac,Darius,Deac,D. Deac,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,2004-02-23,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,active,no,Cluj-Napoca,NaN,NaN,NaN,NaN,NaN
6fswmrappvrzow38rizejlh3p,Toma,Marinică Niga,Toma,Niga,T. Niga,Romania,17oj2qrzqlkhdjvazum10sx2i,Goalkeeper,player,1997-08-15,Romania,17oj2qrzqlkhdjvazum10sx2i,187.0,22.0,active,yes,Frumosu,NaN,NaN,NaN,82.0,right
6i3tkzcjlvrq4q7bn82nthisq,Ionuț,Ailenei,Ionut,Ailenei,I. Ailenei,Romania,17oj2qrzqlkhdjvazum10sx2i,Goalkeeper,player,2001-01-30,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,12.0,active,yes,Pașcani,NaN,NaN,NaN,NaN,NaN
6liwctx51qvy4ysurirf4ftd6,Allan Victor,Oliveira Mota,Allan Victor,Oliveira Mota,Allanzinho,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Midfielder,player,2000-04-04,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,175.0,21.0,active,yes,Bertioga,Allanzinho,NaN,NaN,66.0,right
6ngsw1dccvytrh0pw7k18cyc5,Marius Mădălin,Martac,Marius,Martac,M. Martac,Romania,17oj2qrzqlkhdjvazum10sx2i,Defender,player,1991-07-05,Romania,17oj2qrzqlkhdjvazum10sx2i,171.0,2.0,active,yes,Titu,NaN,NaN,NaN,69.0,NaN
6veqhleq95267xca919eg02j9,Silviu,Lung Jr.,Silviu,Lung,S. Lung,Romania,17oj2qrzqlkhdjvazum10sx2i,Goalkeeper,player,1989-06-04,Romania,17oj2qrzqlkhdjvazum10sx2i,189.0,1.0,active,yes,Craiova,NaN,NaN,NaN,84.0,right
6wazu2d5n98gcgo879ou0usph,Leo-Florian,Grozavu,Leontin,Grozavu,L. Grozavu,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,coach,1967-08-19,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,active,yes,Ilișești,NaN,NaN,NaN,NaN,NaN
7nazmsbyz5lg3uegmpfixhg45,Sergiu Florin,Buș,Sergiu,Bus,S. Buș,Romania,17oj2qrzqlkhdjvazum10sx2i,Attacker,player,1992-11-02,Romania,17oj2qrzqlkhdjvazum10sx2i,185.0,9.0,active,yes,Cluj-Napoca,NaN,NaN,NaN,83.0,NaN
7nr4l9ye6hdekaam32heqfaqc,Răzvan Marius,Buţerchi,Razvan,Buterchi,R. Buţerchi,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,2002-02-14,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,active,no,Botoșani,NaN,NaN,NaN,NaN,right
7srw5982drbslyaead1aizv56,Christ Sarkodjé,Manca Kouadio,Christ,Kouadio,C. Kouadio,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,player,2000-12-23,Côte d'Ivoire,tin6kf561ywonqan0mettr98,170.0,NaN,active,no,NaN,NaN,NaN,NaN,NaN,right
7swcmfz4ush54de99vo9nyaj9,Florin Ionuţ,Ilie,Florin,Ilie,F. Ilie,Romania,17oj2qrzqlkhdjvazum10sx2i,Defender,player,1992-06-18,Romania,17oj2qrzqlkhdjvazum10sx2i,188.0,6.0,active,yes,Alba Iulia,Florin Ilie,NaN,NaN,86.0,NaN
85e9of4zi465tokony38zhwmi,Alexandru Răzvan,Mogoș,Alexandru,Mogos,A. Mogoș,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,2002-08-30,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,30.0,active,no,Drobeta-Turnu Severin,NaN,NaN,NaN,NaN,NaN
8b446jervwx154d97an7o0j4l,Julián Augusto,Garobbio Marchioni,Julián,Marchioni,J. Marchioni,Argentina,2vovxa97k7v7ofa85dah2xktb,Midfielder,player,1993-03-11,Argentina,2vovxa97k7v7ofa85dah2xktb,181.0,24.0,active,yes,La Plata,NaN,NaN,NaN,78.0,right
8ez53ckjjogkb2lfvnuhluove,Rareş Sebastian,Ispas,Rares,Ispas,R. Ispas,Romania,17oj2qrzqlkhdjvazum10sx2i,Defender,player,2000-08-26,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,27.0,active,yes,Cluj-Napoca,NaN,NaN,NaN,NaN,NaN
9nvgh2hke2j11hjydnlq4ot05,Claudiu,Belu-Iordache,Claudiu,Belu-Iordache,C. Belu-Iordache,Romania,17oj2qrzqlkhdjvazum10sx2i,Defender,player,1993-11-07,Romania,17oj2qrzqlkhdjvazum10sx2i,183.0,NaN,active,no,Timișoara,NaN,NaN,NaN,75.0,right
9uh0h1yhqlo8wtetmcbcsdr10,Vlad-Constantin,Ilie,Vlad,Ilie,V. Ilie,Romania,17oj2qrzqlkhdjvazum10sx2i,Midfielder,player,2008-04-17,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,98.0,active,yes,Iași,Vlad Ilie,NaN,NaN,NaN,NaN
ai29aw351xipb1f3hxr7qhz6y,Alexandru,Core,Alexandru,Core,A. Core,Romania,17oj2qrzqlkhdjvazum10sx2i,Defender,player,2000-12-12,Romania,17oj2qrzqlkhdjvazum10sx2i,180.0,NaN,active,no,Oradea,NaN,NaN,NaN,72.0,NaN
