id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,shirtNumber,startDate,status,active,secondNationality,secondNationalityId,knownName,endDate
dp4gi7nvc6tqkjqr4korsbgx6,Aleksander,Paluszek,Aleksander,Paluszek,Male,A. Paluszek,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,2001-04-09,Wrocław,Poland,27baqb7359ywdvsxxklx1kn11,194.0,81.0,right,3.0,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN
e1w55mbpxdz0y0n9qox07d2qc,Mateusz,Kowalczyk,Mateusz,Kowalczyk,Male,M. Kowalczyk,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,2004-04-16,Warszawa,Poland,27baqb7359ywdvsxxklx1kn11,181.0,NaN,both,77.0,2025-06-20Z,active,yes,NaN,NaN,NaN,NaN
eaucji42h0ay0g8h4nh4f9s7o,Konrad Jan,Gruszkowski,Konrad,Gruszkowski,Male,K. Gruszkowski,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,2001-01-27,Rabka-Zdrój,Poland,27baqb7359ywdvsxxklx1kn11,183.0,74.0,right,24.0,2025-01-28Z,active,yes,NaN,NaN,NaN,NaN
t9owwo6qmjsfv8e4b304lejt,Sebastian,Milewski,Sebastian,Milewski,Male,S. Milewski,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,1998-04-30,Mława,Poland,27baqb7359ywdvsxxklx1kn11,175.0,76.0,NaN,22.0,2024-07-04Z,active,yes,NaN,NaN,NaN,NaN
umoom2dfauat83rfpa874qhg,Tomasz,Włodarek,NaN,NaN,Male,T. Włodarek,Poland,27baqb7359ywdvsxxklx1kn11,NaN,assistant coach,1987-09-21,NaN,Poland,27baqb7359ywdvsxxklx1kn11,NaN,NaN,NaN,NaN,2021-07-01Z,active,yes,NaN,NaN,NaN,NaN
wu49il6b91f657rwefhcry8k,Miłosz,Swatowski,Milosz,Swatowski,Male,M. Swatowski,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,2007-09-13,NaN,Poland,27baqb7359ywdvsxxklx1kn11,NaN,NaN,NaN,18.0,2025-07-28Z,active,yes,NaN,NaN,NaN,NaN
14h4n3zbcaa6azac9jyc05srt,Max,Mölder,Max,Mölder,Male,M. Mölder,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,coach,1984-11-14,Stockholm,Sweden,1z6l2c33w2kyz9rdefs1d68nb,173.0,NaN,NaN,NaN,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN
1lmkzgjn68a57dw3n2nsk20ut,Grzegorz,Tomasiewicz,Grzegorz,Tomasiewicz,Male,G. Tomasiewicz,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,1996-05-05,Jaworzno,Poland,27baqb7359ywdvsxxklx1kn11,166.0,59.0,both,20.0,2022-06-14Z,active,yes,NaN,NaN,NaN,NaN
1utq05d236olr7aoy810clgwl,František,Plach,Frantisek,Plach,Male,F. Plach,Slovakia,7dybe8679n9bgyrcxi383pq3y,Goalkeeper,player,1992-03-08,Žilina,Slovakia,7dybe8679n9bgyrcxi383pq3y,192.0,80.0,left,26.0,2018-02-01Z,active,yes,NaN,NaN,NaN,NaN
1vaq6n1fj8qvmee8y7g03juvo,Piotr,Liszewski,Piotr,Liszewski,Male,P. Liszewski,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,2004-12-18,Warszawa,Poland,27baqb7359ywdvsxxklx1kn11,184.0,77.0,right,NaN,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN
2xxe60nrc239190r323ybu1hw,Kamil,Lubowiecki,Kamil,Lubowiecki,Male,K. Lubowiecki,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,2007-07-27,Strzelce Opolskie,Poland,27baqb7359ywdvsxxklx1kn11,177.0,69.0,NaN,19.0,2025-07-21Z,active,yes,NaN,NaN,NaN,NaN
3d0vp0k2zp28ut0k5n4jfpot1,Aleksandar,Radunović,Aleksandar,Radunovic,Male,A. Radunović,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,assistant coach,1980-05-09,NaN,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,NaN,NaN,2024-07-01Z,active,yes,NaN,NaN,NaN,NaN
3hkv28y7pojbjl6bk3em8w82x,Hugo Claudio,Vallejo Avilés,Hugo,Vallejo,Male,Hugo Vallejo,Spain,49ih1pwv3ahshdf8uzrimi54c,Attacker,player,2000-02-15,Granada,Spain,49ih1pwv3ahshdf8uzrimi54c,181.0,77.0,right,80.0,2025-08-13Z,active,yes,NaN,NaN,NaN,NaN
3z0y00unek639781gsg9v28k,Justin,Daniel,Justin,Daniel,Male,J. Daniel,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,2005-02-14,NaN,Poland,27baqb7359ywdvsxxklx1kn11,NaN,NaN,NaN,27.0,2025-04-04Z,active,yes,NaN,NaN,NaN,NaN
4h6ku69wrhijpfltgrxtzeqj9,Michał Łukasz,Chrapek,Michal,Chrapek,Male,M. Chrapek,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,1992-04-03,Jaworzno,Poland,27baqb7359ywdvsxxklx1kn11,177.0,74.0,right,6.0,2020-10-10Z,active,yes,NaN,NaN,NaN,NaN
57tfce3ecx2znfk0fa6d54zbp,Adrián,Dalmau Vaquer,Adrián,Dalmau,Male,Adrián Dalmau,Spain,49ih1pwv3ahshdf8uzrimi54c,Attacker,player,1994-03-23,Palma de Mallorca,Spain,49ih1pwv3ahshdf8uzrimi54c,182.0,70.0,right,9.0,2025-07-01Z,active,yes,NaN,NaN,NaN,NaN
5iyutg9qg6bfnwuieghj5wktm,Jason,Eyenga Lokilo,Jason,Lokilo,Male,J. Lokilo,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,Attacker,player,1998-09-17,Brussel,Belgium,4wbzjcclyefma1ourvjsu4q2j,175.0,65.0,left,98.0,2025-08-27Z,active,yes,NaN,NaN,NaN,NaN
6hdfz2mxfptzgyldvlbip2e39,Patryk,Dziczek,Patryk,Dziczek,Male,P. Dziczek,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,1998-03-25,Gliwice,Poland,27baqb7359ywdvsxxklx1kn11,182.0,80.0,right,10.0,2022-08-31Z,active,yes,NaN,NaN,NaN,NaN
8cpgpggbjt3ou3no5sil2gro4,Igor,Drapiński,Igor,Drapinski,Male,I. Drapiński,Poland,27baqb7359ywdvsxxklx1kn11,Defender,player,2004-05-31,Koło,Poland,27baqb7359ywdvsxxklx1kn11,186.0,82.0,left,29.0,2024-06-25Z,active,yes,NaN,NaN,NaN,NaN
8fgscsdgytvhw5y6mlthxtrdh,Erik,Jirka,Erik,Jirka,Male,E. Jirka,Slovakia,7dybe8679n9bgyrcxi383pq3y,Midfielder,player,1997-09-19,Trnava,Slovakia,7dybe8679n9bgyrcxi383pq3y,183.0,75.0,right,77.0,2025-01-01Z,active,yes,NaN,NaN,NaN,NaN
9qokz2ssts984e787p622rjmc,Oskar,Leśniak,Oskar,Lesniak,Male,O. Leśniak,Poland,27baqb7359ywdvsxxklx1kn11,Midfielder,player,2004-10-07,Segovia,Poland,27baqb7359ywdvsxxklx1kn11,176.0,69.0,right,31.0,2022-06-20Z,active,yes,NaN,NaN,NaN,NaN
