id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,weight,shirtNumber,startDate,endDate,status,active,placeOfBirth,foot,secondNationality,secondNationalityId,knownName
6h20uwlq6zf3h7h1dlukfhf6c,Trevor,McMullen,Trevor,McMullen,Male,T. McMullen,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,2002-01-23,USA,7hr2f89v44y65dyu9k92vprwn,185.0,75.0,12.0,2025-08-20Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
730zlb0kpah9nuhbt4cadx3h1,Sebastián,Saucedo Mondragón,Sebastián,Saucedo,Male,S. Saucedo,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,1997-01-22,USA,7hr2f89v44y65dyu9k92vprwn,170.0,72.0,23.0,2025-06-21Z,NaN,active,yes,San Fernando Valley,right,Mexico,5trdr3jf42i20zj1hnkvcytr6,NaN
7drelguz6c1htw10sq7zyxh0q,Daniel,Trejo Del Río,Danny,Trejo,Male,D. Trejo,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1998-04-29,Mexico,5trdr3jf42i20zj1hnkvcytr6,175.0,73.0,7.0,2025-01-31Z,2025-08-12Z,active,no,Morelia,right,Mexico,5trdr3jf42i20zj1hnkvcytr6,NaN
7xe0ov84ztwduks4x3utn05ck,Sebastian,Tregarthen,Sebastian,Tregarthen,Male,S. Tregarthen,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,Midfielder,player,2000-07-05,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,170.0,NaN,21.0,2025-01-31Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
86fbk8r7wsy14weicjdxj76z8,Finn Parker,Calloway,Finn,Calloway,Male,F. Calloway,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2006-09-01,USA,7hr2f89v44y65dyu9k92vprwn,175.0,68.0,47.0,2024-01-31Z,NaN,active,yes,Birmingham,NaN,NaN,NaN,NaN
8bjjne12yudwbzfzjdlygqx62,Amir Jameel,Daley,Amir,Daley,Male,A. Daley,Antigua and Barbuda,5ptslcq1vbobftatllej94tkr,Defender,player,2002-02-26,USA,7hr2f89v44y65dyu9k92vprwn,175.0,70.0,26.0,2025-08-19Z,2025-12-31Z,active,yes,Elmont,right,USA,7hr2f89v44y65dyu9k92vprwn,NaN
8lk5ve59333boqzpcmd0yidck,Ethan,Kos,Ethan,Kos,Male,E. Kos,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2001-06-28,USA,7hr2f89v44y65dyu9k92vprwn,183.0,NaN,5.0,2025-02-26Z,NaN,active,yes,California,left,NaN,NaN,NaN
8sl4nqao4w38gwi1t3qrxu5lh,Trevor Matthew,Spangenberg,Trevor,Spangenberg,Male,T. Spangenberg,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,1991-04-21,USA,7hr2f89v44y65dyu9k92vprwn,191.0,88.0,18.0,2019-02-21Z,NaN,active,yes,Mesa,right,NaN,NaN,NaN
8t6b8q53ovws370a1b27s85jo,Roman,Torres,Roman,Torres,Male,R. Torres,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2002-03-30,USA,7hr2f89v44y65dyu9k92vprwn,180.0,67.0,25.0,2025-03-06Z,2025-08-28Z,active,no,Dallas,NaN,NaN,NaN,NaN
9etod4kwf9f5ye7jzc5ez0e3u,Edwin David,Laszo Ramos,Edwin,Laszo,Male,E. Laszo,Colombia,6kby8rq1p01fg5ds38ckkrcs5,Midfielder,player,1999-03-02,Colombia,6kby8rq1p01fg5ds38ckkrcs5,184.0,82.0,17.0,2025-05-16Z,NaN,active,yes,Santander de Quilichao,NaN,Spain,49ih1pwv3ahshdf8uzrimi54c,NaN
9i7vyapra7fjdtv6xd9sms2ne,Arthur,Precious Paterson Jr.,AJ,Paterson,Male,A. Paterson,Grenada,187lxllgvpivhdcyw002tue8m,Defender,player,1996-01-31,USA,7hr2f89v44y65dyu9k92vprwn,188.0,86.0,20.0,2024-01-31Z,NaN,active,yes,Key Largo,NaN,USA,7hr2f89v44y65dyu9k92vprwn,NaN
a8taut3w1rjlisubqzhzuxf4l,Mark Jonathan,Briggs,Mark,Briggs,Male,M. Briggs,England,1fk5l4hkqk12i7zske6mcqju6,NaN,coach,1982-02-16,England,1fk5l4hkqk12i7zske6mcqju6,185.0,79.0,NaN,2025-04-30Z,NaN,active,yes,Wolverhampton,NaN,NaN,NaN,NaN
ae11j4s1qmv2augwuplxgrtka,Kameron,Lacey,Kameron,Lacey,Male,K. Lacey,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,2001-01-16,USA,7hr2f89v44y65dyu9k92vprwn,180.0,79.0,77.0,2025-05-23Z,NaN,active,yes,Miami,NaN,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,NaN
b708ir5u7r34j9oemje8f8z1m,Sam,McIllhatton,Sam,McIllhatton,Male,S. McIllhatton,Australia,u5ieemi69z72c3bgczyy68lo,Midfielder,player,1998-06-29,Australia,u5ieemi69z72c3bgczyy68lo,NaN,NaN,6.0,2025-04-04Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
beq6yluq1raxsrvxo77qlrf56,Stephen Timothy,Turnbull,Stephen,Turnbull,Male,S. Turnbull,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1998-03-13,USA,7hr2f89v44y65dyu9k92vprwn,183.0,79.0,2.0,2025-01-31Z,NaN,active,yes,Holtsville,right,NaN,NaN,NaN
bfye239zrcmh9qcazc71ffzkl,Alex,Martínez Beltrán,Alex,Martínez,Male,A. Martínez,USA,7hr2f89v44y65dyu9k92vprwn,NaN,assistant coach,1991-08-25,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,173.0,72.0,NaN,2023-03-28Z,NaN,active,yes,Montevideo,right,NaN,NaN,NaN
bxlh35ww96wgrsgfc8blou50p,Moses,Nyarko-Fenyi Mensah,Moses,Mensah,Male,M. Mensah,Ghana,2q2sw72utw5gu9t5y4knckwba,Defender,player,1998-08-15,Ghana,2q2sw72utw5gu9t5y4knckwba,188.0,75.0,33.0,2023-02-08Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
c3f7oxhzkegam5g1cn1j8j7jd,Samuel,Shashoua Sarmiento,Samuel,Shashoua,Male,S. Shashoua,England,1fk5l4hkqk12i7zske6mcqju6,Attacker,player,1999-05-13,England,1fk5l4hkqk12i7zske6mcqju6,176.0,68.0,14.0,2025-07-19Z,2025-12-31Z,active,yes,London,right,Venezuela,1er0616j12s9yghuzvsx76d5v,NaN
cbjd834y2hdx5jr3bda1zz6ga,Erik Danny,Centeno,Erik,Centeno,Male,E. Centeno,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2002-06-29,USA,7hr2f89v44y65dyu9k92vprwn,173.0,68.0,27.0,2025-05-23Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
cijslwbc730evygvnzcqzuimt,Eric Humberto,Ávila,Eric,Ávila,Male,E. Ávila,USA,7hr2f89v44y65dyu9k92vprwn,NaN,assistant coach,1987-11-24,USA,7hr2f89v44y65dyu9k92vprwn,173.0,66.0,NaN,2025-05-01Z,NaN,active,yes,San Diego,right,NaN,NaN,NaN
dglf4uhg5wnc68cg8ijovfmy1,Tabort Etaka,Obiarrah Preston,Tabort Etaka,Preston,Male,T. Preston,Cameroon,4eb9feio6u267dd1jcwaf38mt,Attacker,player,1998-06-10,Cameroon,4eb9feio6u267dd1jcwaf38mt,173.0,68.0,10.0,2023-08-22Z,NaN,active,yes,Bamenda,right,NaN,NaN,NaN
dhi7890xe8zsmzhw2cad7sul1,Tyler Geoffrey,Pasher,Tyler,Pasher,Male,T. Pasher,Canada,1iaoypzp6syf32cz9l15pzp7e,Attacker,player,1994-04-27,Canada,1iaoypzp6syf32cz9l15pzp7e,173.0,66.0,15.0,2023-03-08Z,NaN,active,yes,Elmira,left,NaN,NaN,NaN
dlcxvrsqhiz8ce0nqnh6h6dw5,James Matthew,Van Oekel,Matt,Van Oekel,Male,M. Van Oekel,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,1986-09-20,USA,7hr2f89v44y65dyu9k92vprwn,191.0,91.0,1.0,2018-12-12Z,NaN,active,yes,Chesapeake,NaN,NaN,NaN,NaN
dlhfyk6fgvqt3zrr5qfj7c6w9,Dawson,McCartney,Dawson,McCartney,Male,D. McCartney,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1998-10-15,USA,7hr2f89v44y65dyu9k92vprwn,183.0,75.0,11.0,2024-02-14Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
e6uww9a9ssp0n20ksoolesa8l,Enzo Agustín,Martínez Beltrán,Enzo,Martínez,Male,E. Martínez,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,Midfielder,player,1990-09-29,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,170.0,68.0,19.0,2022-03-04Z,NaN,active,yes,Montevideo,right,USA,7hr2f89v44y65dyu9k92vprwn,NaN
ece6sffb02drwz4brwndn0rh0,Ramiz Khalil,Hamouda,Ramiz,Hamouda,Male,R. Hamouda,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2008-05-26,USA,7hr2f89v44y65dyu9k92vprwn,188.0,77.0,4.0,2024-02-27Z,NaN,active,yes,NaN,NaN,Sudan,62wa0a1wwukxladeo5kqhrpen,NaN
nkke5nm09v2m60pcr3d7ed3p,Tom,Soehn,Tom,Soehn,Male,T. Soehn,USA,7hr2f89v44y65dyu9k92vprwn,NaN,coach,1966-04-15,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,2019-01-01Z,2025-04-09Z,active,no,Chicago,NaN,NaN,NaN,NaN
14oq6mvlh5e51d9y20nbpok4p,Christopher Mark,Allan,Chris,Allan,Male,C. Allan,England,1fk5l4hkqk12i7zske6mcqju6,Midfielder,player,1998-09-27,England,1fk5l4hkqk12i7zske6mcqju6,180.0,77.0,4.0,2023-03-09Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
1h85rt7bnqep3qovatft86pgq,Arturo,Rodríguez,Arturo,Rodríguez,Male,A. Rodríguez,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1998-12-15,Mexico,5trdr3jf42i20zj1hnkvcytr6,175.0,68.0,10.0,2023-03-24Z,NaN,active,yes,San Luis Potosí,NaN,Mexico,5trdr3jf42i20zj1hnkvcytr6,Arturo Rodríguez
21y2ogvprtdai47j36w9m22cq,Matthew Dyan,Myers,MD,Myers,Male,M. Myers,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,2001-04-05,USA,7hr2f89v44y65dyu9k92vprwn,183.0,77.0,9.0,2024-02-01Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
22p6n3oird085u2kbkiqp4pg,Ezekiel Ulysses,Soto,Ezekiel,Soto,Male,E. Soto,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,2007-01-14,USA,7hr2f89v44y65dyu9k92vprwn,183.0,68.0,17.0,2024-07-04Z,2025-05-17Z,active,no,NaN,NaN,NaN,NaN,NaN
2otorwje8a8xv14x9o898db84,Diego,Rodríguez,Diego,Rodríguez,Male,D. Rodríguez,Mexico,5trdr3jf42i20zj1hnkvcytr6,Midfielder,player,2006-08-25,Mexico,5trdr3jf42i20zj1hnkvcytr6,170.0,63.0,12.0,2025-01-31Z,NaN,active,yes,NaN,NaN,NaN,NaN,Diego Rodríguez
3s1a50dskuehneuuy9b1nxg4,Joseph,Akpunonu,Joey,Akpunonu,Male,J. Akpunonu,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2001-12-21,USA,7hr2f89v44y65dyu9k92vprwn,191.0,84.0,22.0,2025-01-31Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
41q6pdxfwazvyir9753iryr55,Jeremy Feldher,Kelly,Jeremy,Kelly,Male,J. Kelly,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1997-10-21,Czechia,5md5tpwr2nmqao528prx43jr7,175.0,72.0,29.0,2025-06-14Z,NaN,active,yes,Prague,NaN,NaN,NaN,NaN
5htuxrszecd448kld1yguwpas,Christian,Garner,Christian,Garner,Male,C. Garner,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,2000-03-09,USA,7hr2f89v44y65dyu9k92vprwn,183.0,79.0,1.0,2025-01-31Z,NaN,active,yes,Orleans,NaN,NaN,NaN,NaN
5jigl7kp5d2i5ws1602jm7n1m,John David,Klein III,John,Klein,Male,J. Klein,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1999-11-07,USA,7hr2f89v44y65dyu9k92vprwn,170.0,63.0,19.0,2025-01-31Z,2025-08-05Z,active,no,NaN,NaN,NaN,NaN,NaN
5t1wvh34lm993otbc3469uzxm,Jackson Lee,Conway,Jackson,Conway,Male,J. Conway,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,2001-12-03,England,1fk5l4hkqk12i7zske6mcqju6,188.0,91.0,36.0,2024-01-31Z,NaN,active,yes,Leeds,NaN,England,1fk5l4hkqk12i7zske6mcqju6,NaN
5tyrfuxsp7s9thsmhfqevuoyx,Aaron,Molloy,Aaron,Molloy,Male,A. Molloy,Republic of Ireland,63nepb66un7juhglo2g6rezcl,Midfielder,player,1997-01-11,Republic of Ireland,63nepb66un7juhglo2g6rezcl,175.0,75.0,6.0,2024-01-31Z,NaN,active,yes,Dublin,NaN,NaN,NaN,NaN
6692w96w6qmvgcpo02dehq4iy,Langston,Blackstock,Langston,Blackstock,Male,L. Blackstock,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2000-03-23,USA,7hr2f89v44y65dyu9k92vprwn,188.0,84.0,7.0,2025-01-31Z,NaN,active,yes,Marietta,left,NaN,NaN,NaN
6x8glr5hquqxmacroeqmq5mcq,Daniel,Kuzemka,Daniel,Kuzemka,Male,D. Kuzemka,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,1998-09-23,USA,7hr2f89v44y65dyu9k92vprwn,188.0,84.0,24.0,2022-05-01Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
8ogjrgklyvze158g90q7fv85w,Enzo,Mori,Enzo,Mori,Male,E. Mori,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,2006-04-21,USA,7hr2f89v44y65dyu9k92vprwn,178.0,68.0,99.0,2024-05-20Z,NaN,active,yes,Goose Creek,NaN,NaN,NaN,NaN
94zkjopy373mgso15ljxmhd04,Nanan Koffi Landry,Houssou,Nanan,Houssou,Male,N. Houssou,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Midfielder,player,2000-12-28,Côte d'Ivoire,tin6kf561ywonqan0mettr98,183.0,77.0,91.0,2025-01-31Z,NaN,active,yes,Abidjan,NaN,NaN,NaN,NaN
98l6i78kwuwnt2sbcucssgjfu,Graham,Smith,Graham,Smith,Male,G. Smith,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1995-11-25,USA,7hr2f89v44y65dyu9k92vprwn,188.0,88.0,16.0,2024-01-31Z,NaN,active,yes,Highlands Ranch,NaN,NaN,NaN,NaN
abwz38jw9ye3d0vnr5yp6lxck,Devin,Rensing,Devin,Rensing,Male,D. Rensing,USA,7hr2f89v44y65dyu9k92vprwn,NaN,assistant coach,1978-08-25,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,2023-04-07Z,2025-06-30Z,active,no,NaN,NaN,NaN,NaN,NaN
ani26vxlo22iw1u9oexptml05,Leland Douglas,Archer,Leland,Archer,Male,L. Archer,Trinidad and Tobago,635ed0499golbw7h62vt7g53j,Defender,player,1996-01-08,Trinidad and Tobago,635ed0499golbw7h62vt7g53j,191.0,88.0,5.0,2018-06-02Z,NaN,active,yes,Port of Spain,right,NaN,NaN,NaN
aur71sievd8d2fnrumu3xf6c,Nathan José,Kitchell Dossantos,Nathan,Dossantos,Male,N. Dossantos,Canada,1iaoypzp6syf32cz9l15pzp7e,Defender,player,1999-04-11,Canada,1iaoypzp6syf32cz9l15pzp7e,180.0,82.0,62.0,2024-01-30Z,NaN,active,yes,NaN,NaN,Portugal,1nbm5i9a0403zzvltn17lxinc,NaN
ax8t5jhq9kz6ff2sji3p90kr8,Viggo,Ortiz Córdova,Viggo,Ortiz,Male,V. Ortiz,Mexico,5trdr3jf42i20zj1hnkvcytr6,Midfielder,player,2008-05-26,USA,7hr2f89v44y65dyu9k92vprwn,168.0,63.0,11.0,2024-09-09Z,NaN,active,yes,NaN,right,USA,7hr2f89v44y65dyu9k92vprwn,NaN
bmuds0h4a4sbhg47zmamnld5h,Rubio Yovani,Méndez Rubín,Rubio,Rubín,Male,R. Rubín,Guatemala,6bw57gk867vfrep8b5e4ykh24,Attacker,player,1996-03-01,USA,7hr2f89v44y65dyu9k92vprwn,180.0,75.0,14.0,2025-04-23Z,NaN,active,yes,Beaverton,left,USA,7hr2f89v44y65dyu9k92vprwn,NaN
btx68vqtuzyckpw6sffr7iort,Benjamin,Pirmann,Ben,Pirmann,Male,B. Pirmann,USA,7hr2f89v44y65dyu9k92vprwn,NaN,coach,1985-09-19,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,2022-11-17Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
caoq1dpq6lz1btrd75s9xuz56,Caleb,Jennings,Cal,Jennings,Male,C. Jennings,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,1997-05-17,USA,7hr2f89v44y65dyu9k92vprwn,180.0,77.0,26.0,2025-01-31Z,NaN,active,yes,Atlanta,NaN,NaN,NaN,NaN
d8uer29a3oya05ks99q696221,Mark,Segbers,Mark,Segbers,Male,M. Segbers,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1996-04-18,USA,7hr2f89v44y65dyu9k92vprwn,176.0,75.0,2.0,2023-09-22Z,NaN,active,yes,St. Louis,right,NaN,NaN,NaN
dmbqkvvaray373vy9eiq4l1ck,Juan David,Torres Henríquez,Juan,Torres,Male,J. Torres,Colombia,6kby8rq1p01fg5ds38ckkrcs5,Midfielder,player,2001-03-31,Colombia,6kby8rq1p01fg5ds38ckkrcs5,168.0,63.0,80.0,2024-02-15Z,NaN,active,yes,Barranquilla,left,NaN,NaN,NaN
dw8iyfupgsqkt8ogxssmtss4q,Michael Joseph,Edwards,Michael,Edwards,Male,M. Edwards,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2000-11-27,USA,7hr2f89v44y65dyu9k92vprwn,192.0,87.0,34.0,2025-05-06Z,2025-12-31Z,active,yes,Woodbridge,right,NaN,NaN,NaN
ecjt2cd0xn1qyeyboapqwxbvu,Emilio Andres,Ycaza,Emilio,Ycaza,Male,E. Ycaza,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1997-07-10,USA,7hr2f89v44y65dyu9k92vprwn,173.0,66.0,8.0,2023-03-09Z,NaN,active,yes,NaN,NaN,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN
ect3pxkbjycux4simxmzp9jze,Luis Enrique,Zamudio Lizardo Jr.,Luis,Zamudio,Male,L. Zamudio,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,1998-06-24,USA,7hr2f89v44y65dyu9k92vprwn,191.0,86.0,56.0,2025-01-31Z,NaN,active,yes,Las Vegas,NaN,Mexico,5trdr3jf42i20zj1hnkvcytr6,NaN
eur2vbdzfmcxyfathakjghyqc,Joshua,Drack-Asami,Josh,Drack,Male,J. Drack,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1999-09-22,USA,7hr2f89v44y65dyu9k92vprwn,173.0,66.0,23.0,2024-01-31Z,2025-05-16Z,active,no,Chandler,NaN,Chile,32tb8d7824xg4i0ybxzssczu0,NaN
f1gj1qng7x6nxfi8lbxa7tvpx,Douglas Francisco,Martínez Juárez,Douglas,Martínez,Male,D. Martínez,Honduras,56ftnqeq3x3j77uone8qm5ow6,Attacker,player,1997-06-05,Honduras,56ftnqeq3x3j77uone8qm5ow6,188.0,82.0,42.0,2025-01-31Z,NaN,active,yes,Olanchito,NaN,NaN,NaN,NaN
1o5qnb5ktq4u6t11lj3fqntg,Adam James,Beaudry,Adam,Beaudry,Male,A. Beaudry,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,2006-04-18,USA,7hr2f89v44y65dyu9k92vprwn,188.0,77.0,16.0,2025-07-18Z,2025-12-31Z,active,yes,O'Fallon,right,NaN,NaN,NaN
2h53fzt0ubszmkuwfnez8n622,Akeem,O'Connor-Ward,Akeem,Ward,Male,A. Ward,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1996-01-05,USA,7hr2f89v44y65dyu9k92vprwn,170.0,68.0,3.0,2025-01-31Z,NaN,active,yes,Vienna,both,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,NaN
33a69m1zaamzxjr6tsb8p3578,Cole,Mrowka,Cole,Mrowka,Male,C. Mrowka,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2006-04-06,USA,7hr2f89v44y65dyu9k92vprwn,180.0,75.0,8.0,2025-08-21Z,2025-12-31Z,active,yes,Chicago,both,Poland,27baqb7359ywdvsxxklx1kn11,NaN
39t59x9q2xumbn2hphk7urp7u,Isaiah,Foster,Isaiah,Foster,Male,I. Foster,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2003-08-12,USA,7hr2f89v44y65dyu9k92vprwn,183.0,78.0,33.0,2025-01-31Z,NaN,active,yes,Frederick,left,NaN,NaN,NaN
3djjepgynp4qnhgvvqh9oa1ka,Aidan,Rocha,Aidan,Rocha,Male,A. Rocha,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2000-12-25,USA,7hr2f89v44y65dyu9k92vprwn,175.0,72.0,18.0,2023-12-01Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
3ljxfq84ubqzlooixppmpfdd6,Juan David,Tejada Londono,Juan,Tejada,Male,J. Tejada,Panama,5nhk7v9jq6dqmfbn4hiihhofv,Attacker,player,1997-01-14,Panama,5nhk7v9jq6dqmfbn4hiihhofv,170.0,70.0,27.0,2023-06-14Z,NaN,active,yes,Ciudad de Panamá,NaN,NaN,NaN,NaN
4ccmn07kk0thmg6apfxgivmc5,Justin Shane,Dhillon,Justin,Dhillon,Male,J. Dhillon,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,1995-06-06,USA,7hr2f89v44y65dyu9k92vprwn,193.0,84.0,77.0,2024-08-03Z,NaN,active,yes,Rancho Santa Margarita,NaN,NaN,NaN,NaN
6eqvj5hboqw5c21ofhsgo4p9l,Marco,Micaletto,Marco,Micaletto,Male,M. Micaletto,Italy,25f2cmb2r8mk5rj92tzer6kvv,Midfielder,player,1996-01-19,Italy,25f2cmb2r8mk5rj92tzer6kvv,178.0,77.0,22.0,2025-01-31Z,NaN,active,yes,Roma,NaN,USA,7hr2f89v44y65dyu9k92vprwn,NaN
6kj0a361emvyvjw1camrf9t6,Alan,McCann,Alan,McCann,Male,A. McCann,Republic of Ireland,63nepb66un7juhglo2g6rezcl,NaN,assistant coach,1989-08-28,Republic of Ireland,63nepb66un7juhglo2g6rezcl,NaN,NaN,NaN,2023-01-18Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
