id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,foot,shirtNumber,startDate,status,active,placeOfBirth,height,weight,endDate,knownName
3lrm5zgy0cngpgcskeahsigwk,Alexander Leon,Vandeperre,Alexander,Vandeperre,Male,A. Vandeperre,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2006-10-27,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,92.0,2023-07-11Z,active,yes,NaN,NaN,NaN,NaN,NaN
4dvbxh16w3txv1jy5e2mat638,Robin,Veldman,Robin,Veldman,Male,R. Veldman,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,coach,1985-12-24,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,2024-03-19Z,active,no,Marknesse,NaN,NaN,2025-03-21Z,NaN
4hejb0s3tl4jyjfcn5c7rmwpg,Jano,Willems,Jano,Willems,Male,J. Willems,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2004-01-15,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,75.0,2022-08-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
4zwdj7oaw9in8uo7dzzybqvpw,Vince Chijioke,Osuji,Vince,Osuji,Male,V. Osuji,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,Defender,player,2006-04-06,Nigeria,63pvdwrsiq5b07mzi8igqei9p,right,24.0,2025-02-21Z,active,yes,Lagos,188.0,83.0,NaN,NaN
5s9s15uql3ac1ba6pysh2k6xg,Grady,Makiobo Makiobo,Grady,Makiobo,Male,G. Makiobo,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2007-05-11,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,2025-01-18Z,active,yes,NaN,NaN,NaN,NaN,NaN
6uthi96vr24700st7s7m1so6i,Romeo,Vermant,Romeo,Vermant,Male,R. Vermant,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,2004-01-24,Belgium,4wbzjcclyefma1ourvjsu4q2j,right,17.0,2025-01-25Z,active,yes,Gelsenkirchen,181.0,74.0,NaN,NaN
770vedrjvw6qzfi2ssce8w2y,Sem,Audoor,Sem,Audoor,Male,S. Audoor,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2003-10-13,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,83.0,2022-08-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
79m802yjrfr0ji81c8ty1x2xg,Jorne,Spileers,Jorne,Spileers,Male,J. Spileers,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2005-01-21,Belgium,4wbzjcclyefma1ourvjsu4q2j,right,58.0,2024-09-21Z,active,yes,NaN,188.0,78.0,NaN,NaN
7hz7bfjlrnm0btnldneriddzo,Kiany,Vroman,Kiany,Vroman,Male,K. Vroman,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Goalkeeper,player,2004-01-21,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,91.0,2020-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
82vm0aqex9vlktk3xslsd3aqc,Wout,Verlinden,Wout,Verlinden,Male,W. Verlinden,Belgium,4wbzjcclyefma1ourvjsu4q2j,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2007-01-04,Belgium,4wbzjcclyefma1ourvjsu4q2j,right,93.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
84l7r4ud9ipuf9vc3ib5b4l0q,Hugo Thierry,Siquet,Hugo,Siquet,Male,H. Siquet,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2002-07-09,Belgium,4wbzjcclyefma1ourvjsu4q2j,right,41.0,2024-10-18Z,active,yes,Marche-en-Famenne,180.0,70.0,NaN,NaN
85jjfo6hgk2e7gb1na0eqz1uc,Bi Abdoul Kader,Yameogo,Bi,Yameogo,Male,B. Yameogo,Côte d'Ivoire,tin6kf561ywonqan0mettr98,NaN,NaN,Defender,player,2004-12-17,Côte d'Ivoire,tin6kf561ywonqan0mettr98,right,25.0,2023-09-06Z,active,yes,NaN,184.0,77.0,NaN,NaN
8ddbru6zxx8scpr66dkzsfsic,William,Simba,William,Simba,Male,W. Simba,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2001-03-26,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,76.0,2022-06-21Z,active,no,NaN,NaN,NaN,2024-09-06Z,NaN
8ibojf77eyosv0tvcsals9yc4,Laurens,Goemaere,Laurens,Goemaere,Male,L. Goemaere,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,2006-04-07,Belgium,4wbzjcclyefma1ourvjsu4q2j,right,73.0,2022-09-09Z,active,yes,Waregem,179.0,NaN,NaN,NaN
8r1m4p7y78u6qr007rpvlitck,Oleksandr,Yakymenko,Oleksandr,Yakymenko,Male,O. Yakymenko,Ukraine,315w6fk6umfzf4qvba3t55u61,NaN,NaN,Midfielder,player,2005-11-04,Ukraine,315w6fk6umfzf4qvba3t55u61,NaN,95.0,2022-12-02Z,active,no,Poltava,177.0,67.0,2024-12-31Z,NaN
8rdqcmsx8uooxqc6rjc78rr4k,Lenn,De Smet,Lenn,De Smet,Male,Lenn De Smet,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,2004-04-12,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,79.0,2020-12-04Z,active,yes,NaN,NaN,NaN,NaN,Lenn De Smet
955rlgxysijmlz66kn6qe2sfe,Tristan Danique,van den Heuvel,Dani,van den Heuvel,Male,D. van den Heuvel,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Goalkeeper,player,2003-05-28,Netherlands,6hzi5pltnz67q4la8yli9qfv6,right,16.0,2024-09-21Z,active,yes,Delft,186.0,73.0,NaN,NaN
973qhpd6czw3u8h0788uq9ez8,Siebe Roland,Wylin,Siebe,Wylin,Male,S. Wylin,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2003-05-27,Belgium,4wbzjcclyefma1ourvjsu4q2j,right,96.0,2024-06-27Z,active,yes,Roeselare,180.0,63.0,NaN,NaN
9yvaqepplk8s4cjqjbtyb24gk,Renzo,Tytens,Renzo,Tytens,Male,R. Tytens,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2005-06-23,Belgium,4wbzjcclyefma1ourvjsu4q2j,left,90.0,2024-06-28Z,active,yes,NaN,NaN,NaN,NaN,NaN
4oqs1647mbwhzsekzumlrsqvo,Yumeki,Yoshinaga,Yumeki,Yoshinaga,Male,Y. Yoshinaga,Japan,lxyibh89lpdc0bfian1nx0xq,NaN,NaN,Defender,player,2006-02-22,Japan,lxyibh89lpdc0bfian1nx0xq,NaN,55.0,2024-07-01Z,active,yes,NaN,177.0,NaN,NaN,NaN
9yyedlzj1ke15xb91ait55xm2,Amine,Et-Taïbi,Amine,Et-Taïbi,Male,A. Et-Taïbi,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Belgium,4wbzjcclyefma1ourvjsu4q2j,Defender,player,2003-02-05,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,67.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
9z6gig2dmhz738cfm9l23nxuc,Kaye,Furo Tamuno Iyowuna,Kaye,Furo,Male,K. Furo,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,2007-02-06,Belgium,4wbzjcclyefma1ourvjsu4q2j,right,87.0,2023-07-01Z,active,yes,NaN,190.0,NaN,NaN,NaN
a86u8n8a4m46bd6mc2ydhqvbo,Bruce,Deuwel,Bruce,Deuwel,Male,B. Deuwel,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2005-11-14,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,85.0,2023-03-18Z,active,yes,NaN,NaN,NaN,NaN,NaN
ac5ihcnef0we4sklhnmxgn3mc,Axl,De Corte,Axl,De Corte,Male,A. De Corte,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Goalkeeper,player,2006-03-24,Belgium,4wbzjcclyefma1ourvjsu4q2j,left,71.0,2022-11-24Z,active,yes,NaN,NaN,NaN,NaN,NaN
ahje1y6v4dlmq4ath0rfcql90,Benjamin,Thoresen Faraas,Benjamin,Faraas,Male,B. Faraas,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,Attacker,player,2005-09-08,Norway,7f16iy4w8u8ogyn6pfooqwv5z,right,86.0,2023-08-23Z,active,no,Flisa,180.0,NaN,2025-01-30Z,NaN
aigwxi86oplnk6nhuowk7lus4,Jakke,Van Britsom,Jakke,Van Britsom,Male,J. Van Britsom,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,2006-06-20,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,95.0,2025-04-17Z,active,yes,NaN,NaN,NaN,NaN,NaN
avnrtae50pid6aomt6sq3dqi2,Denzel,De Roeve,Denzel,De Roeve,Male,D. De Roeve,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2004-08-10,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,63.0,2021-02-20Z,active,no,NaN,NaN,NaN,2025-03-03Z,NaN
aw7lmjsnvl64dhky18gjq1r84,Axl,Wins,Axl,Wins,Male,A. Wins,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2008-07-05,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,98.0,2025-01-18Z,active,yes,NaN,NaN,NaN,NaN,NaN
bkmv9zdoazi53yhb6m3693ml0,Jesse,Eugen Bisiwu,Jesse,Bisiwu,Male,J. Bisiwu,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,2008-01-22,Belgium,4wbzjcclyefma1ourvjsu4q2j,right,74.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
bwk0ralfmstrrsy3lsatedfmy,Daniel Alejandro,Pérez Córdova,Daniel,Pérez,Male,D. Pérez,Venezuela,1er0616j12s9yghuzvsx76d5v,NaN,NaN,Attacker,player,2002-01-17,Venezuela,1er0616j12s9yghuzvsx76d5v,right,60.0,2024-07-01Z,active,no,Caracas,190.0,77.0,2025-01-20Z,NaN
cngalnjef9grrkkc3hrk6fyz9,Thibaut,Van Acker,Thibaut,Van Acker,Male,T. Van Acker,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,1991-11-21,Belgium,4wbzjcclyefma1ourvjsu4q2j,right,77.0,2025-01-20Z,active,yes,Merendree,183.0,63.0,NaN,NaN
d0neh5vcdezvb0ful49zguiok,Alejandro,Granados Torres,Alejandro,Granados,Male,Alejandro Granados,Spain,49ih1pwv3ahshdf8uzrimi54c,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2006-05-30,Spain,49ih1pwv3ahshdf8uzrimi54c,NaN,70.0,2023-08-08Z,active,yes,NaN,NaN,NaN,NaN,NaN
d1psj6l8uug51nimttadgst1w,Lucas,Delorge Knieper,Lucas,Delorge,Male,L. Delorge,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,2007-06-16,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,76.0,2024-10-05Z,active,yes,NaN,NaN,NaN,NaN,NaN
dfy8wmt4li6v2a3ulhftrxr10,Shandre Miguel,Campbell,Shandre,Campbell,Male,S. Campbell,South Africa,1kiwby3xmt97m3ejw76qs4i6k,NaN,NaN,Attacker,player,2005-07-15,South Africa,1kiwby3xmt97m3ejw76qs4i6k,left,84.0,2024-07-10Z,active,yes,NaN,NaN,NaN,NaN,NaN
dl484hplllyu01qwpra62k2z8,Yanis,Musuayi,Yanis,Musuayi,Male,Y. Musuayi,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,2007-06-26,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,99.0,2025-01-07Z,active,yes,NaN,NaN,NaN,NaN,NaN
e757mme0woki67my915eckn4k,Gianluca Tommaso,Okon-Engstler,Gianluca,Okon-Engstler,Male,G. Okon-Engstler,Australia,u5ieemi69z72c3bgczyy68lo,Italy,25f2cmb2r8mk5rj92tzer6kvv,Midfielder,player,2009-01-24,Australia,u5ieemi69z72c3bgczyy68lo,NaN,89.0,2024-12-19Z,active,yes,NaN,NaN,NaN,NaN,NaN
eb3l3tb849tldd26shre947ze,Liam,De Smet,Liam,De Smet,Male,Liam De Smet,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,2004-04-12,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,80.0,2020-11-19Z,active,yes,NaN,NaN,NaN,NaN,Liam De Smet
evcq2pbyad7zn3okc33upat0q,Lynnt,Audoor,Lynnt,Audoor,Male,L. Audoor,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,2003-10-13,Belgium,4wbzjcclyefma1ourvjsu4q2j,right,62.0,2024-07-05Z,active,yes,NaN,182.0,69.0,NaN,NaN
q2uubesdtpjeq5eui1ro86c4,Argus,Vanden Driessche,Argus,Driessche,Male,A. Vanden Driessche,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Goalkeeper,player,2007-04-22,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,81.0,2024-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
1gkafh9k8w1u24mw86drnro5w,Saïdou Nourou,Touré,Saïdou,Touré,Male,S. Touré,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,2007-02-09,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,80.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
1xwmx2ydxa5zeqo12778h83ro,Nolan,Martens,Nolan,Martens,Male,N. Martens,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2004-07-07,Belgium,4wbzjcclyefma1ourvjsu4q2j,right,64.0,2022-07-01Z,active,no,NaN,180.0,NaN,2025-01-23Z,NaN
2dffynjkmslirpckd03al46c4,Karol Lorenzo,Youndje Sihom,Lorenzo,Youndje,Male,L. Youndje,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2005-04-12,Cameroon,4eb9feio6u267dd1jcwaf38mt,left,50.0,2025-01-08Z,active,yes,Yaoundé,NaN,NaN,2025-06-30Z,NaN
2ii3i7pgznf4goicdbfxr45xw,Elie,Mbavu,Elie,Mbavu,Male,E. Mbavu,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,2009-10-20,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,73.0,2024-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
355mijuf0p3q7x029my9irwbu,Johan,Van Rumst,Johan,Van Rumst,Male,J. Van Rumst,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,coach,1977-12-30,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,2025-01-27Z,active,yes,NaN,NaN,NaN,NaN,NaN
37yl0xzrlfbyp7x5dhcc89mju,Brent,Stevens,Brent,Stevens,Male,B. Stevens,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Goalkeeper,player,2003-08-11,Belgium,4wbzjcclyefma1ourvjsu4q2j,right,71.0,2024-07-05Z,active,yes,NaN,187.0,79.0,NaN,NaN
3ozr9i8cbbl9szx2zwhj5snbo,Jelle,Driessen,Jelle,Driessen,Male,J. Driessen,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,2009-01-19,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,76.0,2024-02-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
43uuj9gwya80n4r3z6kcv87bo,Josue,Ndenge Kongolo,Josue,Kongolo,Male,J. Kongolo,Belgium,4wbzjcclyefma1ourvjsu4q2j,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,Defender,player,2006-04-13,Belgium,4wbzjcclyefma1ourvjsu4q2j,right,44.0,2022-09-29Z,active,yes,NaN,184.0,77.0,NaN,NaN
44kah50v5w1on1mhbostzfrze,Kayden Leighton,Hugh Pierre,Kayden,Pierre,Male,K. Pierre,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,Defender,player,2003-02-16,USA,7hr2f89v44y65dyu9k92vprwn,right,2.0,2024-09-26Z,active,yes,Bloomfield Hills,175.0,70.0,NaN,NaN
47vs05b8xlhvx5sqo2t5kys4,Mike Louis,Penders,Mike,Penders,Male,M. Penders,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Goalkeeper,player,2005-07-31,Belgium,4wbzjcclyefma1ourvjsu4q2j,left,39.0,2024-08-28Z,active,yes,NaN,200.0,95.0,NaN,NaN
4iwwgxdioq4c805t6c7subzf8,Emmanuel Jeriel,Sarfo,Emmanuel,Sarfo,Male,E. Sarfo,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2007-07-12,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,84.0,2025-02-04Z,active,yes,NaN,NaN,NaN,NaN,NaN
4td7pzgggkj7v70bux2wl6l90,Ayumu,Yokoyama,Ayumu,Yokoyama,Male,A. Yokoyama,Japan,lxyibh89lpdc0bfian1nx0xq,NaN,NaN,Attacker,player,2003-03-04,Japan,lxyibh89lpdc0bfian1nx0xq,NaN,64.0,2025-02-03Z,active,yes,Tokyo,170.0,65.0,2025-06-30Z,NaN
5p8oubwq3kmr68fx4vloi9us4,Ayman,Rabhi,Ayman,Rabhi,Male,A. Rabhi,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,2007-04-24,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,68.0,2024-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
6aae47w43a8jwavqbf9wqhffu,Peter,Reynders,Peter,Reynders,Male,P. Reynders,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,assistant coach,1965-01-28,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,2024-12-14Z,active,no,NaN,NaN,NaN,2025-01-26Z,NaN
6pp2hyj46c5jg71w4kesyho2c,Christian,Akpan,Christian,Akpan,Male,C. Akpan,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,Midfielder,player,2005-01-29,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,65.0,2023-01-30Z,active,yes,NaN,NaN,NaN,NaN,NaN
78wefs1jfodvho6cxygadxg45,Thomas,Buffel,Thomas,Buffel,Male,T. Buffel,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,NaN,coach,1981-02-19,Belgium,4wbzjcclyefma1ourvjsu4q2j,both,NaN,2024-06-18Z,active,no,Brugge,175.0,68.0,2025-01-26Z,NaN
7ktv4mwt2eynyqsznc3yczh90,Ilyas,Bouazzaoui,Ilyas,Bouazzaoui,Male,I. Bouazzaoui,Belgium,4wbzjcclyefma1ourvjsu4q2j,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Midfielder,player,2007-11-01,Belgium,4wbzjcclyefma1ourvjsu4q2j,right,70.0,2024-04-06Z,active,yes,NaN,173.0,NaN,NaN,NaN
7mcgyfr80xzsoh8tzklqugro4,Noah,Adedeji-Sternberg,Noah,Adedeji-Sternberg,Male,N. Adedeji-Sternberg,Belgium,4wbzjcclyefma1ourvjsu4q2j,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,2005-06-19,Germany,36min0qztu8eydwvpv8t1is0m,right,32.0,2023-06-01Z,active,yes,NaN,182.0,69.0,NaN,NaN
7te1vm14346rrwg9apjzqq2ok,Zaïd,Bafdili,Zaïd,Bafdili,Male,Z. Bafdili,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,2007-10-25,Belgium,4wbzjcclyefma1ourvjsu4q2j,right,66.0,2023-07-01Z,active,yes,NaN,170.0,NaN,NaN,NaN
7tndfvbntv677n4k4whswx7v8,Alfred Lenin,Caicedo Mina,Alfred,Caicedo,Male,A. Caicedo,Ecuador,6pyj2bytt2osbjk69owzfehcg,NaN,NaN,Defender,player,2004-09-10,Ecuador,6pyj2bytt2osbjk69owzfehcg,NaN,75.0,2023-01-26Z,active,yes,NaN,NaN,NaN,NaN,NaN
82desxiza5fpfvdtzzygfik9g,Kenshin,Yasuda,Kenshin,Yasuda,Male,K. Yasuda,Japan,lxyibh89lpdc0bfian1nx0xq,NaN,NaN,Midfielder,player,2005-03-05,Japan,lxyibh89lpdc0bfian1nx0xq,NaN,87.0,2025-01-08Z,active,yes,NaN,NaN,NaN,2025-06-30Z,NaN
8hynr44tgz4jkpwiczt8s4vtg,Wilson,Da Costa,Wilson,Da Costa,Male,W. Da Costa,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,2007-02-28,Belgium,4wbzjcclyefma1ourvjsu4q2j,right,52.0,2023-07-01Z,active,yes,NaN,NaN,NaN,NaN,NaN
8kw21fy1254ot6g7eyr6bqfx0,Alexander,Reumers,Alexander,Reumers,Male,A. Reumers,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,2007-07-27,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,2024-10-24Z,active,yes,NaN,NaN,NaN,NaN,NaN
8y6kxc66t4hurxuz4m4cm388a,Luca,Oyen,Luca,Oyen,Male,L. Oyen,Belgium,4wbzjcclyefma1ourvjsu4q2j,England,1fk5l4hkqk12i7zske6mcqju6,Attacker,player,2003-03-14,England,1fk5l4hkqk12i7zske6mcqju6,right,11.0,2023-03-30Z,active,yes,Nottingham,174.0,69.0,NaN,NaN
8z2zm731y204inomo2okndc7o,Juwensley,Onstein,Juwensley,Onstein,Male,J. Onstein,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Suriname,31vay1njxmbs7vtbfp1wo2dx1,Defender,player,2007-10-07,Netherlands,6hzi5pltnz67q4la8yli9qfv6,left,54.0,2023-10-07Z,active,yes,NaN,184.0,72.0,NaN,NaN
95vx1dz2leiona1k455atzwus,Thomas,Claes,Thomas,Claes,Male,T. Claes,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Midfielder,player,2004-03-26,Belgium,4wbzjcclyefma1ourvjsu4q2j,right,15.0,2022-07-01Z,active,yes,Bilzen,181.0,69.0,NaN,NaN
9hzgygrkjtinm526bolvcl5as,Saif Eddien,Lazar,Saif,Lazar,Male,S. Lazar,Belgium,4wbzjcclyefma1ourvjsu4q2j,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Attacker,player,2006-12-11,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,60.0,2024-03-07Z,active,yes,NaN,NaN,NaN,NaN,NaN
9kvegneav2ddt05dq1iqrjbx0,Michiel,Cauwel,Michiel,Cauwel,Male,M. Cauwel,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2007-03-12,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,62.0,2023-07-01Z,active,yes,NaN,181.0,65.0,NaN,NaN
