id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,foot,shirtNumber,status,active,weight,placeOfBirth,knownName
4utpi6ulxymm3729oqdmzbwlx,Zachary,Elbouzedi,Zachary,Elbouzedi,Male,Z. Elbouzedi,Republic of Ireland,63nepb66un7juhglo2g6rezcl,Libya,u42u510tspw3jy1ihkb3mdx9,Midfielder,player,1998-04-05,Republic of Ireland,63nepb66un7juhglo2g6rezcl,180.0,right,NaN,active,no,70.0,Dublin,NaN
5dxrx40pty4wtwdrd341p0aju,Omar,Faraj,Omar,Faraj,Male,Omar Faraj,Palestine,1iq272xbm8xx01hiu7thq4tgt,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,2002-03-09,Sweden,1z6l2c33w2kyz9rdefs1d68nb,182.0,right,9.0,active,no,65.0,Stockholm,Omar Faraj
5rbr8z5frgawr2ykcmcxbbluy,Fredrik Oscar Olle,Uddenäs,Oscar,Uddenäs,Male,O. Uddenäs,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Midfielder,player,2002-08-17,Sweden,1z6l2c33w2kyz9rdefs1d68nb,186.0,left,20.0,active,yes,75.0,NaN,NaN
5vgz6jl5m51sj4pcery9mr9w5,Henok,Goitom,Henok,Goitom,Male,H. Goitom,Eritrea,76fkjar42okgr6loos2xb6ka1,NaN,NaN,NaN,coach,1984-09-22,Sweden,1z6l2c33w2kyz9rdefs1d68nb,189.0,NaN,NaN,active,no,74.0,Stockholm,NaN
6utvjndbc0etrvdrul1oajdp0,Alexander,Fesshaie Beraki,Alexander,Fesshaie,Male,A. Fesshaie,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Eritrea,76fkjar42okgr6loos2xb6ka1,Attacker,player,2004-02-29,Sweden,1z6l2c33w2kyz9rdefs1d68nb,179.0,left,47.0,active,yes,67.0,Solna,NaN
7ilzuxacednarco5nrhwk18no,Emmanuel,Gono,Emmanuel,Gono,Male,E. Gono,Liberia,78fh41lat89a3xaqjqcdzb4ul,NaN,NaN,Attacker,player,2005-10-29,Liberia,78fh41lat89a3xaqjqcdzb4ul,NaN,NaN,31.0,active,yes,NaN,NaN,NaN
7repqxw3aug2xah0l2w27ls6h,Ioannis,Pittas,Ioannis,Pittas,Male,I. Pittas,Cyprus,3om8cj5nhmq1rzzkykubm5icj,NaN,NaN,Attacker,player,1996-07-10,Cyprus,3om8cj5nhmq1rzzkykubm5icj,180.0,right,28.0,active,yes,71.0,Limassol,NaN
99i96gbkvesmh3wspv8rl1ln9,Anton János,Jönsson Salétros,Anton,Salétros,Male,A. Salétros,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,Midfielder,player,1996-04-12,Sweden,1z6l2c33w2kyz9rdefs1d68nb,183.0,left,7.0,active,yes,71.0,Stockholm,NaN
9d2lz6x7uf5jfrc72bvrxfo45,Mikkjal,Kjartansson Thomassen,Mikkjal,Thomassen,Male,M. Thomassen,Faroe Islands,1glg6jsz6v1fkk8y9pq4fqjc4,NaN,NaN,NaN,coach,1976-01-12,Faroe Islands,1glg6jsz6v1fkk8y9pq4fqjc4,NaN,NaN,NaN,active,yes,NaN,NaN,NaN
9muh1tdherrq1qdoj2g4r9mfp,Martin,Skjelbreid Ellingsen,Martin,Ellingsen,Male,M. Ellingsen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,Midfielder,player,1995-05-04,Norway,7f16iy4w8u8ogyn6pfooqwv5z,180.0,left,6.0,active,yes,75.0,Elverum,NaN
9yb0exf35kl3avhdnlhv23glx,Benjamin,Tiedemann Hansen,Benjamin,Hansen,Male,B. Hansen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,Defender,player,1994-02-07,Denmark,5adf60vwiw2f2mibyq1k4ex7i,189.0,right,16.0,active,yes,73.0,Bogense,NaN
a0vo94v0vvnojrnvvscd7zp3p,Bo Kristoffer,Nordfeldt,Kristoffer,Nordfeldt,Male,K. Nordfeldt,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Goalkeeper,player,1989-06-23,Sweden,1z6l2c33w2kyz9rdefs1d68nb,190.0,right,15.0,active,yes,85.0,Stockholm,NaN
a0y5j0m5ax596rjqpbiizbwlx,Henning,Stille Berg,Henning,Berg,Male,H. Berg,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,coach,1969-09-01,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,active,no,NaN,Eidsvoll,NaN
b11ffe62rpm020r3u6t1lhvx1,Mads,Døhr Thychosen,Mads,Thychosen,Male,M. Thychosen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,Defender,player,1997-06-27,Denmark,5adf60vwiw2f2mibyq1k4ex7i,178.0,right,17.0,active,yes,65.0,Vejle,NaN
b5efwfrqbzdfknrjq3agklvdg,Taha,Ayari,Taha,Ayari,Male,T. Ayari,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Tunisia,2um1icx6ftp1auliaxyw0ou6y,Midfielder,player,2005-05-10,Sweden,1z6l2c33w2kyz9rdefs1d68nb,177.0,right,45.0,active,yes,70.0,Solna,NaN
bdb1xrhi8k9munhdb0s2jnl78,Erik Linus Mikael,Järeteg,Linus,Järeteg,Male,L. Järeteg,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Midfielder,player,2007-01-20,Sweden,1z6l2c33w2kyz9rdefs1d68nb,186.0,right,44.0,active,yes,71.0,NaN,NaN
cwkz9uxtres4bockr3spd4hxx,Sotirios,Papagiannopoulos,Sotirios,Papagiannopoulos,Male,S. Papagiannopoulos,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Greece,6lpgd60z890no2v46zdecrcss,Defender,player,1990-09-05,Sweden,1z6l2c33w2kyz9rdefs1d68nb,190.0,right,4.0,active,yes,82.0,Stockholm,NaN
dsw7clrtv93nkdnppqhfm1n9,Ismaël,Diarra Diawara,Ismaël,Diawara,Male,I. Diawara,Mali,d0v29nncgikdswlxpdq553zz,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Goalkeeper,player,1994-11-11,Sweden,1z6l2c33w2kyz9rdefs1d68nb,194.0,right,30.0,active,yes,97.0,Örebro,NaN
e3ked0g7shh0wf1owzzv5bkl,Goran Alexander,Sjöström Milošević,Alexander,Milosevic,Male,A. Milošević,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Defender,player,1992-01-30,Sweden,1z6l2c33w2kyz9rdefs1d68nb,191.0,right,5.0,active,yes,82.0,Solna,NaN
e84dr2r960xnwxwj7tnp1250,Aaron Gabriel,Stoch Rydell,Aaron,Stoch Rydell,Male,A. Stoch Rydell,Sweden,1z6l2c33w2kyz9rdefs1d68nb,South Africa,1kiwby3xmt97m3ejw76qs4i6k,Attacker,player,2006-10-14,Sweden,1z6l2c33w2kyz9rdefs1d68nb,172.0,right,14.0,active,no,NaN,Stockholm,NaN
eqfhoh81e8uj2as95ev3yfnx1,Thomas Mattias,Poppler Isherwood,Thomas,Isherwood,Male,T. Isherwood,Sweden,1z6l2c33w2kyz9rdefs1d68nb,England,1fk5l4hkqk12i7zske6mcqju6,Defender,player,1998-01-28,Sweden,1z6l2c33w2kyz9rdefs1d68nb,195.0,left,3.0,active,yes,87.0,Stockholm,NaN
eyqeg6wzhjibkt4zs5dfgzc9h,Dino,Beširović,Dino,Besirovic,Male,D. Beširović,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Portugal,1nbm5i9a0403zzvltn17lxinc,Midfielder,player,1994-01-31,Portugal,1nbm5i9a0403zzvltn17lxinc,179.0,left,19.0,active,yes,75.0,Viseu,NaN
prvbf3gxwflgzxuvgvb7ls5x,Bersant,Celina,Bersant,Celina,Male,B. Celina,Kosovo,86u6edbqifdjsn49mbp2anw7p,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1996-09-09,Kosovo,86u6edbqifdjsn49mbp2anw7p,181.0,right,10.0,active,yes,60.0,Prizren,NaN
reelt18o0lhvy8vl8h33glpl,Axel Erik Gustaf,Björnström,Axel,Björnström,Male,A. Björnström,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Defender,player,1995-09-10,Sweden,1z6l2c33w2kyz9rdefs1d68nb,176.0,left,12.0,active,yes,68.0,Danderyd,NaN
17jltcnnaha4707duh52hirit,Marius,Lode,Marius,Lode,Male,M. Lode,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,Defender,player,1993-03-11,Norway,7f16iy4w8u8ogyn6pfooqwv5z,185.0,right,4.0,active,yes,77.0,Kvernaland,NaN
27ypnvptkg2clhkg6h69pklck,Albin,Gashi,Albin,Gashi,Male,A. Gashi,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Kosovo,86u6edbqifdjsn49mbp2anw7p,Defender,player,2006-06-15,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,right,31.0,active,yes,NaN,NaN,NaN
2bvnh0qssa1kopt75lgwguuj8,Semir,Bosnić,Semir,Bosnic,Male,S. Bosnić,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Midfielder,player,2004-07-06,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,left,NaN,active,no,NaN,NaN,NaN
3durmgxmp7tzxsr234mlhot1,Simon,Gustafson,Simon,Gustafson,Male,S. Gustafson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Midfielder,player,1995-01-11,Sweden,1z6l2c33w2kyz9rdefs1d68nb,185.0,left,14.0,active,yes,80.0,Mölndal,NaN
3k9t74k0qctv5qvmkbcxwtoet,Per Johan Gustav,Hammar,Johan,Hammar,Male,J. Hammar,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Defender,player,1994-02-22,Sweden,1z6l2c33w2kyz9rdefs1d68nb,197.0,right,3.0,active,yes,84.0,Malmö,NaN
3ks6pxe94hk9l4q46do2c628l,Adam Stefan,Lundkvist,Adam,Lundkvist,Male,A. Lundkvist,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Defender,player,1994-03-20,Sweden,1z6l2c33w2kyz9rdefs1d68nb,175.0,left,21.0,active,yes,65.0,Nyköping,NaN
4iguik2n53ywq82altuqoouwa,Jörgen Julius,Lindberg,Julius,Lindberg,Male,J. Lindberg,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Attacker,player,1999-01-04,Sweden,1z6l2c33w2kyz9rdefs1d68nb,182.0,right,11.0,active,yes,71.0,NaN,NaN
4q4btg1esk6k8aga2mtoshixg,Joop,Oosterveld,Joop,Oosterveld,Male,J. Oosterveld,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,coach,1985-11-21,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,active,yes,NaN,NaN,NaN
504qkt70jvof5yzffmwwo5c5x,Jacob,Barrett Laursen,Jacob,Laursen,Male,J. Laursen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,Defender,player,1994-11-17,Denmark,5adf60vwiw2f2mibyq1k4ex7i,179.0,left,7.0,active,yes,76.0,Arden,NaN
50xax4sqxz9mbfney5xxi47pw,Harry Joachim,Hilvenius,Harry,Hilvenius,Male,H. Hilvenius,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Defender,player,2007-10-06,Sweden,1z6l2c33w2kyz9rdefs1d68nb,185.0,NaN,NaN,active,yes,NaN,NaN,NaN
5a7j1ahm9tqgzqie4kiakkljo,Joel,Hjalmar,Joel,Hjalmar,Male,J. Hjalmar,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Midfielder,player,2005-06-28,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,NaN,active,yes,NaN,NaN,NaN
5sobeblelb6fl7aafw833iwwk,Nikola,Zečević,Nikola,Zecevic,Male,N. Zečević,Serbia,5w4ve503bjdsshwx9ho6jxzx0,NaN,NaN,Defender,player,2004-06-16,Serbia,5w4ve503bjdsshwx9ho6jxzx0,192.0,right,22.0,active,yes,78.0,NaN,NaN
5vht8haofl4093sc577yx2lii,Filip,Trpcevski,Filip,Trpcevski,Male,F. Trpcevski,North Macedonia,1lesyxylc5eza0a4z87t9azcc,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,2003-05-04,Sweden,1z6l2c33w2kyz9rdefs1d68nb,183.0,right,20.0,active,no,66.0,Göteborg,NaN
5xbrybr5fxvg6br9b6tq4a4fd,Lars,Olden Larsen,Lars,Olden Larsen,Male,L. Olden Larsen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,Attacker,player,1998-09-17,Norway,7f16iy4w8u8ogyn6pfooqwv5z,175.0,right,8.0,active,yes,74.0,Oslo,NaN
64m66igcqedopml1uczlh3fh0,Jeremy,Nosakhare Agbonifo,Jeremy,Agbonifo,Male,J. Agbonifo,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2005-10-24,Sweden,1z6l2c33w2kyz9rdefs1d68nb,178.0,left,23.0,active,yes,68.0,NaN,NaN
6lykrd3hzedl7xljr167gow5x,Simon Christer,Sandberg,Simon,Sandberg,Male,S. Sandberg,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Defender,player,1994-03-25,Sweden,1z6l2c33w2kyz9rdefs1d68nb,186.0,right,13.0,active,no,77.0,NaN,NaN
6pnws0618dfug6udvka4wv9m2,Ishaq,Abdulrazak,Ishaq,Abdulrazak,Male,I. Abdulrazak,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN,Midfielder,player,2002-05-05,Nigeria,63pvdwrsiq5b07mzi8igqei9p,175.0,right,8.0,active,no,74.0,NaN,NaN
780mdhlnrheqczv6o7p5l8hzo,Pontus Bror Harry,Dahbo,Pontus,Dahbo,Male,P. Dahbo,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Midfielder,player,2005-10-11,Sweden,1z6l2c33w2kyz9rdefs1d68nb,185.0,left,16.0,active,yes,78.0,NaN,NaN
7sez5w47trh4xnngir0epzl04,Sigge,Skorpan Jansson,Sigge,Jansson,Male,S. Jansson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Midfielder,player,2005-11-10,Sweden,1z6l2c33w2kyz9rdefs1d68nb,184.0,right,35.0,active,yes,70.0,Göteborg,NaN
87cds2pw8n5bacxfbits3kk5w,Akoua Romeo,Amané,Romeo,Amané,Male,R. Amané,Côte d'Ivoire,tin6kf561ywonqan0mettr98,NaN,NaN,Midfielder,player,2003-02-20,Côte d'Ivoire,tin6kf561ywonqan0mettr98,169.0,right,27.0,active,yes,72.0,NaN,NaN
8h3bvutmlonik1denpuue6hw4,Noah August,Ek,NaN,NaN,Male,N. Ek,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Defender,player,2006-03-21,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,left,NaN,active,yes,NaN,NaN,NaN
8k4fw4zak03as07nwf1kiktuc,Severin,Nioule,Severin,Nioule,Male,S. Nioule,Côte d'Ivoire,tin6kf561ywonqan0mettr98,NaN,NaN,Attacker,player,2005-03-03,Côte d'Ivoire,tin6kf561ywonqan0mettr98,175.0,right,34.0,active,yes,70.0,NaN,NaN
8kkbwlif9496fekfraadrws9g,Filip Olov,Öhman,Filip,Öhman,Male,F. Öhman,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Defender,player,2008-01-26,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,40.0,active,yes,NaN,NaN,NaN
8unnvgvft6knxupbp9oxh621h,Even,Hovland,Even,Hovland,Male,E. Hovland,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,Defender,player,1989-02-14,Norway,7f16iy4w8u8ogyn6pfooqwv5z,191.0,right,5.0,active,yes,90.0,Vadheim,NaN
9l9q0mke2dk7pwbzlfqixmcmi,Zeidane,Inoussa,Zeidane,Inoussa,Male,Z. Inoussa,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Benin,3o5wco7tkqgfmys9exmt5fo2h,Attacker,player,2002-05-13,Sweden,1z6l2c33w2kyz9rdefs1d68nb,177.0,right,28.0,active,yes,67.0,Hasselby,NaN
acredwjpf6ou0mdqx2cpxm4no,Isak Oliver,Brusberg,Isak,Brusberg,Male,I. Brusberg,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Midfielder,player,2006-09-05,Sweden,1z6l2c33w2kyz9rdefs1d68nb,188.0,right,39.0,active,yes,78.0,Göteborg,NaN
ah01wimesmr2z3ngqdeme6k15,Karl Axel,Lindahl,Axel,Lindahl,Male,A. Lindahl,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Defender,player,1995-04-04,Sweden,1z6l2c33w2kyz9rdefs1d68nb,180.0,right,6.0,active,yes,70.0,NaN,NaN
bar5tlyxm2vim2ewqauywgb85,Mikkel,Rygaard Jensen,Mikkel,Rygaard,Male,M. Rygaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,Midfielder,player,1990-12-25,Denmark,5adf60vwiw2f2mibyq1k4ex7i,176.0,left,18.0,active,yes,69.0,Nykøbing Falster,NaN
bcscjb9jdgu4ims9n3vwuj5k9,Edward,Chilufya Jr.,Edward,Chilufya,Male,E. Chilufya,Zambia,2dlu3zrfid7nl6ppmb04hjgot,NaN,NaN,Attacker,player,1999-09-17,Zambia,2dlu3zrfid7nl6ppmb04hjgot,171.0,right,17.0,active,no,65.0,Kasama,NaN
bg1zjztifk2i5yikpyi9yaycq,Pål Arne,Johansen,Paco,Johansen,Male,P. Johansen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,coach,1977-02-16,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,active,no,NaN,NaN,NaN
bo0puimv2753na0g6mh2cd6hg,Sebastian Ivan,Banožić,Sebastian,Banozic,Male,S. Banožić,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Goalkeeper,player,2003-07-17,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,NaN,active,no,NaN,NaN,NaN
c3okou4sh3r5i7mei6lpjks4q,Ben Mikael,Engdahl,Ben,Engdahl,Male,B. Engdahl,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Defender,player,2003-09-17,Sweden,1z6l2c33w2kyz9rdefs1d68nb,179.0,right,NaN,active,no,69.0,NaN,NaN
d69z6vl1wfbge2lc46b3skv3e,Ali Ben Safouane,Youssef,Ali,Youssef,Male,A. Youssef,Tunisia,2um1icx6ftp1auliaxyw0ou6y,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,2000-08-05,Sweden,1z6l2c33w2kyz9rdefs1d68nb,182.0,left,10.0,active,yes,74.0,NaN,NaN
dmj5oe18blqnxozkfd8q5myfp,Amor Yonas,Layouni,Amor,Layouni,Male,A. Layouni,Tunisia,2um1icx6ftp1auliaxyw0ou6y,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,1992-10-03,Sweden,1z6l2c33w2kyz9rdefs1d68nb,191.0,left,24.0,active,yes,81.0,Falun,NaN
e8s9kg55x4npvg6tkuwe5wj6c,John Paul,Dembe,John Paul,Dembe,Male,J. Dembe,Uganda,1j6yonplolalz6goyopv7xd1k,NaN,NaN,Attacker,player,2005-07-03,Uganda,1j6yonplolalz6goyopv7xd1k,NaN,NaN,33.0,active,yes,NaN,NaN,NaN
eacqkvqbdrk7h93nzhwk0jff9,Blair Sebastian,Turgott,Blair,Turgott,Male,B. Turgott,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,England,1fk5l4hkqk12i7zske6mcqju6,Attacker,player,1994-05-22,England,1fk5l4hkqk12i7zske6mcqju6,183.0,right,20.0,active,no,65.0,London,NaN
ena92ro3qpi2wgbzznu4xc4fe,Valgeir,Lunddal Friðriksson,Valgeir,Lunddal Fridriksson,Male,V. Lunddal Friðriksson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,NaN,Defender,player,2001-09-24,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,191.0,right,12.0,active,no,82.0,NaN,NaN
epnkff9nsysx1eyh90muhmvl6,Srđan,Hrstić,Srdan,Hrstic,Male,S. Hrstić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,Croatia,37hlakrwxyuzovaeoo4sezusp,Attacker,player,2003-07-18,Serbia,5w4ve503bjdsshwx9ho6jxzx0,192.0,right,19.0,active,yes,75.0,Sombor,NaN
eq9x5pboy1dehdauroonsw3c9,Samuel Ruben,Leach Holm,Samuel,Leach Holm,Male,S. Leach Holm,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Israel,4bnqn6mt5vyslpxfuqdrcmpgp,Midfielder,player,1997-10-09,Sweden,1z6l2c33w2kyz9rdefs1d68nb,184.0,right,15.0,active,yes,75.0,NaN,NaN
eydu7p01ud08kscyaav4aaok5,Peter Anders,Abrahamsson,Peter,Abrahamsson,Male,P. Abrahamsson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Goalkeeper,player,1988-07-18,Sweden,1z6l2c33w2kyz9rdefs1d68nb,190.0,right,26.0,active,yes,90.0,Göteborg,NaN
xtbkmjbqwop0n2jvmnovidp1,Andreas Christopher,Linde,Andreas,Linde,Male,A. Linde,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,Goalkeeper,player,1993-07-24,Sweden,1z6l2c33w2kyz9rdefs1d68nb,196.0,right,32.0,active,yes,93.0,Rydebäck,NaN
1ec9qpe8l4y8nx0y9eww6ifh1,Thomas Olof,Lagerlöf,Thomas,Lagerlöf,Male,T. Lagerlöf,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,NaN,coach,1971-11-15,Sweden,1z6l2c33w2kyz9rdefs1d68nb,182.0,NaN,NaN,active,no,NaN,NaN,NaN
