id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,foot,shirtNumber,status,active,weight,placeOfBirth,secondNationality,secondNationalityId,knownName
a6ymx4wkrn260rtpb360nsiqd,Mikkel,Kallesøe Andreasen,Mikkel,Kallesøe,Male,M. Kallesøe,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1997-04-20,Denmark,5adf60vwiw2f2mibyq1k4ex7i,193.0,right,25.0,active,yes,80.0,Lemvig,NaN,NaN,NaN
aomjkj5s52jkzgk3ljsz0osiy,Emanuel,Perez,Manny,Perez,Male,E. Perez,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1999-02-19,USA,7hr2f89v44y65dyu9k92vprwn,183.0,NaN,3.0,active,no,73.0,Garner,Mexico,5trdr3jf42i20zj1hnkvcytr6,NaN
b9g3gwxlao9u6y4elz1sdukmh,Elijah Henry,Just,Elijah,Just,Male,E. Just,New Zealand,wcq2y28a27syx5do1k2i2nj8,Midfielder,player,2000-05-01,New Zealand,wcq2y28a27syx5do1k2i2nj8,174.0,right,27.0,active,yes,68.0,Palmerston North,NaN,NaN,NaN
bdz03qovxerzrv12lgljae1p0,Christ,Tapé,Christ,Tapé,Male,C. Tapé,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,player,2006-03-02,Côte d'Ivoire,tin6kf561ywonqan0mettr98,NaN,NaN,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
c1p51x3fg0dgss14z9vozfqc4,Anton Noah Christian,Ekeroth,Anton,Ekeroth,Male,A. Ekeroth,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,2001-09-16,Sweden,1z6l2c33w2kyz9rdefs1d68nb,NaN,NaN,12.0,active,no,NaN,NaN,NaN,NaN,NaN
cl4xl80n4gew1ox03r3ooshrd,Oliver,Kjærgaard,Oliver,Kjærgaard,Male,O. Kjærgaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1998-07-11,Denmark,5adf60vwiw2f2mibyq1k4ex7i,184.0,NaN,NaN,active,yes,76.0,NaN,NaN,NaN,NaN
cphvg2nexeks2vwd2ezb4zuok,Odilon Bryan,Me Atowoula Kouassi,Odilon,Kouassi,Male,O. Kouassi,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Midfielder,player,2005-10-13,Côte d'Ivoire,tin6kf561ywonqan0mettr98,187.0,NaN,8.0,active,yes,NaN,NaN,NaN,NaN,NaN
cqsc3mj8klukkgutdrpegybdg,Kwaku,Karikari,NaN,NaN,Male,K. Karikari,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,2002-03-25,Ghana,2q2sw72utw5gu9t5y4knckwba,NaN,NaN,21.0,active,yes,NaN,NaN,NaN,NaN,NaN
dsfbfzwy3c06mu50ee89qrbsa,Marinus Frederik,Løvgren Larsen,Marinus,Larsen,Male,M. Larsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2003-12-30,Denmark,5adf60vwiw2f2mibyq1k4ex7i,169.0,right,19.0,active,yes,63.0,NaN,NaN,NaN,NaN
e2157naqwp1qdsgaxre307cb8,Hjalte,Toftegaard,Hjalte,Toftegaard,Male,H. Toftegaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2006-06-25,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,23.0,active,yes,NaN,NaN,NaN,NaN,NaN
eso2tbbpnxu9qvx6zy07m5jx0,Julius,Madsen,NaN,NaN,Male,J. Madsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2003-08-01,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,14.0,active,yes,NaN,Næstved,NaN,NaN,NaN
2il3e76bk2e6mro0yrbzsa9ec,Kim,Engstrøm,NaN,NaN,Male,K. Engstrøm,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,coach,1979-10-29,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
2k5289tevc2gxo04i83io5a3u,Emil,Rosberg Møller,Emil,Møller,Male,E. Møller,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2004-05-31,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,24.0,active,yes,NaN,NaN,NaN,NaN,NaN
2uellcocrvapu7o70g5zdcmad,Jacob,Egeris Pedersen,NaN,NaN,Male,J. Egeris,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1990-05-19,Mexico,5trdr3jf42i20zj1hnkvcytr6,188.0,right,5.0,active,yes,83.0,Ixtlan,NaN,NaN,NaN
38shfw53eg5qtvem3d3ou04r8,Ruben,Stabell Minerba,NaN,NaN,Male,R. Minerba,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2005-05-02,Denmark,5adf60vwiw2f2mibyq1k4ex7i,187.0,right,23.0,active,yes,NaN,NaN,NaN,NaN,NaN
4a0jmv6qmwn01iuqp1mhnyzth,Nicolaj,Thomsen,Nicolaj,Thomsen,Male,N. Thomsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1993-05-08,Denmark,5adf60vwiw2f2mibyq1k4ex7i,180.0,right,27.0,active,yes,75.0,Skagen,NaN,NaN,NaN
5u9zrgsm6wycfcbk04m64wd1w,Niels Henrik,Melsæther Morberg,NaN,NaN,Male,N. Morberg,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2001-02-20,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,6.0,active,yes,NaN,NaN,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN
6dki65mdd3letfjjj51i0w3c9,Andreas,Heimer Hansen,Andreas,Heimer Hansen,Male,A. Heimer,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1997-12-10,Denmark,5adf60vwiw2f2mibyq1k4ex7i,183.0,NaN,20.0,active,yes,75.0,København,NaN,NaN,NaN
6g671k5lvgoo2bgub2516q1w4,Ludvig,Fagersted Henriksen,NaN,NaN,Male,L. Henriksen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2001-11-23,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,2.0,active,yes,NaN,NaN,NaN,NaN,NaN
6otr0cifkk9jbmxc2ew2spka,Ahmed,Daghim,Ahmed,Daghim,Male,Ahmed Daghim,Palestine,1iq272xbm8xx01hiu7thq4tgt,Midfielder,player,2001-04-07,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,right,7.0,active,yes,NaN,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN
7kpojg6qp0943wdweelu6w9hw,Dino,Alijagic,NaN,NaN,Male,D. Alijagic,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2007-03-18,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,29.0,active,yes,NaN,NaN,NaN,NaN,NaN
86mx27krl6c613x6e3t9g3cic,Fisnik,Isaki,Fisnik,Isaki,Male,F. Isaki,North Macedonia,1lesyxylc5eza0a4z87t9azcc,Midfielder,player,2003-04-27,Denmark,5adf60vwiw2f2mibyq1k4ex7i,178.0,left,18.0,active,yes,68.0,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN
8i0o1b8rjsab9se3v6vteqmfo,Chukwuemeka Paul,Nnamani,Chukwuemeka,Nnamani,Male,E. Nnamani,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2001-11-04,Denmark,5adf60vwiw2f2mibyq1k4ex7i,183.0,both,11.0,active,yes,NaN,Rødovre,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Emeka
8xe0fufxfgf5cuwgysz3r2j85,Emil,Nørmark Christensen,NaN,NaN,Male,E. Christensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1997-07-10,Denmark,5adf60vwiw2f2mibyq1k4ex7i,190.0,NaN,28.0,active,yes,83.0,NaN,NaN,NaN,NaN
8xfqengyrwgxhhi86ok88vf2s,Magnus,Bøttker,Magnus,Bøttker,Male,M. Bøttker,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2004-08-11,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,26.0,active,yes,NaN,NaN,NaN,NaN,NaN
9213debwtuph6cjborx73sx78,Osvald Gabriel,Søe,NaN,NaN,Male,O. Søe,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2005-11-05,Denmark,5adf60vwiw2f2mibyq1k4ex7i,187.0,NaN,12.0,active,yes,NaN,NaN,NaN,NaN,NaN
9y3vs6l0mjj38z0kw062jlh3p,Aris Nikolaos,Halling Vaporakis,Aris,Vaporakis,Male,A. Vaporakis,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,1995-01-06,Denmark,5adf60vwiw2f2mibyq1k4ex7i,184.0,NaN,1.0,active,yes,77.0,NaN,NaN,NaN,NaN
a0i74nqik3lbi02ngno0m0ys4,Abdullah,Iqbal,Abdullah,Iqbal,Male,Abdullah Iqbal,Pakistan,4pjfgdjadjcfgts4nljt6mh0s,Defender,player,2002-07-27,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,4.0,active,no,NaN,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Abdullah Iqbal
ab3nxxoj7bxlnhot9htoex1xw,Gustav,Højbjerg,NaN,NaN,Male,G. Højbjerg,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2003-12-03,Denmark,5adf60vwiw2f2mibyq1k4ex7i,187.0,left,21.0,active,yes,NaN,NaN,NaN,NaN,NaN
as7qhgi67gngq0nb3zmwg8jro,Sebastian,Senna Clemmensen,NaN,NaN,Male,S. Clemmensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2003-09-01,Denmark,5adf60vwiw2f2mibyq1k4ex7i,179.0,left,10.0,active,yes,70.0,NaN,Togo,3jiuckrqd0zejkm452st5dyq7,NaN
b2gkyjq8emj9pywryc3rycogl,Michael Aksel,Bataican Falkesgaard,Michael,Falkesgaard,Male,M. Falkesgaard,Philippines,2bn52u7dpgfatwqumx224cczx,Goalkeeper,player,1991-04-09,Denmark,5adf60vwiw2f2mibyq1k4ex7i,191.0,right,13.0,active,yes,81.0,NaN,NaN,NaN,NaN
dja68kdmhtsm9x5zqzgtpqas4,Tobias,Vedel Blidegn,NaN,NaN,Male,T. Blidegn,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2005-03-08,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,16.0,active,yes,NaN,NaN,NaN,NaN,NaN
dme4jqo3w3abg6z0vt1gnkpp0,Danis,Faljic,NaN,NaN,Male,D. Faljic,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2007-04-12,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
e8vt8711wb40afht2v13omket,Mikkel,Wohlgemuth,Mikkel,Wohlgemuth,Male,M. Wohlgemuth,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1995-06-04,Denmark,5adf60vwiw2f2mibyq1k4ex7i,179.0,right,14.0,active,yes,75.0,NaN,NaN,NaN,NaN
erb2xg622lfmo3jp5lgwcsrh0,Elias Buch,Idrissi,NaN,NaN,Male,E. Idrissi,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
eyvv6b94feknnp1uew6n0ytat,Nicklas Mouritz,Mouritsen,Nicklas,Mouritsen,Male,N. Mouritsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1995-03-15,Denmark,5adf60vwiw2f2mibyq1k4ex7i,180.0,left,3.0,active,yes,73.0,København,NaN,NaN,NaN
ezbixgm2km8iapnsl57bn4wkp,Mikkel,Mouritz Jensen,NaN,NaN,Male,M. Mouritz,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1997-01-22,Denmark,5adf60vwiw2f2mibyq1k4ex7i,176.0,NaN,8.0,active,yes,NaN,NaN,NaN,NaN,NaN
kqj7nh6pqmqbt0abyyu0fcpg,Osman Abdulkadir,Addo,NaN,NaN,Male,O. Addo,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2004-03-31,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,right,22.0,active,yes,NaN,NaN,NaN,NaN,NaN
zpl7lyln792rt0b2oedamvbo,Jonathan,Mathys,NaN,NaN,Male,J. Mathys,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2004-01-08,Denmark,5adf60vwiw2f2mibyq1k4ex7i,185.0,right,9.0,active,yes,NaN,NaN,NaN,NaN,NaN
15jis83lol1yvu17js2m0g8b8,Oliver,Svendsen,Oliver,Svendsen,Male,O. Svendsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2004-01-08,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,3.0,active,yes,NaN,NaN,NaN,NaN,NaN
15yli690oxmbr4dl1ksti2p9m,Mikail,Maden,Mikail,Maden,Male,M. Maden,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2002-01-17,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,8.0,active,yes,NaN,NaN,NaN,NaN,NaN
1se7wkenvs4elrapvdw9mdnje,Leonel,Dahl Montano,Leonel,Montano,Male,L. Montano,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1999-10-02,Denmark,5adf60vwiw2f2mibyq1k4ex7i,190.0,left,21.0,active,yes,NaN,NaN,Colombia,6kby8rq1p01fg5ds38ckkrcs5,NaN
2zp6y48cwwnk82pmqmvs5qxgp,Lars Lungi,Sørensen,NaN,NaN,Male,L. Sørensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,coach,1969-05-04,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,NaN,active,yes,NaN,NaN,NaN,NaN,NaN
3409nwopzba99bytmeg62h3is,Emel,Omerović,NaN,NaN,Male,E. Omerović,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Defender,player,2006-03-09,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN,right,NaN,active,yes,NaN,NaN,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN
37mo55lynu3blqnb8k9ln8k16,Patrick,Lindholm Tjørnelund,Patrick,Tjørnelund,Male,P. Tjørnelund,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2002-04-05,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,4.0,active,yes,NaN,NaN,NaN,NaN,NaN
3pgcuwxh1p5b4t4wxm0ofahhw,Mads,Svane,NaN,NaN,Male,M. Svane,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2006-05-11,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,31.0,active,yes,NaN,NaN,NaN,NaN,NaN
45bcgucg627rhrdgt8tn9hd9m,Kasper,Thiesson Kristensen,Kasper,Kristensen,Male,K. Kristensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,1999-08-04,Denmark,5adf60vwiw2f2mibyq1k4ex7i,191.0,right,16.0,active,yes,75.0,Aarhus,NaN,NaN,NaN
46nx0rm8sod6bbo4a3d7g6jv8,Elias Valentin,Andersen,NaN,NaN,Male,E. Andersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2005-02-22,Denmark,5adf60vwiw2f2mibyq1k4ex7i,189.0,NaN,39.0,active,yes,NaN,NaN,NaN,NaN,NaN
4jve632xnmqujh4ioaxpaovai,Tim,Freriks,Tim,Freriks,Male,T. Freriks,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,1998-10-02,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,14.0,active,yes,NaN,NaN,NaN,NaN,NaN
4tmufy48y5xskoe0yqcj9xa1g,Emil,Jørgensen,NaN,NaN,Male,E. Jørgensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2004-04-21,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,34.0,active,yes,NaN,NaN,NaN,NaN,NaN
4yyiv4t6irqpeayug5qgvmkmh,Benjamin,Steenfeldt Hvidt,Benjamin,Hvidt,Male,B. Hvidt,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2000-03-12,Denmark,5adf60vwiw2f2mibyq1k4ex7i,184.0,right,22.0,active,yes,80.0,Aarhus,NaN,NaN,NaN
6hmsrr08cllpl4iumu92zskbt,Lucas,Skjoldberg From,NaN,NaN,Male,L. From,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,1999-05-22,Denmark,5adf60vwiw2f2mibyq1k4ex7i,185.0,right,7.0,active,yes,NaN,NaN,NaN,NaN,NaN
7fkc01xxyl1trj3uav134ehyi,Daniel,Gadegaard Andersen,Daniel,Gadegaard Andersen,Male,D. Gadegaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2001-05-31,Denmark,5adf60vwiw2f2mibyq1k4ex7i,191.0,NaN,1.0,active,yes,80.0,NaN,NaN,NaN,NaN
7wo1hk736v1xhovvu2t2trw89,Yacine,Bourhane,Yacine,Bourhane,Male,Y. Bourhane,Comoros,40fy8dkxp9lwfufwmbnctzlz6,Midfielder,player,1998-09-30,France,7gww28djs405rfga69smki84o,184.0,left,10.0,active,yes,74.0,Noisy-le-Grand,France,7gww28djs405rfga69smki84o,NaN
839pm7rmjp6q1bt52f7ek9vys,Johan,Meyer,Johan,Meyer,Male,J. Meyer,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2004-01-05,Denmark,5adf60vwiw2f2mibyq1k4ex7i,192.0,right,NaN,active,yes,NaN,Hillerød,NaN,NaN,NaN
98mkoolgahktzky97y0khdq1g,Frederik,Strømdahl Flaskager,Frederik,Flaskager,Male,F. Flaskager,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2005-01-29,Denmark,5adf60vwiw2f2mibyq1k4ex7i,178.0,NaN,26.0,active,yes,74.0,NaN,NaN,NaN,NaN
