id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,secondNationality,secondNationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,height,foot,startDate,endDate,status,active,placeOfBirth,weight,knownName,shirtNumber
68cytkmr0pbj0gy6xm5xxwefo,Rico,Speksnijder,Rico,Speksnijder,Male,R. Speksnijder,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Midfielder,player,2005-02-23,Netherlands,6hzi5pltnz67q4la8yli9qfv6,175.0,left,2023-08-24Z,2025-06-30Z,active,no,Gouda,64.0,NaN,NaN
68hoounwudpjrr2wmovkyvswk,Tom,de Graaff,Tom,de Graaff,Male,T. de Graaff,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Goalkeeper,player,2004-12-10,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,left,2021-11-01Z,2024-06-24Z,active,no,Amsterdam,74.0,NaN,NaN
70h2g33o2w7f32dtx76wji99m,Gastón Luciano,Ávila,Gastón,Ávila,Male,G. Ávila,Argentina,2vovxa97k7v7ofa85dah2xktb,NaN,NaN,Defender,player,2001-09-30,Argentina,2vovxa97k7v7ofa85dah2xktb,182.0,left,2023-11-25Z,2023-12-31Z,active,no,Rosario,80.0,NaN,NaN
71yzjw5c6ng7bs4raygfxyzo4,Dave,Vos,Dave,Vos,Male,D. Vos,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,coach,1983-04-24,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,2023-10-30Z,2024-06-30Z,active,no,NaN,NaN,NaN,NaN
7d8a2cp7xza48arxctlpqrvh0,Diyae-Eddine,Jermoumi,Diyae-Eddine,Jermoumi,Male,D. Jermoumi,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2004-07-19,Netherlands,6hzi5pltnz67q4la8yli9qfv6,174.0,right,2022-01-09Z,2025-06-30Z,active,no,Leiden,65.0,NaN,NaN
80i3boeh7f1ghu4ka7r66izje,Christian Theodor,Kjelder Rasmussen,Christian,Rasmussen,Male,C. Rasmussen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,NaN,Attacker,player,2003-01-19,Denmark,5adf60vwiw2f2mibyq1k4ex7i,184.0,left,2020-08-29Z,2023-09-01Z,active,no,Lyngby,75.0,NaN,NaN
8zzjxnppg44txae0mcs6r1ega,Carlos Roberto,Forbs Borges,Carlos Roberto,Forbs Borges,Male,Carlos Forbs,Portugal,1nbm5i9a0403zzvltn17lxinc,Guinea-Bissau,5ikz7810612v7a6l5u6gxa6vm,Attacker,player,2004-03-19,Portugal,1nbm5i9a0403zzvltn17lxinc,169.0,left,2024-04-07Z,2024-06-30Z,active,no,NaN,62.0,Carlos Forbs,NaN
93htnzl434o9vayt4suhs66fo,Kayden,Santana Wolff,Kayden,Wolff,Male,K. Wolff,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Suriname,31vay1njxmbs7vtbfp1wo2dx1,Attacker,player,2006-06-19,Netherlands,6hzi5pltnz67q4la8yli9qfv6,186.0,right,2023-07-01Z,NaN,active,yes,Almere,NaN,NaN,NaN
98uas866f1r5b1osurebqnj10,Luca,Messori,Luca,Messori,Male,L. Messori,Italy,25f2cmb2r8mk5rj92tzer6kvv,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2007-10-25,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,right,2024-05-09Z,NaN,active,yes,Modena,NaN,NaN,NaN
9nix5y8xcj34ps62r34udtqwa,Kristian Nökkvi,Hlynsson,Kristian,Hlynsson,Male,K. Hlynsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2004-01-23,Denmark,5adf60vwiw2f2mibyq1k4ex7i,179.0,right,2020-12-06Z,2025-01-31Z,active,no,Odense,72.0,NaN,NaN
9pox9siobczxr9fv3fvvx3h1w,Silvano Cliff Robbie,Vos,Silvano,Vos,Male,S. Vos,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Suriname,31vay1njxmbs7vtbfp1wo2dx1,Midfielder,player,2005-03-16,Netherlands,6hzi5pltnz67q4la8yli9qfv6,189.0,right,2022-02-03Z,2024-08-30Z,active,no,Amsterdam,72.0,NaN,NaN
9v212zfspaz9cmswudro21ous,Oualid,Agougil,Oualid,Agougil,Male,O. Agougil,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Midfielder,player,2005-08-07,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,left,2022-12-10Z,2024-06-30Z,active,no,NaN,NaN,NaN,NaN
a63ez4ov40p2xkdsi0otez2s,Julian Dean,Rijkhoff,Julian,Rijkhoff,Male,J. Rijkhoff,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Attacker,player,2005-01-25,Netherlands,6hzi5pltnz67q4la8yli9qfv6,183.0,right,2024-02-01Z,2025-06-23Z,active,no,Purmerend,NaN,NaN,NaN
a7vlgirln231n3dqjhb72o0es,Olivier,Aertssen,Olivier,Aertssen,Male,O. Aertssen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Defender,player,2004-08-07,Netherlands,6hzi5pltnz67q4la8yli9qfv6,183.0,both,2022-01-01Z,2024-08-26Z,active,no,Veldhoven,76.0,NaN,NaN
a9gc0gd5320jvh6x3ct7vuvis,Julian Christiaan,Brandes,Julian,Brandes,Male,J. Brandes,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Midfielder,player,2004-05-11,Netherlands,6hzi5pltnz67q4la8yli9qfv6,177.0,right,2022-03-10Z,2025-06-30Z,active,no,Purmerend,73.0,NaN,NaN
ake9g5cu6vhwm4tip27gbvuac,Olaf Gooitzen Paul,Gorter,Olaf,Gorter,Male,O. Gorter,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Midfielder,player,2005-01-31,Netherlands,6hzi5pltnz67q4la8yli9qfv6,181.0,right,2023-10-19Z,2024-06-30Z,active,no,NaN,NaN,NaN,NaN
b8ixf31bdyfqqcwoy4ulai73e,Kian Franklin,Fitz-Jim,Kian,Fitz-Jim,Male,K. Fitz-Jim,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Suriname,31vay1njxmbs7vtbfp1wo2dx1,Midfielder,player,2003-07-05,Netherlands,6hzi5pltnz67q4la8yli9qfv6,174.0,right,2024-01-21Z,2024-06-30Z,active,no,Amsterdam,70.0,NaN,NaN
baghnvel8qsn5k9s79jiyldnu,Ar'Jany Jainel Archenir,Martha,Ar'Jany,Martha,Male,A. Martha,Curaçao,5im58ram567ao2fbnz39sm8vk,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Defender,player,2003-09-04,Netherlands,6hzi5pltnz67q4la8yli9qfv6,180.0,left,2020-08-29Z,2024-07-03Z,active,no,Rotterdam,NaN,NaN,NaN
c907ct1hjmwughkdus73c5fkk,David,Kalokoh,David,Kalokoh,Male,D. Kalokoh,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Sierra Leone,7kilikg56sxc0dsd6168dr57b,Attacker,player,2005-04-21,Sierra Leone,7kilikg56sxc0dsd6168dr57b,186.0,right,2023-01-12Z,NaN,active,yes,Kono,76.0,NaN,NaN
cx6fxszjvjam6zb3c3p0dd1jo,Mika Marcel,Godts,Mika,Godts,Male,M. Godts,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Attacker,player,2005-06-07,Belgium,4wbzjcclyefma1ourvjsu4q2j,176.0,right,2023-02-01Z,2025-06-30Z,active,no,Leuven,70.0,NaN,NaN
cz1z8lwylayy1u7ixprtnubu2,Raphaël,Boakye Sarfo,Raphaël,Sarfo,Male,R. Sarfo,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Ghana,2q2sw72utw5gu9t5y4knckwba,Defender,player,2004-01-08,Netherlands,6hzi5pltnz67q4la8yli9qfv6,165.0,right,2022-09-04Z,2024-06-30Z,active,no,Amsterdam,NaN,NaN,NaN
dlgqk5qe96gaxeq8vu4dozyms,Gabriel,Osei Misehouy,Gabriel,Misehouy,Male,G. Misehouy,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Ghana,2q2sw72utw5gu9t5y4knckwba,Midfielder,player,2005-07-18,Netherlands,6hzi5pltnz67q4la8yli9qfv6,173.0,right,2022-02-03Z,2024-07-10Z,active,no,Amsterdam,68.0,NaN,NaN
dxmulnxbs11kpi1goq5hl9cve,Anass,Salah-Eddine,Anass,Salah-Eddine,Male,A. Salah-Eddine,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Defender,player,2002-01-18,Netherlands,6hzi5pltnz67q4la8yli9qfv6,180.0,left,2023-07-01Z,2024-02-01Z,active,no,Amsterdam,66.0,NaN,NaN
e3mwjkfs86jtko5qiqecqy7tg,Ethan,Butera,Ethan,Butera,Male,E. Butera,Belgium,4wbzjcclyefma1ourvjsu4q2j,NaN,NaN,Defender,player,2006-04-16,Belgium,4wbzjcclyefma1ourvjsu4q2j,182.0,left,2023-09-01Z,NaN,active,yes,NaN,74.0,NaN,NaN
ed0pwegj0n6iwb6oa52obcsgk,Sten,Kremers,Sten,Kremers,Male,S. Kremers,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Goalkeeper,player,2004-02-16,Netherlands,6hzi5pltnz67q4la8yli9qfv6,188.0,right,2022-07-01Z,2024-06-16Z,active,no,NaN,79.0,NaN,NaN
elakgkn99i1aig691q1hl8ay2,Sivert,Heggheim Mannsverk,Sivert,Mannsverk,Male,S. Mannsverk,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,Midfielder,player,2002-05-08,Norway,7f16iy4w8u8ogyn6pfooqwv5z,185.0,right,2024-02-05Z,2025-01-28Z,active,no,Øvre Årdal,77.0,NaN,NaN
em7ie3i4w6bt476naq80umcd0,Skye,Vink,Skye,Vink,Male,S. Vink,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Suriname,31vay1njxmbs7vtbfp1wo2dx1,Attacker,player,2006-07-01,Suriname,31vay1njxmbs7vtbfp1wo2dx1,187.0,right,2023-08-24Z,NaN,active,yes,NaN,70.0,NaN,NaN
f2ibn3ej2doay3b4u8ezeix62,Diant,Ramaj,Diant,Ramaj,Male,D. Ramaj,Germany,36min0qztu8eydwvpv8t1is0m,Kosovo,86u6edbqifdjsn49mbp2anw7p,Goalkeeper,player,2001-09-19,Germany,36min0qztu8eydwvpv8t1is0m,189.0,both,2023-09-01Z,2025-02-03Z,active,no,Stuttgart,81.0,NaN,NaN
f39palhb11oqo5ichnhudhnh0,Emre,Ünüvar,Emre,Ünüvar,Male,E. Ünüvar,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Türkiye,6kd6webenogylfgwt2aa9l6vx,Attacker,player,2008-03-18,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,right,2024-05-09Z,NaN,active,yes,NaN,NaN,NaN,NaN
f593mnttzie8gicqlig2zvzvu,Amourricho Jahvairo Déshauntino,van Axel Dongen,Amourricho,van Axel Dongen,Male,A. van Axel Dongen,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Suriname,31vay1njxmbs7vtbfp1wo2dx1,Attacker,player,2004-09-29,Netherlands,6hzi5pltnz67q4la8yli9qfv6,175.0,right,2021-05-06Z,2025-07-15Z,active,no,Almere,70.0,NaN,NaN
19wuvqpmewphgvsfzi4yjl756,Iman,Griffith,Iman,Griffith,Male,I. Griffith,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Suriname,31vay1njxmbs7vtbfp1wo2dx1,Attacker,player,2001-12-02,Netherlands,6hzi5pltnz67q4la8yli9qfv6,170.0,right,2019-10-24Z,2023-09-01Z,active,no,NaN,65.0,NaN,NaN
1hmy5uxiyr8g915tngl9l8twq,Myron,van Brederode,Myron,van Brederode,Male,M. van Brederode,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Attacker,player,2003-07-06,Netherlands,6hzi5pltnz67q4la8yli9qfv6,174.0,right,2020-10-22Z,2024-06-30Z,active,no,Hoofddorp,60.0,NaN,NaN
22alh32lu88yabxd4pl0opg5w,Kasper,Boogaard,Kasper,Boogaard,Male,K. Boogaard,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Midfielder,player,2006-01-29,Netherlands,6hzi5pltnz67q4la8yli9qfv6,183.0,both,2024-02-04Z,NaN,active,yes,Den Burg,NaN,NaN,NaN
280wxf8wp6bjwgjwt9fy03nmy,Joshua,Pynadath,Joshua,Pynadath,Male,J. Pynadath,USA,7hr2f89v44y65dyu9k92vprwn,India,pu2isxryiewd7pvejah6oqex,Attacker,player,2002-02-20,USA,7hr2f89v44y65dyu9k92vprwn,174.0,both,2022-07-01Z,2024-06-30Z,active,no,Mountain View,64.0,NaN,NaN
2c7ke3iytz2r0szpw8xpa0kk4,Adam,Ait Ali Oulhaj,Adam,Ait Ali Oulhaj,Male,A. Ait Ali Oulhaj,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Morocco,2xdcc39z1k79pnjbtn9x31wdh,Midfielder,player,2005-03-30,Netherlands,6hzi5pltnz67q4la8yli9qfv6,181.0,right,2023-03-11Z,2025-06-30Z,active,no,NaN,74.0,NaN,NaN
2p6h6ivyzp1fzsayw7r2xn2dx,Hobie,Verhulst,Hobie,Verhulst,Male,H. Verhulst,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Goalkeeper,player,1993-04-02,Netherlands,6hzi5pltnz67q4la8yli9qfv6,192.0,left,2020-09-10Z,NaN,active,yes,Amsterdam,92.0,NaN,NaN
2wgv0uye88734itwltg3oajo4,Job,Kalisvaart,Job,Kalisvaart,Male,J. Kalisvaart,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Midfielder,player,2004-06-10,Netherlands,6hzi5pltnz67q4la8yli9qfv6,181.0,right,2022-09-04Z,2025-08-12Z,active,no,NaN,82.0,NaN,NaN
35zljca9f38wwue7geei62xw4,Jeremiah,Esajas,Jeremiah,Esajas,Male,J. Esajas,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Suriname,31vay1njxmbs7vtbfp1wo2dx1,Defender,player,2005-05-19,Netherlands,6hzi5pltnz67q4la8yli9qfv6,174.0,left,2023-02-02Z,NaN,active,yes,Amsterdam,68.0,NaN,NaN
37d95b3fxv76fm0b6n4tomm8k,Jan,Sierksma,Jan,Sierksma,Male,J. Sierksma,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,NaN,coach,1984-06-24,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,2023-07-01Z,2024-01-23Z,active,no,Dokkum,NaN,NaN,NaN
3kjxnvfmwd4hij1gnjc3xdhck,Enoch,Mayele Kiemba Mastoras,Enoch,Mastoras,Male,E. Mastoras,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,Midfielder,player,2006-05-24,Netherlands,6hzi5pltnz67q4la8yli9qfv6,176.0,right,2023-02-02Z,NaN,active,yes,NaN,65.0,NaN,NaN
3u0yfnfs6jqx0xv2epsynesd0,Tristan,Kuijsten,Tristan,Kuijsten,Male,T. Kuijsten,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Goalkeeper,player,2005-01-16,Netherlands,6hzi5pltnz67q4la8yli9qfv6,191.0,right,2022-02-03Z,2025-07-10Z,active,no,Almere,83.0,NaN,NaN
44srt2vaezf1o6kkkfjljraqc,Yoël,van den Ban,Yoël,van den Ban,Male,Y. van den Ban,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Attacker,player,2006-01-10,Netherlands,6hzi5pltnz67q4la8yli9qfv6,183.0,right,2023-08-01Z,NaN,active,yes,NaN,73.0,NaN,NaN
4nchc9z4464uhu3vveo0p73f8,Sem,Dekkers,Sem,Dekkers,Male,S. Dekkers,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Defender,player,2004-05-28,Netherlands,6hzi5pltnz67q4la8yli9qfv6,178.0,right,2022-01-20Z,2025-02-04Z,active,no,Heiloo,74.0,NaN,NaN
4oyjji4wqmuu3uia6htj0q1hw,Nick,Koster,Nick,Koster,Male,N. Koster,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Attacker,player,2003-01-08,Netherlands,6hzi5pltnz67q4la8yli9qfv6,182.0,right,2021-11-01Z,2024-06-30Z,active,no,NaN,68.0,NaN,NaN
51f3vubki4or5vaft5tromn3e,Yusuf,Barası,Yusuf,Barasi,Male,Y. Barası,Türkiye,6kd6webenogylfgwt2aa9l6vx,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Attacker,player,2003-03-31,Germany,36min0qztu8eydwvpv8t1is0m,182.0,right,2020-01-12Z,2023-08-26Z,active,no,Bremen,72.0,NaN,NaN
5ylwgfqvaobru2lxqvlhpxul0,Elijah,Dijkstra,Elijah,Dijkstra,Male,E. Dijkstra,Netherlands,6hzi5pltnz67q4la8yli9qfv6,NaN,NaN,Defender,player,2006-08-05,Netherlands,6hzi5pltnz67q4la8yli9qfv6,172.0,right,2024-04-25Z,NaN,active,yes,Assendelft,NaN,NaN,NaN
685wka5xc8na423mirotcu238,Jayden,Osei Addai,Jayden,Addai,Male,J. Addai,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,2005-08-26,Ghana,2q2sw72utw5gu9t5y4knckwba,175.0,left,2022-03-17Z,2025-07-04Z,active,no,NaN,74.0,NaN,NaN
