id,firstName,lastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,startDate,status,active,shortFirstName,shortLastName,height,foot,shirtNumber,placeOfBirth,weight,secondNationality,secondNationalityId,endDate,knownName
5w0giylttgiapseaw6qky0mxg,Frederik,Juul Christensen,Male,F. Christensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2000-01-19,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2024-06-15Z,active,no,Frederik,Christensen,176.0,NaN,18.0,NaN,70.0,NaN,NaN,2025-08-07Z,NaN
5yba82zd6d308j4r85swaurjd,Dennis,Smarsch,Male,D. Smarsch,Germany,36min0qztu8eydwvpv8t1is0m,Goalkeeper,player,1999-01-14,Germany,36min0qztu8eydwvpv8t1is0m,2025-09-01Z,active,yes,Dennis,Smarsch,195.0,both,NaN,Berlin,97.0,NaN,NaN,NaN,NaN
61vr9xr91fr4g6ayzga5vn9w5,Alexander,Ludwig,Male,A. Ludwig,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1993-06-30,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2019-08-14Z,active,yes,Alexander,Ludwig,184.0,left,33.0,København,85.0,NaN,NaN,NaN,NaN
6qko3f8w2ap9ynbuq2g55i5n8,Seniko Romeo,Doua,Male,S. Doua,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,player,2001-11-01,Côte d'Ivoire,tin6kf561ywonqan0mettr98,2024-07-01Z,active,yes,Seniko,Doua,178.0,right,30.0,NaN,NaN,NaN,NaN,NaN,NaN
6y4tlx3641fhlvuydu97qcmvp,David Jean,Nielsen,Male,D. Nielsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,coach,1976-12-01,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-03-01Z,active,yes,David,Nielsen,180.0,NaN,NaN,Skagen,NaN,NaN,NaN,NaN,NaN
7353ysa16qgg30b9z5qiagys4,Alagie,Saine,Male,A. Saine,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,Defender,player,2003-01-20,Gambia,4ix3ulx7h2a09r16jo9qdbuvp,2023-01-19Z,active,yes,Alagie,Saine,186.0,right,28.0,NaN,NaN,NaN,NaN,NaN,NaN
77zrjzfkfp7hozuj05ktwhtqt,Mads,Fenger Nielsen,Male,M. Fenger,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1990-09-10,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-01-03Z,active,yes,Mads,Fenger,185.0,right,13.0,NaN,82.0,NaN,NaN,NaN,NaN
7hso2bszmf4qal560jhrg2904,Yamirou,Ouorou,Male,Y. Ouorou,Benin,3o5wco7tkqgfmys9exmt5fo2h,Attacker,player,2006-06-12,Benin,3o5wco7tkqgfmys9exmt5fo2h,2024-08-06Z,active,yes,NaN,NaN,NaN,NaN,27.0,NaN,NaN,NaN,NaN,NaN,NaN
7odg3dte6eh3uuv1cjnd3oefo,Andreas,Kampp Kiilerich Hermansen,Male,A. Hermansen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2004-05-01,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2026-01-01Z,active,no,Andreas,Hermansen,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8112qk6z1vwmhhsh103x6vuhg,Samuel,Walseth Juel,Male,S. Juel,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2005-04-21,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-07-01Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Morocco,2xdcc39z1k79pnjbtn9x31wdh,2025-07-24Z,NaN
8jotzm26md7pzdy2gn474chqt,Patrick Haakon,Olsen,Male,P. Olsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1994-04-23,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-06-25Z,active,yes,Patrick,Olsen,178.0,right,32.0,Tarnby,77.0,NaN,NaN,NaN,NaN
8uhv14rin2znrr0wqgvcc2f2t,Matej,Delač,Male,M. Delač,Croatia,37hlakrwxyuzovaeoo4sezusp,Goalkeeper,player,1992-08-20,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,2018-07-01Z,active,yes,Matej,Delac,190.0,right,1.0,Gornji Vakuf,80.0,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN,NaN
99m764t8gs6jevrqwv0dp6zh0,Nyembo Aime,Azende,Male,A. Azende,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,Attacker,player,2005-01-25,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,2025-02-03Z,active,yes,Nyembo,Azende,NaN,NaN,19.0,NaN,NaN,NaN,NaN,NaN,NaN
9cg2dx19fx5be3zewtmx97e95,Ivan,Miličević,Male,I. Miličević,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Defender,player,1998-07-16,Croatia,37hlakrwxyuzovaeoo4sezusp,2025-07-01Z,active,yes,Ivan,Milicevic,NaN,NaN,7.0,Split,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN
9dh7cnu4uzbraeck0t5iqlj4k,Adam Herman Bengt,Herdonsson,Male,A. Herdonsson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,2004-04-07,Sweden,1z6l2c33w2kyz9rdefs1d68nb,2024-07-02Z,active,yes,Adam,Herdonsson,NaN,NaN,17.0,NaN,NaN,NaN,NaN,NaN,NaN
9ik2uhlguua62ftde1gbv1dlg,Oscar,Karimi Mandrup,Male,O. Mandrup,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2008-02-14,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2024-04-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Iran,e53g9hr2d3kasm34uumbg8r4,NaN,NaN
a48bpdpt0siemxqtr3rubwbu,Muhamet,Hyseni,Male,M. Hyseni,Kosovo,86u6edbqifdjsn49mbp2anw7p,Attacker,player,2001-02-06,Kosovo,86u6edbqifdjsn49mbp2anw7p,2024-07-01Z,active,no,Muhamet,Hyseni,NaN,NaN,9.0,NaN,NaN,Yugoslavia,4tbxaicghm9l9p07quja51vfu,2025-08-31Z,NaN
asg0277qek5q1z0m43bs8y415,Roko,Baturina,Male,R. Baturina,Croatia,37hlakrwxyuzovaeoo4sezusp,Attacker,player,2000-06-20,Croatia,37hlakrwxyuzovaeoo4sezusp,2025-09-01Z,active,yes,Roko,Baturina,187.0,left,NaN,Split,82.0,NaN,NaN,2026-06-30Z,NaN
b7bdz33h18dt9ugvs6fj6k7pw,Kalle,Rahbek,Male,K. Rahbek,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Unknown,player,2008-02-07,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-08-10Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
bdz03qovxerzrv12lgljae1p0,Christ,Tapé,Male,C. Tapé,Côte d'Ivoire,tin6kf561ywonqan0mettr98,Defender,player,2006-03-02,Côte d'Ivoire,tin6kf561ywonqan0mettr98,2024-07-01Z,active,yes,Christ,Tapé,NaN,NaN,12.0,NaN,NaN,NaN,NaN,NaN,NaN
bmbqxxppt49l7d7glv3eg9k44,Oluwaseyi,Thomas Ogunniyi,Male,O. Ogunniyi,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Defender,player,2007-03-11,Nigeria,63pvdwrsiq5b07mzi8igqei9p,2025-08-10Z,active,yes,NaN,NaN,170.0,NaN,NaN,NaN,60.0,NaN,NaN,NaN,NaN
c2x3pewqx6d9q3c5dup0udxw,Ásgeir Galdur,Guðmundsson,Male,G. Guðmundsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,2006-04-14,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,2025-01-11Z,active,no,Galdur,Gudmundsson,NaN,NaN,26.0,NaN,NaN,NaN,NaN,2025-08-11Z,NaN
ca1b5707pdpx0ucug40ggnahh,Frederik,Brandhof,Male,F. Brandhof,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1996-07-05,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-06-16Z,active,yes,Frederik,Brandhof,182.0,right,29.0,Skive,72.0,NaN,NaN,NaN,NaN
cl4xl80n4gew1ox03r3ooshrd,Oliver,Kjærgaard,Male,O. Kjærgaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1998-07-11,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2024-08-05Z,active,no,Oliver,Kjærgaard,184.0,NaN,15.0,NaN,76.0,NaN,NaN,2025-07-25Z,NaN
cqsc3mj8klukkgutdrpegybdg,Kwaku,Karikari,Male,K. Karikari,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,2002-03-25,Ghana,2q2sw72utw5gu9t5y4knckwba,2024-07-14Z,active,no,NaN,NaN,NaN,NaN,21.0,NaN,NaN,NaN,NaN,2025-08-05Z,NaN
d9hh01mit4geyadol3gmzco9,Filip,Đukić,Male,F. Đukić,Montenegro,1411jebgwo2ja1erogsq81lg9,Goalkeeper,player,1999-08-06,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-02-03Z,active,no,Filip,Djukic,181.0,NaN,23.0,Hvidovre,72.0,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-07-24Z,NaN
dfxs5u8rdcxhzp33aks3acdn8,Karlo,Lusavec,Male,K. Lusavec,Croatia,37hlakrwxyuzovaeoo4sezusp,Midfielder,player,2003-10-30,Croatia,37hlakrwxyuzovaeoo4sezusp,2024-08-26Z,active,yes,NaN,NaN,NaN,NaN,20.0,Varaždin,NaN,NaN,NaN,NaN,NaN
emi8qy4aaxle4m9n9e32d7wno,Lasse,Risager Kristensen,Male,L. Kristensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2007-08-09,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2024-03-01Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
eso2tbbpnxu9qvx6zy07m5jx0,Julius,Madsen,Male,J. Madsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2003-08-01,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2024-01-03Z,active,yes,NaN,NaN,NaN,NaN,14.0,Næstved,NaN,NaN,NaN,NaN,NaN
ohjn9tgx28c0qssvrdvzr5zo,Fallou,Sene,Male,F. Sene,Senegal,6hhqyhr5cwq2pfprlazyposyk,Attacker,player,2004-08-21,Senegal,6hhqyhr5cwq2pfprlazyposyk,2025-07-22Z,active,yes,Fallou,Sene,187.0,right,25.0,Khombole,NaN,NaN,NaN,NaN,NaN
r7imm9mbdhqsepdyrk065mac,John,Batigi,Male,J. Batigi,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,2006-06-24,Ghana,2q2sw72utw5gu9t5y4knckwba,2025-06-16Z,active,yes,NaN,NaN,NaN,NaN,22.0,NaN,NaN,NaN,NaN,NaN,NaN
15ffu5ut0qvjcx3m5k5sz7wt1,Steffen,Højer,Male,S. Højer,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,coach,1973-05-22,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-07-29Z,active,yes,Steffen,Højer,NaN,NaN,NaN,Viborg,NaN,NaN,NaN,NaN,NaN
19sp9xhborbm2ccoae0jm36l0,Pierre,Gillo,Male,P. Gillo,Germany,36min0qztu8eydwvpv8t1is0m,NaN,coach,1986-07-31,Germany,36min0qztu8eydwvpv8t1is0m,2025-07-19Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2025-07-29Z,NaN
1arzd8hqj73byhduozscqz5uy,Mathias,Jørgensen,Male,M. Jørgensen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2000-09-20,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2024-02-01Z,active,no,Mathias,Jørgensen,185.0,right,11.0,Hundested,79.0,NaN,NaN,2025-07-24Z,NaN
20g27z0cklenjg7k0ox73wyc5,Aaron,Seydel,Male,A. Seydel,Germany,36min0qztu8eydwvpv8t1is0m,Attacker,player,1996-02-07,Germany,36min0qztu8eydwvpv8t1is0m,2025-01-15Z,active,no,Aaron,Seydel,199.0,left,19.0,Langen,90.0,NaN,NaN,2025-09-01Z,NaN
2o5atg0lz3jy7k86tyqda8h04,Eugene,Ampofoh Amankwah,Male,E. Amankwah,Ghana,2q2sw72utw5gu9t5y4knckwba,Defender,player,2004-11-30,Ghana,2q2sw72utw5gu9t5y4knckwba,2025-07-01Z,active,yes,Eugene,Amankwah,176.0,left,35.0,NaN,NaN,NaN,NaN,NaN,NaN
2s4umgp3yqnb2hubfoaxhwr2s,Christian,Tcacenco,Male,C. Tcacenco,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2007-05-16,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-03-10Z,active,yes,Christian,Tcacenco,NaN,right,32.0,NaN,NaN,NaN,NaN,NaN,NaN
3tka46re2gsi9uw7pbxx5m0pg,Bertil Magne,Grønkjær Pedersen,Male,B. Pedersen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2007-07-24,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2023-12-01Z,active,yes,Bertil,Pedersen,195.0,right,40.0,Aalborg,NaN,NaN,NaN,NaN,NaN
459om58d2un5g9heiqlejibkk,Michael,Meyhoff Andersen,Male,M. Meyhoff,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,assistant coach,1990-03-20,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-02-22Z,active,yes,Michael,Meyhoff,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
48sqqhgtmfmpqb3602iirspd6,Kornelius,Normann Hansen,Male,K. Hansen,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Attacker,player,2001-05-06,Norway,7f16iy4w8u8ogyn6pfooqwv5z,2025-08-22Z,active,yes,Kornelius,Hansen,175.0,right,11.0,Larvik,70.0,NaN,NaN,NaN,NaN
4sgxth7onhb5mu29bgyupby3u,Jubril,Chukwu-Emeka Adedeji,Male,J. Adedeji,England,1fk5l4hkqk12i7zske6mcqju6,Attacker,player,2000-05-25,England,1fk5l4hkqk12i7zske6mcqju6,2026-01-01Z,active,no,Jubril,Adedeji,182.0,right,NaN,NaN,72.0,Nigeria,63pvdwrsiq5b07mzi8igqei9p,NaN,NaN
5521epytthhw9afm2r3jn3384,Valdemar,Møller Damgaard,Male,V. Møller,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2007-05-20,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2024-03-29Z,active,yes,Valdemar,Damgaard,174.0,right,28.0,NaN,62.0,NaN,NaN,NaN,NaN
5fy3phxcsh85o47mo8qrw6n10,Jack,Cassidy,Male,J. Cassidy,England,1fk5l4hkqk12i7zske6mcqju6,NaN,assistant coach,1990-02-04,England,1fk5l4hkqk12i7zske6mcqju6,2025-02-23Z,active,yes,Jack,Cassidy,NaN,NaN,NaN,London,NaN,Republic of Ireland,63nepb66un7juhglo2g6rezcl,NaN,NaN
5lz41celw55rz3zh8pohclw5w,Oliver,Ross,Male,O. Ross,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2004-10-10,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2021-08-30Z,active,yes,Oliver,Ross,186.0,right,10.0,Aalborg,74.0,NaN,NaN,NaN,NaN
5uo9saax5iqsctxq7w3si8w0k,Cornelius Axel,Olsson,Male,C. Olsson,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2006-02-27,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-07-03Z,active,yes,Cornelius,Olsson,NaN,NaN,15.0,NaN,NaN,NaN,NaN,NaN,NaN
5vrsflxiv2dgfa8199a2qxsve,Kelvin Pius,John,Male,K. John,Tanzania,3rramsla3ovuhxks28wq1kirb,Attacker,player,2003-06-10,Tanzania,3rramsla3ovuhxks28wq1kirb,2024-06-15Z,active,yes,Kelvin,John,179.0,right,27.0,Morogoro,73.0,NaN,NaN,NaN,NaN
5y2mfgruizah0ylcz7q1abw9g,Alexander,Lien Håpnes,Male,A. Håpnes,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,2001-08-26,Norway,7f16iy4w8u8ogyn6pfooqwv5z,2025-07-11Z,active,yes,Alexander,Håpnes,179.0,right,8.0,NaN,NaN,NaN,NaN,NaN,NaN
697f50qoetodmfe8ybcuey2ac,Elison,Makolli,Male,E. Makolli,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Defender,player,2005-01-10,Sweden,1z6l2c33w2kyz9rdefs1d68nb,2025-02-02Z,active,yes,Elison,Makolli,186.0,right,33.0,Malmö,90.0,Kosovo,86u6edbqifdjsn49mbp2anw7p,NaN,NaN
8bi1tlz62rjwyak4pnnzgp562,Andres,Jasson,Male,A. Jasson,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,2002-01-17,USA,7hr2f89v44y65dyu9k92vprwn,2024-06-15Z,active,yes,Andres,Jasson,175.0,right,17.0,NaN,70.0,Spain,49ih1pwv3ahshdf8uzrimi54c,NaN,NaN
8mkrj5bnkyhx8kutc4656cy96,Mylian Tenoch,Jiménez,Male,M. Jiménez,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Midfielder,player,2003-01-13,Netherlands,6hzi5pltnz67q4la8yli9qfv6,2024-07-02Z,active,no,Mylian,Jiménez,176.0,left,6.0,Nijmegen,63.0,Colombia,6kby8rq1p01fg5ds38ckkrcs5,2025-08-07Z,NaN
8vi3l756ez0e96k7muvg4ekbu,Bjarne,Pudel,Male,B. Pudel,Germany,36min0qztu8eydwvpv8t1is0m,Defender,player,2001-05-09,Germany,36min0qztu8eydwvpv8t1is0m,2024-07-11Z,active,yes,Bjarne,Pudel,188.0,left,13.0,Versmold,83.0,NaN,NaN,NaN,NaN
9yb0exf35kl3avhdnlhv23glx,Benjamin,Tiedemann Hansen,Male,B. Hansen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1994-02-07,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-09-01Z,active,yes,Benjamin,Hansen,189.0,right,NaN,Bogense,73.0,NaN,NaN,NaN,NaN
a2l4ep71txn2edtjjcgewai5m,Vincent Carsten Maria,Müller,Male,V. Müller,Germany,36min0qztu8eydwvpv8t1is0m,Goalkeeper,player,2000-08-23,Germany,36min0qztu8eydwvpv8t1is0m,2024-06-15Z,active,yes,Vincent,Müller,190.0,right,1.0,Köln,91.0,NaN,NaN,NaN,NaN
a6ymx4wkrn260rtpb360nsiqd,Mikkel,Kallesøe Andreasen,Male,M. Kallesøe,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,1997-04-20,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-06-19Z,active,yes,Mikkel,Kallesøe,193.0,right,2.0,Lemvig,80.0,NaN,NaN,NaN,NaN
anh9yln71anor44xeh5zp9n56,Bo,Zinck,Male,B. Zinck,Denmark,5adf60vwiw2f2mibyq1k4ex7i,NaN,assistant coach,1979-02-14,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-06-19Z,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
bcdp9e3dezuaybm8ndrsanbx0,Marc Langskov,Nielsen,Male,M. Nielsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Defender,player,2001-05-16,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2024-07-20Z,active,yes,Marc,Nielsen,175.0,left,5.0,Rønne,69.0,NaN,NaN,NaN,NaN
brinkgys7026490q3ixx6h9uc,Nóel Atli,Arnórsson,Male,N. Arnórsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,2006-09-30,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,2023-08-14Z,active,yes,Nóel Atli,Arnórsson,185.0,left,24.0,NaN,72.0,NaN,NaN,NaN,NaN
bt60l7nmko7mitn9lab3z54pg,Villads Hother,Bertelsen,Male,V. Bertelsen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Goalkeeper,player,2009-05-23,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-07-01Z,active,yes,Villads,Bertelsen,186.0,right,NaN,Aalborg,NaN,NaN,NaN,NaN,NaN
cf6zq49y8v1ekw07e7yi3uac,Andreas,Maarup Hansen,Male,A. Maarup,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1999-05-23,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-07-10Z,active,yes,NaN,NaN,NaN,NaN,18.0,NaN,NaN,NaN,NaN,NaN,NaN
cimgdip8em45rbnjq5fwlrx90,Bertram Peter,Skovgaard,Male,B. Skovgaard,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2007-02-21,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2024-10-24Z,active,yes,Bertram,Skovgaard,187.0,right,39.0,NaN,NaN,NaN,NaN,NaN,NaN
cul6phe87idi5dn1hsfywxhwp,Rody,de Boer,Male,R. de Boer,Netherlands,6hzi5pltnz67q4la8yli9qfv6,Goalkeeper,player,1997-08-22,Netherlands,6hzi5pltnz67q4la8yli9qfv6,2023-08-25Z,active,yes,Rody,de Boer,191.0,right,22.0,Den Haag,89.0,NaN,NaN,NaN,NaN
e0j0uakuzduvis9wqsocngwrt,Markus André,Kaasa,Male,M. Kaasa,Norway,7f16iy4w8u8ogyn6pfooqwv5z,Midfielder,player,1997-07-15,Norway,7f16iy4w8u8ogyn6pfooqwv5z,2025-09-01Z,active,yes,Markus,Kaasa,175.0,right,NaN,NaN,70.0,NaN,NaN,NaN,NaN
e7wytawxwiszq1aass5ujio7o,Marcus,Bonde,Male,M. Bonde,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2007-02-11,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-05-17Z,active,yes,Marcus,Bonde,NaN,NaN,26.0,NaN,NaN,NaN,NaN,NaN,NaN
egwhlgopjtjkop7ozy7ltk1cl,Frederik,Lindbøg Børsting,Male,F. Børsting,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,1995-02-13,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-07-01Z,active,yes,Frederik,Børsting,178.0,both,25.0,Aalborg,74.0,NaN,NaN,NaN,NaN
ejixz16616b7krftxyzv9yiac,Mads,Bomholt,Male,M. Bomholt,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Midfielder,player,2005-12-30,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2023-07-21Z,active,yes,Mads,Bomholt,174.0,left,21.0,Hadsund,67.0,NaN,NaN,NaN,NaN
ezi8426ran0bffeyfvloc2ihg,Mohamed Amar Diddo,Diagne,Male,A. Diagne,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2006-01-02,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2024-03-29Z,active,yes,Amar,Diagne,178.0,right,37.0,København,65.0,Senegal,6hhqyhr5cwq2pfprlazyposyk,NaN,NaN
f4xi0azga0op4wlag9gs0khlg,Mads Samson,Feierskov Andreasen,Male,M. Andreasen,Denmark,5adf60vwiw2f2mibyq1k4ex7i,Attacker,player,2007-10-10,Denmark,5adf60vwiw2f2mibyq1k4ex7i,2025-07-31Z,active,yes,NaN,NaN,NaN,NaN,43.0,NaN,NaN,NaN,NaN,NaN,NaN
