id,firstName,lastName,shortFirstName,shortLastName,matchName,nationality,nationalityId,position,type,countryOfBirth,countryOfBirthId,shirtNumber,status,active,dateOfBirth,height,placeOfBirth,weight,foot,knownName,secondNationality,secondNationalityId
6rogc92mr2cwdmiuee82q0d79,Alexander Helgi,Sigurðarson,Alexander,Sigurdarson,A. Sigurðarson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,6.0,active,yes,1996-04-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN
70sun7z04dx0kz5jghz08a9ec,Hilmar Þór,Kjærnested Helgason,Hilmar,Helgason,H. Helgason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Goalkeeper,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,35.0,active,no,2005-02-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7fda5vdd1yqd1t7hfui4r7vh0,Ásgeir Helgi,Orrason,Ásgeir,Orrason,Á. Orrason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,26.0,active,no,2005-05-19,NaN,NaN,NaN,NaN,NaN,NaN,NaN
87ogzklhfctx78cbjwgh282j9,Höskuldur,Gunnlaugsson,Höskuldur,Gunnlaugsson,H. Gunnlaugsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,7.0,active,yes,1994-09-26,173.0,NaN,NaN,NaN,NaN,NaN,NaN
8sv1tavuq38iq6c0bar1a9clw,Dagur Örn,Fjeldsted,Dagur,Fjeldsted,D. Fjeldsted,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,16.0,active,yes,2005-04-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9186v5jw32p3hfi8v7nfvkic5,Viktor Karl,Einarsson,Viktor,Einarsson,V. Einarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,8.0,active,yes,1997-01-30,NaN,NaN,NaN,NaN,Viktor Einarsson,NaN,NaN
9d3o7jvtrmybswt14x5tq4hrd,Davíð,Ingvarsson,Davíd,Ingvarsson,D. Ingvarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,25.0,active,no,1999-04-25,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9zzg49vnaufp7j6yj7pcg6sb9,Anton Ari,Einarsson,Anton,Einarsson,A. Einarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Goalkeeper,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,1.0,active,yes,1994-08-25,NaN,Reykjavík,NaN,right,Anton Einarsson,NaN,NaN
b16xtb8sp7drt0gfxm1gz1c0k,Gabríel Snær,Hallsson,Gabriel,Snaer,G. Hallsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,active,no,2007-01-03,NaN,NaN,NaN,NaN,NaN,NaN,NaN
b3ac0j5us57m92q0d2k2kd1hx,Patrik,Johannesen,Patrik,Johannesen,P. Johannesen,Faroe Islands,1glg6jsz6v1fkk8y9pq4fqjc4,Attacker,player,Faroe Islands,1glg6jsz6v1fkk8y9pq4fqjc4,9.0,active,yes,1995-09-07,185.0,NaN,NaN,right,NaN,NaN,NaN
b4dwwo091jgva4ocypfvkla1g,Viktor Andri,Pétursson,Viktor,Pétursson,V. Pétursson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,active,no,2004-07-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN
bag719kcv7cq4xwjgmccw57o4,Ágúst Orri,Þorsteinsson,Ágúst,Thorsteinsson,Á. Þorsteinsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,15.0,active,no,2005-01-14,NaN,NaN,NaN,NaN,NaN,NaN,NaN
cvlnxfcxy57dvuhlo66jsb4a2,Eyþór Aron,Wöhler Lárusson,Eythór,Wöhler,E. Wöhler,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,18.0,active,no,2002-01-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN
d6kurlectkfyptx3fb4waz3f8,Bjarki Viðar,Björnsson,Bjarki,Björnsson,B. Björnsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,active,no,2005-01-14,174.0,NaN,NaN,right,NaN,NaN,NaN
d6mfcwc4144lnyodhyd1fd6ok,Tumi Fannar,Gunnarsson,Tumi,Gunnarsson,T. Gunnarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,active,yes,2005-03-22,NaN,NaN,NaN,NaN,Tumi Gunnarsson,NaN,NaN
dm8yyt39uyshduq91pufi24q2,Jason Daði,Svanþórsson,Jason,Svanthórsson,J. Svanþórsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,14.0,active,no,1999-12-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN
don13z5ywnv0du0y057n5y66t,Olíver,Sigurjónsson,Olíver,Sigurjónsson,O. Sigurjónsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,3.0,active,yes,1995-03-03,NaN,NaN,NaN,right,NaN,NaN,NaN
dsejp4g28ohj04p7gjin0qx3o,Hilmar,Karlsson,Hilmar,Karlsson,H. Karlsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Goalkeeper,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,active,no,2006-08-29,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dvgli93iyhzu9t5slbbxts178,Jón,Sölvi Símonarson,Jón,Símonarson,J. Símonarson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Goalkeeper,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,active,yes,2007-05-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
e0uh207qrn67d3ugjtjkbyqc5,Klæmint,Andrasson Olsen,Klæmint,Olsen,K. Olsen,Faroe Islands,1glg6jsz6v1fkk8y9pq4fqjc4,Attacker,player,Faroe Islands,1glg6jsz6v1fkk8y9pq4fqjc4,20.0,active,no,1990-07-17,185.0,Runavík,78.0,right,NaN,NaN,NaN
ehpnzj2apmfez56i2vggvhexh,Viktor Örn,Margeirsson,Viktor,Margeirsson,V. Margeirsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,21.0,active,yes,1994-07-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ei0y0w6bvcjwrx1dupdlqazmx,Brynjar Atli,Bragason,Brynjar,Bragason,B. Bragason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Goalkeeper,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,12.0,active,yes,2000-04-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN
eikthetfmpxyeqsisa7vs3hsl,Gísli,Eyjólfsson,Gísli,Eyjólfsson,G. Eyjólfsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,11.0,active,no,1994-05-31,180.0,NaN,77.0,right,NaN,NaN,NaN
ek6hjim80fw059a7u0buqpw4p,Ágúst Eðvald,Hlynsson,Ágúst,Hlynsson,Á. Hlynsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,22.0,active,no,2000-03-28,NaN,NaN,NaN,right,NaN,NaN,NaN
q8vi15wxv1sc9lshuzj1gz1m,Anton Logi,Lúðvíksson,Anton,Lúdvíksson,A. Lúðvíksson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,13.0,active,no,2003-03-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN
w28d5hfi86ynsg35024ssnah,Alex Freyr,Elísson,Alex,Elísson,A. Elísson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,2.0,active,no,1997-10-09,NaN,NaN,NaN,right,NaN,NaN,NaN
11zsb2hlv5iytjhwclle651hx,Kjartan Henrý,Finnbogason,Kjartan,Finnbogason,K. Finnbogason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,9.0,active,no,1986-07-09,188.0,Reykjavik,83.0,right,NaN,NaN,NaN
1a4bm2clz63hs1wage5rpw844,Arngrímur Bjartur,Guðmundsson,Arngrímur,Gudmundsson,A. Guðmundsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,38.0,active,no,2005-03-14,NaN,NaN,NaN,NaN,Arngrímur Gudmundsson,NaN,NaN
1l4s94tyf8umuwf0ylqhikst1,Daði Freyr,Arnarsson,Dadi,Arnarsson,D. Arnarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Goalkeeper,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,24.0,active,yes,1998-09-23,NaN,NaN,NaN,NaN,Dadi Arnarsson,NaN,NaN
20zulqrn6cg0inbe0ojyxpivp,Sindri Kristinn,Ólafsson,Sindri,Ólafsson,S. Ólafsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Goalkeeper,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,1.0,active,yes,1997-01-19,NaN,NaN,NaN,NaN,Sindri Ólafsson,NaN,NaN
2owpkqdm6b0uk2lmbt9y21gph,Máni Aust­mann,Hilmarsson,Máni,Hilmarsson,M. Hilmarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,active,no,1998-06-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN
31yu60kp0h6t4r2w67sv92gpg,Dagur Þór,Hafþórsson,Dagur,Hafthórsson,D. Hafþórsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,active,no,2003-01-13,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3jthrc6cu4hbdeqthp7vebjoq,Haraldur Einar,Ásgrímsson,Haraldur,Ásgrímsson,H. Ásgrímsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,3.0,active,no,2000-06-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4c364dz84t0qukqgyksphcsx6,Gyrðir Hrafn,Guðbrandsson,Gyrdir,Gudbrandsson,G. Guðbrandsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,5.0,active,yes,1999-03-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4tbixjn88hzemnxg8mgeu4jmy,Kjartan Kári,Halldórsson,Kjartan,Halldórsson,K. Halldórsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,18.0,active,yes,2003-07-02,NaN,NaN,NaN,NaN,NaN,NaN,NaN
52v2ru861dfey5m0uc56ew1lg,Baldur Kári,Helgason,Baldur,Kári Helgason,B. Helgason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,37.0,active,yes,2005-02-08,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5kob5ak338whsu5tnu7dysfrp,Heimir,Guðjónsson,Heimir,Gudjónsson,H. Guðjónsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,coach,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,active,yes,1969-04-03,187.0,NaN,84.0,NaN,NaN,NaN,NaN
5pbjtkchy3uq80kanhc4h2axh,Finnur Orri,Margeirsson,Finnur,Margeirsson,F. Margeirsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,8.0,active,yes,1991-03-08,180.0,Reykjavik,75.0,right,NaN,NaN,NaN
6a8edcekj0726758j2p3v4slx,Davíð Þór,Viðarsson,David,Vidarsson,D. Viðarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,assistant coach,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,active,yes,1984-04-24,187.0,Reykjavík,85.0,left,NaN,NaN,NaN
6l5coe4u8lwquq4n1r7721cr9,Eggert Gunnþór,Jónsson,Eggert,Jónsson,E. Jónsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,6.0,active,no,1988-08-18,188.0,Reykjavik,81.0,right,NaN,NaN,NaN
6r0yq4i1lk788h1euk5ztec5,Viðar Ari,Jónsson,Vidar Ari,Jónsson,V. Jónsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,23.0,active,no,1994-03-10,184.0,NaN,75.0,right,NaN,NaN,NaN
78hkvikknejo7qoescoz7uaqd,Hörður Ingi,Gunnarsson,Hördur,Gunnarsson,H. Gunnarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,16.0,active,no,1998-08-14,184.0,Reykjavík,NaN,right,NaN,NaN,NaN
7i8cqab89dlqbzfi72xm8jsb8,Heiðar Máni,Hermannsson,Heidar,Hermannsson,Ḥ. Hermannsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Goalkeeper,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,12.0,active,yes,2005-10-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8lpo3lj2ps6ldv6at8eq54cno,Ísak,Atlason,Ísak,Atlason,Í. Atlason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,31.0,active,no,2007-01-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
90wkclyap4w8q4qv29btwzh05,Grétar Snær,Gunnarsson,Grétar,Gunnarsson,G. Gunnarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,21.0,active,yes,1997-01-08,NaN,NaN,NaN,NaN,Grétar Gunnarsson,NaN,NaN
91u91o671y24nfws3oeazkic5,Steven,Lennon,Steven,Lennon,S. Lennon,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,Attacker,player,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,7.0,active,no,1988-01-20,170.0,Irvine,60.0,right,NaN,NaN,NaN
94z7p8s4gbq5sshk4zmiadisq,Jóhann Ægir,Arnarsson,Jóhann,Arnarsson,J. Arnarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,27.0,active,yes,2002-12-09,NaN,NaN,NaN,NaN,Jóhann Arnarsson,NaN,NaN
9x6p3yrcb8ujaf6fucihdm21h,Björn Daníel,Sverrisson,Björn,Sverrisson,B. Sverrisson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,10.0,active,yes,1990-05-29,183.0,Hafnarfjörður,78.0,left,NaN,NaN,NaN
amdo0gvq5yaascwon92mhyaga,Eetu,Mömmö,Eetu,Mömmö,E. Mömmö,Finland,2u07e54v5dprsugdvddpq5ync,Attacker,player,Finland,2u07e54v5dprsugdvddpq5ync,19.0,active,no,2002-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
aq847shdr4pvjnqioyxnpn90q,Róbert Thor,Valdimarsson,Róbert,Valdimarsson,R. Valdimarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,active,no,2004-03-23,NaN,NaN,NaN,NaN,NaN,NaN,NaN
b5j2yt4u3l2qgaltye0ycw8b8,Bjarki,Steinsen Arnarsson,Bjarki,Arnarsson,B. Arnarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,20.0,active,yes,2005-12-22,NaN,NaN,NaN,NaN,NaN,NaN,NaN
bolhq239atugpjpes5oijvnys,Þorri Stefán,Þorbjörnsson,Thorri,Thorbjörnsson,Þ. Þorbjörnsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,active,no,2006-08-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN
c93w2tl8or2miohm40i2p6oyd,Dani,Hatakka,Dani,Hatakka,D. Hatakka,Finland,2u07e54v5dprsugdvddpq5ync,Defender,player,Finland,2u07e54v5dprsugdvddpq5ync,26.0,active,no,1994-03-12,185.0,Espoo,82.0,NaN,NaN,NaN,NaN
cgtiys9a71wdpto6tfsg9efvt,Arnór Borg,Guðjohnsen,Arnór,Gudjohnsen,A. Guðjohnsen,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,25.0,active,yes,2000-09-16,NaN,NaN,NaN,NaN,NaN,NaN,NaN
d7hxe7djxov6k2hcxgcbnu7tg,Dagur,Traustason,Dagur,Traustason,D. Traustason,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,22.0,active,no,2005-03-24,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dgmdkay09a5h8yal86xn6ex2h,Ástbjörn,Þórðarson,Ástbjörn,Thórdarson,Á. Þórðarson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,2.0,active,yes,1999-07-26,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dn8omh6mbqkk6d6s9390ocvhm,Oliver,Heiðarsson,Oliver,Heidarsson,O. Heiðarsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,22.0,active,no,2001-02-23,NaN,NaN,NaN,right,NaN,NaN,NaN
e15ul5wi52ujg5n95hd7fxf6c,Úlfur Ágúst,Björnsson,Úlfur,Björnsson,Ú. Björnsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Attacker,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,33.0,active,yes,2003-06-12,NaN,NaN,NaN,NaN,NaN,NaN,NaN
e68wsj3hgc96r9uzqz3wa16qy,Davíð Snær,Jóhannsson,Davíd,Jóhannsson,D. Jóhannsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Norway,7f16iy4w8u8ogyn6pfooqwv5z,11.0,active,no,2002-06-15,176.0,Oslo,NaN,right,NaN,Norway,7f16iy4w8u8ogyn6pfooqwv5z
ecljs4imbajp6qcgn5faqvs6i,Logi Hrafn,Róbertsson,Logi,Róbertsson,L. Róbertsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,34.0,active,yes,2004-07-22,187.0,NaN,NaN,right,NaN,NaN,NaN
emvch5bi808s5y92rb740xmnd,Vuk Oskar,Dimitrijevic,Vuk,Dimitrijevic,V. Dimitrijevic,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,29.0,active,yes,2001-02-28,NaN,NaN,NaN,NaN,NaN,NaN,NaN
f2xpgtbb0ebfp250936anub1m,Ólafur Andrés,Guðmundsson,Ólafur,Gudmundsson,Ó. Guðmundsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Defender,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,4.0,active,yes,2002-03-18,NaN,NaN,NaN,NaN,Ólafur Gudmundsson,NaN,NaN
1t6ifqjgdducyo4qmq1ocz8mi,Tryggvi Snær,Geirsson,Tryggvi Snær,Geirsson,T. Geirsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,20.0,active,yes,2000-06-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2eyoucq3okoiri7azycltfdud,Ragnar,Sigurðsson,Ragnar,Sigurdsson,R. Sigurðsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,coach,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,active,no,1986-06-19,187.0,Reykjavík,77.0,right,NaN,NaN,NaN
32fospqs5sej7f33t7m4ioydw,Albert,Vésteinsson Östenberg,Albert,Vésteinsson Östenberg,A. Vésteinsson Östenberg,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,active,no,2004-01-13,NaN,NaN,NaN,NaN,NaN,Iceland,4jjsm5a20nnxgw5cus6b7yxc6
369jnvtugsvuhfzmlxqk13622,Jón Þórir,Sveinsson,Jon,Sveinsson,J. Sveinsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,coach,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,NaN,active,no,1965-08-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN
418pvntm5e5kcoeyjjnzm7hg4,Breki,Baldursson,Breki,Baldursson,B. Baldursson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Midfielder,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,15.0,active,yes,2006-08-11,NaN,NaN,NaN,NaN,NaN,NaN,NaN
466qumqamxuvfxndm8aka5ega,Benjamín,Jónsson,Benjamín,Jónsson,B. Jónsson,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,Goalkeeper,player,Iceland,4jjsm5a20nnxgw5cus6b7yxc6,12.0,active,no,2003-10-03,NaN,NaN,NaN,NaN,Benjamín Jónsson,NaN,NaN
