id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,height,weight,foot,startDate,endDate,status,active,secondNationality,secondNationalityId,position,shirtNumber,knownName,dateOfDeath
495xdhu4x5bvngu75pel55ko9,Tommi Matti,Jyry,Tommi,Jyry,Male,T. Jyry,Finland,2u07e54v5dprsugdvddpq5ync,player,1999-08-16,NaN,Finland,2u07e54v5dprsugdvddpq5ync,170.0,NaN,right,2024-02-06Z,NaN,active,yes,NaN,NaN,Midfielder,6.0,NaN,NaN
4f81x2c4lejp3jsk7j5s3rnfu,Marian Fernando,Huja,Marian Fernando,Huja,Male,Marian Huja,Portugal,1nbm5i9a0403zzvltn17lxinc,player,1999-08-05,Agualva-Cacém,Portugal,1nbm5i9a0403zzvltn17lxinc,191.0,NaN,left,2020-09-29Z,2025-06-28Z,active,no,Romania,17oj2qrzqlkhdjvazum10sx2i,Defender,2.0,Marian Huja,NaN
4hxo8z8y6d0rupc6oh1cs4g0k,Alin Marius,Boțogan,Alin,Botogan,Male,A. Boțogan,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2004-02-21,Ploiești,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-06-18Z,NaN,active,yes,NaN,NaN,Midfielder,36.0,NaN,NaN
4lb3dmpcee7y4j44gtvcbgzx1,Mehmet,Topal,Mehmet,Topal,Male,M. Topal,Türkiye,6kd6webenogylfgwt2aa9l6vx,coach,1986-03-03,Malatya,Türkiye,6kd6webenogylfgwt2aa9l6vx,187.0,82.0,both,2025-03-18Z,2025-05-23Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN
6jo2r6t4xi2ovarqz40ji0a21,Mihai Alexandru,Eșanu,Mihai,Esanu,Male,M. Eșanu,Romania,17oj2qrzqlkhdjvazum10sx2i,player,1998-07-25,București,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2023-06-29Z,2025-06-30Z,active,no,NaN,NaN,Goalkeeper,12.0,NaN,NaN
6jyv8rjtv8rey5wtble05c445,Okechukwu Christian,Irobiso,Christian,Irobiso,Male,C. Irobiso,Nigeria,63pvdwrsiq5b07mzi8igqei9p,player,1993-05-28,Lagos,Nigeria,63pvdwrsiq5b07mzi8igqei9p,190.0,77.0,left,2024-01-25Z,2025-06-30Z,active,no,Portugal,1nbm5i9a0403zzvltn17lxinc,Attacker,9.0,NaN,NaN
6l0le7qa2uh9elkaxu4tgptlg,Victor Marian,Stancovici,Victor,Stancovici,Male,V. Stancovici,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2005-10-26,Ploiești,Romania,17oj2qrzqlkhdjvazum10sx2i,182.0,70.0,right,2024-08-15Z,NaN,active,yes,NaN,NaN,Midfielder,33.0,NaN,NaN
6lnsr00btsn51fooadijl6xnt,Valentin,Gheorghe,Valentin,Gheorghe,Male,V. Gheorghe,Romania,17oj2qrzqlkhdjvazum10sx2i,player,1997-02-14,Ploieşti,Romania,17oj2qrzqlkhdjvazum10sx2i,175.0,64.0,right,2025-01-30Z,NaN,active,yes,NaN,NaN,Attacker,NaN,NaN,NaN
6xg4pr8j99fbtxxkx3si618tl,Kilian,Ludewig,Kilian,Ludewig,Male,K. Ludewig,Germany,36min0qztu8eydwvpv8t1is0m,player,2000-03-05,Hamburg,Germany,36min0qztu8eydwvpv8t1is0m,175.0,66.0,right,2025-02-11Z,NaN,active,yes,NaN,NaN,Defender,29.0,NaN,NaN
7h0ez187man5m0lqsrecv5ql1,Alexandru,Mateiu,Alexandru,Mateiu,Male,A. Mateiu,Romania,17oj2qrzqlkhdjvazum10sx2i,player,1989-12-10,Braşov,Romania,17oj2qrzqlkhdjvazum10sx2i,175.0,74.0,right,2024-06-18Z,NaN,active,yes,NaN,NaN,Midfielder,8.0,NaN,NaN
7qsdl6jajrqdnf7qljklki2fp,Guilherme,Gomes Garutti,Guilherme,Gomes Garutti,Male,Guilherme Garutti,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,player,1994-03-08,Marília,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,194.0,86.0,right,2023-06-22Z,2024-07-23Z,active,no,Italy,25f2cmb2r8mk5rj92tzer6kvv,Defender,15.0,Guilherme Garutti,NaN
83g3r3u4hzq9617uhihe3epqt,Gheorghe Teodor,Grozav,Gheorghe,Grozav,Male,G. Grozav,Romania,17oj2qrzqlkhdjvazum10sx2i,player,1990-09-29,Alba Iulia,Romania,17oj2qrzqlkhdjvazum10sx2i,183.0,74.0,left,2022-06-15Z,NaN,active,yes,NaN,NaN,Midfielder,7.0,NaN,NaN
8b2gor1c5ho63hp2gpdty82s4,Vlad,Stancovici,Vlad,Stancovici,Male,V. Stancovici,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2007-02-21,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-08-09Z,2025-06-30Z,active,no,NaN,NaN,Midfielder,NaN,NaN,NaN
8spdnkipr746ucrxishl999n8,Alexandru,Sabău,Alexandru,Sabau,Male,A. Sabău,Romania,17oj2qrzqlkhdjvazum10sx2i,player,1998-07-12,Arad,Romania,17oj2qrzqlkhdjvazum10sx2i,185.0,NaN,NaN,2024-07-01Z,2024-07-30Z,active,no,NaN,NaN,Defender,NaN,NaN,NaN
993p8tut30nxq03pc1pzuufx0,Juan Andres,Pătrașcu,Juan,Patrascu,Male,J. Pătrașcu,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2004-04-15,Ploiești,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-06-18Z,2025-08-07Z,active,no,NaN,NaN,Midfielder,NaN,NaN,NaN
998ividd1duigmogj0fpbci6s,Rareș Cristian,Manolache,Rares,Manolache,Male,R. Manolache,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2010-01-11,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-12-01Z,NaN,active,yes,NaN,NaN,Midfielder,NaN,NaN,NaN
9c4tjwya93e5kvkky7bfzdtcl,Alexandru,Tudorie,Alexandru,Tudorie,Male,A. Tudorie,Romania,17oj2qrzqlkhdjvazum10sx2i,player,1996-03-19,Galaţi,Romania,17oj2qrzqlkhdjvazum10sx2i,190.0,77.0,right,2024-06-18Z,2025-02-09Z,active,no,NaN,NaN,Attacker,19.0,NaN,NaN
9hf3cqj9cd6m2x4sb05e0n1t5,Oscar Carl,Linnér,Oscar,Linnér,Male,O. Linnér,Sweden,1z6l2c33w2kyz9rdefs1d68nb,player,1997-02-23,Stockholm,Sweden,1z6l2c33w2kyz9rdefs1d68nb,200.0,84.0,right,2024-12-06Z,2025-06-02Z,active,no,NaN,NaN,Goalkeeper,34.0,NaN,NaN
9qmnzr8kup99brxlvtq99in3e,Cafer Oğuz,Kaynar,Cafer,Kaynar,Male,C. Kaynar,Türkiye,6kd6webenogylfgwt2aa9l6vx,assistant coach,1991-04-28,Sivas,Türkiye,6kd6webenogylfgwt2aa9l6vx,NaN,NaN,NaN,2024-10-25Z,2025-05-23Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN
a59inho5fd5ud84xlfsdg3rl6,Raul Andrei,Bălbărău,Raul,Balbarau,Male,R. Bălbărău,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2001-04-07,Galați,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-02-07Z,NaN,active,yes,NaN,NaN,Goalkeeper,1.0,NaN,NaN
bbtdvomvrc5tdc627pohwump6,Mario George,Bratu,Mario,Bratu,Male,M. Bratu,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2002-06-07,Ploiești,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2019-01-01Z,2025-06-30Z,active,no,NaN,NaN,Midfielder,10.0,NaN,NaN
br1193osv0vn4vd2nkp43ukgk,Bogdan Nicolae,Marian,Bogran,Marian,Male,B. Marian,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2004-12-04,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-08-11Z,NaN,active,yes,England,1fk5l4hkqk12i7zske6mcqju6,Defender,64.0,NaN,NaN
bs8j8frdsvh15ay9rnwdkjtw4,Mihnea Gabriel,Rădulescu,Mihnea,Radulescu,Male,M. Rădulescu,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2005-09-17,Ploiești,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-06-18Z,2025-06-17Z,active,no,NaN,NaN,Midfielder,17.0,NaN,NaN
c255t50oxhlpop1rw96xlgaju,Alexandru Iulian,Stănică,Alexandru,Stanica,Male,A. Stănică,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2000-09-06,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,181.0,73.0,NaN,2024-06-18Z,2025-08-01Z,active,no,NaN,NaN,Defender,3.0,NaN,NaN
c6r50q9phzvhdopol51rtdnqi,Albin,Berisha,Albin,Berisha,Male,A. Berisha,Kosovo,86u6edbqifdjsn49mbp2anw7p,player,2001-01-14,Gjinoc,Kosovo,86u6edbqifdjsn49mbp2anw7p,189.0,77.0,left,2024-02-05Z,2024-08-14Z,active,no,NaN,NaN,Attacker,NaN,NaN,NaN
cbrsiqtv0poy7rh73e30cyl0,Iustin Alexandru,Răducan,Iustin,Raducan,Male,I. Răducan,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2005-07-20,București,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2023-07-01Z,NaN,active,yes,NaN,NaN,Attacker,90.0,NaN,NaN
cohaghln4axgl1titw3hkv8id,Tidiane,Keita,Tidiane,Keita,Male,T. Keita,France,7gww28djs405rfga69smki84o,player,1996-09-18,Gonesse,France,7gww28djs405rfga69smki84o,180.0,NaN,right,2024-06-25Z,2025-08-02Z,active,no,Guinea,4i9sg55wigitrfx7290f59ceo,Midfielder,23.0,NaN,NaN
cwfwx0m9k9so9hj0f43m2ledw,David,Ilie,David,Ilie,Male,D. Ilie,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2004-08-17,Ploiești,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-06-18Z,2025-02-10Z,active,no,NaN,NaN,Attacker,71.0,NaN,NaN
d1mameg2a2xpszzdx7oqqn76c,Ioan Cătălin,Tolea,Ioan,Tolea,Male,I. Tolea,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2003-05-11,Târgoviște,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-06-18Z,NaN,active,yes,NaN,NaN,Midfielder,30.0,NaN,NaN
d6bcf95tgmgethdjhhfb6uqqd,Florin Cornel,Stângă,Florin,Stanga,Male,F. Stângă,Romania,17oj2qrzqlkhdjvazum10sx2i,assistant coach,1978-06-22,Brașov,Romania,17oj2qrzqlkhdjvazum10sx2i,178.0,75.0,NaN,2024-01-01Z,NaN,active,yes,NaN,NaN,NaN,NaN,NaN,NaN
d9rzos37h5f31nn0iqry4vb4k,David Ionuț,Paraschiv,David,Paraschiv,Male,D. Paraschiv,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2006-09-28,București,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-02-02Z,NaN,active,yes,NaN,NaN,Midfielder,21.0,NaN,NaN
dhb6r3msmmayy7v0b1gb40445,Lukáš,Zima,Lukás,Zima,Male,L. Zima,Czechia,5md5tpwr2nmqao528prx43jr7,player,1994-01-09,Hradec Kralove,Czechia,5md5tpwr2nmqao528prx43jr7,196.0,82.0,right,2023-06-20Z,2024-12-31Z,active,no,NaN,NaN,Goalkeeper,38.0,NaN,NaN
dmjmvyve2z2ntzpwksivmgi96,Alexandru Mihai,Ișfan,Alexandru,Isfan,Male,A. Ișfan,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2000-01-31,Mioveni,Romania,17oj2qrzqlkhdjvazum10sx2i,177.0,NaN,NaN,2024-01-17Z,2024-07-23Z,active,no,NaN,NaN,Midfielder,31.0,NaN,NaN
dvaaahdva40lfh359h2roxlux,Herman,Moussaki,Herman,Moussaki,Male,H. Moussaki,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,player,1999-02-10,Brazzaville,Congo DR,6xq2smnxqvc5bh7vzza9ljiy9,187.0,77.0,right,2024-09-04Z,2025-06-30Z,active,no,France,7gww28djs405rfga69smki84o,Attacker,11.0,NaN,NaN
e4lsrls4ax2x0rche50ymt2zu,Raul Gabriel,Bucur,Raul,Bucur,Male,R. Bucur,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2002-12-24,Ploiești,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-03-17Z,2025-06-30Z,active,no,NaN,NaN,Attacker,99.0,NaN,NaN
e707ry26etbnb1npnnnxnxono,Hasan,Jahić,Hasan,Jahic,Male,H. Jahić,Norway,7f16iy4w8u8ogyn6pfooqwv5z,player,2001-07-30,Fredrikstad,Norway,7f16iy4w8u8ogyn6pfooqwv5z,NaN,NaN,NaN,2024-08-07Z,2025-06-30Z,active,no,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,Defender,15.0,NaN,NaN
el1ayrhihyvl8ugctnf2e4dsl,Lucian Mihai,Dumitriu,Lucian,Dumitriu,Male,L. Dumitriu,Romania,17oj2qrzqlkhdjvazum10sx2i,player,1992-09-21,Bârlad,Romania,17oj2qrzqlkhdjvazum10sx2i,180.0,NaN,NaN,2022-06-16Z,NaN,active,yes,NaN,NaN,Midfielder,44.0,NaN,NaN
evo0n7uqvkj7gjqqiy8qi3n8q,Sanjin,Alagic,Sanjin,Alagic,Male,S. Alagic,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,coach,1977-09-26,NaN,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,NaN,NaN,NaN,2024-07-10Z,2024-12-31Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN
f2fxhj2uuzsf9om2ejh1xc79x,Ricardo José,Veiga Varzim Miranda,Ricardo José,Veiga Varzim Miranda,Male,Ricardinho,Portugal,1nbm5i9a0403zzvltn17lxinc,player,1994-03-24,Barcelos,Portugal,1nbm5i9a0403zzvltn17lxinc,179.0,73.0,right,2024-06-19Z,NaN,active,yes,NaN,NaN,Defender,24.0,Ricardinho,NaN
he5kvvr8ugb73ynefc24uc45,Paul,Papp,Paul,Papp,Male,P. Papp,Romania,17oj2qrzqlkhdjvazum10sx2i,player,1989-11-11,Dej,Romania,17oj2qrzqlkhdjvazum10sx2i,188.0,80.0,right,2023-02-16Z,NaN,active,yes,NaN,NaN,Defender,4.0,NaN,NaN
rg80qwd9kk9u8evchjboobmd,Takayuki,Seto,Takayuki,Seto,Male,T. Seto,Japan,lxyibh89lpdc0bfian1nx0xq,player,1986-02-05,Nagoya,Japan,lxyibh89lpdc0bfian1nx0xq,181.0,73.0,right,2021-07-18Z,2024-07-22Z,active,no,NaN,NaN,Midfielder,11.0,NaN,NaN
19qtx4n4tmo0pbkzezmieiezu,Robert,Mišković,Robert,Miskovic,Male,R. Mišković,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1999-10-20,Ingolstadt,Germany,36min0qztu8eydwvpv8t1is0m,189.0,84.0,right,2024-07-10Z,2025-01-26Z,active,no,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,14.0,NaN,NaN
1ak83fgly1q9a8loutq3i2bro,Dragoș Adrian,Ungurenașu,Dragos,Ungurenasu,Male,D. Ungurenașu,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2004-08-25,Iași,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-07-01Z,2024-07-30Z,active,no,NaN,NaN,Defender,NaN,NaN,NaN
1std4s39syf3utuoro591gy6s,David Andronic,Popa,David,Popa,Male,D. Popa,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2007-03-13,Luduș,Romania,17oj2qrzqlkhdjvazum10sx2i,172.0,59.0,left,2024-08-06Z,2025-02-10Z,active,no,NaN,NaN,Attacker,70.0,David Popa,NaN
2211d8y3hepn346skzduj1gr8,Darius,Dobrean,Darius,Dobrean,Male,D. Dobrean,Romania,17oj2qrzqlkhdjvazum10sx2i,player,NaN,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2025-01-01Z,NaN,active,yes,NaN,NaN,Defender,16.0,NaN,NaN
229rw2oza88s5t8y1y49rshec,Bogdan-Mihai,Istratie,Bogdan,Istratie,Male,B. Istratie,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2004-01-28,Drobeta-Turnu Severin,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-07-01Z,NaN,active,yes,NaN,NaN,Attacker,NaN,NaN,NaN
2qt1rbwg9tjigtsbxw8mgdxey,Cláudio,Moreira da Silva,Claudio Moreira,Silva,Male,Cláudio Silva,Portugal,1nbm5i9a0403zzvltn17lxinc,player,2000-06-29,Porto,Portugal,1nbm5i9a0403zzvltn17lxinc,188.0,80.0,left,2024-07-01Z,2025-06-30Z,active,no,NaN,NaN,Defender,4.0,Claudio Silva,NaN
2rauk342fm2yqtx3ltgdyf2ll,Sekou,Camara,Sekou,Camara,Male,S. Camara,Guinea,4i9sg55wigitrfx7290f59ceo,player,1997-07-20,Conakry,Guinea,4i9sg55wigitrfx7290f59ceo,NaN,NaN,NaN,2025-01-17Z,NaN,active,yes,NaN,NaN,Attacker,19.0,NaN,NaN
2sl9byxivzzchhqssfghyhmju,Eduardo,Nardini,Eduardo,Nardini,Male,Dudu Nardini,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,player,1997-07-21,NaN,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,185.0,NaN,left,2025-02-22Z,2025-06-30Z,active,no,Italy,25f2cmb2r8mk5rj92tzer6kvv,Midfielder,8.0,Dudu Nardini,NaN
2xk8y0gp6jzkhzxh58ln3i7dh,Anthony,da Silva,Anthony,da Silva,Male,Tony,Portugal,1nbm5i9a0403zzvltn17lxinc,coach,1980-12-20,Le Creusot,France,7gww28djs405rfga69smki84o,178.0,70.0,NaN,2024-04-01Z,2024-09-04Z,active,no,NaN,NaN,NaN,NaN,Tony,NaN
2yqw2l5ehgsoem341wi6jw9ud,Vasile Laszlo,Miriuță,Vasile,Miriuta,Male,V. Miriuță,Hungary,1vy5vlux7mj2r7r9ktd71hhpo,coach,1968-09-19,Baia Mare,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2025-01-28Z,2025-06-30Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN
33rkjsxp7zfr0e9meoj4bwmhh,Alin,Roman,Alin,Roman,Male,A. Roman,Romania,17oj2qrzqlkhdjvazum10sx2i,player,1994-01-27,Timişoara,Romania,17oj2qrzqlkhdjvazum10sx2i,173.0,68.0,left,2022-08-03Z,2025-06-30Z,active,no,NaN,NaN,Midfielder,10.0,NaN,NaN
3mnq8cdazrop2q5gzdj14v5lg,Andrei Cosmin,Gheorghiță,Andrei,Gheorghita,Male,A. Gheorghiță,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2002-07-16,București,Romania,17oj2qrzqlkhdjvazum10sx2i,182.0,NaN,right,2023-07-10Z,2025-02-06Z,active,no,NaN,NaN,Attacker,80.0,NaN,NaN
3ms587mo62w1k5mtbfikzp3sa,Denis-Andrei,Ciobanu,Denis-Andrei,Ciobanu,Male,D. Ciobanu,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2004-05-24,NaN,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-01-01Z,NaN,active,yes,NaN,NaN,Midfielder,77.0,NaN,NaN
3oe6f2akc0kkmexyym1v9c3c9,Nicolás,Samayoa Pacheco,Nicolás,Samayoa,Male,N. Samayoa,Guatemala,6bw57gk867vfrep8b5e4ykh24,player,1995-08-02,Ciudad de Guatemala,Guatemala,6bw57gk867vfrep8b5e4ykh24,188.0,79.0,right,2023-07-21Z,2025-07-22Z,active,no,USA,7hr2f89v44y65dyu9k92vprwn,Defender,3.0,NaN,NaN
4cbg12g21c6xrbnt3efrt6gkq,João Paulino,Moreira Fernandes,João Paulino,Moreira Fernandes,Male,João Paulino,Cabo Verde,7235kgq23bu1v4qwk491u58h0,player,1998-05-26,Ribeira Grande,Cabo Verde,7235kgq23bu1v4qwk491u58h0,NaN,NaN,NaN,2025-01-17Z,2025-03-11Z,active,no,NaN,NaN,Attacker,NaN,João Paulino,NaN
4d70ge13biepbln2k00bhw8o9,Shayon Adam,Harrison,Shayon,Harrison,Male,S. Harrison,England,1fk5l4hkqk12i7zske6mcqju6,player,1997-07-13,London,England,1fk5l4hkqk12i7zske6mcqju6,183.0,NaN,left,2022-08-25Z,2024-12-31Z,active,no,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,Attacker,9.0,NaN,NaN
557xi1d5ruy7rcmz47nwlwph,Todor,Todoroski,Todor,Todoroski,Male,T. Todoroski,North Macedonia,1lesyxylc5eza0a4z87t9azcc,player,1999-02-26,Prilep,North Macedonia,1lesyxylc5eza0a4z87t9azcc,NaN,NaN,NaN,2024-01-01Z,2025-01-06Z,active,no,NaN,NaN,Defender,30.0,NaN,NaN
5cw5v1j6k7kkbw9runbp2ick4,Luca Alessandro,Mihai,Luca,Mihai,Male,L. Mihai,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2003-10-11,București,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-01-25Z,2024-12-31Z,active,no,NaN,NaN,Midfielder,8.0,NaN,NaN
5fxkh0mj02g2wh8ibbvlblsh6,Xhuliano,Skuka,Xhuliano,Skuka,Male,X. Skuka,Albania,17zsm8shejejls2on1ffil3op,player,1998-08-02,Peshkopi,Albania,17zsm8shejejls2on1ffil3op,182.0,72.0,right,2025-02-09Z,2025-06-30Z,active,no,France,7gww28djs405rfga69smki84o,Attacker,9.0,NaN,NaN
5nwtoh72lr8hora6n671wcwr9,Emil,Săndoi,Emil,Sandoi,Male,E. Săndoi,Romania,17oj2qrzqlkhdjvazum10sx2i,coach,1965-03-01,Craiova,Romania,17oj2qrzqlkhdjvazum10sx2i,NaN,NaN,NaN,2024-09-11Z,2025-01-27Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN
5q2g9wes4q0nwei453jzb7pxw,Diego,Fărcaș,Diego,Farcas,Male,D. Fărcaș,Romania,17oj2qrzqlkhdjvazum10sx2i,player,2005-11-22,Prato,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,NaN,2025-01-01Z,NaN,active,yes,Italy,25f2cmb2r8mk5rj92tzer6kvv,Midfielder,NaN,NaN,NaN
60rha40wygip5jkdxo4z1nb2t,Adama,Salimou Diakhaby,Adama,Diakhaby,Male,A. Diakhaby,France,7gww28djs405rfga69smki84o,player,1996-07-05,Ajaccio,France,7gww28djs405rfga69smki84o,184.0,65.0,left,2025-02-11Z,2025-05-27Z,active,no,Senegal,6hhqyhr5cwq2pfprlazyposyk,Midfielder,11.0,NaN,NaN
61ar3scpbv7v64mijbnofm5uc,Mursal,Banse,Mursal,Banse,Male,M. Banse,Italy,25f2cmb2r8mk5rj92tzer6kvv,player,2006-10-11,Bassano del Grappa,Italy,25f2cmb2r8mk5rj92tzer6kvv,NaN,NaN,right,2025-01-31Z,2025-06-30Z,active,no,NaN,NaN,Midfielder,NaN,NaN,NaN
