id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,type,dateOfBirth,placeOfBirth,countryOfBirth,countryOfBirthId,startDate,endDate,status,active,position,shirtNumber,secondNationality,secondNationalityId,height,weight,foot,knownName,dateOfDeath
7mxwp86ylr1rvounew1auzwet,Josip,Drmić,Josip,Drmic,Male,J. Drmić,Switzerland,3bh70jgvc5mn58x0byjkuda17,player,1992-08-08,Freienbach,Switzerland,3bh70jgvc5mn58x0byjkuda17,2022-07-01Z,2024-06-30Z,active,no,Attacker,NaN,NaN,NaN,183.0,81.0,right,NaN,NaN
7onr52be14is8cwcfd2k1i784,Martin,Baturina,Martin,Baturina,Male,M. Baturina,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2003-02-16,Split,Croatia,37hlakrwxyuzovaeoo4sezusp,2020-12-10Z,2025-07-01Z,active,no,Midfielder,10.0,NaN,NaN,172.0,68.0,right,NaN,NaN
8f4dnhlapwc3zd9sz7a6pb651,Marko,Rog,Marko,Rog,Male,M. Rog,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1995-07-19,Varaždin,Croatia,37hlakrwxyuzovaeoo4sezusp,2024-02-12Z,2025-06-30Z,active,no,Midfielder,14.0,NaN,NaN,180.0,73.0,right,NaN,NaN
8ic751797x9g5cxsdkttz23f9,Mahir,Emreli,Mahir,Emreli,Male,M. Emreli,Azerbaijan,52sufqqq7vid3xa6iljx6obcz,player,1997-07-01,Bakı,Azerbaijan,52sufqqq7vid3xa6iljx6obcz,2023-07-01Z,2024-07-29Z,active,no,Attacker,11.0,NaN,NaN,185.0,75.0,left,NaN,NaN
8ppp2y3f4kuwad3njqdmmq76d,Danijel,Zagorac,Danijel,Zagorac,Male,D. Zagorac,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1987-02-07,Drniš,Croatia,37hlakrwxyuzovaeoo4sezusp,2017-02-01Z,NaN,active,yes,Goalkeeper,1.0,NaN,NaN,186.0,80.0,right,NaN,NaN
92xu5nknn8kjr94ttztazx4yy,Robert,Ljubičić,Robert,Ljubicic,Male,R. Ljubičić,Austria,hcs1bd49qliqqity6o268jyt,player,1999-07-14,Wien,Austria,hcs1bd49qliqqity6o268jyt,2022-07-01Z,2024-01-30Z,active,no,Midfielder,14.0,Croatia,37hlakrwxyuzovaeoo4sezusp,178.0,75.0,left,NaN,NaN
96yikwkvaqoblxfn43f4gswr9,Josip,Mišić,Josip,Misic,Male,J. Mišić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1994-06-28,Vinkovci,Croatia,37hlakrwxyuzovaeoo4sezusp,2021-07-01Z,NaN,active,yes,Midfielder,27.0,NaN,NaN,178.0,71.0,right,NaN,NaN
9hz4s6zmelmg4ix47xbre3q3t,Ronaël Julien,Pierre-Gabriel,Ronaël,Pierre-Gabriel,Male,R. Pierre-Gabriel,France,7gww28djs405rfga69smki84o,player,1998-06-13,Paris,France,7gww28djs405rfga69smki84o,2024-02-07Z,NaN,active,yes,Defender,18.0,Martinique,1eb70pvuqssbbg3yamdba5ie5,177.0,76.0,right,NaN,NaN
9ibfqo6hd2vre5nhkh9e2gnh1,Bruno,Petković,Bruno,Petkovic,Male,B. Petković,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1994-09-16,Metković,Croatia,37hlakrwxyuzovaeoo4sezusp,2018-08-04Z,2025-06-11Z,active,no,Attacker,9.0,NaN,NaN,193.0,88.0,right,NaN,NaN
9rymgzdlt26k7cw0qlh1ysfai,Maro,Katinić,Maro,Katinic,Male,M. Katinić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2004-04-13,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,2023-09-21Z,2023-09-21Z,active,no,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9tsa5z27vsqultqqmtglptzis,Luka,Vrbančić,Luka,Vrbancic,Male,L. Vrbančić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2005-07-04,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,2023-01-20Z,2024-09-04Z,active,no,Midfielder,36.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9vw3ptqh7422tggc844720tbe,Jakov-Anton,Vasilj,Jakov-Anton,Vasilj,Male,J. Vasilj,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2002-06-02,Zadar,Croatia,37hlakrwxyuzovaeoo4sezusp,2023-06-20Z,2024-02-12Z,active,no,Midfielder,92.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
a6c8kxkcb77ldh3dpondvd2sq,Faris,Krkalić,Faris,Krkalic,Male,F. Krkalić,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,player,2002-06-15,NaN,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,2023-09-25Z,2025-03-07Z,active,no,Goalkeeper,32.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
aakhm70l21qq76mxvupcmnuy2,Marko,Bulat,Marko,Bulat,Male,M. Bulat,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2001-09-26,Šibenik,Croatia,37hlakrwxyuzovaeoo4sezusp,2021-07-01Z,2024-07-02Z,active,no,Midfielder,31.0,NaN,NaN,178.0,68.0,right,NaN,NaN
aap0mwj1tnezbgik0rhpvn9w5,Bohdan,Mykhailichenko,Bohdan,Mykhailichenko,Male,B. Mykhailichenko,Ukraine,315w6fk6umfzf4qvba3t55u61,player,1997-03-21,Boryspil,Ukraine,315w6fk6umfzf4qvba3t55u61,2023-07-24Z,2024-01-25Z,active,no,Defender,NaN,NaN,NaN,178.0,73.0,left,NaN,NaN
ag92u9zv5oriy1utdp0f3dsve,Filip,Brekalo,Filip,Brekalo,Male,F. Brekalo,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2003-01-20,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,2024-01-01Z,2024-01-25Z,active,no,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
aie09n600h7ozeg6zl6anithx,Tibor,Halilović,Tibor,Halilovic,Male,T. Halilović,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1995-03-18,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,2023-09-04Z,2024-06-30Z,active,no,Midfielder,23.0,NaN,NaN,176.0,70.0,right,NaN,NaN
ataq08lvaj8i1jg5c5iqz81sk,Luka,Stojković,Luka,Stojkovic,Male,L. Stojković,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2003-10-28,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,2023-08-22Z,NaN,active,yes,Midfielder,7.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
b95wuyxyxe5pkcenn6ibkym6t,Igor,Bišćan,Igor,Biscan,Male,I. Bišćan,Croatia,37hlakrwxyuzovaeoo4sezusp,coach,1978-05-04,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,2023-04-06Z,2023-08-21Z,active,no,NaN,NaN,NaN,NaN,190.0,83.0,NaN,NaN,NaN
bk71gdvfi4hxvktbqzqp6j47o,Ivan,Cvetko,Ivan,Cvetko,Male,I. Cvetko,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2005-11-23,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,2024-02-01Z,2024-07-29Z,active,no,Defender,35.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
bmgl3szbbebwx79jzglf9v209,Luka,Ivanušec,Luka,Ivanusec,Male,L. Ivanušec,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1998-11-26,Varaždin,Croatia,37hlakrwxyuzovaeoo4sezusp,2019-08-19Z,2023-08-25Z,active,no,Attacker,NaN,NaN,NaN,175.0,76.0,right,NaN,NaN
brefeuf4p9yn1d5gbx503hhat,Fran,Brodić,Fran,Brodic,Male,F. Brodić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1997-01-08,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,2023-01-16Z,2024-07-26Z,active,no,Attacker,19.0,NaN,NaN,180.0,NaN,NaN,NaN,NaN
c1ebf5rijq4wtt6ge42iant1x,Dino,Perić,Dino,Peric,Male,D. Perić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1994-07-12,Osijek,Croatia,37hlakrwxyuzovaeoo4sezusp,2017-07-03Z,NaN,active,yes,Defender,55.0,NaN,NaN,197.0,84.0,left,NaN,NaN
c9vkaaxhkmmkce4ah7wkfmqd,Arijan,Ademi,Arijan,Ademi,Male,A. Ademi,North Macedonia,1lesyxylc5eza0a4z87t9azcc,player,1991-05-29,Šibenik,Croatia,37hlakrwxyuzovaeoo4sezusp,2023-09-08Z,2025-06-20Z,active,no,Midfielder,5.0,Croatia,37hlakrwxyuzovaeoo4sezusp,185.0,79.0,right,NaN,NaN
cnsgwetu53lcwxf5b8x3ecmc4,Luka,Lukanić,Luka,Lukanic,Male,L. Lukanić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2004-05-03,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,2023-01-20Z,2023-09-01Z,active,no,Midfielder,42.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ct5zx477027zxa1uc67mjjdhw,Mauro,Perković,Mauro,Perkovic,Male,M. Perković,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2003-03-22,Pula,Croatia,37hlakrwxyuzovaeoo4sezusp,2023-07-01Z,2025-02-22Z,active,no,Defender,39.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ctnoadhr24tqxa8ciqyq5y784,Ante,Sušak,Ante,Susak,Male,A. Sušak,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2006-01-20,Metković,Croatia,37hlakrwxyuzovaeoo4sezusp,2024-05-17Z,2024-06-25Z,active,no,Defender,97.0,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,178.0,67.0,left,NaN,NaN
ctrru8tf68ltajgculumzdel0,Gabriel,Rukavina,Gabriel,Rukavina,Male,G. Rukavina,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2004-01-16,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,2022-07-14Z,2024-02-08Z,active,no,Attacker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
d5f5nx73iorx8hee1hp4o8kmi,Boško,Šutalo,Bosko,Sutalo,Male,B. Šutalo,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2000-01-01,Metković,Croatia,37hlakrwxyuzovaeoo4sezusp,2022-06-22Z,2024-07-08Z,active,no,Defender,4.0,NaN,NaN,188.0,72.0,right,NaN,NaN
dtr4cnzrkqe46rtqhq4l7a2hg,Vito,Čaić,Vito,Caic,Male,V. Čaić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2005-04-01,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,2023-09-25Z,2024-01-15Z,active,no,Midfielder,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
dvn2nx0wh25ms50pl1kkf2qcp,Luka,Menalo,Luka,Menalo,Male,L. Menalo,Bosnia and Herzegovina,4fue8u54361o79fbiu9qwxjer,player,1996-07-22,Opuzen,Croatia,37hlakrwxyuzovaeoo4sezusp,2021-07-01Z,2024-01-15Z,active,no,Attacker,70.0,Croatia,37hlakrwxyuzovaeoo4sezusp,181.0,72.0,right,NaN,NaN
e9kodigw308jx81ds56f4jv85,Ivan,Nevistić,Ivan,Nevistic,Male,I. Nevistić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1998-07-31,Đakovo,Croatia,37hlakrwxyuzovaeoo4sezusp,2022-07-01Z,NaN,active,yes,Goalkeeper,33.0,NaN,NaN,195.0,85.0,right,NaN,NaN
ebry9igdjsuzktljtyauqbil1,Kévin,Théophile-Catherine,Kévin,Théophile-Catherine,Male,K. Théophile-Catherine,France,7gww28djs405rfga69smki84o,player,1989-10-28,Saint-Brieuc,France,7gww28djs405rfga69smki84o,2023-10-12Z,NaN,active,yes,Defender,28.0,Martinique,1eb70pvuqssbbg3yamdba5ie5,183.0,86.0,right,NaN,NaN
em4emtybky53edbm8z70qlkgl,Maxime,Bernauer,Maxime,Bernauer,Male,M. Bernauer,France,7gww28djs405rfga69smki84o,player,1998-07-01,Hennebont,France,7gww28djs405rfga69smki84o,2023-06-19Z,2025-02-02Z,active,no,Defender,6.0,NaN,NaN,186.0,77.0,right,NaN,NaN
eo5kfco94g7az5x9dn2mtr78q,Takuya,Ogiwara,Takuya,Ogiwara,Male,T. Ogiwara,Japan,lxyibh89lpdc0bfian1nx0xq,player,1999-11-23,Kawagoe,Japan,lxyibh89lpdc0bfian1nx0xq,2024-01-16Z,2025-01-19Z,active,no,Defender,3.0,NaN,NaN,175.0,69.0,left,NaN,NaN
eqz0ued9p4n9x1aibcgzqbemt,Sadegh,Moharrami Getgasari,Sadegh,Moharrami,Male,S. Moharrami,Iran,e53g9hr2d3kasm34uumbg8r4,player,1996-03-01,Hashtpar,Iran,e53g9hr2d3kasm34uumbg8r4,2020-01-01Z,2025-05-31Z,active,no,Defender,2.0,NaN,NaN,174.0,73.0,right,NaN,NaN
o5l3q1ezpymhoao6ww2b3m6s,Noa,Mikić,Noa,Mikic,Male,N. Mikić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2007-01-27,Varaždin,Croatia,37hlakrwxyuzovaeoo4sezusp,2024-01-22Z,2024-06-25Z,active,no,Defender,NaN,NaN,NaN,175.0,NaN,right,NaN,NaN
umt42n8bp8cgi9ots1bu14b8,Fran,Pavlek,Fran,Pavlek,Male,F. Pavlek,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2005-04-03,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,2023-09-25Z,2023-12-31Z,active,no,Defender,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19lpewjx7suoipstxo0x2smc4,Đuro-Giulio,Đekić,Djuro-Giulio,Djekic,Male,Đ. Đekić,Serbia,5w4ve503bjdsshwx9ho6jxzx0,player,2005-06-30,Zagreb,Serbia,5w4ve503bjdsshwx9ho6jxzx0,2023-07-22Z,2025-01-09Z,active,no,Defender,40.0,Croatia,37hlakrwxyuzovaeoo4sezusp,NaN,NaN,NaN,NaN,NaN
1blr1dgarggg6sae0d9baxcr9,Tim,Matavž,Tim,Matavz,Male,T. Matavž,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,player,1989-01-13,Šempeter pri Gorici,Slovenia,63vptz9g2ckqnnlxhd1oqn4xq,2023-01-16Z,2024-06-21Z,active,no,Attacker,89.0,NaN,NaN,188.0,81.0,right,NaN,NaN
233vl3xtuvy0n8rb6w4u6vtg5,Željko,Sopić,Zeljko,Sopic,Male,Ž. Sopić,Croatia,37hlakrwxyuzovaeoo4sezusp,coach,1974-07-26,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,2022-11-28Z,2023-08-23Z,active,no,NaN,NaN,NaN,NaN,188.0,88.0,NaN,NaN,NaN
2ade0f9vpbbcbjf09dzimi7tg,Zvonimir,Josić,NaN,NaN,Male,Z. Josić,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2006-08-29,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,2023-02-11Z,2024-12-31Z,active,no,Defender,35.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2b4zbxnmjo1fd9gntr3zgn4yd,Filip,Mrzljak,Filip,Mrzljak,Male,F. Mrzljak,Croatia,37hlakrwxyuzovaeoo4sezusp,player,1993-04-16,Zagreb,Croatia,37hlakrwxyuzovaeoo4sezusp,2022-12-10Z,2024-06-30Z,active,no,Midfielder,15.0,NaN,NaN,175.0,74.0,both,NaN,NaN
2btfpof9r5o1ah5um6v9lu6dx,Momčilo,Raspopović,Momcilo,Raspopovic,Male,M. Raspopović,Montenegro,1411jebgwo2ja1erogsq81lg9,player,1994-03-18,Podgorica,Montenegro,1411jebgwo2ja1erogsq81lg9,2022-07-01Z,2024-02-22Z,active,no,Defender,20.0,NaN,NaN,190.0,77.0,right,NaN,NaN
2kdavfzjymb8uhgjj3c97e2uh,Sven Johannes Gerardus,Blummel,Sven,Blummel,Male,S. Blummel,Netherlands,6hzi5pltnz67q4la8yli9qfv6,player,1996-09-08,Schijndel,Netherlands,6hzi5pltnz67q4la8yli9qfv6,2023-07-01Z,2024-06-30Z,active,no,Attacker,9.0,NaN,NaN,178.0,71.0,left,NaN,NaN
3pa5qvt7g73pcnra2k4g9owr9,Matthew Rudolf Maria,Steenvoorden,Matthew,Steenvoorden,Male,M. Steenvoorden,Netherlands,6hzi5pltnz67q4la8yli9qfv6,player,1993-01-09,Leidschendam,Netherlands,6hzi5pltnz67q4la8yli9qfv6,2019-07-08Z,2023-07-31Z,active,no,Defender,4.0,NaN,NaN,188.0,81.0,right,NaN,NaN
3r0vi7hl8385sw1pf4hnkn190,Luka,Brlek,NaN,NaN,Male,L. Brlek,Croatia,37hlakrwxyuzovaeoo4sezusp,player,2004-04-21,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,2024-01-01Z,2024-06-25Z,active,no,Defender,30.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3rnr5x47mk26f161f7vliloet,Dinko,Jeličić,Dinko,Jelicic,Male,D. Jeličić,Croatia,37hlakrwxyuzovaeoo4sezusp,coach,1973-09-19,NaN,Croatia,37hlakrwxyuzovaeoo4sezusp,2023-08-30Z,2024-03-11Z,active,no,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
