id,firstName,lastName,shortFirstName,shortLastName,gender,matchName,nationality,nationalityId,position,type,dateOfBirth,countryOfBirth,countryOfBirthId,status,active,secondNationality,secondNationalityId,height,weight,shirtNumber,placeOfBirth,foot,knownName
86fbk8r7wsy14weicjdxj76z8,Finn Parker,Calloway,Finn,Calloway,Male,F. Calloway,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2006-09-01,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,175.0,68.0,47.0,Birmingham,NaN,NaN
8l6c863uhckgymxggho8iot0,Miguel,Perez,Miguel,Perez,Male,M. Perez,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2005-04-28,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,173.0,63.0,28.0,St. Louis,NaN,NaN
8ndqdp9mhka7ggweuanmg3xlh,Stéfano,Souza Pinho,Stéfano,Souza Pinho,Male,Stéfano Pinho,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,Attacker,player,1991-01-12,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,active,yes,USA,7hr2f89v44y65dyu9k92vprwn,185.0,79.0,29.0,São João Nepomuceno,left,Stéfano Pinho
8sl4nqao4w38gwi1t3qrxu5lh,Trevor Matthew,Spangenberg,Trevor,Spangenberg,Male,T. Spangenberg,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,1991-04-21,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,185.0,86.0,18.0,Mesa,right,NaN
9i7vyapra7fjdtv6xd9sms2ne,Arthur,Precious Paterson Jr.,AJ,Paterson,Male,A. Paterson,Grenada,187lxllgvpivhdcyw002tue8m,Defender,player,1996-01-31,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,USA,7hr2f89v44y65dyu9k92vprwn,188.0,86.0,20.0,Key Largo,NaN,NaN
b8j82fisdkw2a8e1ufsc81wfe,Rida,Zouhir-Takedam,Rida,Zouhir,Male,R. Zouhir-Takedam,Canada,1iaoypzp6syf32cz9l15pzp7e,Midfielder,player,2003-11-23,Canada,1iaoypzp6syf32cz9l15pzp7e,active,yes,Morocco,2xdcc39z1k79pnjbtn9x31wdh,178.0,73.0,NaN,NaN,NaN,NaN
bfye239zrcmh9qcazc71ffzkl,Alex,Martínez Beltrán,Alex,Martínez,Male,A. Martínez,USA,7hr2f89v44y65dyu9k92vprwn,NaN,assistant coach,1991-08-25,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,active,yes,NaN,NaN,173.0,72.0,NaN,Montevideo,right,NaN
bi0hhtxpz0xvq0xfpj0otoc89,Prosper,Kasim,Prosper,Kasim,Male,P. Kasim,Ghana,2q2sw72utw5gu9t5y4knckwba,Attacker,player,1996-12-15,Ghana,2q2sw72utw5gu9t5y4knckwba,active,yes,NaN,NaN,168.0,77.0,10.0,Accra,left,NaN
bxlh35ww96wgrsgfc8blou50p,Moses,Nyarko-Fenyi Mensah,Moses,Mensah,Male,M. Mensah,Ghana,2q2sw72utw5gu9t5y4knckwba,Defender,player,1998-08-15,Ghana,2q2sw72utw5gu9t5y4knckwba,active,yes,NaN,NaN,188.0,75.0,33.0,NaN,NaN,NaN
d9tudv340lnl3130auekhtiol,Mohamed,Buya Turay,Mohamed,Turay,Male,M. Turay,Sierra Leone,7kilikg56sxc0dsd6168dr57b,Attacker,player,1995-01-10,Sierra Leone,7kilikg56sxc0dsd6168dr57b,active,yes,NaN,NaN,178.0,68.0,77.0,Freetown,both,NaN
dglf4uhg5wnc68cg8ijovfmy1,Tabort Etaka,Obiarrah Preston,Tabort Etaka,Preston,Male,T. Preston,Cameroon,4eb9feio6u267dd1jcwaf38mt,Attacker,player,1998-06-10,Cameroon,4eb9feio6u267dd1jcwaf38mt,active,yes,NaN,NaN,173.0,68.0,23.0,Bamenda,right,NaN
dhi7890xe8zsmzhw2cad7sul1,Tyler Geoffrey,Pasher,Tyler,Pasher,Male,T. Pasher,Canada,1iaoypzp6syf32cz9l15pzp7e,Attacker,player,1994-04-27,Canada,1iaoypzp6syf32cz9l15pzp7e,active,yes,NaN,NaN,173.0,66.0,15.0,Elmira,left,NaN
dlcxvrsqhiz8ce0nqnh6h6dw5,James Matthew,Van Oekel,Matt,Van Oekel,Male,M. Van Oekel,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,1986-09-20,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,191.0,91.0,1.0,Chesapeake,NaN,NaN
dlhfyk6fgvqt3zrr5qfj7c6w9,Dawson,McCartney,Dawson,McCartney,Male,D. McCartney,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1998-10-15,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,183.0,75.0,11.0,NaN,NaN,NaN
e6uww9a9ssp0n20ksoolesa8l,Enzo Agustín,Martínez Beltrán,Enzo,Martínez,Male,E. Martínez,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,Midfielder,player,1990-09-29,Uruguay,286fwlvd6dzntv6ewv3cyvb0p,active,yes,USA,7hr2f89v44y65dyu9k92vprwn,170.0,68.0,19.0,Montevideo,right,NaN
ece6sffb02drwz4brwndn0rh0,Ramiz,Hamouda,Ramiz,Hamouda,Male,R. Hamouda,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2008-05-26,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,Sudan,62wa0a1wwukxladeo5kqhrpen,188.0,77.0,4.0,NaN,NaN,NaN
eg4q2iq1z7fidh9wl49w3f7dg,Patrick,Nwegbo,Diba,Nwegbo,Male,D. Nwegbo,Nigeria,63pvdwrsiq5b07mzi8igqei9p,Attacker,player,2002-01-01,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,USA,7hr2f89v44y65dyu9k92vprwn,185.0,86.0,7.0,Acworth,NaN,NaN
f1e7n1pmjklbr35g7uuqdr78q,Jayden,Hibbert,Jayden,Hibbert,Male,J. Hibbert,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,Goalkeeper,player,2004-08-05,USA,7hr2f89v44y65dyu9k92vprwn,active,no,USA,7hr2f89v44y65dyu9k92vprwn,NaN,NaN,NaN,NaN,NaN,NaN
f1kd9zklc9noursfsqv7qrk5x,Miguel Angel,Lopez Jr.,Mikey,Lopez,Male,M. Lopez,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1993-02-20,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,Mexico,5trdr3jf42i20zj1hnkvcytr6,173.0,66.0,5.0,Dallas,NaN,NaN
nkke5nm09v2m60pcr3d7ed3p,Tom,Soehn,Tom,Soehn,Male,T. Soehn,USA,7hr2f89v44y65dyu9k92vprwn,NaN,coach,1966-04-15,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,NaN,NaN,NaN,Chicago,NaN,NaN
13nxnwt9zo5v20pmrgibk8glw,Diego,Gutiérrez,Diego,Gutiérrez,Male,D. Gutiérrez,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,1999-01-05,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,Mexico,5trdr3jf42i20zj1hnkvcytr6,180.0,72.0,11.0,Omaha,NaN,NaN
14oq6mvlh5e51d9y20nbpok4p,Christopher Mark,Allan,Chris,Allan,Male,C. Allan,England,1fk5l4hkqk12i7zske6mcqju6,Midfielder,player,1998-09-27,England,1fk5l4hkqk12i7zske6mcqju6,active,yes,NaN,NaN,180.0,77.0,4.0,NaN,NaN,NaN
1h85rt7bnqep3qovatft86pgq,Arturo,Rodríguez,Arturo,Rodríguez,Male,A. Rodríguez,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1998-12-15,Mexico,5trdr3jf42i20zj1hnkvcytr6,active,yes,Mexico,5trdr3jf42i20zj1hnkvcytr6,175.0,68.0,10.0,San Luis Potosí,NaN,NaN
21y2ogvprtdai47j36w9m22cq,Matthew Dyan,Myers,MD,Myers,Male,M. Myers,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,2001-04-05,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,183.0,77.0,9.0,NaN,NaN,NaN
22p6n3oird085u2kbkiqp4pg,Ezekiel Ulysses,Soto,Ezekiel,Soto,Male,E. Soto,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,2007-01-14,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,183.0,68.0,NaN,NaN,NaN,NaN
2ug51dfg4oerpnbudnkw497je,Jake,LaCava,Jake,LaCava,Male,J. LaCava,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2001-01-12,USA,7hr2f89v44y65dyu9k92vprwn,active,no,NaN,NaN,183.0,79.0,7.0,New Milford,right,NaN
42h7dylzuiiyx5k773f1qo6hh,Adam Robert,Grinwis,Adam,Grinwis,Male,A. Grinwis,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,1992-04-21,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,185.0,86.0,1.0,Michigan,NaN,NaN
5htuxrszecd448kld1yguwpas,Christian,Garner,Christian,Garner,Male,C. Garner,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,2000-03-09,USA,7hr2f89v44y65dyu9k92vprwn,active,no,NaN,NaN,183.0,79.0,NaN,Orleans,NaN,NaN
5t1wvh34lm993otbc3469uzxm,Jackson Lee,Conway,Jackson,Conway,Male,J. Conway,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,2001-12-03,England,1fk5l4hkqk12i7zske6mcqju6,active,yes,England,1fk5l4hkqk12i7zske6mcqju6,188.0,91.0,36.0,Leeds,NaN,NaN
5tyrfuxsp7s9thsmhfqevuoyx,Aaron,Molloy,Aaron,Molloy,Male,A. Molloy,Republic of Ireland,63nepb66un7juhglo2g6rezcl,Midfielder,player,1997-01-11,Republic of Ireland,63nepb66un7juhglo2g6rezcl,active,yes,NaN,NaN,175.0,75.0,6.0,Dublin,NaN,NaN
61n2zwieaq9s1hr8gkmv9q8h6,Juan Sebastián,Palma Micolta,Sebastián,Palma,Male,S. Palma,Colombia,6kby8rq1p01fg5ds38ckkrcs5,Defender,player,1999-07-18,Colombia,6kby8rq1p01fg5ds38ckkrcs5,active,yes,NaN,NaN,188.0,84.0,23.0,Puerto Carreño,right,NaN
6rnuvzwbmj7qv80xlwkjvqnkl,Jay Tyler,Chapman,Jay,Chapman,Male,J. Chapman,Canada,1iaoypzp6syf32cz9l15pzp7e,Midfielder,player,1994-01-01,Canada,1iaoypzp6syf32cz9l15pzp7e,active,yes,England,1fk5l4hkqk12i7zske6mcqju6,175.0,72.0,NaN,Brampton,NaN,NaN
6x8glr5hquqxmacroeqmq5mcq,Daniel,Kuzemka,Daniel,Kuzemka,Male,D. Kuzemka,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,1998-09-23,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,188.0,84.0,24.0,NaN,NaN,NaN
7ear1aggm7qut5b972fkz3j10,Matthew,Dean,Matthew,Dean,Male,M. Dean,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2006-02-02,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,173.0,68.0,33.0,Kennesaw,NaN,NaN
7vs5viy6d0dxa7t6vogkxo650,Nicholas,Markanich,Nick,Markanich,Male,N. Markanich,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,1999-12-26,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,Philippines,2bn52u7dpgfatwqumx224cczx,185.0,72.0,13.0,NaN,NaN,NaN
8j8a9aofwcl6fqbvzncsmbxuc,Charlie,Dennis,Charlie,Dennis,Male,C. Dennis,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2004-09-13,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,180.0,63.0,32.0,Charleston,NaN,NaN
8ogjrgklyvze158g90q7fv85w,Enzo,Mori,Enzo,Mori,Male,E. Mori,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,NaN,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,NaN,NaN,99.0,Goose Creek,NaN,NaN
98l6i78kwuwnt2sbcucssgjfu,Graham,Smith,Graham,Smith,Male,G. Smith,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1995-11-25,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,188.0,88.0,16.0,Highlands Ranch,NaN,NaN
abwz38jw9ye3d0vnr5yp6lxck,Devin,Rensing,Devin,Rensing,Male,D. Rensing,USA,7hr2f89v44y65dyu9k92vprwn,NaN,assistant coach,1978-08-25,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
agv7uxj4q6h1emllmpqak1a8k,Bradyn,Cobb,Bradyn,Cobb,Male,B. Cobb,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2006-01-12,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,185.0,77.0,34.0,NaN,NaN,NaN
ani26vxlo22iw1u9oexptml05,Leland Douglas,Archer,Leland,Archer,Male,L. Archer,Trinidad and Tobago,635ed0499golbw7h62vt7g53j,Defender,player,1996-01-08,Trinidad and Tobago,635ed0499golbw7h62vt7g53j,active,yes,NaN,NaN,191.0,88.0,5.0,Port of Spain,right,NaN
aur71sievd8d2fnrumu3xf6c,Nathan José,Kitchell Dossantos,Nathan,Dossantos,Male,N. Dossantos,Canada,1iaoypzp6syf32cz9l15pzp7e,Defender,player,1999-04-11,Canada,1iaoypzp6syf32cz9l15pzp7e,active,yes,Portugal,1nbm5i9a0403zzvltn17lxinc,180.0,82.0,62.0,NaN,NaN,NaN
ayafz39numgvk458eh88aiu0a,Samuel,Biek,Samuel,Biek,Male,S. Biek,Germany,36min0qztu8eydwvpv8t1is0m,Midfielder,player,1997-08-07,Germany,36min0qztu8eydwvpv8t1is0m,active,yes,NaN,NaN,191.0,84.0,NaN,NaN,both,NaN
btx68vqtuzyckpw6sffr7iort,Benjamin,Pirmann,Ben,Pirmann,Male,B. Pirmann,USA,7hr2f89v44y65dyu9k92vprwn,NaN,coach,1985-09-19,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
d8uer29a3oya05ks99q696221,Mark,Segbers,Mark,Segbers,Male,M. Segbers,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1996-04-18,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,176.0,75.0,2.0,St. Louis,right,NaN
dmbqkvvaray373vy9eiq4l1ck,Juan David,Torres Henríquez,Juan,Torres,Male,J. Torres,Colombia,6kby8rq1p01fg5ds38ckkrcs5,Midfielder,player,2001-03-31,Colombia,6kby8rq1p01fg5ds38ckkrcs5,active,yes,NaN,NaN,168.0,63.0,80.0,Barranquilla,left,NaN
dxdjux3dtkxlqu6eorxqq74k5,Prince,Saydee,Prince,Saydee,Male,P. Saydee,Liberia,78fh41lat89a3xaqjqcdzb4ul,Attacker,player,1993-02-20,Liberia,78fh41lat89a3xaqjqcdzb4ul,active,yes,USA,7hr2f89v44y65dyu9k92vprwn,180.0,77.0,NaN,Monrovia,left,NaN
ecjt2cd0xn1qyeyboapqwxbvu,Emilio Andres,Ycaza,Emilio,Ycaza,Male,E. Ycaza,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1997-07-10,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,Sweden,1z6l2c33w2kyz9rdefs1d68nb,173.0,66.0,8.0,NaN,NaN,NaN
eur2vbdzfmcxyfathakjghyqc,Joshua,Drack-Asami,Josh,Drack,Male,J. Drack,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1999-09-22,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,Chile,32tb8d7824xg4i0ybxzssczu0,173.0,66.0,3.0,Chandler,NaN,NaN
ngbrldd6l0tg4wpy3lki9eqd,Robert David,Crawford,Robbie,Crawford,Male,R. Crawford,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,Midfielder,player,1993-03-19,Scotland,1xf68d0a8lnnq30hnnn8kr6ut,active,yes,NaN,NaN,173.0,63.0,19.0,Greenock,both,NaN
12ke1ueatva2n6m6h7qdwca5m,Joseph,Rice,Joe,Rice,Male,J. Rice,USA,7hr2f89v44y65dyu9k92vprwn,Goalkeeper,player,1996-03-06,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,193.0,86.0,23.0,Fairfax,NaN,NaN
1s48glvpagsxfh15j8ilh0fai,Tyreek Anthony,Magee,Tyreek,Magee,Male,T. Magee,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,Midfielder,player,1999-08-27,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,active,yes,NaN,NaN,180.0,69.0,7.0,Kingston,both,NaN
2mxaagzu9rb92z9880yjllbzd,Wahab,Ackwei,Wahab,Ackwei,Male,W. Ackwei,Ghana,2q2sw72utw5gu9t5y4knckwba,Defender,player,1996-10-19,Ghana,2q2sw72utw5gu9t5y4knckwba,active,no,NaN,NaN,183.0,75.0,3.0,Accra,NaN,NaN
2rsduabh7r8i29f9i6znwbfu1,Ronaldo,Damus,Ronaldo,Damus,Male,R. Damus,Haiti,5mp58o38d0mr5qt8g4o6l7efg,Attacker,player,1999-09-12,Haiti,5mp58o38d0mr5qt8g4o6l7efg,active,yes,NaN,NaN,180.0,82.0,9.0,Hinche,NaN,NaN
2yflerah2shma2hzhm99msez9,Devon Chesterton,Williams,Speedy,Williams,Male,S. Williams,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,Midfielder,player,1992-04-08,Jamaica,gimxu1vjwoa2xrecyd9gtyoc,active,yes,NaN,NaN,173.0,70.0,80.0,Kingston,right,NaN
3djjepgynp4qnhgvvqh9oa1ka,Aidan,Rocha,Aidan,Rocha,Male,A. Rocha,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2000-12-25,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,175.0,72.0,18.0,NaN,NaN,NaN
3jo6hjgpy9logg7v1sie2k9as,Caden,Hickox,Caden,Hickox,Male,C. Hickox,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,2006-03-28,USA,7hr2f89v44y65dyu9k92vprwn,active,no,NaN,NaN,173.0,63.0,77.0,NaN,NaN,NaN
3ljxfq84ubqzlooixppmpfdd6,Juan David,Tejada Londono,Juan,Tejada,Male,J. Tejada,Panama,5nhk7v9jq6dqmfbn4hiihhofv,Attacker,player,1997-01-14,Panama,5nhk7v9jq6dqmfbn4hiihhofv,active,yes,NaN,NaN,170.0,70.0,27.0,Ciudad de Panamá,NaN,NaN
456u2gdrpys12x3ugd0ytls0k,Aidan,Harris,Aidan,Harris,Male,A. Harris,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2007-07-05,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4ccmn07kk0thmg6apfxgivmc5,Justin Shane,Dhillon,Justin,Dhillon,Male,J. Dhillon,USA,7hr2f89v44y65dyu9k92vprwn,Attacker,player,1995-06-06,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,193.0,84.0,NaN,Rancho Santa Margarita,NaN,NaN
4ettsbmpobpo495sn0zd1x6vo,Dillon,Clarke,Dillon,Clarke,Male,D. Clarke,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,2006-04-20,USA,7hr2f89v44y65dyu9k92vprwn,active,no,NaN,NaN,180.0,66.0,46.0,NaN,NaN,NaN
54yx5xkqrktd2hp0sxjx6hm8l,James Mzamo,Musa,James,Musa,Male,J. Musa,New Zealand,wcq2y28a27syx5do1k2i2nj8,Midfielder,player,1992-04-01,England,1fk5l4hkqk12i7zske6mcqju6,active,no,England,1fk5l4hkqk12i7zske6mcqju6,183.0,82.0,41.0,Plymouth,left,NaN
5zv29ebsnm7taichv5sq0ifbo,Francisco Axel,Zuniga Aceves,Francisco,Zuniga Aceves,Male,F. Zuniga Aceves,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2006-01-05,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,170.0,60.0,74.0,NaN,NaN,NaN
6kj0a361emvyvjw1camrf9t6,Alan,McCann,Alan,McCann,Male,A. McCann,Republic of Ireland,63nepb66un7juhglo2g6rezcl,NaN,assistant coach,1989-08-28,Republic of Ireland,63nepb66un7juhglo2g6rezcl,active,yes,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6o5jqx64vum71hh2olnrb4178,Laukoa,Santos,Koa,Santos,Male,K. Santos,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1999-09-21,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,178.0,77.0,2.0,Waikoloa,NaN,NaN
6oj55tf7cdnnnft350f9fyhnt,Matthew Joseph,Real,Matt,Real,Male,M. Real,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1999-07-10,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,Brazil,2vufyvpoxd9lfl9f6vpp7tz6y,183.0,73.0,6.0,Drexel Hill,NaN,NaN
7i29w1zl3m6xdnurdll08jsvd,Matthew,Mahoney,Matt,Mahoney,Male,M. Mahoney,USA,7hr2f89v44y65dyu9k92vprwn,Defender,player,1995-04-17,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,180.0,77.0,5.0,Buffalo,NaN,NaN
80z4ohi5co0ttnwardz2h2311,James,Chambers,James,Chambers,Male,J. Chambers,Republic of Ireland,63nepb66un7juhglo2g6rezcl,NaN,coach,1987-02-14,Republic of Ireland,63nepb66un7juhglo2g6rezcl,active,yes,NaN,NaN,183.0,91.0,NaN,Dublin,right,NaN
8q69ewbw3jqtd2wcuctdhutjo,Alex,Andersson,Alex,Andersson,Male,A. Andersson,Sweden,1z6l2c33w2kyz9rdefs1d68nb,Attacker,player,2000-09-27,Sweden,1z6l2c33w2kyz9rdefs1d68nb,active,yes,NaN,NaN,185.0,NaN,21.0,Helsingborg,NaN,NaN
8td51fzpdl6c1yrz6r0igle22,Delentz Fertil,Pierre,Delentz,Pierre,Male,D. Pierre,Haiti,5mp58o38d0mr5qt8g4o6l7efg,Defender,player,2000-11-16,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,USA,7hr2f89v44y65dyu9k92vprwn,185.0,79.0,4.0,Florida,NaN,NaN
b9lt0sfts2zxf2ali8vpf0pn9,Markhus,Lacroix,Duke,Lacroix,Male,D. Lacroix,Haiti,5mp58o38d0mr5qt8g4o6l7efg,Defender,player,1993-10-14,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,USA,7hr2f89v44y65dyu9k92vprwn,175.0,70.0,14.0,New Egypt,left,NaN
bjm0d2f9er34ymm41sulmkout,Steven,Echevarria,Steven,Echevarria,Male,S. Echevarria,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,1996-04-09,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,175.0,66.0,13.0,NaN,NaN,NaN
bxxgsxabn34u2r3fuzokmwatx,Jairo Mauricio,Henríquez Ferrufino,Jairo,Henríquez,Male,J. Henríquez,El Salvador,6jovhn8du7uhbedi92voitt3k,Midfielder,player,1993-08-31,El Salvador,6jovhn8du7uhbedi92voitt3k,active,yes,NaN,NaN,173.0,65.0,17.0,San Salvador,right,NaN
bym89mq8vrfb8756rddemyzh0,Marco,Rios,Marco,Rios,Male,M. Rios,USA,7hr2f89v44y65dyu9k92vprwn,Midfielder,player,2005-12-24,USA,7hr2f89v44y65dyu9k92vprwn,active,yes,NaN,NaN,185.0,72.0,19.0,NaN,NaN,NaN
cfx7vo0kbjvcly2nf1b7papsk,Yosuke,Hanya,Yosuke,Hanya,Male,Y. Hanya,Japan,lxyibh89lpdc0bfian1nx0xq,Attacker,player,1999-01-30,Japan,lxyibh89lpdc0bfian1nx0xq,active,yes,NaN,NaN,173.0,NaN,20.0,Tokyo,NaN,NaN
